1.00878-0j 0.102635-0j 0.103699-0j 0.0590704-0j 0.00852608-0j 0.0730959-0j 0.0426393-0j 0.0105505-0j 0.00615445-0j 0.0416381-0j 0.00736065-0j 0.0485778-0j 0.000613387-0j 0.0297477-0j 0.0425056-0j 0.00858742-0j 0.0052587-0j 0.0175326-0j 0.000715618-0j 0.00751399-0j 0.000438225-0j 0.00309936-0j 0.000626166-0j 0.00025828-0j 0.0321516-0j 0.00535859-0j 0.0363191-0j 0.00328146-0j 0.000669824-0j 0.0296544-0j 3.94698e-05-0j 0.0299617-0j 0.00605318-0j 0.0259476-0j 0.0037068-0j 0.0049424-0j 0.0214057-0j 0.000756647-0j 0.00302659-0j 0.00499362-0j 4.45859e-05-0j 0.00683921-0j 0.0006178-0j 0.00305795-0j 0.0043246-0j 0.00264826-0j 3.64042e-05-0j 0.00356761-0j 0.000624202-0j 0.000540575-0j 0.00218471-0j 3.67815e-05-0j 0.00113987-0j 0.000445951-0j 0.000698024-0j 3.18537e-05-0j 0.000142484-0j 2.62779e-05-0j 8.39593e-06-0j 
0.000184111-0j 0.0495261-0j 0.0497208-0j -0.0594897-0j -0.00855938-0j 0.00123913-0j 0.0836518-0j 0.000178286-0j 0.0120358-0j 0.000438613-0j 0.349525-0j 8.86589e-06-0j -0.000926905-0j -0.000922239-0j 0.000419931-0j 0.00706512-0j -0.734921-0j -0.000541264-0j -1.8736e-05-0j 0.334638-0j 0.00194893-0j -0.431326-0j -0.000887424-0j 0.00114383-0j 0.000338682-0j -0.00266154-0j 6.62856e-06-0j -0.00664406-0j 0.0642887-0j -0.000303485-0j -7.96636e-05-0j -0.000304678-0j -5.20906e-05-0j -1.39374e-05-0j -0.000130035-0j 0.00238494-0j 0.000426747-0j 0.00125823-0j 0.00595357-0j 0.00239431-0j -1.55915e-06-0j -0.000281934-0j -0.0576075-0j 0.00597698-0j 0.000109527-0j 0.000273415-0j 7.13845e-05-0j -0.00335359-0j -0.057834-0j -0.0026456-0j -0.00837165-0j 7.16652e-05-0j 0.00221558-0j 0.0810051-0j 0.00553081-0j 3.2783e-06-0j -0.0535167-0j -0.000100378-0j 6.63155e-05-0j 
0.0120753-0j 0.0297368-0j 0.0269757-0j 0.0347023-0j 0.00499297-0j -0.0836518-0j 0.0962926-0j -0.0120358-0j 0.0138546-0j -0.000255857-0j -0.20389-0j 0.000581485-0j 0.000540694-0j -0.000182793-0j -0.000234506-0j 0.463379-0j -0.145666-0j -0.000128983-0j -0.00122883-0j -0.186875-0j 0.000386291-0j -0.102785-0j 0.000495574-0j 0.000272575-0j -0.000197565-0j 0.00155256-0j 0.000434746-0j 0.0038757-0j -0.0375017-0j -0.00018222-0j 4.64704e-05-0j -0.000165301-0j -0.00341646-0j 0.000310598-0j -0.00852858-0j 0.00143198-0j -0.000505627-0j 0.0825235-0j 0.00357468-0j 0.00129902-0j -0.000102259-0j 0.000535249-0j -0.034589-0j 0.00324277-0j -0.00244083-0j -0.00609311-0j 4.28611e-05-0j 0.00397348-0j -0.0313774-0j 0.0589577-0j 0.00991908-0j 3.88815e-05-0j -0.00420626-0j -0.0959782-0j -0.0105002-0j -7.30576e-05-0j 0.101601-0j 0.000118932-0j -0.000125899-0j 
-1.53426e-05-0j -0.0125566-0j -0.012606-0j -5.18537e-05-0j -0.101962-0j 1.08008e-06-0j 7.29144e-05-0j 0.0021238-0j 0.143375-0j -3.65511e-05-0j 0.000926905-0j -7.38825e-07-0j 0.338433-0j 7.68533e-05-0j -3.49942e-05-0j 1.8736e-05-0j -0.00194893-0j 4.51053e-05-0j 0.00684091-0j 0.000887424-0j -0.711599-0j -0.00114383-0j 0.324018-0j -0.417638-0j -2.82235e-05-0j 0.000674792-0j -5.5238e-07-0j -2.88055e-06-0j -0.00801032-0j 2.52904e-05-0j 0.089961-0j 2.53898e-05-0j 1.32068e-05-0j 1.16145e-06-0j -5.63771e-08-0j -0.000604664-0j -3.55622e-05-0j -0.000156775-0j 2.58119e-06-0j -0.000607041-0j 0.00176068-0j 2.34945e-05-0j 0.00717785-0j 2.59134e-06-0j -2.77689e-05-0j 1.1854e-07-0j -0.0806117-0j 0.000850252-0j 0.00720607-0j 0.000329639-0j -3.62956e-06-0j -0.0809287-0j -0.000561727-0j -0.0100932-0j 2.3979e-06-0j -0.00370206-0j 0.00666815-0j 0.113353-0j -0.0748875-0j 
-0.00100627-0j -0.0075393-0j -0.00683928-0j 3.0248e-05-0j 0.0594779-0j -7.29144e-05-0j 8.39326e-05-0j -0.143375-0j 0.16504-0j 2.13215e-05-0j -0.000540694-0j -4.84571e-05-0j -0.197419-0j 1.52328e-05-0j 1.95422e-05-0j 0.00122883-0j -0.000386291-0j 1.07486e-05-0j 0.448674-0j -0.000495574-0j -0.141043-0j -0.000272575-0j -0.180945-0j -0.099523-0j 1.64637e-05-0j -0.000393629-0j -3.62288e-05-0j 1.68032e-06-0j 0.00467269-0j 1.5185e-05-0j -0.0524772-0j 1.37751e-05-0j 0.00086619-0j -2.58831e-05-0j -3.69759e-06-0j -0.000363056-0j 4.21356e-05-0j -0.0102824-0j 1.54981e-06-0j -0.000329346-0j 0.115477-0j -4.46041e-05-0j 0.00430977-0j 1.40591e-06-0j 0.000618836-0j -2.64169e-06-0j -0.0484014-0j -0.00100741-0j 0.00390961-0j -0.00734608-0j 4.30045e-06-0j -0.0439073-0j 0.00106643-0j 0.0119588-0j -4.55238e-06-0j 0.0825011-0j -0.0126594-0j -0.134305-0j 0.142173-0j 
0.0363191-0j 0.00369517-0j 0.00373346-0j 0.00212672-0j 0.000306965-0j 0.00263168-0j 0.00153514-0j 0.00037985-0j 0.000221579-0j -0.0044492-0j -0.000786515-0j 0.00174895-0j -6.55429e-05-0j 0.00107101-0j 0.00153033-0j 0.000309173-0j 0.000189329-0j 0.000631229-0j 2.57644e-05-0j 0.000270527-0j 1.57774e-05-0j 0.000111587-0j 2.25439e-05-0j 9.29888e-06-0j -0.223903-0j 0.000192926-0j 0.750663-0j 0.000118142-0j 2.41157e-05-0j -0.206513-0j 1.42103e-06-0j -0.208653-0j -0.000646807-0j -0.180699-0j -0.000396087-0j 0.000177941-0j -0.149069-0j -8.08508e-05-0j 0.000108966-0j 0.000179785-0j -4.76418e-06-0j -0.0476283-0j 2.22427e-05-0j 0.000110096-0j 0.000155699-0j 9.53456e-05-0j 1.31066e-06-0j 0.000128445-0j 2.24732e-05-0j 1.94623e-05-0j 7.86561e-05-0j 1.32424e-06-0j 4.10388e-05-0j 1.60556e-05-0j 2.5131e-05-0j 1.14683e-06-0j 5.12985e-06-0j 9.46086e-07-0j 3.02279e-07-0j 
-0.000734135-0j -0.00431103-0j 0.00420478-0j 0.00487948-0j 0.000704292-0j -5.31954e-05-0j 0.00348891-0j -7.67809e-06-0j 0.000503581-0j -0.00174895-0j -0.000309173-0j 6.9524e-05-0j -2.57644e-05-0j -0.00124951-0j 0.00172352-0j 1.22902e-05-0j -0.000220884-0j 0.00215826-0j 1.02419e-06-0j 0.000304678-0j -1.8407e-05-0j 0.000381531-0j 2.53898e-05-0j 3.17942e-05-0j 0.261221-0j -0.00022508-0j 0.00511251-0j -0.000137833-0j -2.8135e-05-0j -0.473818-0j -1.65787e-06-0j 0.462139-0j -4.40518e-06-0j 0.00365255-0j -2.69761e-06-0j 0.000408264-0j -0.338788-0j -5.50648e-07-0j 0.000250009-0j -0.000398201-0j -3.24472e-08-0j -0.217452-0j 5.10329e-05-0j -0.000243847-0j -3.14721e-06-0j -1.92727e-06-0j 3.00715e-06-0j 0.000291916-0j -4.97751e-05-0j -3.93402e-07-0j 0.000178761-0j -2.93303e-06-0j 0.000187367-0j 3.64895e-05-0j 0.000114738-0j -2.31814e-08-0j 2.34208e-05-0j 2.15016e-06-0j 1.38008e-06-0j 
-0.00605318-0j 0.0290385-0j 0.0293394-0j -0.000354453-0j 0.00487573-0j -0.000438613-0j -0.000255857-0j 0.00603341-0j 0.00351949-0j -0.10705-0j -0.00618083-0j 0.0420807-0j -0.00156706-0j 0.0257691-0j 0.0368206-0j 0.00242964-0j 0.00148784-0j 0.0151877-0j 0.000615998-0j 0.00212594-0j 0.00037722-0j 0.000876903-0j 0.000538998-0j 0.000222325-0j -0.000192926-0j -0.218871-0j 0.000646807-0j -1.96904e-05-0j 0.000383046-0j -0.000177941-0j 4.53793e-05-0j -0.000179785-0j 0.73379-0j -0.000155699-0j 6.60144e-05-0j -0.201871-0j -0.000128445-0j -0.00128421-0j -1.81611e-05-0j -0.203963-0j -0.000152139-0j -4.10388e-05-0j 0.000353295-0j -1.83493e-05-0j -0.176637-0j -1.58909e-05-0j 4.18547e-05-0j -0.145718-0j 0.000356957-0j 0.000309134-0j -1.31094e-05-0j 4.22885e-05-0j -0.0465577-0j 0.000255022-0j -4.1885e-06-0j 3.66229e-05-0j 8.14808e-05-0j 3.02123e-05-0j 9.65298e-06-0j 
-0.0259476-0j 0.00776957-0j -0.00266732-0j -0.0015194-0j -0.000219306-0j 0.00553344-0j -0.00109676-0j 0.000798683-0j -0.000158304-0j -0.00107101-0j -0.000189329-0j -0.00124951-0j -1.57774e-05-0j -0.000679275-0j 0.00321771-0j -0.000220884-0j -0.00012008-0j -0.000450972-0j -1.8407e-05-0j 0.000568817-0j -1.00067e-05-0j -7.97213e-05-0j 4.74014e-05-0j -6.64344e-06-0j 0.159964-0j -0.000137833-0j 0.180699-0j -8.4405e-05-0j -1.72291e-05-0j -0.43422-0j -1.01523e-06-0j 0.149069-0j -0.000155699-0j 0.114606-0j -9.53456e-05-0j 0.000374144-0j -0.313436-0j -1.94623e-05-0j 0.000229116-0j -0.000128445-0j -1.14683e-06-0j 0.0340273-0j 4.6768e-05-0j -7.86561e-05-0j -9.87503e-05-0j -6.04719e-05-0j 2.75583e-06-0j 0.000270072-0j -1.60556e-05-0j -1.23438e-05-0j 0.000165384-0j -9.46086e-07-0j -2.93195e-05-0j 3.3759e-05-0j -1.79545e-05-0j -7.27364e-07-0j -3.66494e-06-0j 1.98927e-06-0j -2.15959e-07-0j 
-0.0037068-0j -0.000377137-0j -0.000381045-0j 0.0417206-0j -3.13295e-05-0j 0.0516266-0j 0.0301155-0j -3.87683e-05-0j -2.26148e-05-0j 0.000454095-0j -0.0154294-0j -0.000178501-0j 6.68945e-06-0j -0.000109309-0j -0.000156189-0j 0.00606517-0j 0.00371414-0j -6.44245e-05-0j -2.62957e-06-0j 0.00530702-0j -1.61028e-06-0j 0.00218903-0j -2.30088e-06-0j -9.49063e-07-0j -0.000118142-0j -1.96904e-05-0j 0.000396087-0j -0.220414-0j 0.000473087-0j -0.000108966-0j -1.45033e-07-0j -0.000110096-0j 6.60144e-05-0j -9.53456e-05-0j 0.738963-0j -1.81611e-05-0j -7.86561e-05-0j -0.00158608-0j -0.203294-0j -1.83493e-05-0j 4.86242e-07-0j -2.5131e-05-0j 0.000436343-0j -0.205401-0j -1.58909e-05-0j -0.177883-0j -1.33769e-07-0j -1.31094e-05-0j 0.000440865-0j 0.0003818-0j -0.146746-0j -1.35155e-07-0j -4.1885e-06-0j 0.000314969-0j -0.0468859-0j -1.17048e-07-0j 0.000100634-0j -9.65595e-08-0j -3.08512e-08-0j 
-0.035791-0j -0.00366477-0j -0.00380896-0j 0.00217102-0j 0.00031336-0j 0.00251958-0j 0.00140704-0j 0.000363671-0j 0.000203089-0j 0.00153033-0j 0.000270527-0j -0.00172352-0j 2.25439e-05-0j -0.00321771-0j 0.00151683-0j -0.000304678-0j -0.000568817-0j 0.00304559-0j -2.53898e-05-0j 0.00026814-0j -4.74014e-05-0j 0.000538389-0j 2.2345e-05-0j 4.48657e-05-0j -0.228568-0j 0.000196945-0j 0.249248-0j 0.000120604-0j 2.46181e-05-0j 0.204814-0j 1.45064e-06-0j 0.212872-0j -0.000214764-0j -0.524076-0j -0.000131516-0j -0.000176477-0j 0.13274-0j -2.68455e-05-0j -0.00010807-0j -0.000183421-0j -1.58189e-06-0j -0.509846-0j -2.20597e-05-0j -0.000112322-0j 0.000451569-0j 0.000276528-0j -1.29988e-06-0j -0.000114375-0j -2.29276e-05-0j 5.64461e-05-0j -7.004e-05-0j -1.35102e-06-0j 0.000439307-0j -1.42969e-05-0j 0.00026902-0j 3.32612e-06-0j 5.49134e-05-0j -8.42451e-07-0j 3.2358e-06-0j 
0.000756647-0j -0.00733661-0j -0.00741264-0j -0.00423594-0j 0.0284291-0j -0.0052417-0j -0.00305766-0j 0.0351792-0j 0.0205212-0j -9.26917e-05-0j -0.149296-0j 3.64364e-05-0j -0.0186022-0j 2.23127e-05-0j 3.18819e-05-0j 0.0586873-0j 0.0359385-0j 1.31506e-05-0j 0.00731239-0j 0.0513514-0j 0.00447791-0j 0.0211814-0j 0.00639834-0j 0.00263918-0j 2.41157e-05-0j -0.000383046-0j -8.08508e-05-0j -0.000473087-0j -0.213528-0j 2.22427e-05-0j 0.000812299-0j 2.24732e-05-0j 0.00128421-0j 1.94623e-05-0j 0.00158608-0j -0.000353295-0j 1.60556e-05-0j 0.715878-0j -0.000436343-0j -0.000356957-0j -0.00272333-0j 5.12985e-06-0j -0.196943-0j -0.000440865-0j -0.000309134-0j -0.0003818-0j 0.000749209-0j -0.000255022-0j -0.198984-0j -0.172325-0j -0.000314969-0j 0.000756973-0j -8.14808e-05-0j -0.142161-0j -0.000100634-0j 0.000655558-0j -0.0454212-0j 0.000540807-0j 0.000172791-0j 
0.000122356-0j -0.0338783-0j 0.0330433-0j -0.000813246-0j 0.0111867-0j 8.86589e-06-0j -0.000581485-0j -0.000121956-0j 0.00799872-0j -0.0420807-0j -0.00242964-0j 0.00167279-0j -0.000615998-0j -0.0300639-0j 0.0414689-0j 9.65829e-05-0j -0.00173582-0j 0.0519291-0j 2.44871e-05-0j 0.00239431-0j -0.00044009-0j 0.00299826-0j 0.000607041-0j 0.000760163-0j 0.00022508-0j 0.255349-0j 4.40518e-06-0j 2.29721e-05-0j -0.000446887-0j -0.000408264-0j -5.29425e-05-0j 0.000398201-0j 0.0049976-0j 3.14721e-06-0j 4.49602e-07-0j -0.463168-0j -0.000291916-0j -8.74631e-06-0j -4.16682e-05-0j 0.451752-0j -1.03617e-06-0j -0.000187367-0j 0.000810591-0j 4.06412e-05-0j 0.00357046-0j 3.21211e-07-0j 9.60302e-05-0j -0.331173-0j -0.000790612-0j -6.24867e-06-0j -2.97935e-05-0j -9.36633e-05-0j -0.212564-0j 0.000579587-0j -1.9123e-05-0j -7.40276e-07-0j 0.000372009-0j 6.86633e-05-0j 4.40717e-05-0j 
0.044819-0j -0.00155593-0j -0.00743016-0j -0.000895501-0j -0.000129254-0j 0.00324758-0j -0.000773897-0j 0.000468748-0j -0.000111702-0j -0.000631229-0j -0.000111587-0j 0.00215826-0j -9.29888e-06-0j -0.000450972-0j -0.00304559-0j 0.000381531-0j -7.97213e-05-0j 0.00369791-0j 3.17942e-05-0j -0.000538389-0j -6.64344e-06-0j 0.000653705-0j -4.48657e-05-0j 5.44754e-05-0j 0.0942795-0j -8.12357e-05-0j -0.312119-0j -4.97465e-05-0j -1.01545e-05-0j 0.0869569-0j -5.98357e-07-0j 0.415251-0j 0.000268937-0j -0.222989-0j 0.000164689-0j -7.49262e-05-0j 0.0751486-0j 3.36171e-05-0j -4.58827e-05-0j -0.0003578-0j 1.98091e-06-0j -0.373397-0j -9.36577e-06-0j -0.000219107-0j 0.000192138-0j 0.00011766-0j -5.51883e-07-0j -6.47516e-05-0j -4.4725e-05-0j 2.40172e-05-0j -3.96521e-05-0j -2.63545e-06-0j 0.000321736-0j -8.09395e-06-0j 0.000197022-0j 1.41523e-06-0j 4.0217e-05-0j -4.7694e-07-0j 2.36981e-06-0j 
