-0.985065-0.0063802j -0.0719269+0.0228229j -0.0623481-0.0168078j 0.000727812+0.0494702j 0.0758304+0.0291234j -0.0696763+0.0265358j 0.0534926-0.046443j -0.0148701-0.0212226j 0.027339-0.030265j 0.040699+0.00768871j 0.00682351+0.00776159j -0.0651156-0.0020541j -0.0656652+0.0104638j 0.0318586+0.00132506j -0.0226711-0.0137543j -0.00398367-0.00139549j -0.0202501-0.00518159j 0.0147653-0.00224723j -0.0370386+0.000630779j -0.0314086+0.0155113j -0.00702473-0.0174538j -0.00604268+0.0104112j 0.0252538+0.00107208j 0.0248485+0.00700235j 0.00312549+0.0168101j 0.0389111+0.00247298j 0.00600676-7.10171e-05j 0.000518892-0.00427779j -0.0169731+0.00387156j 0.0123481+0.00329301j -0.000393442+0.0155247j 0.008903-0.00992522j -0.022632+0.00346753j -0.000385355+0.0123519j 0.00745369-0.00346904j -0.0269973+0.028013j 0.00164294-0.0246373j 0.0178081+0.0246921j 0.0251897+0.00418699j -0.00302987+0.00686364j 
0.0461165+0.0241223j -0.0569849-0.00401861j 0.109741+0.0340989j 0.0625415-0.020201j 0.140324-0.0529689j -0.05426-0.174478j -0.117392-0.067872j 0.0350676+0.0171196j -0.0322151+0.0328681j 0.0267648-0.124815j 0.049998+0.178401j 0.0996999-0.126522j -0.0680813-0.0783824j 0.15083+0.213019j -0.0481163+0.195671j 0.048826+0.00802599j 0.0360396-0.0111773j -0.0359129+0.0914296j -0.0421876-0.039234j -0.00430442-0.0308515j 0.0206953-0.0516012j -0.0144807+0.062922j 0.0318409-0.0260101j -0.00355486+0.00652644j 0.0213912-0.0210953j -0.00858282-0.0028743j 0.0331862-0.00197001j -0.0107801+0.030599j 0.00673743+0.0228763j -0.0905163-0.0136929j 0.029759-0.0291385j 0.0465778+0.00982894j 0.0175055+0.0514999j 0.0305309+0.0042252j 0.051478+0.0134979j -0.0860254+0.0720829j -0.0250533-0.0107946j 0.03428-0.00565582j -0.00623057+0.029093j -0.0520023-0.034894j 
-0.0207652+0.00839359j 0.119301-0.096894j 0.16212-0.0747146j 0.0475396-0.0551198j 0.0661197-0.130006j 0.00898575+0.0394968j 0.130347-0.0888299j 0.122348+0.0842048j 0.0606569-0.0492206j 0.0287611-0.0499098j -0.00585629-0.0617318j 0.0643254-0.0430997j 0.204931-0.191392j 0.0532915-0.152217j -0.131303+0.187337j -0.170694+0.156251j 0.0548991-0.153083j 0.0102669+0.0471775j 0.116211-0.0493j 0.00101849+0.00560105j 0.0220309+0.0257979j -0.00561583-0.0190882j 0.00556019-0.0271584j -0.0117052+0.00856122j -0.0195556-0.0436514j 0.0030465-0.00199738j -0.0043149-0.00162821j 0.0284597+0.000418998j -0.000958699-0.0211184j -0.0424184+0.000902352j 0.0394905+0.020393j 0.0408957-0.00871732j -0.035338-0.022525j -0.00857254-0.0104344j -0.00314413+0.0507112j 0.0430824-0.0587381j -0.0247929-0.00274282j 0.0446333-0.0610481j 0.0220458+0.102627j -0.0301436-0.0146476j 
-0.0250107-0.00277679j -0.0218946-0.0303645j -0.0446169+0.0872951j -0.0218525-0.0498906j -0.0128437+0.0140869j -0.00873742+0.0552698j -0.0624165-0.0277655j -0.0404626-0.0617063j 0.0408819-0.000315633j 0.0974426-0.121455j -0.00208363+0.0447703j -0.139136-0.0868283j 0.222949-0.00349046j -0.36218+0.289882j -0.127278+0.154944j 0.0627296+0.0402108j 0.0243894+0.0202452j -0.102178+0.130142j 0.0191003-0.0358507j 0.0331675-0.0174122j -0.0482738-0.0934584j 0.00621266+0.0185746j 0.00997581-0.0498037j 0.00197826+0.0278149j 0.0222006-0.0155973j -0.0204241+0.0406419j -0.000911748+0.0240445j -0.0039344-0.0237653j 0.0478925-0.0588297j 0.0338361-0.0419646j -0.00719156-0.0188775j -0.0787246+0.0656913j 0.00154037-0.0327256j 0.00119499+0.0660226j -0.0477556+0.0371416j -0.0122334-0.0139339j 0.013651+0.0709759j -0.0159231+0.0310605j -0.00776523+0.00019861j 0.000877042-0.0057121j 
-0.0448232+0.0166389j -0.00871342+0.0315745j 0.0894015-0.0139098j -0.057645-0.028579j 0.0374866-0.0868487j -0.0749836-0.0426414j 0.0085755-0.0709887j 0.00567428+0.0114464j 0.0187561-0.0913018j 0.191077-0.0413663j -0.243744-0.0686794j -0.115567-0.0311268j -0.00268433-0.00817243j 0.210174-0.296109j 0.103544-0.124215j 0.0453595+0.00597934j 0.0515964+0.0281842j -0.082358+0.0166374j -0.0293992-0.0886792j 0.0128498+0.0351704j 0.0102392+0.0472458j -0.055799-0.0197972j -0.0482733-0.00881335j -0.0330394-0.0184565j -0.0549966-0.0202778j 0.00292646+0.0260359j -0.0183098+0.0631739j 0.00387906+0.0139081j 0.0356776+0.0173092j -0.113795+0.0381616j 0.0178237-0.00411868j -0.0163285+0.0222649j 0.0210523+0.0435067j -0.00281309+0.0222249j 0.020502-0.0136653j -0.0241081+0.0190261j -0.00973318-0.0494556j 0.0220353-0.0382925j 0.0292448+0.0171185j -0.00267922+0.0116147j 
-0.00927392+0.0406112j -0.00675374-0.00769987j 0.0221131+0.00250102j 0.0261777-0.0439164j 0.00576584-0.0606383j -0.0337192+0.0416846j -0.0240171+0.0163851j 0.0183318-0.00417148j 0.0185469+0.0431585j -0.0378553-0.0661054j 0.433921-0.144806j -0.285445-0.331332j 0.163558+0.195134j -0.134937-0.0407891j 0.162388+0.247596j 0.0231062+0.0449802j -0.0595041-0.0700859j 0.0700585+0.084979j 0.0642311+0.0997787j 0.0353157+0.00978432j -0.0856494-0.0945418j 0.100825-0.0379589j -0.0602078-0.0299732j -0.0053353-0.00570919j -0.0252568-0.0477369j 0.0252839+0.00214228j -0.036146+0.00999661j 0.00297148+0.00505632j 0.0459209+0.020603j 0.0187568+0.0227033j -0.0158803-0.0254131j -0.0404577-0.0432021j 0.0578229-0.0113921j 0.00263176-0.0177477j 0.024243-0.0097746j 0.0554571+0.0499609j -0.00568281+0.0716489j -0.0249589+0.010647j -0.0953645-0.0122363j -0.0585231-0.061782j 
0.000224517-0.00102977j -0.0493995+0.0319402j -0.058918+0.0653066j 0.021832+0.184333j -0.108241-0.0996174j -0.088355-0.101587j 0.0151975+0.0376419j -0.00666608-0.0201161j -0.2001-0.00385009j 0.202577+0.1622j 0.0596126+0.0381173j -0.166309-0.0269247j -0.124449+0.0663969j -0.18986+0.186811j 0.137129-0.0276454j -0.0149742-0.164457j -5.93578e-05+0.149268j -0.069595-0.104094j -0.0645936+0.110525j 0.0522787-0.0425054j 0.227017+0.0484377j 0.0156572+0.0273474j -0.0814513-0.0179765j -0.00543256-0.00882191j -0.129699+0.00579135j 0.0192228+0.00221094j -0.00211136-0.0108656j 0.0342678+0.00315984j -0.0132343+0.0288808j -0.0728393-0.0654977j 0.0346188+0.0132973j 0.00120858+0.0397822j 0.0108885+0.0248009j -0.0146242-0.0180967j 0.00132514+0.0244288j 0.00302481+0.0489748j 0.0176776-0.0626009j -0.0487759+0.0164462j 0.0274655-0.04439j 0.0566027+0.029031j 
0.0244773+0.0354818j -0.0715463+0.0754127j -0.141603+0.115667j 0.165256-0.0445242j 0.0552999-0.0420993j 0.051613-0.0242186j 0.104674+0.0195919j 0.0593918-0.0894873j 0.054996-0.090391j -0.0278429-0.0235197j -0.142233-0.378505j 0.360013-0.294648j -0.159172+0.0764894j 0.0914173+0.0586948j -0.0157309+0.0332947j -0.0561327+0.0295225j -0.143285+0.166241j -0.116478+0.0576741j 0.0474804+0.0134709j -0.0250629-0.0304099j 0.0236384-0.0165819j 0.0103228-0.0669064j 0.069192-0.0841806j 0.0291155-0.044527j 0.0423924-0.0254819j -0.014981+0.0069581j -0.0351625-0.00537865j -0.0100802+0.0139516j -0.0293611+0.0262017j 0.0358187-0.0458001j 0.00530268-0.00587818j 0.00156903-0.0345483j -0.0263307+0.0117365j -0.0168629-0.0315451j -0.00605586+0.0167799j 0.00615587-0.0384898j 0.00418172+0.0189312j -0.0151372+0.0331859j 0.00112356-0.0175255j 0.0160206-0.0045205j 
-0.026147-0.0165917j -0.0536519+0.0492647j -0.0239872+0.0411033j 0.08747-0.0248679j 0.00347687-0.0764175j -0.00115826+0.0277204j 0.0344028+0.0131781j 0.0374835-0.0211132j -0.0265071-0.0609862j -0.0659848-0.165353j -0.191165-0.265009j -0.0383291-0.0192167j 0.109581+0.0201258j -0.290855-0.0885702j -0.0236363-0.120724j -0.04311-0.0389277j -0.0637179+0.0947732j 0.018143+0.0882875j 0.0940562-0.0214965j 0.0216387-0.0303053j 0.0235996+0.0185843j -0.0850601-0.0661413j 0.0497089+0.0394673j -0.0373631+0.000545095j -0.000396605+0.00429j -0.0288705-0.0535782j 0.0506269+0.0323144j 0.010605+0.0156347j 0.00293801+0.024953j 0.0174531+0.011114j 0.0181328-0.0161272j -0.0089319-0.0322317j 0.00388827-0.0113598j -0.0307589-0.0093638j -0.00110213-0.0207128j 0.00821309+0.0087296j -0.00659207-0.024551j -0.0314692+0.0304328j -0.0344162+0.0147132j -0.00600954+0.00662516j 
-0.0172327-0.0471835j 0.0134032+0.0639926j -0.0418659+0.0583436j 0.0753987+0.0984807j -0.0632059-0.140389j 0.0496406+0.101637j 0.0711214+0.0553911j 0.0388894+0.013263j -0.124196-0.105302j -0.253729-0.341102j -0.0622406-0.0522689j 0.168346-0.0116744j -0.190975-0.0461518j -0.0251808+0.0144631j 0.010561-0.0303569j -0.118188-0.128659j -0.0816609+0.0402138j 0.219721+0.241697j 0.0126595+0.0473447j 0.015113-0.00641669j 0.0686244-0.0804926j 0.0147602-0.0201537j -0.0298079-0.0482829j -0.0131864-0.0146865j -0.0435044-0.0112073j 0.0102271+0.0264868j -0.00473209-0.00601578j 0.0121175-0.0198967j -0.022586+0.03193j 0.025015+0.00699814j 0.00643212-0.0234514j -0.00445889+0.0222236j 0.0125465+0.0225121j 0.0111089-0.0137815j 0.0192481+0.0309592j 0.0213301+0.0166219j 0.00432757+0.0011123j 0.0086165+0.015641j -0.00882252-0.0172018j -0.00703146-0.0327803j 
-0.0067742-0.0230952j -0.0116846+0.00892352j 0.0104083-0.0437198j -0.0410082-0.185171j 0.0224642+0.0830039j 0.0416839+0.111528j 0.0236859-0.11828j 0.0575153+0.0386196j 0.0891957+0.108186j -0.13017-0.230491j -0.102774+0.0196533j 0.0611583+0.0717901j -0.0697281-0.0282401j -0.0429251-0.112196j 0.0283247-0.0487683j 0.168105+0.167871j -0.109592-0.10846j 0.0393545+0.030697j -0.0277668-0.103257j -0.00378039-0.0270261j -0.0855584-0.152655j 0.00480361+0.0157477j 0.0108695+0.0707863j -0.0211789-0.000986813j -0.00538533+0.084951j 0.0067306-0.00850402j 0.00280348-0.00709205j 0.0304664-0.0167913j 0.00912312+0.000198278j 0.0322128+0.122932j 0.049771-0.0133621j 0.00315192-0.0242427j 0.0180243+0.00403079j -0.0391746-0.0267312j 0.0281604+0.0025401j -0.0500536-0.0302087j -0.0422679-0.0128194j 0.0819924+0.016965j -0.000821558+0.044683j -0.0780341-0.0769862j 
-0.00360718+0.00709144j 0.0357698-0.0759423j 0.0560521-0.0539231j 0.0700006+0.000204585j 0.0241963+0.0374828j 0.0531755-0.025283j 0.0143381-0.0584062j 0.0705463+0.027744j 0.0929827+0.109987j -0.177589+0.135266j 0.19842-0.0784719j 0.155061+0.104573j 0.0562361+0.022947j -0.073133+0.0209076j -0.0963345-0.0163892j -0.0940488-0.0387402j -0.0805325-0.0144508j 0.0504464-0.226271j 0.0268376-0.0489321j 0.028768-0.0100228j -0.0491098+0.00723685j 0.0136693+0.00234089j 0.0493675+0.0606038j -0.0129652-0.00613213j -0.0113487+0.0318958j -0.0192926-0.00443184j -0.0102239+0.019024j -0.0181305-0.0201392j 0.01613+0.0156993j -0.00401008-0.012666j 0.0121731-0.0079777j -0.00549722+0.0274991j 0.0381978+0.0196485j -0.0107306-0.00333966j -0.00481629-0.0222059j 0.000817056+0.0209422j -0.0132369-0.0353291j 0.0094722-0.00670797j -0.0188271+0.0146183j -0.0212418+0.0244435j 
0.0290727+0.0351882j -0.0809116-0.119891j -0.0251414-0.0582722j -0.0154037-0.10293j -0.060632+0.0999541j -0.077995-0.0122576j 0.0112544-0.0354971j -0.0733782+0.034016j -0.0626545+0.148554j 0.187563+0.212482j 0.0544162-0.016063j 0.0042906+0.054924j -0.148385-0.05244j -0.0681579-0.0554125j 0.0768495+0.0251371j 0.0125123+0.24097j -0.108393-0.0989011j -0.0456434-0.0850312j -0.0100804-0.0708516j 0.0440787+0.0449542j 0.092018-0.096997j 0.0433982-0.0209791j -0.0105171+0.0220603j -0.0513043+0.0498334j -0.045597+0.0163609j -0.00651748+0.00396513j -0.000206393+0.000565502j 0.00354811+0.00714654j 0.035589+0.00870075j -0.0252543-0.0011947j 0.0192076+0.022493j -0.0234247+0.0139373j -0.000255928-0.00746665j -0.00228234+0.0281854j 0.00292298-0.00401272j -0.0480351-0.0196791j 0.000904448-0.0294661j 0.00613689-0.0149532j 0.0361793+0.0524859j 0.00505844-0.0386628j 
0.00824764+0.0160526j 0.037327-0.0694765j 0.0830263-0.0816268j -0.200482-0.131808j 0.114936+0.067152j 0.0214642+0.0377844j -0.0818844-0.174903j 0.0275043+0.0993115j 0.258831+0.0881164j 0.0986029+0.0260043j -0.0534564+0.0606775j -0.0260809-0.0275507j 0.0730255+0.0675695j 0.0585694+0.0203154j -0.00603824-0.0098951j 0.136424+0.0332996j 0.0162715+0.110584j -0.0270947-0.044885j -0.0502341-0.0262174j 0.00490239-0.0145074j -0.0672342-0.0650755j -0.0273806-0.02789j 0.0184919+0.00440471j 0.00731189+0.0210888j 0.0189137+0.0547038j 0.00828805+0.00565522j -0.00445104-0.00564844j 0.0072183-0.0230918j 0.00639251+0.0332921j 0.00378952-0.0126569j 0.00558912-0.0186689j 0.00924593+0.0051667j 0.0295172+0.0295265j -0.0287519-0.0222817j -0.00484785-0.00403425j -0.0286315-0.0106487j -0.0273343-0.0210457j 0.0642502+0.0255086j -0.00231039+0.0021273j -0.0469495-0.0194543j 
