0.204717-0.00609404j 0.0447326+0.0456026j 0.0180648+0.114227j -0.02303+0.0322318j 0.0190245-0.0276274j -0.0338121-0.0293315j -0.0159593+0.0459691j 0.0321635+0.0423626j 0.0438177-0.0281536j 0.0173935+0.0103593j -0.0166998+0.00211055j -0.0289695+0.0158081j 0.00833873+0.0176693j -0.0150857+0.0171555j 0.0111239+0.033134j 0.0217147+0.00768167j -0.00454642+0.00257523j -0.020701+0.0304477j -0.0285608-0.0179893j 0.0303829-0.0270503j 0.00104611-0.0304254j -0.0147545+0.0287121j -0.0340048-0.00470306j 0.0108639-0.000372112j 
0.0082738+0.0185465j -0.0337735-0.0581j -0.00945261+0.0482636j 0.0217425+0.0327298j -0.00679385+0.0129087j -0.0914429+0.0401549j 0.0562224+0.0225045j -0.0928416-0.100578j -0.0746348-0.00880966j 0.0387008-0.0637547j 0.0165372+0.064207j 0.00847478-0.034229j -0.0640061+0.0607608j 0.0224586-0.0871329j -0.0134966+0.0546395j -4.31129e-05-0.00316492j 0.070271-0.203483j -0.0143503-0.0453227j -0.407848+0.0887077j 0.133335+0.0270208j -0.0283657-0.0971134j -0.0779567-0.186106j -0.147566+0.169943j 0.277486-0.00841511j 
-0.072949+0.00850061j 0.0177138+0.0288399j 0.0493454+0.0397394j -0.0360294-0.0786025j -0.0298723-0.00725296j 0.134099+0.00310575j 0.0515909-0.0603565j 0.0279407-0.126994j -0.0683006-0.050877j -0.00855733+0.0306109j 0.099193-0.0315502j -0.0162408-0.0137038j 0.090896+0.118452j -0.100241+0.0503153j 0.057695+0.00172804j 0.0523695-0.00947318j -0.167862+0.0521757j 0.125383+0.181252j -0.279686-0.216129j 0.144918-0.00513861j 0.0225727-0.147322j 0.0404176-0.0306441j -0.242647-0.00462085j 0.155256+0.179749j 
-0.0153604-0.0143094j 0.0399451+0.048714j 0.0143914-0.0116838j 0.0264147-0.0454712j -0.0632393-0.081981j 0.02839+0.0722715j -0.0418853+0.0156495j 0.0151949+0.00489724j -0.0504634+0.0336744j 0.00269906-0.00962723j -0.0361498-0.0299806j 0.0760126+0.0718428j -0.0779657-0.0556654j -0.102731-0.14527j 0.0515793+0.0590494j 0.113767-0.0933753j 0.150382+0.162594j -0.0505128-0.124892j -0.156101+0.0481624j -0.0836355-0.11232j 0.0442365+0.351326j -0.0731187-0.109187j -0.17426-0.0821462j -0.0227513-0.0415061j 
-0.0259928-0.001759j -0.00172676+0.0718132j -0.0324981+0.0196883j -0.0293747+0.0119986j -0.0859319-0.0207157j 0.0734631+0.0189388j 0.011755-0.117412j 0.00749684+0.0407987j -0.0820898-0.055003j 0.0271332+0.0232465j 0.0139121+0.0527671j -0.00268342-0.0349683j -0.109098+0.0654599j -0.107444+0.0418617j 0.0871396-0.0707239j 0.0493639+0.199436j 0.0800482-0.260967j 0.0547741+0.00626069j -0.161865+0.0835762j -0.275304+0.367137j -0.240032+0.0513053j 0.0207359-0.0686034j -0.00877267-0.129121j -0.0364978-0.0509053j 
0.0244397+0.000417147j 0.0338611-0.020539j 0.00660759+0.000311943j 0.0415012+0.0651313j -0.0127465-0.0570407j -0.0790108+0.0311611j 0.031455+0.0268213j -0.00137512+0.0226866j 0.0129929-0.0066889j 0.0549507+0.0701548j -0.116574+0.0157316j -0.149044+0.0581624j -0.0275367+0.0441175j -0.034327+0.0611519j 0.0414058+0.158965j 0.0409499+0.082266j -0.0310422-0.0157745j -0.132844+0.0300571j 0.0787173-0.108863j 0.0545021+0.0673188j 0.0184536-0.0487673j -0.159944-0.112411j 0.0801729-0.0805652j -0.0317778+0.0567537j 
0.0390763+0.00818614j -0.0379484+0.05965j -0.00140157+0.0456809j -0.0642216-0.049336j 0.0797057+0.024069j 0.0446466-0.0398115j -0.0581684+0.0407802j 0.00105119-0.00252745j -0.0222316-0.00362922j -0.0951145-0.0103377j 0.0727106-0.0799364j 0.0994797-0.139136j -0.0320519+0.00201286j -0.0446621-0.126369j -0.180318-0.0523786j -0.0184339+0.0776611j -0.00310573-0.00186136j -0.0725055+0.0177423j 0.0241519-0.177258j 0.0784819+0.054795j 0.0485352-0.0397607j -0.204171-0.000251917j 0.0656525-0.121542j 0.0453803+0.0763153j 
0.00314547-0.012166j -0.00200849+0.0261074j -0.0354441+0.0650887j -0.0229343+0.0421425j -0.0259803+0.0910971j 0.0275995-0.040754j 0.0433868+0.0886817j 0.00613251+0.0153597j 0.0213174+0.0193904j -0.00452342+0.00763586j -0.0317111+0.0478157j -0.0180833-0.0516159j 0.0349756+0.0916233j 0.12716+0.229122j -0.0547778-0.133696j 0.070381+0.0509111j 0.50402-0.0242177j -0.0158291+0.0659242j -0.0279117+0.0761678j -0.0652222+0.244424j 0.0495994-0.0737741j -0.00533796+0.0851962j 0.0225797+0.0833154j 0.0355845+0.0541424j 
-0.0372914-0.0102398j 0.0796213-0.06298j -0.0329789+0.0416121j -0.0775401+0.0854277j -0.0233345+0.0906504j 0.0575885-0.0720148j 0.101866-0.0168746j 0.0533678+0.0666737j 0.0149158-0.0570117j 0.0598892+0.0106337j 0.0213302+0.0991466j -0.0875039-0.127481j 0.122081-0.221161j -0.0488269-0.0563307j 0.0876931-0.156845j 0.378114+0.173483j 0.0358636+0.105861j 0.106918-0.374874j 0.052496-0.0957703j 0.077677+0.165284j -0.189479-0.0605935j -0.0534185+0.00724391j -0.102637+0.000198575j -0.16849-0.0341676j 
-0.0197514+0.00913817j 0.055498-0.0636562j -0.0383024+0.0490183j -0.104094+0.0475048j -0.111524+0.113305j 0.0541368-0.104208j -0.0408004-0.0957917j -0.0219364-0.102765j -0.00565565-0.00280175j 0.0554871+0.0158817j -0.0471111+0.018271j 0.0061616-0.00555468j 0.150411-0.121251j 0.079592-0.00523964j 0.109917-0.0707296j -0.203987-0.316599j -0.123015+0.0311358j 0.221336-0.220966j 0.0669974-0.11057j -0.083263-0.0460094j 0.0744413+0.110466j -0.0372791+0.114135j 0.0904693+0.12273j 0.107595+0.1545j 
3.02075e-05+0.0206122j 0.0378337-0.00736895j 0.0307465+0.100517j -0.0314705+0.0362191j -0.00781303+0.123593j 0.0525759+0.0368473j 0.110082+0.125145j 0.00503238-0.0249148j 0.0116073-0.0376505j 0.0057561+0.0275414j 0.0116655+0.0530228j -0.110232-0.185536j 0.146884-0.0589468j -0.242066-0.374791j 0.241139+0.169195j -0.00642368-0.0692139j -0.0157297-0.183898j -0.0313114-0.260085j -0.027191-0.113126j -0.111234-0.107587j 0.106687+0.00334801j -0.0223184+0.0376745j -0.0460898+0.0386627j -0.0138061-0.00531005j 
-0.00244561+0.032549j -0.0228235+0.0314554j -0.0453742-0.00231848j 0.207476-0.101654j -0.119187+0.001678j -0.0248895+0.0342304j 0.0676682-0.0205582j -0.00689617-0.00238271j 0.0128271-0.0156056j 0.181115-0.120791j -0.053009-0.00703062j -0.02773+0.0352237j 0.0145934-0.00685954j 0.157241-0.0983036j 0.380904-0.17046j 0.145136-0.0631488j 0.0991841-5.74362e-05j -0.0574369+0.115079j -0.00642079-0.0446642j -0.0629556-0.0902762j -0.161396-0.00424661j -0.0865052-0.0555381j 0.0320638+0.00492566j -0.0720441+0.0681678j 
0.0128828-0.0152155j -0.0126497-0.0608639j 0.0194904-0.0339698j 0.0198619+0.124739j -0.0987363-0.0985726j 0.0109281-0.0244268j -0.153934+0.0433525j 0.0434752-0.0147366j -0.0411125+0.0211479j 0.0618448+0.103496j 0.0414534-0.00718039j 0.230111-0.0862297j -0.188108+0.0989963j -0.0625319+0.092534j 0.130755+0.291883j -0.0310799-0.0787463j -0.0671549-0.0936207j -0.0881043-0.0472419j -0.0896389+0.0152853j -0.186625+0.0906831j -0.0132721+0.107967j -0.109806+0.0253512j -0.0798226+0.00941096j -0.0677606+0.0672487j 
0.00901565-0.0044082j -0.0630197-0.0950988j -0.0149124-0.0542199j 0.0455319+0.163674j 0.118032-0.0350603j 0.124449+0.0122598j 0.0900998-0.0173064j -0.02029+0.00842778j 0.0146908+0.0583297j -0.0402372+0.18105j 0.202147-0.0346455j 0.0416136+0.0417999j 0.161992-0.073088j 0.127589+0.196597j 0.0444946+0.249726j 0.0290583-0.105059j 0.232078-0.124733j 0.00425492-0.0971786j -0.00499509-0.0254952j 0.0468475+0.0376061j -0.0573141+0.0392615j 0.0426129+0.0514414j 0.121203-0.0178945j 0.0933576+0.0249504j 
0.0183967+0.0547493j -0.0108475-0.098549j -0.00169519-0.00840255j -0.0815862+0.0933679j 0.0648+0.0228539j 0.0623622+0.170835j 0.0155402-0.0474046j 0.00372126+0.0242957j -0.0164763-0.00587656j -0.10255+0.00033718j 0.172+0.223359j 0.166838+0.300303j 0.130179-0.00173242j -0.177472+0.134664j 0.0771455+0.114579j -0.0441941-0.0383717j -0.216822-0.0669111j 0.107886+0.0167707j 0.0305249-0.00778954j -0.0594786+0.0183886j 0.0116935-0.0345689j -0.0684711-0.0096477j -0.015333+0.0071683j -0.014972+0.00520564j 
-0.0409202-0.048457j 0.079009+0.0451175j 0.0101972-0.0468215j -0.0364848+0.0175859j 0.0080577-0.122491j -0.0980152-0.106378j 0.061918+0.0268174j -0.0386003-0.0393537j 0.00159366+0.0448035j 0.0636226+0.062629j -0.184236-0.0988447j -0.18276-0.0977942j -0.0182213+0.0248143j -0.0959819+0.121674j 0.0300207+0.0850674j 0.0165834-0.0651191j -0.172563+0.00516384j 0.0510103+0.0849848j 0.00672823+0.00584383j -0.0574088-0.00230754j -0.130593+0.0203414j -0.0528974+0.0125679j 0.0558325+0.0155263j -0.00513862+0.0721109j 
-0.0175484+0.00546798j 0.00770408-0.0988839j -0.0127322+0.0210349j 0.0132656+0.0886589j -0.0561801+0.0723858j -0.0726292+0.0254708j 0.0507216+0.0704267j -0.026598-0.0137064j 0.016375+0.00733584j 0.098842-0.000775684j -0.0510557+0.175648j -0.189996-0.0127301j 0.0616132+0.109825j 0.0326786+0.0173028j 0.144455+0.18259j -0.00562464+0.0244392j 0.039319+0.0375224j -0.105937-0.13985j 0.000572517-0.0113501j 0.0812391+0.0883885j 0.0443741+0.0154607j 0.0572916+0.0554456j 0.0520407+0.0284223j 0.0427888+0.00523601j 
-0.0323435+0.00958624j 0.0588731-0.0501738j -0.0502306-0.0720406j -0.0182973+0.0425597j -0.0520296-0.106993j 0.00845932+0.0256916j 0.0350521-0.160387j -0.00384998+0.0443201j 0.0446932-0.0040164j -0.00411286+0.0287652j -0.00822338+0.0193902j -0.00221562+0.251458j 0.033924-0.0728179j 0.0462864+0.165031j 0.0304377+0.0686168j -0.0179302-0.0205954j 0.0938118-0.0016801j 0.0456108+0.073754j 0.0210192+0.011707j 0.0154982-0.064324j 0.160133+0.00624608j -0.0235755-0.073022j -0.0801359-0.0881512j 0.0120431-0.0691193j 
0.0302391+0.0547158j -0.0684373-0.125827j -0.00248819+0.0174627j 0.0269886+0.0425152j 0.0171189+0.0650083j -0.00786038+0.108489j -0.136243-0.0323663j 0.0253804+0.0331601j -0.0317849-0.0264914j -0.0197849-0.00174073j 0.030757+0.211628j 0.154883+0.205918j -0.149071+0.00390556j 0.073822+0.0264334j -0.0547088+0.0740607j -0.0025235+0.00634814j -0.0890492-0.0086561j -0.0473392-0.107307j -0.0488465-0.0232622j -0.0171337+0.0350377j -0.137272-0.0354156j 0.02978+0.0244391j -0.0114208+0.0496137j -0.0509922+0.00771353j 
0.0389724+0.033936j -0.0204569-0.0609898j 0.0378828+0.0458067j -0.0990818+0.0110568j 0.0974367+0.125585j 0.112669+0.0684164j 0.0730135+0.102708j 0.00402995-0.00879546j -0.0206738-0.00743724j -0.096898-0.034115j 0.234167+0.18617j 0.0783134-0.0174855j 0.194131+0.108111j -0.117621-0.0918253j 0.0510114+0.015063j 0.0244138+0.0217824j 0.0722263+0.0277687j -0.0107299-0.0373098j 0.0146107-0.000119072j -0.00104194+0.0454494j 0.0101972+0.0278912j 0.00860247+0.0180515j 0.0740143+0.0213133j 0.0285667+0.0233815j 
