-0.0059483-0j -0.00105152-0j -8.76267e-05-0j 1.00359-0j -0.000864739-0j -0.000529543-0j -0.000108092-0j -6.36941e-06-0j -0.00327116-0j -0.00330506-0j 0.102107-0j 0.103165-0j -0.000431014-0j -0.00043548-0j -6.22114e-05-0j -5.38767e-05-0j -6.28561e-05-0j -5.4435e-05-0j -6.34943e-06-0j -6.41523e-06-0j -2.8981e-07-0j -2.92814e-07-0j -0.00243053-0j -0.00300763-0j -0.00175445-0j -0.000384301-0j -0.000475548-0j 0.0587666-0j -0.000277403-0j -0.000202544-0j 0.00848223-0j 0.07272-0j -0.000250636-0j -5.06361e-05-0j 0.04242-0j 0.0104962-0j -1.79026e-05-0j -0.000146204-0j -4.21968e-06-0j 0.0061228-0j -4.47564e-06-0j -6.2659e-05-0j -2.21533e-05-0j -3.65511e-05-0j -5.22158e-06-0j -3.7297e-07-0j -1.29228e-05-0j -5.53832e-06-0j -3.04592e-06-0j -1.38998e-08-0j -4.61527e-07-0j -3.23069e-06-0j -1.72001e-08-0j -2.69224e-07-0j -1.00334e-08-0j 
4.74748e-07-0j -2.01213e-05-0j -0.0458784-0j 7.17465e-09-0j -2.86693e-07-0j 7.3226e-10-0j 6.85926e-06-0j 0.00544801-0j 2.61079e-07-0j -2.54644e-07-0j -1.01012e-05-0j 9.85226e-06-0j 3.44002e-08-0j -3.35523e-08-0j 0.000227854-0j -1.03095e-06-0j -0.000222238-0j 1.00554e-06-0j -0.00332434-0j 0.00324241-0j -0.64538-0j 0.629473-0j 1.93986e-07-0j 4.159e-09-0j -2.72775e-07-0j -7.35376e-06-0j -1.57662e-07-0j 2.42483e-08-0j 1.03405e-05-0j 1.61655e-08-0j 0.000160612-0j 5.19875e-10-0j 3.46583e-10-0j -9.68943e-07-0j -3.40969e-08-0j 3.44347e-06-0j 1.42885e-09-0j -2.27313e-08-0j -0.00220928-0j -0.000225846-0j 1.63924e-05-0j -2.07738e-08-0j 3.06339e-11-0j 1.36249e-06-0j -4.73661e-05-0j 0.0184127-0j -2.00918e-09-0j 3.51447e-07-0j 0.00310659-0j -0.19616-0j 0.000394762-0j -2.30503e-05-0j -0.0042056-0j -0.0258912-0j 0.275832-0j 
0.00344811-0j 0.000609545-0j 5.07954e-05-0j 0.00300763-0j 0.000501272-0j 0.000306965-0j 6.2659e-05-0j 3.69222e-06-0j -0.00184225-0j 0.00191588-0j -0.000297291-0j 0.000309173-0j -0.000242737-0j 0.000252439-0j -3.50361e-05-0j -3.03421e-05-0j 3.64364e-05-0j 3.15549e-05-0j -3.57586e-06-0j 3.71878e-06-0j -1.63215e-07-0j 1.69738e-07-0j -0.412084-0j 0.495412-0j -0.297458-0j 0.000222771-0j -0.000267818-0j 0.000176116-0j 0.000160805-0j 0.000117411-0j 2.54202e-05-0j -0.000211729-0j -0.000141153-0j 2.93527e-05-0j 0.000127127-0j -3.05604e-05-0j 1.03778e-05-0j 8.47516e-05-0j 2.44606e-06-0j 1.83493e-05-0j 2.59444e-06-0j -3.52881e-05-0j -1.24762e-05-0j 2.11879e-05-0j -2.94068e-06-0j 2.16203e-07-0j 7.49106e-06-0j -3.11906e-06-0j 1.76566e-06-0j 8.05742e-09-0j -2.59922e-07-0j 1.87276e-06-0j -9.68671e-09-0j 1.56064e-07-0j 5.81615e-09-0j 
-0.00348384-0j -0.000615862-0j -5.13218e-05-0j 0.0029335-0j 0.000488917-0j 0.000299399-0j 6.11146e-05-0j 3.60121e-06-0j -0.00191588-0j 0.00193457-0j -0.000309173-0j 0.00031219-0j -0.000252439-0j 0.000254902-0j -3.64364e-05-0j -3.15549e-05-0j 3.67919e-05-0j 3.18627e-05-0j -3.71878e-06-0j 3.75506e-06-0j -1.69738e-07-0j 1.71394e-07-0j 0.416355-0j -0.49736-0j 0.269839-0j -0.00022508-0j 0.000268871-0j -0.000177941-0j -0.000145874-0j -0.000118628-0j -2.56836e-05-0j 0.000212561-0j 0.000141707-0j -2.96569e-05-0j -0.000115324-0j 3.06806e-05-0j -1.04853e-05-0j -7.68825e-05-0j -2.47141e-06-0j -1.66455e-05-0j -2.62132e-06-0j 3.54269e-05-0j 1.25253e-05-0j -1.92206e-05-0j 2.95224e-06-0j -2.18444e-07-0j -6.79552e-06-0j 3.13132e-06-0j -1.60172e-06-0j -8.14092e-09-0j 2.60944e-07-0j -1.69888e-06-0j 9.72479e-09-0j -1.41573e-07-0j -5.27612e-09-0j 
-0.000545194-0j 0.0045443-0j 0.00115214-0j -0.000475548-0j 0.0037371-0j -4.85354e-05-0j 0.000944182-0j 0.000111857-0j -0.0707238-0j 0.0735505-0j -0.00221637-0j 0.00230496-0j 3.83801e-05-0j -3.99141e-05-0j -0.000527944-0j -0.000226208-0j 0.000549045-0j 0.000235249-0j -8.11073e-05-0j 8.4349e-05-0j -6.18724e-06-0j 6.43454e-06-0j -0.000222771-0j 0.000267818-0j -0.000160805-0j -0.403245-0j 0.484785-0j -2.78464e-05-0j -0.291078-0j -1.85643e-05-0j 0.000383046-0j 3.34773e-05-0j 2.23182e-05-0j 0.000218831-0j -2.01006e-05-0j -0.000460502-0j -1.64087e-06-0j -1.34004e-05-0j 5.54813e-05-0j 0.000276497-0j 3.90945e-05-0j -0.000263081-0j 1.97267e-06-0j 0.000157961-0j -6.67002e-05-0j 6.54993e-06-0j -1.18444e-06-0j -4.69998e-05-0j 4.00486e-05-0j 3.66789e-07-0j -7.8744e-06-0j 2.82199e-05-0j -4.40958e-07-0j 4.72799e-06-0j 2.64763e-07-0j 
0.000550844-0j -0.00459139-0j -0.00116408-0j -0.000463827-0j 0.00364499-0j -4.73391e-05-0j 0.00092091-0j 0.0001091-0j -0.0735505-0j 0.0742681-0j -0.00230496-0j 0.00232745-0j 3.99141e-05-0j -4.03035e-05-0j -0.000549045-0j -0.000235249-0j 0.000554402-0j 0.000237544-0j -8.4349e-05-0j 8.5172e-05-0j -6.43454e-06-0j 6.49732e-06-0j 0.00022508-0j -0.000268871-0j 0.000145874-0j 0.407424-0j -0.486691-0j 2.8135e-05-0j 0.264051-0j 1.87567e-05-0j -0.000387016-0j -3.36089e-05-0j -2.24059e-05-0j -0.000221099-0j 1.82343e-05-0j 0.000462313-0j 1.65787e-06-0j 1.21562e-05-0j -5.60563e-05-0j -0.000250825-0j -3.94996e-05-0j 0.000264116-0j -1.98042e-06-0j -0.000143294-0j 6.69625e-05-0j -6.61781e-06-0j 1.07447e-06-0j 4.71846e-05-0j -3.63301e-05-0j -3.7059e-07-0j 7.90536e-06-0j -2.55997e-05-0j 4.42692e-07-0j -4.289e-06-0j -2.4018e-07-0j 
-0.000431014-0j 0.00728445-0j -6.34943e-06-0j 0.07272-0j -6.2659e-05-0j 0.00737523-0j 0.000748815-0j -4.61527e-07-0j 0.000230281-0j -0.000239485-0j -0.00718805-0j 0.00747535-0j -0.00290086-0j 0.00301681-0j 4.37951e-06-0j -0.000729008-0j -4.55455e-06-0j 0.000758146-0j -4.27337e-05-0j 4.44417e-05-0j 2.04018e-08-0j -2.12173e-08-0j -0.000176116-0j 0.000211729-0j -0.000127127-0j -2.78464e-05-0j 3.34773e-05-0j -0.407108-0j -2.01006e-05-0j -1.46764e-05-0j 0.000614622-0j 0.489429-0j 1.76441e-05-0j 0.000350784-0j -0.293866-0j -0.000738905-0j 0.000374657-0j -1.0594e-05-0j -3.05757e-07-0j 0.000443658-0j 6.23347e-05-0j -0.000421716-0j -0.000450416-0j 0.000253209-0j 3.67585e-07-0j 2.58377e-06-0j 0.000270441-0j -7.49394e-05-0j -2.20707e-07-0j -1.00718e-09-0j -3.10623e-06-0j 4.49955e-05-0j 1.21084e-09-0j 1.86506e-06-0j -7.27019e-10-0j 
0.0832509-0j -5.07954e-05-0j -4.23295e-06-0j -0.000250636-0j 0.0121027-0j -2.55804e-05-0j -5.22158e-06-0j -3.07685e-07-0j 0.00015352-0j -0.000159656-0j 2.47743e-05-0j -2.57644e-05-0j -0.00586063-0j 0.00609487-0j -0.000845909-0j 2.52851e-06-0j 0.000879718-0j -2.62957e-06-0j 2.97988e-07-0j -3.09898e-07-0j 1.36012e-08-0j -1.41448e-08-0j -0.000117411-0j 0.000141153-0j -8.47516e-05-0j -1.85643e-05-0j 2.23182e-05-0j -1.46764e-05-0j -1.34004e-05-0j -0.407814-0j -2.11835e-06-0j 1.76441e-05-0j 0.490278-0j 0.00070869-0j -1.0594e-05-0j 2.5467e-06-0j -8.64813e-07-0j -0.294376-0j 5.90575e-05-0j -1.52911e-06-0j -2.16203e-07-0j -0.000851994-0j 1.03969e-06-0j 0.000511559-0j -7.09995e-05-0j -1.80169e-08-0j -6.24255e-07-0j 2.59922e-07-0j 4.263e-05-0j -6.71451e-10-0j 2.16601e-08-0j -1.56064e-07-0j 8.07226e-10-0j -1.30053e-08-0j -4.84679e-10-0j 
0.00043548-0j -0.00735994-0j 6.41523e-06-0j 0.0709276-0j -6.11146e-05-0j 0.00719344-0j 0.000730358-0j -4.50151e-07-0j 0.000239485-0j -0.000241821-0j -0.00747535-0j 0.00754828-0j -0.00301681-0j 0.00304624-0j 4.55455e-06-0j -0.000758146-0j -4.59899e-06-0j 0.000765543-0j -4.44417e-05-0j 4.48753e-05-0j 2.12173e-08-0j -2.14243e-08-0j 0.000177941-0j -0.000212561-0j 0.000115324-0j 2.8135e-05-0j -3.36089e-05-0j 0.411327-0j 1.82343e-05-0j 1.48284e-05-0j -0.000620991-0j -0.491354-0j -1.77134e-05-0j -0.000354419-0j 0.266581-0j 0.00074181-0j -0.000378539-0j 9.61031e-06-0j 3.08926e-07-0j -0.000402464-0j -6.29806e-05-0j 0.000423374-0j 0.000452187-0j -0.000229699-0j -3.6903e-07-0j -2.61054e-06-0j -0.000245331-0j 7.5234e-05-0j 2.00215e-07-0j 1.01761e-09-0j 3.11844e-06-0j -4.08177e-05-0j -1.2156e-09-0j -1.69189e-06-0j 6.59515e-10-0j 
6.22114e-05-0j -0.00104809-0j 0.0124852-0j -0.0104962-0j -0.000861916-0j 5.53832e-06-0j 0.00502559-0j 0.0018278-0j -3.32381e-05-0j 3.45666e-05-0j -0.0988764-0j 0.102828-0j -4.37951e-06-0j 4.55455e-06-0j -0.00281009-0j 5.21721e-05-0j 0.0029224-0j -5.42573e-05-0j -0.00087892-0j 0.000914049-0j -0.000135134-0j 0.000140536-0j 2.54202e-05-0j -3.05604e-05-0j 1.83493e-05-0j -0.000383046-0j 0.000460502-0j -0.000614622-0j -0.000276497-0j 2.11835e-06-0j -0.394369-0j 0.000738905-0j -2.5467e-06-0j -5.04708e-05-0j -0.000443658-0j 0.474114-0j 1.87237e-07-0j 1.52911e-06-0j 0.000601224-0j -0.28467-0j 0.000208088-0j 6.06765e-05-0j -2.25099e-07-0j -3.64317e-05-0j -0.000722798-0j 0.00010703-0j 1.35155e-07-0j -0.000250166-0j 0.000433987-0j 1.00277e-05-0j -0.000128672-0j 0.000150206-0j -1.20554e-05-0j 7.72582e-05-0j 7.23837e-06-0j 
-0.0841136-0j 5.13218e-05-0j 4.27682e-06-0j -0.000244458-0j 0.0118044-0j -2.49499e-05-0j -5.09288e-06-0j -3.00101e-07-0j 0.000159656-0j -0.000161214-0j 2.57644e-05-0j -2.60158e-05-0j -0.00609487-0j 0.00615433-0j -0.000879718-0j 2.62957e-06-0j 0.000888301-0j -2.65523e-06-0j 3.09898e-07-0j -3.12922e-07-0j 1.41448e-08-0j -1.42828e-08-0j 0.000118628-0j -0.000141707-0j 7.68825e-05-0j 1.87567e-05-0j -2.24059e-05-0j 1.48284e-05-0j 1.21562e-05-0j 0.41204-0j 2.1403e-06-0j -1.77134e-05-0j -0.492205-0j -0.000716034-0j 9.61031e-06-0j -2.55671e-06-0j 8.73775e-07-0j 0.267043-0j -5.96695e-05-0j 1.38713e-06-0j 2.18444e-07-0j 0.000855344-0j -1.04377e-06-0j -0.000464061-0j 7.12787e-05-0j 1.82036e-08-0j 5.66293e-07-0j -2.60944e-07-0j -3.86718e-05-0j 6.7841e-10-0j -2.17453e-08-0j 1.41573e-07-0j -8.10399e-10-0j 1.17978e-08-0j 4.39677e-10-0j 
-6.28561e-05-0j 0.00105895-0j -0.0126145-0j -0.0102375-0j -0.000840672-0j 5.40182e-06-0j 0.00490172-0j 0.00178275-0j -3.45666e-05-0j 3.49039e-05-0j -0.102828-0j 0.103832-0j -4.55455e-06-0j 4.59899e-06-0j -0.0029224-0j 5.42573e-05-0j 0.00295091-0j -5.47866e-05-0j -0.000914049-0j 0.000922967-0j -0.000140536-0j 0.000141907-0j -2.56836e-05-0j 3.06806e-05-0j -1.66455e-05-0j 0.000387016-0j -0.000462313-0j 0.000620991-0j 0.000250825-0j -2.1403e-06-0j 0.398455-0j -0.00074181-0j 2.55671e-06-0j 5.09938e-05-0j 0.000402464-0j -0.475978-0j -1.89178e-07-0j -1.38713e-06-0j -0.000607455-0j 0.258239-0j -0.000210245-0j -6.0915e-05-0j 2.25984e-07-0j 3.30491e-05-0j 0.000725639-0j -0.000108139-0j -1.22606e-07-0j 0.000251149-0j -0.000393691-0j -1.01316e-05-0j 0.000129178-0j -0.000136259-0j 1.21028e-05-0j -7.00848e-05-0j -6.56629e-06-0j 
-0.0103704-0j 0.0572449-0j -0.000151808-0j 6.2659e-05-0j 0.0710855-0j -0.0012292-0j 0.0118939-0j -1.47384e-05-0j -3.83801e-05-0j 3.99141e-05-0j 0.000292033-0j -0.000303705-0j -0.0697965-0j 0.0725861-0j -0.0100423-0j -0.00572892-0j 0.0104437-0j 0.00595789-0j -0.00102171-0j 0.00106255-0j 8.15241e-07-0j -8.47825e-07-0j 2.93527e-05-0j -3.52881e-05-0j 2.11879e-05-0j -0.000218831-0j 0.000263081-0j -0.000350784-0j -0.000157961-0j -0.00070869-0j -5.04708e-05-0j 0.000421716-0j 0.000851994-0j -0.397958-0j -0.000253209-0j 6.06765e-05-0j -6.24428e-05-0j -0.000511559-0j 0.00105534-0j -3.64317e-05-0j 0.000990104-0j 0.478429-0j 7.50693e-05-0j -0.287261-0j -0.00126874-0j 8.251e-05-0j -4.50736e-05-0j -0.00119031-0j 0.000761786-0j -4.83288e-08-0j -9.91944e-05-0j 0.000714695-0j 5.81013e-08-0j 5.95589e-05-0j -3.48855e-08-0j 
2.53977e-05-0j -0.0012967-0j 3.74144e-07-0j 2.21533e-05-0j 3.69222e-06-0j 0.125298-0j -0.000133296-0j 2.71957e-08-0j -1.35694e-05-0j 1.41118e-05-0j -2.18976e-06-0j 2.27728e-06-0j 0.000516381-0j -0.00053702-0j -2.58065e-07-0j -0.0123851-0j 2.6838e-07-0j 0.0128801-0j 7.60701e-06-0j -7.91105e-06-0j -1.20219e-09-0j 1.25024e-09-0j 1.03778e-05-0j -1.24762e-05-0j 7.49106e-06-0j 1.64087e-06-0j -1.97267e-06-0j -0.000374657-0j 1.18444e-06-0j 8.64813e-07-0j 1.87237e-07-0j 0.000450416-0j -1.03969e-06-0j -6.24428e-05-0j -0.000270441-0j -2.25099e-07-0j -0.400719-0j 6.24255e-07-0j 1.80169e-08-0j 1.35155e-07-0j 0.001059-0j 7.50693e-05-0j 0.481748-0j -4.50736e-05-0j -2.16601e-08-0j -4.59934e-07-0j -0.289254-0j -0.00127314-0j 1.30053e-08-0j 5.93485e-11-0j 5.52938e-07-0j 0.000764429-0j -7.13493e-11-0j -3.31998e-07-0j 4.284e-11-0j 
