0.354529+0.111548j -0.244085+0.571603j -0.0237248-0.00384521j 0.497916+0.328625j -0.265772+0.245498j -0.0642401-0.083264j 0.117083-0.0652354j -0.0339283-0.110405j 0.00537944-0.0158931j 0.00508735-0.00410936j -0.0801547-0.0136717j -0.0154174+0.0161104j 0.0256736-0.0295336j -0.0274905-0.0115159j -0.0051963-0.00616103j -0.028059+0.0496103j -0.00458887+0.00416396j 0.00566666+0.00890054j -0.00464474-0.000430533j 0.0249101+0.0352772j 0.0348527+0.0271754j 0.00644158+0.00858942j -0.0136719-0.0157179j -0.00812934+0.0101591j -0.00296846+0.000993746j 0.0515096-0.0159732j 0.00292702+0.00151119j 0.00738431+0.00476751j -0.00857163+0.00520514j -0.00162914+0.00612309j -0.00351151+0.0365186j 0.0141524+0.00131476j -0.00195982-0.00241536j -0.00315229-0.00086796j 
-0.00854557+0.0185521j 0.0236122-0.00188794j -0.0238572+0.0179215j 0.0067048+0.0201425j 0.00440169-0.00237695j 0.0160304+0.0151703j -0.011962-0.00943626j -0.00958121-0.0049153j -0.0228734+0.0332057j -0.0385848-0.0217288j -0.00731693-0.00503587j -0.0133202-0.0107476j 0.0148139+0.0104298j 0.00132494-0.0371109j -0.020797-0.0321125j 0.00650096+0.00967688j -0.0383236-0.00401712j 0.0147127-0.0202579j -0.0285131-0.0211605j 0.0117074-0.00110476j -0.00017056+0.00190849j -0.0163459-0.00480497j 0.00351604+0.0732203j -0.0113856+0.0343351j 0.00161515-0.0450644j -0.00724512-0.00245589j -0.0257219-0.0114919j -0.016972+0.0280648j -0.021486-0.0278725j 0.0245676+0.0648591j -0.00566147+0.00713448j 0.00573654+0.0195714j 0.00924451-0.00050094j -0.0308955-0.0228392j 
-0.0124591+0.0113634j 0.0174868+0.00719668j -0.0255525+0.0218099j -0.00731797+0.0139015j 0.00214419+0.0113347j -0.00154874-0.030842j -0.0215937+0.00881615j 0.00769813+0.0106881j 0.0126929-0.0115477j 0.00568922+0.0146469j -0.0174397+0.00979793j 0.0152866+0.0374888j -0.00634228+0.0171235j -0.00843114-0.0135521j 0.0121674-0.0187102j 0.00806339-0.0157575j -0.0121284-2.437e-05j -0.0414155-0.0416489j 0.0313684+0.023167j -0.0148155+0.00162847j -0.0042784-0.003664j 0.00772936-0.00597347j -0.00586139-0.031114j 0.0438367-0.0365311j -0.0166862+0.0175299j 0.0255969-0.0229095j -0.00931173+0.01247j 0.0168426-0.0225615j 0.0268112-0.0168175j -0.0232354-0.0133733j 0.00881666+0.0132j -0.00896169+0.0239601j -0.00455941-0.0209029j 0.021413-0.0196933j 
-0.00135573+0.000942373j 0.0139633-0.0114329j -0.0245271-0.0130039j 0.016258+0.0118908j 0.00158011-0.0149777j -0.0149129-0.00582305j 0.0138399+0.017306j -0.00625025+0.0025748j -0.00175085-0.00355445j 0.0161278-0.00929233j 0.00958192+0.00442012j -0.0071504+0.0234885j 0.00478881-0.00959956j -0.0105408+0.0362317j 0.00753207+0.0352282j -0.00332107+0.00359327j 0.0475962+0.0259157j 0.0202746+0.0678804j 0.00653386-0.0107965j 0.00277756-0.0349789j 0.00719183+0.0150459j -0.00298896-0.0127149j 0.0118086-0.0489431j -0.0356796+0.0314335j -0.00557261+0.022408j -0.0155429+0.0154405j 0.03323-0.00872089j -0.00397864+0.0271362j -0.00528005+0.0240066j -0.0176101-0.0700536j -0.00271525-0.010718j 0.00328767-0.0216981j -0.00387138-0.000709262j 0.0143359+0.0093243j 
-0.00187416+0.00363094j 0.00401379-0.000962512j -0.00740141-0.00972365j 0.00129765+0.0060791j 0.00509931-0.00409841j -0.0347823+0.02488j 0.00104086-0.00575672j 0.00440319-0.0128385j 0.0230099-0.0260675j 0.0168711+0.0274706j 0.00716546-0.0041397j 0.00733834-0.0885938j 0.00649513-0.0131722j -0.00984544+0.0388592j -0.00584756-0.00391022j 0.00198469+0.00341822j -0.0524982-0.0445152j 0.0277274-0.0464961j -0.0025401+0.0282103j -0.0150764+0.0699724j 0.00918725-0.0228976j -0.0334117+0.0313445j -0.00598327+0.0151275j 0.0145011-0.000284073j 0.010657-0.0103124j -0.00135469+0.0176617j -0.00638589+0.0125256j -0.0379096-0.0494968j -0.015153+0.0014165j 0.0251653+0.0553932j -0.000543652-0.0218955j 0.0148284-0.0095233j -0.00523418+0.0177815j -0.0198173+0.00785146j 
-0.000352932-0.000838718j -0.000218369-0.000184688j 0.00216707-0.0016108j 0.0004332-0.00163548j -0.0031128-0.00019282j -0.000220576-0.00164787j 0.00399142+0.00334949j 0.00543371+0.00403219j -0.00621447+0.00112603j 0.00213446-0.0155005j 0.000461259+0.00997529j 0.00540893+0.0200232j 0.0020729+0.00470666j 0.00455459-0.00499062j 0.00298284-0.014827j -0.000669401+0.00029643j 0.00994323+0.011734j -0.00956661-0.00375767j 0.0168015+0.000472124j 0.00285217-0.0110878j 0.00334975+0.00715294j -0.00566221+0.00657165j 0.0077357-0.00499239j 0.00895954-0.00662896j 0.0076192-0.016908j 0.00488686-0.0141144j -0.0129298+0.0354635j -0.00205903+0.00946345j 0.0108656-0.0101961j 0.00125952+0.0052478j 0.00014494-0.00221435j 0.00613123+0.012112j 0.00298134-0.0263352j 0.0253906+0.00621679j 
-0.00353021+0.0031213j 0.00814567-0.00238798j 0.00616486+0.00286813j 0.0120838+3.23799e-05j -0.00867717-0.0185664j -0.00558295+0.00718567j 0.00939658-0.00600807j 0.00978888+0.00476974j -0.000397875-0.00669288j 0.0175363-0.0142321j -0.00397985+0.00836297j -0.00649781-0.00331522j 0.00322409+0.00819012j 0.00416946+0.0042471j 0.00304291-0.00385698j -0.0019128+0.0093729j 0.00516385-0.00412022j 0.00630547+0.0103349j 0.00728337+0.00334781j 0.00456151-0.00125134j -0.00995911-0.00635014j 0.0014697-0.00404674j 0.0125367-0.00954582j -0.00889517+0.00682112j 0.0122627-0.00426056j 0.00128732+0.00146272j 0.00688122+0.0159943j 0.00703889+0.00706093j -0.00506873+0.00323139j -0.00944198+0.0123282j 0.00972771-0.012081j 0.00957179+0.012579j 0.0140481-0.00291862j 0.000692763+0.0334083j 
-0.00069534+0.000215142j 0.00363417+0.000560425j 0.00214212+0.00588723j 0.00465369-0.00137266j -0.00464077-0.0122235j 0.000508338+0.0039105j 0.0042254-0.0113189j 0.00815293-0.00940866j 0.00632233-0.00238992j 0.0260766+0.00749902j 0.0123027-0.000391454j -0.00578234-0.00571916j -0.0168095-0.00838941j -0.00111571-0.000196963j 0.000820114+0.00526719j 0.00336042+0.00154708j -0.00658577-0.000836904j 0.00895369-0.0132087j -0.00618666+0.0100671j -0.00563003+0.00453437j 0.00263175+0.0175926j -0.00210246+0.00602272j -0.0100869+0.0106299j -0.000588658+0.00874255j 0.0138516-0.0189248j 0.00131253+0.00122652j -0.0323023-0.0186278j -0.00445462-0.0059854j 0.00843165+0.0042721j 0.0292877-0.00262636j -0.00876469-0.0105039j 0.00792514-0.0123837j -0.0152234-0.00576669j 0.00268899-0.0315456j 
-0.000118738-0.000969466j -0.0013068+0.00105495j -5.68689e-05+0.00041832j -0.00153854+0.00055207j 0.00213729+0.0014518j -0.00129834-0.00197344j -0.00224524+0.000863495j -0.00169045+0.000420073j 0.00311517+0.00302565j -0.00849416+0.00353699j 0.000352688-0.000806485j -0.0032315-0.00201681j 0.00224133-0.00283817j -7.35888e-05+1.43396e-05j -0.000369003+0.000485796j -0.000600037+0.00235662j -0.013813-0.00202587j 0.0150927+0.0104915j -0.0224156-0.00607173j -0.00783419-0.000436954j -0.0162599-0.00877175j 0.00797626-0.00227163j -0.0299757-0.0107045j -0.00150401-0.00331623j 0.00267387+0.002896j 0.00101491-0.00435703j -0.0219621+0.0524512j 0.00202459+0.011947j 0.00233287-0.00876153j 0.0119287-0.0101495j 0.00167269-0.00326367j 0.00420291+0.000796506j 0.000941395+6.02896e-05j 0.00563637+0.00263608j 
0.00336328-8.3382e-05j -0.00113195-0.00254535j 0.000471824+0.000189837j 0.00198112-0.00271887j -0.0023045-0.00226303j 0.000190584-0.00424835j -0.00739692+0.00499591j -0.00955934-0.0016088j -0.00301975+0.00677225j -0.022002+0.000793685j -0.00244797-0.00600292j 0.00239734-0.00451227j 0.00870195-0.000392353j 0.0104525+0.00562552j -0.00671186+0.00547083j 0.00244825+0.0239772j 0.00274947-0.00921741j -0.00122328+0.0127853j 0.00614497+0.0253526j -0.0133883+0.00754891j -0.00337111+0.0168387j 0.0325986-0.0150235j 0.0134606-0.000541456j -0.0324519+0.0117416j 0.0351615-0.0155206j -0.00442895-0.00196276j -0.0259805-0.00483767j 0.0176596+0.0162357j 0.000540915-0.00726501j 0.00549504+0.00304954j 0.0189408-0.039377j 0.0310796+0.0093562j 0.00271599-0.0045116j 0.00662747+0.004247j 
0.00688057-0.0037093j -0.0145775+0.00378062j -0.00991108+0.000536743j -0.00954989-0.0083929j 0.0109087+0.00979904j 0.00619534-0.00559065j 0.000817956-0.00479427j 0.0118892-0.0113773j 0.000876039+0.00428672j 0.0147943+0.0189269j 0.0207662+0.00587154j 5.50203e-05+0.000903761j -0.013616-0.0229312j -0.00359443-0.00729014j -0.000897486+0.00296284j 0.00753424-0.0043374j 0.00809533+0.00570722j -0.0094546+0.00604025j 0.00475823+0.00197453j 0.0100214+8.27278e-05j -0.00139625+0.0177803j -0.00212916-0.00336694j 0.00385301+0.00412744j -0.0071879-0.0153662j 0.0077772+0.00195969j -0.00210353-0.00875578j -0.0146337+0.00918875j 0.00740898-0.000395729j 0.00851112+0.00794337j -0.0101088+0.00452804j -0.0125714-0.00935735j 0.00610715-0.0183912j -0.000700641-0.0102333j 0.0139515+0.00631296j 
-0.011263+0.00068581j 0.00514866+0.000242076j 0.00421317-0.011848j -0.0230584+0.00994883j -0.00758359+0.0463216j -0.00410595+0.0118753j 0.00656415-0.00609452j 0.000999822+0.00468548j 0.00395565-0.00092104j -0.000864874-0.00703951j -0.00345959-0.000882875j -0.00222853-0.00771838j 0.00085704-0.000445407j 0.00481321+0.00280813j -0.000839389+0.00219299j -0.0019993+0.0047893j 0.00586802+0.00286224j 0.00528392-0.000454929j 0.00159047+0.00923695j -0.000295836-0.00170121j -0.000567471-0.00220898j -0.00424275+0.00501266j 0.00268173-0.00062895j 0.00211498+0.00424228j 0.00726992-0.0026543j 0.00192559+0.0045456j -0.00800217+0.00423508j -0.00392957-0.00154696j 0.000764935+0.00617588j 0.00455411+0.00865914j 0.004762-0.00118304j 0.00269415+0.00579255j 0.00293214-0.0054927j 0.0133983+0.0167022j 
0.000238248-0.0049035j 0.00871423+0.0022328j 0.00300344+0.00481483j -0.00545579+0.0090208j -0.00393338-0.00278472j -0.00318939+0.00481203j 0.0108971-0.0131762j 0.013607+0.00302945j 0.0194723+0.0163214j -0.0035678-0.0164675j 0.0054915+0.0156412j -0.0132907+0.000159676j -0.00120177-0.000888156j -0.00420061-0.00139096j -0.007902-0.00983131j 0.0131427+0.0125421j -0.0157579+0.00798923j -0.0179014-0.0147478j -0.0132882+0.0129066j 0.00643605+0.000360885j 0.00965586+0.0214762j -0.00817527+0.00053949j 0.0380556+0.019205j -0.00351527+0.00935286j 0.000233359+0.0212854j 0.0105321+0.00117971j -0.0273519+0.0255985j -0.0185121-0.000404431j 0.00126834-0.00590862j -0.0231556-0.0171669j 0.00670667-0.0117613j -0.00329614-0.00409759j -0.0068586-0.021434j -0.00576907-0.0193535j 
0.00417107-0.0112755j -0.0116674+0.00200146j -0.00324416+0.00216145j -0.00904194-0.0012319j 0.00639537+0.00953079j -6.36579e-05+0.000586171j 0.00390672-0.000710449j 0.00078135+0.00465555j 0.00629903+0.00548141j -0.00902518-0.00755226j -0.00363453+0.00256316j -0.00207176-0.00166343j 0.00181005+0.0047835j -0.00622671-0.0101476j -0.00124277-0.00138688j 0.00344009-0.0127001j 0.00751686+0.00656609j -0.018356-0.00175011j 0.00844818+0.000149455j 0.0119249+0.00619054j -0.0119672-0.0048997j 0.00515136-0.00795947j -0.027296-0.0114147j -0.0103398+0.000382195j -0.00290475-0.00629828j -0.0105438-0.00451201j -0.0104889-0.00866186j 0.0186389-0.0013657j -0.00328651+0.00137514j 0.00118227+0.00927865j -0.0159375+0.00155011j 0.0121521-0.0134299j -0.00426921+0.000507531j 0.00464001+0.00153669j 
-0.000643377+0.00250726j 0.001759+0.00161111j 0.00324213+0.00183627j 0.00149651+0.000970013j 0.00239916-0.00561228j -0.00346419+0.00650993j 0.0104004-0.0039237j -0.000306476+0.00944209j 0.00562423+0.00292092j -0.00228375-0.0259003j -0.0100148+0.00122276j -0.0013284+0.000450893j 0.00420377+0.018088j -0.00638789-0.0212j 0.000202056-0.00518615j 0.00938819-0.0293286j -0.00742831+0.00366597j -0.00743086+0.0112469j 0.0195494-0.00825643j 0.0158329+0.00968369j -0.00622454+0.0151122j 0.0041654-0.015268j -0.0287317+0.000679381j 0.0127175-0.0493827j 0.00987387-0.0102077j -0.0117571-0.0269959j -0.000244549-0.0292192j 0.028177+0.00351746j -0.00982013+0.00862373j 0.00522192+0.00467717j -0.0353233+0.00235518j 0.0174098-0.0328639j -0.00527195-0.00373479j 0.00496124+0.000336846j 
-0.00407016+0.00167596j -0.00486231-0.00371933j -0.000665322-0.00151484j 0.00682349-0.00230051j 0.00340708+0.0013762j -0.00244822-0.000820932j -0.00182987+0.00275892j -0.00113929+0.00192441j 0.00555019+0.00235221j -0.0055605+0.00538072j -0.000683992+0.000941745j -0.00374972-0.00150238j -5.10613e-05-0.00323249j 0.00394384+0.0032826j -0.00233765-0.000466213j 0.00173816+0.00151832j -0.0128932+0.00146997j 0.0284321+0.026102j 0.0147028+0.00690323j -0.0107682-0.00418061j 0.0207777+0.0290355j 0.00488658-0.00182473j 0.0398188+0.0397212j 0.0430027-0.0466033j -0.00157297+0.00332512j 0.00957117-0.0139238j 0.0296622-0.0283842j -0.0189541+0.00947714j -0.00264528+0.00147361j -0.0128041+0.00110829j 0.00183363-0.000443076j -0.00775792+0.000858171j -0.000527474-0.00135205j -0.000780022-0.00184991j 
0.0156078-0.0026345j 0.0271751+0.0145835j 0.000871988+0.00391021j -0.0303102+0.010779j -0.0204598-0.00105355j 0.00515369-0.0141134j -0.00549691-0.00431957j 0.00245517-0.00946115j -0.00407208+0.006217j 0.000117045+0.00713019j 0.00552244+5.43679e-06j 0.00224264+0.00198533j 0.0018882-0.00345278j -0.00426871-0.00683507j 0.00598399+0.0073699j 0.00323178-0.00741051j 0.00621975-0.00298496j 0.0124286+0.0166128j -0.000302492-0.00135883j -0.00635662-0.00119113j 0.00132081+0.00986764j 0.0051022+0.00506096j -0.00475386+0.00822983j 0.00284666-0.0126264j 0.00812416-0.00299484j 0.000295728-0.00796597j 0.015528-0.0172345j 0.000612586+0.000370716j 0.00300485+0.00449551j 0.00389766+0.00899177j -0.00785633-0.00295283j 0.000217417-0.00458731j -0.00343389+0.00665828j 0.00248273-0.000973811j 
-0.0105793-0.00362003j 0.00576292-0.00829434j 0.00847153+0.00161365j 0.0192476+0.00612267j -0.00849077-0.0121315j -0.00248894+0.003964j -0.00719178+0.00638786j -0.0128418-0.00241628j -0.00153233-0.00497747j -0.0160165+0.00638595j 0.000641603-0.0135665j -0.00392854+0.00393577j -0.00411559-0.00206168j -0.00310296+0.00922647j -0.0116946+0.000585942j -0.00363277-0.00482846j 0.000481054+0.0118774j -0.0054267-0.0245953j 0.00712213-0.00115942j 0.00400512-0.00718351j 0.00648035+0.00525083j -0.0191619-0.00102274j -0.00611327-0.00715237j 0.0228441-0.00665685j -0.00220393-0.0058819j 0.00278494+0.00547628j -0.00132941-0.000558339j 0.00088968-0.0060674j 0.00429013+0.00237918j -0.00169452+0.0146565j -0.00483111+0.0139498j -0.0164319-0.00865447j -0.00690895-0.0164746j 0.0166848-0.0111268j 
-0.00351615-0.0248086j -0.0119042+0.00309623j 0.00306317+0.00692291j -0.0046565+0.00104374j -0.00505229+0.000276447j -0.0181163+0.00907886j 0.0106243+0.00864453j 0.00626317+0.0122582j 0.0218867-0.0174886j 0.00414794+0.0120555j 0.00208303+0.00872213j -0.00510184+0.0128598j 0.000851225-0.00537823j 0.011425+0.0116343j -0.00161829-0.011632j 0.0031535+0.0178821j 0.00495852-0.00691217j 0.00272501+0.00446244j 0.024271-0.0191421j 0.000765911-0.00156424j 0.00806518-0.0108637j 0.00305296-0.0081939j 0.017065-0.023055j 0.00170826-0.00536304j -0.0419075-0.00987141j -0.000761317+0.00700542j 0.0132504+0.00829671j 0.00372212+9.55945e-06j -0.00908848-0.0126508j -0.013554-0.0153867j 0.00176213-0.00506235j 0.00302068-0.00358368j -0.00365813-0.00670699j -0.00288608-0.00592768j 
0.00961903-0.00044027j -0.0100694+0.00376003j -0.0065183+0.00327887j -0.00379591-0.00581617j 0.0139895-0.00640392j -0.0052037+9.47235e-05j 0.012398-0.000593716j -0.00317224+0.00635308j 0.00974455+0.011423j -0.00886694-0.0170493j -0.00485199-0.00257043j 0.0045729-0.0135809j 0.000597798+0.00758749j 0.00291338+0.00608278j 0.00460383+0.00922664j -0.00143201+0.00897068j 0.0238131+0.00725361j 0.020473+0.0105524j -0.00627964-0.00727351j -0.00827806-0.00836196j 0.00838189-0.00536734j -0.0152376+0.0157374j 0.00769003-0.00110738j 0.000484455+0.012737j -0.00795729-0.000399881j 0.00703921+0.0166419j 0.0129722+0.00434788j -0.0144876-0.0194701j 0.0014859+0.00901363j 0.00538896+0.00856959j 0.00629655+0.00196983j -0.0194834-0.00155408j 0.00208684-0.00399745j 0.0234549+0.0228108j 
-0.00620969+0.0123095j 0.0121829+0.0026619j 0.00184126+0.000142905j 0.00486488+0.00290812j -0.00102555-0.00684101j 0.00491647-0.0132482j -0.00199093-0.00629361j 0.00951594-0.00308375j -0.000676995+0.0236764j -0.000345342-0.00134296j 0.00200703+0.0121034j -0.00744102-0.00909257j 0.00201735-0.00506547j 0.00440398+0.0289471j -0.0035638+0.00217113j -0.0275581-0.000875176j -0.00700815+0.00992927j -0.000922645-0.0289573j 0.0191076-0.00483881j 0.00626172-0.00199446j -0.0042515-0.0293318j -0.0042482-0.0163065j -0.0141135-0.0383279j 0.0237766+0.00519638j -0.00562157-0.0182032j -0.0049067+0.0142746j 0.00307021+0.0118245j 0.0137688+0.0137205j 0.00717824-0.00036867j 0.00676439+0.0125623j 0.00805327+0.0203331j -0.011546+0.0142469j -0.00304953+0.00249881j -0.000570322-0.00126997j 
