-0.0246632+0.00822958j 0.010009-0.0227061j 0.0413097+0.00493876j -0.00561515-0.00514066j 0.0215604+0.0121786j -0.0255265+0.0204556j -0.0233463+0.00433806j 0.00535288-0.032991j 0.0516409+0.0238894j 0.00480413-0.0156469j -0.0510578+0.0225632j 0.00329889+0.0277673j 0.0108781+0.00659668j 0.0106453+0.00485382j -0.00512447+0.0384454j 0.00177567-0.00872958j 0.0111859+0.00884582j -0.0295652-0.00989522j -0.0133036-0.00357181j -2.64148e-05-0.0327138j 0.0102241-0.0114198j -0.0130142+0.0393386j -0.0279982+0.0344088j -0.00837549-0.0212113j 0.00963899+0.0158756j 0.0131786+0.00120548j -0.0123779-0.0147303j 0.000932684-0.0212469j -0.0376171+0.0146413j 0.0352294-0.00504151j 0.031562+0.00185926j 0.0332589-0.0483239j -0.0162041+0.0160345j -0.0226748-0.00914246j -0.000361306-0.00423698j -0.00338218-0.0319106j -0.0227104+0.0662426j 0.0209825-0.0286453j 0.0401724-0.0245065j -0.00562521-0.0646837j -0.0443852+0.00388743j -0.0466352+0.0399886j -0.0454802-0.0242565j -0.0829701-0.0401601j -0.0304653+0.0102749j 0.00595773+0.0305726j -0.00392935-0.00160207j 0.0180844+0.0168021j 0.0316475+0.0124087j -0.0245556+0.00499872j 0.0358084+0.0112925j -0.000913593+0.0190845j -0.028008-0.0244038j 0.0169666-0.0363964j 0.0325113-0.0416007j -0.0574376-0.00582825j 0.0654825+0.0249107j 0.0316839-0.019839j 0.0197968+0.0549977j 0.0542672+0.0414683j 0.0199663+0.0727592j 0.0352623-0.0263055j -0.0260922-0.064987j -0.109668+0.0917238j -0.0153541-0.0047027j -0.00740077-0.0118072j 0.0327385-0.002781j 0.00950297+0.0640855j -0.0124049+0.0217305j 0.131669+0.0918686j 
0.00131961-0.0135609j -0.00687707-0.00416881j 0.00120572-0.00923707j 0.0166366+0.00626442j -0.027346-0.00359625j -0.014538+0.014646j -0.0438808-0.00758893j -0.0147177-0.00565032j 0.0134032-0.0180704j -0.0251508-0.0244853j -0.000137471+0.00891784j -0.00208217-0.0116031j 0.00401366-0.00400365j -0.0258473-0.00010309j -0.0167156-0.0182373j 0.00225164+0.019332j 0.0149427+0.010707j -0.00656459-0.00841324j 0.0106604+0.031199j -0.0153684+0.0281084j -0.0258382-0.0151836j -0.0393674-0.0162491j -0.00178704+0.0290747j 0.023363+0.0401476j -0.0122982-0.0229222j -0.00873234-0.0281892j 0.0325475-0.000985525j 0.00419781+0.0162043j -0.0306459+0.0267825j 0.0133373+0.0293512j -0.01122+0.0126201j 0.0261829-0.00112413j -0.00967941+0.0144792j 0.0304642+0.0166033j 0.04143-0.00359302j -0.00999907-0.000274776j -0.0257526+0.00179388j -0.0288346+0.016325j 0.00952366-0.0103182j 0.00965617-0.00533871j -0.0431003+0.0107254j 0.0343352+0.00799629j -0.0129323-0.0280879j -0.00244774-0.0125742j -0.0204309-0.0274535j 0.0221055+0.0570214j -0.00342042+0.014667j -0.0181728-0.00208374j 0.0091761-0.0116802j -0.018719-0.00480257j -0.00227452+0.0231414j -0.0199217+0.028774j 0.0258796-0.0151695j -0.0187692+0.0113251j 0.00677653-0.0107606j -0.0253441-0.0380447j 0.00937352+0.0309477j -0.00379541+0.00532436j -0.00631973+0.00450568j -0.00507181-0.0420254j -0.00697443+0.0121108j 0.00151919+0.0254153j -0.0145075+0.0410179j 0.00901367+0.0102508j 0.00632173-0.00390567j -0.00115752-0.0198399j -0.0244085+0.0174208j 0.00866715+0.0146005j 0.00726705+0.0051854j 0.00450854+0.0107774j 
-0.00015209+0.00113425j 0.00107494-0.00361925j 0.0101997-0.00695108j 0.010482-0.000470535j 0.000238698+0.00617731j 0.0151332-0.0106863j 0.00491747-0.00108429j -0.00687211+0.000209045j -0.0152253-0.00447998j -0.0177819-0.0147645j 0.0105096-0.00130116j 0.0193052-0.00566641j -0.00961235+0.0231801j 0.00457241-0.00161912j 0.0169113-0.0373128j 0.000534492+0.0186065j -0.00258681-0.00298279j 0.00363725+0.00391252j 0.00335928-9.55689e-07j 0.0116237-0.000565592j -0.00529938+0.0278697j 0.00287501-0.00608352j -0.0129495-0.00762308j 0.0102239+0.0104314j -0.0618337-0.00982233j -0.00428156+0.00901254j 0.0128009-0.00361904j -0.0191236+0.0165699j -0.00692988+0.0134968j -0.00446784+0.00613082j 0.0291913-0.00752368j -0.0207059+0.00232131j 0.00961975+0.00540729j 0.00214669+0.0111206j 0.0207097-0.000875327j -0.0213025+0.00381058j 0.0287987-0.0120696j -0.00870048+0.00846982j -0.0141554+0.011482j -0.0295762-0.00291785j 0.000857926-0.00111826j -0.010114+0.0157186j -0.00430088-0.00375602j -0.0242746-0.0107618j 0.013075-0.00660111j 0.0175199+0.0300693j 0.00980262-0.00563729j 0.0111681+0.0104116j 0.00460124+0.00792258j 0.00972222+0.00458983j 0.00127011+0.00359181j 0.0121799+0.00882082j -0.0126852-0.00222904j -0.0126062+0.00864492j 0.00995474-0.00786009j -0.00951629+5.66766e-05j -0.00898194+0.00757635j 0.0130446+0.00700708j 0.00058536+0.00170561j 0.00376449-0.0140696j -0.0123726+0.0199316j -0.0118409+0.00785492j 0.00247252+0.0360311j -0.00676193-0.0151657j -0.00321304+7.50358e-05j 0.000875146-0.00834799j -0.00169704-0.0217264j -0.00603401+0.0263851j 0.000579725+0.00634693j 0.00503933+0.0203292j 
-0.0106082+0.0112834j 0.00204505+0.0256273j 0.0129884+0.00220769j -0.00387883+0.011628j -0.0054433-0.00866481j 0.00634646+0.00117808j -0.0253186+0.00704398j 0.0366885+0.00691831j -0.00845402+0.00874578j 0.00580212-0.00694366j 0.0513124-0.00373377j -0.0102436+0.0275175j -0.0119356-0.0285933j -0.0195689+0.0624208j -0.0475109+0.0195566j 0.0501549-0.0213578j 0.0217926-0.00302642j -0.0298963+0.00316268j 0.0256784-0.00767277j -0.0233437-0.0265084j 0.0278485-0.020271j 0.00607842+5.45022e-05j -0.0226683+0.0212972j 0.00958346+0.0238368j -0.0686455-0.0192875j 0.0043325-0.0023088j -0.00450065+0.00266432j 0.0282509-0.0192078j 0.0363276+0.00112809j -0.0207255-0.0356691j -0.0128615-0.0242297j 0.0360307+0.00355198j -0.0312119+0.024388j -0.0320928+0.000776384j 0.00380924+0.0157454j -0.00633157+0.0204079j -0.0515842-0.0531666j 0.0413647+0.012081j 0.0281532+0.00651842j -0.0168309+0.0277537j 0.018668+0.0271589j 0.0144232+0.0230483j -0.0157939-0.023056j 0.0136757-0.0272539j -0.0687848-0.0537382j -0.0159301+0.0590162j -0.0114773+0.0502835j 0.0486954-0.0312909j -0.00911102-0.000737397j -0.00905218+0.0239527j -0.0376514+0.000243499j -0.0398967-0.0169259j -0.00398872+0.0235809j 0.015203-0.0109301j -0.0171208-0.0566738j -0.0230284+0.00470146j 0.00868757-0.0164039j -0.0524369-0.0365522j -0.00860939+0.00827728j -0.00492904-0.0338368j 0.0287915+0.0168274j -0.0477672+0.00320849j -0.0221384+0.109132j -0.0288912+0.00259399j 0.0404799+0.000506828j -0.000527131-0.00191826j 0.0136058+0.103438j -0.00789268+0.097673j -0.0100748+0.00931435j 0.00126693+0.0362958j 
0.00177375-0.00516024j -0.00615965-0.0228119j -0.0252501+0.0162478j -0.0256177-0.0347101j 0.0156062+0.0191921j 0.00365779-0.0185165j -0.00967123+0.00535381j -0.00817481+0.0240448j -0.0311873+0.00768386j 0.0202203-0.00622671j -0.0664164+0.0274973j -0.0149628-0.000920668j 0.00933386-0.0340396j -0.00461608-0.0340541j 0.009518+0.0264534j -0.0313783-0.00833466j -0.0349235+0.0203215j 0.0129524-0.00884811j -0.0355229+0.021055j -0.0295782+0.00540365j -0.053527+0.00135828j 0.0172811-0.0100052j 0.0159877-0.0164202j -0.0525355-0.0260078j 0.168472+0.0252786j 0.0238495-0.0103175j -0.0216196-0.0114309j 0.0253188+0.00268131j -0.0291588-0.0184612j 0.0148783-0.0219685j -0.0374527+0.00490626j 0.018819-0.0192305j 0.00995782-0.039367j 0.0230252-0.0127729j -0.0437451-0.00568702j 0.0439225+0.0024416j -0.0254151+0.0207376j -0.0260171-0.0383845j -0.0170208-0.00417853j 0.0250438+0.0223482j 0.00682467+0.0182229j 0.0126752-0.0166248j 0.0186228+0.0211568j 0.0436066+0.0314206j 0.0347632+0.0816938j -0.0210709-0.10982j 0.00188534+0.0108483j -0.0533309+0.00299388j -0.0120355+0.0213558j -0.000320416-0.0237129j -0.0178966-0.0158001j 0.00543979-0.0335374j 0.000917688-0.0364027j 0.000169213-0.00647671j -0.00246725+0.0223829j 0.00451706-0.0154718j 0.00655554+0.0610678j -0.0135091+0.00340817j 0.0167127-0.0172132j -0.0125311+0.0720601j -0.00292768-0.0500059j 0.100864-0.0114396j 0.0274512-0.169587j 0.0179747+0.0258712j -0.0104273-0.00991835j 0.00303622+0.00064139j 0.0220091+0.0399972j 0.0201779-0.152806j 0.0142201-0.0184406j 0.00772411-0.0397955j 
0.0047464-0.00382499j -0.000804737+0.016901j -0.017018+0.0136908j -0.0137364-0.00713296j -0.00765531+0.0154117j -0.019328+0.0114616j -0.00770597-0.0350254j 0.0073177+0.0181376j -0.011893-0.00704658j 0.00641171+0.0267138j -0.00365466+0.00146343j -0.0424821+0.0113419j -0.00200901-0.0224411j -0.00629578+0.000901274j -0.0146324+0.0397699j 0.00160844-0.0173845j 0.000140647+0.00722483j 0.0118696+0.00319357j 0.000569593-0.0101846j -0.00414899-0.0173031j 0.00425341-0.00991199j 0.0159585-0.0295944j -0.016233-0.00120083j -0.0270225+0.0118826j 0.0469847-0.0122859j 0.00638581-0.00701472j -0.00269044-0.0015108j 0.00333168-0.00595883j 0.00254088-0.00501609j -0.00813375-0.0427547j -0.0105182-0.015662j -0.0210947-0.0048857j 0.0173073+0.0228303j 0.0250397-0.013883j -0.00415277+0.0246482j -0.00754776-0.00685193j -0.0217005-0.0137905j -0.0183021-0.00520216j 0.0026653-0.0048504j -2.90995e-05+0.0168784j -0.0274833+0.0420743j 0.00469454+0.00792761j 0.0223324-0.00970825j 0.0319789+0.00712125j -0.0510175+0.0186644j -0.0123509-0.0250971j 0.00072292+0.0252739j 0.000201652-0.0134494j 0.00086585+0.00216588j 0.00653545-0.00794441j -0.0282064+0.00923633j -0.0138345-0.0356682j -0.00277318-0.0146195j -0.00596624-0.016044j -0.00689954+0.0140147j -0.0223309+0.0211806j -0.00446566-0.0158669j -0.0140492-0.00771336j 0.00547926-0.0432378j 0.0158837+0.00511075j 0.00453473-0.00327561j 0.0183836-0.0125631j 0.0133283-0.0440382j 9.18658e-06-0.0119077j 0.0208071-0.0037557j -0.00344458+0.0084211j -0.0164171+0.0696197j -0.00535349-0.0245033j -0.0201611-0.0172443j -0.00388647+0.00706292j 
0.00483494+0.014491j 0.00339145+0.020165j -0.00222433-0.000685215j -0.00691428+0.015515j 0.00602265-0.0249605j -0.0280713+0.0364733j -0.00773958+0.0271661j 0.0139282-0.0203825j 4.00013e-05-0.0147556j 0.00317938-0.00184751j 0.0223679-0.0258189j 0.0163912-0.0276381j -0.00219353+0.0322424j 0.0142132+0.00789j 0.00329391-0.0219117j 0.00692414-0.0110139j 0.0203365+0.00870695j 0.00525669+0.02428j 0.00774584+0.0181354j 0.023348+0.0382995j 0.0546245+0.00879344j 0.0197873+0.00450402j -0.0117951+0.0336911j 0.0165751+0.00849518j -0.0761814-0.0188134j -0.00859269+0.0122517j -0.000503618+0.00408391j 0.0116159+0.0074483j 0.0258536-0.010028j 0.0107115+0.0253653j 0.0206817+0.0165776j 0.00483765+0.0163237j 0.0194499-0.00933698j -0.0174419+0.0320156j -0.00728845+0.0142094j 0.00171761-0.00326638j 0.0343267-0.00565888j 0.0209156-0.0140841j -0.00639262+0.0013587j -0.0211729-0.0187492j 0.0201534-0.00701459j -0.00272083+0.0339488j -0.0135256-0.00697303j -0.0109533-0.0145431j -0.0204174-0.0274761j 0.0175266+0.0388873j 0.0222404+0.0113743j 0.0405044+0.0342681j 0.00987248-0.00497616j -0.00395233+0.0137467j -0.00197-0.0159988j -0.00134499+0.0454316j -0.00812956+0.0541547j -0.00916876+0.00299873j -0.00257724-0.0269597j 0.00624298+0.0294708j 0.00719206-0.0286976j 0.0405065-0.00898991j -0.00199162+0.0188242j 0.0327438-0.0294225j 0.00740367+0.0321509j -0.0368268+0.0253299j 0.0138354+0.0539053j -0.0443986-0.0402577j -0.0437034-0.00908028j 0.00174108+0.020886j 0.00921866-0.0254485j 4.23271e-05+0.0816303j -0.0350791-0.0186459j -0.0123729+0.0466168j 
-0.00182601+0.0105594j -0.00332789-0.0101766j -0.0265736+0.00754072j 0.0192886-0.00647714j -0.0355502-0.0369497j -0.000248042+0.0153655j -0.00476315+0.0287493j 0.0055799-0.00574415j -0.027156-0.0226595j 0.0222071-0.0129636j -0.0175642-0.00324393j -0.00587703+0.00298721j 0.0138445-0.0215461j -0.00488966+0.0197097j -0.0554884+0.0151435j -0.0259005-0.0098297j 0.000537956+0.00907824j 0.0123714+0.0478065j -0.0165546+0.0396678j 0.02464+0.0316634j 0.0505334-0.0130516j 0.00895194+0.0254668j -0.0142993+0.0178799j -0.0319596-0.00465995j 0.0266569+0.0159998j 0.0668241+0.00419704j -0.0947936+0.0375288j 0.0278241-0.0208881j -0.00785066-0.0379323j -0.000380374+0.0444371j -0.0178245-0.008621j 0.0101295+0.0754592j 0.027894-0.00289845j 0.0522487-0.0160557j -0.00859173-0.0109171j 0.0354591-0.0295813j 0.023955+0.010669j 0.00940922-0.0253762j -0.00198801+0.021641j 0.0405358+0.000464213j -0.00676522+0.0370413j 0.0125371-0.0213361j -0.0117861-0.0249738j 0.0215345+0.0154595j 0.00859655-0.000753362j -0.00803332-0.0219867j -0.0113522+0.0475881j -0.00417949+0.00895063j 0.0165736-0.0143129j -0.00611393-0.00330915j -0.00655822-0.0204914j -0.0116539-0.0596541j 0.0109817-0.0126869j 0.0171499+0.0105115j -0.0302976+0.00563975j -0.0114361+0.00892406j -0.000942522+0.0109812j -0.0354461+0.0338397j 0.015092+0.00917023j -0.0108709+0.033885j 0.00277109+0.0203397j 0.0154013-0.000291605j -0.00489444-0.0292868j 0.00585903+0.011933j -0.160003+0.00213871j 0.0140663+0.00312714j -0.00448349+0.0898951j 0.00559365-0.0383201j 0.0130309+0.0109237j 0.00228594-0.0165209j 
-0.00142067+0.00352624j -0.00247298+0.0363261j -0.0126075-0.00972767j -0.00610526+0.0248243j -0.0199465-0.0440462j -0.0370356+0.0298003j -0.0165075+0.0303879j -0.000565724-0.0452974j -0.00200139+0.0138334j 0.0334383-0.00646517j 0.03959-0.0338131j 0.0206147-0.0181082j -0.00284154-0.00417j -0.0167832+0.023714j -0.000666699-0.0143694j 0.00851264-0.0132608j 0.0630372-0.000872343j 0.0320233+0.0661975j 0.0193426+0.0114902j 0.0410195+0.042878j 0.0684133+0.013745j 0.0154695+0.0368654j -0.00453663-0.000981216j 0.0305296-0.0208182j -0.0939485-0.022905j 0.0547085+0.00210177j -0.0923897+0.0356912j 0.0283727+0.00580027j 0.0417193-0.00749355j 0.0102006+0.0516158j 0.0267909-0.0249302j -0.0395013+0.0438699j 0.0387224+0.0359582j 0.017968+0.000840528j 0.0126723+0.00991942j 0.0187089-0.0520497j 0.03841-0.0197885j 0.0588319+0.0169392j -0.0209574+0.0511205j -0.0284738-0.0398657j 0.0285262-0.0206889j 0.0215776+0.014146j -0.0253386-0.0329516j -0.0167289-0.0114882j -0.0103007-0.0677997j 0.0260959+0.0751203j -0.00833771+0.0158393j 0.0335998+0.024761j -0.0017048+0.000858726j 0.000211374-0.0319447j 0.0161067-0.0408357j -0.00284685+0.0516605j -0.00301566+0.0176551j -0.00539904+0.0265471j -0.0152113+0.00501516j 0.0124278+0.0346605j 0.0201441-0.0372843j 0.0184145+0.0144155j -0.0275849+0.0149334j 0.00917227-0.035j -0.0013247+0.0374065j -0.0628309+0.0048034j -0.00696379+0.114451j -0.0242971-0.04461j -0.193577-0.00993817j 0.0174014-0.00348843j -1.72917e-05-0.0402471j -0.0244579+0.111327j -0.0252256+0.00927937j -0.0165358+0.0288147j 
0.0230383+0.00464088j 0.00697572-0.0206153j 0.0466555-0.000951436j -0.00977104+0.00529355j 0.0565845+0.0323187j 0.00361211-0.0121154j 0.0733315+0.0151553j -0.0413071-0.0369132j 0.0699204+0.0369814j -0.0214942-0.01259j -0.013009-0.00140658j 0.0181683-0.0540808j -0.00545499+0.07373j 0.0429402-0.0770451j 0.107975-0.0941763j -0.0616255+0.0652005j -0.0441075+0.00414887j 0.00221018-0.0534836j -0.0231279-0.0572789j 0.00149501-0.0114609j 0.0213489+0.0490182j -0.0296128-0.011323j 0.00435834-0.0116612j 0.0824831-0.0512928j 0.0608242+0.0184722j -0.0991281+0.000366183j 0.0770673-0.0175165j -0.0857953+0.0215036j -0.0315138+0.0141539j 0.0451042+0.0390002j 0.0396081+0.0396337j -0.0249075-0.0479377j 0.0718757-0.0322278j -0.0485669+0.0260189j 0.0158261-0.0292424j -0.0046334+0.0128408j 0.0571311+0.0507992j -0.0551027-0.0162363j -0.0272004-0.0298395j -0.0472528-0.0578241j -0.018614-0.141667j -0.0582904-0.0316017j 0.0105701+0.0605319j -0.0594881+0.00586272j 0.0814929+0.0110234j 0.0410226-0.042297j -0.00688511-0.131697j -0.0126893+0.03925j -0.0214393-0.000841701j 0.0240896-0.0053618j 0.0562276-0.00464027j 0.0827691+0.108549j -0.00947601-0.012125j -0.0732555+0.0150597j 0.0359156+0.074949j 0.0392824-0.0128445j -0.0241088+0.0200061j 0.151423+0.0482569j -0.0233999+0.0134326j 0.000203741+0.0524374j -0.00442684-0.0492792j 0.0261801+0.00759059j 0.0142156-0.0561497j 0.0201194-0.0249232j 0.11669+0.00222102j -0.0109902-0.00718718j 0.0303014-0.475165j 0.0181594-0.0330989j 0.00272784-0.000777834j 0.00870768-0.0203338j 
-0.00320563+0.00651385j -0.000452667-0.0005046j -0.0107114+0.00194836j 0.017167+0.00907525j 0.0169545-0.0704773j -0.000901867+0.00342041j 0.00419126+0.0822586j 0.0123965-0.0401408j -0.00329513+0.0140131j 0.0174549-0.0487105j 0.0164461-0.0100773j 0.0326444-0.0752245j 0.0137334+0.0397738j -0.00632109-0.023565j 0.030923-0.0763476j -0.0608507+0.0092042j 0.0128713+0.0200168j 0.025292+0.088182j -0.0230168+0.0186329j 0.0756375+0.0953123j 0.0682191+0.0365295j 0.010948+0.0734892j -0.0454693+0.000508335j 0.0835561-0.0272442j -0.0468605-0.0190732j 0.0240937+0.027343j -0.100829+0.0676524j 0.0085087+0.0398379j -0.0097879-0.0242984j 0.0105527+0.129758j 0.0435077-0.00374293j -0.0502717+0.0601029j 0.115629+0.0083137j 0.0065938-0.0222889j 0.019352-0.0123398j 0.0626727-0.090495j 0.111896+0.0120321j 0.0422454-0.0294079j -0.0580717+0.0418504j 0.00158962-0.0609989j -0.0142903-0.0648919j -0.00792476-0.0389619j -0.0322937+0.0105429j -0.0305554+0.0167779j 0.0549004-0.0366738j 0.0243343+0.00462643j -0.0242998-0.0254925j -0.0100406+0.034648j 0.00670905+0.000839461j 0.00606417-0.00931474j 0.0666472-0.0870776j 0.0470732+0.0872726j 0.000232667+0.0551671j -0.0455117+0.0652128j 0.0113913+0.0534351j 0.0154426+0.0297819j -0.00766984-0.0355632j 0.0526285+0.0884034j -0.0442011+0.0260092j -0.0195942-0.000557011j -0.0266991+0.0212034j -0.0306703+0.0276229j -0.0048234+0.030572j 0.00324322-0.0311193j -0.401364-0.0133624j 0.0365641+0.0077276j 0.00630477-0.244706j 0.00161845+0.017791j -0.000981655+0.00237933j -0.00416456+0.0139974j 
0.0142582+0.0203028j -0.00326898-0.0215666j -0.00687092-0.00190689j 0.0175409+0.00901332j -0.0129483-0.0644167j -0.0236931+0.0227219j -0.08283+0.051669j 0.0112631-0.0366809j -0.0101863-7.26513e-05j 0.0525685-0.0244349j -0.0489565+0.00102843j 0.00675539+0.0207457j 0.0159586-0.0314737j -0.0138231-0.00753826j -0.0474474+0.000847375j -0.0706506-0.0182455j -0.00310478+0.0129812j 0.0427805+0.0805588j -0.0173814+0.023868j 0.0339032+0.0682822j 0.0445823+0.046222j 0.0100694+0.0732257j -0.0168132+0.00966122j -0.0242002-0.0299328j 0.0494163+0.0335157j 0.071729+0.0379988j -0.111182+0.0335057j 0.0675322+0.037136j -0.00751299-0.0508683j 0.0375056+0.084594j -0.0016437-0.0495138j 0.00856043+0.063654j 0.0335834-0.0155051j 0.0649099-0.0320366j -0.0251992-0.0168912j 0.0410934-0.0643875j 0.0384105+0.035416j 0.0554223-0.0629411j -0.0257069+0.0192854j 0.0282603-0.0349439j -0.00514401+0.0171304j 0.0110532-0.0167183j -0.0365857-0.039075j 0.00647629+0.0173925j 0.0165551+0.0261543j -0.0148232-0.0659424j -0.0139508+0.0462296j -0.00951941+0.00284496j 0.0268722+0.0162927j -0.0125896-0.0471292j 0.0200106-0.0513848j -0.0174131-0.0101245j 0.0185084-0.0287344j -0.00260665+0.032979j -0.00357571+0.00681967j -0.0187638-0.00454969j 0.0114727+0.0216462j -0.026221+0.0567323j 0.0183378-0.00223436j 0.00419908+0.0267266j 0.0013113+0.011337j 0.0328056+0.0049603j -0.00369572-0.0569782j -0.00114151+0.0294338j -0.344727-0.0212604j 0.0315264-0.00182711j 0.012836+0.0743271j 0.0320849-0.0381744j 0.00692757-0.00676418j 0.00981709-0.0341133j 
-0.0187725-0.00234371j -0.00122778+6.91293e-05j -0.0244965-0.00473048j -0.000626683-0.0109442j 0.0365386+0.0409122j 0.00815094-0.0118167j 0.0338093-0.0220614j -0.0290043+0.0123606j 0.0298324-0.00711488j -0.0515143+0.00056854j -0.00369348-0.00799447j 0.00216799-0.0238558j -0.000137805+0.0367345j -0.00360671-0.0136297j 0.027369-0.0112512j 0.0283285+0.0118j 0.01925-0.0255977j -0.0242476-0.0543117j -0.000173065-0.0353528j -0.0266834-0.0151559j -0.00916833-0.0296928j -0.00694586-0.0163191j -0.00405123-0.00983302j 0.0413011-0.00528925j -0.0406482-0.0176804j -0.0427286-0.030999j 0.0579515-0.028533j -0.046816-0.00271316j 0.00684785+0.028704j -0.00761401-0.0429989j 0.0159342+0.0177834j -0.009752-0.013138j -0.012018+0.0278439j -0.0595772+0.010906j 0.0113309+0.0159979j -0.0308971+0.0158535j -0.0242719+0.0101248j -0.0176547+0.0216961j 0.00987332-0.022105j -0.0223138+0.00421851j 0.00300901-0.0256362j -0.0259067+0.024052j 0.0216694+0.0301412j -0.0240524+0.00322877j 0.0117214-0.0100284j 0.0182537+0.0416914j 0.0225123-0.0327664j 0.0176909+0.0181345j -0.0152248+0.00411479j -0.0112401-0.0284564j 0.00680643+0.0335786j 0.00541854+0.0467543j 0.0247224+0.0131463j -0.0180264-0.00591223j 0.0252805-0.0311287j 0.00311656+0.0166522j -0.00835065-0.0496085j 0.0331525-0.0312893j -0.00627526+0.0106383j 0.00452186-0.00164409j -0.00293866-0.00144238j -0.02332+0.00932079j -0.00468241+0.0413138j -0.0151809-0.0221044j 0.169589+0.0079235j -0.00881756+0.00428494j 0.00922993-0.0967398j -0.0101366+0.0423283j -0.00613281+0.0077082j -0.00182364+0.0293327j 
-0.00402027-0.0113616j -0.00508446-3.39921e-06j -0.00054328-0.00904189j -0.0198491-0.00583663j -0.00504216+0.044491j 0.00456737-0.00665039j 0.0547586-0.0257093j -0.00507476+0.0321331j 0.0323665+0.000776712j -0.0353142+0.0267008j -0.0107523+0.011634j -0.013594+0.0139661j 0.00532302+0.0127954j -0.00084032-0.0224102j 0.0111062+0.0208454j 0.00719077+0.00185554j 0.00319194-0.0097108j -0.00861344-0.0774126j 0.0168796-0.0242972j -0.0314145-0.0378238j -0.0500549-0.0325798j -0.0195725-0.0350605j 0.00087146-0.0296951j -0.0081948-0.007855j 0.00375324-0.00221564j -0.0524746-0.0276821j 0.0868715-0.0436194j -0.033331-0.0355915j -0.0130374+0.0236851j -0.0123278-0.0351372j 0.0149674+0.0219557j 0.0115119-0.0329068j -0.0304529-0.0076449j -0.0418417+0.00508471j -0.0254365+0.0153059j -0.0344268+0.0336206j -0.0401154-0.0026795j -0.021901+0.00619228j 0.00756768-0.0116459j -0.0219492+0.0113829j -0.0120779-0.00496691j -0.0162625+0.0170075j 0.0255742+0.0146502j -0.00781557-0.00933371j -0.00503162+0.0267182j 0.0089786-0.00251979j 0.00540096-0.0237451j 0.0155832-0.0157758j -0.00987497-0.0102447j 0.00574789+0.00825633j -0.0173286+0.0286554j 0.00932263+0.0198573j -0.00928677-0.00220901j 0.00671464-0.0122936j -0.0050767-0.0184709j 0.00192827+0.00585031j 0.00296378+0.0106592j 0.025958-0.0344297j -0.00151408-0.0235199j 0.00939641-0.0136647j 0.00430583-0.0231898j 0.00276587-0.011768j 0.00470683-0.00349647j -0.00863506-0.0106322j 0.159444+0.0208662j -0.014457-0.00258897j 0.00222164-0.0262896j -0.00131913+0.011828j -0.00493059-0.00556848j 0.000328858-0.00404842j 
-0.00948422-0.000663984j 0.000596304-0.00214331j -0.00336083+0.000965325j 0.00771892-0.00524704j -0.0086576+0.00474851j 0.0115641-0.0265854j 0.00848211-0.0138787j -0.0100782+0.0053517j -0.00486994+0.00740982j -0.0207774-0.00184169j -0.00147871+0.0182545j -0.0101263+0.00400767j 0.0116301+0.00272294j -0.030255+0.0160819j -0.00572906+0.00995624j 0.0111749+0.0156696j -0.00490034+0.00439437j -0.0245424-0.0239534j -0.00495816-0.000938351j -0.0356651-0.0158925j -0.0239513-0.0225454j -0.0122873+0.00478376j -0.00556258-0.00320433j -0.0280008+0.0325373j 0.015096-0.0022658j -0.0152615-0.021339j 0.0162617-0.0111349j 0.0110684-0.0172451j -0.00954781+0.0178867j -0.00593478-0.0123965j -0.00135918+0.0144189j -0.00827824-0.0155248j -0.0279356-0.00723606j -0.027801-0.0103764j 0.00532377-0.0346445j -0.0170387+0.00109604j -0.0440343-0.0231994j 0.00987774+0.0134954j 0.0105083-0.0258558j 0.00761283+0.0048462j 0.0116414+0.00198237j 0.011169-0.0115687j -0.00632313-0.00624427j 0.0271318-0.00521391j -0.00498055-0.0223918j -0.0182627+0.00534923j -0.00225117-0.00207857j -0.0110925-0.024396j -0.00294922-0.00398121j -0.00503413+0.00251428j -0.0184965+0.0128709j 0.00639507-0.0114203j 0.0209315-0.0189673j 0.00776081-0.0144093j 0.0101705-0.0078289j 0.00157264-0.0221669j 0.00108861+0.0232364j -0.0223922-0.0139587j 0.0021191+0.00619129j -0.0105702-0.0240397j -0.000408296-0.000887384j 0.00259973+0.0241549j -0.0287359+0.000115194j 0.0167808+0.0333178j 0.0627898+0.0074164j -0.00585384-0.00925167j 0.000674637+0.0503211j 0.0101222-0.00734944j 0.00603782+0.00586091j 0.00658521+0.0115419j 
