0.00317018+0.00129585j 0.00438894+0.00122829j -0.00692651+0.00413092j 0.00943932-0.00571736j -0.0198443+0.0121411j -0.000936997-0.00465685j -0.00300644+0.00324879j 0.00393404-0.014035j -0.00468187+0.00254898j -0.000683235+0.000270264j -0.00854967+0.0150445j 0.00192621-0.00258571j 0.000746403+0.00576593j -0.0306969+0.0285606j -0.0026171-0.0273342j -0.00374429-0.00603177j 0.000367817+0.00645802j -0.0106842-0.0140094j -0.001773+0.00304941j 0.00940292-0.0112249j -0.000204218+0.00756908j -0.00505085-0.0239568j 0.00228072-0.00121222j -0.00136661-0.00329888j 0.0041079+1.15015e-05j -0.0144371+0.00320759j -0.00300101+0.00438578j 0.000501504-0.00252695j -0.0102762+0.0382847j 0.00710765+0.00695405j 0.00111351+0.00404462j 0.0044997+0.0299764j -0.102007+0.0989225j 0.00763638+0.0184152j -0.0857095-0.142548j -0.104252+0.00113242j 
0.011092-0.00216046j 0.00531085-0.00098626j -0.0144024-0.0314284j 0.00677922+0.00811835j -0.00380028-0.00670351j -0.0896835+0.0242513j 0.0542075+0.0644837j -0.0108755+0.00680849j 0.00462593+0.0107881j 0.00142512+0.00255764j 0.00459898+0.00285478j -0.000598902-0.00219863j 0.000834033-0.0073233j -0.0011066+0.000136541j -0.00365344+0.0103721j -0.023346-0.129795j -0.134414+0.0873091j -0.020166+0.0251651j -0.0944106-0.0794586j -0.00788616-0.00174701j 0.00356956+0.00264204j -0.00428358+0.00822494j -0.00153807-0.0134987j -0.0045199-0.0103952j 0.00370095+0.00273262j -0.00236573-0.00596868j -0.00102879-0.000617416j 0.000896356+0.000433442j 0.00443231-0.00576595j 0.000701552-0.0109516j -0.00104717+0.00194444j -0.00148953-5.79844e-05j 3.15349e-05-0.00454759j 0.00186692-0.00398172j 0.00065948-0.00101402j -0.00206989+0.00663286j 
-0.00719816+0.00575172j -0.0112458+0.016416j -0.00441614-0.000870981j 0.00386608+0.000198525j -0.0138474+0.00392764j 0.0122541-0.000617309j 0.00487617-0.00519515j 0.00715043-0.00177026j 0.00483077-0.00377708j 0.00293644-0.00163634j 0.00156901-0.00116716j -0.00117121-0.00045924j -0.0118734+0.00101025j -0.0119889-0.0227643j -0.0325757-0.027207j -0.0019963+0.0124567j 0.020213-0.0181584j 0.00229131+0.006054j 0.0231797+0.00786887j -0.0273029+0.0160663j 0.00898897-0.00309718j -0.00875888+0.00145772j 0.00927076+0.0120705j 0.00960278+0.0156663j -0.0041321+0.000666216j 0.0261127+0.00364141j 0.00504194-0.00201361j -0.00261989+0.00189108j 0.0412358+0.00362171j 0.00642861+0.0182028j -0.00895608-0.0070027j -0.0360573-0.0458161j 0.0161708-0.0230407j -7.50276e-05+0.0713376j 0.0063688+0.0250708j -0.00139933+0.0212265j 
0.00765672-0.0115679j 0.00349021-0.00179646j 0.00652322-0.00249052j -0.00403335+0.000569332j -0.00155827+0.00270307j 0.00616495-0.00565401j 0.0109638+0.0101101j 0.0145559-0.0142103j 0.0146637+0.0180365j 0.0070922-0.00126979j -0.00842119+0.025023j -0.0114844-0.00802842j -0.0297241-0.01932j -0.00476135+0.00560629j -0.00748714-0.0144657j -0.00607859-0.00714345j -0.00877102+0.00710206j -0.00913929-0.01026j -0.0031027-0.00162152j 0.00736816-0.0100379j -0.00746194-0.00850924j -0.00270826-0.0152824j 0.00926349+0.00232632j -0.00763342-0.0102448j -0.0114596-0.0214401j -0.00319648-0.000860402j -0.00476882+0.00701262j 0.0172223+0.00551701j -0.0044079+0.0304586j 0.0050445+0.0136986j 0.0098881+0.0539047j 0.000627311-0.0159443j 0.00191157-0.0404442j -0.00310147+0.0311514j 0.0014009+0.00415099j -0.00484982+0.0494124j 
-0.00444452+0.000824078j 0.0179083-0.0049763j -0.00300006+0.00118224j 0.00215099-0.00246955j 0.00608489+0.00326145j 0.00776611-0.00717355j 0.00705387+0.000600315j -0.000951429-0.00247624j -0.00634689-0.0016261j 0.00582269-0.018119j 0.000569589-0.0178596j -0.01905-0.00477209j 0.0233913+0.0252406j -0.0233955+0.0275215j 0.0228898-0.00354802j -0.00457798-0.00347396j 0.00915727-0.00654796j -0.00296042-0.0100619j 0.0155939+0.0109861j -0.0106702-0.00381316j -0.00549703-0.0251789j -0.00787843-0.0197974j 0.0119235+0.0133489j -0.000946867+0.00111905j -0.00283781-0.0263689j 0.00739159+0.0022058j 0.00830448+0.0203765j 0.0066252+0.0170608j 0.00268428-0.0187187j 0.0071503+0.0358045j 0.00613917+0.0326515j -0.00111379-0.0264824j 0.00322275-0.0171308j 0.00250929-0.00138576j 0.00198683-0.00423038j -0.0122182+0.0374023j 
0.000725569-0.00252678j 0.0297947-0.0108538j -0.00148561+0.000251368j 0.00115232-0.00105806j -0.00716759+0.00207268j 8.56304e-05-0.00113208j -0.00178592-0.00203431j 0.00674179-0.0119678j 0.0111903-0.00361646j -0.00625553+0.020593j -0.000641891+0.0128228j 0.0230627+0.00971741j -0.00685126-0.00528568j 0.0169685-0.0296423j -0.0300056-0.0214578j -0.00228678+0.00274846j 0.00710303+0.000285033j -0.00414225-0.00355859j 0.0037559-0.000130648j -0.0056331+0.0106625j 0.0125222+0.0319286j -0.00495846-0.0103095j 0.00089356+0.00111237j 0.00716814+0.0116207j -0.00265037+0.0173816j 0.00925362+0.00680668j -0.00941198-0.0292198j -0.00410062-0.0132027j -0.000622204-0.0242959j 0.00583422+0.0224847j -0.00437094-0.0314947j -0.00433164-0.00213064j -0.00290951+0.00554657j 0.00209131-0.0183829j -0.00590069-0.00388396j -0.00730718-0.000282823j 
0.0322109-0.0074611j 0.0114654+0.00299974j 0.00251042-0.000988609j -0.00266798+0.00057931j -0.000657872-0.00165393j -0.00533631+0.00636329j -0.00600994-0.0100542j -0.0204678+0.0185324j -0.0169783-0.0185448j 0.00137737-0.018748j -0.0110576+0.00830631j -0.0103997-0.0113034j -0.0150473-0.0100668j 0.000477316-0.00224376j -0.000854324+0.00334347j 0.00432815+0.00360262j 0.00323116-0.00822059j 0.00744565+0.0184888j 0.00117662+0.00315568j -0.00366348-0.00121025j -0.000250452-0.0103959j -0.00533054+0.0105507j -0.00736195-0.0092226j -0.00454338-0.0133889j 0.00313441-0.000720649j 0.000359314-0.00429577j 0.00195248+0.00957997j 0.000534955+0.00011025j 0.000880364+0.0294084j 0.0032815-0.0146972j -0.00176046+0.0091923j 0.00059899+0.00805639j -0.0016759+0.00169498j 0.00310735+0.0248425j -0.000105944+0.00212005j 0.00185261-0.0110556j 
-0.0183529+0.00623928j 0.0290411+0.00164409j -0.00139446+0.00122989j -0.00331242-0.00136543j 0.00225146+0.000827435j 0.00494393-0.00511155j 0.00568271+0.00437949j -0.00818291+0.00329843j -0.00168583-0.0207426j -0.0214777+0.0122786j -0.00873575+0.0218757j 0.0265126+0.0225691j -0.0132612-0.0022702j -0.0100989+0.00977302j 0.00984741+0.0103242j -0.00378133-0.00452112j -8.61507e-05-0.00261748j 0.00140757-7.43974e-05j 0.00618396+0.00760195j -0.000337101-0.0161865j -0.00433284-0.0383755j -0.00363687-0.0287539j 0.00155606-0.0106254j -0.00373253+0.0119038j 0.00439816+0.03532j -0.000454937+0.00108171j 0.00425613+0.0426935j 0.00139492+0.0309991j 0.00144157-0.0389827j 0.00119877+0.0302216j -0.000438162-0.0315699j -0.000485032-0.00513358j 0.000358049+0.00229976j 0.00388525-0.0254583j 0.00282669-0.00281472j -0.00142894+0.00907287j 
1.7887e-05-0.00302901j 0.00365508-0.000340082j -0.00151559+0.00149336j -0.000380317-0.00204828j 0.00129618+0.0020401j -0.000309203-0.00426736j -0.00204185-0.00540268j -0.000695822-0.0056466j -0.00403687-0.00568466j 0.00198186-0.00463616j -0.00261128-0.000553874j -0.00267797-0.00409203j 0.00367622+0.00635388j -0.000547939-0.00138391j -0.0015851-0.00558992j -0.00250218-0.00284566j 0.00829917-0.00174037j -0.00351607-0.00950991j 0.00741729+0.00658554j -0.00500538+0.00808025j 0.0022945+0.0108307j -0.00195062+0.000371628j 0.00443419+0.0138588j 0.00466154+0.00549308j -0.00079643-0.0179574j 0.00157931+0.00364515j 0.000258872-0.0146489j 0.000133296-0.00659905j 0.00122661-0.0127237j 0.0024151+0.00892613j 0.000146239+0.0115162j 0.00209643-0.00568479j -0.0024451-0.00301343j 0.0075412-0.017387j -0.00132575-0.00556116j -0.00722392+0.0124997j 
0.0283388-0.00124008j -0.0189093-0.00471861j -0.00254577+0.00287663j 0.00272814-0.000954795j 0.00123113+0.00096676j 0.00768561-0.0111186j 0.00862188+0.0115627j 0.00949014-0.0109228j 0.0125816+0.00231933j -0.0208412+0.019592j 0.0155263-0.00680997j 0.0198295+0.0316099j 0.0129631+0.0133136j -0.00711762+0.00347464j 0.00484224+0.00726215j -0.00561517-0.00203109j -0.00124024+0.0058723j -0.00496931-0.0218332j 0.00361386-0.000468194j 0.000894147-0.00264603j 0.00162336-0.0327136j -3.52305e-05+0.0285838j 0.00475407+0.0176468j -1.11359e-06+0.0502491j -0.00432704+0.0366509j 0.000599285+0.00311088j -0.00226104+0.0335894j -0.00496167+0.0183548j -0.00176159+0.000972759j 0.0027962-0.0273591j 0.0060256-0.0453947j -0.00196288+0.00796672j 0.000510677-0.00230674j -0.00206643-0.000784754j 0.000482079-0.00459115j -0.00356521+0.00862657j 
-0.0133257+0.00126015j -0.0324507-0.00626988j -0.0010704+0.000864872j -0.00241788-0.00188263j 0.00127329+0.00103323j 0.00117752-0.00521828j -0.000263171+0.000770837j -0.00450644-0.00716985j 0.000389467-0.0168917j -0.0113816+0.000394233j -0.022179+0.026268j 0.012463+0.00760637j -0.0234749-0.0183733j -0.00200675+0.00560697j 0.00547765+0.00777324j -0.00291173-0.00772791j -0.00128375+0.00456325j 0.000850143-0.0203533j 0.00240988+0.0021931j 0.00126602+0.0024375j -0.00186906-0.0117519j 0.00298862+0.0196572j -0.00100374+0.0215997j -0.000296664+0.0189086j 0.00151792-0.012842j 0.000103423+0.00192613j 0.00227451+0.00280976j -0.00104084+0.00288058j 0.00407287-0.0148459j -0.00352914-0.00668387j -0.000791858+0.00818992j -0.000860901-0.00277658j 0.000926306+0.00259032j 0.00475086-0.0242945j 0.00286766-0.00178202j 0.000700589+0.00340875j 
-0.0248491-0.00367062j -0.000930328+0.00129897j -0.00973451+0.000508718j 3.67612e-05+0.000243466j -0.000453391-0.00122358j 0.0243415-0.0138889j 0.0157444+0.0370996j -0.0222803+0.0148924j -0.0136606-0.0108577j 0.018729-0.0158964j 0.00631507-0.010472j -0.0133601-0.0243333j 0.00522336+0.0112357j -0.00343611+0.00148526j 0.00429598+0.00334212j -0.0137307-0.0039327j -0.0147486-0.00212518j 0.00466736+0.0149771j 0.00320481+0.0105276j 0.000256003+0.00807456j -0.00416968+0.0361803j 0.00618369-0.00792029j 0.00124789-0.0217288j -0.00373439-0.00713548j -0.00762436+0.0306712j 0.00301832+0.00194308j 0.00437111-0.0166807j -0.0026328-0.0104093j 0.00136459-0.00191125j -0.00582431+0.00606191j 0.013141-0.0458295j -0.00302013+0.00366751j 0.00201143-0.000295938j -0.00832925+0.0123743j -0.000130017+0.00251326j 0.00132107-0.000511468j 
-0.0251259-0.00503642j 0.00568487-0.000773222j 0.0037664-0.00707887j 0.00264677+0.00372371j -0.00197514-0.00151623j -0.0141478+0.0239758j -0.00128075-0.0124816j 0.0212262-4.64114e-05j 0.0128069+0.0249456j -0.00743523+0.015022j 0.0045231+0.00328994j 0.004384+0.0138204j -0.00166242-0.00546968j 0.00636846-0.00414512j -0.00643636-0.00847654j 0.0188658+0.0154923j -0.00397809+0.00432857j 0.000814706+0.010446j -0.0170844-0.0283222j 0.00149902-0.0191097j 0.00403312-0.0228977j 0.00687022-0.0311584j 0.000126584-0.0159598j 0.000795234-0.0251492j 0.00406784-0.00599128j 0.00582689-0.00523546j -0.00507751+0.0190691j 0.00136465+0.0123885j 0.00153519+0.00696332j -0.00847254+0.02724j -0.00999494+0.0270574j -0.00169091-0.00943443j 0.00359529+0.00367491j -0.0105678+0.0246565j -0.00044475+0.0115103j 0.010063-0.0179702j 
-0.00334802+0.000616649j -0.00990747-0.00604721j -0.000997124-0.00736826j -0.00419679-0.00163801j 0.00473765+0.00212853j -0.00107447+0.0292963j 0.00313359+0.00594115j -0.0352709-0.000854368j -0.0044559-0.0316591j -0.0107097-0.0141497j 0.00879161-0.0043086j -0.000786116+0.0155873j 0.00861503+0.0186658j 0.00134537-0.00220421j -0.00134046-0.0127022j 0.00831528+0.0332597j -0.000144535+0.013476j 0.00167017-0.040875j -0.00417131-0.0438911j 0.00231577-0.0281366j 0.0135806-0.0352604j 0.00368754-0.01454j 0.00613035+0.0110123j -0.00830119+0.0122757j 0.00532801-0.00690301j -0.000943674-0.00275311j -0.0104196+0.0375838j -0.00209912+0.0243102j -0.000581538-0.000478172j -0.00410725+0.0133365j -0.00597315+0.0208531j 0.00694287-0.00555125j -0.00169912-0.00258446j -0.000306413+0.0079741j -0.00406076+0.000298705j -0.0019368-0.000945315j 
-0.0165334-0.00872902j -0.00939539-0.00328649j 0.0112971+0.0101073j -0.00248565+0.000106009j 0.00188045-0.000268515j -0.0258259-0.0221158j -9.97776e-05-0.0358413j -0.000581299+0.012793j -0.00400728+0.0110993j -0.000280035+0.00347956j -0.00205676+0.00108069j -0.000842174-0.00125175j -0.000297124-0.00975501j -0.0011816+0.00453005j 0.00116177+0.0129133j 0.00503849-0.0282714j 0.0117906-0.00474281j -0.0276374+0.0330898j -0.0117011+0.0331724j 0.0187805-0.000730395j -0.00691687-0.00205193j -0.0071821+0.0121604j 0.00367947-0.0260568j 0.0041777-0.0284263j 0.000533942+0.00620596j -0.00973662-0.00647676j -0.00321292+0.00513076j 0.000545711+0.00114971j -0.00413413+0.000163751j 0.010396-0.0251882j 0.000478365+0.0037738j 0.00343129+0.0150754j -0.00392372-0.00373082j 0.0134715-0.0224334j 0.00192067-0.0111514j -0.0061809+0.0103637j 
-0.0016708+0.00237998j -0.000191766+0.00150311j -0.000313309-0.0162737j 0.000734343+0.00496406j -0.000446143-0.00432726j -0.0168041+0.0456381j -0.00679516+0.0413003j 0.00109874+0.00857696j -0.00111439+0.0157163j -0.00144734+0.00661572j 0.000446944+0.00137271j 0.000919858-0.00161243j 0.00187255-0.0130229j -0.000534664+0.00372796j -0.000473321+0.00783564j -0.052918+0.0320813j -0.0364844+0.0169512j -0.0149474+0.0150035j 0.00254245-0.0635693j 0.0131325-0.0159973j -0.00148658+0.0012437j -0.00149418+0.0034467j 0.00516877-0.0187972j 0.00629971-0.0189515j -0.000252548+0.00420909j -0.00266862-0.00541174j -0.00144807-0.000302441j 0.0014224-0.00184269j -0.00343239+0.00232275j 0.00720447-0.0175804j -0.00144605+0.00356895j -0.00318878+0.0105462j -0.000866996-0.00151822j 0.00581833-0.0121264j 0.003507-0.00523711j -0.00142857+0.0035232j 
