0.0395297-0.0135981j 0.00161416-0.0607332j 0.00940581+0.00973609j 0.0550561-0.0658947j 0.0227875-0.0139412j -0.0711169-0.0549491j 0.102004+0.0116308j -0.0439063+0.0192608j 0.0536064-0.086215j -0.0501241-0.0128361j 0.0524306+0.0814875j -0.00325095+0.0182386j -0.128887+0.106602j 0.0262315-0.0405364j -0.0769112-0.0661597j -0.0523506+0.00825277j 0.135825-0.0784632j -9.82141e-05-0.0211954j -0.0973237+0.0448189j -0.0538809-0.00973727j 0.031472+0.03536j 0.192227-0.0221472j -0.0166946-0.0385437j 0.00995109-0.0468112j 0.0734809-0.0151899j -0.0689005-0.0167546j -0.0657875-0.0895965j -0.0271244+0.162716j 0.166279+0.0665938j 0.0957843+0.0495118j 0.0481143+0.0202769j 0.083725+0.0152256j 0.0111002-0.0326997j -0.00851627-0.0112276j 0.0905155-0.0643673j -0.071989-0.0508552j -0.0668741+0.0364185j 0.0208336+0.0518843j 0.141862+0.0166164j 0.0150166-0.118139j -0.0232984-0.174239j 0.0228077-0.0380129j 0.00684998+0.0751859j 0.105964+0.0311658j -0.0163763+0.0392468j -0.0362946+0.09728j -0.148422-0.00394245j 0.0359678+0.0861238j -0.0903405+0.128067j -0.0502907+0.0518531j -0.0601023-0.00412444j -0.126732-0.0839475j 
-0.00416501+0.00877127j 0.0259841+0.0195827j 0.0224306+0.0121833j -0.00283679+0.0839654j -0.0298268+0.026429j -0.00723817-0.0690885j -0.0952665-0.0246895j 0.0303622+0.0195697j 0.0621726+0.0751335j -0.0275369+0.0146679j 0.00958406+0.0228713j 0.00796105-0.0521542j 0.0325538-0.00695578j 0.0210596-0.0278115j -0.00761905-0.0870978j -0.0379899-0.00826014j -0.0744978+0.0943039j -0.0879814-0.0448075j -0.027804+0.105669j 0.0207591+0.0312236j -0.0657853-0.0752944j -0.0877101-0.0299667j -0.0310749-0.000673893j -0.00693918+0.0789854j -0.0541307+0.0194857j -0.0693393+0.0253702j 0.0446579+0.0528031j 0.0652977+0.0222632j -0.0203316-0.000808198j -0.00246611-0.0609993j -0.0661864+0.00520829j 0.0642199+0.070799j 0.015243+0.0800591j -0.0729301+0.118136j 0.035855-0.0102356j -0.0665666+0.014704j 0.0699811-0.0488487j 0.0747344+0.0031227j -0.00295514-0.0493408j -0.117106+0.0456354j 0.0550484-0.00304886j -0.0516735-0.0359159j 0.0043966+0.0209399j 0.00354603+0.0353082j -0.113778-0.00235275j -0.000278437+0.00195279j 0.0126145+0.0881286j -0.0670951+0.0849279j -0.0167115-0.0441815j -0.0421884-0.0329538j -0.0221868-0.0248778j 0.0459981+0.0207858j 
0.00938052+0.0236495j -0.0381068+0.0695828j -0.040408+0.0405873j -0.146974+0.0476427j 0.0142248-0.0667003j 0.0647498-0.206779j 0.0596334+0.0526738j 0.027532+0.0973427j -0.0552475+0.0178331j 0.0751867+0.00666015j 0.092618-0.0538886j -0.160667-0.0593517j -0.160945+0.160054j 0.0276164-0.085269j 0.0171914-0.0272098j 0.0876212+0.0959265j -0.0433404-0.00774295j -0.175072-0.119313j 0.032119-0.0500075j -0.0793617-0.131284j 0.0161616+0.111334j -0.16466+0.173002j -0.0269297-0.0247388j -0.0815592-0.0682201j -0.0869017+0.14557j -0.107644-0.119828j 0.158052+0.0233657j -0.139794+0.0299986j 0.0176217-0.0223269j 0.0685775-0.116486j -0.142352+0.0618594j -0.0462748-0.118968j -0.0241509-0.000217749j 0.00487692-0.0400592j -0.142143+0.00685535j -0.158472-0.0625123j -0.0283823-0.105603j 0.1887+0.0222098j -0.0822856+0.00643765j -0.141161+0.0823623j -0.129452-0.149068j 0.0804543-0.110491j 0.106028-0.180247j -0.091552-0.110221j -0.165032+0.0594336j -0.0237549-0.0127727j 0.013251+0.0911279j 0.0136892-0.00060157j 0.0123332+0.0565022j 0.0222063+0.0171971j 0.0107514-0.0153259j -0.00241031+0.00599892j 
-0.0368504+0.0173694j 0.0470111-0.00678727j -0.11299-0.056614j 0.0972411+0.151565j 0.0718051+0.12205j -0.128964+0.0546367j -0.0229232-0.0288701j 0.0291414-0.0210165j 0.126814-0.0109004j -0.0615172+0.0618081j 0.0108541-0.0371881j 0.192424-0.0697066j 0.0493531+0.0503492j -0.0289828-0.0613625j 0.00424481+0.0669085j -0.200119+0.00591996j -0.0877658-0.0681156j 0.064827-0.0544309j 0.170662+0.137502j -0.0722178-0.0348149j -0.0321808-0.0515545j 0.0855095+0.0654723j -0.083413+0.0909125j -0.00545115-0.0474677j -0.0409761-0.0253653j -0.0259328+0.00734324j -0.0514623+0.0338666j -0.0454237+0.0120254j -0.0241089+0.0307381j -0.0421742+0.0305573j -0.00888297-0.0175647j 0.0440886+0.026035j 0.181239+0.273601j -0.0798415+0.215315j -0.0334225-0.0299482j -0.158767+0.0549085j -0.0798566+0.0712839j -0.118427-0.0969393j 0.020405+0.0118214j -0.174725+0.0564875j -0.0279753-0.00148076j 0.0538531-0.0416352j -0.0625877+0.0513753j 0.0311742+0.00361853j 0.0117827+0.0342081j -0.0426165-0.0383281j 0.037105+0.0474891j 0.0146192-0.0784147j 0.00783399+0.0830824j 0.00995067+0.0217885j 0.00772059+0.00216935j -0.0211937-0.00502302j 
-0.0198928+0.0823825j -0.0141522-0.0337107j 0.0688563+0.0886745j -0.0643483+0.0457594j 0.00676968+0.0650387j -0.0350158+0.0263915j 0.0663715+0.0676629j 0.0374544+0.106778j 0.0459856-0.0257127j -0.0161164+0.0351557j -0.0691831-0.0310167j 0.0464634+0.0201079j 0.0448969-0.024302j -0.0193089-0.105115j 0.0408094+0.0280132j -0.0244836+0.196266j -0.175654-0.0433964j -0.166204+0.060769j -0.0997032-0.0289908j -0.0152724-0.0933186j -0.0630449-0.123392j 0.0462109-0.0432258j -0.00511351-0.0370315j 0.0851847+0.0308398j 0.00497186-0.0040422j 0.0922319-0.0941022j 0.0118997+0.0311824j 0.0336251+0.135211j 0.00352654-0.0496862j 0.00514013-0.092649j 0.0668669+0.169204j 0.139672+0.173547j 0.0787732+0.0225144j -0.0212567+0.0886772j 0.0408425-0.0666746j -0.0491676-0.0220084j -0.230464-0.0211321j 0.0200413+0.186403j -0.0355163+0.104573j -0.126099+0.0640536j -0.0102194-0.0775925j 0.00340148-0.029402j 0.119729-0.0901422j 0.114821-0.0896096j 0.071653+0.0934189j -0.0233099-0.0802647j 0.0148982-0.00161223j -0.0835261-0.0322187j -0.0101325-0.13898j -0.0309163+0.00586167j -0.0271053-0.0339542j -0.00834776-0.0277411j 
-0.0133264+0.0495243j -0.0481772-0.0638379j -0.164505-0.0054294j 0.0998044+0.0286727j -0.0313018+0.0226526j -0.0462973+0.0970009j 0.0569316-0.0348662j 0.202093+0.0349427j -0.00231323-0.0645433j 0.150569+0.098804j 0.0461745-0.050202j -0.134389-0.0743575j -0.134622+0.0760364j -0.0434805+0.057868j 0.152576+0.0695912j -0.0804428-0.0281329j 0.0254362+0.0330547j 0.0523605-0.0848226j 0.0889492-0.00294816j 0.0113434+0.0573285j 0.0690776-0.0096406j -0.0719063-0.0497625j 0.168055-0.0775586j -0.0747585-0.144962j -0.093465+0.111552j 0.0316456-0.033752j -0.0496672-0.0808464j -0.0278785-0.063477j -0.023875+0.106967j -0.00914641-0.0649942j 0.0155848-0.0466069j -0.060215-0.0918925j -0.0102844+0.096708j 0.00159889+0.0329979j -0.0320657-0.0213629j -0.110962-0.15336j -0.0686451+0.161454j -0.0277491-0.201394j -0.0239365+0.212313j -0.0037784-0.0192945j 0.0236401-0.039491j -0.0190398-0.0495649j 0.149264+0.0606092j 0.00562368+0.0328596j -0.0176147-0.00318482j -0.0946858-0.00550677j -0.0400715-0.0497274j -0.0573292+0.064015j 0.00534898+0.0179368j -0.0487832-0.07485j 0.00290351-0.0312262j 0.00391196-0.00888579j 
-0.0509352-0.0406419j 0.0339136-0.041042j -0.0338077-0.0248781j 0.0868367-0.0440745j -0.0428454-0.0850139j -0.103631-0.0527078j -0.0760265-0.0192442j 0.0813282+0.120916j 0.077252+0.0405874j 0.00987698+0.130064j 0.0478981+0.0560712j 0.0140584-0.131218j -0.0159597-0.0157328j -0.0765481+0.113931j 0.0168466-0.19584j 0.00842691+0.121352j -0.02095+0.0244776j 0.0204858-0.0367436j -0.0876815+0.0434389j 0.033933+0.0837439j -0.112168-0.0721104j 0.0329614+0.0152665j 0.0754821+0.0256977j 0.0275079-0.0210957j -0.157349+0.123733j -0.181841+0.0751937j 0.0380759-0.0700112j 0.153382-0.0286347j -0.0921601-0.0816534j 0.133736+0.0359269j -0.0721495+0.106415j 0.0720044+0.183695j -0.000432512-0.0462479j 0.0941661+0.0294465j 0.0688025+0.0324117j 0.0436245-0.000636802j 0.037619-0.0949616j -0.0204385-0.0589836j -0.00159428+0.0287013j -0.0508461+0.08664j -0.0335373+0.0431128j -0.0355874+0.0532845j -0.0421941+0.0622444j -0.0163963-0.0146999j -0.0344784-0.0112932j 0.118705-0.0198177j -0.0255195+0.10397j -0.085639+0.00180945j 0.117825+0.0453397j -0.0286019-0.0228275j 0.000379289-0.0512323j 0.0599797-0.0320324j 
0.0374789+0.0503895j 0.0093547+0.0593951j -0.00253779+0.0518999j -0.045913+0.128453j 0.00683301+0.0453976j -0.0171619+0.0474398j -0.0590432-0.0529255j -0.0318373-0.0892466j 0.00586423-0.0212407j 0.00472052-0.015471j 0.0116708-0.0716853j 0.0713653-0.0124525j 0.0675174-0.0208849j 0.0338588-0.0665967j -0.0668353+0.104071j -0.181869-0.060424j 0.0118165-0.00569497j -0.0200531-0.0310578j 0.0989075+0.0901735j -0.0296735-0.0531189j -0.0358295+0.00760283j -0.0569528-0.00145911j -0.174313+0.0446408j -0.0525389+0.0726709j 0.0626418+0.0216466j 0.0150685-0.0165478j -0.038479+0.0860178j -0.0797006-0.0539012j 0.0283382+0.0665105j -0.00331811-0.0585378j 0.0478054-0.14855j -0.0401116-0.183113j 0.0665132+0.0342803j -0.0256509+0.0733747j 0.017739+0.0328033j -0.0548561-0.00419869j -0.0588008-0.00337284j -0.0648733-0.116603j -0.0182629-0.103808j -0.0168737-0.0430965j 0.0587472-0.022765j 0.0209668+0.00203871j 0.0140135+0.0416698j -0.00535577+0.1294j 0.109932-0.0393232j -0.0580128-0.0119223j 0.0392363+0.0286288j -0.0611653+0.176117j -0.0282302-0.0773024j -0.0363335-0.0775068j -0.0319471-0.00511007j 0.0391769+0.0704212j 
-0.00441893+0.00954033j -0.0366341+0.0204323j 0.0780611+0.0291874j -0.0920479-0.032309j -0.0492284+0.00913327j 0.0841465-0.0567058j -0.0421922+0.00943475j -0.0690414-0.0316113j -0.0189048+0.051227j -0.0469919-0.0155942j 0.000998046+0.0948727j 0.0219025+0.00799402j 0.0629614-0.0395479j -0.00829596-0.0690982j -0.0107176-0.00118491j 0.0287251+0.0401779j -0.014687+0.0750671j -0.0243727+0.0622598j -0.0709461+0.00889848j 0.0125498+0.0104546j -0.0374707-0.0235761j -0.0434329+0.012595j -0.0680425-0.0299519j -0.0226336+0.107241j 0.0247417+0.0392156j 0.060642+0.0412735j 0.0219911+0.074268j 0.0752637+0.00453812j 0.0221854+0.0429404j 0.000962473-0.0148873j 0.0220737-0.0146739j 0.0215096+0.0547225j -0.0712201-0.0386366j -0.0686934+0.0105948j -0.00751566-0.00945028j 0.0304962+0.0589741j 0.0619187-0.0301089j 0.0658273+0.0813493j 0.0143687-0.090841j 0.042634-6.81427e-06j 0.0122617+0.00966471j 0.0247425+0.0578496j -0.026906+0.00408015j 0.0118533+0.0580966j -0.0315252-0.0482373j -0.0117355-0.0211837j -0.000156265+0.0296665j -0.0666758+0.0838707j -0.0197237-0.13593j -0.041453-0.0108146j -0.0417843-0.0023328j 0.0436962+0.0236251j 
-0.0205844+0.0191921j -0.0288071-0.0126188j -0.0909345-0.0203039j -0.0263834-0.0304382j -0.00279006+0.0139633j -0.00466926+0.0558648j -0.0533475-0.011643j 0.0853837+0.0165046j 0.0195576+0.0707127j 0.0344621+0.0410563j 0.0413624+0.0582294j 0.0683165-0.0382568j -0.0433203+0.0258642j -0.03611+0.0123421j 0.0381958+0.0828256j -0.0438824+0.0257954j -0.0321231+0.0223028j 0.13501+0.0614645j 0.0920301-0.0442014j -0.018307+0.0235911j -0.0427851+0.0183241j 0.0275937+0.00134775j -0.0303714-0.0767294j -0.0197971-0.030135j 0.061771+0.118024j 0.0101359+0.0122962j -0.0476704+0.039922j 0.0241155-0.100403j -0.0303378+0.0843373j 0.0117648+0.0402232j 0.0676733+0.0258128j 0.0137731+0.0998063j 0.00643527-0.0114351j 0.0108054+0.027202j -0.0566477-0.0246709j -0.022099-0.0155459j -0.00613766+0.0029242j -0.0056054-0.0512367j -0.0300434+0.063921j 0.0152838-0.0254654j 0.0776646+0.0293939j 0.0605418-0.00810938j -0.0108698-0.00397573j -0.0597615-0.0316255j 0.0582866+0.000962416j -0.0490862+0.0205441j 0.0346982+0.0261043j -0.0100251-0.145902j 0.0556415-0.100154j -0.0522349+0.0405188j -0.00530711+0.0119102j 0.0553325-0.0541641j 
0.00415143+0.0157642j 0.0273192+0.0127281j 0.0318466+0.0137998j 0.00759223+0.0158614j -0.00441434-0.0432252j 0.0248535+0.00450614j -0.0282269-0.0125913j -0.00913427-0.0183646j -0.0363885-0.0124429j 0.00344456-0.0183545j -0.0302394-0.0183617j -0.0071035+0.0213828j 0.0200079-0.045886j 0.0180565+0.018479j -0.0248875+0.0134859j -0.0162723-0.0207997j 0.0227959+0.00493787j -0.057587-0.00276013j -0.0373893+0.00686439j 0.0316655-0.0198775j 0.00329304+0.0375451j 0.00627293-0.0100213j -0.00297851+0.0420946j 0.0137983+0.0117404j 0.0204195-0.00722261j -0.0209445+0.0259896j 0.0149062+0.00925214j 0.00461787-0.00851831j -0.0333511-0.0130231j 0.016526-0.019123j -0.0137307-0.0515985j -0.0218587-0.0599613j 0.0341758-0.0259176j 0.0156851+0.0182134j 0.013375+0.0210274j 0.0230943+0.0095808j -0.0131387-0.0320223j 0.0128593-0.00899975j -0.0270883-0.0151195j 0.0111548-0.0125517j 0.012193+0.0260086j 0.0102614+0.019805j -0.00461198+0.0227467j -0.0198836+0.0120271j 0.0413013-0.0130254j 0.0127588-0.00828125j 0.00431454-0.00808429j -0.00676681+0.0548553j 0.0299801+0.0149286j 0.0127934-0.0710212j 0.0213799-0.00151301j 0.00642814+0.0553052j 
0.0183704+0.0104485j 0.0052699+0.0056189j 0.0485841+0.00622638j -0.0345186-5.11237e-05j -0.0278195+0.0127385j 0.0030187+0.0164953j 0.0141893+0.013596j -0.0109447-0.0172926j -0.00657817-0.0112315j -0.00786332-0.0266276j -0.0114043-0.00612918j -0.00559403+0.0174082j 0.0567593-0.0355248j -0.00548743-0.0387379j -0.00532024+0.012722j 0.00163236-0.0376577j 0.000730537-0.00663601j -0.0154024-0.010137j 0.0127198+0.00308841j -0.0023628-0.0318844j 0.00760647+0.00063448j 0.0135676-0.0260709j 0.0297376-0.0036722j -0.00629799-0.0210726j 0.0076207-0.0267436j 0.050043-0.00113762j -0.0112982+0.0109626j -0.00840796+0.0302707j 0.00504102+0.0155301j -0.0379288-0.0187221j -0.000175169-0.000661293j -0.00447522-0.00748762j -0.00910568-0.0103326j -0.0305359+0.00166183j 0.0178135-0.01693j 0.0423594+0.0130253j -0.00406883+0.0268176j 0.002768+0.0261826j -0.0170988-0.051972j -0.000849731+0.0059479j -0.0193509+0.0189593j 0.0102581-0.0211271j -0.0278409+0.0273196j 0.0139147+0.00482056j 0.00311116-0.00721185j -0.0385147-0.0253182j 0.00415685-0.00393599j -0.0086939+0.0179496j -0.0155893-0.0227149j -0.0144958-0.0187559j -0.00512762-0.00930398j 0.00772698+0.00859141j 
-0.00659883-0.0135539j -0.0135914-0.000115324j 0.0261047+0.00271635j -0.0326499+0.00305979j 0.00254004-0.0142556j -0.0127743-0.0214704j 0.0254937+0.0172428j -0.0114173+0.00226319j 0.0254376-0.0208993j -0.0197491+0.0140667j -0.00639919+0.00506091j -0.030803-0.0155654j -0.0178293+0.0228341j -0.00847332+0.013528j 0.0325457-0.0020588j 0.0157576+0.000195474j 0.0350085+0.00859384j -0.0767093-0.025128j -0.0345709-0.00258989j 0.0173038-0.0231531j -0.0238825+0.00109244j -0.00326374+0.0162679j -0.00296008+0.0156718j -0.00985021+0.00776283j -0.0282995-0.0267889j 0.0105576-0.00195005j 0.0107491+0.0194757j -0.0101113+0.0108001j -0.000826855-0.0142165j -0.0381884-0.0356206j -0.000811121-0.0567638j 0.000579138-0.0784036j -0.00176344+0.00837989j 0.0105877+0.00358026j -0.0111182+0.0104011j 0.00972113-0.00378193j 0.0180864-0.00943905j -0.00603124-0.00892757j -0.00828315-0.0140508j 0.00261031+0.0718529j -0.0155024+0.00333471j -0.00806563+0.0297476j -0.0143025+0.0357286j -0.000818708+0.0382384j 0.00423182-0.0312467j 0.0222473-0.00456199j -0.0137849+0.0166645j -0.000561897+0.112627j 0.0143077+0.0116835j 0.00459362-0.0761767j 0.00743828-0.00827237j 0.00591913+0.072677j 
-0.00295393+0.00665249j -0.0113593-0.0121652j -0.0143749-0.000997954j 0.0200407+0.00152392j 0.0171512+0.00885291j -0.0171998+0.00128805j 0.0177471-0.00178225j 0.00692686+0.0107513j 0.0102279+0.00139999j -0.0133661+0.0210884j -0.0298555+0.00481462j 0.014644+0.00718923j -0.0192879+0.0107374j -0.0218936+0.0067442j 0.0111646+0.0154204j 0.00132808+0.0247893j -0.00971214+0.00721809j -0.0238595+0.0105218j -0.0392741-0.00578058j 0.0288727-0.0130738j -0.00321331+0.020144j 0.013303+0.00586134j 0.000465714-0.0154407j 0.0142119-0.00672281j 0.0217714-0.0198087j 0.0184291-0.00334513j 0.00792482+0.0134819j 0.0114502+0.00121589j -0.00595596-0.0155767j -0.0264667-0.0227634j 0.0193052-0.0140749j -0.01357-0.0321104j 0.0230563+0.00282224j -0.00398457+0.0161862j -0.0181274+0.00241736j -0.00539227-0.0109926j -0.0153227-0.0231007j -0.00648755+0.0204727j 0.01268+0.0370355j 0.00160854+0.0271186j 0.0154635-0.0125668j -0.0111461+0.0109868j 0.00631965-0.0135331j 0.0113873-0.0128372j 0.0239046+0.00972436j 0.00363806+0.0153162j -0.0297829-0.00900479j -0.0128085+0.056899j 0.0110855-0.000669422j -0.0022944-0.0543227j 0.0043634-0.0147801j -0.00128012+0.0457231j 
0.0201414-0.0136978j 0.0118323+0.0276504j -0.0272432-0.00715387j 0.0335081-0.0264769j 0.0135443+0.0142028j 0.0132209-0.00640082j -0.0399901+0.0027823j -0.0136126-0.00515872j -0.0151389+0.0274763j 0.0282525-0.0275933j 0.0802974-0.031648j 0.00149431-0.00426961j 0.0211636-0.00730945j 0.0289194-0.0306039j -0.0855859+0.017313j 0.023302-0.0149726j -0.0465782-0.0217801j 0.130524+0.0159746j 0.0497821+0.0355201j -0.00915973-0.022825j 0.0358167+0.00101922j -0.0114745+0.0284353j -0.0203622-0.0124749j -0.0620992-0.0246699j 0.00509495+0.0726729j -0.0514272-0.0316789j -0.00754846-0.0105992j -0.0310823-0.00969346j 0.0174252+0.0104617j 0.0600357+0.0613287j -0.0188304+0.0817974j 0.020964+0.112238j -0.00545061-0.0408704j -0.00530795+0.0064595j 0.0374467-0.0209502j 0.0170384-0.0104123j -0.0128271+0.0172473j -0.0145112-0.000847881j 0.00878643-0.0759723j -0.0100174-0.0261947j -0.0304873-0.0019436j 0.0136533-0.0311638j -0.00321444-0.0481935j -0.00377049-0.0536411j 0.00313694+0.036321j -0.0131002+0.0190789j 0.0570289+0.00696331j 0.0215734-0.163012j -0.0435795-0.0342153j -0.0111685+0.186729j -0.0338006+0.0319336j 0.0155822-0.145678j 
-0.000178214-0.00972878j 0.0114162+0.023832j -0.00653614-0.0136246j -0.00243914-0.045905j -0.0289558+0.0164217j 0.010965-0.00457613j -0.041113+0.0217012j -0.00153666-0.00678012j -0.0063496+0.0213236j 0.0267657-0.0387285j 0.0377122+0.00566559j 0.00827466+0.010546j 0.0229898-0.0125596j 0.0088099+0.0112478j -0.0103231+0.00547919j 0.049795-0.00616695j -0.0344656-0.021242j 0.127524+0.0142591j 0.0651814+0.0119983j -0.0176696+0.00585422j 0.0202431-0.0369686j -0.0199736-0.00194627j -0.0395961-0.0158027j -0.0348456+0.00706576j 0.00270105+0.0302174j -0.0380253-0.0291944j -0.00569997-0.0171429j -0.00297005-0.0184889j 0.0227289-0.00622797j 0.0309977+0.0540305j -0.0262977+0.0638158j 0.0115446+0.0910854j -0.00974621-0.00997416j 0.0188755-0.00569138j 0.000129436-0.00604054j 0.0133614+0.0188028j 0.0155508+0.0352921j -0.0248229-0.00836343j 0.00835877-0.0917872j 0.0171938-0.0567072j -0.0035088+0.00871012j -0.0105404-0.028016j -0.00224752-0.0465207j 0.00605008-0.0730738j 0.00995172+0.0250075j 0.0235989+0.00980405j 0.0360531-0.0130356j 0.0220707-0.143037j -0.0538787-0.0411315j -0.00248619+0.161765j -0.0261317+0.0180456j 0.0214263-0.116233j 
0.0131335-0.00717861j -0.0170045+0.008901j -0.00380639+0.0101563j 0.0308869-0.0360649j 0.00109276+0.0302888j -0.0194774-0.0331231j -0.0244986+0.0193538j -0.0261514-0.00525565j 0.00889718-0.00845246j 0.0151139+0.0239488j 0.057172-0.0259169j 0.0161737+0.00446625j 0.0104837+0.0163451j -0.023794+0.0243501j -0.0128861-0.0322274j 0.0260594+0.00448262j -0.0344569-0.00762498j 0.0819888+0.0173916j 0.0537194+0.00858415j 0.0309425-0.011024j 0.0153905-0.0314119j -0.04812-0.0116879j -0.0141707-0.0141885j -0.0412517-0.0110104j 0.0164206-0.017321j -0.014291-0.0187639j -0.0014538+0.000595916j 0.00239234-0.024159j 0.0142959+0.00520561j 0.0248423+0.0473039j -0.0251998+0.063695j 0.0226765+0.077931j 0.00655313+0.00356563j 0.00634261+0.00883519j 0.0108959-0.00412527j -0.0169351-0.0187459j -0.0177995+0.0103097j -0.00126486-0.00217279j -0.00573989-0.00648458j -0.0279215-0.0262815j -0.00846732+0.00709728j 0.00732004-0.0139477j 0.0200018-0.00554176j 0.0238973-0.0566691j -0.0126322+0.0279763j 0.0177879+0.00843289j 0.025059+0.0118093j 0.00982311-0.0979211j -0.0331063-0.0352566j -0.00416213+0.152968j -0.0346646+0.027216j 0.0156489-0.0904758j 
-0.0437258-0.0373225j -0.0591347-0.0138161j 0.0443672-0.0220345j -0.0456476-0.0159128j -0.0240615+0.121458j -0.142621-0.0491318j 0.0104977+0.166325j -0.0922083+0.0313641j 0.13141-0.0546765j 0.00533244+0.160992j 0.0162062+0.0613628j 0.0348456+0.0884211j -0.0853744+0.119779j -0.12596+0.0584279j 0.0528962+0.0245261j 0.0933392+0.0889477j -0.0220546-0.00647145j -0.00643255+0.0377309j -0.0239671-0.173303j 0.183305+0.10078j 0.0258968+0.0210787j -0.0557908-0.0364425j 0.0168323-0.133907j -0.0306585+0.0566636j 0.0936777-0.215511j 0.114115+0.0466647j 0.0532995+0.0208498j 0.00128494-0.0800924j 0.0763066-0.0668732j -0.0830572+0.0162234j 0.0442889-0.00540275j -0.0301741-0.0274321j -0.0202455+0.174308j 0.00978875-0.0852182j -0.296696+0.00952813j -0.046669+0.056208j -0.0194427-0.100685j -0.0714031-0.084895j 0.0157503+0.0655946j 0.0186377+0.053073j 0.142796+0.041278j -0.135675+0.067718j 0.00702504+0.0474588j 0.0897949-0.0912519j -0.0193266+0.0614308j 0.180288+0.0821257j -0.000573536-0.0293933j 0.0163657+0.0551939j 0.0228386-0.0994185j 0.0299435+0.0641037j -0.010109+0.0300004j 0.0160949+0.0248491j 
0.0317865+0.0149625j -0.00471114-0.0124983j -0.0299655+0.0174078j 0.0197277+0.0135089j 0.0505584-0.0192327j 0.0193782+0.0156597j -0.0128468-0.0463427j 0.0290605-0.0138076j -0.0452186+0.0170973j -0.0133459-0.0308951j 0.00248105-0.0426431j -0.020356-0.0142368j 0.0218464+0.00302036j 0.0368883-0.00366522j -0.00112549+0.00889499j -0.0410626-0.0381261j -0.00771699+0.0100989j 0.0129287+0.0167054j 0.0241293+0.0473324j -0.0476362-0.0216412j 0.00232208-0.0147696j 0.000391947+0.000219254j 0.00653394+0.0330242j 0.0256633-0.0238079j -0.0149925+0.0267412j -0.00769498-0.0100287j -0.000883242+0.0213259j -0.00254046+0.00532374j -0.0080779+0.0155687j 0.00909705-0.0248905j -0.0128639+0.00637846j -0.00386434+0.0271303j -0.00442698-0.00928705j -0.0240404+0.0215135j 0.0177389+0.00650818j -0.00717064-0.0346516j 0.0027414+0.000575604j -0.00737544+0.00832559j -0.0339861-0.0248629j 0.00704484-0.0134774j -0.0123958-0.0130413j 0.0230125-0.0161068j -0.00118758-0.00173817j -0.0107872+0.0143078j -0.00666125+0.00302364j -0.0323533-0.00189476j 0.00108427+0.000284441j -0.00286132-0.00617083j 0.00448604+0.0220435j -0.00877802-0.0281628j 0.00938942-0.00680661j -0.00169072-0.00235228j 
0.0237551-0.000150368j -0.0154169-0.0125583j 0.015957-0.00322075j 0.0074568+0.0161978j 0.013764+0.0111136j -0.0298781+0.00663258j 0.0172079-0.0156643j 0.0117422-0.00964264j -0.0221991+0.000213j -0.0230582+0.0114052j 0.00556238+0.0142141j -0.00824298-0.0116463j 0.0101957+0.0210866j 0.0263118-0.00198766j 0.00422627+0.00703635j -0.00342414-0.016442j 0.0152374+0.00956421j 0.00372818+0.00332912j -0.0407995-0.0161665j -0.0247049+0.00635331j 0.00623113-0.00900042j 0.00852875+0.0207323j 0.0197066+0.0296948j -0.00440667-0.0115965j -0.0126276-0.00805834j -0.0023687+0.00954207j 0.000234315+0.015105j 0.00314305+0.0138423j 0.0067209+0.00145267j -0.0104141-0.0107522j -0.00303187-0.00707677j 0.00148733-0.014862j -0.00508429-0.0145804j -0.0149353+0.0183071j 0.00901333-0.00239235j -0.0115879+0.0172213j -0.003476+0.0352174j 0.000390475-0.0282743j 0.00853369+0.00834313j -0.0100972-0.0299713j -0.000754603+0.00272854j 0.00125441-0.00847527j 0.00622806+0.0177394j -0.00907596+0.00461072j -0.00407616+0.00262805j -0.00738552+0.00139228j 0.00202785-0.0018464j -0.00391525+0.0214141j 0.00490906+0.00992916j 0.00346328-0.0146518j 0.00326695-0.00943722j -0.00376511+0.0196127j 
-0.0205269-0.00498464j -0.0126467-0.043501j -0.000155216+0.00408134j 0.00739961+0.0165795j 0.0264031-0.0143698j -0.030258+0.0147246j 0.0585908-0.00292989j 0.0217382+0.0367151j 0.0267311-0.0260569j -0.0193599+0.0386548j -0.0659118-0.00535511j -0.0153047-0.00797546j -0.040804+0.00312437j -0.0461053+0.0146443j 0.0290126-0.0154148j -0.00921253+0.0227474j 0.0478872+0.00994893j -0.0899713-0.0228774j -0.0638119-0.0148213j 0.041092+0.0250661j -0.014696-0.00480303j 0.0319885+0.0102774j 0.0386091+0.0254886j 0.0266148+0.0145247j 0.00373793-0.0487828j 0.0424964+0.033934j 0.00950836+0.00286199j 0.0029417+0.0507189j 0.00642248-0.0226931j -0.0288637-0.074429j 0.000328926-0.0626989j 0.000645914-0.120308j -0.0065134+0.0331533j -0.00180931-0.0156291j -0.00392726+0.0228581j 0.00233086-0.00363026j -8.03434e-05-0.00703702j -0.00468615-0.0160729j -0.000639461+0.0542263j 0.00737076+0.00361822j 0.00180706-0.0116934j 0.00228777+0.0207104j 0.000286549+0.0360873j 0.0127049+0.0551498j -0.0117114-0.0172538j 0.00801925-0.0145825j -0.027643+0.0138092j -0.0147361+0.128604j 0.0291743+0.0295375j 0.0257029-0.128336j 0.0211655-0.0323451j -0.0272038+0.113768j 
