0.0372441+0.0208232j -0.0189994+0.0414029j -0.0514743+0.0661825j 0.0711754+0.102381j 0.102123-0.0359091j 0.188364+0.0531148j 0.25371-0.101593j -0.132189-0.292077j 0.237045-0.437344j 0.00810073-0.00679759j -0.0941252+0.0828932j 0.00390579+0.00425424j -0.45765-0.313023j -0.156449+0.0399158j -0.202543+0.252833j -0.00258838-0.0659387j -0.0584681+0.0851983j 0.0580424+0.0624253j -0.0826633+0.0279737j -0.0267819-0.032004j 0.0998362+0.0728926j 0.0326821+0.0128025j 0.0644454+0.0872052j 0.0429616+0.0431365j -0.00956989-0.00762809j 0.0528781-0.0397711j -0.00215305-0.00766582j -0.00698523-0.00372398j -0.0155054+0.0352494j -0.117784+0.0823718j 0.00530504+0.0140291j 0.0047933+0.0332709j -0.00408315-0.0108191j -0.0365833-0.0889869j 0.0283563-0.0151601j 0.0345105-0.0111875j 
0.00451847+0.00234712j 0.00143467-0.00483481j 0.0115689+0.0102395j -0.0137008+0.0154319j -0.00866689-0.00877906j -0.00969177+0.00438267j 0.0457724-0.014126j -0.0448563+0.0025445j -0.00617213+0.0222479j -0.017671+0.0540891j -0.0238271+0.0141128j -0.0321615+0.0595321j 0.0266138-0.00910853j 0.0140184+0.0302576j -0.00360802+0.0112515j 0.0045016+0.00455362j -0.00562086+0.0179158j -0.00840391+0.0141983j 0.00933896-0.0269432j 0.0166977+0.00807487j 0.0137328+0.000278935j -0.000418228-0.00823328j 0.00262679-0.0128476j -0.0231002+0.00999876j -0.0136558+0.0165906j 0.000475278+0.016822j -0.021912+0.011369j 0.0212516+0.0023638j -0.00945908+0.000960338j -0.00291207+0.00725134j 0.0211593+0.00210192j 0.00393137-0.00155847j -0.00214716+0.0273619j -0.00189886+0.00196361j -0.00246649-0.0138075j -0.00735011-0.00464535j 
-0.00914368+0.0267695j 0.0268628+0.0102542j -0.00533167-0.010674j 0.0143116-0.00944523j 0.0051039+0.0104537j 0.007224-0.00676522j 0.0200607-0.0095316j -0.00943945-0.00482541j 0.00282383+0.00499199j -0.0012529+0.014636j 0.00286696-0.00433106j -0.0180602+0.0161045j 0.0155746-0.00898241j 0.00282548+0.00830684j 0.0149467-0.00824485j -0.017715+0.0600294j 0.0336149-0.0343739j -0.00678634-0.00871281j -0.00907586+0.0277915j 0.00779242+0.00722624j -0.0169846-0.00390346j -0.00940867-0.0145987j -0.00225881-0.0164556j 0.000257415+0.013653j -0.0235425-0.0117802j 0.00858622-0.0326599j 0.0583696-0.0264447j -0.0342741+0.0150122j -0.00625022+0.0196737j -0.00738536+0.00740218j 0.0255218-0.0102951j 0.00574731-0.00111283j -0.00460845-0.0090944j -0.00283006-0.0215733j -0.000904697+0.0220784j 0.00334349+0.0268976j 
0.00402721+0.00171639j 0.00161139-0.00294965j 0.00774601-0.00726673j 0.00681373+0.017189j -0.0179436+0.00565356j -0.00176888-0.00910726j 0.0213593+0.0116089j 0.0271897+0.00877891j -0.0100931-0.00719951j -0.00348968+0.0635361j -0.00429512-0.00946564j 0.00588156-0.0154167j 0.00137455-0.000928464j -0.0380345-0.014631j 0.0263322+0.00636387j 0.00845097+0.0171774j -0.00784974+0.0276604j 0.0192874-0.04787j -0.00129534-0.00733048j -0.122669-0.0719884j -0.0365011-0.0169351j -0.0178148-0.0304612j -0.0365706+0.0150399j 0.0517092-0.0307407j 0.0370024-0.0206j -0.0148585-0.00153242j -0.0285544+0.00784691j 0.0206144-0.00303031j 0.0359348-0.0143446j 0.00299336+0.00650511j -0.0106906+0.00381973j -0.0116792+0.0240543j 0.0416684+0.0286138j 0.00488263-0.0174465j 0.0325014+0.0324678j 0.0200464+0.0210459j 
-0.00549971+0.00215575j 0.00136699+0.00463376j -0.000780065-0.0109379j 0.0127087-0.0101286j 0.0104587+0.00903448j -0.0571233-0.00128907j -0.00614479+0.00151752j -0.0228706-0.00895208j -0.000480957+0.0116613j -0.0457252+0.0213891j -0.0294783+0.0113872j 0.0130885-0.0094751j -0.0094869+0.0065863j 0.0180564+0.0231012j -0.0249646+0.00998629j 0.0654907-0.125873j 0.0215642-0.0481831j 0.0373929+0.0334162j 0.00192446+0.00294288j -0.0141273-0.00870223j 0.00115127-0.00920975j 0.00126331+0.0464246j -0.0297781+0.0240255j 0.0562763-0.0319764j 0.0563396-0.0299751j -0.00766751+0.019677j -0.0265048+0.0134323j 0.0152361-0.00896687j 0.00714415+0.0116362j 0.000732592-0.0175397j -0.0133872-8.50352e-05j -0.00373115-0.0339866j -0.0150459-0.0250259j -0.000245319+0.027247j -0.0137374-0.0331497j -0.00997043-0.0260326j 
-0.000524051+0.00232199j 0.000483467+0.00125909j 0.000813674+0.00165168j 0.000552983+0.00608401j -0.00614633+0.000546898j -0.000791413-0.00114337j 0.00263634-0.00340915j 0.00231883-0.00522239j 0.00249812-0.00263839j -0.00496378-0.00678149j -8.94846e-05+0.00751223j 0.00850761+0.0116726j 0.00268987+0.0105029j 0.00264395+0.000912733j -0.0199791-0.00267019j -0.00539011+0.00185734j 0.0126625-0.0152687j 0.00100633+0.00518914j 0.0104182-0.012363j -0.00416372-0.00991241j -0.00322266+0.000724904j -0.0031999-0.000874894j 0.00463183+0.0175412j -0.0076096-0.00772722j 0.00771324+0.00882788j -0.00662963-0.00709579j -0.0109802-0.0140948j -0.0276222-0.0352608j -0.00304965+0.00174048j 0.0098468+0.026597j 0.0255177+0.0200774j 0.000772514-0.00219213j -0.00484794-0.00266392j 0.00953058+0.0221902j -0.0156659-0.0180774j 0.0547014+0.0453314j 
0.000321721+0.00137933j 0.000773076+0.000274584j 0.00270864+0.00660829j -0.00436931+0.00401757j -0.00484982+0.00137418j -0.00143876+0.0051175j -0.00259813+0.00742936j -0.00194048+0.0062412j -0.00169495+0.00638252j -0.00936886+0.000162j -0.0089171+0.0024953j 0.0206747+0.000712739j -0.0157114+0.00906331j -0.00304041+0.00118462j -0.0215469-0.0158534j -0.0110554+0.00796984j 0.00424351-0.00138684j -0.00537864-0.00690099j 0.00734399+0.00376332j -0.000834201+0.00728058j -0.0141908-0.00643538j 9.99437e-05-0.00111915j -0.0129994-0.0123084j -0.0159745+0.00220008j 0.00899018-0.00347928j 0.00375033-0.00262948j -0.0109732-0.00228978j -0.0144934+0.00893058j -0.00646593+0.00711961j -0.0149542+0.0167039j 0.019999-0.0179513j -0.00478899-0.00421297j 0.00576518+0.00279245j -0.0233014-0.00261198j -0.0099951-0.0213775j 0.00541709+0.0490645j 
0.00640248-0.00412192j 0.00278081+0.00483094j 0.00784579-0.00366839j 0.0148956-0.00503495j 0.0122584+0.022543j -0.00162785+0.00991871j -0.000535944+0.00686348j 4.21383e-06-0.00111102j -0.00804842+0.00518725j -0.00716439-0.000784918j 0.000954823-0.00359495j 0.0137418-0.0151284j -0.00307215-0.0123847j 0.000405667-0.000942126j 0.0159144-0.00151639j -0.0164526+0.0115677j 0.0124722-0.00511461j -0.00699922-0.010365j 0.000322767-0.00654458j 0.000140621-0.01055j -0.00479038-0.0166721j -0.00697643-0.005762j 0.00845658-0.00686772j -0.00163367-0.0182188j -0.00170342+0.0113282j -0.00813896-0.00574656j 0.00265825+0.0136807j -0.0161877+0.00429689j -0.00221651+2.3339e-06j -0.00338841-0.00165783j -0.00281746-0.0189482j 0.00255323-0.0148773j -0.00727074+0.000818239j -0.00706272-0.0223069j 0.0314639+0.00999552j 0.0152359+0.0141683j 
-0.000192786-0.00102775j 7.62625e-05+0.000382855j -0.00759941-0.00982094j 0.00909523-0.00778933j 0.00341806+0.00198903j 0.0081842-0.0112114j 0.0113324-0.00355702j 0.00543542+0.00755874j 0.0107631-0.00157673j -0.000428201-0.0110166j 0.000247324+0.00466467j -0.00817744+0.022959j 0.0122106+0.0102234j 0.00404898+0.00262825j 0.000825845+0.00798018j 0.00137283-0.00552014j 0.0102432+0.00648148j -3.23841e-05+0.00440142j 0.0119803+0.00166278j -0.00498681+0.00269013j -0.00135234+0.011282j 3.80411e-06-0.00103795j 0.00419992+0.0100462j -0.000959758+0.0124987j 0.0056784-0.0114158j 0.00117165-0.00123319j -0.00572639+0.0204391j -0.00101822+0.0247937j -0.00082458+0.00779371j -0.00601771+0.00757386j -0.0640641+0.00359037j 0.000971079+0.00623195j 0.00093926-0.00610005j 0.0074998+0.0154514j 0.00144351+0.0101262j 0.00194599-0.000458479j 
0.000922569+0.0103216j -0.00815814+0.00289859j -0.0127733+0.0126451j -0.00114632-0.000498036j -0.0136321+0.00789062j 0.00517275-0.0116206j 0.00209959+0.00363327j 0.0010661+0.00492862j -0.00334373+0.0149197j 0.00949979-0.00620314j 0.00154705+0.000715242j 0.0194167+0.0197052j -0.020495+0.00385458j -0.00622004-0.00790889j -0.00955166-0.0106408j 0.00518476-0.0136954j -0.00335949+0.00255436j 0.0096245+0.0134285j -0.00226246+0.00628025j 0.00834487-0.00584674j 0.0125161+0.0064267j -0.00166332+0.000546855j -0.00702291-0.00778532j 0.00202737-0.0150367j -0.00809185-0.00687196j -0.00686782+0.00294785j -0.00785215+0.0244627j -0.00972925+0.00513543j -0.00626062-0.00460768j -0.00952028-0.0103927j -0.0182912-0.015509j -0.0102562-0.0143149j 0.0034758+0.0137357j 0.00119109+0.00340109j 0.0115148-0.0149383j -0.0133425-0.0185143j 
0.00269649-0.00297194j 0.00274583+0.00119842j -0.00183308-0.00241152j -0.0121684-0.000763705j 0.00183136-0.0214103j 0.00730269-0.00946323j 0.00778612+0.00443185j 0.0134567-0.00748825j -0.00858022+0.00180611j 0.0222362-0.0130428j 0.00962075+0.0151499j -0.00903827-0.0128976j 0.00321982-0.00370626j 0.00763821-3.52704e-05j 0.00210157+0.00791953j 0.00691089-0.00822376j -0.00460868-0.00434373j -0.014187+0.00616576j -0.00404949-0.0182754j 0.0126758-0.0081014j -0.0038001-0.00497583j -0.00734703-0.00798446j 0.0143283-0.00624701j 0.00920679-0.0182354j -0.00874582-0.00338852j -0.00624259-0.0101299j -0.00589524+0.0267932j -0.025043+0.00253647j 0.00147616-0.000735908j -0.00295209-0.000998976j -0.00941858-0.016754j 0.013286-0.027027j -0.00854944+0.00146453j 0.00012358-0.0138758j 0.0336251+0.0188935j -0.0127829-0.00617442j 
-0.0172554-0.0138258j 0.0133518-0.0160199j -0.000216563-0.00394297j -0.00480453+0.00132005j -0.00483335-0.00908782j 0.000146032+0.00241989j 0.000231959+0.00153995j -0.000442446+0.00629098j 0.0021238-0.00284212j -0.00517859+0.000710281j -0.00180532-0.00370598j -0.00417066+0.00135548j 0.00365447-0.000981683j -0.00338508+0.00164273j 0.00727664-0.00152468j -0.00636898-0.000433244j -0.00264494-0.000493419j -0.0073574-0.0062265j -0.00437132-0.000311826j 0.00789852-0.00857135j 0.00507947-0.0106961j -0.00640789-0.00278031j 0.00511834+0.00305128j -0.00304442-0.00326571j -0.000684658-0.00629063j -0.00103532+0.00700732j -0.00155579+0.00263479j -0.00771876+0.0123544j -0.00356419+0.00580397j -0.00198258-0.00645633j -0.00167137-0.0145597j 0.00639136+0.00462179j 0.00964687+0.00288929j -0.00202391-0.0082335j 0.019267+0.00770171j -0.00943229-0.0131033j 
0.00647622-0.00306882j 0.00442879+0.00722405j 0.000212017+0.0181445j -0.0131217-0.000508728j -0.00299575-0.000986354j 0.00484516-0.0066666j -0.00612279+0.0216004j 0.00433266+0.00445945j -0.0150902-0.00501721j -0.0139169-0.0320298j -0.0168501+0.00784506j 0.0116432-0.0092197j 0.000294183-0.0128381j 0.0164528+0.0129814j 0.0026415-0.00299161j -0.00255774-0.0108614j 0.00777506-0.00152714j -0.000752105+0.00268325j -0.0005897-0.0220327j -0.0104619+0.0136208j -0.00372001+0.00536048j 0.00744487+0.00146439j 0.0157155-0.0074373j 0.0148896+0.00770533j 0.00582659-0.00593799j 0.0144941+0.000358442j -0.0101917-0.0175107j 0.0255552-0.00731296j 0.0102182-0.00417118j 0.00801891-0.000471973j -0.00578803+0.0139071j 0.01721-0.00822735j -0.00827014+0.000299065j 0.0126733+0.000574183j -0.00429553+0.0188427j 0.00746407-0.00822341j 
0.00829146-0.000845453j 0.00235093+0.00760302j 0.0148835+0.0137502j -0.0101423+0.000990655j 0.010768+0.00319101j -0.00602146+0.00409951j -0.00188256-0.00312288j 0.00501704-0.00785576j -0.000164287+0.00538802j 0.0114068+0.0163181j 0.0181741-0.0025951j 0.00374015-0.0118412j 0.00308319+0.00520497j -0.0109345-0.0100372j 0.00650476+0.0095003j -0.00292554-8.48252e-05j 0.00200297+0.0013011j 0.00676771+0.0114822j -0.0102656+0.0167118j 0.00744448-0.00469854j 0.00617851+0.00371163j -0.0080065-0.00266347j -0.0057217-0.010669j -0.0150766-0.00967839j 0.0123466-0.0243321j 0.000744217-0.000526089j -0.0236823-0.00648686j 0.00975045-6.76681e-05j -0.000828613-8.25497e-05j 0.000668631-0.00865229j -0.00917697-0.00765316j -0.0137095-0.00702339j 0.0158709+0.00833412j -0.00439639+0.000675139j 0.00297648-0.0179103j -0.00402209-0.00273392j 
-0.00258086-0.00100142j -0.000548201-0.00111823j -0.00852068-0.00287597j 0.0214515+0.000393155j -0.0106229+0.0250366j 0.00467742-0.00975627j 0.00360736-0.000312106j 0.00572044+0.00481361j 0.0147236-0.0150486j -0.00994883-0.0113435j -0.0155531+0.000563932j -0.0280189-0.00969763j 0.0141753+0.0137612j 0.00527417+0.0123033j -0.00382197+0.00820949j 0.00583309-0.00495013j -0.00962485-0.00860897j -0.010624+0.00465841j 0.00399146-0.00376772j 0.0167261-0.00508983j 0.00928918-0.0181226j -0.0115491-0.0130781j 0.0168198+0.00877901j -0.014648-0.0104038j 0.0143295-0.0268693j 0.00739867+0.00450601j -0.00181437-0.012283j -0.000369654+0.00491396j -0.000438886+0.0206967j 0.00226543-0.00175873j 0.00295305-0.00640586j 0.0208602-0.00150029j 0.0249131+0.00186412j 0.00440775-0.00803209j 0.00678357+0.0102613j -0.00814211-0.00459689j 
-0.020035+0.0204563j -0.0198367-0.0184909j 0.000196365+0.00593102j -0.00440056-0.000277444j 5.4608e-05+0.00328924j -0.000195676+0.00303463j 0.00108614-0.000639546j 0.00253811-0.000180036j -0.000356981-0.00365675j 0.00191204+0.0063069j 0.00834709+0.00161321j 0.00154623-0.00883689j 0.00379238-0.00401966j -0.00251749-0.00434962j 0.00681922+0.00914354j -0.00458757-0.00211204j 0.000777996-0.00409283j -0.00977336-0.00393079j -0.00555786-0.00608429j -0.00676783-0.000764153j 0.00356533+0.00415239j 0.00271277-0.00159202j 0.00563989+0.00107376j 0.00673765+0.00389316j 0.00336617+0.000681312j 0.000181163-0.00197922j -0.00540317-0.00105722j 0.00789012-0.00117103j -0.00164926-0.00220996j 0.00708835+0.00100392j -0.00564078+0.00654344j 0.00677212+0.00313892j 1.3566e-05+0.00535911j 0.00462335-0.00104322j 0.00935896+0.0147349j 0.00238248-0.00607188j 
-0.00200169-0.00133843j -9.19003e-05-0.000306199j -0.0115809-0.0241034j 0.017648+0.00182144j -0.0106659-0.00169366j 0.00085131-0.00556803j -0.00202927+0.00470396j 0.0180313-0.0209133j -0.0206892-0.000740067j 0.0251729-0.013058j 0.0146307+0.0134436j 0.0156962-0.0196091j 0.00235926-0.00972234j 0.00303914-0.00129934j -0.000827847+0.00684454j -0.00384358+0.00894565j -0.000833957+0.0125127j 0.0100694+0.00750459j -0.0220632+0.000631286j 0.00511976+0.00209055j -0.015113+0.0123733j -0.00354647+0.00165999j 0.000881818-0.0188204j -0.00429924-0.00248628j 0.00707179-0.0150735j 0.0106592-0.00845021j -0.0137758-0.0268129j 0.0164464-0.0114907j 0.0163424-0.0147564j 0.00416514-0.00254828j 0.0173357+0.0101437j -0.0127243-0.0154972j -0.00193515-0.00471082j -0.00612304-0.000548687j -0.001328-0.0120058j -0.00168335+0.00526454j 
0.00122661+0.0012113j -0.000313066+0.00117622j 0.0125583-0.0100293j 0.00871837-0.00137391j 0.0153202+0.00326051j 0.00939562-0.013147j 0.0135347-0.000464939j 0.00541648+0.0102007j 0.00576926+0.0131007j 0.00984746-0.0075437j 0.00564194+0.00452953j -0.0119937+0.0281384j -0.0192025+0.00922683j -0.0054619-0.0134291j -0.00331227-0.0170106j -0.00417991-0.0110262j -0.00537902-0.0238108j -0.016215+0.00163016j -0.018676+0.00759659j -0.0082741+0.0146703j 0.0150981+0.00362568j 0.0153228-0.00678496j -0.00422929-0.011027j 0.0117289-0.00113033j 0.00854143+0.00430155j 0.0039592-0.00461276j 3.36153e-05-0.0193865j 0.0161703-0.0144132j -0.0144801+0.00435752j 0.011478-0.00498837j 0.0158296+0.0098474j 0.00384567-0.000201823j 0.0060814+0.0252934j 0.00826345-0.00497433j 0.00368113+0.00558533j -0.00120451-0.00672023j 
0.00316645-0.00775757j 0.0072263+0.00600942j -0.00604793-0.00121047j 0.0163112+0.00401355j -0.0113221+0.0184915j 0.00275776-0.00260885j 0.00920063-0.00937348j 0.00192451-0.00355838j 0.000422638+0.00972376j 0.00754415+0.0173531j 0.010984+0.006088j -0.00127379+0.00594814j -0.00646855+0.0010648j 0.00200548-0.0157956j -0.00145482+0.00479174j 0.00525269-0.000609226j 0.00394424-0.00882131j -0.00402496+0.000244919j 0.000360031-0.000620093j -0.0152177+0.00150401j -0.000546887+0.00767208j 0.0092575-0.00205326j -0.00665869+0.00336721j 0.0138015-0.000135062j -0.011633+0.0221069j -0.0097757-0.0131258j 0.00465358+0.0180236j 0.00027738-0.0160118j -0.00443626-0.00454893j 0.00591188+0.0066563j -0.00230356+0.0138047j -0.00543204-0.00230641j -0.0184178+0.00234615j 0.00442183+0.00278481j 0.00115532+0.00883792j 0.0139607+0.00937285j 
