0.0235044-0.168927j -0.172421-0.0238069j -0.0127785+0.0303249j 0.0188615+0.0165399j -0.00353634-0.0174683j -0.0145496-0.00386953j 0.00694438-0.00222803j -0.0115692+0.00954345j -0.0195296-0.00247597j -0.0164669+0.01528j 0.00214956-0.0143433j 0.0162588+0.0143979j 0.00875914-0.0333158j -0.053874-0.0145208j -0.0114655+0.0442073j 0.172973-0.00286433j -0.00469639-0.17716j 0.106253-0.0842072j 0.0947971+0.114022j -0.0613595+0.064418j -0.0369212-0.0159165j 0.00658295+0.00993344j -0.0500604-0.00585062j -0.0408103-0.00208315j -0.00620418+0.0363144j -0.0234725+0.00548869j 0.0151406+0.00929818j -0.00327295-0.0107896j -0.0323807-0.0408093j -0.0085691+0.0239315j 0.00850515+0.0462153j 0.0165032+0.0257296j -0.0218094+0.0173262j 0.038434-0.0371327j 0.0529183+0.0210944j -0.0261757+0.101589j 0.0950861+0.0226928j -0.0173304+0.159453j -0.163409-0.0141213j -0.0641227+0.0367939j -0.0298773-0.0749779j 0.107675+0.104901j -0.12348+0.140089j -0.125363+0.0483122j -0.143332-0.0770558j 0.0838708-0.0290866j 0.0629874-0.0109986j 0.0535078+0.0951901j 0.0822721+0.072858j 0.0281222-0.0565076j 0.0946004+0.0720513j -0.0132248+0.0452172j -0.0252949-0.0251454j -0.0170538-0.031045j -0.0320634-0.113295j -0.00257497-0.00654542j 0.0574891+0.0122385j 0.0329332+0.05765j 0.03586-0.0193317j 0.0207818+0.0197909j 0.0023953+0.0554328j -0.00980269+0.0646973j 0.0513821-0.0435904j 0.0260762+0.0456661j -0.0122649+0.00870903j -0.0218722-0.0256666j -0.00828414-0.00816627j 0.000870983-0.048204j 0.0106817-0.0852359j -0.0167179+0.0838937j -0.00958149+0.0818421j 0.0107826-0.0497905j -0.0185444+0.0662318j -0.0119349+0.0434019j -0.015053+0.00600991j -0.014374+0.0246402j 0.0152893+0.0124452j -0.0238058-0.0565066j -0.0238098-0.00394559j 0.0313798+0.0068067j 0.0196252-0.111377j 0.0685336+0.00218024j 0.0568523-0.0631921j 0.0969592-0.0398543j -0.0435333-0.0497509j -0.126268+0.11335j 0.09011+0.0611162j 0.0276644-0.0284365j -0.0267497+0.0639023j 0.115863-0.0351171j -0.127797-0.118794j 0.115555+0.0815553j 0.091121-0.111221j -0.19079+0.159875j -0.147257-0.179939j 0.258478-0.168466j -0.167249-0.25594j 
-0.000124212-0.000860666j -0.00145476+0.000937529j 0.00247508+0.00294192j -0.00229194+0.00394823j -0.00216604-0.00106432j 0.000570429-5.91469e-05j 0.00191636+0.00232427j -0.000317294-0.00310108j -0.00140358-0.00274633j -0.00291212+0.000933684j -0.0026082-0.000739321j 3.75365e-05-0.00443216j 0.0017043-7.8896e-05j 0.00116588-0.00141255j 0.0038103+0.00322763j 0.000364591+0.000104021j -0.00110041-0.00165467j 0.00231362+0.00177412j 0.000831095+0.000453999j -0.000510284+0.0019874j 0.00119595-0.000987207j 0.00019176+0.0010517j -0.000265679+0.000858592j -0.000957976+0.00167992j 4.72579e-05+0.00011554j 0.000850123+0.0032223j -0.00125957-0.000577839j 0.00181791+0.00191635j -0.000720907-0.0034556j -0.0016462+0.000481245j 0.000578898-0.00051314j -0.00171962-0.00241935j -0.00177504+0.00126052j -0.00132012+0.000717422j 0.00130443-0.00228758j 3.07712e-05+0.00375957j 0.00288466+0.00349678j 0.000647412-0.000135954j 0.000259307+0.000765958j 0.00165761+0.0017751j -0.00235701+0.000378141j 0.00235417+0.00206038j -8.88283e-05+0.00246207j 0.000512108-0.00190695j 0.00303537-0.000779084j 0.00100781+0.00467499j 0.00113058+0.00245024j -0.00492684+0.00451925j -0.00322234-0.00167091j -0.00209704-0.00136773j 0.00134019+0.00217211j -0.00115229+0.00188796j 0.00557502-0.00244342j 0.00297214-0.00210958j 0.00394802+0.00108504j -0.0018306+0.00583887j 0.00757583+0.0022632j 0.000677598-0.00402607j 0.00372364-0.00343627j -0.00407955+0.00174668j -0.00417634+0.000264361j 0.000739371+0.000896822j -0.000997783-0.00155976j -0.00123769-0.0032063j 0.00169095+0.000948227j -0.000375986+0.00110889j -0.0022971+0.00255761j 0.00140646+0.0012394j 0.00534476+0.0010018j 0.00388528-0.000437243j -0.000572452-0.00545042j 0.00459756-0.000456647j -0.00451813+0.00115431j 0.00160996-0.000993988j 0.0058257-0.00229473j 0.00260197+0.00544573j -0.00201449+0.000421055j 0.000693079-0.00353668j 0.00275313+0.00428526j -0.000459371-0.00028928j 0.0025669+0.00389817j 0.000908749+0.00223803j 0.000889449-0.00381389j 0.00284755-0.00408193j -0.00175592-0.000185596j 0.00609133-0.00270519j -0.0013588-0.00287051j -0.00308772+0.00619295j -0.00365268+9.37963e-05j 0.00243851+0.00224205j -0.00803041+0.00156243j 0.00263447-0.00147335j -0.000789473-0.00246429j -0.000633995+0.000834523j 0.00215282-0.00241908j 9.10019e-05-0.00117413j -0.00269412+6.18071e-05j 
0.0029176-0.00105076j -0.00268482-0.00111046j 0.0103106+0.00156901j -0.00349808+0.00446521j 0.00493999-0.00567999j 0.00774358-0.000866926j -0.0067317-0.00127889j -0.000910751-0.00290583j 0.00235973+0.00370858j 0.000111399+0.00324896j -0.00333618-0.00404644j 0.00926711-0.00135818j -0.00230427+0.0037998j -0.00411201-0.00394547j 0.00115032-0.000679124j 0.000168299+0.000892831j -0.000882766-0.00219319j 0.00416361+0.000844558j 0.00110844-0.000640692j 0.000340125+0.00428621j 0.000447325+0.00182496j -0.00138479+0.00124262j 0.00329209-0.0017825j -0.00140011-0.00194433j 0.00374212+0.000249329j 0.00171355+0.00117534j -0.00487969-0.000320289j 0.000608685+0.00186222j -0.00181969+0.000937483j 0.00014657-0.000953412j -0.000526282+0.000520156j -0.00200826-0.000755036j -0.00180703-0.00218314j 0.00186771+0.000251545j 0.00036564+0.0014176j -0.000672817+0.00110038j 0.00140287+0.00138103j 0.00137891-0.00115072j 0.00120255+0.00183997j 0.00371506-0.00108393j 0.00098146+0.0041429j -0.00122908-0.000363443j 0.000931989-0.000604667j -0.00218326-0.0017893j -0.000743604+0.000786401j -0.000414568+0.000528301j -0.00317954-0.000618589j -0.000511055+0.000482301j 0.000271528-0.00171082j 0.00416488-0.00156295j -0.00132698+0.00129599j 0.000104067+0.000468176j -0.00128506+0.00176407j -0.00373984+0.000515702j 0.00483311-0.00364003j -0.00196502+0.001543j 0.00575139+0.000568836j -0.000916472-0.0037703j 0.00113821-0.00154706j 0.00433046+0.00304725j 0.00401659-0.0047884j 0.00427286-0.00072268j -0.00276972-0.00594409j -0.00117574-0.00502902j 0.00302914+4.94239e-05j 0.00227289-0.000269671j 0.0030425-0.000442046j 0.000818928-0.0013893j 0.00129618-0.00367j 0.00917353-0.00303287j 0.0021251+0.00045255j 0.00810681-0.00198943j -0.00590896+0.00157304j 0.000493247-3.18508e-05j 0.00137397-0.00435948j 0.000551843-0.00140614j -0.000207838+0.00190714j -0.00558733-0.00364359j -8.7924e-05+0.0063682j 9.44134e-05-0.000889452j -0.00228098+0.000524456j 0.0016708+0.00437943j -0.00437142+0.00126241j -0.00106234-0.00191898j 0.00251084-0.000942664j -0.00310948+0.00139317j -0.00147797-0.000451921j -0.000708278+0.00168256j -0.000402135+0.000716571j 0.00123856-0.00242399j -0.00248625-0.000566591j -0.00161409-0.00146676j -0.00178601+0.00128499j -0.00248011+0.00026028j 0.000700984-0.00189917j 0.0016312-0.000306725j -0.00016654-0.00103764j 
4.03597e-05-0.00010865j 0.0014802+0.000420036j 2.66844e-05-0.00255236j 0.00442176+0.00053006j -9.07376e-05-0.000370325j -0.00248023+0.0026275j 0.000685252-0.00131356j -0.000525069-0.000687654j -0.000756723-0.000442765j -0.000263906-0.000885438j 0.00193828-0.00226981j -0.00201315-0.00221101j 0.000936528-0.00139142j -0.00144893-0.00117541j 0.000790589-0.00189677j -0.000630311-0.000160418j -0.000206868+0.0015137j 0.00047352-0.0037171j -0.00164469+0.000443147j -0.000342562-0.00650367j -0.00302088-0.00105805j 0.00177367-0.000182736j -0.00124897+5.94722e-06j 0.00319364+0.00253217j 0.00490684-6.20849e-05j 0.000478305+0.00307808j 0.00108692-0.00118296j -0.000751701-0.00415376j -0.00212649-0.00101511j -0.00547851+0.00109209j 0.00333705+0.00263567j 0.0016358-2.28289e-05j 0.00314292-0.00417078j 0.00415925-0.00455149j -0.00338639+0.000553756j -0.00318427-0.00182991j 0.002921+0.00145838j 0.000888159-0.00156401j 0.00225412-0.000362318j -0.00299127-0.000901811j 0.00204896-0.00158174j 0.000267661+0.00413412j -0.00208241-0.00376141j 0.00252877+0.00352831j 0.000196358-0.00160936j -0.00297464+0.00172399j 0.00132634-0.00523785j -0.00184386-0.0026095j -0.000155284+0.00296836j -0.0015403+0.00613038j 0.000491835-0.00153033j 0.0031556-0.000292855j -0.00226453+0.00138208j 0.00161222-0.0017874j 0.00214725+0.00158327j -0.00449449+0.00108096j 0.00374304-0.000244979j -0.000130235-0.00324337j -0.00198652+0.000648647j 0.000586408-0.00420967j 0.00178374-0.00384458j 0.00572181-0.00305159j -0.0101489+0.000379718j -1.26203e-05+0.00330138j 0.000227587+0.00390592j 0.00630622+0.00793624j 0.0045702+0.00161421j 0.00068213-0.00302304j 0.0038312-0.00130981j -0.00146291+0.0035671j 0.00388802-0.00199958j -0.00154151-0.00518705j 0.00036054+0.00390287j 0.000535201+0.000918127j -0.00671703-0.000417591j 0.00122686+0.000435267j 0.000650552-0.00690129j 0.00236226+0.000806906j -0.00280908-0.00305774j 0.00517525+0.0011895j -0.00281718-0.00325543j -0.00362318-0.00455581j -0.0026224-0.00110257j -0.00463284-0.00388434j 0.00338869+0.00316284j -0.00386058-0.00257046j -0.000348661-0.000223609j 0.00304364+0.00229344j -0.0002556-0.00230059j 0.00119636+0.00199991j -0.00151917+0.00588715j -0.0029607+0.00168877j 0.00107906+0.00159673j 0.00229775-0.00379744j 0.00428167-0.00175042j 0.000121156-0.00184033j -0.00251824+0.00068125j 
-0.000437941+0.000105089j -0.000711351-0.000250835j -0.00450518+0.00195585j -0.00240713+0.00113613j -2.38845e-05+0.0117413j 0.00361019-0.00776508j -0.00296801+0.000605457j 0.00412038+0.00628533j 0.00355322-0.00328848j -0.00588869+0.00313484j -0.00432147+0.0143407j 0.000700059+0.00639269j 0.00104475-0.00425675j 0.000490443+0.00145511j -0.000711387+0.000947715j -0.000642844-0.000596645j 0.00107677+0.00085378j -0.000274544-0.000530818j -0.000169334-3.82188e-05j 0.00187243-0.000674364j -0.00322585-0.00076909j -0.0013081+0.00404941j -0.00228049+0.000947302j 0.000944649-0.000975276j 0.00371715-0.0017945j -0.000653034-0.00104023j -0.00148023-0.00249695j 0.000147623-0.00230057j -0.000148391-0.000737676j 0.00110752+0.000500086j 0.000355979+0.00238589j -5.89786e-06-0.00272354j -0.00310081-0.000570079j 0.000173245-0.000496252j -0.000891061+0.000376085j -0.00155427-0.000360578j 0.00108702+0.000320385j 0.00121136+0.000259574j 2.36953e-05+0.000600431j -3.50074e-05-0.000496705j 0.000985288+0.000296209j -0.000940561+0.00252082j -0.00207736-0.00264921j 0.00424075-0.00184859j -0.00124694+0.00414956j -0.00112889-0.00279587j -0.000259749-0.00452251j 0.00368934+0.0034972j 0.000335617-0.000466429j 0.00726735+0.00126568j 0.000612476+0.00297013j -0.00504957-0.00819512j 0.00565042-0.00199733j -0.00363882+0.00985257j 0.000511102-0.00174918j -0.00479156-0.00235418j 0.00101623+0.00248625j -0.000782527-0.00110395j -0.00720194-0.000504307j -0.00107855+0.00180583j 0.00183538+0.000486915j -0.000887948-0.000575194j -0.00170996-0.000734598j 0.00122163-0.00171112j 0.00188402+0.00177959j 0.000750577+0.000106123j -0.0040716-0.00294917j 0.00634778+0.000983013j -0.00035583-0.00110369j 4.03556e-05+0.00107381j 0.00492399-0.00276166j -0.00143575-0.00204466j -0.000683625-0.000122023j -0.0015118+0.000248154j -0.00201299+0.00404691j -0.00441497-0.00284011j -0.00163558-0.00107039j -0.00121213+0.000912532j 0.00221523-0.000256784j -0.00604102+0.00791726j 0.00096448-0.000108084j -0.000875455+0.00495144j -0.00940577-0.00090632j -0.000411742-0.00697869j 0.00193347+0.00487246j -0.00355867-0.00104209j 0.00380308+0.00232188j 0.0020296-0.00366125j 0.00431827-0.000362529j 0.00116085-0.00254001j 0.00065034+0.00127386j -0.00165845+0.00201937j 0.00183902+0.00133385j 0.00110596-0.00123298j 0.000793849+0.000388965j -9.35124e-05-0.000458739j -0.000479261+0.000127532j 
-0.000298783-0.00123528j -0.000859242-0.00286412j -0.00418697+0.00130048j 0.00079511-0.00521737j 0.00393693-0.00092487j 0.00273875+0.0034843j 0.000148178+0.00263076j 0.000430143-0.00465877j -0.00298731-0.00326013j -0.00479294+0.00343154j -0.00124821-0.00027075j -0.00439857-0.00180264j -0.0017213-0.00334271j 0.000471111+0.00239038j 0.000820315-0.000609668j 0.00161688+0.00133063j 0.00348622-0.000646333j 0.00381235+0.00238951j 0.00306754+0.00402823j -0.00423037+0.00641817j -0.000252829+0.00582805j 0.000697259+0.000248497j 0.0112885-0.00710653j -0.00428393-0.00082615j 0.0115744+0.00173488j 0.00253551-0.0025689j -0.0141419+0.000112331j 0.00795485+0.0090696j -0.00169676-0.000769806j 0.00198354-0.00795385j -0.00397664-0.00281146j -0.00396909-0.00434953j -0.000106258-0.00557127j 0.000967997-0.00203485j 0.00146759+0.00333262j -0.00039322+0.00153525j 0.00116929-0.000104501j -0.00125816-0.00307902j 0.00323423-0.00149843j -0.00278294-0.00119746j 0.000851586-0.00235068j -0.00520921-0.000241088j -0.00139004-0.00357565j -0.00232644-0.00335931j 0.000391466-0.00165271j 0.000584271+0.000934476j -0.00176147-0.00138738j -0.00027071+0.00219346j -0.000395033-0.0015936j 0.00133388+0.00988214j -0.000429937+0.00123725j -0.00176766+0.000737865j 0.00174543-0.00255871j -0.00216459-0.0014077j 0.00153254+0.00398373j -0.00245302+0.00421934j -0.00597373-0.00648122j -0.00034155+0.00573523j 0.00348932+0.00209773j 0.000326436-0.00402922j -0.00438392+0.00262636j -0.00485824+0.000344158j -0.00439753-0.00590606j -0.00168042-0.00589344j -8.74691e-05+0.00349652j -0.00387394-0.00234577j -0.000630959+0.000210804j -0.00410154+0.00323809j -0.00761791+0.00715152j 0.0039423+0.000502193j 0.0032808-0.00189878j -0.00763411-0.00448342j 0.00301502-0.00811903j -0.000335427-0.00334027j -0.00111091+0.00146804j 0.000658487+0.00790828j -0.00464731+0.00285549j -0.0100383-0.00247179j -0.00321263-0.000654446j 0.00447016-0.00264155j -0.00395608-0.0150475j 0.00482072+0.00023793j 0.00301085-0.00435855j 0.00755361-0.00546274j -0.00151351-0.000621221j 0.0012772+0.00222525j 0.00109693-0.000140291j 0.00124261-0.00179734j 0.00323993+0.00288819j 0.00114858-0.00453017j -0.000905562+0.00230926j 0.00247011+0.00197645j 0.00191092-0.00242329j -0.000840287+0.000725609j -0.0010881-0.00163683j 0.00162244-0.00160036j -0.00125826-0.00146744j 
-6.34227e-05+0.00043478j -0.00201271-0.00063355j -0.000205999+0.00313209j -0.0055927-0.00420513j 0.00179177-0.00573477j 0.00386263-0.00114553j -0.000984374+0.000527951j -0.00140514-0.00114366j -0.000377103+0.00212163j 0.00293772+0.00202822j 0.000126779-0.000654593j 0.002297+0.00464198j -0.00492046+0.00331037j 0.00121414+0.00214628j -0.00401652+0.000260592j 0.000407252-0.000887532j -0.000448688-0.00180083j -0.00180815+0.00132251j 0.00049522-0.000690912j 0.000583548+0.00390086j 0.000531578+0.00102794j -0.00119062-0.00121461j 0.000848261-0.000587849j -0.00129703-0.00278457j -0.00426645+8.51495e-06j 0.000723853-0.00507422j 0.000683653+0.00354065j 0.000502292+0.000400594j -0.000514849+0.00311697j 0.00387235+8.70458e-05j -0.00282823-0.00190615j 0.000250231+0.00114712j -0.000539906+0.00190282j -0.00155125+0.00208356j 0.00175379+0.00180377j 0.000100125+0.000129078j -0.00298505-0.00139225j 0.00107676+0.00196693j -0.00284398+0.00193482j 0.00127612-0.00106438j 0.000535316-8.18524e-05j 0.00301308-0.00167488j -2.53268e-06+0.00161249j -0.00151634-0.00184217j -4.2102e-06-0.000860018j -1.31938e-05+0.000786152j 0.000185464+0.00333428j -0.00113008-0.00379752j 0.0067961-0.00330862j 0.000108024-0.00373311j -0.00496229-0.00466409j 0.00280776+0.000554793j -0.00444884+0.00114019j 0.00284672+0.00250427j -0.00533103+0.00620589j 0.00098288-0.00268306j -0.00742038+0.00464087j 0.00459166+0.00271321j -0.00739072+0.000130734j 0.00182456+0.000622727j -0.00236888-0.00312514j 0.00403289+0.00106365j -0.00524823-0.00269651j 0.00176329+0.00129347j 0.00119368-0.00223273j 0.00362048-0.00786279j 0.00267101-0.00305992j -0.00100337-0.00335851j -0.0029679-0.00443565j 0.00664794+0.00627959j -0.00313073+0.00726902j 0.0009394-0.00137346j -0.00566517+0.00252195j 0.00462654-0.00261277j -0.000655475+0.00162372j -0.00546813+0.000561155j 0.00571912-0.00496353j -0.000157133+0.00672653j -0.00272792+0.00376674j -0.00185031-0.000544525j -0.00172137+0.0058745j 0.00252382-0.00385932j 0.00196982+0.00383475j -0.00397883+0.00508435j -0.00224696+0.00157125j -0.00303544+0.00139367j -0.00351144+0.00115582j -0.000932503-5.07344e-05j -0.000936445+0.00225564j -0.00238272+0.00171876j 0.0108812+0.00424515j 0.00227445+0.000924465j 0.000636612-0.000812834j -0.00264965-0.00268432j -0.00235283-0.00175975j 0.00489685-5.17741e-05j 0.000785609-0.00494593j 
-0.00174829-8.588e-06j -0.00226198+0.00126836j -0.00105297+0.00536211j -0.00364694-0.00430289j 0.00447023-0.00675164j 0.0106421+0.00206849j 0.00104378+0.0049696j -0.00211104-0.0110868j -0.00570023-0.00789966j -0.00828503+0.00880612j -0.0053497+0.000414171j -0.0072295-0.00373315j -0.00517724-0.00397948j 0.00156379+0.002495j 0.00368789-0.00165473j -0.000754339-0.000299881j -0.000108695+0.000420373j 0.00227519-0.00227464j 0.00108347+0.000160499j 0.00124231+0.000249272j 0.0010231+0.000737297j 0.00119252+0.000401853j -0.000661106-0.00300555j 0.000301981-0.000131828j 0.00754762-0.000378526j 0.00259062+0.00511306j -0.00428189-0.00186943j 0.000371929+0.00106171j -0.00149039-0.000556877j -0.00285212-0.00103718j 0.00177063+0.000651224j -0.00047993-0.00211539j 7.04433e-05-0.00296726j 0.00100821-0.00368395j -0.000304087-0.000312947j 0.000480211+0.000941789j 0.0031396+0.000521448j 0.000698992+0.000158602j 0.000101877+0.00105013j -0.00033882-0.00202769j 0.00241548-0.00025422j 0.00400387+0.00180096j 0.00186272+0.00179408j 0.00232077+0.00695515j -0.00165644+0.000761302j 0.000271313+0.00151355j 0.000440992+0.00157425j -0.00246607-0.0025581j 0.00171298+0.00880633j 0.00239794-0.000940667j 0.00100849-0.00202314j 0.000743982-0.00350628j 0.00286988-0.00204813j 0.000923113-0.00259523j 0.00071699-0.00026793j 0.00714504+0.00377292j 0.00651611+0.00525481j -0.00252844+0.00237297j 0.00120791+0.00180944j 0.00402359+0.00241392j -0.00275848+0.00130519j -0.00226089+0.0037297j 0.00308302-0.00131532j -0.00409194+0.0026285j 0.000693218+0.00545136j 0.00423035-0.0041076j -0.000284047-0.00324907j -0.00180023-0.00409845j 0.00122214+0.00141949j 0.000419446-0.00183113j -0.00395394-0.0024468j 0.00230249-0.000641499j -0.00635471-0.00491123j -0.00486448-0.00668382j -0.00193753-0.00318665j -0.00241621-0.00331479j -0.00139211+0.00861179j 0.00160803+0.00252399j 0.00701813-0.00145182j 0.00022577+0.00358545j -0.000532256+0.00197618j -0.0023812-0.00777268j 0.00127896-0.00112272j -0.00388105-0.000709323j -0.00183087+0.00356389j 0.000245023-0.00214215j 0.00225443+0.00225169j 0.00207245+0.000138937j -0.00228287-0.00312899j -0.00121538+0.00417212j -0.00261145-0.00244309j -0.000923342+0.00153119j 0.00178563+0.000192344j 0.00290378-7.96919e-05j 0.00219742+0.00289973j -0.00346801+0.000753423j 0.000174222+0.00321427j 
-0.000946275+0.00131571j 0.000671802+0.00187282j 0.00138933+0.00177648j -0.00187224+0.000428625j -0.00311431-0.00489304j -0.00253513+0.00299076j 0.00339052-0.000894066j -0.0022864-0.00161932j -0.00151396+0.00315834j 0.00495668-0.00308584j 0.002132-0.00744886j 0.000648379-0.00248997j -0.000674434+0.00412301j 0.00206571-0.000569486j 2.40245e-05+0.00199523j -0.0012183-0.000951259j -0.000342135-9.34486e-05j 0.00229831-0.00295122j 0.000358778+0.000873863j 0.00250324-0.00503008j 0.00106608+0.00263292j 0.00227254-0.00172171j 0.00132296-0.00254048j 0.00139743-0.00292788j -5.7352e-05+0.00100735j -0.00122236-0.00222332j 0.00258137+0.000915814j -0.00753241-0.00320141j 0.00134808+0.00834318j 0.000811133+0.00193096j 0.000683805+0.000543792j 0.00321922+0.00674347j 0.00430485-0.00237962j 0.00211174-0.00373142j 0.00292003-0.00115622j -0.000270216-0.0020106j -0.000856117-0.00179433j 0.00168062+0.000331429j 0.000431608+0.00076497j -0.00110312+0.000126329j 0.000600527-0.000444192j -0.00103985+0.00521194j -0.00276731-0.00379996j 0.00407761+0.00705243j -0.00200709+0.00630807j 0.00342396-0.000179893j -0.00174613-0.00236622j 0.000827689+0.0039274j -0.00101013+0.00222852j -0.000842919+0.00420994j 0.0013459-0.00473963j 0.000807151-0.00251727j 0.00315669-0.00105821j -0.000959805+0.00196367j -0.00352458+0.00318002j 0.00235601-0.00200607j -0.00412318+0.00100896j 0.00372362+0.00337265j -0.00690124+0.00158245j 0.00184496-0.000396316j -0.00106605+0.0013966j -0.00557559+0.00149479j -0.0023354+0.000563111j 0.00294612+0.00324068j -0.000353873+0.00293162j -0.00101525-0.00602374j 0.000939965-0.00298153j 1.37286e-05-0.00170771j -0.00374042-0.00101826j -0.00272528+0.000202548j -0.00158841+0.00159861j -0.00549227+0.000728435j 8.7949e-05+7.56095e-06j -0.000224914-0.00270516j -0.00166376+0.00280444j -0.000928891-0.00207981j -0.00226702+0.00138998j -0.00500224+0.00265888j -0.000738837-0.00201771j -0.00103882-0.00052503j 0.00461304+0.00285655j -0.00377223-0.00332142j 0.00149942-0.000268028j 0.00024271-0.00249474j -0.00736165+0.00734566j -0.00297804+0.00346609j -0.000431555+0.00550514j -0.000305453+0.00156884j 0.00438071-0.00279054j -0.000294497-0.000646851j 0.000452477-0.00375743j 0.000465456+0.000924853j 0.0010789-0.000344232j -0.00134067-0.00536096j 0.00553642-0.00158183j -0.000823205+0.000763246j 0.00022631+0.00048792j 
0.000630853-0.000618626j -0.000497102+0.000216414j 0.0025033-0.000114055j -0.000120554+0.00230722j 0.00490448+0.00365197j 0.00503936-0.00576668j -0.00777313-0.00137919j 0.00310532+0.00297652j 0.0043954+0.00141357j -0.00123271+0.00336937j -0.00198604+0.00731817j 0.00639001+0.00443534j -0.00197117-0.000680162j -0.00405696-0.000611222j -0.00167977-0.0019216j -0.000620343-0.000313755j -0.00121044+0.000171747j 0.00108517-0.00184974j 0.000806958+0.000409933j -0.00209669-0.00157209j 0.00208489-0.00237452j -0.00245406-0.00398117j 0.00239381-0.00286346j 0.000735841-0.00112424j -0.0021578+0.00324311j -0.000557173-0.00212338j 0.00419439+0.000935183j -0.00372505-0.000262647j 0.00184799+0.00474784j 0.00033548+0.00150961j -0.00260187-0.00148388j 0.00379932+0.00601835j 0.00450918-0.00146324j 0.000113169-0.00180023j 0.00272548-0.00118939j 0.000333382-0.000983106j -0.000646997-0.0012812j 2.06065e-05-0.000184132j 7.64442e-05-0.000256957j -0.00111009-0.00132568j 0.00157535-0.000522539j 0.000239632+0.00136701j -1.63133e-05-0.00116941j -0.000135692+0.00146745j -0.00369962-0.00395022j -0.00343787+7.02888e-05j 0.00348798-0.00566265j -0.00108897-0.00167508j 0.000619091+0.000131435j 0.00418707+0.00102438j -0.00150431+0.00485618j -0.00432987-0.00835079j 0.00444812-0.00730745j 0.00341386+0.00536815j -0.00158885-0.00173025j -0.0030764+0.00282325j 0.00122273-0.00118916j -0.0026772+0.00239024j -0.0043924+0.00174687j -0.00333102+0.00208923j -0.00197675+0.00322951j -0.00291566+0.00113368j -0.00344757-0.000682417j -0.00423347-0.00138798j -0.0022026+0.00336238j 0.000289514-0.00266674j -0.0050456-0.00078621j 0.00405497+0.000780189j -5.30013e-05+0.00197174j 0.00017606+0.00141259j -0.00050613-0.00322941j -0.00422515-0.00239227j 0.00143621-0.00195191j -0.00430752-0.00331936j -0.00143447+0.00394397j -0.00371748+0.00136625j -0.000665325+0.000113384j -0.000759087+0.00253484j 0.00655836-0.000787953j -0.00215621+0.00864794j 0.000275667-0.00338862j 0.00205448+0.000329194j -0.00531801-0.000789737j 0.000467092-0.00666338j 0.00290671+0.00072596j 0.00113326-0.00141446j 0.00431828-0.0013839j 0.00312558-0.00443679j -0.00353466+0.000963087j 0.00185338+0.00511652j 0.000595135+0.00555131j 0.000437992+0.00134096j 0.000780124-0.000896263j 0.00228075-0.00164661j 0.000800483+0.000343476j 0.000176606-0.00271529j -0.00276545+0.000282911j 
-0.000448076-0.000467732j -0.00030478+0.000449572j -0.000227912-0.000597628j 0.000624255+0.000500993j -0.00152848-0.00188578j 0.000181266+0.00291327j 0.00499464+0.00179147j -0.00152291-0.00421012j -0.00381608-0.00306927j -0.00261913+0.000230472j -0.00129266-0.00353673j -0.00484888-0.00626917j 0.00228219-0.00256766j 0.00103484-0.00088343j 0.00360853+0.000249778j 0.000161995+0.000988974j -0.00015596+0.000181773j 5.66714e-05+0.00178413j 0.000119319-0.00070769j 0.00323488+0.00200404j 0.00404182+0.000284243j -0.0017493-0.0002825j 0.0017552-0.00141279j -0.00408336-0.00488848j -0.00967594+0.00485265j -0.00494315-0.00550149j 0.00425475+0.00115907j -0.00596633+0.00326336j 0.00752951+0.00751636j 0.00815053-0.00187032j -0.00430014-0.000985138j 0.00297503+0.00745359j 2.8948e-05+0.00606353j -0.00272159+0.00444609j 0.00544431-0.00202789j 0.00287761-0.00187764j -0.00613462-0.00180142j -0.001363+0.00130583j -0.0017624-0.000425146j -0.000398395-0.0014579j 0.000719305-2.30553e-05j -0.00167786-0.00255914j 0.00164687+0.00216472j -0.000606408-0.000703642j -0.00166181+0.00301947j 0.000251655-0.00234821j -0.00258559+0.00122515j 0.00269958-0.00122085j -0.00104365+0.00286087j -1.90982e-05+0.00210023j 0.000366178+0.000274514j -0.00152884-0.00168129j 0.00160647+0.000364147j -0.00282991+0.000485642j -0.00101069-0.000489469j 0.00276846-0.00119131j -0.000310492+0.00136444j -0.00123837+0.00245395j 0.00132287+0.00110715j 0.00186531-4.80689e-05j 0.000768673+0.00189877j -0.00275553+0.00301915j 0.00463829+9.09405e-05j -0.000549629+0.00156301j 5.3969e-05+0.0016091j -0.00244602-0.000429995j -0.00296419-0.00171251j -0.00123268+0.000163988j -0.00123237+0.00368602j -0.00540745-0.0012127j 0.000870082-0.000498826j -0.00146551+0.00143906j 0.00295324-0.00336621j -0.0014985+0.00129297j 0.000185885-0.00028831j -0.00102543-0.000420216j 0.000301209+0.00420854j 0.000983069+0.00107817j 0.00128259-0.00300404j -0.0023381+0.00127253j -0.000223694-0.00202177j -0.00108367+0.000190582j 0.00168136-0.00240373j 0.00246443+0.000931529j 0.000680855+0.00263427j -0.000511386-0.00179253j 0.00208078-0.000113771j -0.00132544-0.00235501j 0.00248103+0.00010419j -0.00161034-0.00190571j 0.00109129-0.00669938j 0.000161494-0.000707644j 5.76555e-05-0.000151949j -0.000244536+0.00302011j -0.0035276+0.00272795j -0.000139243+0.00127993j 0.00183025-0.000414766j 
