0.036634+0.0793823j 0.0797072-0.0219197j -0.0111858-0.130931j -0.126144+0.0269332j -0.0526966-0.0346782j 0.0190945+0.0073081j 0.0414614+0.0278053j -0.000829731+0.018943j 0.0765414-0.0481802j 0.0149604+0.0441768j -0.0359594-0.0194623j -0.0656346+0.0284021j -0.0259349-0.107515j -0.0642321-0.0827888j 0.0781026-0.0667889j 
-0.0119541-0.0247179j 0.000186373+0.0271363j 0.00515575+0.0117512j 0.000527906+0.00143122j 0.00383763-0.00281046j 0.0062588+0.00384351j -0.0146866+0.00922356j -0.0198181+0.0105325j -0.000189589-0.0291888j 0.00586775-0.00471452j 0.00841687+0.000583192j 0.0159307+0.00708615j -0.0093081+0.020073j 0.00812739-0.00633016j -0.0164771+0.022807j 
0.0179094+0.00723608j 0.00434168-0.00814061j -0.00509438-0.00499316j -0.0192529-0.00896682j 0.0211966-0.00853124j -0.00617144-0.00240745j 0.0198688+0.02554j 0.00455891-0.0180204j -0.0136279-0.0035081j 0.00702301-0.00673908j -0.00511722+0.00514596j -0.0118831-0.00877303j 0.00545925-0.0150865j -0.0030113+0.00399677j 0.00465328-0.0108985j 
-0.00543528-0.00621584j -0.0105397-0.00807126j 5.99193e-05-0.00583226j 0.0114306-0.000754942j 0.000402376-0.000226234j -0.0101117+0.00499101j -0.0186125-0.00510916j -0.013901+0.00496579j 0.0267954-0.0192687j 0.0061145-0.0179147j 0.0106259+0.0154492j -0.00814908-0.00728548j 0.00364892-0.00351971j -0.000753055+0.00267696j 0.000376308+5.70868e-05j 
0.0066724+0.00722216j 0.000199558-0.00928734j -0.00365491-0.00411232j -0.00494993-0.0091127j -0.0133381+0.0217846j -0.00129448+0.00429986j -0.0142864-0.0119719j -0.000647669-0.00173404j 0.00665575+0.0112178j -0.00604371+0.0023539j -0.0132484-0.00454517j -0.0140252-0.00203451j 0.0021619-0.00349218j -0.00896454+0.00215694j 0.00702427-0.00692723j 
-0.00498448-0.00337896j -0.00570504+0.00557759j -0.0036561+0.00700155j 0.00837945-0.0102169j 0.00931871+0.0100936j -0.00307218-0.00357569j -0.0239594-0.0118509j 0.010293+0.0136519j 0.00282874-0.0241783j 0.00178185-0.00436091j 0.00910277+0.0119618j 0.00265178+0.00194316j 0.006539+0.00433379j 0.000632575+0.00755142j 0.0044823+0.00756837j 
-0.0286941-0.0180753j 0.00190039-0.0166839j 0.00654028-0.00264827j 0.000928167+0.0118447j -0.00671489-0.0255545j 0.00243784+0.00923433j -0.000128652+0.0119706j -0.0256298-0.0109378j 0.0198042-0.0217662j 0.000463735-0.00698436j 0.00692232-0.00905916j 0.00530645+0.0012503j -0.0139478-0.0105327j -0.00414692+0.00832495j 0.00471552+0.00574014j 
-0.00656253+0.00819567j -0.0190313-0.00298881j -0.0144051-0.00582823j 0.0143703+0.00775487j 0.0247643-0.0307363j 0.00974173-0.0043048j -0.00745063+0.0132439j 0.00650422+0.00240099j 0.00518239+0.00126257j 0.0174006-0.00653937j 0.00960724-0.00915403j 0.000886464+0.000410629j -0.00141954+0.00474689j -0.000437718+0.00399143j 0.00210365+0.00241421j 
0.0132064-0.00901765j 0.0240237-0.000223911j 0.00902146-0.00362708j -0.0096925-0.0212633j -0.0107323+0.0146897j -0.00878237+0.0154894j 0.015174+0.00366364j 0.00675513-0.00661233j -0.00941714-0.0190873j -0.016886-0.00272125j -0.00322494+0.0211488j -0.00717315-0.00428247j 0.0080219-0.017751j -0.0106748+0.00233268j -0.00210586-0.00310336j 
-0.00227608+0.00445392j -0.0278168-0.0102067j 0.0024937+0.00874696j 0.0249279-0.0028021j 0.0193997+0.00151599j -0.00755134-0.00332437j -0.0041503+0.000389796j -0.000877446-0.00822747j 0.00369603+0.0103164j 0.00116325-0.00939581j 0.00148035+0.0113296j 0.00256302-0.0183241j -0.00143852+0.00911477j 0.0102766+0.0126861j -0.0124265-0.00245477j 
-0.010673+0.0095861j 0.0147999-0.00815897j -0.00573137-0.0248577j -0.0166459+0.00437763j -0.0226948-0.0165063j 0.00918196+0.00885036j 0.00664242+0.0062892j -0.00202957+0.000865198j 0.0204676-0.00985435j -0.00521275+0.0121223j -0.00106349-0.00888423j -0.00208048+0.0101765j -0.0120126-0.0210865j -0.0139441-0.00779182j 0.01836-0.00799207j 
8.24436e-06-0.00259885j -0.0173427+0.0267438j -0.0156527+0.0252189j 0.00835043+0.00378311j 0.016479-0.00877706j 0.00814955-0.00909297j -0.0179923-0.00559005j 0.00841825+0.0082841j -0.0104994+0.0120428j 0.0135071+0.00277789j 0.00980643-0.00879775j 0.0169835+0.00451779j -0.000906468+0.0297651j 0.013813+0.000870603j -0.0085341+0.0130224j 
0.0137499-0.0137098j 0.0172133+0.000393583j 0.0139775+0.00433749j 0.00272752-0.0112024j -0.00143264+0.014754j 0.000281193+0.0134588j 0.00734962+0.00436653j 0.00720809-0.000635406j -0.0137472-0.00341202j -0.00432806-0.00900121j -0.00524318+0.00640712j -0.0111516+0.000826403j 0.011654-0.00318839j -0.00878191+0.0046863j -0.00783006+0.00273565j 
-0.00200622-0.0149072j -0.00749449+0.00861517j 0.00825619+0.0157953j 0.0182656-0.00462668j 0.00707464+0.00386774j -0.00275007+0.00180915j -0.00784262-0.00120735j 0.00162974-0.00096711j -0.012543+0.00266064j 0.00293171-0.00844903j 0.000681592+0.00228192j 0.00994818+0.000796664j 0.00116098+0.0165627j 0.00777628+0.00916133j -0.01345+0.0108905j 
-0.0115693-0.0094447j -0.010051+0.022754j -0.000125963+0.025414j 0.0107099+0.00700905j 0.00640669-0.00824861j 0.0063539-0.00820644j -0.0121436-0.00841369j 0.00573498+0.00825654j -0.0106995+0.00319957j 0.00599876+0.00606815j 0.00779066-0.00390268j 0.0250641+0.00770385j -0.00740253+0.0251078j 0.0155309+0.00377158j -0.00824935+0.0146338j 
