0.0142951-0.256027j -0.255854-0.0358194j -0.0583213+0.156767j 0.00248754+0.0873247j -0.0693145-0.0309j 0.0426678-0.0347867j 0.0208675+0.0476689j -0.0640298+0.0858649j 0.237707-0.0408085j -0.0745125+0.149142j -0.113262-0.183792j -0.0766613+0.163977j 0.0408569+0.100749j -0.285881+0.141496j -0.042473-0.106626j -0.295917-0.257222j 0.0739579-0.0228778j -0.0489424+0.172811j -0.0408874-0.0561935j -0.18938+0.193767j 0.0110656-0.0212151j 0.137102+0.08492j -0.0400794-0.0555284j -0.0230124-0.0211717j -0.0698695-0.0223272j 0.035283-0.0622278j -0.0539523-0.00372981j -0.0415351-0.115135j -0.0586036-0.0851841j 0.0142195+0.0575393j -0.0829472+0.0406992j -0.00972898-0.0257393j 0.20033+0.0358308j -0.0372655+0.216673j 
-0.00338943-0.00164028j 0.000189612+0.00847313j 0.0425508+0.0166935j -0.010294-0.00401073j -0.0080584-0.00179326j 0.00107503-0.0247682j 0.0105168-0.00181612j 0.0257457+0.00670344j 0.0329124-0.0243937j -0.0151498-0.00502535j 0.0347167-0.00722661j 0.0046642-0.00218297j 0.0103571+0.0144406j -0.0177998+0.00809896j 0.0283808-0.000162976j -0.0224106-0.0223144j -0.0107801+0.00753578j -0.0312437+0.0129812j 0.00357388+0.0346195j -0.00989172-0.0204328j -3.87831e-05-0.00244502j 0.0253394+0.0300071j 0.00147032-0.0117961j 0.0169288-0.0378008j -0.0200941+0.0112391j -0.00503417+0.00305358j -0.00339479-0.0233486j 0.00877678-0.00517293j 0.016843-0.0210862j -0.00392466+0.0135096j -0.0136036-0.0193798j -0.0199064-0.0147455j 0.0247547-0.0326066j 0.0181866+0.0431081j 
-0.0181239-0.0532618j -0.048598+0.0129486j 0.0028276-0.0465742j -0.0115039+0.0239067j -0.0089353-0.00925047j 0.00811052+0.0027617j -0.0149706-0.0167963j -0.0092209-0.0105892j -0.0297197-0.00407016j 0.00538785+0.0269917j 0.00764794+0.0226203j -0.0243739+0.012139j 0.000326085+0.00260886j -0.00467073-0.0119132j 0.00783141+0.0301031j -0.012484-0.0220676j 0.0324375+0.00123275j 0.0264233+0.0195121j 0.0308306+0.0341432j -0.0224633+0.0114623j 0.00435981+0.00711047j -0.00326366+0.001251j -0.0239875-0.0249197j 0.0072295+0.0134498j 0.0150639+0.00342082j -0.0362686+0.0344366j 0.0050445+0.00281659j 0.0136032+0.00857845j 0.0101749+0.00737521j 0.0194378-0.0311752j 0.0357335-0.0100775j -0.0083569+0.0254974j 0.0454673+0.0163539j -0.0216495+0.0515067j 
0.00710865-0.015934j -0.0196639-0.0157929j 0.00516854+0.0032965j 0.0153802-0.0034421j -0.00396013-0.00272807j 0.0121233+0.00851909j 0.00118419+0.00304336j -0.00270944+0.0175967j -0.00290239-0.00363397j 0.00528227+0.0114584j 0.0106205-0.000355986j -0.0162144+0.0015596j -0.0117109-0.0369237j 0.00714536-0.00100062j -0.00847337+0.0232242j -0.0202572-0.00622518j 0.00471979-0.0202703j 0.0164816+0.0253267j 0.00620577-0.0134399j -0.0338441+0.00318393j 0.00699958+0.0347647j -0.0318854-0.0349207j -0.0270484-0.0190954j -0.0122892+0.0337678j 0.044785-0.0358123j -0.0221908+0.00255366j -0.0104606+0.00413018j -0.025544-0.00328446j -0.0167564-0.00552175j -0.0182606-0.0333104j 0.0210726-0.0295546j 0.00174708-0.00922266j -0.00166179+0.00554439j -0.0122962+0.00586518j 
0.0160963+0.00808141j 0.00206137-0.00139004j -0.00401997+0.0109924j 0.0034559-0.0246575j -0.0158767+0.0110582j -0.0162681+0.0176024j 0.00219983-0.00837398j -0.00314231+0.010177j -0.00912547+0.00220469j 0.023309-0.00713878j 0.0026167+0.0116323j 0.0165749-0.00459492j -0.00313793-0.0100165j 0.00107779-0.0105067j -0.0126937-0.00266653j 0.0132912+0.00526507j -0.0260283-0.0173741j 0.00590264+0.00724751j 0.0076362+0.00216704j -0.00178492-0.00146402j -0.00955412-0.0216893j -0.00331611-0.0126533j -0.00183968-0.0332196j -0.0213064+0.0358363j 0.00816779+0.0102482j -0.0137575+0.0350103j -0.00137748+0.00589043j 0.00960814+0.0154079j -0.000330788+0.000300925j -0.0146723-0.00254019j -0.000311087-0.0119819j 0.0108402-0.00453808j -0.0107057-0.000478099j -0.00612541-0.00639594j 
0.000348144-0.00722501j 0.000203249-0.000340387j 0.000434162-0.00932944j -0.00954296+0.00836258j -0.00412996+0.0100979j -0.0198878-0.0251252j -0.00788489+0.00183329j -0.0163681-0.0145649j 0.00999229+0.00408901j -0.000448962-0.00120894j 0.00287907-0.0132601j -0.00303957-0.00488461j -0.000480153-0.00859041j -0.00137205+0.0115916j 0.00427876+0.00574606j -0.0142216-0.00828742j 0.00776341-0.0124333j 0.00314879+0.013516j -0.0002471+0.00515759j 0.0119931+0.00534974j -0.0161663+0.00563967j -0.0209674+0.00222335j 0.0109502-0.0202944j -0.000815105+0.0192724j 0.0201535+0.0264108j -0.00902774+0.0264174j 0.00194842-0.0247357j -0.00951758+0.0129247j -0.0148392+0.00956042j -0.00204099+0.00379455j -0.00262011-0.00629927j 0.0166642+0.0129313j 0.00430565+0.0115399j -0.00353383+0.0107516j 
-0.00297562+0.000900894j -0.000726523-0.00998379j -0.00948193-0.00331947j -0.00869047-0.00890591j -0.00675266+0.00537556j -0.00257346+0.0105047j -0.00499496-0.00534341j -0.0078979-0.00132078j -0.00309328+0.00503769j -0.00440395+0.0037335j -0.00148861+0.0162507j 0.0149081+0.007546j 0.019013+0.00779079j 0.0150547-0.00134206j 0.00912467+0.0275612j 0.00265814+0.00152342j 0.0308525+0.0127306j -0.00835951+0.0119079j -0.0111604-0.0121426j 8.26942e-05+0.0151835j 0.0306221+0.0389824j -0.000977871+0.00284433j 0.0134933-0.0075713j 0.0309148-0.038142j -0.00649576+0.0146861j 0.0274749+0.000356831j 0.000996243+0.00785136j -0.0279541+0.0301559j 0.0142487-0.0298084j 0.0185748+0.0149494j 0.00133388-0.00980122j -0.00147146+0.0208281j -0.00147998-0.00524832j -0.00492077+0.00142012j 
0.00414136+0.0127478j -0.004713-0.0118822j -0.00929972+0.0134036j 0.00958034+0.00475807j 0.0136504-0.00867722j 0.00523607-0.00621751j -0.00515892+0.013956j -0.0137981+0.00494619j -0.0170519-0.00905835j 0.0150994+0.00328758j -0.00769264+0.00622739j 0.00706285-0.00958648j 0.0197873-0.00679017j -0.0131641+0.0040363j -0.0103685-0.0172514j -0.00103462-0.015339j 0.0146972+0.00198302j 0.00949513+0.0027186j 0.000736873+0.0278819j -0.0185421+0.00816424j 0.00847765+0.00404716j -0.0062649+0.00379808j -0.00678786+0.037301j 0.0090441+0.0123447j 0.00465063-0.00631047j -0.0158462+0.0020175j 0.00964951-0.00561277j -0.00423007+0.0213116j 0.005871-0.00610951j 0.000958352-0.00255952j -0.00425314-0.000660875j 0.00121942-0.00841673j -0.00115534-0.000153948j -0.0024243-0.00268147j 
0.00561338+0.0073346j 0.00217499+0.00837826j -0.00917968-0.00682293j -0.0020833-0.0112961j -0.00449567-0.00165411j 0.0159593+0.0155454j 0.00942858-0.00520086j 0.00362009+0.000611148j -0.00607059-0.00247935j -0.00844229-0.000738295j 0.00582442-0.0251162j 0.000275653-0.0192979j 0.0110366-0.0189435j 0.0101967+0.00491925j 0.0167615-0.00632083j -0.00141196+0.00299918j 0.0153209+0.0120745j 0.00943309+0.00490453j -0.00151091+0.0135124j 0.0136854-0.00375571j 0.00506255+0.00841876j -0.0108637+0.00729736j 0.0180981+0.0560187j 0.0151492-0.0181024j 0.00450952+0.00824616j 0.00388306-0.0168259j 0.00470525-0.0152482j -0.0157132+0.0051207j 0.00441913+0.00692378j 0.00494837-0.00354434j 0.00609787+0.0159668j 0.0103872+0.00849068j -0.00363315+0.00210739j -0.00559118-0.000643273j 
0.00253611-0.000573513j -0.000293216+0.0141948j 0.0185947+0.0177961j -0.0236853+0.00948271j -0.0139852-0.00210688j -0.0257624+0.00579773j -0.00084465-0.00617007j 0.00492789+0.00388644j -0.00692558-0.00293079j -0.0120232+0.00868704j -0.00225353+0.00439268j 0.0222422-0.026617j 0.0106255+0.0244449j -0.0372786+0.00450538j 0.0153339-0.0331244j -0.00378855-0.0100156j 0.026111-0.0218947j -0.00588751-0.00167693j -0.0109594+0.0101803j -0.00449109-0.00144501j -0.00624334+0.039287j -0.0158411+0.0141701j 0.00733431+0.0322607j 0.0193298+0.00930182j 0.0145223-0.0137484j -0.0208807-0.044826j -0.0181236-0.0251067j 0.000341823-0.0130865j -0.00702829-0.0137111j 0.00432563+0.0117234j -0.0273143-0.00357079j -0.00485144+0.00920902j 0.0192768-0.00453217j 0.0109129+0.0240283j 
0.00893026+0.00805583j 0.013709+0.00226624j 0.0204631-0.00818192j 0.0108749-0.0198089j -0.0151355+0.0197681j -0.00116818+0.0167045j 0.013529-0.00379912j 0.0200915+0.00183075j 0.0110071-0.00367052j 0.00127816-0.000992417j 0.00371362+0.0107272j -0.00836182+0.0267226j -0.0115984-0.0129714j -0.00216909+0.00388738j 0.0149649+0.00203178j 0.00178808-0.0166357j -0.00592577+0.0148002j -0.0223298+0.00912408j -0.0226655-0.0106884j 0.000136982-0.00968297j 0.0214219+0.00354239j -0.00956616-0.000454608j -0.00540936-0.0206617j 0.00150511-0.0089891j 0.0021758+0.0132572j 0.0100763+0.0146606j 0.0065837+0.0125487j 0.000979022+0.0126884j -0.00424124+0.0134513j -0.00533151-0.00394512j 0.0200257-0.00814878j -0.0139054+0.00650482j -0.00891597-0.0100638j 0.0152056-0.00271725j 
-0.00738208+0.0233799j 0.0521903-0.00403612j -0.0280365+0.00137897j -0.00857378-0.00867356j -0.00497202+0.0164487j -0.0156678+0.0119996j -0.00495759-0.0132603j -0.00758138-0.00531886j -0.00517129+0.0055341j -0.00703489+0.00340386j -0.0122452+0.000345241j 0.0203786-0.0146338j 0.005184+0.00849087j 0.0137362+0.0117744j 0.00142992+0.00354402j 0.0159279+0.00894012j 0.0215188-0.00210334j 0.0118024-0.0440866j 0.00130502+0.0249747j 0.0085973-0.00303283j -0.00353474+0.0094451j -0.0112699+0.0122477j 0.0169931-0.00728158j 0.0253842-0.00301613j -0.00917663+0.00561013j -0.00948627-0.0133159j 0.0108232-0.0243081j 0.0119344+0.0315116j 0.000449516-0.00424091j 0.012644+0.0322133j -0.0237596-0.00742944j -0.0103384-0.00220531j -0.0261846-0.00822233j 0.0152666-0.0261338j 
0.0235281+0.00850213j 0.0280442-0.00918874j -0.0235232+0.00274362j 0.0151364-0.022123j 0.0103299+0.0121219j 0.00641172+0.0193038j 0.00746504+0.00241031j -0.00328309+0.00875498j -0.00925615+0.0119635j 0.0165955-0.0222131j -0.0169402+0.0250515j 0.000362926+0.0165337j -0.00819558-0.0322107j 0.0125335-0.000830595j -0.0145897+0.0023646j 0.00142263+0.00449724j 0.0110127+0.0203351j 0.00232658-0.0185271j 0.00383067-0.012136j 0.0105615+0.0186911j 0.0140266+0.00572703j -0.00893605-0.0246524j 0.00171261-0.0250736j 0.00509124-0.00894409j 0.00599159-0.0021345j 0.0202481+0.0154189j 0.0242396+0.00362738j -0.00410697+0.0124189j -0.0166576-0.00800923j -0.012205+0.00452577j 0.0105198-0.0128994j 0.0180453-0.0243606j -0.0512708-0.00554161j 0.0106475-0.0461016j 
0.00752496+0.0690622j 0.0446311-0.0370896j -0.00264689+0.0482393j 0.00267593-0.0243263j 0.0164126+0.0194318j -0.00793017-0.00781393j 0.00705628+0.0115112j 0.00827958+0.0133659j 0.00876064-0.0081191j -0.00728837-0.02167j -0.0176224-0.0245297j 0.0248448-0.0113111j -0.00152921-0.0116095j 0.0244189+0.0203194j -0.00733392-0.006971j 0.00411222+0.00114191j -0.0176259-0.010909j -0.0148709-0.0356627j -0.0276664-0.00288657j -0.013528+0.00373165j -0.00259179-0.00102796j -0.00771833-5.35486e-05j 0.0351703+0.0166919j 0.0173996+0.0132146j 0.00443092+0.0101477j 0.0165397+0.000119549j 0.0127565+0.00207225j 0.00936971+0.0365615j -0.00653022-0.0204578j -0.0140432+0.0298403j -0.0280641-0.00584461j -0.0163406-0.00234376j -0.0419157-0.0153732j 0.0225192-0.0453507j 
