0.123383-0.0364867j 0.176985-0.0123736j -0.0232218-0.0278584j 0.193238-0.0119088j -0.369758-0.269365j 0.0681554+0.00781878j -0.0314545-0.0332804j -0.00164927-0.00214118j -0.0027974+0.0273786j 0.00482522-0.00027125j 0.0225566-0.0397938j -0.0916572-0.0238831j 0.00353132-0.00961563j -0.00953326+0.00072782j -0.0215792+0.00849719j 0.00226236+0.00554031j 0.00818166+0.00143918j -0.0116424-0.00281004j -0.0119354-0.00440797j -0.00489604-0.00042114j -0.00253749+0.000231436j 0.00140484+0.00536487j -0.00439171-0.00384023j 0.00579032+0.00432646j -0.00552565-0.00681618j -0.00642241-0.00528848j 0.0131484+0.0110202j 0.00411279+0.00717185j -0.00569126-0.000213347j 0.00330063+0.012598j -0.00743375+0.041817j -0.00923698+0.00644028j 0.0105196+0.00179917j 0.0318509+0.0105946j 
0.0953994-0.153414j -0.333499-0.25924j 0.133034-0.0105087j -0.246583+0.363583j -0.152433-0.126342j 0.0213616-0.0402815j 0.0652261+0.0406813j -0.0192241+0.00514697j -0.0426164+0.0254551j 0.00197113-0.000358746j -0.00488339-0.0541046j 0.019802-0.0145514j -0.00505367-0.00131844j 0.00393359-0.00883298j -0.00283808-0.00681692j -0.0154839+0.00361327j -0.00786339-0.00337457j 0.00843165-0.0122717j -0.00201834+0.0156934j -0.00474966+0.000668538j -0.0316122+0.0195944j 0.0117815-0.0177355j -0.00430885-0.00733232j -0.0084422+0.0093889j 0.0272934+0.017464j -0.016759-0.0221561j -0.00172126-0.000163196j -0.0139347-0.0183948j -0.000571407+0.00563501j 0.00310959+0.00126348j 0.0154818+0.015688j 0.000394351+0.00174666j 0.000988802-0.00170476j -0.000821679+0.00491338j 
0.0179063+0.0148043j 0.0535948-0.297575j -0.128624+0.0997267j 0.109694+0.195303j 0.225536+0.319193j 0.00518832-0.0119073j 0.0135241+0.0218773j -0.0224785+0.000454124j -0.00695054-0.0459415j -0.0176599+0.0265837j 0.00340596-0.0100152j -0.00327162+0.00809885j 0.00285156+0.00526878j -0.00644372+0.0071362j -0.0136038-0.00101662j 0.0130643+0.0400991j -0.00550038+0.00849182j -0.00232165+0.0147653j 0.0164174+0.00572755j -0.0131964+0.00591979j 0.0104556-0.0180763j 0.00642367-0.0131732j 0.00153674+0.00859729j -0.00495303-0.00606944j -0.000793166+0.00505522j 0.00658263+0.0149762j 0.00727117-0.00631356j 0.00601682-0.00257169j 0.00448411-0.00438443j 0.00343535-0.00388745j 0.00106607-0.0113462j 0.0032098-0.00119074j -0.0136709+0.00759023j -0.00244139-0.00741189j 
0.0836969-0.148288j 0.0609723-0.0363606j -0.23532+0.152714j -0.123165+0.108478j 0.19573+0.0681082j 0.0279926-0.0789562j -0.0253028-0.0106275j 0.0108731+0.0113518j -0.0393384-0.00776692j -0.0213711+0.00641823j -0.00247974-0.0102574j 0.00729338+0.00650377j -0.00391366+0.020669j -0.00521679+0.00442559j 0.00888443+0.0103581j 0.0134893-0.0210172j -0.00356024-0.000293595j 0.00415788+0.00171674j 0.0166637+0.0103775j -0.00457196+0.00306349j -0.00647078-0.00211816j -0.00829886-0.0235395j -0.00500039+0.000680831j 0.00559567+0.0164515j 0.00194793-0.00664652j -0.0100852-0.0128968j -0.00467254+0.0134556j -0.00531561+0.0132175j 0.00308754+0.00830445j -0.00657158+0.00465204j -0.0098895+0.000302933j 0.00975149-0.00152838j -0.00920651+0.00325333j -0.00667451-0.00340357j 
-0.0201319-0.0983059j -0.016461+0.25298j 0.28947-0.117622j 0.0170309+0.0773006j 0.0432079-0.020266j 0.00313282-0.018087j 0.0115851-0.0350913j -0.03207-0.0217718j 0.0191391+0.0285571j 0.0136024-0.00315949j 0.00351651+0.00524824j 0.0163663-0.00644299j -0.00778338-1.49898e-07j 0.0119916-0.00426764j -0.0019388-0.00450822j -0.00602714+0.0178364j 0.00286748-0.000704281j -0.00353203+0.00854144j -0.0239593-0.00818377j 0.00628859+0.00666194j 0.0171483-0.0111396j 0.0275877+0.0126635j 0.00540682+0.0135731j -0.00887597-0.0251095j -0.0127081+0.00364299j -0.00571078-0.000943375j 0.00317992-0.0204409j 0.00745012-0.0205128j 0.00655993-0.00293159j 0.0035052-0.00615091j -0.00657427+0.00426302j 0.00400517+0.000973428j -0.00912902-0.000314863j -0.00575936-0.000346511j 
0.153157-0.0179088j 0.155682-0.119528j 0.239916+0.0966259j -0.0279389-0.149354j -0.122253-0.174676j 0.0784231+0.00470127j -0.0244484+0.0125045j 0.0080701+0.0480189j -0.0154673-0.0336371j -0.00416035+0.0281754j 0.00426596+0.00792238j 0.0131286-0.00912206j -0.0147539-0.012985j 0.0256435-0.00458842j 0.00349293-0.00330909j -0.0152721-0.00934243j -0.00427202+0.00546078j -0.0125662+0.0042247j 0.0146803+0.0119036j -0.00608413+0.00168566j 0.0270718-0.00840372j 0.00437003-0.0322526j 0.00118631-0.00789557j -0.00864437+0.0229006j 0.00279682-0.00869247j -0.00751379+0.00335293j 0.0162216-0.014745j 0.0059748-0.00204644j 0.00158436-0.0041691j 0.00545406-0.0012408j -0.00866909-0.000170774j 0.00216822+0.00765751j -0.0107353-0.0073413j -0.00160755+0.00333303j 
-0.104486-0.239035j -0.173167+0.0802865j -0.0598324+0.044797j 0.310821+0.0777789j -0.0867373-0.0132644j -0.0371729-0.100013j 0.0329163-0.0351589j -0.0221784-0.0277216j -0.0210247+0.0181774j 0.00267442-0.0299598j -0.0339012+0.0256728j 0.00851335-0.00200116j 0.0101622+0.0278808j -0.0204618+0.016339j -0.0085479+0.00465317j -0.00690418+0.000977204j -0.00150605-0.00437551j 0.0114992+0.00768285j -0.0144299+0.00483706j 0.000989198+0.000994677j -0.0227413-0.0203867j 0.00615759+0.00160964j -0.00398611+0.0258727j 0.0088847-0.0201503j -0.00709385-0.00179555j 0.00275437-0.0263837j -0.0120919+0.0126237j -0.00252671-0.00182238j -0.000496966+0.0031639j -0.00534299+0.00354176j -0.0070169+0.0132099j 7.75403e-05-0.000874516j 0.00231586-0.0040475j 0.000994474+0.00194709j 
0.305132-0.146513j -0.15821+0.0172237j -0.205384-0.301929j 3.79991e-05-0.245956j -0.0230654-0.0674008j 0.076732-0.0375043j -0.00452163+0.0251236j 0.0122853-0.026593j -0.0243746+0.0147815j -0.0446267+0.026862j 0.0270031-0.00331954j -0.00210748-0.00809146j 0.0146392+0.00269978j -0.000825748+0.0347604j -0.00510486+0.00172349j 0.0245094-0.0106808j 0.00499811-0.00297186j 0.0010105+0.00517433j 0.0132971-0.000752166j -0.00732794+0.0190699j 0.00010015-0.00471904j -0.00316703-0.0191877j -0.0126869+0.0184742j 0.0143509-0.00560227j 0.00349654-0.000149304j -0.00662374+0.00727847j 0.0211452-0.00662657j 0.0130967-0.00687436j 0.00804499-0.0051058j 0.0122739-0.00297097j 0.00773967+0.00381039j -0.00758829+0.00132348j -0.00417569+0.00419291j 0.00241608+0.00232882j 
-0.124544-0.0379153j -0.166058-0.10617j -0.0663255-0.253899j -0.0514552-0.0485979j 0.154364-0.108543j -0.025019+0.0124778j 0.0325627+0.0193883j 0.0167839-0.0225871j 0.000435602-0.00968449j -0.0344143+0.0164739j -0.0135509-0.00968171j 0.0324351+0.0039899j -0.00920185-0.0143479j 0.0331876+0.0120606j 0.00333902+0.00489256j 0.0284421-0.00584368j 0.00159604-0.00493683j 0.00130849-0.00525274j 0.00901044-0.00151855j -0.00506926+0.00499814j 0.00426713+0.0114938j -0.000176523+0.000838474j -0.00641773+0.00719516j -0.000272355-0.00539459j 0.0194458-0.00114324j 0.0153181-0.00238901j 0.0121052-0.00644634j 0.00617883-0.0100249j -0.00439039-0.00336739j -6.26088e-07-0.00438766j -0.0285081+0.000111746j 0.0114735+0.00877032j -0.00709729-0.00376754j -0.0136369-0.0027613j 
-0.0585869-0.155813j 0.280075+0.202088j 0.0255394-0.161465j -0.0050226+0.258236j 0.174822-0.207556j 0.00115298+0.00570206j 0.00302929-0.0302706j 0.0205309-0.00712298j 0.0197274+0.00632504j -0.00925715-0.0010507j -0.0143363+0.00351418j 0.0166674-0.00813892j -0.007216-0.0147319j 0.0127423+0.00774852j 0.00586736-0.000494354j -0.0142144-0.042456j 0.000898588-0.0084144j 0.0038719-0.00991857j -0.00521767-0.00540229j 0.00753631-0.00551282j -0.00147829+0.0023195j -0.00531867-0.00114783j -0.00650937+0.000499044j 0.00714611+0.00475972j 0.00315295-0.00255177j 0.00356989-0.00933324j 0.0030757+0.00644843j 0.00886072+0.00186531j 0.00301309-0.00118059j 0.00240795+0.00322647j -0.00329691+0.00549889j -0.00291509-0.00260047j 0.00461719-0.00709053j -0.00645205+0.00687037j 
0.017005+0.107732j 0.0595358-0.131559j -0.0122594+0.0101485j 0.0885864-0.029532j -0.0951142+0.0428316j 0.00470495+0.0550997j 0.020511+0.00330959j -0.000948447-0.00169238j -0.0105644-0.0255773j 0.00224002-0.00149542j 0.01424+0.0192545j -0.0130558-0.00827965j 0.00135863-0.0128695j -0.0316308-0.0154179j -0.0141976+0.00261401j -0.000273415-0.0136593j 0.00516096-0.00259851j -0.0152151-0.00311176j -0.0174393-0.00693155j -0.00445064-0.0015978j 0.0165931+0.00527959j 0.0171506+0.00818629j -0.00918634-0.00892242j 0.00400077+0.00638465j -0.0138942-0.00407425j -0.0173232-0.00264373j 0.00471954+0.00233877j 0.00497929+0.00411417j 0.00897755+0.00433848j 0.00527206+0.00368055j 0.0196844+0.0094208j -0.00951376-0.00790004j -0.00269492+0.00420974j 0.0087373+0.00395647j 
0.412271-0.257265j 0.185726+0.0579196j -0.0144022+0.0207353j 0.113585+0.0341133j -0.0858117-0.0391479j 0.0914585-0.0799693j -0.0172728+0.034386j -0.00916674+0.00852345j -0.00829651-0.00576274j 0.000763671-0.00394418j 0.0107837+0.00610767j -0.00886348-0.00499838j 0.0230333+0.0097924j -0.0191024-0.0101394j -0.026867-0.0133067j 0.0423148+0.0175384j 0.0122908+0.00868592j -0.00446635-0.00213025j -0.00407217-0.0132145j -0.00513082+0.00560768j 0.00579603+0.00103701j 0.0131732+0.00145606j -0.0108063-0.00276396j 0.00457793+0.00320103j -0.00487402-0.00548176j -0.00519028-0.00351213j 0.00372868+0.00131129j 0.00454442+0.00389645j 0.0101158+0.00275233j 0.00419324+0.00318717j 0.00199801+0.00841424j -0.00710862-0.00655156j -0.0118447+0.000173654j 0.00620237+0.0049537j 
