0.00768475-8.2838e-05j -0.0101543-0.0308568j -0.0023553-0.0310056j -0.00435219-0.01978j 0.0050185-0.0319305j 0.0100501-0.0390495j -0.00865363+0.00967j -0.00172546-0.00573749j -0.0227102+0.0116216j -0.0133002+0.00365621j 0.0173432-0.000441569j 0.0158102-0.00209937j -0.0397659-0.000762254j -0.00767407-0.00427611j 0.0273805+0.00794069j 0.0176505+0.00485882j 0.0128315+0.0111482j -0.00280234+0.00129681j 
0.00647771+0.0318629j 0.0108127+0.0339204j -0.0065583+0.00556501j -0.0140111-0.028183j -0.00673651-0.0400824j -0.0181171-0.0423328j -0.0252498+0.0282249j 0.0183267+0.0348299j 0.0182549+0.0239039j -0.00424729-0.010515j 0.00352301+0.000121998j 0.0110306+0.0258042j -0.000564752+0.0190153j -0.000841402-0.0140241j 0.00742509+0.0139873j -0.00160686-0.0395118j -0.0119387+0.0519603j 0.000495682-0.0152143j 
-0.00115529-0.00101937j 0.0027562-0.00277992j -0.00655284-0.0551859j -0.00564043-0.00642142j 0.00284608+0.0513339j -0.00779896-0.000618996j -0.0064568-0.0167277j 0.00319394+0.00215766j 0.00141782-0.00450249j -0.0104499-0.0515823j 0.00601982+0.0467888j -0.00436967-0.0358597j 0.00368617+0.000408106j 0.00608261-0.0619173j 0.00144962-0.0130226j 0.00712383-0.0645198j -4.04169e-05+0.00431842j -0.00520902+0.00787538j 
-0.000619446+0.0124832j -0.0162668+0.0132594j 0.00219929-0.0130527j 0.0251576+0.000560667j -0.00703756-0.00815542j 0.0388336+0.00968701j 0.0611285+0.11629j -0.0155519-0.00633558j -0.0131356-0.00738641j -0.00136799-0.0088844j -0.00262694+0.00463226j -0.00592552-0.0141391j 0.00322378+0.00755224j 0.00256526+0.00265418j -0.00243521-0.0112251j 0.00414613+0.0370935j 0.00343262-0.0227979j 0.0328313-0.0396794j 
0.0220453-0.00576763j 0.0559021-0.0259751j -0.00705035+0.00172192j -0.0605743+0.0161673j -0.043636+0.0019353j -0.0882335+0.0168648j 0.00654274+0.0167866j 0.0272122-0.01279j 0.0221542-0.0162151j 0.000579334+0.00849429j 0.00783699-0.00411273j 0.00686773+0.00244268j 0.0012709+0.0092082j 0.00345188-0.00065081j 0.00665466+0.00305645j -0.00102277+0.0191731j 0.0143876-0.015164j -0.00664017-0.00686301j 
0.0127296-0.0368693j 0.0281918-0.0559631j 0.0163638-0.0347444j -0.00288275-0.00316157j 0.0156439-0.0202397j 0.00544571-0.0146457j -0.00852831+0.00194734j -0.000830146-0.0358761j -0.00782915-0.0333938j 0.000975158+0.0185945j -0.00159513-0.00214753j -0.000855106+0.025681j 0.000658863+0.0387591j 0.00629603-0.0250696j -0.00251313+0.0258125j -0.00574122+0.0203488j 0.00521158-0.020475j -0.00400754+0.00375024j 
0.00196995+6.21411e-05j -0.000981232-0.000207544j 0.082374-0.00111955j 0.00865892-0.000224113j -0.0789951-0.00251607j -0.00314257-0.000494323j -0.00096634-0.000493477j 0.000331659+0.000369588j 0.000534963-9.93567e-05j 0.00411125-0.00607002j -0.000260352+0.00533285j -2.87357e-05-0.00434453j 0.000349807-0.000295112j 0.00140886-0.00712473j 0.000114511-0.00198256j 0.00539151-0.00633633j -8.759e-05-3.9068e-05j 2.26508e-05-0.000187568j 
-0.013031-0.0159262j -0.0203328+0.0115806j -0.0172979-0.0203336j -0.00815771-0.0446437j -0.00767804-0.0259951j -0.0133335-0.0732382j -0.00446373-0.0289377j -0.00658172+0.00784287j -0.00541472+0.0143268j 0.003809+0.0055381j 0.000597399+0.00484607j -0.00474974-0.0209012j 6.64184e-05-0.0374129j -0.00483176+0.0198528j -0.00146735-0.0155666j 0.00139969+0.015823j 0.00759205-0.0190528j -0.0113273+0.0143601j 
0.00927114+0.0181409j 0.102928+0.0369643j 0.0440342+0.0103652j -0.0171059-0.0286905j 0.0124506+0.0073864j -0.00745431-0.0342289j -0.000578275-0.0230168j 0.0342623+0.0334276j 0.0184018+0.00485797j -0.00251898+0.0222568j -6.33282e-05-0.00391071j 0.000708206-0.00728145j 0.00153833-0.0208838j -0.000477207+0.0108305j -0.00535429-0.0102577j 0.00128004+0.00524438j 0.0156678+0.000474935j -0.0123307+0.00566891j 
0.0164395-0.0218975j 0.00180438+0.0058995j -0.00209124-0.0578957j -0.00200446-0.0054055j -0.00494662+0.0583689j -0.00275889+0.00328948j -0.00337059-0.00158635j 0.000105671-0.0116492j 0.000324924+0.00930564j 0.00974982+0.0358828j -0.00405917-0.0424255j 0.0032401+0.0399214j -0.00439261+0.00365538j -0.00607616+0.0555726j -0.00175909+0.0188102j -0.0107021+0.0473823j 0.00105886+0.000993975j -0.00143401+0.000524416j 
-0.0927349+0.070803j -0.045255-0.0318847j 0.0114183-0.033719j 0.017387+0.00391486j -0.0101171+0.0143838j 0.0122606+0.00877289j 0.00830354+0.00365781j -0.00792694+0.0520907j -0.00846634-0.0302372j -0.00387554+0.0602747j 0.0072303-0.0257755j 0.00110447+0.00218328j 0.00594278-0.0156993j -0.0022972+0.010807j 0.00789593-0.0103709j 0.00435178+0.00490996j -0.012411+0.00793199j 0.0066347+0.000677636j 
-0.0556785-0.0219306j -0.0199806+0.0848189j -0.0106257+0.0300206j 0.0061748-0.0241497j -0.00664131+0.00507456j 0.00133933-0.0228085j -0.00101432-0.0114118j -0.0208045+0.0128379j -0.0177552-0.0214681j -0.000665772+0.0393953j 0.00116347-0.00141169j -0.00293283+0.0130452j 0.00104056+0.0211973j 0.00490329-0.0198348j 0.000164036+0.0100079j -0.00470871+0.0204095j 0.00248322-0.0151677j -0.00638913+0.00831214j 
0.122305+0.0965366j -0.00463502+0.0522869j -0.0163901-0.0160925j -0.00443237-0.0251686j 0.00155293+0.0128807j -3.22821e-07-0.0207131j -0.000245389-0.0139601j 0.0270336+0.0334436j -0.0178449-0.0118742j 0.00207307+0.024266j -0.00611775-0.00464594j -0.0101161-0.000978751j 0.000777221+0.0035976j 0.00195006-0.00549884j -0.0124069-0.00423002j -0.000783239+0.00980094j 0.0126969-0.00139073j -0.00631401+0.00473414j 
-0.0554907+0.112976j -0.000696246+0.0263362j 0.0122722-0.00750407j 0.00207018-0.0131172j -0.00507508-2.67245e-05j -0.00193681-0.00959101j -0.0039517-0.00573169j -0.0482713-0.0382335j -0.00191742+0.0175712j 0.00975161-0.0491148j -0.00423953+0.00885533j 0.00110785+0.00296913j -0.00721866+0.0242093j 0.00148415+0.00104199j -0.000574433+0.00953662j -0.00750227+0.013683j 0.0022624-0.00842048j -0.00309705+0.00226993j 
