-1.02956-0j -0.0154396-0j 0.12416-0j 0.0320579-0j 0.123974-0j 0.039204-0j 0.00584418-0j 0.083495-0j 0.015244-0j 0.0248934-0j 0.00556634-0j 0.000586743-0j -0.13556-0j -0.0350014-0j -0.00642863-0j -0.00203291-0j -0.000303048-0j 0.0633151-0j 0.0115597-0j 0.0188769-0j 0.004221-0j 0.000444933-0j -0.0488813-0j -0.00892447-0j -0.0145736-0j -0.00325876-0j -0.000343503-0j -0.0898072-0j -0.0283995-0j -0.00423355-0j -0.00451725-0j -0.000824734-0j -0.00134679-0j -0.00030115-0j -3.1744e-05-0j -0.0669335-0j -0.0122203-0j -0.0199557-0j -0.00446224-0j -0.000470361-0j 
-0.0254013-0j -0.084136-0j -0.100833-0j -0.0258664-0j -0.00113587-0j -0.148738-0j 0.00237119-0j -0.00306959-0j 0.0334904-0j 0.012899-0j -0.17549-0j 0.00128084-0j -0.0883079-0j -0.0226533-0j -0.00223374-0j -0.2925-0j 0.00466304-0j -0.00157292-0j 0.0171612-0j 0.00660971-0j -0.0899248-0j 0.00065633-0j 0.00337371-0j -0.0368085-0j -0.0141769-0j 0.192876-0j -0.00140774-0j -0.00221573-0j -0.290142-0j 0.00462545-0j 0.0017465-0j -0.019055-0j -0.0073391-0j 0.0998481-0j -0.000728757-0j -0.00165139-0j 0.0180173-0j 0.00693944-0j -0.0944108-0j 0.000689071-0j 
0.0037866-0j 0.0394065-0j -0.000511629-0j -0.168761-0j 0.000169326-0j -0.00237119-0j -0.133053-0j 0.000457587-0j 8.35436e-05-0j -0.00604145-0j 0.0389713-0j -0.239623-0j -0.000448075-0j -0.147798-0j 0.000332986-0j -0.00466304-0j -0.261654-0j 0.000234478-0j 4.28096e-05-0j -0.00309577-0j 0.0199698-0j -0.122788-0j -0.000502922-0j -9.18206e-05-0j 0.00664-0j -0.0428324-0j 0.263363-0j 0.000330302-0j -0.00462545-0j -0.259545-0j -0.000260353-0j -4.75337e-05-0j 0.00343739-0j -0.0221734-0j 0.136338-0j 0.000246175-0j 4.49452e-05-0j -0.0032502-0j 0.020966-0j -0.128913-0j 
-0.0549955-0j -0.0145736-0j -0.00747864-0j -0.00193098-0j 0.162302-0j -0.0011442-0j -0.000170567-0j -0.00160801-0j -0.000293581-0j 0.0215048-0j -0.0001072-0j -1.12999e-05-0j 0.0202566-0j 0.00523022-0j -0.761428-0j 0.00536792-0j 0.000800202-0j 0.0106686-0j 0.00194781-0j -0.142677-0j 0.00071124-0j 7.49712e-05-0j -0.00160676-0j -0.000293352-0j 0.0214881-0j -0.000107117-0j -1.12911e-05-0j 0.215185-0j -0.00151701-0j -0.000226142-0j -0.00426387-0j -0.000778473-0j 0.0570232-0j -0.000284258-0j -2.99634e-05-0j -0.00357537-0j -0.00065277-0j 0.0478154-0j -0.000238358-0j -2.51251e-05-0j 
0.0173911-0j -0.0649558-0j -0.0694808-0j -0.0178237-0j 0.0011442-0j 0.149829-0j -0.00238857-0j 0.000508497-0j -0.0055479-0j -0.00213679-0j 0.029071-0j -0.000212179-0j 0.188195-0j 0.0482771-0j -0.00536792-0j -0.70291-0j 0.0112058-0j -0.00337371-0j 0.0368085-0j 0.0141769-0j -0.192876-0j 0.00140774-0j 0.000508101-0j -0.00554359-0j -0.00213513-0j 0.0290484-0j -0.000212014-0j 0.00151701-0j 0.198647-0j -0.00316683-0j 0.00134836-0j -0.0147111-0j -0.00566603-0j 0.0770861-0j -0.000562625-0j 0.00113063-0j -0.0123356-0j -0.00475111-0j 0.0646387-0j -0.000471775-0j 
-0.00259251-0j 0.0304231-0j -0.000352546-0j -0.116287-0j -0.000170567-0j 0.00238857-0j 0.134029-0j -7.58022e-05-0j -1.38395e-05-0j 0.0010008-0j -0.00645584-0j 0.039695-0j 0.000954904-0j 0.314975-0j 0.000800202-0j -0.0112058-0j -0.628785-0j 0.000502922-0j 9.18206e-05-0j -0.00664-0j 0.0428324-0j -0.263363-0j -7.57433e-05-0j -1.38288e-05-0j 0.00100003-0j -0.00645082-0j 0.0396642-0j -0.000226142-0j 0.00316683-0j 0.177699-0j -0.000201001-0j -3.66976e-05-0j 0.00265378-0j -0.0171186-0j 0.105257-0j -0.000168544-0j -3.07719e-05-0j 0.00222526-0j -0.0143544-0j 0.088261-0j 
0.10717-0j 0.0283995-0j -0.428163-0j 0.00376289-0j 0.00705093-0j -0.0655071-0j 0.000332384-0j 0.00313352-0j -0.034188-0j 0.000934235-0j -0.00613739-0j 2.20201e-05-0j -0.414567-0j 0.0036434-0j 0.0118248-0j -0.109859-0j 0.000557425-0j 0.00743179-0j -0.0810839-0j 0.00221573-0j -0.0145561-0j 5.22253e-05-0j 0.0050882-0j -0.0555143-0j 0.00151701-0j -0.00996588-0j 3.57562e-05-0j -0.0174441-0j 0.162065-0j -0.000822322-0j -0.0155047-0j 0.169163-0j -0.00462262-0j 0.030368-0j -0.000108956-0j 0.00696731-0j -0.0760161-0j 0.00207725-0j -0.0136463-0j 4.89612e-05-0j 
-0.027671-0j 0.214036-0j -0.00376289-0j -0.385047-0j -0.00182054-0j 0.0168043-0j -0.109637-0j -0.000809071-0j -0.000147716-0j 0.00704095-0j -0.0213763-0j -0.0148643-0j -0.0036434-0j -0.37282-0j -0.00305314-0j 0.0281817-0j -0.183867-0j -0.00191888-0j -0.000350338-0j 0.0166991-0j -0.0506984-0j -0.0352538-0j -0.00131377-0j -0.00023986-0j 0.0114331-0j -0.0347108-0j -0.0241366-0j 0.00450404-0j -0.0415741-0j 0.271243-0j 0.00400331-0j 0.0007309-0j -0.0348388-0j 0.105771-0j 0.0735489-0j -0.00179895-0j -0.000328442-0j 0.0156554-0j -0.0475298-0j -0.0330504-0j 
-0.0898072-0j -0.00134679-0j 0.0108303-0j 0.00279638-0j -0.485081-0j 0.00341972-0j 0.000509782-0j 0.00728319-0j 0.00132972-0j -0.0974022-0j 0.000485546-0j 5.11811e-05-0j -0.0118248-0j -0.00305314-0j 0.0251538-0j -0.000177329-0j -2.64346e-05-0j 0.00552291-0j 0.00100834-0j -0.073861-0j 0.000368194-0j 3.88111e-05-0j -0.00426387-0j -0.000778473-0j 0.0570232-0j -0.000284258-0j -2.99634e-05-0j -0.655709-0j 0.00462262-0j 0.000689099-0j 0.000735278-0j 0.000134243-0j -0.00983328-0j 4.90185e-05-0j 5.16701e-06-0j -0.00583855-0j -0.00106597-0j 0.0780822-0j -0.000389237-0j -4.10291e-05-0j 
0.0283995-0j -0.00600274-0j 0.10062-0j 0.0258117-0j -0.00341972-0j -0.447801-0j 0.00713885-0j -0.00230315-0j 0.0251283-0j 0.00967825-0j -0.131672-0j 0.000961028-0j -0.109859-0j -0.0281817-0j 0.000177329-0j 0.0232206-0j -0.000370183-0j -0.0017465-0j 0.019055-0j 0.0073391-0j -0.0998481-0j 0.000728757-0j 0.00134836-0j -0.0147111-0j -0.00566603-0j 0.0770861-0j -0.000562625-0j -0.00462262-0j -0.605315-0j 0.00964995-0j -0.000232515-0j 0.00253684-0j 0.000977071-0j -0.013293-0j 9.7021e-05-0j 0.00184631-0j -0.020144-0j -0.00775853-0j 0.105554-0j -0.000770405-0j 
-0.00423355-0j 0.00281148-0j 0.000510546-0j 0.168404-0j 0.000509782-0j -0.00713885-0j -0.400578-0j 0.000343333-0j 6.26838e-05-0j -0.00453297-0j 0.0292406-0j -0.179792-0j -0.000557425-0j -0.183867-0j -2.64346e-05-0j 0.000370183-0j 0.0207719-0j 0.000260353-0j 4.75337e-05-0j -0.00343739-0j 0.0221734-0j -0.136338-0j -0.000201001-0j -3.66976e-05-0j 0.00265378-0j -0.0171186-0j 0.105257-0j 0.000689099-0j -0.00964995-0j -0.541482-0j 3.46613e-05-0j 6.32826e-06-0j -0.000457628-0j 0.002952-0j -0.018151-0j -0.000275232-0j -5.02502e-05-0j 0.00363384-0j -0.0234407-0j 0.14413-0j 
0.0753056-0j 0.0199557-0j 0.0102405-0j 0.0026441-0j -0.222242-0j 0.00156676-0j 0.000233559-0j 0.00220185-0j 0.000402002-0j -0.0294466-0j 0.00014679-0j 1.54731e-05-0j 0.00991537-0j 0.00256014-0j -0.372711-0j 0.00262754-0j 0.00039169-0j 0.00522216-0j 0.000953431-0j -0.0698388-0j 0.000348144-0j 3.66976e-05-0j 0.00357537-0j 0.00065277-0j -0.0478154-0j 0.000238358-0j 2.51251e-05-0j -0.294654-0j 0.00207725-0j 0.000309658-0j 0.00583855-0j 0.00106597-0j -0.0780822-0j 0.000389237-0j 4.10291e-05-0j -0.0139306-0j -0.00254337-0j 0.186302-0j -0.000928709-0j -9.78945e-05-0j 
-0.0238137-0j 0.0889444-0j 0.0951405-0j 0.0244061-0j -0.00156676-0j -0.205162-0j 0.00327069-0j -0.000696288-0j 0.00759678-0j 0.00292593-0j -0.0398071-0j 0.000290538-0j 0.0921194-0j 0.0236311-0j -0.00262754-0j -0.344066-0j 0.00548511-0j -0.00165139-0j 0.0180173-0j 0.00693944-0j -0.0944108-0j 0.000689071-0j -0.00113063-0j 0.0123356-0j 0.00475111-0j -0.0646387-0j 0.000471775-0j -0.00207725-0j -0.272008-0j 0.00433636-0j -0.00184631-0j 0.020144-0j 0.00775853-0j -0.105554-0j 0.000770405-0j 0.00440525-0j -0.0480631-0j -0.0185117-0j 0.25185-0j -0.00183817-0j 
0.00354994-0j -0.0416586-0j 0.000482744-0j 0.159233-0j 0.000233559-0j -0.00327069-0j -0.183526-0j 0.000103796-0j 1.89505e-05-0j -0.00137041-0j 0.00884003-0j -0.0543547-0j 0.000467415-0j 0.154177-0j 0.00039169-0j -0.00548511-0j -0.307783-0j 0.000246175-0j 4.49452e-05-0j -0.0032502-0j 0.020966-0j -0.128913-0j 0.000168544-0j 3.07719e-05-0j -0.00222526-0j 0.0143544-0j -0.088261-0j 0.000309658-0j -0.00433636-0j -0.243324-0j 0.000275232-0j 5.02502e-05-0j -0.00363384-0j 0.0234407-0j -0.14413-0j -0.000656697-0j -0.000119896-0j 0.00867025-0j -0.0559288-0j 0.34389-0j 
