-0.0188264-0j -0.00343722-0j 0.251776-0j -0.00125509-0j -0.000132299-0j -0.0172822-0j 0.18272-0j -0.00498893-0j -0.00091085-0j 0.047178-0j -0.000192024-0j -1.56787e-05-0j -0.0114493-0j 0.154824-0j -0.00256014-0j -0.000269862-0j -0.00323834-0j 0.0342381-0j -0.000661024-0j -0.000120686-0j 0.00510392-0j -1.79908e-05-0j -1.19939e-06-0j -0.0110857-0j 0.149908-0j -0.00247884-0j -0.000261293-0j -0.00313551-0j 0.0331509-0j -0.000640034-0j -0.000116854-0j 0.00494185-0j -1.74195e-05-0j -1.1613e-06-0j 
-0.000572464-0j -0.180323-0j 0.0024056-0j -0.06657-0j 0.00023887-0j 0.000466029-0j -0.00656415-0j -0.00189615-0j -0.597278-0j -0.00082785-0j 0.013703-0j -3.14863e-05-0j 0.000345914-0j 5.15658e-05-0j -0.00462226-0j 0.0436702-0j -0.001379-0j 0.0194236-0j -0.000582945-0j -0.183624-0j -0.000152235-0j 0.00192872-0j -3.24563e-06-0j -0.000337089-0j -5.02502e-05-0j 0.00450434-0j -0.0425561-0j 0.00134382-0j -0.018928-0j 0.000568073-0j 0.17894-0j 0.000148351-0j -0.00187951-0j 3.16282e-06-0j 
-0.000661024-0j -0.000120686-0j -0.258039-0j -0.0174648-0j -0.0121444-0j 0.000538124-0j -0.00568944-0j -0.00453432-0j -0.00082785-0j -0.582186-0j 0.0076384-0j 0.00215146-0j 0.000399427-0j -0.0054013-0j 8.93146e-05-0j 9.41458e-06-0j -0.00329764-0j 0.034865-0j 0.00913933-0j 0.00166861-0j -0.227471-0j 0.00164089-0j 0.000278472-0j -0.000389237-0j 0.0052635-0j -8.7036e-05-0j -9.17439e-06-0j 0.00321351-0j -0.0339755-0j -0.00890616-0j -0.00162604-0j 0.221667-0j -0.00159903-0j -0.000271367-0j 
0.000120686-0j -0.00131673-0j -0.0015934-0j -0.301975-0j -0.0631992-0j -9.82476e-05-0j 0.000680343-0j 0.00125596-0j -0.013703-0j -0.0076384-0j -0.534602-0j 0.0171943-0j -7.29251e-05-0j -1.0871e-05-0j 0.000479076-0j 0.000154935-0j 0.000913408-0j -0.00632516-0j -0.00537872-0j 0.058684-0j 0.0120806-0j -0.250876-0j 0.00299824-0j 7.10646e-05-0j 1.05937e-05-0j -0.000466853-0j -0.000150982-0j -0.000890105-0j 0.00616379-0j 0.00524149-0j -0.0571868-0j -0.0117724-0j 0.244475-0j -0.00292174-0j 
-9.85397e-06-0j -1.79908e-06-0j 0.000218792-0j -0.00289507-0j -0.376095-0j 8.02188e-06-0j 1.89078e-06-0j -0.000172458-0j -3.14863e-05-0j 0.00215146-0j -0.0171943-0j -0.472342-0j 5.95431e-06-0j 8.87616e-07-0j 1.33142e-06-0j 1.40344e-07-0j -0.000125422-0j -2.95622e-05-0j 0.00151499-0j 0.000276598-0j -0.0114152-0j 0.0508163-0j -0.296167-0j -5.8024e-06-0j -8.6497e-07-0j -1.29746e-06-0j -1.36764e-07-0j 0.000122222-0j 2.8808e-05-0j -0.00147634-0j -0.000269541-0j 0.011124-0j -0.0495198-0j 0.288611-0j 
0.0105168-0j 0.0019201-0j 0.00313551-0j 0.000701122-0j 7.39048e-05-0j -0.737518-0j 0.00227551-0j 0.00278692-0j 0.00050882-0j 0.000587535-0j 0.000107269-0j 8.75845e-06-0j 0.00639581-0j 0.000953431-0j 0.00143015-0j 0.000150751-0j -0.138197-0j 0.000426387-0j 0.000369262-0j 6.74178e-05-0j 6.35621e-05-0j 1.005e-05-0j 6.70003e-07-0j -0.00556546-0j -0.00082965-0j -0.00124447-0j -0.000131179-0j 0.120255-0j -0.000371031-0j -0.000321322-0j -5.86651e-05-0j -5.531e-05-0j -8.74528e-06-0j -5.83018e-07-0j 
-0.00247884-0j 0.0270452-0j 0.0331509-0j 0.00485512-0j -1.74195e-05-0j -0.00227551-0j -0.70682-0j -0.000656884-0j 0.00716687-0j 0.00621185-0j 0.000742813-0j -2.06439e-06-0j -0.00150751-0j 0.0203855-0j 0.00990346-0j 0.00320281-0j -0.000426387-0j -0.132444-0j -8.7036e-05-0j 0.000949597-0j 0.000672024-0j 6.95944e-05-0j -1.57921e-07-0j 0.00131179-0j -0.0177389-0j -0.00861772-0j -0.002787-0j 0.000371031-0j 0.11525-0j 7.57363e-05-0j -0.000826314-0j -0.000584777-0j -6.05592e-05-0j 1.37419e-07-0j 
0.183757-0j -0.000554286-0j 0.0127576-0j 0.00590777-0j 0.0012668-0j -0.00278692-0j -0.000656884-0j -0.686333-0j 0.00207026-0j 0.00495067-0j 0.00137128-0j 0.000188293-0j -0.00184631-0j -0.000275232-0j 0.0249885-0j -4.3518e-05-0j 0.00736039-0j 0.00173486-0j -0.188328-0j 0.000568073-0j 0.000812551-0j 0.000172268-0j 1.73235e-05-0j 0.00160661-0j 0.000239499-0j -0.0217443-0j 3.78682e-05-0j -0.00640481-0j -0.00150963-0j 0.163878-0j -0.000494322-0j -0.00070706-0j -0.000149903-0j -1.50744e-05-0j 
0.000554286-0j 0.174597-0j -0.00232921-0j 0.0644562-0j -0.000231285-0j 0.00050882-0j -0.00716687-0j -0.00207026-0j -0.65212-0j -0.000903864-0j 0.0149612-0j -3.43774e-05-0j 0.000337089-0j 5.02502e-05-0j -0.00450434-0j 0.0425561-0j -0.00134382-0j 0.018928-0j -0.000568073-0j -0.17894-0j -0.000148351-0j 0.00187951-0j -3.16282e-06-0j -0.000293325-0j -4.37264e-05-0j 0.00391955-0j -0.0370311-0j 0.00116935-0j -0.0164707-0j 0.000494322-0j 0.155709-0j 0.000129091-0j -0.0016355-0j 2.7522e-06-0j 
0.000640034-0j 0.000116854-0j 0.249845-0j 0.0169102-0j 0.0117587-0j 0.000587535-0j -0.00621185-0j -0.00495067-0j -0.000903864-0j -0.635642-0j 0.00833976-0j 0.00234901-0j 0.000389237-0j -0.0052635-0j 8.7036e-05-0j 9.17439e-06-0j -0.00321351-0j 0.0339755-0j 0.00890616-0j 0.00162604-0j -0.221667-0j 0.00159903-0j 0.000271367-0j -0.000338703-0j 0.00458016-0j -7.57363e-05-0j -7.98331e-06-0j 0.00279631-0j -0.0295646-0j -0.0077499-0j -0.00141493-0j 0.192889-0j -0.00139143-0j -0.000236136-0j 
-0.000116854-0j 0.00127492-0j 0.0015428-0j 0.292386-0j 0.0611923-0j -0.000107269-0j 0.000742813-0j 0.00137128-0j -0.0149612-0j -0.00833976-0j -0.583689-0j 0.0187731-0j -7.10646e-05-0j -1.05937e-05-0j 0.000466853-0j 0.000150982-0j 0.000890105-0j -0.00616379-0j -0.00524149-0j 0.0571868-0j 0.0117724-0j -0.244475-0j 0.00292174-0j 6.18384e-05-0j 9.21833e-06-0j -0.000406243-0j -0.00013138-0j -0.000774545-0j 0.00536356-0j 0.004561-0j -0.0497624-0j -0.010244-0j 0.212736-0j -0.00254242-0j 
9.54106e-06-0j 1.74195e-06-0j -0.000211845-0j 0.00280314-0j 0.364153-0j 8.75845e-06-0j 2.06439e-06-0j -0.000188293-0j -3.43774e-05-0j 0.00234901-0j -0.0187731-0j -0.515712-0j 5.8024e-06-0j 8.6497e-07-0j 1.29746e-06-0j 1.36764e-07-0j -0.000122222-0j -2.8808e-05-0j 0.00147634-0j 0.000269541-0j -0.011124-0j 0.0495198-0j -0.288611-0j -5.04909e-06-0j -7.52674e-07-0j -1.12901e-06-0j -1.19008e-07-0j 0.000106354-0j 2.5068e-05-0j -0.00128467-0j -0.000234547-0j 0.00967978-0j -0.0430908-0j 0.251141-0j 
