0.000347035-0.0126358j 0.00834826+0.00210756j -0.00532192+0.00364j -0.00637155-0.00168634j 0.00184999+0.0042173j -0.0005566-0.00351729j -0.000182483+0.00123436j 0.00647162+0.000275325j 0.000665928-0.00392046j 2.42668e-05-0.000640848j -0.0020397+0.00257754j -0.00133927+0.000723964j 0.00262888-0.00414053j -0.00434713+0.00403963j -0.00530349+0.000506105j -0.00200155-0.00378287j -0.00353719+0.00296575j 0.0120138+0.00236286j 0.00228556+0.00187211j 0.000291053+0.00764729j 9.03308e-05+0.000635177j 0.00138746-0.00736288j -0.0037929+0.00572672j 0.00251555+0.00524384j -0.00739683-0.00144624j 0.00258256+0.000769795j 0.00054053-0.00286163j -0.00303574+0.000561661j -0.00448262-0.00138459j -0.0012066+0.000262422j 0.00501146-0.00154084j -0.00191416-0.0031116j -3.61559e-05+0.00932302j -0.00161672-0.00295482j -0.00021353+0.00253831j 0.00188331+0.00146589j 0.00450609+0.00842653j -0.00409735+0.00827942j 0.00100069-0.00361189j -0.00378838+0.00486563j 0.00116717-0.00784039j 0.000779802-0.00171165j 0.000509399+0.000413494j -0.000668924-0.00661077j -0.0013069-0.00163598j -0.000682124-0.00234146j -0.000902379+0.000727543j -0.000716071+0.00182566j -0.00149478-0.00361666j 0.00338475-0.000659509j 0.000314976-0.000804106j 3.54888e-05-0.00167771j 0.000975723+0.0053279j 0.00145319-0.00336689j -0.00174686+0.00295743j -0.00466765-0.00394899j 0.00570138-0.00603418j -0.00087685+0.00296672j 0.00373932-0.00291671j -0.00190408+0.00281651j 0.00144276+0.00427006j -0.000938841+0.00143896j -0.0012749-0.00347741j 0.00189044-0.00324244j 0.00154533-0.00153879j 0.00144055-0.00174394j -0.00300778-0.00199591j -0.00221791+0.00168644j -0.00143245-0.000506987j 0.00193675+0.00164681j -0.000990919-0.00585689j 0.00325423+0.000597052j -0.00153117+0.00106789j 0.00451478-0.000429432j -9.40584e-05+0.000175034j 0.00295769-0.00243576j 0.00189904-0.00329218j 0.000714979+0.00393122j 0.000468539+4.08213e-05j 0.000519777-0.00150201j 0.00012781-0.00314363j -0.001965-0.000377826j -0.00116126+0.00141046j 0.00557288+0.00237186j -0.00167-0.00216452j -0.000286807+0.0071843j 0.00155955+0.00213972j -0.000141343-0.00104057j -0.000921544-0.00090286j 0.00556975-0.0135871j 0.00696547-0.0241468j -0.00320303+0.00269625j 0.00339101-0.00486038j 0.0352906+0.0135139j 0.0178817-0.0252002j 
-0.00180166-0.007271j 0.0027877-0.00012492j 0.00629605+0.00339474j -0.00420702-0.000744502j 0.00575879+0.00573509j 0.00330941-0.00265169j -0.00580961-0.00310326j -0.00297403-0.00082296j -0.0100233-0.0121811j 0.00201936+0.0141789j 0.0011899+0.0145002j -0.0021525-0.00219539j -0.00378496+0.00819939j -0.00246443-0.0139218j -0.00471778-0.00558225j -0.00431488-0.00422314j -0.0038854-0.00991384j -0.00648573-0.0113408j -0.0171643-0.000651211j 0.000827209+0.00827079j -0.00840625+0.00801414j 0.00582885-0.00473803j -0.000129887+0.00196701j 0.00384029-0.00270039j 0.00782159+0.00365648j 0.000212331+0.00105342j 0.000951088+0.00150844j 0.000602241-0.00382286j 0.00207516-0.00522464j 0.00257527-0.00147713j -0.00357737+0.00660572j 0.0047692-0.0119501j -0.00361494-0.00895958j 0.00311209-0.000479107j 0.00448177-0.0129906j -0.000663652-0.0124783j 0.00228101-0.00167315j 0.00278678-0.0139893j 0.0151525-0.000208443j 0.00030996+0.0124097j 0.0032983-0.00362169j -0.00281079-0.00366131j -0.000759955+0.0122021j 0.00665532+0.00248588j -0.00378758-0.00358054j -0.00131954-0.00207425j 0.00419661-0.00198981j 0.00111408-0.0119189j 0.00113301-0.00182606j 0.00373072+0.000313181j -0.00131983+0.000533209j 0.00865304+0.0059931j 0.00467321+0.00373913j 1.00314e-07+0.00363225j 0.00829368-0.0114961j -0.00586836+0.00506701j 0.00107478+0.000163905j 0.00496131-0.00349304j -0.000844759-0.00246022j -0.00856025+0.00149497j 0.000628165+0.000341779j -0.000357514+0.00445556j -0.00341773+0.00300932j 0.00201462+0.0044559j 0.000410709+0.00436166j -0.00544984-0.00929467j 0.00477289+0.00237038j 0.000657406-0.00167446j -0.00518378+0.00300928j 0.00159656-0.00199116j -0.00211812-0.0138845j -0.00286655+0.00333075j -0.0019239+0.0128143j 0.00481939+0.00155312j 0.00758409+0.00768573j 0.0103454+0.00339459j 0.00357189+0.00224525j -0.00138749+0.0079531j -0.007986+0.00208113j -0.00518859+0.0125534j 0.00680123+0.00104631j -0.0117945+0.00741738j 0.00244655-0.00353387j 0.000690031-0.00922154j 0.016277+0.00348287j 0.00292827-0.0126288j 0.0104913+0.00610132j -0.00146105+0.00087455j 0.00346817+0.00360721j 0.000536716+0.0016986j -0.00669384-0.00126153j 0.00118337-0.00236013j -0.012955+0.00201887j -0.000970698+0.00136526j -0.00312397-0.00377249j 
-0.0025168+0.000611132j -0.00401729+0.000737804j -0.00675709+0.00442312j -0.00433599+0.00287265j 0.0083362+0.000493136j -0.00335233-0.0020196j 0.00911638-0.0035297j -0.0014998-0.0105905j -0.00265908+0.00123278j 0.00320878+0.00172486j -0.00181892+0.00269734j 0.0026928-0.00122433j 0.00127046+0.000723109j -0.00680706+7.14685e-05j -0.00925874-0.00311044j 0.00939086-0.00130376j 0.013174+0.00657408j 0.00274786+0.000646531j 0.00448233+0.00181981j 9.26426e-05+0.00142855j -0.00869159+0.0102679j -0.0043774-0.00472124j -0.00581108+0.011013j -0.00135438+0.000290478j 0.00165248+0.000289277j 0.00341757+0.00516648j -0.00274956+0.00537366j 0.00332984-0.00369685j 0.00203203-0.00249293j -0.00125532+0.00844455j -0.00641009-0.00324381j -0.00180094-0.00797777j 0.00318788-0.00958219j -0.000793127+0.00415539j -0.00372149+0.00224749j 0.00251383+0.00259138j 0.0052183+0.0025545j 0.00617982-0.00413482j 0.010552+0.00458607j 0.00829173+0.00597151j 0.00467437-0.000721964j 0.000818011+0.000319816j -0.00203371+0.0151898j 0.00326974-0.00448361j -0.000333169-0.0118167j 0.0102744-0.00725988j -0.00179875-0.000492628j -0.0057678-0.00963107j -0.00233075-0.00945786j 0.0112273-0.00476132j 0.0086373+0.00467034j -0.00485992-0.0210544j 0.0015433+0.00606766j 0.0102108-0.0101339j -0.0138066+0.000521923j -0.00246923-0.00954206j 0.010778-0.00267119j 2.9606e-05-0.0052441j 0.00376586+0.00230365j 0.00479192-0.00342366j 0.0112463-0.000582602j 0.000195257+0.000884721j 0.00385252+0.00229429j 0.00155448-0.0035j 0.00200547-0.00228551j -0.00128807-0.000352187j 0.00167402+0.00129617j -0.0013479-0.000418103j 0.000730525-6.5161e-05j -0.000356515-0.00112664j 0.00295553-0.00151775j 0.000598464-2.63813e-05j 0.00263533+0.0011624j 0.00238156+0.0045088j 0.00207632-0.00184502j 0.00506434-0.00519548j -0.000159942+4.29358e-05j -0.000627763-0.00427247j -0.00409426+0.00109503j -0.000933248-0.000245268j -0.0126261+0.0107314j -0.00304163-0.02368j 0.00219233+0.000743387j -0.000629864-0.0139781j -0.00486163+0.000331226j 0.0114191-0.00430927j -0.0186247-0.00467196j -0.000145629-0.0011889j -0.00154411+0.00171584j 0.00160655+0.00593196j 0.00511204+0.0175679j -0.0151295+0.00469913j -0.00580058+0.00132442j -0.0188045+0.00249215j -0.0101464+0.00500991j 
0.00210756+0.00565502j 0.00803638+0.00381694j 0.00304381+0.00307635j 0.00791644-0.00226798j 0.0135502+0.00865355j 0.0086181-0.00535633j -0.00258969-0.0105884j 0.00365192-0.0106923j -0.0041424+0.00869597j -0.000506584-0.00364876j -0.00244784-0.00511394j -0.00618492-0.00575638j -0.0128177+0.00443031j -0.0146809-0.00566279j 0.00389542+0.00122589j 0.000351078+0.0031474j -0.00621132+0.00710904j 0.0162351+0.0113747j 0.00869661+0.000793964j 0.00173247-0.00889966j -0.00270099-0.009464j 0.00244211-0.0086417j 0.00607609-0.00229248j 0.00359714-0.00384845j 0.000717309+0.00111932j 0.00266858-0.0014378j 0.000337627+0.00303526j -0.00133644+0.00328728j 0.00077989+0.00492219j -0.00198057+0.0112892j -0.00531907+0.00417291j -0.00528607-0.00203544j 0.0037006-0.0136268j -0.0043536+0.000628936j -0.0124713+0.0245843j 0.00515875+0.00181373j -0.00329175-0.00535818j 0.00217045+0.00656085j 0.00341738-0.00406741j -0.00180986-0.00600045j -0.000301528-0.00554771j 0.00273167+0.000563232j 0.00370055+0.00166958j 0.0094224+0.000650272j -0.00130246+0.00849733j -0.00187942-0.00473206j -0.00483733-0.00155749j -0.00552027-0.00734116j 0.00325728-0.00742281j 0.00622562-0.0063932j -0.00211493+0.00101024j 0.000387254-0.00163363j -0.00242389-0.0206271j -0.00163517-0.00148034j 0.00196587+0.0101552j 0.0195628+0.00767604j -0.0140536+0.014201j -0.00182213+0.007423j 0.00329709+0.00233122j -0.000178241+0.008267j -0.00406334+0.00509652j 0.00528539+0.00157952j -0.00552495-0.00397306j 0.00320377-0.0001383j 0.00109714+0.00642363j 0.000550719-0.00478574j -0.00636239+0.0041958j -0.00260205+0.0027508j -0.000342365+0.000715968j -0.00240653+0.000923972j -0.000863598-0.00323651j 0.00034381+0.00204996j -7.72583e-05+0.00750664j 0.00220098+0.00287165j 0.00361331+0.00261826j 0.00516951-0.00795196j 0.00548689-0.0106868j 0.000663171-0.0114323j -0.00341344+0.00801556j -0.00575566-0.017058j -0.0135189+0.0213839j -0.0183617-0.0136424j -0.0086423-0.00347402j -0.0055575-0.00599653j -0.0158501-0.00249686j 8.75546e-05-0.00427072j -0.0187833+0.00828094j -0.00283231-0.00335665j -0.00838169+0.00211272j 0.00493679-6.91125e-05j -0.00989941-0.00339532j -0.00213209-0.00986797j -0.0109246+0.00471538j -0.00179546-0.00129504j 0.0110243-0.00170564j 
-0.00137244+0.00391972j -0.0041087-0.00677702j -0.0126184+0.0053883j -0.00194624-0.0015297j 0.00617065+0.00677311j 0.0108736-0.0010329j -0.0121768-0.0142921j -0.00679787-0.00746874j -0.00182591+0.00175267j 0.00625089+0.00105696j 0.00113102+0.000415645j 0.00150574+0.00224843j 0.00180491-0.000176036j 0.00315865+0.010744j 0.00174647+0.00163999j 0.00305399-0.00248355j -0.0075096+0.00866014j 0.01034+0.00601421j 3.70456e-05-0.00375722j -0.00517038+0.00297188j -0.00201778+0.0066958j -0.00276885+0.0109742j -0.000397641-0.0065827j -0.00384728+0.00161075j 0.00751118+0.00566483j 0.00171926-0.00472345j -0.000775179+0.0076895j 0.00548305-0.00523144j 0.00766601-0.00561367j 0.00365978-0.00453532j 0.00274265-0.011577j -0.00122051+0.000939751j -0.000940127+0.00864807j 0.00435742-0.000923702j 0.00600482+0.00867208j 0.00434728+0.0161093j 0.00279664-0.00713506j -0.00226925+0.0230141j 0.00528026+0.00204338j 0.00373194-0.0158607j 0.000593857-0.00622108j -0.00215641+0.00633218j -0.00293706+0.00814734j 0.000378615-0.00564728j -0.00117465-0.00557514j 0.00516415+0.00492499j -0.000740297-0.0077167j 0.00181557+0.00269223j -0.000714073-0.00211414j -0.0023932+0.00489032j -0.00659374-0.00434774j 0.00273422+0.0117642j 0.00235162+0.0188364j 0.00167907+0.000605558j 0.00265283-0.00739784j -0.0255979-0.00431946j 0.00205001-0.0139632j -0.003188+0.0118303j 0.000179585+0.0116212j 0.0142114-0.00697789j -0.00334103+0.000301371j -0.00967113+0.0044566j 0.0040997-0.00586261j 0.000189548-0.00150331j 0.00369961-0.000665874j -0.00683641-0.00156291j 0.00549025-0.00577709j -0.00176664+0.00221603j -0.00608215-0.00167435j 0.00481342+0.00800023j 0.0012193-0.00916766j 0.00967871-0.00213114j -0.00260271-0.00118565j 0.00652007-0.00149743j -0.00138617+0.00316835j 0.00605566-0.0102919j 0.00890548+0.00511095j 0.00572324+0.00308208j -0.00401209+0.000210295j -0.00570955+0.00756295j 0.00461845-0.0232456j 0.00297447-0.00464935j 0.00702047+0.00241798j 0.0066848-0.00543255j 0.000645238+1.21848e-05j 0.0132428-0.00148955j 0.0131086+0.00788189j 0.00260015+0.00309325j 0.00555354+0.00398496j 0.000811832+0.00203285j 0.0158213+0.008297j -0.00913183-0.00287588j 0.00610914-0.00118961j -0.0076962+0.00222213j 0.0119126+0.00160665j 
-0.00536565+0.011056j -0.0047108-0.00172295j 0.00648987+0.00462128j -0.00501595+0.00222737j 0.00154662+0.00922293j -0.00145513+0.0126319j -0.0073326+0.00536776j -0.00147585+0.00763177j -0.000107124-0.00592271j 0.0108729-0.00063274j 0.00654707+0.00228008j -0.00685433+0.00758024j 0.0014224-0.00291659j 0.00830152+0.00762934j -0.00199681+0.00617618j -0.0105834+0.00465947j -0.0116741-0.0112232j 0.0174244-0.00720521j 0.0169725+0.0099255j 0.00111788-0.00130268j -0.00714994-0.00478409j -0.00684824+0.00711885j -0.00369646-0.0133474j -0.00361072+0.00599813j -0.0009396+0.013511j 0.00163652-0.00796137j -0.00262789+0.00468686j 0.00250682-0.00464536j -0.0101359+0.000353154j 0.00118555-0.0110032j -0.00672503-0.00334013j 0.000740968+0.0109725j 0.00211823+0.00124314j 0.00249432+0.00501777j -0.00759928+0.0086938j -0.0010199-0.000688392j -0.00437774+0.0286421j 0.00183301-0.0060502j 0.00664418-0.00461977j 0.0016919+0.017868j 0.00105878-0.000510797j -0.002359+0.00541562j -0.0073044+0.00623403j 0.00653854-0.00646663j 0.00263381-0.00658142j 0.00594249+0.0076954j 0.00396053+0.00623287j 0.00621629+0.00401106j 0.0045742+0.00300789j -0.0135928-0.00221482j -0.00293017-0.00946705j 0.00441576+0.0169422j -0.00671251+0.0203561j -0.00255305+0.012292j 0.0145755-0.00248407j -0.0110704+0.00171409j 0.00462422+0.00652885j -0.00204582-0.0145591j -0.00199755+0.0102798j -0.00242693-0.00270776j 0.00385515-0.00742768j 0.00347306-0.00516106j 0.0108816+0.00615581j 0.00244516+0.00558871j -0.00248173+0.00142548j -0.000441046+0.00328425j 0.0123434+0.0010348j 0.00488681-0.00153906j 0.00461928+0.00162755j -0.00301275-0.0061095j 0.00668975-0.00109693j -0.00929215+0.00322815j -0.00288068-0.00388109j -0.00116709+0.000127514j -0.0049217-0.01209j -0.00336745+0.0211745j -0.00510138+0.00708689j -0.00580582-0.000164868j -0.00811987+0.0156472j 0.0193034+0.0091175j 0.00382429+0.00136087j 0.00354537-0.00471665j -0.0143224-0.00696137j -0.0143127+0.0044011j 0.0206007-0.00828289j 0.00451354-0.00362495j -0.000202559-0.00206727j 0.00145325+0.00225678j 0.00733725+0.000191139j -0.00762912-0.0021115j 0.00661493-0.00253812j 0.000860124+0.00240646j -0.00361177-0.00233742j -0.00572765+6.50406e-05j -0.00446025+0.0025522j 
0.00312047+0.00236129j -0.00103051-0.000658341j 0.00279997-0.00043298j -0.00202302-0.00503546j -0.0065987+0.00380888j 0.00180744+0.00145568j -0.000233573-0.0078537j 0.00386073-0.00691125j -0.00941931+0.00136491j 0.00154387+0.00345172j 0.0137277-0.000473568j -0.00215657-0.00641241j -0.00134383+0.000489016j 0.00743087-0.000848111j 0.00843419+0.00282923j -0.0190125-0.00797898j -0.0052445+0.00666824j -0.00848038+0.000800135j -0.00294436+0.0018435j -0.0119106+0.00403965j -0.00900482-0.00640877j 0.00182151-0.0032381j -0.000799623+0.0142233j 0.00371904-0.00454673j -0.00244627-0.0155141j -6.37639e-05+0.00347909j -0.00131899-0.00393887j 0.0030914+0.00303279j 0.000650513+0.00946465j 0.00542425-0.0119845j -0.00217556+0.0119267j 0.00286701+0.0117743j 0.0029778-0.00386424j -0.00509389-0.00509914j 0.0024327+0.000383477j -0.000783336-0.00218126j 0.00173253-0.0117781j 0.00320119+0.00360638j -0.00512161+0.00185516j -0.00825167-0.00381102j -0.0102603-0.00634609j 0.00143365-0.00605442j 0.00518823-0.0121438j 0.000466445+0.00382873j 0.00242322+0.0138358j -0.0101996+0.00638411j -0.000612392+0.00848777j 0.00771505-0.00262411j 0.00646369+0.00351216j -0.00791101+0.00754021j -0.000867868-0.00617879j 0.00318561-6.77338e-05j 0.00112592+0.00840387j 0.00263269-0.00182261j 0.00137889-0.00351454j -0.00327915-0.000918875j 0.00739255-0.00299571j 0.00340433-0.00112083j -0.00711677-0.00381916j -0.00103207+0.0065372j -0.00256227+0.00542902j 0.00100587+0.000551646j 0.00789991+0.00981555j -0.011761+0.0025506j 0.00604773+0.00421112j -0.00222366-0.0038235j -0.00404644-0.00711526j -0.0114888+0.0127773j -0.00289147-0.000413751j 0.00381232+0.00982763j 0.00155251+0.00753497j 0.00469655-0.00522042j -0.00791586-0.00726377j 0.000662193-0.00497943j -0.00627713+0.0144122j -0.00852222+0.00936903j 0.00487474-0.0078238j 0.0154257-0.0156272j 0.000950141+0.0132218j -0.0109803-0.00303899j -0.00703678-0.00219835j 0.00518772+0.0160382j -0.0171035-0.0127544j -0.013903-0.000229849j 0.00254071-0.00171323j -0.0106106+0.00416724j 0.00729232-0.00266092j -0.00217173+0.00208548j 0.0024808-0.00225339j 0.00978408+0.00928794j -0.00931413+0.00979125j 0.00669718+0.000963627j 0.0135338+0.000821823j -0.00983592-0.000215099j -0.00262159+0.00136775j 
-0.00371508-0.00201746j 0.00201071+0.00285241j 0.00157621-0.0022703j 0.00487466+0.000778566j -0.00124785-0.00159006j 0.0088713-0.000648491j 0.0032404+0.00345272j 0.00651064-0.00283651j 0.0118413+0.000965294j -0.000653362+0.00370754j -0.0041711+0.00275096j 0.00898725+0.00047548j 0.0103429+0.0153864j 0.0142288-0.00901956j -0.00904051-0.00404759j -0.00502582+0.0076541j -0.0035544-0.00497294j 0.021461+0.00365914j 0.00741775-0.00633961j 0.0106308-0.00569026j 0.00618893+0.00717722j -0.00215327-0.0116583j -0.00427994+0.0180778j -0.00224366-0.00937228j -0.00093162+0.00198009j -0.00271254+0.00372852j -0.00611454+0.00898344j 0.00368707-0.00816644j -0.00983669-0.00793996j 0.00218585-0.0172053j -0.00195281+0.00513172j 0.00590096+0.0046554j 0.00136284-0.00933246j -0.00196476-0.00775514j -0.00297292+0.0224331j 0.00352522-0.00401144j -0.00232514+0.00269822j -0.0027179+0.0151745j -0.0101752-0.00155234j -0.00669494+0.00527855j 0.000489283-0.00683525j -0.00295868+0.00434929j 0.00542958-0.0140674j 0.0044865-0.00294026j 0.00261806+0.00346549j -0.00386022+0.00341942j 0.00336296-0.000848274j -0.00149541-0.00218023j 0.00256701+0.00182465j -0.00551825+0.00137675j -0.000202004-0.00965525j 0.00613014+0.00139911j -0.00134327+0.00366114j 0.00457365-0.00132476j 0.0020671-0.0063198j -0.00652921-0.000240206j 0.00046772-0.00230307j 0.00202957-0.00919634j -0.00485543+0.0143504j -0.00159882+0.00278648j 0.00467782+0.00446173j 0.00627515+0.00431501j 0.0125014+0.0089526j 0.00326316+0.00157615j -0.00314168+0.000952526j 0.000733174+0.00467397j 0.00890881-0.00425605j -0.00415002-0.000979177j 0.00243069-0.00773729j 0.00547199-0.00113135j 0.00390792+0.00199723j 0.00111403-0.00493285j -0.00173359-0.00350687j 0.000587076-0.00146902j -0.00376815+0.000395449j -0.00735597+0.00656159j -0.00398043+0.000692233j -0.00173472+0.000966107j 0.0042806-0.00710175j -0.00198383-0.00241016j 0.00147016+0.00660891j 0.00652157+0.0120253j 0.00293787+0.00141159j 0.00095122+0.00253283j 0.00287597+0.00151469j -0.00476642-0.00368297j 0.00234641+0.00100873j -0.00269986+0.0019398j 0.0010856+0.00140733j 0.00956634+0.000771296j -0.00667203-0.00209115j 0.0097128-0.00299077j -0.00167314-0.000414596j -0.00207897+0.00119467j 0.00322911-0.00195464j 
-0.00127604-0.00202351j 0.00202014+0.00445771j -0.00745401+0.00117608j -0.00548452-3.89807e-05j 0.0063845-0.00551523j -0.00573347-0.0137499j -0.00312878-0.0152886j -0.000815865-0.0147257j 0.00112261+0.0102211j -0.0130379+0.00127547j -0.000960939-0.00503239j 0.00340742-0.00481044j 0.00259406+0.00771095j -0.00211359+0.00186504j 0.000105029-0.00696215j -0.00649507-0.0113119j -0.00935838+0.0149927j -0.00527644+0.00830715j -0.00431127+0.000518254j -0.00239797+0.00522735j 0.00899425-0.00446103j -0.00430018+0.00309291j -0.00196118+0.0150277j -0.00330378+0.00852756j -0.00185327-0.0105524j 0.00488336-0.00328967j 0.000361066+0.00646622j -0.00123851+0.00254007j -0.00262069+0.0198528j 0.00234294+0.00498059j 0.00149691+0.0052537j -0.00369866+0.00772264j -0.000859132-0.00447216j 0.0019343+0.00510046j -0.00269354+0.00238937j 0.0036195+0.00619572j -0.00227139-0.0140815j 0.0018189-0.00668713j 0.00111784+0.00448275j 0.00669691+0.000548334j 0.00157514+0.00496599j -0.000388786+0.0124415j -0.00243012+0.00609414j 0.00499533+0.00571303j -0.00799088-0.0100997j 0.00951196-0.000417887j -0.000452405+0.0126819j 0.00778038-0.00149671j 0.0129167+0.006454j -0.0137393-0.00221421j 0.00416409-0.0132627j -0.00271273+0.00785433j 0.0029586+0.0362219j 0.00629661-0.00917293j 0.000403469-0.00693119j -0.0293664+0.00219246j 0.0151021-0.00269095j 0.00291589-0.0224516j 0.00430545+0.00825217j -0.0112601-0.0142885j 0.00713751-0.00809233j 0.00963494-1.74547e-05j 0.0147585+0.00572801j 0.0032312+0.00916186j -0.0017888+0.00290358j -0.00993849+0.00560079j 0.0293022+0.00331415j 0.00738732-0.0124037j -0.00155308-0.00585821j 0.00146137+0.00661412j 0.0133493-0.00353633j -0.000167514-0.00655239j -0.00404243-0.00405653j -0.00512146+0.00235097j 0.000402766+0.0142048j -0.00583814-0.00314405j 0.00529069-0.0200021j 0.00740504-0.00057926j 0.0173126+0.00466925j -0.00208683-0.0061109j -0.00882923+0.00140584j -0.0107103-0.00499995j -0.00992769+0.0101836j 0.00459183-0.000278309j -0.000535806+0.000913172j 0.00130519-0.00286569j 0.00324313-0.000733639j -0.00153248+0.00251289j 0.00812579+0.00347431j -0.00819793-0.000541856j 0.000968806-0.00431394j -0.0051331+0.00077103j -0.00540816+0.00408561j 0.00384993+0.000416053j 0.00143218+0.000187178j 
0.000337504+0.000457895j -0.000359993+0.000130039j -0.00250675-0.00206095j -0.00223773-0.00430761j -0.00456824-0.00464269j -0.0014945-0.00417835j -0.00984912-0.00252698j -0.00221236+0.00303458j -0.0114653+0.00261098j 0.00674413-5.89868e-05j 3.6714e-05-0.00202702j 0.0165981+0.000671217j -0.00529341-0.00612611j 0.0126512+0.00293191j -0.0188448-0.00509225j -0.00624548-0.00305287j -0.00556777+0.00608581j -0.00865109+0.00637211j -0.00031734-0.00345242j -0.00700145+0.000371758j 0.00109173-0.00293044j -0.00472005+0.00115449j -0.00121514-0.00067733j -0.00212317+0.00655677j -0.00743519-0.00594392j -0.00142759+0.00923407j -0.00482058-0.00283006j -0.00450148+0.00414595j -0.00720034+0.00652446j 0.000697734+0.013616j 0.00197896+0.000362088j 0.000201761-0.0118322j -0.00104714-0.0164319j -0.00319906-0.00986347j 0.00550774+0.00542717j 0.000608648+0.00162109j -0.00319807-0.00954135j 0.00138481+0.00415226j -0.0156274+0.000445219j 0.00642274+0.000857839j 0.00241149+0.00875402j -0.00188825+0.0110403j 0.00468684-0.015159j 0.0108527+0.00262138j 0.00307589+0.00110827j 0.00240311+0.00120051j -0.0098596-0.0119839j -0.00132335+0.000411633j -0.00774064-0.0106775j 0.0063051-0.0195574j -0.0111412+0.00643404j 0.00835477+0.0180341j -0.000942205+0.0114166j -0.00620943-0.000609695j 0.0165327-0.0123197j -0.0135308+0.00208289j 0.00575373-0.00359792j -0.00552195-0.00946383j -0.00138758+0.000394894j -0.00929198+0.00306735j -0.00571346-0.00483816j 0.0129227-0.00427559j 0.0137289+0.0086424j -0.00460783+0.00644931j -0.00380961+0.00695325j -0.000199644+0.00235761j 0.00916044-0.00179742j 0.00046539+0.00814609j 0.00632742-0.0110028j 0.00186796-0.0030672j -0.00705542-0.0065333j 0.00122365+0.00624471j 0.00474634+0.0120956j 0.00806416+0.0019026j 0.00667335-0.00236603j 0.0135704-0.0138731j 0.00923735+0.0212845j -0.00724777-0.00249946j -0.00950866-0.00891431j 0.00138513+0.00855496j -0.000419542+0.00625443j 0.00233085-0.00785085j 0.0213685-0.00673446j -0.0131991-0.00222047j 0.00370657-0.00147066j 0.0102391+0.000422741j -0.00708123+0.000455637j -0.000249104+0.00129871j 0.00249104+0.000312391j -0.00297828+0.000574899j -0.00263367-0.00296688j 0.00203769+0.00330792j 0.00555785+0.00298813j 0.00321038-0.00120167j -0.00263496-0.0001698j 
0.00233807+0.00438577j -0.000572676+0.00936377j -0.00407738+0.00277843j -5.85802e-05+0.00103509j 0.00755107+0.00873702j -0.000143813+0.00645864j -0.00258616+0.00342023j 0.00323836-0.00110458j 0.00128917+0.00200351j 0.00432266-0.00478952j -0.0129745-0.00198967j -0.00326484-0.000181698j 0.00176054+0.00111231j 0.00684129+0.00617763j -0.00187829+0.00154959j 0.0193468+0.00819735j -0.00864918-0.000556455j -0.00320744+0.00359077j -0.0205978+0.00364755j 0.0147646-0.0058947j 0.00139568-0.00602357j 0.00518115+0.00612865j 0.00395061+0.00382405j 0.00475849+0.00978748j 0.00265374-0.0112574j -0.00257076-0.00343527j 0.000844749-0.000616009j 0.00100628+0.00113845j 0.00307802+0.0168998j -0.00156379-0.00172929j -0.00753806-0.000945517j 0.00115176+0.0265538j -0.000617607+0.00569408j 0.00591589+0.00773132j -0.00144591+0.00685727j -0.00116724+0.00198906j -0.000603961+0.00324294j -0.00302821+0.00137241j -0.00392426+0.00513138j -0.0117769+0.00736036j -0.0122259-0.00160236j 0.00683325-0.00666811j -0.00205669-0.00604445j 0.00172662-0.00350542j 0.0036556+0.0172355j -0.000469834+0.00815546j -0.00744385+0.014988j 0.00552429+0.00548856j 0.00975878+0.00219307j -0.0104378+0.00257722j -0.00198484-0.00174774j -0.00438543-0.00343684j -0.00189868+0.00896578j -0.00339733-0.00237812j -0.00252866+0.0107173j 0.00602383+0.00131423j 0.00167885+0.00645542j 0.00652643+0.00204454j 0.00247972-0.00489227j -0.00412134-0.00230706j 0.00843374+0.00100296j -0.00480912-0.0055922j 0.00278197+0.00290267j -0.0121635+0.00236236j 0.00648307-0.0037891j 0.000571554-0.0146637j -0.00437557-0.0025063j -0.00418969+0.0106903j -0.00294891-0.00337852j 0.00114885+0.00750867j 0.00150442+0.000193558j 0.00467465-0.00199329j -0.00916833+7.66219e-05j 0.00616814-0.00666725j -0.00379225+0.00472706j 0.00397943+0.00362406j 0.00139358+0.0160217j -0.00138513-0.00592301j 0.00144125-0.00439282j -0.00302047+0.00777292j 0.00290025+0.0152955j 0.00283973+0.000640846j 0.011419-0.00289151j -0.0192786-0.00236537j 0.00574862-0.00553857j 0.00308002-0.00121122j -0.00931872-0.00142226j -0.00127851+0.00102439j 0.00165271-0.000954589j 0.0054377+0.00193035j -0.00587772-0.00253927j 0.0051225-0.00386259j -0.00187495-0.00200331j -0.000177906+0.00293115j 0.00331698-0.00606567j 
