-0.0044056-0j -0.000778808-0j -6.49007e-05-0j -0.00383076-0j -0.00063846-0j -0.000390975-0j -7.98074e-05-0j -4.7027e-06-0j -0.00240761-0j -0.00243256-0j -0.000388526-0j -0.000392552-0j -0.00031723-0j -0.000320518-0j -4.57882e-05-0j -3.96538e-05-0j -4.62628e-05-0j -4.00647e-05-0j -4.67324e-06-0j -4.72167e-06-0j -2.13303e-07-0j -2.15514e-07-0j -0.00178329-0j -0.0022067-0j -0.00128724-0j -0.000281962-0j -0.00034891-0j -0.000222911-0j -0.000203531-0j -0.000148607-0j -3.21744e-05-0j -0.000275838-0j -0.000183892-0j -3.71518e-05-0j -0.000160905-0j -3.98138e-05-0j -1.31351e-05-0j -0.00010727-0j -3.09598e-06-0j -2.32247e-05-0j -3.28378e-06-0j -4.5973e-05-0j -1.62539e-05-0j -2.68176e-05-0j -3.83108e-06-0j -2.73649e-07-0j -9.48144e-06-0j -4.06348e-06-0j -2.2348e-06-0j -1.01983e-08-0j -3.38623e-07-0j -2.37036e-06-0j -1.26197e-08-0j -1.9753e-07-0j -7.36151e-09-0j 
8.6893e-05-0j 2.02585e-05-0j 0.0230232-0j -5.18424e-07-0j -0.00242041-0j -5.29114e-08-0j -0.000298226-0j -0.0763665-0j -3.25826e-07-0j -3.29203e-07-0j 1.01064e-05-0j 1.02111e-05-0j 6.25682e-06-0j 6.32166e-06-0j 0.0249364-0j 1.03148e-06-0j 0.0251949-0j 1.04217e-06-0j 0.00165781-0j 0.00167499-0j -0.0180837-0j -0.0182711-0j -2.41335e-07-0j -2.98637e-07-0j -1.74205e-07-0j 7.33445e-06-0j 9.07592e-06-0j -3.01669e-08-0j 5.29429e-06-0j 5.88215e-06-0j -0.00012023-0j -3.73297e-08-0j 7.27879e-06-0j -0.000140843-0j -2.17756e-08-0j -0.000148777-0j -1.7776e-09-0j 4.24596e-06-0j -0.160064-0j -8.67864e-05-0j -1.22709e-05-0j -0.000174284-0j -2.19967e-09-0j -0.000101666-0j -0.198069-0j -0.00444375-0j -1.28314e-09-0j -1.51845e-05-0j -0.11554-0j -0.00263056-0j -0.00549885-0j -8.8576e-06-0j -0.00325516-0j -0.00320767-0j -0.00189884-0j 
-7.30216e-07-0j -0.00359318-0j 0.00682662-0j -6.34937e-07-0j 1.52287e-05-0j -0.00119971-0j 0.0350789-0j 0.00204319-0j -3.99054e-07-0j -4.0319e-07-0j 9.26723e-06-0j 9.36327e-06-0j 1.01704e-05-0j 1.02758e-05-0j -0.000104049-0j 0.0175105-0j -0.000105127-0j 0.0176919-0j -0.0950811-0j -0.0960665-0j 0.000234135-0j 0.000236562-0j -2.95574e-07-0j -3.65755e-07-0j -2.13357e-07-0j 6.72544e-06-0j 8.32231e-06-0j 7.14654e-06-0j 4.85468e-06-0j -2.46312e-08-0j -7.31128e-05-0j 8.8434e-06-0j -3.04796e-08-0j -0.000171407-0j 5.15865e-06-0j -9.04725e-05-0j -0.000122182-0j -1.77797e-08-0j 0.000325653-0j -5.27756e-05-0j -0.138147-0j -0.000212105-0j -0.000151192-0j -0.000123728-0j 0.000402975-0j -0.0229972-0j -8.81955e-05-0j -0.170948-0j 0.000235069-0j 2.25059e-05-0j -0.0284576-0j -0.0997197-0j 2.78496e-05-0j -0.0166003-0j 1.62456e-05-0j 
4.71352e-08-0j 0.000192818-0j -0.00459846-0j 4.0985e-08-0j -1.6429e-06-0j -8.09112e-07-0j -0.00379387-0j 0.0315193-0j 2.57588e-08-0j 2.60258e-08-0j -9.99767e-07-0j -1.01013e-06-0j -3.26553e-07-0j -3.29937e-07-0j 2.26232e-05-0j 1.97371e-05-0j 2.28577e-05-0j 1.99416e-05-0j 0.0318581-0j 0.0321883-0j -0.0647057-0j -0.0653762-0j 1.90792e-08-0j 2.36094e-08-0j 1.37721e-08-0j -7.25553e-07-0j -8.97826e-07-0j -2.29461e-07-0j -5.23732e-07-0j 1.58994e-09-0j 1.58968e-05-0j -2.83944e-07-0j 1.96745e-09-0j 9.19806e-06-0j -1.65634e-07-0j 1.96713e-05-0j -4.08445e-08-0j 1.14768e-09-0j -0.000219362-0j 1.1475e-05-0j -0.00031383-0j 1.1382e-05-0j -5.05425e-08-0j 6.63951e-06-0j -0.000271447-0j -0.176466-0j -2.94831e-08-0j -0.000388345-0j -0.000158344-0j -0.0196018-0j -0.218366-0j -0.000226535-0j -0.0242559-0j -0.12738-0j -0.0141493-0j 
-1.48462e-09-0j 8.84753e-08-0j 0.000511186-0j -1.29091e-09-0j 7.25312e-08-0j -1.31753e-10-0j -2.61722e-06-0j -0.00709721-0j -8.11327e-10-0j -8.19735e-10-0j 4.41379e-08-0j 4.45953e-08-0j -1.06902e-10-0j -1.0801e-10-0j -1.50159e-06-0j 4.50481e-09-0j -1.51715e-06-0j 4.55149e-09-0j 3.68085e-05-0j 3.71899e-05-0j 0.0460011-0j 0.0464778-0j -6.0094e-10-0j -7.43625e-10-0j -4.33781e-10-0j 3.20319e-08-0j 3.96374e-08-0j -7.51175e-11-0j 2.31218e-08-0j -5.00783e-11-0j -1.05513e-06-0j -9.29531e-11-0j -6.19687e-11-0j 4.22057e-09-0j -5.42227e-11-0j -1.30566e-06-0j -4.42634e-12-0j -3.61484e-11-0j 2.43853e-05-0j -7.61634e-07-0j -1.07689e-07-0j 5.22269e-09-0j -5.47732e-12-0j 3.04657e-09-0j 3.01753e-05-0j -0.000412985-0j -3.1951e-12-0j -1.33258e-07-0j 1.76022e-05-0j -0.206554-0j -0.000511043-0j -7.7734e-08-0j -0.255597-0j -0.000298108-0j -0.149098-0j 
0.00413769-0j 0.000731447-0j 6.09539e-05-0j 5.12105e-05-0j 8.53508e-06-0j 5.22665e-06-0j 1.06689e-06-0j 6.28668e-08-0j 0.0022612-0j -0.00221959-0j 0.000364899-0j -0.000358185-0j 0.000297939-0j -0.000292457-0j 4.30038e-05-0j 3.72424e-05-0j -4.22125e-05-0j -3.65571e-05-0j 4.38906e-06-0j -4.3083e-06-0j 2.00332e-07-0j -1.96646e-07-0j 0.00167484-0j 2.94998e-05-0j -0.0023663-0j 0.000264816-0j 4.66432e-06-0j 0.000209355-0j -0.000374145-0j 0.00013957-0j 3.02178e-05-0j 3.68747e-06-0j 2.45831e-06-0j 3.48925e-05-0j -0.000295788-0j 5.3224e-07-0j 1.23364e-05-0j -0.000197192-0j 2.90771e-06-0j -4.26933e-05-0j 3.08409e-06-0j 6.14578e-07-0j 2.17286e-07-0j -4.9298e-05-0j 5.12149e-08-0j 2.57008e-07-0j -1.74295e-05-0j 5.43216e-08-0j -4.10817e-06-0j 9.57811e-09-0j 4.5268e-09-0j -4.35737e-06-0j 1.68704e-10-0j -3.63114e-07-0j -1.35325e-08-0j 
-0.00063846-0j 0.00533879-0j 0.00135351-0j -7.90195e-06-0j 6.22971e-05-0j -8.0649e-07-0j 1.57389e-05-0j 1.86455e-06-0j -0.00034891-0j 0.000342491-0j 0.00266338-0j -0.00261437-0j -4.5973e-05-0j 4.51271e-05-0j 0.0006344-0j 0.00027183-0j -0.000622727-0j -0.000266828-0j 9.74609e-05-0j -9.56676e-05-0j 7.43471e-06-0j -7.29791e-06-0j -0.000258434-0j -4.55191e-06-0j 0.000365129-0j 0.00193287-0j 3.40446e-05-0j -3.23042e-05-0j -0.00273087-0j -2.15361e-05-0j 0.000445779-0j -5.68989e-07-0j -3.79326e-07-0j 0.000254678-0j 4.56411e-05-0j 7.85171e-06-0j -1.90354e-06-0j 3.04274e-05-0j 6.45669e-05-0j -0.00062982-0j 4.54971e-05-0j 4.48577e-06-0j -3.3528e-08-0j -0.000359823-0j 1.13725e-06-0j 7.62251e-06-0j 2.68943e-06-0j 8.01362e-07-0j -9.12236e-05-0j 4.2685e-07-0j 1.34259e-07-0j -6.42807e-05-0j 7.51831e-09-0j -1.07695e-05-0j -6.03076e-07-0j 
-0.000487632-0j 0.00829383-0j -7.18349e-06-0j -6.03522e-06-0j -1.00587e-06-0j 0.000119145-0j 1.20973e-05-0j -7.40893e-09-0j -0.000266485-0j 0.000261581-0j -4.30038e-05-0j 4.22125e-05-0j 0.00337831-0j -0.00331615-0j -5.06805e-06-0j 0.000848966-0j 4.97479e-06-0j -0.000833345-0j 4.97672e-05-0j -4.88515e-05-0j -2.36094e-08-0j 2.3175e-08-0j 0.0588326-0j 0.00103625-0j -0.0831217-0j -3.12088e-05-0j -5.49695e-07-0j 0.00237386-0j 4.40935e-05-0j -1.64485e-05-0j -3.5612e-06-0j 4.18119e-05-0j -2.89715e-07-0j 0.000395644-0j -0.00335392-0j -6.27251e-08-0j 0.000422551-0j 2.32393e-05-0j -3.42677e-07-0j 5.03146e-06-0j 7.03041e-05-0j 6.96866e-06-0j 7.44259e-06-0j -0.000558986-0j -6.03573e-09-0j 2.91419e-06-0j -0.000597003-0j 1.2383e-06-0j 4.84152e-07-0j -1.12879e-09-0j 5.1329e-08-0j -9.93293e-05-0j -1.98819e-11-0j -4.11732e-06-0j 1.59482e-09-0j 
7.03836e-05-0j -0.00118953-0j 0.0142152-0j 8.71108e-07-0j -1.38804e-05-0j 8.89071e-08-0j 8.11957e-05-0j 2.95281e-05-0j 3.84638e-05-0j -3.7756e-05-0j -0.000593427-0j 0.000582508-0j 5.06805e-06-0j -4.97479e-06-0j 0.00327282-0j -6.05664e-05-0j -0.0032126-0j 5.9452e-05-0j 0.00102358-0j -0.00100475-0j 0.000157371-0j -0.000154475-0j -0.00849175-0j -0.000149569-0j 0.0119976-0j -0.000430663-0j -7.58547e-06-0j 3.5612e-06-0j 0.000608464-0j 2.37414e-06-0j 0.00229974-0j 6.27251e-08-0j 4.18167e-08-0j -5.67449e-05-0j -5.03146e-06-0j 4.05063e-05-0j 2.09846e-07-0j -3.3543e-06-0j 0.000678112-0j -0.00324919-0j 0.000234716-0j -9.99473e-07-0j 3.69611e-09-0j 8.01721e-05-0j 1.19439e-05-0j 0.000120715-0j -2.96481e-07-0j 4.13416e-06-0j -0.000958073-0j 1.13096e-05-0j 2.12621e-06-0j -0.000331619-0j 1.99202e-07-0j -0.000170552-0j -1.59789e-05-0j 
0.0635647-0j -7.71013e-05-0j -6.42511e-06-0j -5.39806e-06-0j 0.000131119-0j -5.50937e-07-0j -1.1246e-07-0j -6.62675e-09-0j 0.0587916-0j -0.0577098-0j -3.84638e-05-0j 3.7756e-05-0j 0.00457704-0j -0.00449283-0j 0.000660639-0j -3.92569e-06-0j -0.000648484-0j 3.85346e-06-0j -4.62647e-07-0j 4.54135e-07-0j -2.11169e-08-0j 2.07283e-08-0j -0.000176544-0j -3.10955e-06-0j 0.00024943-0j 0.00688526-0j 0.000121273-0j -2.2068e-05-0j -0.00972786-0j 0.00430296-0j -3.18524e-06-0j -3.88693e-07-0j 7.57901e-05-0j 0.000536031-0j 3.11788e-05-0j -5.61031e-08-0j -1.30037e-06-0j -0.00607945-0j 4.46693e-05-0j 4.50027e-06-0j -3.25092e-07-0j 9.44137e-06-0j -2.2904e-08-0j -0.000757333-0j 7.86781e-07-0j -2.7091e-08-0j 1.83723e-06-0j -5.72599e-09-0j -6.31111e-05-0j -1.00962e-09-0j -4.77166e-10-0j 4.59307e-07-0j -1.77829e-11-0j 3.82756e-08-0j 1.42645e-09-0j 
-0.000298612-0j -5.27877e-05-0j -4.39897e-06-0j 0.00145161-0j -6.15967e-07-0j -3.77201e-07-0j -7.69958e-08-0j -4.53702e-09-0j -0.000163188-0j 0.000160185-0j 0.0103434-0j -0.0101531-0j -2.15019e-05-0j 2.11063e-05-0j -3.10353e-06-0j -2.68774e-06-0j 3.04643e-06-0j 2.63828e-06-0j -3.16753e-07-0j 3.10925e-07-0j -1.44577e-08-0j 1.41917e-08-0j -0.000120871-0j -2.12896e-06-0j 0.000170773-0j -1.91114e-05-0j -3.36618e-07-0j 0.00593437-0j 2.70016e-05-0j -1.00726e-05-0j 0.000856553-0j 0.000104525-0j -1.77413e-07-0j -2.51815e-06-0j -0.0083844-0j 1.50869e-05-0j -8.90301e-07-0j 1.42311e-05-0j -2.09846e-07-0j -0.00121018-0j -2.22575e-07-0j -4.43534e-08-0j -1.56813e-08-0j 3.55778e-06-0j -3.69611e-09-0j -1.85479e-08-0j 1.25786e-06-0j -3.92032e-09-0j 2.96481e-07-0j -6.91241e-10-0j -3.26693e-10-0j 3.14466e-07-0j -1.21751e-11-0j 2.62055e-08-0j 9.76621e-10-0j 
7.71013e-05-0j 0.0620311-0j -0.000163452-0j 9.54252e-07-0j -7.52309e-06-0j -1.88385e-05-0j 0.000182869-0j -2.25165e-07-0j -0.010393-0j 0.0102018-0j -0.000321633-0j 0.000315715-0j -0.000534157-0j 0.000524329-0j -7.66111e-05-0j 0.00634958-0j 7.52014e-05-0j -0.00623275-0j 0.00113239-0j -0.00111156-0j -8.97826e-07-0j 8.81306e-07-0j 3.12088e-05-0j 5.49695e-07-0j -4.40935e-05-0j 0.0575744-0j 0.00101409-0j -0.000375341-0j -0.0813442-0j 2.60073e-06-0j -5.38329e-05-0j -6.61105e-06-0j 4.5808e-08-0j 0.00295909-0j 0.000530301-0j -9.48184e-07-0j -6.68112e-05-0j -3.67446e-06-0j -7.7972e-06-0j 7.6058e-05-0j 0.00106275-0j 5.21199e-05-0j -1.17678e-06-0j -0.00418076-0j -1.37336e-07-0j 8.85655e-05-0j 9.43944e-05-0j 1.87187e-05-0j 1.10163e-05-0j -5.1547e-08-0j 1.55994e-06-0j -0.00150151-0j -9.07922e-10-0j -0.00012513-0j 7.28284e-08-0j 
-6.42511e-06-0j 0.000163452-0j 0.0600669-0j -7.9521e-08-0j 1.90728e-06-0j -8.11607e-09-0j -2.27132e-05-0j 0.000255894-0j 0.000866082-0j -0.000850146-0j 8.15416e-05-0j -8.00413e-05-0j -4.62647e-07-0j 4.54135e-07-0j -0.000915517-0j 8.32231e-06-0j 0.000898672-0j -8.16918e-06-0j 0.00432518-0j -0.0042456-0j 0.00206014-0j -0.00202223-0j -2.60073e-06-0j -4.5808e-08-0j 3.67446e-06-0j -0.0145965-0j -0.000257094-0j -3.25092e-07-0j 0.0206227-0j -2.16728e-07-0j -0.000643314-0j -5.72599e-09-0j -3.81733e-09-0j 7.7972e-06-0j 4.59307e-07-0j -1.1331e-05-0j -1.91562e-08-0j 3.06205e-07-0j 0.00286539-0j 0.000908908-0j -6.56579e-05-0j 1.37336e-07-0j -3.37407e-10-0j -1.10163e-05-0j 5.04695e-05-0j 0.00104613-0j 2.70649e-08-0j -1.15646e-06-0j -0.00404838-0j 0.000198028-0j 1.8426e-05-0j 9.2765e-05-0j 3.48795e-06-0j -0.00147803-0j -0.000279784-0j 
-0.0102577-0j -0.000588546-0j -0.00014921-0j -0.000170639-0j 0.00100089-0j 8.89071e-08-0j -1.73505e-06-0j -2.05547e-07-0j 3.84638e-05-0j -3.7756e-05-0j 0.0575142-0j -0.056456-0j -0.000738617-0j 0.000725027-0j 0.0101925-0j -2.99664e-05-0j -0.0100049-0j 2.94151e-05-0j -1.07441e-05-0j 1.05464e-05-0j -8.19599e-07-0j 8.04519e-07-0j 2.84896e-05-0j 5.01801e-07-0j -4.02516e-05-0j -0.000213079-0j -3.75306e-06-0j -0.000697592-0j 0.00030105-0j -0.000694387-0j 0.00962636-0j -1.2287e-05-0j -1.22306e-05-0j 0.00409175-0j 0.000985595-0j 0.000169553-0j 2.09846e-07-0j 0.000981067-0j 0.00103735-0j -0.0136006-0j -5.01558e-06-0j 7.20699e-05-0j 3.69611e-09-0j -0.00578104-0j 1.82714e-05-0j -8.40302e-07-0j -2.96481e-07-0j -8.83418e-08-0j -0.00146563-0j -4.70558e-08-0j -1.48006e-08-0j 7.08628e-06-0j -8.28816e-10-0j 1.18722e-06-0j 6.64829e-08-0j 
