-0.145742-0j 0.69912-0j 0.706365-0j -0.00857713-0j 0.117685-0j -0.0106137-0j -0.0061913-0j 0.145628-0j 0.0849494-0j -0.00606114-0j 0.0503913-0j -0.00707133-0j 0.0127764-0j -0.00433029-0j 0.0587899-0j -0.00618741-0j 0.0360013-0j -0.00255218-0j 0.0149058-0j 0.0514411-0j 0.0091279-0j 0.0212184-0j 0.0130426-0j 0.00537979-0j 
-0.00707133-0j 0.033921-0j 0.0342725-0j 0.000809146-0j -0.0111021-0j -0.00051497-0j -0.000300399-0j 0.00706579-0j 0.00412171-0j 0.0421339-0j 0.00244496-0j -0.0955754-0j 0.000619906-0j 0.0301019-0j -0.00554609-0j 0.0430117-0j 0.00174677-0j 0.0177414-0j -0.00140618-0j 0.0024959-0j 0.000442882-0j 0.00102951-0j 0.00063282-0j 0.000261025-0j 
-0.0594337-0j 0.0031238-0j 0.00278878-0j 0.00180239-0j 0.000260153-0j -0.00432827-0j 0.00497245-0j -0.000624732-0j 0.000717712-0j 0.00127369-0j 0.000225158-0j -0.0028837-0j 1.87632e-05-0j 0.000909965-0j -0.000509771-0j 0.00114887-0j 0.000160861-0j 0.000656229-0j -4.24809e-05-0j 0.000203093-0j 1.3405e-05-0j 0.000116006-0j 1.69244e-05-0j 9.66717e-06-0j 
-0.00433029-0j -0.00044168-0j -0.000446257-0j -0.0947598-0j 7.1519e-05-0j 0.0603086-0j 0.03518-0j -4.55173e-05-0j -2.65518e-05-0j -0.000180089-0j 0.00608827-0j 0.000408509-0j -2.65296e-06-0j -0.000128662-0j -0.0138105-0j -0.000183841-0j 0.00434967-0j -7.58304e-05-0j 6.0179e-06-0j 0.0062151-0j -1.89536e-06-0j 0.0025636-0j -2.70823e-06-0j -1.11709e-06-0j 
0.00017319-0j 0.0403653-0j 0.0407313-0j 0.00051497-0j -0.00706579-0j -1.21289e-05-0j -0.000721378-0j 0.000166418-0j 0.00989787-0j -0.052138-0j -0.00302549-0j -0.00120393-0j -0.000767094-0j 0.10889-0j -6.98622e-05-0j -0.0491568-0j 0.00631874-0j 0.0641235-0j -1.77131e-05-0j -0.0028525-0j 0.00160208-0j 0.00372099-0j -0.000723233-0j 0.000943434-0j 
0.000883916-0j -0.00857041-0j -0.00865923-0j 0.00962081-0j -0.0645656-0j -0.00612304-0j -0.00357177-0j 0.0410919-0j 0.0239703-0j 3.67605e-05-0j 0.0587598-0j -8.33865e-05-0j 0.00734004-0j 2.62629e-05-0j -0.133289-0j 3.75263e-05-0j 0.04198-0j 1.54788e-05-0j -0.01665-0j 0.059984-0j 0.00524398-0j 0.0247421-0j 0.00749296-0j 0.00309069-0j 
0.000106057-0j -0.00052559-0j -0.000530356-0j -0.0603086-0j 4.55173e-05-0j 0.00142043-0j 0.0844813-0j -1.07205e-06-0j -6.37614e-05-0j 0.000222848-0j -0.00753384-0j 5.14584e-06-0j 3.28287e-06-0j -0.00046542-0j -0.000173966-0j 0.000210106-0j 0.0157345-0j -0.000274077-0j 7.58054e-08-0j -0.00710307-0j -6.85628e-06-0j 0.00926573-0j 3.09516e-06-0j -4.03754e-06-0j 
0.00990562-0j 0.0244855-0j 0.0218595-0j -0.000300399-0j 0.00412171-0j 0.000721378-0j -0.000828742-0j -0.00989787-0j 0.011371-0j 0.0304138-0j 0.00176487-0j -0.0688587-0j 0.000447472-0j 0.0217287-0j -0.00399577-0j 0.0274334-0j 0.00126088-0j 0.0156699-0j -0.0010131-0j 0.00159192-0j 0.000319689-0j 0.000909298-0j 0.000403621-0j 0.000230547-0j 
-5.20852e-05-0j 0.00101535-0j 0.00102587-0j 5.95992e-06-0j 0.0234842-0j -3.79311e-06-0j -2.21265e-06-0j -0.0149462-0j -0.0087186-0j -2.16613e-06-0j 7.31842e-05-0j 4.91359e-06-0j 0.0822242-0j -1.54756e-06-0j -0.000166009-0j -2.21126e-06-0j 5.22853e-05-0j -9.12098e-07-0j -0.186515-0j 7.47089e-05-0j 0.0587438-0j 3.08158e-05-0j 0.0839372-0j 0.0346223-0j 
0.00606593-0j -0.000318822-0j -0.000284629-0j 0.03518-0j -2.65518e-05-0j -0.0844813-0j 0.0970548-0j 6.37614e-05-0j -7.32512e-05-0j -0.000129995-0j 0.00439474-0j 0.000294316-0j -1.91501e-06-0j -9.28729e-05-0j -0.00994996-0j -0.000117256-0j 0.00313976-0j -6.69761e-05-0j 4.33569e-06-0j 0.00396407-0j -1.36815e-06-0j 0.00226426-0j -1.72734e-06-0j -9.86652e-07-0j 
-2.16488e-05-0j -0.0101986-0j -0.0102911-0j 0.00612304-0j -0.0410919-0j -0.000144214-0j -0.00857725-0j 0.000967821-0j 0.0575622-0j -4.54888e-05-0j -0.0727116-0j -1.05039e-06-0j -0.00908284-0j 9.50034e-05-0j -0.001679-0j -4.28878e-05-0j 0.151858-0j 5.59457e-05-0j -0.000209734-0j -0.068554-0j 0.0189695-0j 0.0894265-0j -0.0085635-0j 0.0111708-0j 
-0.0012382-0j -0.00618645-0j -0.00552297-0j -0.00357177-0j 0.0239703-0j 0.00857725-0j -0.00985382-0j -0.0575622-0j 0.0661293-0j 2.65351e-05-0j 0.0424151-0j -6.00771e-05-0j 0.00529832-0j 1.89576e-05-0j -0.0960303-0j 2.39348e-05-0j 0.0303028-0j 1.36714e-05-0j -0.0119957-0j 0.0382586-0j 0.00378531-0j 0.0218531-0j 0.00477911-0j 0.00272981-0j 
1.27567e-06-0j 0.00120824-0j 0.0012192-0j 3.79311e-06-0j 0.0149462-0j -8.93377e-08-0j -5.31345e-06-0j -0.000352021-0j -0.0209368-0j 2.68045e-06-0j -9.05608e-05-0j 6.18949e-08-0j -0.101747-0j -5.59813e-06-0j -2.09116e-06-0j 2.52719e-06-0j 0.000189137-0j -3.29663e-06-0j -0.00234947-0j -8.53827e-05-0j 0.212499-0j 0.000111379-0j -0.0959295-0j 0.125137-0j 
7.29618e-05-0j 0.000732915-0j 0.000654312-0j -2.21265e-06-0j -0.0087186-0j 5.31345e-06-0j -6.10426e-06-0j 0.0209368-0j -0.0240529-0j -1.5636e-06-0j 5.28272e-05-0j 3.54008e-06-0j 0.0593526-0j -1.11709e-06-0j -0.000119604-0j -1.41037e-06-0j 3.77415e-05-0j -8.05598e-07-0j -0.134378-0j 4.76503e-05-0j 0.0424035-0j 2.72177e-05-0j 0.0535362-0j 0.0305797-0j 
