-0.00423925-0j -0.000706541-0j -0.000432666-0j -8.83177e-05-0j -5.20417e-06-0j -0.00382859-0j -0.000617835-0j -0.00050446-0j -7.28126e-05-0j -6.30575e-05-0j -7.4314e-06-0j -3.39196e-07-0j 0.711516-0j 0.718889-0j -0.000390508-0j -0.000394555-0j -0.000308724-0j -0.000205816-0j -0.000311923-0j -4.45604e-05-0j -0.000207949-0j -4.50222e-05-0j -5.14539e-05-0j -1.81917e-05-0j -5.19871e-05-0j -4.28783e-06-0j -4.54793e-06-0j -1.83802e-05-0j -4.33226e-06-0j -4.59506e-06-0j -3.78994e-07-0j -3.82922e-07-0j -1.41243e-08-0j -1.42706e-08-0j 
0.0836543-0j 0.010432-0j -4.45884e-05-0j -9.10157e-06-0j -5.36315e-07-0j -7.80921e-06-0j 0.000241308-0j 0.00014742-0j 2.12782e-05-0j -1.28619e-07-0j -1.51579e-08-0j -6.91862e-10-0j -0.000254524-0j 0.000246982-0j -4.02438e-05-0j 3.90513e-05-0j 0.00609213-0j 0.00609889-0j -0.00591161-0j 0.000879324-0j -0.00591817-0j -0.000853267-0j 0.00075971-0j -1.87475e-06-0j -0.000737198-0j 6.33092e-05-0j -4.68687e-07-0j 1.81919e-06-0j -6.14332e-05-0j 4.54798e-07-0j -3.90572e-08-0j 3.78999e-08-0j -1.45558e-09-0j 1.41244e-09-0j 
-0.0147881-0j -0.000605352-0j -0.0015074-0j 0.0145484-0j -1.81198e-05-0j 1.38049e-06-0j 0.0020062-0j -1.7302e-05-0j -2.49574e-06-0j 0.000204498-0j 3.64713e-05-0j -2.92493e-08-0j 4.49939e-05-0j -4.36606e-05-0j -0.00033458-0j 0.000324666-0j 0.10244-0j 3.74949e-06-0j -0.0994044-0j 0.0147766-0j -3.63839e-06-0j -0.0143387-0j 0.00419338-0j -9.52351e-05-0j -0.00406912-0j -1.11774e-05-0j 0.00150622-0j 9.24131e-05-0j 1.08462e-05-0j -0.00146159-0j 0.000125519-0j -0.000121799-0j -7.38951e-08-0j 7.17054e-08-0j 
5.14863e-05-0j 0.116043-0j 5.2548e-06-0j -0.000101965-0j -1.20799e-05-0j 9.20325e-07-0j -6.98477e-06-0j -3.48685e-05-0j 0.000478423-0j -7.1288e-07-0j -2.55614e-07-0j -1.94996e-08-0j 2.99959e-05-0j -2.91071e-05-0j -0.000223053-0j 0.000216444-0j 3.74949e-06-0j 0.102617-0j -3.63839e-06-0j -5.1446e-05-0j -0.0995767-0j 4.99215e-05-0j 0.00845086-0j 2.20941e-07-0j -0.00820045-0j 0.00214266-0j -5.25068e-06-0j -2.14394e-07-0j -0.00207917-0j 5.09509e-06-0j -8.79716e-07-0j 8.53648e-07-0j -4.92634e-08-0j 4.78036e-08-0j 
0.00123234-0j 0.000153483-0j -6.56849e-07-0j -0.00181733-0j 0.020358-0j -1.15041e-07-0j -0.000508659-0j -1.51579e-08-0j -2.96547e-05-0j 2.71119e-07-0j 0.000139273-0j 6.6354e-05-0j -3.74949e-06-0j 3.63839e-06-0j 8.48308e-05-0j -8.2317e-05-0j 8.97456e-05-0j -3.12458e-07-0j -8.70862e-05-0j 0.175577-0j 3.03199e-07-0j -0.170374-0j 1.11774e-05-0j -2.76176e-08-0j -1.08462e-05-0j 0.00406007-0j -9.35837e-05-0j 2.67993e-08-0j -0.00393976-0j 9.08106e-05-0j 0.00148257-0j -0.00143864-0j 0.00028067-0j -0.000272353-0j 
4.45884e-05-0j -0.00106471-0j 0.082346-0j -0.000177649-0j 5.47375e-08-0j 7.97025e-07-0j 1.28619e-07-0j 0.00287742-0j -2.1717e-06-0j 0.000237534-0j -2.9586e-07-0j 7.06128e-11-0j 2.59772e-05-0j -2.52075e-05-0j 4.10736e-06-0j -3.98565e-06-0j -0.000620991-0j -0.000622465-0j 0.000602589-0j 4.68687e-07-0j 0.00060402-0j -4.54798e-07-0j 0.0148284-0j 0.0104968-0j -0.014389-0j -6.46147e-06-0j 0.000865572-0j -0.0101858-0j 6.27e-06-0j -0.000839923-0j -7.62338e-07-0j 7.39748e-07-0j 1.48559e-10-0j -1.44157e-10-0j 
-9.10157e-06-0j -0.0206597-0j 0.000177649-0j 0.0797692-0j -0.000305024-0j -1.62692e-07-0j 2.49574e-06-0j -0.00029214-0j 0.00196056-0j -4.87131e-05-0j 0.000407144-0j -6.58114e-07-0j -5.30258e-06-0j 5.14546e-06-0j 7.96997e-05-0j -7.73381e-05-0j 6.30482e-05-0j 0.00012706-0j -6.11799e-05-0j -0.000423118-0j -0.000123295-0j 0.00041058-0j 0.143114-0j 1.12236e-05-0j -0.138873-0j 0.0178772-0j 0.00825863-0j -1.0891e-05-0j -0.0173475-0j -0.00801391-0j 0.00211295-0j -0.00205034-0j -2.08122e-06-0j 2.01955e-06-0j 
-4.55079e-06-0j 3.56707e-05-0j -0.0254802-0j -0.00258985-0j 1.06772e-06-0j -8.1346e-08-0j 6.17372e-07-0j 3.08003e-06-0j 1.47063e-07-0j 0.00345671-0j -6.49246e-06-0j 1.72353e-09-0j -2.65129e-06-0j 2.57273e-06-0j 1.97153e-05-0j -1.91311e-05-0j 9.52351e-05-0j -2.20941e-07-0j -9.24131e-05-0j 4.54722e-06-0j 2.14394e-07-0j -4.41248e-06-0j -0.000746487-0j 0.100827-0j 0.000724367-0j 6.58637e-07-0j 0.0254602-0j -0.097839-0j -6.3912e-07-0j -0.0247058-0j -2.23443e-05-0j 2.16822e-05-0j 4.35431e-09-0j -4.22528e-09-0j 
5.36315e-07-0j 0.00244758-0j 5.47375e-08-0j 0.000305024-0j 0.0771968-0j 9.58672e-09-0j -2.95673e-07-0j -1.80975e-07-0j -0.000713105-0j -3.0177e-08-0j -4.79483e-05-0j 0.000520048-0j 3.12458e-07-0j -3.03199e-07-0j -9.44211e-06-0j 9.16232e-06-0j 3.90572e-08-0j -7.4871e-06-0j -3.78999e-08-0j 0.000153899-0j 7.26524e-06-0j -0.000149339-0j 0.000178245-0j 2.30147e-09-0j -0.000172963-0j 0.200263-0j 1.57072e-05-0j -2.23327e-09-0j -0.194329-0j -1.52418e-05-0j 0.00562187-0j -0.00545528-0j 0.0033291-0j -0.00323045-0j 
6.56849e-07-0j -1.56648e-05-0j 0.00121307-0j -0.0354716-0j -0.00207778-0j 1.17413e-08-0j -2.71119e-07-0j -2.9586e-07-0j 3.02662e-06-0j -0.000500704-0j 0.0027184-0j -6.77223e-06-0j 3.82681e-07-0j -3.71341e-07-0j -8.658e-06-0j 8.40145e-06-0j -9.14806e-06-0j 3.18901e-08-0j 8.87698e-06-0j 9.35837e-05-0j -3.09451e-08-0j -9.08106e-05-0j 0.000218167-0j 0.000154633-0j -0.000211702-0j -0.000414379-0j 0.172831-0j -0.000150051-0j 0.0004021-0j -0.167709-0j 0.0289376-0j -0.0280801-0j -2.86458e-05-0j 2.77969e-05-0j 
-4.23994e-08-0j 1.68998e-06-0j 8.27574e-07-0j 0.00383634-0j -0.0318702-0j -7.57896e-10-0j 2.92493e-08-0j 9.49891e-09-0j -6.58114e-07-0j -5.70903e-07-0j -0.000911007-0j 0.00184959-0j -2.4702e-08-0j 2.397e-08-0j 9.34057e-07-0j -9.06378e-07-0j 2.93708e-07-0j -2.0585e-09-0j -2.85005e-07-0j -2.0349e-05-0j 1.9975e-09-0j 1.9746e-05-0j -1.17068e-05-0j 5.22847e-08-0j 1.13599e-05-0j 0.000279198-0j 0.000397182-0j -5.07354e-08-0j -0.000270925-0j -0.000385413-0j 0.22077-0j -0.214228-0j 0.0246635-0j -0.0239327-0j 
1.33546e-09-0j -7.461e-08-0j 1.363e-10-0j 2.67699e-06-0j 0.00717709-0j 2.38715e-11-0j -1.29132e-09-0j 3.14535e-12-0j 4.36823e-08-0j -1.31794e-10-0j -1.06471e-06-0j -0.00131549-0j 7.78038e-10-0j -7.54983e-10-0j -4.12372e-08-0j 4.00153e-08-0j 9.72548e-11-0j 6.48365e-11-0j -9.43729e-11-0j 1.35067e-06-0j -6.29153e-11-0j -1.31064e-06-0j -5.43348e-09-0j 5.73079e-12-0j 5.27248e-09-0j -3.10384e-05-0j 1.37852e-07-0j -5.56098e-12-0j 3.01187e-05-0j -1.33767e-07-0j 0.000522672-0j -0.000507184-0j 0.258411-0j -0.250753-0j 
