-0.0831455-0j -0.00843285-0j -0.00852024-0j -0.00483821-0j -0.000698336-0j -0.00598698-0j -0.00349241-0j -0.000864146-0j -0.000504085-0j 0.495473-0j -0.000600989-0j 0.578052-0j -5.00824e-05-0j 0.353983-0j 0.505796-0j -0.000701153-0j -0.000429367-0j 0.20863-0j -5.84294e-05-0j -0.000613509-0j -3.57806e-05-0j -0.00025306-0j -5.11258e-05-0j -2.10883e-05-0j -0.00261691-0j 0.0635647-0j -0.00295611-0j -0.000267087-0j -5.45189e-05-0j -0.00241365-0j -3.21255e-06-0j 0.0718039-0j -0.00243867-0j -0.00211195-0j -0.000301707-0j 0.0586277-0j -0.00174227-0j -6.15856e-05-0j -0.000246342-0j 0.0592352-0j -0.000556663-0j -3.62897e-06-0j -0.000248895-0j 0.0512992-0j -5.02844e-05-0j -0.00021555-0j 0.0423197-0j -5.08055e-05-0j -2.96304e-06-0j -4.39989e-05-0j -0.000177819-0j 0.0135213-0j -2.99374e-06-0j -3.62972e-05-0j -5.68141e-05-0j -2.59266e-06-0j -1.15971e-05-0j -2.13883e-06-0j -6.83368e-07-0j 
-0.00719761-0j -0.0355428-0j 0.0358965-0j 0.000431099-0j -0.00594891-0j -0.000518272-0j 0.000284986-0j 0.00715184-0j -0.00393264-0j 0.000302924-0j -0.00253305-0j -0.00034335-0j -0.000642186-0j 0.000216419-0j -0.000309109-0j 0.00287109-0j -0.0018097-0j 0.000609025-0j 0.000727889-0j 0.00258477-0j -0.0004588-0j -0.00509266-0j 0.0006553-0j -0.00129111-0j -0.0456757-0j -0.00183829-0j 0.0501274-0j 2.37982e-05-0j -0.00046443-0j -0.0421281-0j -5.50198e-05-0j 0.00201745-0j 0.0425474-0j 0.0358127-0j -2.61177e-05-0j -0.00169551-0j -0.0278496-0j 0.000509694-0j 2.19499e-05-0j 0.00171239-0j -0.102767-0j 6.03822e-05-0j -2.21683e-05-0j 0.00144134-0j -0.000428358-0j -1.86594e-05-0j -0.00112085-0j 0.000432622-0j -5.07465e-05-0j 0.000364143-0j 1.45104e-05-0j -0.00413601-0j 5.12516e-05-0j -0.000283174-0j 5.35443e-05-0j 4.31391e-05-0j -0.00104493-0j -3.35469e-05-0j -0.000123791-0j 
-0.00598698-0j 0.000597476-0j -0.000613509-0j 0.0335191-0j -5.02844e-05-0j -0.0408124-0j 0.0241954-0j 6.12257e-05-0j -3.62972e-05-0j 0.0356771-0j 0.00416364-0j 0.0416233-0j -3.60624e-06-0j -0.0756491-0j -0.0358361-0j 0.00485759-0j -0.00882852-0j 0.0150226-0j -4.20728e-06-0j -0.00418221-0j 7.6466e-06-0j 0.0017532-0j 3.62231e-06-0j -1.51849e-06-0j -0.000188433-0j 0.00457704-0j -0.000212858-0j 0.00371998-0j 0.000377706-0j 0.00017101-0j -2.31324e-07-0j 0.00517032-0j -0.000175599-0j 0.00045134-0j 0.00420217-0j -0.00415383-0j 0.000123441-0j 0.000426665-0j -0.00337602-0j 0.0042653-0j -4.00831e-05-0j -2.61308e-07-0j 0.00346661-0j -0.0109631-0j -0.000342782-0j -0.00891021-0j -0.00299839-0j 0.00035198-0j 2.09934e-07-0j -0.000904693-0j -0.00243694-0j 0.000973619-0j -2.15568e-07-0j -0.000247433-0j 0.000791307-0j 5.54072e-07-0j 8.03449e-05-0j 1.51539e-07-0j -4.92067e-08-0j 
-0.00587682-0j 0.000613509-0j -0.000619616-0j -0.0338665-0j 5.08055e-05-0j 0.0407146-0j -0.0223881-0j -6.10789e-05-0j 3.35859e-05-0j -0.0360468-0j -0.00420679-0j 0.0408574-0j 3.64361e-06-0j -0.0257531-0j 0.0367829-0j 0.00476821-0j -0.00300548-0j -0.0724717-0j -4.12986e-06-0j 0.00429269-0j 2.60312e-06-0j -0.00845771-0j -3.71801e-06-0j 7.32544e-06-0j 0.000190386-0j -0.00462448-0j -0.000208941-0j -0.00375853-0j -0.000381621-0j 0.000175599-0j 2.33721e-07-0j 0.00507519-0j -0.000177347-0j -0.000149275-0j 0.00412485-0j -0.0042653-0j 0.000116083-0j 0.000418814-0j -0.00346661-0j 0.00430775-0j 0.000428354-0j -2.565e-07-0j 0.00350112-0j 0.00362589-0j -0.00035198-0j 0.00294693-0j -0.00281965-0j 0.000355484-0j 2.15568e-07-0j 0.000299215-0j -0.00229167-0j -0.0104047-0j -2.17714e-07-0j -0.000232683-0j -0.00845642-0j -1.83252e-07-0j -0.000858618-0j 1.42505e-07-0j 5.25854e-07-0j 
0.000864146-0j 0.00824481-0j -0.00846606-0j 5.02844e-05-0j 0.0324724-0j -6.12257e-05-0j 3.62972e-05-0j -0.039538-0j 0.0234398-0j -0.00514954-0j -0.000597167-0j -0.0060078-0j 0.00713627-0j 0.010919-0j 0.0051725-0j -0.000696695-0j 0.00126622-0j -0.00216833-0j 0.00832564-0j 0.000599829-0j -0.0151316-0j -0.00025145-0j -0.00716808-0j 0.00300488-0j 2.7198e-05-0j 0.0631605-0j 3.07234e-05-0j 2.77588e-06-0j 0.00253511-0j -2.46831e-05-0j 0.000921935-0j 0.0713474-0j 2.53455e-05-0j -6.51454e-05-0j 3.13569e-06-0j -0.0573204-0j -1.78172e-05-0j 0.00286372-0j -2.51921e-06-0j 0.0588586-0j 5.7855e-06-0j 0.00104144-0j 2.58681e-06-0j -0.151284-0j -0.00230071-0j -6.64887e-06-0j -0.0413761-0j 0.00236244-0j -0.000836689-0j -0.00607217-0j -1.81846e-06-0j 0.0134354-0j 0.000859141-0j -0.00166074-0j 5.9048e-07-0j -0.00220824-0j 0.000539264-0j -0.000603954-0j 0.000196112-0j 
0.000748373-0j 0.00353277-0j -0.00362757-0j -0.00842332-0j -0.000600931-0j 0.0102561-0j -0.00608028-0j 0.000731686-0j -0.000433775-0j 3.05999e-05-0j 0.0494936-0j 3.56999e-05-0j -6.48706e-05-0j -6.48836e-05-0j -3.07363e-05-0j 0.0577426-0j -0.104945-0j 1.28848e-05-0j -7.56824e-05-0j -0.0497143-0j 0.000137551-0j 0.0208404-0j 6.51598e-05-0j -2.73152e-05-0j 2.35541e-05-0j -0.000185695-0j 2.66072e-05-0j 0.0445056-0j 0.00907458-0j -2.13762e-05-0j -5.55784e-06-0j -0.000209765-0j 2.19499e-05-0j -5.64175e-05-0j 0.0502744-0j 0.000168525-0j -1.54302e-05-0j 0.0102508-0j -0.0403904-0j -0.000173047-0j 5.01039e-06-0j -6.27825e-06-0j 0.0414743-0j 0.000444782-0j -0.0082355-0j -0.106601-0j 0.000121648-0j 0.0084565-0j 5.04394e-06-0j -0.0217357-0j -0.0291553-0j -3.95007e-05-0j -5.17929e-06-0j -0.0059447-0j 0.00946714-0j 1.33123e-05-0j 0.00193033-0j 3.64091e-06-0j -1.18225e-06-0j 
0.000848246-0j 0.00846606-0j -0.00855033-0j -5.08055e-05-0j -0.0328089-0j 6.10789e-05-0j -3.35859e-05-0j 0.0394432-0j -0.021689-0j 0.00520291-0j 0.000603355-0j -0.00589726-0j -0.00721022-0j 0.00371714-0j -0.00530915-0j -0.000683876-0j 0.000431058-0j 0.0104604-0j 0.00817245-0j -0.000615676-0j -0.00515123-0j 0.00121304-0j 0.00735745-0j -0.0144961-0j -2.74798e-05-0j -0.063815-0j 3.01581e-05-0j -2.80465e-06-0j -0.00256138-0j -2.53455e-05-0j -0.000931489-0j 0.0700346-0j 2.55978e-05-0j 2.1546e-05-0j 3.078e-06-0j -0.0588586-0j -1.67551e-05-0j 0.00281102-0j -2.58681e-06-0j 0.0594444-0j -6.18276e-05-0j 0.00102227-0j 2.61256e-06-0j 0.0500351-0j -0.00236244-0j 2.19903e-06-0j -0.0389095-0j 0.00238596-0j -0.000859141-0j 0.00200829-0j -1.71006e-06-0j -0.143579-0j 0.000867693-0j -0.00156174-0j -6.31025e-06-0j 0.000730348-0j -0.00576292-0j -0.000567951-0j -0.00209578-0j 
0.000734603-0j 0.00362757-0j -0.00366367-0j 0.00851061-0j 0.000607158-0j -0.0102315-0j 0.0056261-0j -0.000729932-0j 0.000401373-0j -3.0917e-05-0j -0.0500065-0j 3.50431e-05-0j 6.55429e-05-0j -2.20882e-05-0j 3.15484e-05-0j 0.0566801-0j -0.0357264-0j -6.21584e-05-0j -7.42899e-05-0j 0.0510276-0j 4.68261e-05-0j -0.100538-0j -6.68812e-05-0j 0.000131773-0j -2.37982e-05-0j 0.00018762-0j 2.61177e-05-0j -0.0449668-0j -0.00916862-0j -2.19499e-05-0j 5.61544e-06-0j -0.000205905-0j 2.21683e-05-0j 1.86594e-05-0j 0.0493494-0j 0.000173047-0j -1.45104e-05-0j 0.0100622-0j -0.0414743-0j -0.00017477-0j -5.35443e-05-0j -6.16273e-06-0j 0.0418871-0j -0.000147106-0j -0.0084565-0j 0.0352569-0j 0.000114396-0j 0.00854067-0j 5.17929e-06-0j 0.00718879-0j -0.0274173-0j 0.00042213-0j -5.23085e-06-0j -0.00559033-0j -0.101172-0j -4.40287e-06-0j -0.0206287-0j 3.42387e-06-0j 1.26343e-05-0j 
-8.81966e-05-0j -0.00126663-0j 0.00130061-0j 0.000493783-0j -0.0101558-0j -0.000601224-0j 0.000356431-0j 0.0123656-0j -0.00733085-0j -3.60624e-06-0j -0.00882676-0j -4.20728e-06-0j 0.0337139-0j 7.6466e-06-0j 3.62231e-06-0j -0.0102979-0j 0.0187161-0j -1.51849e-06-0j 0.0393329-0j 0.00886611-0j -0.0714863-0j -0.0037167-0j -0.0338642-0j 0.014196-0j -2.77588e-06-0j 6.65784e-05-0j -3.13569e-06-0j 5.48005e-05-0j 0.0762844-0j 2.51921e-06-0j 0.00893265-0j 7.52084e-05-0j -2.58681e-06-0j 6.64887e-06-0j 6.19038e-05-0j -6.04223e-05-0j 1.81846e-06-0j 0.0861723-0j -4.97334e-05-0j 6.20437e-05-0j -5.9048e-07-0j 0.0100905-0j 5.1068e-05-0j -0.000159471-0j -0.0692308-0j -0.00013126-0j -4.36151e-05-0j 0.0710886-0j -0.0081067-0j -0.182718-0j -3.58995e-05-0j 1.41624e-05-0j 0.00832424-0j -0.0499734-0j 1.16571e-05-0j -0.0213957-0j 0.016227-0j -0.00585172-0j 0.00190013-0j 
-8.65738e-05-0j -0.00130061-0j 0.00131356-0j -0.0004989-0j 0.0102611-0j 0.000599783-0j -0.000329807-0j -0.0123359-0j 0.00678326-0j 3.64361e-06-0j 0.00891823-0j -4.12986e-06-0j -0.0340633-0j 2.60312e-06-0j -3.71801e-06-0j -0.0101084-0j 0.00637149-0j 7.32544e-06-0j 0.0386091-0j -0.00910034-0j -0.024336-0j 0.01793-0j 0.0347588-0j -0.0684838-0j 2.80465e-06-0j -6.72684e-05-0j -3.078e-06-0j -5.53684e-05-0j -0.0770749-0j 2.58681e-06-0j -0.00902522-0j 7.38245e-05-0j -2.61256e-06-0j -2.19903e-06-0j 6.07648e-05-0j -6.20437e-05-0j 1.71006e-06-0j 0.0845868-0j -5.1068e-05-0j 6.26613e-05-0j 6.31025e-06-0j 0.00990484-0j 5.15763e-05-0j 5.27428e-05-0j -0.0710886-0j 4.34124e-05-0j -4.10152e-05-0j 0.0717961-0j -0.00832424-0j 0.0604317-0j -3.37595e-05-0j -0.000151349-0j 0.00840709-0j -0.0469944-0j -0.000124575-0j 0.00707636-0j -0.173413-0j -0.00550289-0j -0.0203061-0j 
4.0256e-06-0j 9.66233e-05-0j -9.92161e-05-0j 2.34249e-07-0j 0.00156141-0j -2.85218e-07-0j 1.6909e-07-0j -0.00190115-0j 0.00112709-0j 1.64601e-07-0j -6.99837e-06-0j 1.92035e-07-0j -0.0160583-0j -3.49018e-07-0j -1.65335e-07-0j -8.16476e-06-0j 1.48392e-05-0j 6.93091e-08-0j -0.0187347-0j 7.02956e-06-0j 0.0340498-0j -2.94682e-06-0j 0.0161299-0j -0.00676172-0j 1.26701e-07-0j -5.07887e-06-0j 1.43124e-07-0j 1.29314e-08-0j 0.000121899-0j -1.14986e-07-0j 0.0974389-0j -5.7372e-06-0j 1.18071e-07-0j -3.03478e-07-0j 1.46075e-08-0j 4.60926e-06-0j -8.30011e-08-0j 0.000137699-0j -1.17357e-08-0j -4.73295e-06-0j 2.69516e-08-0j 0.110069-0j 1.20506e-08-0j 1.21651e-05-0j -0.000110628-0j -3.09736e-08-0j 3.32714e-06-0j 0.000113596-0j -0.0884293-0j -0.000291975-0j -8.47127e-09-0j -1.08037e-06-0j 0.0908023-0j -7.98552e-05-0j 2.75074e-09-0j -0.233388-0j 2.59301e-05-0j -0.0638317-0j 0.020727-0j 
3.95153e-06-0j 9.92161e-05-0j -0.000100204-0j -2.36676e-07-0j -0.00157759-0j 2.84535e-07-0j -1.56459e-07-0j 0.0018966-0j -0.0010429-0j -1.66307e-07-0j 7.07089e-06-0j 1.88502e-07-0j 0.0162247-0j -1.18816e-07-0j 1.69703e-07-0j -8.01453e-06-0j 5.05169e-06-0j -3.34359e-07-0j -0.01839-0j -7.21528e-06-0j 0.0115915-0j 1.4216e-05-0j -0.0165561-0j 0.0326197-0j -1.28014e-07-0j 5.1315e-06-0j 1.40491e-07-0j -1.30654e-08-0j -0.000123162-0j -1.18071e-07-0j -0.0984487-0j -5.63163e-06-0j 1.19247e-07-0j 1.00371e-07-0j 1.43388e-08-0j 4.73295e-06-0j -7.80533e-08-0j 0.000135166-0j -1.20506e-08-0j -4.78006e-06-0j -2.88022e-07-0j 0.108044-0j 1.21706e-08-0j -4.02343e-06-0j -0.000113596-0j 1.02441e-08-0j 3.1288e-06-0j 0.000114727-0j -0.0908023-0j 9.65671e-05-0j -7.96628e-09-0j 1.15455e-05-0j 0.0917061-0j -7.50949e-05-0j -2.93961e-08-0j 0.0771902-0j -0.000277106-0j -0.0600265-0j -0.221502-0j 
0.0336554-0j 0.00341342-0j 0.00344879-0j -0.0039064-0j -0.000563841-0j 0.00242339-0j 0.00141364-0j 0.000349786-0j 0.000204042-0j 0.00137612-0j 0.000243266-0j -0.00320243-0j 2.02722e-05-0j 0.000983149-0j 0.00140479-0j -0.000566116-0j 0.000173798-0j 0.000579447-0j -4.71763e-05-0j 0.000248334-0j 1.44831e-05-0j 0.000102433-0j 2.06945e-05-0j 8.53605e-06-0j 0.00105926-0j 0.000176544-0j 0.00119656-0j 0.000108111-0j 2.2068e-05-0j -0.0019488-0j 1.30037e-06-0j 0.000199427-0j -0.00196899-0j 0.000854867-0j 0.000122124-0j -0.0003248-0j 0.000705229-0j 2.49284e-05-0j -0.000198898-0j -0.000328166-0j 0.000225324-0j 1.46892e-06-0j -0.00020096-0j 0.000142478-0j -4.06e-05-0j 8.72495e-05-0j 0.000117538-0j -4.10207e-05-0j -2.39238e-06-0j 1.78097e-05-0j 7.19771e-05-0j 3.7554e-05-0j -2.41717e-06-0j 1.46923e-05-0j 2.2997e-05-0j 1.04945e-06-0j 4.69425e-06-0j 8.6575e-07-0j 2.76611e-07-0j 
