-0.208559-0.554601j -0.064355+0.182324j 0.00170634-0.126771j 0.0936866-0.00755518j -0.0497256+0.11507j -0.018214+0.0178508j -0.0173568-0.0136949j -0.0176306+0.0278801j -0.00787874-0.00453614j 0.00489915+0.0914061j -0.00605005-0.0270314j -0.00551483-0.028439j 0.106058+0.0119229j 0.00497759+0.00449669j -0.0330452+0.0879553j -0.0218319-0.012484j -0.00255097-0.0429802j 0.00173726+0.0449695j 0.045817+0.0184621j -0.0214933+0.00086211j -0.00778139-0.0768259j 0.00996399-0.0264183j -0.0137436+0.0409911j 0.0224271+0.011125j -0.00747786-0.0116936j 0.00689687+0.0130982j -0.0130388+0.0146427j 0.00127818-0.0150176j 0.0376374-0.0269561j -0.00531157+0.0179102j -0.016948-0.0174822j -0.00570142+0.00108181j -0.0189777-0.0359479j 0.00525881+0.018168j 0.002248-0.00840612j 0.0333399+0.0119445j -4.74949e-05+0.0350451j 0.00252833+0.0373546j -0.0843998-0.0388848j -0.000139475-0.0587688j 
-0.00239543+0.0668033j -0.0472912-0.0808916j -0.0321742-0.080139j 0.190661+0.138178j 0.324706-0.0842483j 0.0267105-0.111337j -0.0951795-0.206942j -0.196209-0.0589248j -0.130692+0.154255j -0.035435-0.123065j -0.0412829-0.0431344j -0.0129489-0.0224831j 0.0781309+0.0319963j -0.00296381+0.0490365j -0.0142867-0.0779455j 0.0649195-0.0150515j 0.0884715+0.0125414j -0.0207393+0.00285579j 0.0224841+0.0599853j 0.0582935-0.0380478j -0.0310298-0.0273144j -0.00501493-0.0334081j 0.021543-0.0304856j 0.0279081+0.034273j -0.000828583+0.0429649j 0.00201538+0.00483712j 0.0198107-0.0220989j 0.00335388-0.0273259j 0.0351336-0.0124342j -0.0266889-0.0205036j 0.0467944+0.0116206j 0.0131513+0.00308228j -0.00618178+0.0303133j 0.00748971-0.00690375j -0.0209434+0.0173716j 0.0826247+0.00373279j -0.00710373-0.0252944j -0.00361752+0.0238158j -0.0388977-0.018407j 0.0190899+0.0319364j 
0.0101511-0.00739509j -0.0091363-0.127121j -0.0331779-0.17506j 0.193005-0.195883j 0.42018+0.0868471j -0.300551+0.136284j -0.352779+0.138877j -0.0641301-0.272327j -0.168108+0.0299105j -0.0656545-0.0507261j 0.031649+0.0390905j -0.0468083+0.0248948j 0.00701311-0.059837j -0.0182231+0.0181746j 0.0505791-0.0115712j 0.0785908-0.114489j 0.0390936+0.015323j 0.0444692-0.0641585j 0.0206555+0.00368439j 0.0599379-0.00401798j 0.0257966-0.0036774j -0.00501567+0.0194865j -0.0217589+0.00749215j -0.00805946+0.0100392j -0.015297-0.00902136j 0.017165+0.000509365j -0.0135352+0.0080489j -0.00715955+0.00587119j -0.00271028-0.0179684j -0.00545742-0.00253533j 0.0132538+0.0120284j -0.00859959+0.00713293j -0.00727172-0.0135518j 0.00710958+0.02242j -0.0122471+0.0281389j -0.00534517-0.0394989j 0.0183778+0.00285208j -0.000697521-0.0392764j 0.0137821+0.0201772j 0.0100851+0.0370839j 
-0.0412951-0.0331664j -0.00841077+0.0165032j 0.00580993-0.0618412j 0.131021+0.117103j -0.167996-0.262001j -0.119743+0.178905j -0.0558386-0.224272j 0.0464337-0.0406266j 0.084139+0.122595j -0.048096+0.0424744j -0.0847692+0.0116288j -0.027857-0.00511804j 0.0259225-0.00470067j 0.0453776-0.0467598j -0.0667553-0.0237588j 0.0273458+0.0413291j -0.00386467+0.00468265j 0.027792-0.0117814j 0.0142868+0.0549237j -0.0713619-0.0958297j 0.00465873+0.00672792j -0.0683257+0.0103356j -0.0367449-0.0292909j -0.0086265+0.0207734j -0.0267789-0.00314285j -0.0107733-0.0397097j -0.0390832-0.0175006j -0.00694141-0.014876j -0.00339044+0.0215308j -0.0213756+0.0128128j -0.0299635-0.0116553j 0.0148715-0.0180082j 0.00955561-0.0299012j -0.0156174-0.000134021j 0.0149066+0.00333018j 0.0390628-0.00698531j 0.00378635+0.021861j 0.00807889-0.0167731j -0.0435461-0.0255481j 0.0350908-0.00356711j 
-0.00104132-0.00878382j 0.154046+0.0466659j 0.0579249-0.0603824j -0.0779858-0.111625j -0.00498495-0.218975j 0.022094-0.15365j -0.0571402+0.100888j 0.206896+0.101881j -0.190914+0.120734j 0.123504-0.00910375j 0.0098228-0.0315386j -0.0128687+0.043597j 0.0190862+0.109497j 0.0397543-0.0830432j -0.00689013+0.0936942j 0.0741637-0.045693j -0.0525317-0.0397727j 0.0476559+0.00999961j -0.0312232-0.024264j 0.00466835-0.00547181j 0.0979152-0.00333761j 0.0113172+0.00280879j -0.0159237-0.00866802j -0.0455438-0.0109346j -0.0288815+0.0253234j 0.00399419-0.00477411j 0.0102775+0.0189567j 0.0281842+0.00517173j 0.0262541+0.0347892j 0.0129812+0.0324577j -0.00748119-0.0192235j 6.40254e-05-0.02841j 0.0320542+0.0124063j -0.0129904-0.00599481j -0.0121497-0.0345672j -0.0400895+0.0113101j 0.00979005+0.0494913j 0.00403715-0.0657856j 0.0196224-0.0564545j 0.016355-0.0247098j 
0.0279373+0.00136714j -0.111427-0.0684326j -0.0973955-0.200144j -0.0326917-0.0206305j -0.0361471+0.159174j 0.0358452+0.0148792j 0.0415329+0.0406765j -0.167375-0.335434j -0.00774787+0.00830261j -0.0792865-0.150473j -0.0182492-0.00145853j -0.0680305-0.028025j -0.0628858-0.0368587j 0.0496261-0.00974125j -0.0369473-0.0396749j -0.0622423-0.0239349j -0.0142068+0.0769754j -0.024581-0.0716126j 0.0139925-0.00154119j -0.00128+0.0154256j 0.0331282-0.0216911j 0.0360213+0.0137543j -0.0136648+0.0614251j 0.00343237-0.0322951j -0.00434637+0.0212996j -0.00135442-0.00946657j 0.00748724-0.00433892j -0.00798636-0.00105759j -0.00256457-0.00385092j -0.0356246+0.0126616j 0.0117029-0.00343349j 0.00755902-0.00296883j -0.0012581-0.0130217j -0.00426657-0.00154035j 0.0188105+0.00630032j -0.00917442+0.000470934j 0.0216569+0.00368333j -0.0634883-0.0657404j -0.0312038-0.0313445j 0.0524321-0.00406494j 
0.0173762-0.0301567j -0.011343+0.0914011j -0.0547336-0.0682667j 0.042492+0.00250308j -0.108011-0.0151779j -0.00996116+0.15681j -0.0766639-0.105697j 0.022242+0.018153j -0.00230865+0.023342j -0.0841537+0.0844438j -0.0536004+0.0419845j -0.0684604+0.0414435j -0.114543-0.0190163j -0.0536862-0.204719j 0.160045-0.0978699j 0.0770923+0.0114918j -0.0873201-0.00987432j 0.0656476-0.0426091j -0.0429778-0.0354611j -0.00263982+0.0048131j -0.0135607-0.0170675j -0.0252641+0.0082985j -0.00884959+0.0216982j -0.00440039+0.00993686j -0.0379172+0.0244447j -0.0012408-0.00622399j 0.00299842+0.0165199j 0.02565-0.0104242j -0.0268677+0.00768891j 0.0354556+0.0804448j -0.0307344-0.0211063j -0.0174313-0.0199929j -0.0178134+0.00584431j -0.0356271-0.0309084j 0.00948741-0.0373734j -0.0336863-0.0382016j 0.0542257-0.0797381j -0.0505186-0.0352092j 0.0244003+0.0185772j -0.0519014-0.00868975j 
0.00355263-0.00325779j 0.00135011+0.0364893j 0.058892+0.0944884j -0.113113+0.0447882j -0.0949625+0.181906j -0.0819819+0.158724j 0.0204346-0.00755493j -0.0683545+0.236924j 0.131908-0.260514j -0.0409874+0.0985865j -0.0352497-0.0272054j 0.0141124-0.0284147j 0.016198+0.0371757j -0.118225+0.0240576j 0.100938-0.119161j 0.0815291-0.0190884j 0.0235593-0.13285j 0.00110718+0.0437545j -0.0327627+0.0350346j 0.0208533+0.0216658j -0.0361378+0.110871j 0.00749327-0.0109036j 0.00798184+0.00112586j 0.0067865+0.0247253j -0.00442249-0.0535339j 0.00131312-0.00814947j -0.00883661-0.0105307j -0.00833363-0.00765266j 0.0307599-0.00802097j 0.0010848-0.0341258j -0.0218312+0.0211212j -0.0142075+0.0168716j 0.0128622-0.0214096j 0.00197605-0.0240981j -0.0217712+0.0119382j 0.00388842+0.0209724j -0.00347461-0.0251741j 0.0532271+0.0495229j 0.0944588+0.0300385j 0.0535517+0.0712506j 
0.00485172-0.00138502j -0.0175039+0.0445011j -0.0253952+0.0604696j 0.0916437-0.182204j 0.0064545+0.118942j 0.0914855+0.141751j -0.225063+0.122786j 0.0686135-0.000307902j -0.0653372-0.0733879j 0.0899333+0.107457j 0.10129-0.0158043j 0.0426052+0.0311925j -0.132488+0.168226j -0.14009+0.0327476j -0.050516-0.093882j 0.0315683-0.0755311j -0.0397785+0.0861108j -0.0425924-0.0211268j -0.0110835+0.011088j 0.0177458-0.0154882j 0.0246277-0.0548773j 0.0201189+0.0124951j 0.0233493+0.0247391j -0.00107646-0.0544215j 0.00353475+0.019992j -0.00334565-0.0159507j -0.00222506-0.00178441j -0.0310158-0.0327287j -0.0258552+0.0259292j 0.0155315-0.0164821j -0.0243058-0.00786689j 0.00817578+0.0251413j 0.0337319-0.00742137j -0.0170456+0.00488516j -0.00179349+0.00358998j -0.0261599+0.0223662j -0.0423293-0.0543802j -0.0553614+0.0056205j -0.0204241-0.0654205j 0.0332657+0.00373055j 
-0.00824107+0.0339286j 0.0132758-0.0411365j 0.000373752+0.0775077j 0.0411204-0.082654j 0.0333535+0.123579j 0.236939-0.0293406j -0.0621812-0.040752j -0.0897452+0.108482j -0.0517503-0.0878941j -0.0382468+0.040586j 0.00358339+0.0233456j -0.046073+0.123911j 0.0519658+0.0423612j -0.00757468+0.0591361j -0.259741+0.0386118j 0.0320548+0.0658233j 0.0574017-0.0514461j 0.0402103-0.0124301j 0.00074515-0.0579072j -0.0139119+0.0354569j 0.0308718+0.0454108j -0.00533849+0.0293591j -0.0318568+0.0244951j -0.0249576-0.00897561j 0.00498256-0.00830491j 0.00875829+0.0210726j 0.00930708-0.0103017j -0.0101496+0.023163j 0.0321411+0.0163136j -0.0185583-0.00208385j 0.0145564+0.0144694j -0.00670309+0.0399742j 0.0123033-0.0161938j 0.00643228+0.00291042j 0.0223343-0.0040096j 0.0459654-0.00428893j 0.01778+0.0640197j 0.0367861+0.000192684j -0.0339598-0.0113321j 0.0270591-0.00532833j 
0.05619+0.0193338j 0.0258241-0.00890629j -0.0337729-0.0514321j -0.0729174-0.0369071j -0.0132456+0.0176978j -0.0293565+0.0443267j 0.022452-0.0331133j 0.0554174-0.0218054j -0.00740992+0.0934662j -0.193428-0.0730669j -0.0892227-0.226772j 0.0299+0.122284j 0.0671641+0.106027j -0.0366656+0.0883001j -0.00785917-0.0333232j 0.0782129+0.0148231j -0.0615271-0.0280456j 0.101972-0.00892108j 0.0219624-0.0405268j -0.0127986-0.0496435j -0.0268844-0.0165864j -0.0162863-0.0564282j 0.0252247+0.0419145j -0.0109104-0.00880639j 0.0188928+0.0551744j -0.0204009-0.00358072j -0.0176183-0.0180594j -0.00413877+0.000585036j 0.0274456+0.0355163j 0.0329727+0.0481257j -0.0117776+0.00774071j -0.0182968+0.032567j 0.00265618-0.0247544j -0.00869519-0.0232822j 0.00622966+0.0216465j -0.0102601-0.0238638j -0.0188814-0.0381164j -0.0192208+0.0125731j -0.00310929+0.000563398j -0.0152121-0.00189829j 
-0.0134485-0.00889577j 0.0804023-0.0403121j 0.0993305-0.0734012j -0.0552018-0.0316132j -0.12323+0.0942663j -0.0863069+0.066455j 0.0954695+0.194341j 0.00844475-0.0248205j -0.0272031+0.0064329j 0.0587055-0.159085j 0.00542402+0.0132815j -0.0250437-0.153124j 0.0684851+0.144676j -0.166327-0.0108093j 0.134956-0.221696j -0.0893265-0.0505662j 0.130049-0.0865336j 0.0236912+0.059229j 0.00784097+0.0159176j 0.0177836-0.00253188j -0.0433866-0.00420533j 0.000602647-0.000492956j -0.0314284+0.002117j -0.00145381+0.0234001j 0.00221733+0.0106411j -0.00486233-0.0106858j 0.02783+0.000876063j -0.0224241-0.00116033j 0.0163916-0.025077j -0.0445749+0.00992574j -0.00830112+0.00571048j -0.0242418-0.0402553j 0.0223948-0.0314006j 0.0411626-0.0224949j -0.00133003+0.0324202j 0.0629756+0.0421287j 0.0011679-0.044171j 0.0197252+0.0560178j -0.0219598+0.0124199j 0.0132192-0.0141163j 
0.0157226-0.0460641j 0.0185437-0.0482949j 0.0421759-0.0428619j 0.144178+0.0208775j -0.0741212-0.0565369j 0.0646346-0.0355926j 0.0941056-0.100964j -0.10805-0.0186094j -0.0956134+0.0849317j 0.0134604-0.0414775j 0.195906+0.107757j 0.0302887+0.129314j -0.0956094-0.0751575j -0.0594721-0.0185545j -0.0639489+0.126534j -0.0945772+0.159734j 0.139686-0.0606058j 0.00834834+0.0208527j 0.0255203-0.000246731j -0.00140518+0.00722081j 0.0646704-0.0194235j 0.0376427+0.00852501j -0.0125612+0.0324005j 0.0254188-0.00108985j -0.0245399+0.00343381j -0.0323438-0.029863j 0.0298621+9.72011e-05j 0.0188386-0.00932733j -0.0606313+0.0210917j -0.0111623-0.00298264j -0.00728974-0.00769743j -0.0764717-0.0369248j 0.0230244+0.0273689j 0.0465249+0.0278349j -0.0230594-0.0229976j 0.0170582+0.0111286j -0.00718139+0.0561113j 0.000857732-0.0238648j 0.0108227-0.0023558j -0.0413704-0.00361078j 
0.0142877-0.039582j 0.0129052+0.0777999j -0.0255499+0.0965511j 0.104382-0.0871106j 0.110726+0.0150919j -0.0626361-0.0255015j -0.0194269-0.0252431j -0.0400791+0.15392j -0.121977-0.0672399j -0.0362241+0.0849187j -0.138787-0.0444943j 0.126237-0.211436j -0.257557+0.0262005j 0.206731-0.0209972j 0.0965027-0.135253j -0.0560031+0.0454533j -0.0195505+0.0134626j 0.0856149+0.0434396j -0.0148535-0.0504485j 0.00369687+0.0162676j 0.0249633+0.0295881j -0.0304965+0.0119553j -0.00211839-0.0527428j -0.0333663-0.0505646j -0.0308555-0.0109363j -0.0195211+0.000245575j 0.0315414+0.0213951j 0.0101772-0.00298967j -0.0212937+0.0447502j -0.0558855-0.0245531j 0.0241825-0.0157004j 0.022426-0.0456073j 0.0445377+0.0140906j -0.0155118-0.041434j 0.0183091+0.00223649j -0.0107847-0.0135963j 0.0347629-0.0136386j -0.0205432-0.0313118j 0.0070069-0.00274124j 0.0554412+0.0129188j 
-0.00133635-0.00172636j 0.0291732+0.0874591j -0.00914854-0.0259344j 0.00984037-0.0152739j 0.00494653-0.012591j -0.00141258-0.0398386j -0.0152071+0.021587j 0.0407679+0.0631779j -0.00251485-0.0140087j -0.0284136+0.0477483j -0.0365376+0.2944j -0.325313+0.0214305j 0.0235932-0.0762834j -0.0785879-0.212303j -0.245305-0.209842j -0.0833561+0.0148926j -0.025286+0.0345197j 0.0435254-0.0420282j -0.029918-0.0233789j 0.00636693+0.0085897j -0.000998146+0.0502354j -0.0161384+0.0826487j -0.0712272+0.0356654j 0.00254482+0.0235452j 0.00339289+0.0229399j 0.0266735-0.0171226j 0.00693004-0.0343673j -0.00606803+0.00016259j 0.0244805+0.00799985j -0.00393875-0.0231026j 0.0112829+0.0247186j -0.0150841+0.0319426j 0.0122051+0.0114184j -0.0169223+0.0444012j 0.0156441+0.00202792j 0.0237686+0.0414853j -0.00853594-0.0343762j 0.000139473-0.0269835j -0.0185809-0.00625832j 0.0141568+0.04128j 
-0.000774505+0.0361333j -0.00524389-0.0679949j 0.0221881-0.0546461j 0.0490105-0.0826987j -0.0262682+0.0618681j 0.0105561-0.00417552j 0.00719643-0.0561963j -0.0566626-0.177257j -0.070537+0.144971j 0.0177791+0.128424j -0.0781907+0.195935j 0.127682-0.193544j -0.00407149+0.21626j 0.0114176-0.134398j 0.0631862+0.05567j 0.0288544+0.0678799j 0.155951+0.0198336j -0.0672249-0.135705j -0.0713368+0.0210093j -0.0359124+0.0331137j 0.0139687-0.129116j -0.0139272+0.0515713j 0.022887+0.0208214j -0.0119486-0.0220422j 0.0326327+0.0333608j -0.013718-0.00570493j 0.0146458-0.00738943j -0.00175938-0.0354475j -0.00691689+0.0352374j -0.00787547+0.0108032j 0.0104216-0.0260295j 0.00136135-0.0424508j 0.00195099+0.0356499j 0.0358641-0.0161448j 0.0239207-0.0207884j 0.00194664+0.0231175j -0.0736994+0.00608589j 0.00830713-0.0120818j -0.0302216-0.0305959j -0.057225-0.0221071j 
