0.62241+0.0358137j 0.0389821-0.107826j 0.155641+0.0364215j -0.0482721-0.0315844j -0.0469962-0.0419888j -0.0382058-0.0034555j 0.0281688-0.123796j -0.0273368+0.0225663j -0.0604284+0.0049099j 0.0400526-0.0182917j -0.0491779-0.00947134j 0.00544895-0.0156953j 0.0410588+0.0280718j 0.044645-0.00535603j -0.00619639-0.0180672j -0.0137901+0.026887j 0.00960384+0.0204946j -0.00198961-0.0275631j -0.00696944-0.0304446j 0.0248714+0.000992066j -0.00345874-0.0268585j 0.0317551+0.0100429j 0.0184013-0.0454746j -0.0408077-0.00145238j 
0.0955447+0.0390254j -0.126837-0.0856674j 0.0590899-0.0430701j -0.0529175+0.054457j 0.0299495+0.163501j -0.0666758+0.104381j 0.193175+0.20827j -0.188448+0.0391103j 0.128989-0.0126533j 0.0084179-0.0384161j -0.0800909-0.113866j 0.111409+0.0293545j -0.0290585-0.0410259j 0.00870547+0.00209151j 0.00702223-0.0141514j 0.0130399-0.0207513j -0.0060176-0.00618101j 0.0214862+0.0054584j -0.0162902+0.03179j -0.0140244-0.0419128j -0.0229911-0.041949j -0.0696998+0.0719871j 0.0397184-0.0122335j 0.014311-0.0229806j 
0.0162201+0.00449471j -0.183859-0.0932053j 0.00549135-0.20903j -0.0465906-0.0387132j -0.160192-0.00166404j -0.0907531-0.127324j 0.0751248+0.0353163j -0.00626204+0.0240724j 0.0279408-0.35857j -0.0826795-0.0357448j 0.031006+0.00118059j -0.0289945+0.0539063j -0.0546653+0.0268119j 0.00923805-0.00472843j -0.0239545+0.0272998j -0.00994117+0.0126541j -0.00359783+0.0255039j 0.0393647-0.000158077j 0.0204026+0.00153766j -0.00660742+0.0361045j 0.048047+0.0069573j 0.0236717-0.00180252j 0.0593707-0.0368557j 0.00117198-0.0404398j 
-0.0118194+0.00545086j -0.128012-0.0930621j -0.0149575-0.0674693j 0.0321499+0.0559291j -0.0810977+0.0112072j 0.173828+0.173895j -0.0621932+0.025454j 0.11137-0.452189j -0.00508842-0.0355205j -0.076981-0.0885019j -0.0113354-0.0997573j -0.106946+0.0351707j -0.0603602-0.0295209j -0.0166632-0.0277231j -0.0245602-0.0133985j 0.0165938+0.0249561j -0.011699+0.0172932j -0.0173242-0.00774868j -0.0207076+0.0326637j 0.0410599-0.0224252j 0.0600774-0.0245187j -0.0257339-0.00388692j 0.0103609-0.00272442j 0.010481-0.0236143j 
0.0642052-0.0384007j -0.0850446+0.0716716j 0.0550339+0.080627j -0.191768+0.0472255j 0.0842489-0.0218057j 0.27454-0.0673175j 0.00889793+0.0354778j -0.16563-0.00145398j 0.345154+0.111737j 0.110203-0.0878704j -0.03434+0.0712133j -0.0195377+0.0365787j -0.068167+0.0298244j 0.00596085-0.0292369j -0.0159465+0.0355982j 0.000866921+0.0200962j -0.0446934-0.00519941j 0.00137985-0.0543472j -0.019207-0.00755713j -0.0608026+0.0107932j -0.0462384-0.0483154j -0.0440651-0.0231364j -0.0185642-0.0274669j 0.0329427-0.0768349j 
0.0229031-0.0201883j 0.0281728-0.00166202j -0.0345064+0.00487881j -0.11847+0.0831975j -0.0486559-0.132559j -0.183163-0.243463j -0.147754+0.0681402j 0.114887+0.11495j 0.19525-0.237206j -0.0126006-0.171708j 0.133068+0.0215245j -0.0304014+0.0564715j -0.022323+0.055455j 0.0328981+0.0263962j 0.00393673+0.0219657j -0.028012-0.0432641j -0.0159203+0.0306662j 0.0320076+0.046938j 0.000401474-0.0100906j -0.019951+0.0107353j 0.0221909-0.0287104j -0.0168287-0.0243828j -0.00711132-0.0124408j 0.0416862-0.0196018j 
0.0605405-0.0343637j -0.0413557-0.0451501j -0.0356047-0.0330867j 0.208431-0.0357699j -0.0292969-0.0118312j 0.0917732-0.275774j -0.0260988+0.0311728j -0.380304-0.0317208j -0.0384334-0.106506j -0.122121+0.0725574j -0.0853062+0.0754019j 0.0782089+0.0492696j -0.00786953-0.034985j -0.0132152+0.0080581j 0.0152686+0.0042787j 0.0340546+0.0465015j 0.0331645+0.00362053j 0.00760294+0.00634692j 0.0264805+0.0339148j 0.00568701+0.0228144j 0.0211984+0.0676836j -0.022138+0.042091j 0.0272144-0.00642206j -0.00770685+0.0528254j 
0.0053199-0.000137593j -0.0320756+0.0905996j 0.0343934-0.0128347j -0.0295915-0.139399j 0.013817+0.000258698j 0.171793+0.0126789j 0.210003-0.168719j -0.0737497+0.205383j -0.0185657-0.0282429j 0.0865345+0.12814j -0.0268653+0.0851764j 0.073311-0.0163027j -0.0284441+0.0560174j 0.0228083+0.0296595j 0.0110545+0.0387753j 0.0116599-0.0158282j -0.0122114-0.00240951j -0.0178456-0.019874j -0.0104858-0.0308508j -0.0170803+0.0171545j -0.0329605+0.0146436j -0.00174529-0.0304424j 0.00301904-0.012291j -0.0164957-0.0293808j 
0.015866+0.0138978j -0.0497176-0.0630036j -0.0199308+0.0138345j -0.0151775+0.0880988j 0.0935699-0.0576076j 0.268461+0.0116934j 0.0723137-0.190556j 0.0620306-0.119155j 0.0890055-0.234079j -0.0403735-0.122512j -0.0275555+0.00780706j -0.00135467+0.0190095j -0.102154+0.0114143j 0.0390094+0.0106912j -0.011528+0.0293138j -0.0139584+0.0220105j -0.027439+0.0335222j 0.0129982-0.00571299j -0.0163285+0.0261142j -0.0265029+0.0197988j -0.00888418+0.0311222j -0.0194746+0.0131577j -0.0110617-0.0701992j 0.0284983-0.0254372j 
0.00258028+0.0731624j 0.00331958-0.0829721j 0.0185524+0.0264088j 0.117046+0.0857887j 0.0776925+0.0564547j -0.159083+0.239311j 0.228221+0.211256j -0.0105449+0.0675632j 0.0853251-0.0812934j -0.0808583-0.00368969j -0.0341303-0.0801611j 0.059371+0.0128772j -0.0381335-0.0916585j -0.0336242+0.016336j -0.0134672-0.0215649j 0.0298885+0.015217j -0.00992734-0.0132248j -0.0120145-0.0131921j -0.00285265+0.00108141j 0.0201213-0.00119427j -0.0211167+0.0165461j -0.00707119+0.0467275j 0.0142855-0.000241923j 0.020905+0.00776401j 
-0.0613303-0.0238167j 0.193642+0.101467j -0.0840559+0.0935429j -0.152617-0.181476j -0.193502+0.187159j -0.0141637+0.00517198j 0.0619437+0.0676813j -0.0020302-0.0849909j -0.0360778-0.0648684j 0.0390943+0.0745199j 0.18965-0.00960425j -0.0856324+0.0544063j -0.0136612-0.00157042j 0.0123735+0.0218149j -0.0211052-0.00567342j -0.021131+0.00209586j -0.0209091-0.0106916j -0.0096178-0.00298311j -0.00458807-0.00214977j -0.0131919-0.0256045j -0.0378736-0.0564992j -0.00176929+0.0131541j -0.00162888+0.00761964j 0.016404-0.0448369j 
0.00653198-0.0478115j -0.0794439+0.195135j -0.0924622-0.078096j 0.244356-0.133898j -0.191692-0.21129j 0.0609862+0.0638184j 0.0478528+0.0618193j 0.00105948-0.0217841j 0.0134051-0.00666389j -0.108065+0.142359j -0.0623913+0.167531j -0.0232227-0.0664699j 0.0513589-0.0315858j -0.0401226+0.0208331j 0.00643892-0.0149992j -0.0184672-0.00464878j 0.0278097-0.019233j -0.000324462-0.000800303j 0.00114423-0.00297309j 0.011703-0.011525j -0.00894302+0.0298998j -0.00524201-0.0107575j 0.00628996+0.0655088j 0.00405677+0.0275682j 
