0.0338001+0.0362864j 0.0165715-0.113775j -0.00794688-0.029688j -0.0322475+0.0482003j 0.0992577-0.00392927j -0.0078495+0.00977893j 0.0172097+0.00371838j -0.0287277-0.00884173j 0.00796685-0.0112161j -0.015759+0.0331379j -0.0115687-0.0175622j -0.0327215+0.00691086j -0.0171662-0.0124868j 0.0507988-0.00265029j -0.00633363+0.0258717j 0.00958723+0.0456168j -0.0109239-0.0110937j 0.00781854+0.00854736j 0.0148025-0.00948354j -0.000802401-0.0187346j -0.0226589+0.00871974j 0.00689812+0.025959j 0.019413+0.00149521j -0.0172341-0.00927676j -0.000444575-0.00475862j -0.0275746-0.00161393j -0.00741656-0.00511442j -0.0186282+0.0134277j -0.0187925-0.0188671j 0.0111425-0.0188653j 0.0125227+0.00138752j 0.00573628+0.0290749j 0.000786148-0.00889491j 0.019078+0.00895188j -0.0114889+0.0206719j 0.0151407+0.00488183j 
-0.0454232-0.0150697j 0.0061707+0.0649596j -0.0760328-0.0377341j 0.132035-0.0198217j -0.517419+0.000823627j 0.0739453-0.00786541j -0.015084-0.0112682j 0.107001+0.0169204j 0.0539921+0.00208594j -0.00353408-0.00329766j 0.0832812+0.0150294j 0.000305077+0.043773j 0.0196469-0.0216631j 0.0186796-0.0733917j -0.0740353+0.0331804j -0.0452525-0.0315198j 0.0203658-0.00294559j 0.0057605+0.0505636j 0.0322456+0.000501398j 0.0653032-0.0136837j 0.00631618+0.026475j -0.0233918+0.0115755j 0.0112932-0.0178039j 0.0353123-0.00427661j 0.052454-0.0372541j 0.0178209-0.0207513j 0.0493893+0.0312463j 0.00286674-0.0347581j 0.0254436+0.00512393j -0.01735+0.0245278j 0.00436982+0.0162363j -0.0234482+0.0114634j 0.00727267-0.0180092j 0.0135823-0.000836753j -0.0194631+0.0179643j -0.0326044+0.0217854j 
-0.0855564-0.00606275j -0.0801891-0.00417519j 0.0615508-0.0478014j -0.267891-0.0505457j 0.286763+0.0792379j -0.178484-0.0450759j 0.386417+0.0825376j -0.0378702+0.022591j 0.0225728+0.0302191j 0.129537+0.0319187j -0.0771708+0.0191935j 0.064225-0.0120449j -0.0309299+0.0194775j 0.0106788-0.052469j 0.0521986-0.0035257j 0.0652452-0.0584119j -0.0219204-0.0157317j -0.0967698+0.00994549j -0.0480305+0.0608146j -0.0844533-0.0225254j 0.0281911+0.00116195j 0.0116647+0.0305813j 0.0203339+0.00501193j 0.0258295-0.0337552j -0.00118531+0.00544443j 0.0235003+0.000851463j 0.00350755+0.0218521j -0.0320467+0.0135942j -0.00540849+0.0144708j -0.0239405-0.00166276j 0.00316819-0.0366209j 0.0254347-0.0194116j 0.013167-0.0171664j -0.0492411-0.0141007j 0.0201716-0.020662j -0.0641507+0.0222701j 
0.100085-0.0209715j 0.0830698-0.0227306j 0.10343+0.030898j 0.0929755+0.0339961j 0.0998733-0.00588786j -0.00941647-0.0165342j -0.22298+0.016204j -0.0454529-0.0335276j -0.0510288+0.0412578j -0.0316944+0.0468881j -0.00188089+0.0158257j -0.0767817+0.00454775j 0.058495+0.0407076j -0.0246113+0.0556834j 0.0190686-0.0153881j -0.0142679+0.0262514j -0.02452-0.0368381j -0.0555356+0.00883915j 0.0273513-0.0197754j 0.0222132+0.0400772j -0.016908+0.011976j 0.00872215-0.0476807j -0.018134+0.0316587j -0.00753996+0.0279799j -0.0257061-0.00847644j -0.0171414+0.00286056j -0.0405826+0.0380207j 0.022037+0.008301j -0.0126196-0.0123456j 0.00336074-0.016286j -0.000782969-0.022753j -0.0112702-0.0042211j -0.00492947+0.0115635j 0.00599439+0.00673603j -0.0340464+0.00436478j 0.0524371-0.0277609j 
-0.195009+0.0189679j 0.0526855-0.00379976j -0.22944-0.0112384j 0.125204+0.032647j -0.39879+0.0067658j 0.410634-0.00234883j 0.167535+0.00442594j 0.0122344+0.0100761j 0.142452+0.0128034j -0.090732-0.0159235j -0.0425896+0.00883977j 0.0433359-0.0576871j -0.0259778-0.0597174j -0.0698529-0.0207715j -0.100812+0.012853j 0.124231-0.0238327j 0.07234-0.0120048j 0.0134976-0.0630834j -0.0328437+0.0570038j 0.00836664-0.0211155j -0.0193172+0.0366683j 0.00339932+0.0436588j -0.0307362-0.00307681j -0.0366261+0.0249163j 0.0189485-0.00185535j 0.00363767-0.0410143j -0.0126954-0.00375524j -0.0179566+0.00519716j 0.0141535-0.0169067j 0.0245213-0.0183063j 0.0412233-1.90654e-05j 0.0230685+0.00108366j 0.00976436+0.00980446j 0.00660918-0.0178415j 0.0473172-0.0287941j -0.00508186+0.00651317j 
-0.0900482-0.0508621j -0.060661-0.0237597j -0.143325+0.111384j 0.0492533+0.0908296j 0.255815+0.0315398j 0.28098+0.0409783j 0.157118+0.0278795j -0.141527-0.0233202j 0.0853489-0.0226076j -0.0495812-0.0412867j -0.00691474-0.00858726j 0.0947805+0.045226j -0.0394056-0.0250615j 0.0432076+0.144308j -0.11629-0.00603285j -0.111529+0.0454707j 0.046662+0.0116738j -0.101317-0.068049j -0.0754066+0.0310099j -0.00441998-0.00515555j 0.0178567+0.00654649j -0.0407426-0.0160055j 0.0218376+0.012105j -0.0678609-0.0052038j -0.0374478-0.00712581j -0.0139886-0.0256263j -0.00335342-0.0191758j 0.0059022+0.00103546j -0.0326895+0.0115651j 0.0100228-0.00613111j 0.059511-0.0268265j 0.000101723+0.0168811j -0.0072504-0.0414294j -0.0241003-0.0383507j -0.0717238-0.0400847j -0.02136+0.0798007j 
0.00600055-0.0236565j -0.0211255-0.0214194j -0.0491687+0.0566615j -0.223515+0.0642047j -0.345889+0.0383371j -0.279344+0.0172282j 0.314638+0.00175049j 0.160567+0.0207955j -0.0277589-0.0375509j -0.0588834-0.059676j 0.13457+0.0162883j -0.00826753-0.0123814j 0.06276+0.0475614j -0.0257025-0.0532572j 0.137248+0.0472501j 0.265945+0.0644074j -0.0207313-0.00454859j -0.00253998+0.0205227j 0.0399785+0.0533505j -0.0758424-0.0300625j 0.0375731-0.00267453j -0.0227736-9.16248e-05j 0.0164842-0.01568j -0.0355324-0.0355729j 0.00123116-0.0230816j -0.0279325+0.00864409j -0.0027609+0.017332j 0.0166968+0.0140948j 0.0165277-0.0210628j -0.000538838+0.00428746j 0.0466454+0.00883496j -0.00133178+0.00739812j -0.0543979+0.0116613j -0.0728378+0.00719824j 0.0291351-0.0103869j 0.0876054+0.0358609j 
-0.047208+0.0154366j -0.0826703-0.0144767j 0.0703338-0.084009j 0.0377-0.0307477j -0.0647781+0.0162619j -0.0391345-0.00419428j -0.0866803-0.0241936j 0.0242357-0.00396188j 0.018674+0.0221846j 0.0811926+0.0243908j -0.0725535+0.00610691j -0.0488525-0.0559063j -0.0163253-0.00302886j 0.169934+0.0326825j 0.000819793+0.0430138j 0.11064+0.19166j 0.00186757-0.0149929j 0.0645288+0.0922961j 0.0240986+0.011492j 0.0487711-1.06019e-05j -0.0419888-0.00967669j 0.0428714+0.023099j -0.00853799-0.0272852j 0.0566638-0.0228882j -0.00919243-0.0229683j 0.0062789-0.0195049j -0.0280181+0.00169543j 0.0350335-0.030636j -0.0164345+0.00963044j 0.0481527-0.00261322j -0.0407265+0.0357458j -0.016121+0.00369485j -0.101208-0.0549351j 0.0363778+1.91291e-05j 0.0180773+0.0640477j -0.00907932+0.0871776j 
0.0247741-0.00748309j -0.0787564-0.0486271j -0.0204426+0.0995872j -0.0326352+0.00812494j 0.00734044-0.0407419j -0.0692911-0.0450436j 0.0198591+0.0159324j -0.0347619-0.00662173j -0.0686423-0.0121655j -0.0370654-0.0118007j 0.110931-0.0635519j -0.0593882+0.0575077j -0.129585-0.174173j -0.0787814+0.241272j 0.030876-0.0404239j -0.00344572+0.206867j 0.0151416-0.0381916j 0.0323268-0.0334908j -0.0974844+0.0433725j -0.0592348+0.00392816j 0.00877329+0.0109129j 0.0048776-0.0806894j -0.0359604+0.0314423j -0.0378394+0.00980521j 0.0138257-0.00330504j 0.0149896+0.0451028j 0.0105135+0.00991886j -0.0341439+0.00614121j -0.000510121-0.0178092j -0.00303761-0.00836578j -0.00675725-0.0111244j 0.0243393+0.0578288j -0.0521867-0.024482j 0.0181696-0.00380392j -0.00342809+0.0336122j 0.0300625-0.0126815j 
-0.0821774-0.0128081j 0.00269833-0.111588j -0.0128068-0.0527373j 0.00600676+0.0353446j -0.0112353+0.0197025j 0.0364365+0.00225438j 0.0199632-0.0121524j 0.0332799+0.0161977j 0.053737+0.0185387j 0.0859455+0.0630204j -0.048909+0.0995996j -0.0372065-0.0306036j 0.220232+0.159993j -0.133098+0.403377j 0.0451425-0.0269145j 0.0383871+0.0643332j -0.0183645+0.0294205j 0.0342261-0.027163j 0.0362235+0.0516727j 0.0277611+0.110217j -0.0144401-0.0177015j 0.0402162-0.0235426j -0.00024068+0.00461175j 0.0450397+0.00218806j -0.0223529+0.00241664j -0.05166-0.0240108j -0.0195197-0.00174086j 0.0101192+0.020903j 0.0137623-0.0219151j -0.0312092+0.0357932j 0.0234771+0.0622969j -0.0506645-0.0287421j -0.0695096+0.0149502j 0.0163856+0.016707j 0.0155958-0.0194073j 0.0260044+0.0203379j 
0.124083+0.0359658j 0.00941456-0.0138479j 0.127087+0.0499934j 0.0859007-0.00904149j -0.0970937-0.00614782j -0.100605+0.00264624j -0.397486+0.00118049j -0.120928-0.00332165j -0.123949-0.0102829j 0.0154337+0.0161192j -0.121813-0.0445938j -0.0676662-0.0940295j -0.095716-0.0251241j -0.0554353+0.0356761j 0.0463451-0.0379083j 0.19251+0.046983j -0.0635442+0.0176027j 0.0977616-0.0516635j -0.0340233+0.0724465j 0.0415754-0.0450189j -0.00300055+0.0131076j -0.032711+0.0436657j 0.015965-0.0224661j 0.027789-0.00315644j -0.014151+0.00968794j 0.00924622+0.00580172j -0.0242275-0.00267419j 0.0352559+0.00113522j -0.0307475-0.0519731j -0.00650174-0.0134063j -0.027693+0.0271732j 0.0214422+0.00807093j -0.0293837-0.0112573j 0.00843209-0.0787881j 0.0714642-0.0432255j -0.0537436+0.00721637j 
0.00553172+0.0680152j -0.0115498-0.0157765j 0.038769+0.0483181j -0.00835284-0.00568904j 0.033551-0.0025155j 0.0700922-0.0525618j 0.0360422-0.0163266j -0.11455+0.0725815j -0.0282418-0.0146522j 0.0758281+0.0577776j -0.00356479+0.0807443j -0.228234+0.0179588j 0.127476-0.174613j -0.239564-0.363263j -0.05756+0.110385j -0.202474+0.117023j 0.025474-0.0440025j -0.13894+0.0595604j -0.108189+0.113913j -0.0482892-0.0690764j 0.0261348+0.00915918j 0.0514985+0.0421442j -0.0309566-0.0385763j 0.0486086-0.0654193j 0.0249645-0.0276291j 0.0189195+0.0169828j 0.00857134+0.0036416j -0.0868409+0.00768763j 0.0139707+0.0144459j -0.11536-0.0158418j -0.0163961+0.0138039j 0.00579405+0.0249998j 0.0767833-0.0374653j -0.00853228-0.0423231j 0.00918164+0.0385823j -0.00842482+0.0362276j 
-0.0651266+0.0161207j 0.0351929-0.0277518j -0.0270658+0.0914756j 0.00707172-0.0111809j -0.051931-0.0253216j 0.0622542+0.00107075j 0.0867238+0.040533j -0.0178614-0.0634197j -0.0295085-0.000471275j -0.0808063+0.125211j -0.00587711+0.036462j -0.192597-0.0262011j 0.129548+0.0577465j -0.0838781+0.260455j 0.0552779-0.0301011j 0.249264+0.195212j 0.0252233-0.0281983j 0.0375899-0.0837253j 0.00144835+0.000439429j -0.0839222+0.0969041j 0.00924162-0.0189035j 0.0254715-0.0499289j -0.0393001+0.0117696j -0.0310906+0.0327988j 0.00271035-0.0241483j -0.0744652+0.0177882j -0.0542389-0.0135241j 0.0180212+0.0416985j -0.0533772-0.0683201j -0.00558629+0.026028j 0.0092433-0.0283893j 0.0141217-0.00374961j -0.0335312-0.0416895j -0.0207643+0.030251j 0.00242842-0.0177468j 0.0344812-0.0394821j 
0.0221967-0.0572914j -0.0412726+0.00448794j 0.0442969-0.0225792j 0.024368-0.126457j -0.0325732-0.00544973j 0.0306176-0.0603091j 0.0141794+0.00562375j -0.107148-0.0879813j 0.0256653+0.0711453j 0.0181341+0.180057j -0.0422721+0.137403j 0.331596+0.0374363j 0.168256+0.225092j -0.147841-0.0984281j 0.0618559+0.0627747j 0.0564036+0.0410927j -0.0925996-0.0677614j -0.0292096+0.0613699j -0.124094-0.111967j 0.0787782+0.134632j -0.0073633-0.0563051j -0.0921969+0.0479289j 0.0495804-0.0193774j 0.0132959+0.0470826j -0.0364254-0.00386197j -0.0448622-0.0145725j 0.0224326+0.02079j 0.0127675+0.00733352j 0.0325564-0.0111337j -0.0245629-0.00915459j -0.00934337-0.0477569j -0.0588103-0.0684359j -0.0213633+0.0369631j -0.0418555+0.0649939j -0.0215127+0.0386842j 0.00425039-0.0187906j 
0.037993+0.0430408j -0.0739202-0.0513344j -0.0419367-0.0332663j -0.0491181+0.0116648j 0.0120884+0.0260733j -0.020542+0.0164131j 0.0945558+0.00724185j 0.0136925+0.0679396j -0.0122059-0.0579235j -0.0727721-0.0713614j -0.198252+0.111404j 0.183538-0.3477j -0.164004-0.297389j -0.00855451+0.170771j -0.00286811-0.0798566j 0.0423984-0.0380265j -0.00402491+0.0913172j 0.0497332+0.0104549j 0.00340153+0.0481521j -0.0734764-0.0556357j 0.0308609-0.0151752j -0.0208631+0.127748j 0.0289153-0.0806243j 0.0262593-0.0118549j 0.0412333+0.0281055j 0.0703892-0.0407488j 0.00838437+0.00238694j 0.0037309-0.0151625j -0.000765656-0.0363459j 0.0307286-0.0445249j -0.0878079-0.0447524j 0.0758665+0.0298777j 0.027044+0.0120424j 0.00430309+0.0329031j 0.00871998+0.0269838j -0.0239998-0.0105348j 
0.0174564+0.00642757j -0.0155091-0.0183995j -0.00751288-0.0678212j -0.00671741+0.124943j 0.016288-0.0115996j -0.0262641-0.0679607j -0.00499729+0.0398515j -0.0245277-0.0759966j 0.19058-0.0173208j -0.0908842+0.0813763j -0.0379441-0.0744298j -0.119155-0.0454514j -0.0905955-0.113438j 0.251349-0.0065866j 0.0162842+0.187466j -0.0280269+0.193177j -0.080195+0.075924j -0.0243287+0.0489844j 0.0148544+0.0397922j 0.0454002-0.000812129j 0.00854569+0.0323359j 0.00608624+0.0333151j 0.0253926-0.000201053j -0.00112212-0.0318444j 0.0251588-0.00237752j 0.00447704-0.00118177j 0.0201182-0.0189249j 0.00155857+0.00627984j 0.0129971-0.0103941j 0.000829267+0.00666591j 0.00766529-0.00724105j 0.00149447+0.0191605j 0.00572978+0.00191879j 0.00704079-0.0183317j 0.00658303+0.0416501j 0.00202554+0.021326j 
0.0255108-0.0116177j 0.00179123+0.0427734j -0.0340755-0.0548118j 0.0612959+0.0911348j -0.0269803-0.0159409j -0.0499105-0.0449357j 0.0185139+0.0511817j -0.0566438-0.045032j 0.153616-0.0865973j 0.00621478+0.0612073j -0.0598572+0.0236228j -0.0214734+0.0480487j -0.00827637+0.0366135j -0.191016+0.11952j 0.153993+0.0193209j -0.11521-0.187194j -0.0500602+0.139857j -0.0304395-0.0788561j -0.0243803-0.0302352j 0.0123541+0.0450506j 0.0483743+0.0180095j 0.0113648-0.0188199j 0.0202317+0.0294808j -0.0161169+0.0226484j 0.00439537+0.00538179j 0.00959206+0.0173221j -0.00746043+0.00292563j -0.00566941-0.0120494j 0.0132467+0.0194j 0.00180092-0.00668016j -0.0196409+0.0105041j -0.0220243-0.0160711j 0.000283614+0.0158208j 0.00287426+0.027017j -0.0329138-0.0430441j -0.00653139-0.00985449j 
0.0431101+0.012923j -0.00260615+0.0229788j 0.0279285-0.0143916j 0.0540171-0.0213477j -0.024474-0.00439239j -0.00308019+0.00861358j 0.0267867-0.00316737j 0.0471848-0.163087j -0.0136544+0.0532991j -0.0889613+0.0980565j -0.0269711+0.581835j 0.0497202+0.200506j -0.0476211-0.394995j 0.0167684-0.0220745j 0.0144965+0.0105937j 0.00654935+0.0414922j -0.00449202-0.0375594j -0.0521482+0.00104174j 0.0360793-0.1379j -0.0249087+0.142807j 0.0309309-0.0636989j -0.0815459-0.0287876j 0.0132978-0.0339698j -0.101418-0.0994314j -0.0424451-0.0348398j 0.0419784-0.0246325j 0.0205344+0.0677187j -0.00762347+0.0249273j -0.000787716-0.00109145j 0.0109509+0.012938j 0.0449476+0.0327893j 0.00973381-0.0189671j -0.005279-0.0180938j -0.0171623-0.0136803j -0.0236867+0.00223847j 0.0219371-0.0081839j 
-0.0669853+0.0360991j -0.0681214+0.0709761j -0.0968359+0.033538j -0.0897467+0.0660683j 0.134223-0.0400792j -0.0675803+0.0256847j -0.00574724+0.00681472j 0.229998+0.0295647j -0.0030832-0.0260806j -0.0225415+0.29245j 0.201118-0.086681j 0.0882775+0.162325j 0.267288-0.00111081j 0.0223379-0.0922865j -0.00443015-0.0184911j -0.143856+0.0854375j -0.00304393+0.0298475j 0.0882122-0.1162j 0.135479+0.0914199j 0.0285344+0.0668413j -0.027726+0.0235386j -0.013082-0.0842402j 0.0190631+0.00424021j 0.0141956+0.0531984j -0.0589781-0.0386315j -0.0636841+0.0226876j -0.0370566-0.0686072j 0.0528729+0.00662929j 0.0556152-0.0358643j 0.0597349-0.0204977j 0.0834181-0.0170777j -0.0499151+0.0181639j -0.00545131-0.0349994j 0.071238-0.0287917j 0.0160927-0.0062563j 0.030087-0.0295549j 
