-0.452248-0j -0.0460126-0j -0.0464894-0j -0.0264821-0j -0.00382236-0j -0.0327699-0j -0.00472992-0j -0.0191158-0j -0.00275912-0j -0.0186669-0j -0.00329987-0j -0.0217781-0j -0.000274989-0j -0.0133363-0j -0.00384985-0j -0.0190558-0j -0.00235754-0j -0.000320821-0j -0.00786012-0j -0.000196462-0j -0.00336862-0j -0.00138949-0j -0.000280718-0j -0.00011579-0j 0.0573028-0j 0.00955046-0j -0.0162823-0j 0.00584844-0j 0.00119381-0j -0.0132945-0j 7.03458e-05-0j -0.00271372-0j -0.0134322-0j -0.00166181-0j -0.0116326-0j -0.00221574-0j -0.000339215-0j -0.00959644-0j -0.00135686-0j -0.0022387-0j -1.99884e-05-0j -0.00306611-0j -0.000276968-0j -0.00193877-0j -0.00137092-0j -0.00118725-0j -0.000279838-0j -0.00159941-0j -1.63205e-05-0j -0.000242347-0j -0.000979433-0j -0.000511018-0j -1.64896e-05-0j -0.000312933-0j -1.42804e-05-0j -0.000199926-0j -6.38773e-05-0j -1.17807e-05-0j -3.764e-06-0j 
0.0214393-0j 0.505464-0j -0.103915-0j 0.00125541-0j -0.017269-0j -0.00763479-0j 0.105022-0j 0.000906204-0j -0.0124654-0j 0.000884925-0j -0.00737603-0j 0.00103241-0j -0.00187008-0j 0.00789799-0j -0.00860537-0j -0.00443966-0j -0.0658313-0j -0.00218176-0j 0.000372617-0j -0.0166905-0j 0.0370054-0j -0.00310584-0j 0.00938216-0j -0.000787439-0j 0.00068331-0j -0.0053698-0j 0.000771881-0j 6.974e-05-0j -0.00135668-0j -0.00309737-0j -0.000160726-0j -0.00606583-0j 0.000636769-0j 7.87798e-05-0j 0.00688906-0j 0.0243407-0j -0.00153254-0j -0.0022358-0j -0.000316124-0j -0.00500405-0j -0.000181559-0j 0.000145352-0j 0.0061497-0j -0.0541377-0j 6.499e-05-0j 0.000703112-0j -0.00126428-0j 0.01757-0j 0.000728551-0j -0.013678-0j -0.00022819-0j -0.00114225-0j -0.000149778-0j 1.4835e-05-0j -0.00162042-0j 0.00443908-0j -0.000288591-0j 0.000525896-0j -3.41892e-05-0j 
0.0689075-0j 0.169693-0j 0.153937-0j 0.00407347-0j -0.0560333-0j 0.00499304-0j -0.0686826-0j -0.00574754-0j 0.0790613-0j -0.00146005-0j 0.0121698-0j -0.00652568-0j 0.00308548-0j -0.00104311-0j 0.0543929-0j -0.00133821-0j 0.00869455-0j 0.0137905-0j -0.000736041-0j 0.00220437-0j 0.0111543-0j 0.00613505-0j 0.002828-0j 0.00155545-0j -0.0011274-0j 0.00885971-0j 0.00248088-0j -0.000115065-0j 0.00223842-0j 0.00204495-0j 0.000265184-0j -0.019496-0j 0.00185508-0j 0.000253204-0j 0.00177243-0j -0.0160703-0j -0.00492569-0j -0.00288537-0j 0.000208712-0j -0.0145782-0j -0.000583544-0j 0.0030544-0j -0.00406017-0j -0.0139286-0j 0.000189333-0j 0.000180898-0j -0.00368319-0j 0.0226747-0j -0.000481006-0j -0.00351908-0j -0.000294486-0j -0.024003-0j -0.000436345-0j 0.000311738-0j -0.000416904-0j 0.00572878-0j -0.00606439-0j 0.000678685-0j -0.000718445-0j 
0.0362187-0j -0.529712-0j -0.181743-0j -0.00219697-0j 0.0302208-0j -0.0077238-0j 0.106246-0j -0.00142385-0j 0.0195861-0j -0.00154862-0j 0.0129081-0j 0.00174412-0j 0.00327264-0j -0.000982195-0j -0.0145376-0j -0.00464984-0j 0.0081868-0j -0.00368578-0j -0.00308199-0j 0.00207564-0j 0.0387574-0j 0.025689-0j 0.00982635-0j 0.00651305-0j -0.00119579-0j 0.00939714-0j 0.00130398-0j -0.000122045-0j 0.0023742-0j 0.00324595-0j 0.00028127-0j -0.0102474-0j 0.00111368-0j 0.000133087-0j 0.000827038-0j -0.0255084-0j -0.00258901-0j 0.0021037-0j 0.000331289-0j -0.00875184-0j -0.000306718-0j -0.00266735-0j -0.00644471-0j -0.00649928-0j 0.000113664-0j 8.44092e-05-0j -0.00221116-0j -0.016532-0j -0.000763501-0j -0.00164205-0j 0.000214708-0j 0.0209613-0j -0.000261955-0j -0.000272235-0j -0.000194533-0j -0.00417682-0j 0.00529591-0j -0.000494825-0j 0.000627403-0j 
-0.0641411-0j 0.102003-0j -0.501376-0j 0.00128157-0j -0.0176288-0j 0.00451536-0j -0.0621117-0j 0.00110754-0j -0.0152349-0j 0.000903361-0j -0.0075297-0j -0.00308872-0j -0.00190904-0j -0.00189943-0j 0.0257451-0j -0.00423451-0j 0.0158321-0j 0.00652729-0j -0.00529214-0j 0.004014-0j 0.0352955-0j 0.0441111-0j 0.00894863-0j 0.0111837-0j 0.000697546-0j -0.00548167-0j -0.00230928-0j 7.1193e-05-0j -0.00138495-0j -0.000625053-0j -0.000164074-0j 0.0181475-0j 0.00307232-0j -0.00023569-0j 0.00485555-0j 0.00491198-0j 0.00458498-0j -0.000540174-0j -6.37942e-05-0j -0.0241438-0j 0.000543179-0j -0.00276265-0j 0.00124102-0j -0.0381573-0j 0.000313567-0j 0.000495567-0j -0.00609997-0j 0.00424496-0j 0.000147023-0j -0.00964049-0j -5.51313e-05-0j 0.0217103-0j -0.000722659-0j -0.000281962-0j -0.0011421-0j 0.00107249-0j 0.00548513-0j 0.000127058-0j 0.000649821-0j 
0.0279539-0j 0.0273898-0j 0.503034-0j -0.000334328-0j 0.0045989-0j 0.00202554-0j -0.0278627-0j 0.0105341-0j -0.144903-0j -0.000235664-0j 0.00196431-0j 0.00134613-0j 0.00049802-0j -0.000168366-0j -0.0112202-0j -0.00437299-0j 0.00140337-0j -0.00284472-0j -0.00312021-0j 0.000355803-0j 0.0364498-0j 0.0260076-0j 0.00924129-0j 0.00659383-0j -0.000181972-0j 0.00143003-0j 0.00100643-0j -1.85724e-05-0j 0.000361298-0j -0.000167838-0j 4.28028e-05-0j -0.00790901-0j -0.00308248-0j 0.000102718-0j 0.000719026-0j 0.00131896-0j -0.00199822-0j 0.00528828-0j -1.71299e-05-0j 0.0242236-0j -0.000236728-0j -0.00546646-0j 0.000333236-0j -0.00565047-0j -0.000314604-0j 7.33853e-05-0j 0.00612013-0j -0.041558-0j 3.94783e-05-0j -0.0014276-0j 0.000539733-0j 0.0429582-0j 0.000725048-0j -0.000557918-0j -0.000169127-0j -0.0104997-0j 0.0108534-0j -0.00124389-0j 0.0012858-0j 
0.0387658-0j 0.0039441-0j 0.00398498-0j -0.217022-0j 0.000327644-0j -0.268551-0j 0.000405439-0j -0.156655-0j 0.000236506-0j 0.00160009-0j -0.0270427-0j 0.00186677-0j 2.35715e-05-0j 0.00114316-0j -0.0315498-0j 0.00163342-0j -0.0193202-0j 2.75001e-05-0j 0.000673753-0j 1.68403e-05-0j -0.0276061-0j -0.0113869-0j 2.40626e-05-0j 9.92532e-06-0j 0.00123554-0j 0.000205923-0j 0.00139569-0j -0.024238-0j -0.00246091-0j 0.00113957-0j 1.51676e-06-0j 0.000232614-0j 0.00115138-0j -0.0273797-0j 0.000997126-0j 0.000189929-0j -0.00277989-0j 0.000822587-0j -0.0223554-0j 0.000191897-0j 1.71337e-06-0j 0.000262821-0j -0.00226977-0j 0.000166188-0j -0.0225871-0j -0.019561-0j -0.00229329-0j 0.000137098-0j 1.39896e-06-0j -0.00198605-0j -0.016137-0j 4.38034e-05-0j 1.41345e-06-0j -0.00515585-0j 1.22409e-06-0j -0.00163841-0j -0.000523479-0j 1.00982e-06-0j 3.22643e-07-0j 
-0.00559536-0j 0.0542538-0j 0.054816-0j -0.000327644-0j -0.210231-0j -0.000405439-0j -0.260148-0j -0.000236506-0j -0.151753-0j -0.000230953-0j 0.00389091-0j -0.000269445-0j -0.0463497-0j -0.000165001-0j 0.00453939-0j -0.000235764-0j 0.0027798-0j -0.0540747-0j -9.72478e-05-0j -0.0331138-0j 0.00397197-0j 0.00163835-0j -0.0473153-0j -0.0195166-0j -0.000178334-0j 0.0028326-0j -0.00020145-0j -1.82012e-05-0j -0.0165161-0j -0.000164483-0j -0.0060069-0j 0.00319976-0j -0.000166188-0j -2.05604e-05-0j -0.000143923-0j 0.0026126-0j -0.0186569-0j -0.00011873-0j -1.67875e-05-0j 0.00263967-0j -0.00678552-0j -3.79349e-05-0j -0.0152333-0j 0.00228602-0j -1.69615e-05-0j -1.46891e-05-0j -0.0153912-0j 0.00188587-0j -0.00554035-0j -0.0133292-0j -1.21179e-05-0j 0.000602545-0j -0.00559776-0j -3.87171e-06-0j -0.00484781-0j -0.010996-0j -0.00351328-0j -0.00399924-0j -0.00127778-0j 
-0.000732982-0j -0.00430427-0j 0.00419818-0j 0.23684-0j -0.000357564-0j 0.00507777-0j -7.66604e-06-0j -0.333034-0j 0.000502791-0j -0.0017462-0j 0.0295121-0j -3.52969e-05-0j -2.5724e-05-0j -0.00124755-0j 0.000596543-0j 0.00172081-0j 0.0210845-0j -5.19972e-07-0j 0.00215488-0j -1.83781e-05-0j -0.029083-0j -0.036419-0j 2.535e-05-0j 3.17443e-05-0j -0.00134836-0j -0.000224727-0j -2.63896e-05-0j 0.0264513-0j 0.00268563-0j -0.00124363-0j -1.65527e-06-0j -4.39827e-06-0j 0.00121298-0j 0.000517695-0j -1.88536e-05-0j -0.000207272-0j 5.25621e-05-0j 0.00174875-0j 0.0243968-0j 0.000202164-0j -3.23963e-08-0j 0.00112243-0j 0.00247704-0j -3.14227e-06-0j -0.0237955-0j 0.000369859-0j -0.00241598-0j 0.000291458-0j -1.52671e-06-0j 3.75522e-05-0j -0.0343058-0j 0.000187072-0j 1.48908e-06-0j -0.0220192-0j -2.3145e-08-0j -0.0034831-0j -0.00223563-0j 2.14679e-06-0j 1.37792e-06-0j 
0.000105797-0j -0.0592081-0j 0.0577487-0j 0.000357564-0j 0.229429-0j 7.66604e-06-0j 0.00491887-0j -0.000502791-0j -0.322613-0j 0.000252043-0j -0.00424621-0j 5.09466e-06-0j 0.0505822-0j 0.000180068-0j -8.58307e-05-0j -0.000248378-0j -0.00303364-0j 0.00102244-0j -0.00031103-0j 0.0361377-0j 0.00418447-0j 0.00523997-0j -0.0498467-0j -0.0624202-0j 0.000194619-0j -0.00309127-0j 3.80901e-06-0j 1.98632e-05-0j 0.0180243-0j 0.000179503-0j 0.00655543-0j -6.05011e-05-0j -0.000175079-0j 3.88756e-07-0j 2.72129e-06-0j -0.00285117-0j 0.000352765-0j -0.00025241-0j 1.83205e-05-0j 0.0027809-0j 0.0001283-0j -0.000162009-0j 0.0166244-0j -4.32241e-05-0j -1.78689e-05-0j 2.7774e-07-0j -0.0162146-0j 0.00400919-0j 0.00604628-0j 0.000252028-0j -2.57615e-05-0j 0.00257331-0j -0.00589725-0j -1.6535e-05-0j 9.16623e-05-0j -0.0233765-0j -0.0150042-0j -0.00850201-0j -0.00545703-0j 
-0.0327699-0j 0.00323916-0j -0.00336862-0j 0.183456-0j -0.000276968-0j -0.220552-0j 0.000332973-0j 0.132425-0j -0.000199926-0j -0.0013526-0j 0.02286-0j -0.00157804-0j -1.99257e-05-0j 0.00284402-0j 0.02667-0j 0.00134147-0j -0.0480661-0j -2.32467e-05-0j -0.000569544-0j 4.18964e-05-0j -0.0226719-0j 0.00962572-0j 1.97618e-05-0j -8.39017e-06-0j 0.00415216-0j 0.000692026-0j -0.00117982-0j -0.0814544-0j -0.00827015-0j 0.000935892-0j 5.09725e-06-0j -0.000196636-0j -0.000973298-0j 0.0231449-0j 0.00248071-0j 0.000155982-0j 0.00234992-0j 0.000675563-0j -0.0183597-0j -0.000162216-0j -1.44836e-06-0j -0.00022217-0j -0.00186408-0j 0.000413452-0j 0.0190935-0j -0.048665-0j 0.00193859-0j 0.000112594-0j 1.14892e-06-0j -0.00494101-0j -0.0132528-0j -3.70284e-05-0j -1.19484e-06-0j 0.00435839-0j 3.04536e-06-0j -0.00134557-0j 0.000442512-0j 8.29331e-07-0j -2.7274e-07-0j 
0.00472992-0j 0.0445568-0j -0.0463376-0j 0.000276968-0j 0.177715-0j -0.000332973-0j -0.21365-0j 0.000199926-0j 0.128281-0j 0.000195231-0j -0.0032891-0j 0.00022777-0j 0.0391808-0j -0.000410499-0j -0.00383728-0j -0.000193625-0j 0.00691575-0j 0.045711-0j 8.22065e-05-0j -0.0823826-0j 0.00326204-0j -0.00138495-0j -0.0388585-0j 0.016498-0j -0.000599312-0j 0.00951928-0j 0.000170292-0j -6.11671e-05-0j -0.0555043-0j -0.000135084-0j -0.0201869-0j -0.00270486-0j 0.000140483-0j 1.73803e-05-0j -0.00035806-0j 0.00214564-0j 0.0157713-0j -9.75091e-05-0j -1.3787e-05-0j -0.00223139-0j 0.005736-0j 3.20675e-05-0j -0.0125106-0j 0.00568731-0j 1.4338e-05-0j -3.65443e-05-0j 0.0130106-0j 0.0015488-0j -0.0045501-0j -0.0331611-0j -9.95198e-06-0j -0.00050935-0j 0.00473196-0j 3.27288e-06-0j -0.0120607-0j -0.00903064-0j 0.00296988-0j -0.00328444-0j 0.00108014-0j 
