0.0226743-0.00807809j -0.00725459+0.00336591j -0.00723876-0.000240882j -0.0362478+0.00941221j 0.00301976-0.00730393j 0.0148828-0.0140744j -0.0209801+0.00337501j 0.00910384-0.00743487j 0.0224926-0.00935117j -0.0117405+0.00446697j -0.0178217-0.00361567j 0.000377435-0.00366321j 0.0126427+0.0210617j -0.0280016-0.0398147j -0.0497993-0.0105264j 0.00560095-0.00375809j 0.0182087+0.0158303j 0.0149536+0.0198913j 0.00876745+0.00497681j -0.00373381-0.00955401j -0.00491914-0.00363485j -0.000835771+0.00310523j -0.00127882-0.00374619j -0.00189709-0.00804711j -0.00436619-0.00243087j -0.00213844-0.00150275j -0.0109859-0.0357618j 0.000105773+0.0144657j 0.00965787+0.000979404j 0.00276973+0.0209967j -0.00302125-0.0153372j 0.00431753-0.0100368j -0.00603657-0.00369537j -0.0076558-0.0124353j -0.0178943+0.0189059j -0.000441891+0.0293133j -0.00471262+0.0142941j -0.00582095+0.00905748j 0.00288902-0.00175033j -0.0074325-0.00902837j 0.000174006+0.00826128j 0.00917359-0.00241539j 0.00770019-0.00852306j 0.0089927-0.0041831j -0.00597108-0.00398999j 0.000300144-0.00109076j -0.00640766-0.013592j 0.0039762-0.0062713j -0.00432351-0.00912806j 0.00291736+0.0078332j 0.00436505-0.00406076j -5.12335e-05+0.000312356j -0.00433137+0.00544372j -0.00364923+0.0001703j 0.00237625+0.000896423j -0.00865835+0.00450786j 0.00348494-0.00289644j 0.0137558+0.00608163j -0.00614649+0.00518661j 0.00016362+0.00160134j 0.00491931+0.00682055j 0.00578528-0.00109613j -0.00752308+0.00308435j -0.000418693+0.00789918j -0.00422692-0.00900954j 0.00350675-0.00837458j -0.00238026-0.00457559j 0.00451125+0.00151021j 0.00535943+0.0101033j 0.00817355-0.00372866j -0.00306758-0.00942939j 0.00346262-0.00814948j 0.000106154-0.00111182j 0.00401437+0.000669806j 0.00626613-0.00329526j -0.00392813-0.000674889j -0.00728268+0.00696035j 0.00583851-0.00274291j -0.00504392+0.00736661j -0.00200002-0.00267976j 0.000229254-0.00214839j 0.00488909-0.000352595j -0.00786632-0.000413134j 0.00857492-0.0049735j -0.0089277+0.0113256j 0.00784077+0.00883172j 0.000651418-0.00116866j -0.00338944-0.0015198j -0.00387601+0.0078532j 0.00176245-0.0161291j -0.00811209+0.00835228j 0.0100385+0.00953831j 0.0076038+0.00101235j -0.00788697-0.00964548j -0.00739333+0.00350631j 
-0.0319014+0.00318024j -0.00817381-0.00841365j -0.0187932+0.0142156j 0.0261368+0.0409346j -0.0427326-0.04175j -0.0455716-0.0607902j 0.0310536+0.00513593j -0.0342736-0.0277899j -0.00675358-0.0312819j 0.0185437+0.0198706j -0.0047318-0.00010567j 0.00706553+0.00285484j -0.0244052-0.00946568j 0.0130962+0.00485298j -0.0114507-0.00128596j -0.021829+0.00294872j 0.00258832+0.00760162j 0.00193277-0.00686777j -0.0122069-0.00837822j -0.0215505-0.0201569j -0.0383033+0.00938155j 0.00339733+0.00539656j 0.0275839-0.00435305j -0.0191348-0.0125616j 0.0278792-0.00559631j -0.00166252-0.0134462j 0.0342441+0.0224566j 0.0114234+0.0185763j 0.0209066+0.0122144j -0.0125636-0.020665j 0.00750189+0.0150935j -0.0129643+0.00171573j 0.00994442+0.0131534j -0.00781422+0.00346289j 0.00887087-4.17064e-05j -0.014244-0.000768704j 0.00513483+0.00308369j -0.0094307+0.00217441j 0.00161826+0.00493242j -0.00106385+0.00201081j -0.00705078+0.00114202j -0.00196269-0.00443644j -0.00212258+0.000826806j -0.00118491-0.0159941j 0.00196767+0.0111293j 0.0121151+0.00458255j 0.00123041-0.00180779j 0.00592027+0.00273032j 0.00581855-0.000867705j -0.0121474-0.00481412j 0.00822839-0.0107623j -0.0117049-0.00507277j 0.010008-0.00323757j 0.00289217+0.00177344j 0.015132-0.0128006j 0.00297581-0.00107743j 0.0153542-0.0172381j -0.00444832+0.0102793j -0.00960766-0.0137406j 0.0135773+0.0144371j 0.00483846+0.0127196j 0.0174334+0.0106086j 0.018077+0.0026697j -0.00159237+0.000648627j -0.0108135+0.00824161j -0.0110164-0.0023163j -0.00124363+0.0123734j -0.00316377+0.00170134j -0.00452811-0.00909538j 0.00687972-0.000614163j -0.00228345-0.00995953j 0.0082103-0.0125308j 0.00334895+0.000649781j -0.00284412-0.00883505j 0.00242762-0.000209579j 0.00945332+0.00452244j 0.00625347+0.00412868j -0.00675648+0.00527739j 0.00314875+0.00495285j 0.00717075+0.0121483j 0.00857089-0.00855631j -0.00391592+0.00654379j -0.00356911-0.00344428j 0.00106708-0.000147123j 7.17691e-05-0.000179204j -0.00301839+0.000121087j 0.00337918-0.00147955j -0.0125842+0.00101419j 0.00079135-0.00475857j -1.95652e-05-0.000614225j 0.00102934+0.00125394j -0.000738645+0.00219439j -0.00375515-0.004037j -0.00888509-0.0013747j -0.00747615-0.000376148j 
0.000286453+0.0242505j 0.00728517+0.00710052j 0.0124974+0.0464494j 0.0278647+0.0321309j 0.0450732+0.0146651j -0.0330818-0.0155952j 0.0494028+0.0252095j 0.0458432+0.00834197j -0.00999884-0.0218768j 0.0221417+0.00831825j 0.00097446+0.000893413j 0.0168431+0.00238245j -0.0100549+0.00135644j -0.00244753-0.0017858j -0.00555038+0.000750289j -0.00205006+0.0136706j -0.00903093+0.00392656j 0.00327679-0.0180411j -0.00568685-0.00230157j -0.00515111-0.00550025j -0.0209834+0.00640552j 0.00759583+0.0216081j -0.0120777-0.0347049j 0.0275858+0.0385531j 0.00340771-0.0276943j 0.0138958+0.0225283j 0.0167899-0.00655826j -0.0161043-0.0469466j 0.0151197-0.00164198j -0.00629321-0.0102024j -0.00666423+0.00935735j -0.00488288+0.0023461j 0.000303993+0.00672687j -0.00291631+0.00100848j -0.0019318-0.0036072j -0.00164463+0.000444016j -0.0042254-0.00153499j -0.00397008-8.54736e-05j -0.00208575+0.00546851j 0.00158555+0.00267015j 0.00431258+0.00338141j 0.000877753-7.65312e-05j -0.0044296+0.00384656j 0.00698005-0.005112j 0.00250605-0.00162546j -0.00424855+0.00530099j 0.00104686+0.00478866j 0.00839543-0.00296917j -0.0016395+0.0131226j -0.0154199+0.0137901j -0.0128489-0.0061449j -0.00145415-0.0163385j 0.00148557-0.00862403j 0.00881815-0.020157j -0.0184459-0.00642534j -0.0072827+0.00371466j 0.00927181+0.00118735j 0.00907181+0.00239621j 0.0140217+0.0176242j 0.00689841-0.000762386j 0.00653271-0.00305188j 0.0066119-0.00178114j -0.00374536-0.00154379j 0.00144367-0.00298599j 0.00560702-0.00419048j 0.0108867+0.0167404j 0.000447188-0.0229771j -0.0203157+0.0105185j -0.000832559+0.00540512j -0.00781747-0.00422353j 0.00742253+0.0154364j -0.0218531-0.00361329j -0.00571355+0.0128924j -0.00285081-0.00893168j 0.00543336-0.00460951j -0.00602892+0.00239024j 0.00121744+0.00562659j 0.0100622+0.0046365j -0.00296463+0.00165791j 0.00621686+0.00170639j 0.00977073-0.004989j -0.00418258+0.000909704j -0.00552113+0.000325301j -0.00186795-0.000742284j 0.00213373+0.0025311j -0.00191674-0.00289677j 0.00143796+0.00241653j -0.0031407-0.000891018j 0.000404446-0.00340484j 0.000650124+0.0011442j 0.000267523-0.00268011j -0.000724379+0.00289406j 0.00171475+4.81672e-05j 0.00144851+0.00160445j -0.00227186+0.00110556j 
-0.0568115-0.0262588j -0.0030487-0.0428221j -0.0771621-0.069051j -0.0177177-0.039094j 0.0156078-0.0102326j 0.0065124-0.0125143j 0.02057+0.0152365j 0.00387954+0.00987453j 0.0183744+0.0100743j 0.00215+0.00300688j 0.00576934+0.00512685j -0.0026071-0.000238397j -0.0126065-0.00934211j 0.00683943+0.00641377j -0.00586892-0.00196301j -0.0282962-0.0160571j 0.0046413+0.0177994j 0.00154449+0.0133575j 0.019391-0.00135043j -0.00568165-0.00679471j -0.000969736+0.0210792j 0.0460807+0.00535155j -0.0155291-0.0258076j -0.00302247+0.00442986j -0.0326134-0.0414181j 0.00271138+0.0064379j -0.00710812-0.0236537j 0.013328+0.00291266j -0.000812118-0.0110842j 0.00623516+0.00460456j -0.00386483+0.00147266j -0.0171119+0.00299638j 0.000161528+0.0109006j 0.0102157+0.00218898j 0.0166325+0.00299318j -0.0174121-0.00053655j 0.00400018+0.00783776j -0.0108683+0.00926347j 0.013843+0.00231158j -0.00383438-0.000864452j -0.0192812-0.00579889j -0.00554881+0.000144879j 0.0082626-0.00511673j -0.00222778-0.0035176j 0.00905461-0.0135669j -0.0036162-0.00740176j -0.00609741+0.00154504j -0.0130202-0.0107159j 0.0114745-0.00918927j 0.000622941-0.00811722j -0.0078407-0.00599133j 0.00783059+0.00531852j -0.00412742-0.000903555j -0.00909149-0.00631497j 0.00622692-0.00913362j 0.012047+0.000514172j -0.00731897-0.0136077j 0.00247315+0.0020661j -0.00884697-0.000903373j 0.00830095-0.00390629j 0.000200674+0.00252928j 0.0049601-0.00259552j 0.00769726+0.00194068j -0.00233178+0.00255179j 0.00246791+0.00964037j 6.8265e-05-0.00763496j 0.00557772-0.0034152j 0.00843363+0.013325j -0.00166523+0.0103345j -0.00154113-0.0148526j 0.00606861-0.0104167j -0.00923286+0.00370907j -0.00765877-0.0102266j 0.000523802+0.00778541j -0.00777801-0.00761732j 0.00910123-0.000406524j 0.0112067-0.00781513j 0.000264049-0.00366649j -0.000861774-0.00269527j 0.000834813+0.00622785j -0.00878619-0.0028123j 0.00158644+0.00296575j 0.00470875-0.000607984j 0.00822645+0.00140583j -0.00199562-0.00404273j 0.00190788+0.00656118j 0.00141763-0.00782752j -0.00582171-0.00272771j 0.00146304+0.00328766j -0.00146157-0.00304926j 0.000177841+0.00725863j -0.00405912-0.00361239j -0.0079137-0.00403403j -0.00855312-0.00466174j -0.0108158-0.00217856j 
0.00977638-0.075195j -0.00542908+0.0726861j -0.0183331-0.0371317j -0.0235246+0.028992j 0.0164173-0.0172238j 0.01782-0.028562j 0.0274833-0.0134963j -0.00604294+0.0157636j 0.0154345-0.0102516j -0.0127296+0.00841354j -0.0022207+0.000471358j -0.00897312+0.0192724j 1.93995e-05-0.002722j 0.01113+0.000775699j 0.00307272-0.0035588j -0.0031241-0.0262094j 0.0202482-0.0504298j -0.0185123+0.0301855j -0.0267436-0.000582164j -0.013026+0.00925637j 0.0275713+0.00316083j -0.0258657+0.0173886j 0.0118375-0.0139588j 0.0117449-0.000323968j -0.000995702-0.0204532j -0.00768669+0.0120033j 0.0102855-0.0102119j -0.00591852+0.00852192j -0.0157402+0.00666768j -0.00948537+0.00286795j 0.0097972-0.0022027j 0.00746438-0.00382167j 0.00428334+0.00318103j 6.93742e-05+0.010071j -0.00583703+0.00392152j 0.0012465-0.00519941j 0.00683473-0.00835672j 0.0236421-0.00971521j -0.00435849-0.0196352j 0.00371411-0.00111599j 0.000559201-0.0111185j 0.00176278-0.00302025j 0.0230404+0.00114472j -0.01333-0.00278901j 0.00743111+0.00385611j -0.00289434+0.0189221j -0.0155351+0.0102895j 0.000156159+0.00740936j 0.0158171+0.00516301j 0.00843206+0.0144533j -0.00266617-0.00210306j -0.0141043+0.0205371j 0.0141648+0.00760185j -0.00856634-0.00695851j -0.00462113+0.0114232j -0.00946574+0.00227307j 0.0101517-0.00599341j 0.000963273-0.00105908j -0.00110525+6.65559e-05j -0.0144116+0.00970604j 0.000830237+0.000667362j -0.00191564+0.000493133j 0.00491192+0.00683398j -0.00102074-0.000978865j -0.00590831+0.0054442j 0.00176033-0.000926747j 0.00266706+0.00111j 0.00426163+0.00560005j -0.00410814+0.000629929j -0.00512341-0.00394742j -0.00425924-0.0015107j -0.00734859-0.00179054j -0.00238503+0.000994816j -0.00213647-0.000469349j -0.00467902-0.00168132j 0.00244585-0.00492329j -0.00151673-0.00339558j -0.00269692+0.00437696j 0.00232907-2.96888e-05j 0.00764843-0.000864769j 0.00157249-0.00438375j 0.00221379+0.0050247j 0.00469532-7.11228e-05j 0.000365411-4.83551e-05j -0.000257646-0.00024064j 0.00347864+0.00218045j 0.00154384-0.00411562j -0.00205507+0.00663323j 0.00372402+0.00705968j 0.000374845+0.00459686j 0.00163684-0.00147049j -0.000108702-0.00572856j 0.00135157+0.00210774j -0.00128978+0.0030197j 0.00343177-0.00269151j 
-0.0326577-0.0648546j 0.0215904-0.0743151j -0.00542035+0.0333275j -0.000820538-0.0219083j -0.0201358+0.0369603j -0.0146259+0.00496645j -0.00358775+0.00562021j 0.00804628-0.0280266j -0.0076082+0.000113364j 0.00222661+0.0166754j -0.000284057-0.00343047j 0.00638639+0.00823729j -0.000284994-0.00470811j -0.00144189+0.00467688j -0.000702922-0.00049542j -0.00585514-0.0378787j -0.00427549+0.0304521j 0.0216837-0.0197986j -0.0240678+0.0127303j -0.0263239-0.0083414j -0.0507354+0.012358j -0.0258646-0.00298375j 0.00825941+0.00498909j 0.00138035-0.00304466j -0.00866809-0.00355538j 0.0075154-0.00291826j -0.0130366+0.00144001j 0.00816484+0.000700006j 0.00953377+0.00118306j -0.00321401+0.000303031j 0.00444172+0.000808318j -0.0110756-0.00429373j 0.00138674+0.000773433j 0.0119722-0.00346822j 0.00195153+0.00501803j -0.00529498-0.00576991j -0.0071046+0.00434792j -0.00535203+0.0219438j 0.0242388-0.00102194j 0.0105979-0.00819336j 0.000918234+0.00540602j -0.0250745-0.00984928j -0.00439367+0.00955797j -0.0043948+0.0123858j -0.00176584-0.00866838j 0.00252994+0.0135336j -0.000878636-0.00428173j 0.016308-0.00653944j -0.0133448+0.0132335j 0.00582053+0.0102821j -0.014097-0.00571192j -0.00917691-0.00972827j 0.000494674-0.0178137j -0.00486706+0.00121888j -0.0107569+0.0106249j 0.00805705-0.0100541j 0.0213687+0.00380384j 0.000995763+0.00378876j 0.00586875-0.00150562j 0.0087719-0.0049351j 0.00338852-0.00342994j -0.0107848+0.000880878j -0.0041331+0.00266966j 0.00156102+0.00250119j 0.00389933-0.00269349j -0.000747716-0.00447072j 0.00141327-0.00159792j 0.00131169-0.00241271j 0.00509096+0.00343752j 0.00299626-0.000976177j -0.0028307-0.00478864j -0.00221142-0.00147787j 0.000918677-0.000407876j 0.000941659+0.00240402j 0.000599487+0.0025421j -0.000540072+0.00418154j 0.00255383+0.00103793j -0.00194982+0.00235699j 0.000253857+0.000698588j 0.00285129+0.00619124j -0.00221931-0.00121272j -0.000975284+0.00234932j 0.000850752+0.000789399j 0.00266104+0.00427127j -0.00199568-0.00169216j 0.000811085+0.00437671j -0.000134691-0.00459982j -0.00197404-0.000298319j -9.58175e-05-0.00145681j -0.000831313+0.00177982j 0.000665207+0.00509303j -0.00213395-0.00242495j -0.00120211-0.00322551j 0.00328661-0.00232886j -0.00602961-0.00289908j 
0.0552095+0.036246j -0.0680692-0.0247916j 0.033981+0.0271668j -0.0305588-0.0203155j 0.0144932+0.0150393j 0.0246783+0.0110143j 0.0301036+0.0132736j -0.0215744-0.019217j 0.0148174+0.00698128j -0.0161099-0.00290412j -0.00488155-0.00683766j -0.0214469-0.00164177j 0.00684334+0.00400598j 0.00527605-0.000529866j 0.0138045+0.00848576j 0.0424694+0.0134448j 0.0292464+0.0066284j 0.0312624+0.00614905j -0.0181448+0.0218569j 0.00223249+0.00293328j 0.0113761-0.0119331j 0.0164381+0.037516j -0.000182405-0.0206412j -0.00828015-0.0173915j 0.011993-0.00101666j 0.011279+0.0133689j 0.0052902-0.00415454j -0.00764725+0.00391513j -0.00462628+0.00769786j 0.00566868+0.0145862j -0.00669889-0.018245j 0.0174318+0.00617438j 0.00611653-0.00202382j -0.00943222+0.000245595j -0.0050486+0.00330564j 0.00961742+0.00122489j 0.0250612-0.000487053j -0.00346471-0.00984359j -0.0172262+0.00444022j -0.0146012-0.0027801j 0.0112599+0.00561327j -0.000817475-0.00193055j -0.00828956-0.0151647j 0.00143256+0.0143342j 0.00931802-0.00505921j 0.0175731-0.00131817j 0.00932256+0.0118956j 0.0188049-0.00387632j 0.000436879-0.0048045j 0.0224399-0.00478731j 0.000348292+0.00179269j 0.0182122+0.014229j 0.00437978-0.0206223j -0.00316524+0.00325745j 0.0100874+0.00892401j 0.00138688+0.0120977j 0.00301108-0.008904j -0.0051132-0.000678107j 0.00509082-0.00239662j 0.0102363+0.0169259j -0.000462719-0.0039288j -0.00176697+0.00389618j -0.00110553-0.0044676j 0.00181668+0.00277958j -0.000494916+0.00656281j 0.00214673-0.00353985j 0.0047194+0.000691598j 0.00244873+0.000646367j -0.00288877+0.00522275j 0.00343745+0.00631239j 0.00198079+0.00766179j -0.00593773-0.00168552j 0.0011086+0.00253604j -0.0044678+0.0008507j 1.47611e-05+0.00237008j -0.00789339-0.00195877j -0.00422327+0.00593658j -0.000760821-0.000347171j 0.00141831-0.000641935j -0.00142533-0.0058289j -0.0029087-0.00468737j -0.00227956-0.00807042j 0.00067445-0.00169164j -0.00375142-0.0031757j -0.000872299-0.00120079j -0.00138864-0.00355608j 0.00610146+0.00507435j 0.00730532+0.00205149j 0.00438975-0.00364648j -0.00140835-0.00215643j -0.000381323-0.00221425j 0.00415673+0.00410523j 0.00230795-0.00120194j -0.00950459-0.000830855j 0.0107067+0.00149316j 
-0.0351546+0.0126918j -0.0608085-0.0136131j 0.056191-0.0148766j -0.0211197+0.0145876j 0.0466043+0.000667771j 0.0196345+0.0099047j 0.00727052-0.00183677j -0.0367917+0.00392551j 0.00599431+0.00233775j 0.0150975-0.0038915j -0.00606701+0.00103946j 0.00661042+0.000510361j -0.00366732+0.00225957j 0.0098074+0.0051236j -0.000517964+0.000457182j -0.0113108+0.0117186j 0.0365192+0.00269484j -0.00960203+0.0246267j -0.0328334-0.0284856j 0.0244936-0.0168751j -0.00562126-0.0418028j 0.0014333-0.0265327j -0.0110335+0.00737474j -0.0112952-0.00469934j 0.00668134+0.00194081j 0.00943354+0.0173465j 0.00239188-0.0147304j -0.000959286+0.002218j 0.00645461+0.0122435j 0.00381698-0.000747101j -0.00179494+0.00107512j -0.00274975-0.00359386j 0.00426442+0.00519804j -0.0106398+0.00529548j 0.0100994-0.00124798j -0.0158108+0.00182352j 0.00547378+0.000600881j -0.0124709-0.00644495j -0.00723884+0.0101709j -0.00738333+0.00433138j -0.0112848+0.0102175j 0.00227266-0.0199391j -0.0115244-0.00594054j -0.0152059-0.000942993j 0.00990253-7.56841e-05j -0.0131615+0.00481092j 0.00529697+0.000983396j 0.0131183+0.0215786j -0.0158124-0.0139882j -0.00644482+0.0132357j 0.00151922-0.0124752j 0.00992379-0.00469984j 0.0168312+0.000726357j -0.00146947-0.0035817j -0.0157025-0.0106613j 0.002935+0.00492187j -0.00643382+0.020627j -0.00395463-0.00197671j 0.00309856+0.0100349j 0.000151197+0.00818522j 0.00729014+0.00203688j -0.00213165-0.0131827j -0.00274474-0.0091621j -0.00055994+0.00375835j 0.000436854+0.0029273j 0.00320077+0.00123298j 0.000298443+0.00348536j 0.0039755+0.00205875j -0.0034108+0.00433405j -0.00199224+0.00446337j 0.00049583-0.00219627j 0.00110387-0.0027814j -0.0006541+0.000938888j -0.00104012-0.00205718j -0.00568187-0.000186818j -0.00197651-0.0052272j -0.00329734+0.000483404j -0.00415073-0.00448812j -0.000745661+0.00188319j -0.000600709+0.00254583j 0.00148596-0.0024031j 0.000667026-0.00169671j 0.00131646+0.000310191j -0.00334704-0.000625363j -0.000433227-0.00118465j -0.00144801+0.000578614j 0.00230525+0.00163925j -0.00391071-0.000662538j 0.0009419+0.00104532j -0.000605031-0.00172253j 0.00065596+0.000154259j -0.00020183-0.000218568j -0.00355673-0.00148553j -0.00679985-0.000576348j -0.00627146-5.55666e-05j 
-0.0131159+0.0191042j 0.0156416-0.016117j -0.00443403-0.00911658j -0.0175261-0.0180942j -0.00430955-0.000844113j 0.00153441-0.0108237j -0.0153677-0.00656253j 0.0186171-0.000518232j -0.00338969-0.00574937j 0.00555284+0.00818567j 0.0042323+0.00402162j 0.0153586+0.00332595j -0.00256097+0.0024787j 0.0964358-0.0197421j 0.00956658-0.0393472j -0.0109167+0.022399j 0.0409895+0.00561472j 0.0383908+0.00108786j 0.0169118+0.00248709j -0.00294027-0.0141741j 0.0159575-0.00962777j -0.0144839+0.00546196j -0.00567092-0.00800755j 0.00589145-0.00721695j 0.00296792-0.0160625j -0.0190845-0.019378j 0.00226832-0.00449106j -0.0126372+0.00356763j 0.0125878+0.0101226j -0.0151495-0.00101515j 0.00178861+0.00756094j 0.0298157-0.036091j -0.0125241-0.0106155j 0.00170927-0.0363698j -0.114882-0.00699728j -0.00241194+0.022799j -0.293851+0.00645622j 0.0344356-0.00860722j 0.0381181+0.0068737j 0.0262374-0.00292121j 0.00156715-0.00244617j -0.00516742-0.00735586j -0.0215706-0.000237778j -0.0139813-0.0122441j 0.00598589-0.0020264j -0.0167391+0.00433883j 0.0048077+0.00535559j -0.000266084-0.00366577j 0.00712135-0.000551132j 0.00136716-0.0043194j -0.000927393-0.0050796j 0.00224452+0.00461776j -0.00316509-0.00404817j 0.000717782+0.005105j 0.0077443+0.00213485j 0.000157694+0.0102962j 0.00576293+0.00566223j 0.00136892+0.00139117j 0.000944539+0.000224698j 0.00206928+0.00512881j 0.00351754+0.00258663j -0.00383889-0.00149205j 0.000460688-0.00184502j -0.00344618-0.00134416j -8.09304e-05-0.00025119j -0.000418087-0.00123072j -0.00203657-0.00078066j -0.00202612+0.000728781j -0.00127454+0.00344029j -0.00341168+0.00306828j -0.00806045+0.00532764j -0.000670014+0.00274626j 0.00199407-0.0114798j -9.67046e-05+0.00582998j -0.00433169+0.00173955j 0.000778476+0.00669693j -0.000755614-0.00106167j 0.00294129-0.00224586j 0.00302106-0.00123405j 0.00397843-0.00928091j -0.00993708+0.00804224j 0.00537993-0.00172109j 0.000391262+0.0120743j 0.00895766+0.0094415j -0.00381205+0.0145554j 0.000966559-0.0103395j -0.00669395+0.00827144j -1.60449e-05+0.00147069j -0.00974324-0.00708695j 0.00897609+0.00595309j -0.000862174+0.0212475j 0.0260749-0.000574954j -0.0130197+0.0100487j 0.179165-0.0058424j 0.0233339+0.000297023j 
0.0214681-0.0141322j 0.0143368-0.0217962j -0.00255776-0.0122202j -0.00327917+0.00877666j 0.00748573-0.00514664j -0.00422608-0.00993571j 0.014027+0.00957164j -0.0106885-0.00614751j 0.00626648-0.00219033j -0.00646858-0.00623382j -0.00496611-0.00695026j -0.0305803-0.000362783j 0.0266197+0.00887798j -0.0083397-0.0398948j -0.115713+0.0196335j -0.0330214-0.00633868j -0.0108542+0.0226261j 0.000484617+0.0065285j -0.0325459-0.00824828j -0.012062-0.0178519j 0.0168971+0.0119106j 0.0296582-0.00942315j 0.0186413-0.000172503j 0.0026429+0.00570318j 0.0213141-0.0103974j -0.00552895-0.0150715j -0.013093+0.00537677j -0.0197349-0.00131051j 0.0236779+0.00066574j 0.00604644-0.003243j -0.013841-0.00150566j 0.0373343+0.00358132j 0.00430047-0.0284161j -0.0451336+0.00424935j -0.026699+0.00737025j 0.303372-0.0121421j 0.0195649+0.0233456j 0.038258+0.00882217j -0.0377204+0.00540582j 0.00617641+0.00672528j 0.0273505+0.00151526j -0.00395269-0.00431087j 0.00768573+0.00374867j -0.000967836-0.0112668j -0.0132598+0.00251239j -0.012803-0.00530682j -0.00218724+0.000895046j -0.00278613+0.00155465j -0.00890198+0.00456086j -0.00247379-0.000273558j -0.00714335+0.00115968j -0.000159301-0.00198209j 0.00258132-0.00236826j -5.68469e-05-0.00424759j 0.00432766-0.00366483j -0.00747569+0.00112866j -0.00280596+0.00542876j -0.00637982+0.00341954j 0.00231349-0.00435898j -0.00229507+0.000572086j 0.000215259+0.000561962j 0.00293414-0.00239718j 0.00482262-0.000695091j 0.00111237-0.00154317j -0.00467805+0.000156183j 0.00077201-0.00434826j 0.00257877-0.00133756j 0.000627889+0.000928018j -0.00174754+0.00542869j -0.00291012+0.00184128j 0.00180254-0.00795248j -0.00343935-0.00926513j 0.00373244+0.00823889j -0.0035855+0.00241603j -1.4148e-05-0.000776635j -0.00404799+0.00666871j -0.00360851+0.00469515j -0.00312128+0.00385459j 0.0068545-0.00588009j -0.00274054-0.00487128j 0.00723134-0.00127437j 0.00080145-0.0108575j 0.000756336+4.09229e-05j 0.000805866-0.000728062j -0.00124051-0.00718577j 0.00412939-0.00962156j -0.00223089+0.00143524j 0.0123711+0.00244677j -0.000464913-0.00653407j 0.00188871+0.0218581j -0.00581692-0.00549305j -0.00869705+0.00486258j -0.017409+0.00216173j -0.0226139-0.000733689j 0.176848-0.00586313j 
0.0054089+0.0668199j 0.0357485-0.0268537j 0.00358099-0.00470741j -0.00205807-0.0497627j 0.00976961+0.000124843j -0.000589036-0.00814295j 0.0102922-0.0499733j -0.00366999+0.0179304j 0.00257644-0.00834501j -0.00568284+0.0557325j 0.00762624+0.0287349j -0.0739307+0.0423751j 0.0868376-0.149438j -0.0122101-0.00652152j -0.160113-0.157546j 0.0141799+0.0425663j 0.0134217+0.0231091j 0.0143748+0.00903353j 0.0367696+0.00636712j 0.018795-0.00969312j -0.00696631+0.00266378j -0.04397-0.000993244j -0.0230373+0.00613266j 0.00715557+0.00427905j -0.00857405-0.00020205j 0.0213734-0.00862806j 0.0386826-0.00538782j 0.0191075-0.0033533j -0.0676828+0.0190995j -0.0301807+0.00307492j 0.0428113-0.01195j 0.0126239+0.0229527j 0.0447046-0.0254166j 0.203287-0.0363138j 0.132931-0.0480863j 0.0657186+0.0798761j 0.0889817+0.00963843j 0.0218472+0.0103779j 0.0212263-0.00517624j 0.0133416-0.00237555j -0.00543577+0.0122757j 0.00583573-0.00857808j -0.0066476+0.004178j 0.0048913-0.0131254j 0.011128-0.0116854j -0.00727401-0.00571092j -0.00565278+0.00274354j 2.04608e-05-0.00573856j 0.00642503-0.00744767j 0.0105226-0.00550734j 0.00596521-0.0112855j -0.00201418+0.000166934j 0.00926735-0.00346106j -0.00521473+0.00905273j -0.00801408+0.0109339j -0.000440554-0.00152969j 0.00177715+0.00504146j 0.00155529-0.0027228j -0.00409885+0.00668569j -0.00349618+0.00244192j -0.00438811+0.00239628j 0.00373924+0.00116878j 0.00257802+0.00130251j 0.000432818+0.000111639j 0.00506709-0.00035331j -0.00341668+0.00112116j -0.00243466-0.00173816j 7.29785e-05+0.00109081j 0.00716211-0.00850341j 0.00744269+0.001767j -0.00640531+0.000842975j -0.00762611+0.000311894j 0.00826412-0.00278909j 0.00534693-0.00836545j 0.0019719-0.00435687j 0.000914951+0.00229342j 0.0139674-0.00909044j 0.0052288+0.00309754j 0.0023628+0.00550799j -0.0112483+0.00627477j 0.00330482-0.00771045j -0.00513247-0.00135497j 0.00789122-0.00819754j -0.00181093-0.0204903j -0.00209474-0.0181608j -0.000636438+0.00982981j 0.0125423-0.0126786j 0.0267863+0.00620543j -0.0465457-0.000449238j 0.00189778-0.0432606j -0.00646382+0.000226384j -0.0156395+0.0192074j 0.122517+0.00995375j -0.0339555-0.010563j -0.0318626+0.0210592j 
