0.0119504-0.00279043j -0.000222131+0.0109001j -0.0101766+0.00740034j 0.00876016+0.0152181j -0.0126543-0.0102249j -0.0117689+0.00480848j 0.00330941+0.0254375j 0.0250038+0.0155429j 0.00967164-0.00657562j -0.0164737+0.000550742j 0.00165283-0.00127517j -0.0181211+0.0238588j 0.0151397+0.00660191j 0.00823181-0.00416587j -0.0072144+0.00641276j 0.00444048+0.0158753j -0.00288974-0.00690841j 0.00497205-0.0104887j -0.0158738+0.000506616j -0.0144797+0.00272663j -0.00856085+0.00699972j 0.0228142+0.0136629j 0.00742882+0.00259714j -0.00537132+0.00318302j 0.00966576+0.00100982j -0.00424098-0.0165232j 0.00134819+0.00513994j 0.00202567+0.00637609j -0.0122413+0.000442904j 0.00616762+0.00176095j -0.00208585+0.0162122j -0.00242677+0.00942198j -0.0117916-0.00497157j 0.00690475-0.00615295j -0.00137017-0.00989945j 0.00341216-0.00177372j 0.00425636-0.00141267j -0.0109869-0.00158872j 0.00598635+0.00718824j -0.0083004-0.00404304j 0.00676561+0.00872538j -0.013173-0.00949658j -0.00331025-0.000607241j -0.0149265+0.0114268j -0.00642906-0.0032018j -0.011371-0.012382j -0.00467538-0.00735492j 0.0436759-0.00010997j -0.00556033+0.0107184j -0.0151259-0.0110339j 0.0159638+0.00587829j -0.00263513+0.0132838j 
-0.0141965+0.0120304j -0.012015-0.00924101j 0.00172236-0.0191477j -0.0149746-0.00438285j -0.0191115+0.00343745j 0.032067-0.0144631j -0.00875449-0.0429783j -0.00734801-0.0123604j -0.0134172-0.00300331j 0.0233714+0.0199063j 0.00488426+0.0186655j 0.012146+0.0094234j -0.00112388-0.0150154j -0.000589504+0.0248009j 0.000751632+0.0203509j -0.0127343-0.00700223j 0.00993002-0.0116459j 0.0103716+0.0129099j 0.0298558+0.00771687j 0.00414872+0.0116629j 0.0100958-0.0399076j -0.0279768-0.0075952j 0.0243283+0.00236926j 0.00678226-0.0124278j 0.0234108+0.024582j -0.00278993+0.0377806j -0.00176592+0.0249408j 0.01113+0.00694956j -0.0128056-0.0159268j 0.0110664+0.00723199j -0.0193052-0.00795377j 0.0142301-0.0113621j 0.0149145+0.00555328j 0.00525759-0.00757123j 0.0291228+0.0155764j -0.0245693+0.0257646j -0.0164758+0.0118768j 0.0183718+0.036645j 0.0152354+0.000781296j 0.0047513+0.0334028j -0.00644032-0.0146562j 0.0125421+0.0103929j 0.00422424-0.00878271j 0.0133718-0.00561143j 0.00629501+0.0171647j 0.0155084+0.0555678j 0.0226351+0.0076882j -0.0493514-0.00819686j 0.00555383-0.00952428j -0.00864831+0.00389539j -0.0110622+0.0168181j -0.00672681-0.0191729j 
-0.014762-0.00332502j 0.00832136-0.00875507j 0.0339325-0.00764343j -0.0130505-0.0319848j 0.0201282+0.012202j 0.0162974+0.0090204j -0.00333976-0.0352193j -0.0416967-0.0304252j -0.0130252+0.020129j 0.0219549-0.00904561j -0.0121181-0.0223366j 0.0446426-0.0644453j -0.0238682+0.00335731j -0.0120799-0.00691263j 0.0199911-0.0271325j 0.012234-0.0349738j -0.001605+0.0339j -0.0292925+0.0123237j 0.0230912-0.010474j 0.0338548-0.0103234j 0.020765+0.00539455j -0.0304552-0.0260925j -0.0320367-0.0171598j 0.00572338+0.0151787j -0.0362447-0.0229091j -0.00753481+0.0308548j -0.0123102-0.0138737j 0.0149835-0.0307281j 0.0348077+0.00509229j -0.00667894+0.00297753j 0.00445522-0.0375548j -0.0135944-0.00402564j 0.010544+0.010244j -0.0275712+0.00326599j -0.030654+0.0402508j -0.0131321-0.0359126j -0.00430876+0.00362991j -0.00669174-0.0165642j -0.000849554-0.0266266j 0.00578543-0.00525157j -0.000737455+0.0205255j 0.0241908-0.00454602j 0.00089909+0.0142104j 0.0204711-0.0329745j -0.00797881+0.00639662j 0.0340078-0.00968151j -0.00643611+0.00120699j -0.063589+0.0508533j -0.0116297-0.0478515j 0.01738+0.0217508j -0.00921698-0.0178338j 0.00716763-0.033276j 
-0.0146394+0.00800738j -0.00886781-0.0134355j 0.00506932-0.011826j -0.0161568-0.0114562j -0.00886815+0.0143416j 0.00166143-0.0148321j -0.0116964-0.0232417j -0.00370114-0.00456507j -0.00975155+0.00515897j 0.0208879+0.0168676j 0.00649467+0.0355623j 0.00123502+0.0218108j -0.00392608+0.00517493j 0.000445459+0.0164851j 0.0128779-0.000489421j -0.004616-0.00790092j 0.0169626-0.015921j 0.023776-0.0085258j 0.0388498+0.0169596j 0.0139743+0.0086594j 0.017063-0.0407289j -0.0278047-0.00746307j 0.023695-0.00899256j 0.00511562-0.00178968j 0.0325125+0.0203886j 0.00383596+0.0259816j -0.0160698+0.033262j 0.00269317-0.00240021j -0.0134525-0.0122141j 0.00655076-0.00444732j -0.00833429-0.0100735j 0.00827503-0.000968037j 0.000144175+0.00129394j 0.00700686-0.0141611j 0.0436045+0.026786j -0.0273149+0.035133j -0.00661835+0.00591706j 0.00923867+0.0232996j 0.0081554-0.00698803j 0.00675809+0.0150024j -0.00947882-0.0161851j 0.0113605+0.0186435j -0.00730653-0.000788611j 0.0177318+0.00616862j 0.0104732+0.000812542j 0.0269027+0.0265703j 0.00959159+0.00987529j -0.033263-0.0488481j 0.0144198-0.0210885j -0.0122635-0.0066082j -0.0149225+0.0294542j -0.00227005-0.012305j 
-0.00237583-0.0108433j 0.0110699-0.0127005j -0.0164384-0.00207881j -0.000774236+0.0107009j 0.0313617+0.019468j -0.0385481+0.000790907j -0.0238183+0.0388191j 0.00871912+0.0298908j -0.0102975-0.0159432j -0.00537744-0.0010226j 0.0196029+0.0140155j -0.0259178+0.0272916j 0.000870417+0.0179937j 0.0178157+0.0053001j 0.0109342-0.00832451j 0.00995524+0.0166229j 0.0162151-0.015887j 0.0192818-0.00452166j 0.0128963+0.0121554j 0.0126068-0.00848375j -0.00590827+0.00443764j 0.0155303-0.0136919j 0.0134702-0.00191586j 0.00026631+0.00276465j 0.0328349+0.0224188j -0.0221729-0.0071991j -0.0281785+0.0135492j -0.00775085+0.00250956j -0.0154731-0.0107854j 0.0107166+0.00776694j 0.028109-2.91224e-05j 0.00440278+0.0159388j -0.00368628-0.00322844j -0.00668746-0.0255507j 0.0247375+0.0186366j -0.00120669+0.0214042j 0.00255094-0.00540045j 0.00457375-0.00805535j 0.0050889+0.00292161j -0.00626821-0.00399546j -0.0252921-0.0340274j -0.0116211+0.0233383j -0.01845+0.0135406j 0.0128616+0.0174979j 0.0103022-0.0202175j -0.00645004-0.0379679j -0.0362646-0.00113724j 0.0270875-0.0259828j -0.0102393+0.0142798j -0.0201194-0.00417503j 0.00536435+0.0130964j -0.00967203+0.0023377j 
0.000452465-0.00573142j 0.000748937+0.000988113j -0.010992+0.00647975j 0.00183716+0.00511255j 0.000759492-0.0257005j 0.0322652-0.00686526j -0.00203416-0.0258089j -0.015192-0.00306182j -0.0134768+0.0280996j 0.0212835+0.00290548j 0.0115811-0.00180475j -0.00987447-0.00274167j 0.00342322-0.0113379j -0.0192198+0.00129611j -0.00669431+0.0113151j -0.00199959+0.00760825j 0.00953124+0.0119183j 0.00421198+0.0200514j 0.0145937-0.00993789j 0.0020408+0.0137401j 0.00150398-0.0149041j -0.0134177-0.00141883j 0.0355798+0.00358049j 0.000490212-0.00292688j -0.0111717+0.0131539j -0.0124986+0.00720704j 0.0166549+0.0184467j 0.00167983-0.00524976j 0.00690047-0.00862085j 0.00921357-0.000457047j 0.00174062-0.0159961j 0.00785571-0.0155136j 0.0176319-0.00435288j -0.0117202-0.00444138j -0.00671717-0.000495527j -0.0089155+0.00535569j -0.0195063+0.00296701j 0.0185769+0.0317741j -0.00235546-0.000378965j 0.00434199+0.017931j 0.0092794-0.00364946j 0.0346626-0.021184j -0.0112002-0.00217264j 0.0116329+0.0302825j 0.0237346+0.00783476j -1.3914e-05+0.0135878j 0.0354976+0.00141333j -0.0244246-0.0048479j 0.000734323+0.0078006j -0.0076467+0.00973479j -0.0141173-0.00329671j 0.00118134-0.0112552j 
-0.00545801+0.00369153j -0.00513905-0.00297746j 0.0129254-0.00144211j 0.00277624-0.0188057j 0.000335575+0.0162984j -0.0102151-0.00456703j 0.00994496-0.0193517j -0.0283756-0.0128266j 0.00512034+0.0395385j 0.0285319-0.00812379j 0.0112801+0.0158377j -0.00905237-0.00196327j -0.00688832+0.00499567j -0.0166044-0.00867523j 0.00410866-0.0234451j 0.0100787-0.00500037j 0.00316667+0.00409671j 0.00963783-0.0147003j 0.00323778-0.0128802j 0.00364038-0.00132673j 0.000341165+0.0233897j -0.0196538-0.0123388j -0.0044335-0.00531324j 0.00262497-0.0049035j -0.0208045-0.00109116j -0.0022174-0.0153676j 0.00632836+0.00460085j -0.0204957-0.00987859j 0.0130954-0.0154057j 0.00180345+0.0068863j -0.00813951-0.0104527j -0.0083829-0.0152087j -0.0224772-0.00870848j 0.00196202-0.00753375j 0.000280214-0.00349438j 0.0173188+0.0175502j -0.0125041+0.00305327j -0.00332439-0.0133533j -0.0287795+0.00876905j -0.00581271-0.00227952j 0.0338355-0.00334453j 0.0305573+0.0199974j -0.0102526+0.00132587j 0.00329771+0.0223013j 0.00823786+0.0121152j -0.00292858-0.00940899j -0.0112145+0.0114464j -0.00755254-0.00898408j 0.0234246-0.0313366j 0.02187+0.0144726j -0.0116086+0.00134165j -0.00620403-0.00911766j 
0.00112008+0.0104716j -0.0104201+0.00133164j -0.017546-0.00540181j 0.00163886+0.0200949j -0.0199106-0.012944j 0.0291646-0.0109857j -0.00198004-0.0102321j 0.0182588+0.0026029j 0.0106473-0.0258204j -0.0140491+0.0113973j -0.00258067+0.00316943j -0.00744919+0.0215569j 0.0167418-0.0217363j 0.00611644+0.014842j -0.0112334+0.0376826j -0.0160286+0.0136192j -0.00621151-0.0206862j 0.0211612+0.00210532j -0.00785431+0.00862876j -0.021495+0.00725418j -0.0156235-0.0326322j 0.000412013+0.0126656j 0.0147751+0.011331j -0.00299799-0.0146988j 0.0120983+0.0102474j 0.0103854+0.00391816j 0.0130872+0.00376774j 0.00779251+0.0167681j -0.00824567-0.00936651j -0.0155416-0.00506946j -0.025636+0.0144128j 0.00926713-0.0199777j 0.00733975+0.00195528j -0.00185411-0.00534268j 0.00987715-0.0112774j -0.00534342+0.00242071j -0.00204638-0.00876525j -0.00256684+0.0193666j 0.0213789+0.00968611j -0.00498155+0.0173101j -0.00614365-0.00893491j -0.021949+0.00326468j 0.00545511-0.0209211j 0.0024228-0.00448844j 0.00633868+0.0103253j -0.0193689+0.0399146j 0.046783+0.00384551j 0.0129126-0.0117769j -0.0156647+0.0165381j -0.0189192+0.00874013j 0.00598351+0.00626066j -0.00913497-0.00156202j 
-0.00545586-0.0105432j 0.00844753-0.00583278j 0.0162927-0.0167727j -0.0160554-0.0224961j 0.00655488-0.0116923j -0.00704387-0.0088096j -0.0186983+0.00549603j -0.0157192+0.0150834j -0.0253596+0.0165645j 0.033352+0.00359049j 0.0138006+0.0397814j -0.0126251-0.00598555j -0.0205889+0.0189152j 0.0114245+0.00653297j 0.0210595-0.0332181j -0.00229613-0.0143682j 0.0374263+0.022182j -0.00880074+0.0227341j 0.050929+0.010332j 0.0306015+0.0189217j 0.031365-0.0415013j -0.00832902-0.00515297j 0.0511127-0.0225353j -0.00476522+0.0233866j 0.0512442+0.0325721j -0.0379871+0.0278393j -0.0325618+0.0465068j 0.0303876-0.0219766j -0.0226466+0.000703005j 0.0435519-0.0109277j 0.0242672-0.0176824j -0.0130767+0.0159979j 0.0190743-0.0127453j 0.00425729-0.0312489j 0.0267519+0.0272419j -0.0302449+0.00757109j -0.0169931+0.00506535j 0.000791786-0.0119521j 0.0366543-0.0225836j 0.00159939+0.00464506j -0.00687294+0.0146604j 0.0306201-0.00856084j -0.0409617+0.0134374j 0.0368614+0.00486232j 0.00400885-0.00601317j 0.0371555+0.00195572j -0.0257763-0.00347088j -0.0396187-0.0589167j -0.0114691+0.00829295j 0.0122053+0.00366481j -0.0252456+0.00739678j -0.0174719-0.0244632j 
0.00751413-0.0128911j 0.0198965-0.00292058j -0.0240093+0.0243406j 0.0255382+0.034872j 0.031693+0.00559794j 0.00465249+0.0173971j -0.00238763+0.0049966j 0.00539308+0.00882193j -0.00235164+0.00567933j -0.00477487-0.00125244j 0.00967992-0.0290588j -0.00061381-0.0083939j 0.0072936+0.00591422j -0.0282888-0.0169712j 0.00442529+0.00158755j 0.0179291-0.00190314j -0.0133869+0.0179655j 0.00179378+0.00581254j -0.0117478+0.00706689j -0.01959+0.000438131j -0.00856075+0.0193318j 0.00473319-0.016998j -0.0154927-0.00474751j 0.0161737+0.00249577j -0.0296522-0.000983173j 0.00817658-0.0127638j 5.95927e-05-0.0171102j -0.0262544+0.00219086j 0.0133351+0.00671016j -0.0160442+0.00467657j 0.0198931-0.0188241j 0.00346734-0.0184175j -0.00784561+0.00146859j -0.0197849-0.00304257j -0.0103251-0.0141788j -0.00259484-0.00105077j 0.00279586-0.0202357j -0.00225525+0.0101722j -0.0183379+0.00485387j 0.00807381-0.00871599j -0.0105243-0.0117385j 0.00201072-0.0153898j -0.0387998-0.00637691j -0.000213406+0.0224636j 0.0417821-0.030495j -0.00482848-0.0407703j -0.00437497-0.013801j -0.00156521+0.0380109j -0.00290157+0.0272687j -0.0165687-0.0162431j 0.00837951-0.0117911j 0.0215903+0.0123564j 
-0.00267447+0.0110803j -0.0129858+0.00868141j 0.0245824-0.0028772j -0.00363948-0.0263824j -0.0250325+0.00153956j 0.0101275-0.00245695j 0.0237052-0.0349385j -0.0244277-0.039051j 0.00494014+0.0303473j 0.0242538-0.00465147j -0.00804212-0.000551994j 0.0308807-0.0154984j 0.00200706-0.00860081j -0.000601436+0.00176906j -0.00236399-0.00431768j 0.00935072-0.0147974j -0.00828366-0.00143419j -0.0140956-0.0125001j -0.0205358-0.0402421j 0.00106948-0.0168679j -0.0126043+0.0459496j -0.036612-0.006836j -0.0361351-0.000782948j -0.003967-0.0104086j -0.0362992-0.0223661j 0.0131717-0.00689753j 0.00396477-0.0130532j -0.00326775-0.0054902j 0.0174794-0.0107007j -0.00265249+0.0236962j -0.0423381+0.0137861j -0.00214885+0.00127031j -0.0227301+0.0018002j -0.00425499+0.0295895j -0.0242893-0.0175864j 0.0387453+0.0124099j -0.0166637+0.0119227j 0.00320127-0.00783877j -0.0286443+0.0204249j 0.00237494+0.00749865j 0.0484322+0.00370686j 0.0162572+0.00849629j 0.0367916-0.017497j -0.0146123+0.00341591j -0.0172356+0.041674j -0.00495842+0.0219435j 0.000185061+0.0194528j -0.0111394+0.036159j 0.0343262-0.039691j 0.0369618+0.00507641j -0.00746551-0.0064323j -0.000205048-0.00132508j 
-0.0195777+0.0152504j -0.016119-0.017351j 0.000436272-0.00623616j 0.00461295-0.0120975j -0.000253878+0.0514487j -0.0223485-0.0132082j 0.00905434-0.028398j -0.019801-0.0176704j 0.0134327+0.011497j 0.0232414-0.000259522j 0.0106844+0.0393906j -0.0176391+0.0259518j -0.00936958-0.00969656j -0.0027317+0.01329j -0.0113679+0.00808277j -0.000556236-0.0167449j -0.00981895-0.0446309j 0.0332651-0.0305418j -0.018788-0.000397668j 0.00274162-0.0162154j -0.013496+0.0488802j -0.019981-0.0217186j -0.0297658+0.00968245j 0.0236642-0.0338066j -0.00602621+0.0137552j 0.0259531-0.0344452j -0.000743054-0.0178204j -0.055218+0.0300814j 0.0145976-0.020283j -0.0103341+0.00546081j -0.0237056+0.0121583j 0.00814833-0.0106473j -0.0261569-0.0110424j 0.0149208-0.000235188j 0.0117537-0.0137873j 0.0330716+0.0560657j -0.0140807-0.00914524j 0.00794093+0.00087167j -0.0540283+0.0202904j 0.00408544-0.00131622j 0.0108661-0.0491213j 0.0034461+0.050048j 0.0196737-0.0305362j -0.0207928+0.0109013j 0.0108709-0.00803051j -0.0333739+0.0103114j -0.0126583+0.0244825j -0.00228863-0.0200714j 0.0237443-0.0375374j 0.0211668+0.0337677j -0.00102717+0.00611005j -0.0124081-0.00385149j 
-0.00841515-2.86774e-05j 0.000701139-0.0109092j 0.0119796+0.0023672j 0.00253599-0.0184775j 0.0166895+0.040795j -0.0517687-0.000127061j 0.00355823+0.012607j -0.00642097+0.000818868j 0.0101833+0.00740304j 0.002876-0.0125937j -0.00399797+0.0221731j -0.00836343+0.00738231j -0.0111958+0.017231j 0.00423056-0.0103276j 0.0133059-0.0318404j 0.0121175-0.00398356j 0.00185524-0.0134781j 0.0112794-0.0287344j -0.00148207+0.0170046j 0.00655748-0.013623j 0.00893985+0.0381013j 0.00257622-0.0184551j -0.0242104+0.00185868j 0.0100621-0.00968097j 0.004398-0.00384879j 0.0297653-0.0329325j -0.0112663-0.00997433j -0.0282489+0.00641198j 0.00774637+0.0162837j -0.00010838-0.00778327j 0.0177267+0.0182917j -0.00697171+0.0170917j -0.0185496-0.00969811j 0.0178096-0.018322j 0.0108586+0.000436612j 0.0291646+0.0170003j 0.0152554+0.0124139j -0.0269223-0.0340722j -0.0282567+0.00964814j -0.000541957-0.0236108j -0.00634532-0.0246032j 0.00814111+0.0257209j 0.00567541+0.0191796j -0.0179525+0.00896641j 0.000617833-0.0202105j -0.0158703-0.013813j -0.0649372-0.0111083j 0.000336254-0.0164724j 0.00515676-0.0105837j 0.0255779+0.0122253j 0.00363835+0.00308829j -0.00290504+0.00536999j 
-0.00110839+0.00775804j -0.0037143+0.00769875j 0.0225331-0.0103578j -0.0193497-0.0219885j -0.021569-0.0234972j 0.0391342-0.00436733j 0.00883727-0.0232988j -0.00537397-0.0258794j -0.00525567-0.0153417j -0.00785705+0.00452978j -0.0349917-0.023657j 0.0488262-0.0411734j -0.00130951-0.0146405j 0.00492144+0.00399735j 0.00735749+0.00344784j -0.0177087-0.0077703j -0.000848557+0.0197773j -0.0266827+0.0243124j 0.00492451-0.0101357j 0.00376755+0.000136445j 0.0108456-0.0315823j -0.0211654+0.00360719j -0.00871605-0.0008628j -0.0231042+0.00355306j -0.00892389-0.0257526j -0.000950074+0.032521j 0.00812775-0.0107886j 0.0377938-0.0157076j 0.0124698+0.0166715j -0.0117482+9.90893e-05j -0.0158331+0.00112851j -7.67173e-05-0.00281109j 0.0136359+0.0192323j -0.00435711+0.028384j -0.00987794-0.00455248j -0.00198301-0.0331716j 0.00159876+0.0157986j -0.00284596-0.0108208j 0.0319402-0.00719345j -0.000820704+0.00772971j 0.00705518+0.0220072j -0.000236527-0.00315208j 0.0236509+0.0124427j 0.0108658-0.0503273j -0.0239954+0.0314052j 0.0176137+0.0388132j 0.0324479-0.00404492j -0.0350617+0.026675j -0.00573378-5.16672e-05j 0.0143011-0.00408863j -0.0173085-0.0159291j 0.00687616-0.00731446j 
-0.0126858+0.0154057j -0.0209005-0.00744819j 0.0199464-0.022327j -0.0119269-0.0253518j -0.0245169+0.0280453j -0.0363622-0.0199072j -0.00198763-0.00217462j -0.00894015+0.0055521j 0.01296+0.00940125j 0.0196713+0.00685063j 0.00287482+0.0513672j -0.017649+0.0340346j 0.00750765+0.00657459j 0.0185983+0.0106896j 0.0125077-0.0188756j -0.00706142+0.00735567j 0.0194264-0.0318574j 0.0352002-0.0292397j 0.017896+0.017256j -0.0023315-0.00160438j 0.00174674-0.0018852j -0.00414025-0.00442675j 0.0110672+0.0107988j 0.00635992-0.0128859j 0.0444966+0.0267232j 0.0147153-0.0127409j -0.00780947+0.0381473j -0.0172371+0.00537529j -0.0171266-0.0136085j 0.0240818+0.000372162j -0.023475+0.0150096j -0.0115573+0.0186733j -0.0214945-0.014818j 0.0280518-0.0338641j 0.0295245+0.00106112j 0.00602304+0.0364607j -0.00126345+0.0259406j -0.0271314-0.0295528j 0.00503431+0.0276955j -0.0177151-0.00762232j 0.00999858-0.013509j 0.0114677+0.0414079j 0.0255069+0.00785906j 0.00761778+0.0234807j -0.00348176+0.00770125j 0.00499967+0.0344328j -0.0264954+0.0190266j 0.00050897-0.0591586j 0.00472563-0.0268963j 0.0283343+0.0227051j -0.000748517+0.024433j -0.033037-0.0114286j 
-0.0125474+0.0117906j -0.0145469-0.00438959j -0.000633969-0.00991501j -0.00861572-0.0067089j -0.0195802-0.00665142j 0.0418287-0.0097283j 0.000599376-0.0477634j -0.00659903-0.0186621j 0.000843219+0.00753106j 0.0132276+0.0173489j 0.00417306+0.0177015j 0.00316926+0.011383j 0.00477618-0.0176409j -0.0146486+0.0127631j -0.00235865+0.0320588j -0.00301841-0.0148432j -0.00545752-0.00462222j 0.0169589-0.0107613j 0.0237172+0.0132533j 0.00162168+0.0161094j 0.0154052-0.0472252j -0.0321421+0.0114332j 0.0224331-0.00896319j 0.0140668-0.00195949j -0.003178+0.010181j 0.00723796+0.0426722j 0.00767871+0.0435894j 0.0102875-0.0014171j -0.011882-0.00574341j 0.00130056+0.00760756j -0.0354708-0.00607537j -0.0121036-0.0513476j 0.0192821+0.0146412j 0.0207699-0.0192018j 0.0230653+0.01875j 0.00133914+0.0172256j -0.0288517+0.0106286j 0.0180812+0.0264792j 0.0155158+0.00270013j 0.00917144+0.0228269j 0.0047808-0.00215626j 0.0203978+0.00176179j 0.0135264-0.016942j 0.00658677+0.00971492j -0.00895992+0.0114905j 0.0287626+0.056641j 0.0251081+0.0214793j -0.032877+0.0103511j 0.00939438+0.00961851j 0.0168343-0.00279951j -0.022116+0.00475851j -0.0190146-0.0183291j 
0.029244-0.00567338j -0.00863186+0.027991j -0.0105214+0.00605823j 0.014121+0.0164212j -0.0296936-0.0510197j -0.0158201-0.00749859j 0.00428146+0.0462522j 0.0231109+0.0347872j 0.015992+0.0360264j 0.0045146-0.00165353j 0.0157484+0.0280429j -0.0616852+0.0370144j 0.03638+0.0263436j 0.0105674-0.0200471j -0.00623364-0.0103201j 0.00841813+0.0337899j 0.00560033+0.0151892j -0.0079927-0.0163738j -0.017633-0.0121087j -0.0256196+0.0238404j -0.00669495-0.00446689j 0.0325136+0.0336831j 0.0607492-0.00985359j -0.0216557+0.00587867j 0.0238182+0.0043639j -0.0170613-0.0429549j 0.0181257+0.0284435j 0.0196996-0.00728136j -0.0347988+0.00459898j 0.0404905-0.0173587j 0.00103452+0.0410292j -0.024592+0.0123211j -0.0278293-0.0307675j 0.0054903-0.0431349j 0.000149579-0.0222311j -0.00805205-0.00198077j 0.010429+0.0373953j -0.0343253+0.0196105j 0.0203784-0.00352679j -0.0193777-0.00116698j 0.0459342+0.0507274j 0.0187872-0.0440841j -0.0207428-0.00216782j -0.0131203+0.0466837j -0.00277318+0.0200718j -0.0327205+0.00238693j -0.00395053-0.0294428j 0.0589327-0.049542j -0.0139468+0.0166002j -0.0203747-0.004349j 0.0288891+0.029256j -0.0179231+0.00667767j 
0.0048384-0.00612371j 0.0102134-0.00369697j -0.0222312+0.0131269j 0.0132058+0.0281613j 0.0180153+0.00124446j 0.00296821+0.0103215j -0.00325945+0.0198885j 0.026686+0.00937509j 0.0113321-0.0330652j -0.0276377-0.00905173j -0.00642953-0.0249666j 0.00309477-0.00798786j 0.00604162-0.00668004j 0.00219317-0.00118436j -0.00202161+0.0162472j 0.00554609+0.00116227j -0.010139-0.000777861j -0.000694855+0.00480672j -0.0192203+0.0196192j -0.00446122-0.015368j -0.00865014+0.00473538j 0.0191233-0.0050908j -0.0209-0.00559295j 0.000831581-0.0045705j -0.0117051-0.0100421j 0.00527444-0.00341111j -0.0121706-0.0239226j -0.00938593+0.00498142j 0.00336999+0.0108346j -0.0270601+0.00700426j 0.0223613+0.0111629j 0.00369722-0.00140558j 0.00904494+0.0181136j -0.00615631+0.0131686j 0.00950418-0.00270542j 0.00468253-0.00483421j 0.015624-0.027816j -0.00714252+0.00485051j -0.00463549-0.00780132j 0.0139707-0.0182886j -0.00699437-0.014072j -0.0151091+0.00261383j 0.00268403-0.00210609j 0.00133804-0.0151669j -0.00424608-0.0244962j -0.0140554-0.041842j 0.0119024-0.00739257j 0.0149475+0.0325087j -0.00125477+0.0231785j -0.0271184-0.0247946j 0.0132014-0.00558684j 0.0156145+0.0180478j 
0.0118904-0.000204651j -0.00334654+0.00651258j -0.0258644+0.00785814j 0.0126583+0.0303428j -0.00747733-0.010994j 0.00469183+0.00107648j 0.00226688+0.0102502j 0.0227826+0.000174849j 0.0115855-0.00691224j -0.0158381-0.00442293j 0.021626-0.00367174j -0.0177855+0.0337103j 0.0150514-0.0154457j 0.00950512+0.0122167j -0.016445+0.0328162j 0.00786735+0.0294626j -0.00743344-0.0167097j 0.00779672-0.00380634j -0.0334435-0.021612j -0.0241589-0.00472984j -0.0336055+0.0315161j 0.00281635+0.0125274j -0.0108337+0.0173079j -0.00869482-0.0197626j -0.00517011+0.00831795j -0.00242289-0.0256384j 0.0175451-0.0147245j -0.00126695+0.0216366j -0.00536518-0.00487329j 0.0128281+0.00650914j -0.010729+0.0133684j 0.0235028+0.0155906j -0.0015775-0.0113201j -0.00787259+0.0183391j -0.00280024-0.0288091j 0.00553261+0.011552j 0.00723059-0.0268699j -0.0150689+0.0238184j -0.0117308+0.018232j 0.00460332+0.0178747j 0.0113841-0.0111016j -0.0219803-0.0158512j 0.000271538-0.0115912j -0.0348396+0.0322516j 0.00126526-0.00804852j -0.0254249+0.000266483j 0.0232071-0.00844594j 0.0408936+0.00424348j -0.00129135+0.0107998j -0.0229491+0.00632113j 0.0269306+0.00932604j 0.0013198+0.0173029j 
-0.0072733+0.0179133j -0.019778+0.00105896j 0.00504293-0.00588997j 0.000316386-0.00826745j -0.0335155+0.0155142j 0.00257779-0.0099919j 0.0181495-0.0193457j 0.00984393-0.0294753j 0.0164806-0.0129193j -0.00408636+0.00632639j -0.0106305+0.0018208j 0.021421+0.019578j 0.0135636-0.0268903j 0.0145225+0.0145838j -0.0204081+0.0265338j -0.00291865-0.00428434j -0.0102439-0.0461819j 0.017826-0.015027j -0.0150097-0.0124455j -0.00381871-0.0105013j -0.0240725+0.0235356j -0.0146104+0.0096289j -0.0435708+0.0225972j 0.00368074-0.0183662j -0.0178999-0.00847826j 0.0269475-0.0052115j 0.016985-0.013702j -0.0133124+0.0277306j 0.00912248-0.0034103j -0.0130466+0.0148447j -0.0366161+0.0382427j 0.00538766+0.020053j -0.0262902+0.00385672j 0.0147548+0.0242565j -0.0172679-0.0133818j 0.0397999-0.00831924j -0.000306246-0.00687511j -0.0160726+0.00722981j -0.00333024+0.0335652j -0.0183927-0.00653262j 0.0114659-0.0157391j -0.0239172+0.037069j 0.0328501-0.0378461j -0.0331763-0.0142368j -0.02512+0.0110281j -0.0212227+0.0347563j 0.0243121-0.0104671j -0.00413831+0.0120771j 0.0103339-0.0140746j 0.0219134+0.018855j 0.00747648+0.00357696j -0.0109294+0.00707281j 
