0.11175+0.215466j -0.209542+0.11221j -0.000126971+0.255889j 0.322598-0.131054j -0.0386555-0.142522j 0.187279+0.072584j -0.102169+0.175845j -0.291028+0.0406989j -0.168719-0.201517j 0.0634314+0.136381j 0.0105316+0.0692625j 0.228627+0.286351j 0.230676-0.242836j 0.0164853+0.267215j 0.217594-0.0591757j -0.0706146+0.082999j -0.113246-0.102102j 0.0588552-0.0109222j -0.0662316-0.0585584j 0.0242507+0.0235401j -0.0580575+0.0278057j 0.00651245+0.0545536j -0.0240746-0.0545909j -0.0249185+0.0427614j -0.0398268-0.0827412j -0.0841612+0.0425449j 
0.00261982-0.00619661j 0.00529188+0.000115461j -0.012688-0.00877702j 0.00410525-0.00189822j -0.00116411-0.0228761j 0.0153875+0.047989j -0.0170976-0.00809145j -0.00618191+0.0222994j 0.0275753-0.0318685j 0.00928173-0.0227655j 0.0058717-0.00695394j 0.0203896-0.00858271j -0.00961774-0.0161701j -0.00378549-0.00712518j -0.0119869+0.00234974j 0.00511207-0.0139687j 0.00356458+0.00999916j -0.0203706+0.0145466j 0.00914513+0.0318334j 0.0192819+0.0061348j -0.0156463+0.0202206j 0.00243681+0.0121898j -0.0118856-0.0053811j 0.00512225-0.0107778j 0.00133541-0.00536583j -0.00547524-0.00171105j 
0.00594387+0.00978009j -0.00741475+0.00286422j -0.0138263-0.0184596j 0.00191134-0.00954077j 0.000201908+0.0253725j 0.0170266-0.00875505j 0.00143595+0.0147389j 0.00116318-0.00796992j 0.0179239+0.00372629j 0.0110698-0.00682519j 0.00754007-0.0118997j 0.000494638+0.0244253j -0.0156576+0.0231089j 0.00121372+0.00598612j 0.00342291-0.0233595j 0.00964971-0.00237791j 0.000111953-0.00473112j -0.00525776-0.0227379j 0.00238881+0.00143419j 0.00185113-0.000341239j -0.00571261-0.00171121j -0.00744754+0.0166568j -0.00392535-0.00894863j -0.019795+0.000621636j 0.00507087+0.00660428j 0.00201351-0.00100615j 
-0.00568419+0.0017247j -0.00260123-0.0037027j -0.0376724+0.00974998j -0.0205155-0.00425299j -0.00740427+0.0193475j 0.0146642+0.0275951j -0.00652337+0.0026242j -0.0133083+0.0077173j 0.00275473+0.0045572j 0.0194097-0.00286995j 0.0187296-0.0146191j -0.00354696-0.0127552j -0.0121928+0.023279j 0.0106236+0.00500788j -0.00226216-0.0216643j 0.0160902-0.00200499j 0.00802571-0.0114197j 0.0186139-0.0228337j -0.00664973-0.0228249j -0.00244514+0.00581097j 0.0268699-0.0044027j -0.0159772-0.00191631j -0.00664995-0.00121211j -0.0194111+0.00400006j 0.00787621+0.00812608j 0.00770812-0.00445605j 
-0.0143381-0.00409729j -0.0027802-0.0172484j 0.00494001+0.0308444j -0.00567749+0.00473855j -0.0108277-0.00926737j -8.04774e-05+0.025543j -0.00509685-0.0214471j 0.00873211+0.0115489j -0.010429+0.0191731j 0.00704909+0.00608088j 0.0153872-0.0109219j -0.00816997-0.0310543j 0.00740839-0.0103157j 0.00107775+0.0048682j -0.0174559+0.0023293j -0.000156274-0.00404679j 0.0112533-0.0146369j 0.019138-0.0135631j -0.0316204+0.0036953j -0.00467844-0.00707005j 0.00740092-0.0380499j -0.00432479-0.0187314j 0.0146705-0.00646837j 0.00120626+0.00185513j 0.00804895+0.00554292j 0.00759712-0.00777981j 
-0.0076825+0.00233451j 0.0044183-0.00255187j 0.0101365+0.00100286j 0.0059539-0.00442941j -0.00723511+0.00633547j 0.0041696-0.00863459j -0.0117923-0.00541043j 0.00529312+0.0180899j 0.00666303-0.00294698j -0.00174107+0.00902346j 0.00498131+0.0120933j 0.00508725+0.0180519j 0.00337533+0.0101597j 0.0041544-0.00138294j -0.014943-0.00161243j -0.0140921-0.0246459j 0.0111371+0.0206248j 0.00838913-0.000131658j -0.00385907-0.0069006j 0.0215538-0.0134615j -0.000213686+0.00224636j -0.00352063-0.0148571j 0.00694721+0.00142543j 0.0120442+0.001491j -0.00695218-0.0103085j -0.00642124-0.00382346j 
0.0129286+0.00125455j -0.00892692+0.0138881j -0.0122721-0.00598794j -0.00215049+0.00488269j 0.00594592-0.00836514j -0.00538829+0.00480821j 0.0101065+0.00157969j -0.00348867-0.0144686j -0.0087346+0.00367209j -0.00646728-0.00837179j -0.0144106-0.00763957j -0.00136022-0.00957127j -0.00887094-0.0131668j 0.00510721-0.00132597j 0.0228561+0.00545781j 0.000932534+0.0137249j 0.00109942-0.0244709j -0.0117929+0.00703301j 0.0184116+0.00464569j -0.00637261+0.000383915j 0.0110812-0.000406499j -0.00484765+0.01458j -0.00808792+0.00236764j -0.0149027-0.00344641j -0.00511301-0.00570874j -0.00560871+0.0146225j 
-0.0317412-0.0116189j 0.0126825-0.0248946j 0.0106909+0.00477375j 0.00734171-0.00330656j 0.00186435+0.00966696j 0.00666912-0.00200569j 0.0127066-0.0135145j 0.0135845+0.0298344j 0.0141197-0.000471333j -0.00166427-0.00543038j -0.0110229+0.0089473j 0.0195279+0.0121559j 0.00447171+0.00913823j -0.00209084-0.00488675j -0.00210281-0.00434635j -0.013922+0.013267j -0.00864669-0.0205362j 0.002711-0.00389403j 0.0180817+0.00505227j -0.0281399-0.019636j 0.00496169-0.0322896j 0.00126835-0.0141705j -0.0270039+0.00802848j -0.00980057+0.00692742j 0.00857371+0.023632j 0.040917-0.00857183j 
-0.000780117+0.0105725j -0.0145926+0.00807396j -0.015402-0.000451616j 0.00449542+0.0128627j 0.00407794+0.00446477j 0.0055305-0.00684795j 0.0146673-0.00923443j 0.012967+0.0133823j -0.00674421+0.00171086j -0.0190432-0.0113327j -0.0150675+0.00678012j 0.00175678+0.00580541j -0.00880869+0.00198499j 0.0234064-0.00196753j 0.0115095-0.0084674j -0.00837796+0.000934712j 0.00481706-0.0078835j -0.00997128+0.00312886j -0.0039589-0.00503498j 0.00160412+0.0077576j -0.00412584+0.0137399j -0.0170783-0.00309487j 0.00502529-0.0198034j -0.00905028-0.0106816j 0.0077444+0.00599555j 0.0112401-0.0064704j 
0.0010749+0.000141354j -0.00437714+0.00272907j 0.0147969+0.0107794j 0.00957238+5.95358e-05j 0.0111452-0.00128222j -0.0109311+0.00109377j -0.00621305-0.0132392j -0.00830113+0.00324776j -0.0224379+0.00577803j -0.00343783+0.0266554j 0.00702359-0.00662384j -0.00164168+0.0018683j -0.00615899-0.0072584j -0.0085536+0.0125251j 0.00902173-0.00944307j -0.0222808-0.00206456j -0.00367485-0.00307955j -0.00637096+0.0172724j -0.00230676+0.000414471j 0.00696236+0.0125914j 0.00201501+0.00344297j -0.0132134-0.000843367j -0.0136244-0.0121054j -6.89903e-05-0.0105098j 0.00658223-0.0024106j 0.000207531+0.00478042j 
0.0192855-0.00275233j -0.00417618+0.0204194j -0.0118839-0.0036864j 0.0062017+0.00593102j 0.00623397-0.0134291j -0.00224555+0.013552j 0.005546+0.00163635j -0.00170216-0.0142497j -0.00660026+0.00728091j -0.0153423-0.000786355j -0.0189236+0.0027386j -0.00503174-0.00833998j -0.00851376-0.00196895j 0.00647534+0.00413793j 0.00655664-0.00921434j 0.00412604-0.000542478j -0.00477157-0.00272647j -0.013773+0.00501146j 0.00765514-0.00292839j -0.00103186+0.00515448j 0.00868503-0.00195393j 0.00249588+0.00628052j -0.00216105+0.0208507j 0.00230842+0.00219548j -0.000598499-0.024761j -0.0192148+0.0055906j 
0.00152404+0.0057361j 0.00344596+0.00233062j 0.00177435+0.00207561j 0.00247384+0.00293101j -0.0064913-0.00687484j -0.0146056-0.0111346j -0.0132257-0.00391384j 0.00870453+0.00647404j -0.0154487-0.0109474j -0.00684468-0.00269467j 0.00539249+0.0118358j 0.00356994-0.000545637j 0.00222144+0.00481016j -0.00545728-0.00404601j 0.0104864-0.00874804j 0.0251251-0.012753j 0.012744+0.00208944j -0.00495084-0.006489j 0.00420003-0.00126248j -0.0118663-0.000310627j -0.0156981-0.0101733j 0.0164914-0.00703973j 2.88304e-06+0.00334248j -0.0145838-0.00261925j -0.00633548-0.00512701j 2.4125e-05-0.00622141j 
-0.00822215-0.00234693j 0.00835931-0.0181096j 0.0018447-0.00402001j 0.0064946-0.00397044j -0.00517358+0.0121626j 0.0135942+0.0161129j 0.0141632+0.013305j 0.0179493+0.00327317j 0.026486-0.00264854j -0.00302305-0.023011j 0.0117629+0.00735931j 0.00687102-0.00365093j 0.00855239+0.00432021j 0.00547067+0.00567265j -0.0117343-0.0117342j -0.0139444-0.00322645j -0.00983146+0.00874821j -0.0150374+0.014564j 0.00597668+0.0154525j -0.0100448+0.0144608j 0.00333498-0.018169j 0.00253048-0.0181082j -0.00965427+0.0126162j -0.0143989-0.00654928j 0.00582409+0.00533295j 0.010373-0.0128059j 
-0.00670587-0.00129583j -0.00561501+0.00662135j 0.00059984+0.000533997j 0.00332945-0.000595443j -0.0191278+0.00418714j -0.00948937+0.00475622j -0.00665813-0.00527371j -6.72992e-05+0.00481287j -0.0073101+0.000687041j -0.00280042-0.0126021j 0.00212801+0.00663614j -0.00127333+0.00317962j -0.00249416+0.00234455j 0.00489897+0.00535819j 0.00362562+0.00621124j 0.00525786-0.00327912j 0.012017+0.00102366j -0.0128112-0.00243716j -0.00367165-0.00392395j -0.0135435+0.00385385j 0.00106651+0.00578677j 0.00547631-0.00656552j 0.00598008-0.00420656j -0.00330498+0.0117976j -0.000316786-0.000528626j -0.00315777-0.00263961j 
-0.00175075-0.000759017j 0.00322048+0.000948891j 0.00412244-0.0116334j 0.00977494-0.00885613j 0.0135813+0.00537581j 0.0107289+0.0140824j 0.00109187+0.00580555j 0.0113801+0.0030246j -0.00380436-0.00100067j -0.0113702+0.0181564j 0.00210955+0.0110724j 0.00865416+0.0014542j 0.00285575+0.00430168j 0.00157986+0.00686595j -0.00633601+0.0056448j -0.00694992-0.00506487j 0.000931267+0.0127814j -0.00780143-0.00886208j 0.000490523-0.00295034j -0.00367505-0.00184938j -0.00380651+0.00639453j -0.00406748+0.00493964j 0.000449012+0.00855122j -0.00969613+0.00735743j -0.00496315+0.00147106j 0.00104467-0.00556793j 
0.000520804-0.00369843j -0.00955698+0.00125417j -0.00338794+0.0130428j -0.0138519-0.0144302j -0.0199827+0.0227622j 0.00159572+0.00911078j 0.00538848-0.0108201j -0.0139647-0.0078013j 0.014915-0.00208977j -0.0160632-0.0128585j 0.0055698+0.013205j 0.000340103+0.00762927j 0.00766876-0.00669614j 0.0132493-0.00198723j 0.00721768+0.0109799j -0.00483293-0.00399517j -0.00433091+0.00564703j -0.00192431-0.00590217j -0.000650589+0.000572521j 0.00757794-0.00809448j 0.00276944+0.00824262j -0.0125822+0.00254957j 0.000663651-0.0163303j 0.0111214+0.00518108j -0.000583622+0.0018901j -0.00224368+6.7051e-05j 
0.00938294+0.00480601j 0.0073717-0.000413024j 0.00213088+0.00409683j 0.0101787+0.00118134j 0.00171191-0.01415j 0.00339164-0.0187363j 0.0084074+0.01019j 0.0244632-0.0130549j 0.00456066-0.00691341j -0.0172916-0.0146537j -0.00996345+0.0138909j 0.00932862-0.00518785j 0.0148642-0.00143271j -0.00836896-0.0175264j -0.00228788-0.00281116j 0.00392943-0.00680286j -0.0080272-0.0258522j 0.021321-0.00315289j -0.0106931+0.00953463j 0.0210252-0.00924693j 0.0143601+0.0170802j -0.00590917+0.00203945j -0.00422726-0.00825646j 0.0094758-0.00816138j 0.000733342+0.00704831j 0.00140286-0.00333109j 
-0.00206709+0.0001479j 0.0028319+0.00360884j -0.00407782-0.00483917j -0.00319703-0.0024936j 0.00305107-0.00311893j 0.00272681-0.00316067j 0.000340786-0.00268775j -0.00289259-0.000425281j -0.00950269-0.00196831j -0.00354563+0.0032074j -0.010827+0.00159082j 0.000673175-0.00206203j 0.00236464-0.00200454j -0.00635352+0.000817881j 0.00547022+0.0117158j 0.030881-0.000470729j 0.00517461-0.00525738j 0.00466989-0.0089405j 0.00141806+0.010395j -0.00892235-0.00690224j -0.00752165-0.00331849j 0.0282498+0.00208469j 0.00896727-0.00560273j 0.00554896-0.00218264j 0.0011959-0.00120503j 0.00181282+0.00289543j 
0.000268818+0.0107747j 0.00613351+0.00234065j -0.00553937-0.00417611j 0.00110267+0.00357798j -0.0109936+0.00757649j -0.0170771-0.0129509j -0.00373831+0.00887168j -0.00954589+0.00876039j -0.00890072-0.0218015j 0.00895438-0.02107j 0.0148025-0.00942587j -0.00778797+0.00437715j 0.000834388+0.00306238j 0.00214712-0.00692394j -0.00321492+0.00319076j -0.00564456-0.000166326j -0.00282299+0.00436974j -0.00826302+0.00226422j -0.000918238-0.00160387j -0.0031652+0.00419496j -0.0014099-0.00601589j -0.000503307-0.00436843j 0.00519741-0.00247152j 0.00177348+0.0103391j -0.000593265+0.00275695j -0.00607618-0.000923382j 
-0.0138865-0.00128578j 0.00925008+0.0079883j 0.00765645-0.00460514j 0.017661-0.00102206j -0.000195984-0.0120383j -0.0139504-0.0130295j -0.00732296-0.0126659j 0.00805189+0.00682273j -0.0105299-0.00205043j -0.012379+0.012778j -0.00764917+0.0139578j 0.00483273-0.00575516j -0.00332429+0.00880605j 0.00593809+0.00545853j -0.0100019+0.00919976j -0.0122664+0.00261962j -0.00542789-0.00188287j -0.00710525+0.00730064j -0.00323034+0.00383978j -0.00100053+0.000665527j 0.00280783-0.00346874j -0.0045999-0.00423433j -0.00195739+0.000604183j 0.00506845+0.00226505j 0.00253015-0.00399451j 0.00723531-0.0042874j 
0.0030659+0.00425017j -0.00127396-0.0013732j -0.00268141-0.00206978j -0.000681846-0.00938089j 0.0144967+0.0146946j 0.0191173+0.0173909j 0.0119717+0.00355128j -0.00285201-0.00635158j 0.00379425+0.00469799j -0.00875289+0.00957401j 0.00734009-0.00565963j 0.000768094-0.00206231j 0.00276329-0.00752008j 0.00319514+0.00734521j 0.00495272-0.00192845j 0.000121825-8.60344e-05j -0.00460842+0.00113274j -0.00219208+0.00971933j 0.000966686+0.00674888j -0.00110649+0.00921j -0.00307869-0.010847j 0.00815636-0.0021233j 0.00801956-0.00273045j 0.00269211-0.000942649j 0.00245408-0.000876593j -0.00320542+0.00295048j 
-0.00102574-0.00175387j 0.0145118-0.0144593j -0.0211451-0.00436409j 0.00928062-0.0164251j 0.00375697-0.0153146j 0.0106821-0.000932809j 0.0200773-0.0046122j 0.0221589+0.00446892j -0.00868404+0.00609464j -0.00436457+0.00876607j -0.00420556+0.000571638j -0.00738351-0.00379617j -0.00335231+0.0153595j 0.0136951-0.00822977j 0.0061329+0.0218861j 0.000932+0.00347279j 0.0120314+0.0203619j -0.0213054-0.0120242j 0.00230355+0.00956347j -0.015312-0.00378429j -0.0086531+0.000965489j 0.00465441-0.00502494j 0.00490467-0.0126878j 0.00428402+0.0152549j 0.00776534+0.00876908j 0.00440366-0.0124843j 
0.00179218+0.00451491j 0.00645166-0.00181689j -0.00319847-0.00592028j 0.00134727+0.000789054j 0.00865599-0.0121698j 0.00249756-0.0113763j 0.00432465+0.00745279j 0.000618745-0.00943928j 0.00251123-0.00166919j 0.0113249+0.0123724j 0.0119737-0.00223597j 0.000552651-0.00956766j 0.00366007-0.00575584j -0.00377606-0.00107995j -0.000484106+0.000456002j -0.00973267-0.0216991j -0.00648575-0.0116847j -0.011053-0.0132254j -0.000803599+0.0070043j -0.00867995-0.00366922j 0.0142426+0.00600716j 0.00624037-0.0124401j -0.00135008-0.00783911j 0.000919402+0.00337154j 0.00309808+0.00502814j -0.00560191-0.00182211j 
-0.00861906+0.00139815j 0.0034645+0.00600119j -0.00482537-0.00375199j 0.000920509-0.00451203j -0.00460277-0.00319977j 0.00341196-0.000935064j 0.000429828-0.00559285j -0.0106972-0.0039958j 0.00589092+0.00727262j 0.00123614+0.00687099j -0.000870007+0.00656827j -0.00605829-0.00700662j -0.00330923-0.00242451j 0.0121453+0.00974444j 0.000831274+0.00810193j 0.00199755-0.0181039j -0.00782878-0.0132751j -9.89756e-05-0.00722366j -0.000162214+0.00845728j 0.00471+0.0043989j 0.00530671+0.000286423j -0.00113403-0.016374j 0.00565754-0.0127699j 0.00570386+0.00373322j 0.00119851-0.00101029j 0.00257053+0.00146967j 
0.000952118+0.00713406j 0.00804706+0.0016991j -0.00666977-0.00587802j 0.010952+0.0063199j -0.00691976-0.00783206j -0.0130998-0.0110981j 0.00375022+0.00822343j 0.00973704-0.00408511j 0.00126711-0.0016758j -0.00134796-0.0161075j 0.00425193-0.00709476j -0.00697658-0.00975462j -0.0047909+0.00700599j 0.0091993-0.00771971j -0.012851-0.00234499j -0.0162005+0.0110802j -0.00866562-0.00483981j 0.00355872+0.0142525j -0.00572939-0.003932j 0.00979639+0.00799006j 0.0101115-0.00972416j -0.0160877-0.00283358j 0.00835025+0.00864139j 0.00273694+0.00630445j -0.000159096-0.00102085j -0.00426364-0.00114228j 
-0.00842699+0.000599252j -0.0066885+0.0132085j -0.00455704+0.00101461j 0.00638603-0.00203886j -0.014856+0.00642037j -0.0147681+0.00410395j -0.00715389-0.0152317j -0.00182386+0.00402077j -0.00922285+0.00657667j -0.00184134+0.0074345j 0.00421668+0.00904962j -0.00234277+0.00289365j -0.00497782+0.00768301j 0.0171535-0.000827849j -0.00651711+0.00477655j -0.011197+0.0135577j 0.00958957+0.00366846j -0.0102797+0.00704047j -0.0107632-0.00646715j -0.000697101-0.00141559j 0.00451931+0.00882657j -0.009578+0.0131431j 0.00681128-0.00641224j -0.00423862+0.0116883j 0.00353852-0.000873085j -0.00169213-0.00687536j 
-0.00103129-0.0101721j -5.79934e-06-0.0265803j -0.00728085+0.0224987j -0.00440608-0.00483602j -0.00559098-0.00283441j 0.00620895+0.000129578j 0.0136529-0.0138207j 0.0127833+0.0101059j 0.00283718+0.01246j 0.00532476-0.00328752j -0.00109441-0.00956959j -0.00307776+0.00809927j -0.00238354+0.0116238j 0.0015077-0.00845804j 0.00898113-0.0112387j -0.00360002+0.0136861j 0.0154779+0.0129703j -0.00311686+0.000394365j 0.00173244-0.0011707j -0.0133472-0.00671875j -0.0109096-0.0135619j -0.000849552-0.00727795j -0.0110539-0.00569436j 0.00375127-0.00134584j 0.0129454+0.00867262j 0.0114663-0.00985257j 
-0.0183381+0.00314967j 0.0259505-0.0200169j -0.00711228+0.000157386j 0.000930165-0.00543623j 0.0027289+0.0105801j 0.00514898-0.0169496j 0.0110325-0.000843209j 0.00432507+0.0162221j -0.00771344-0.0147481j 0.000747694+0.00238672j 0.0101831-0.00294201j -0.00425151-0.000314431j 0.00331016+0.00810534j -0.000259668-0.0155591j 0.00773094+0.00411909j 0.0107581+0.0130371j -0.000853798-0.00335815j 0.00349386+0.0133536j 0.00977913+0.0212332j -0.0106403+0.0163472j -0.00645005-0.0227174j 0.0062784-0.0167256j -0.0174739-0.0143194j -0.003571-0.00143063j 0.01167+0.0238393j 0.0284136-0.00978575j 
-0.000551382-0.014754j -0.00473439-0.01345j 0.0137999+0.00460194j -0.00316398-0.00563106j -0.00178433-0.0104504j 0.00624612+0.00836989j -0.00230005+0.0011976j 0.0085041+0.00276655j 0.00960511+0.00341213j 0.00653288+0.000532247j -0.00444849+0.0035464j 0.0103653+0.00627341j 0.00595092+0.000807969j -0.0104921+0.0049483j -0.000809178+0.00825089j -0.0106288-0.00396621j 0.0143581+0.0177109j -0.00423551-0.0142953j 0.00042486-0.00994392j -0.00436681-0.0168928j 0.0052766+0.0120398j -0.00342716+0.00262833j -0.00684682+0.0129523j 0.00468269+0.00300263j -0.0067951-0.000374333j -0.00341961+0.00100898j 
0.0244293+0.00804522j -0.00385415+0.0284538j -0.0168002-0.0148311j 0.000216345+0.00643896j 0.00647826-0.00469841j -0.00256855+0.00850197j 0.00145485+0.0141728j -0.0178763-0.0204329j -0.00273802+0.00109168j -0.00796628-0.00450774j -0.0125625-0.0020454j -0.0129035-0.00698882j -0.0099767-0.00785446j 0.00798688+0.00398492j 0.00230224-0.00136356j 0.0100186-0.0107757j -0.0165058-0.00713471j 0.00528127-0.00488643j 0.00654208-0.00635052j 0.0162053+0.00347185j 0.00715592+0.00914839j -0.00189205+0.00541004j 0.0134234+0.0120627j 0.0068279+0.00242352j -0.00885458-0.0243473j -0.0265283+0.0131684j 
