0.119961+0.175849j 0.185663-0.125964j -0.0318205+0.0619031j -0.0515961+0.039477j 0.0827736-0.0653486j -0.0854809-0.0994843j 0.0843726+0.124613j 0.053252-0.131213j 0.101-0.0670142j -0.0358736-0.0360797j 0.103891+0.0910177j 0.0520006+0.0652384j -0.126447+0.153668j 0.0391878+0.0544437j -0.106024-0.102402j -0.0211023+0.0856902j 0.067363-0.0564638j -0.0898034+0.0549935j -0.0329213+0.0244413j 0.0802863-0.0492964j 0.0662966-0.0337028j -0.15523+0.0203269j -0.0131204-0.00648294j -0.0177506+0.017608j 0.0253505-0.0302234j 0.066982-0.058782j 0.0494146+0.00434622j -0.0949899-0.120132j -0.167334-0.0655282j -0.019009-0.140106j -0.104299+0.0640339j -0.0770332-0.15545j -0.339799-0.00615023j -0.0241958+0.338132j 
0.0131577-0.00756832j -0.00839219-0.00522022j -0.00585375-0.0181995j -0.0126351+0.0345562j -0.00522779+0.00908673j -0.00398108+0.0047233j -0.0159825-0.00592744j -0.00944625-0.0133778j -0.0010175-0.00129421j 0.0167865-0.00663386j -0.00410535+0.000662681j 0.0153381+0.00379095j 0.00710316-0.0292738j -0.0109904-0.000780304j 0.0126885-0.018945j -0.00771952-0.0096808j -0.00718101+0.0134904j 0.0319168+0.033687j -0.00378936-0.0113422j -0.00141689-0.000331305j 0.00618638-0.0218314j -0.00803757+0.0201563j 6.83223e-05+0.00199058j 0.00212089+0.00599521j -0.00852458-0.0125348j 0.0221155+0.00554372j 0.0313452-0.000500785j -0.033541+0.0192566j 0.02916-0.0144361j 0.00131067-0.0174488j -0.0108375-0.0211053j 0.00402838+0.00975656j -0.00518278-0.00543464j -0.00593327+0.00476937j 
0.0130514-0.00308593j -0.000770737+0.00100829j -0.0107714-0.00375451j -0.0249137+0.0229664j -0.00310726-0.0123326j 0.0045096+0.0135739j -0.00947263+0.0123943j -0.014541+0.00224659j 0.0109252+0.0067945j -0.0192651+0.0201096j -0.0013886-0.0062141j -0.021155+0.00476287j 0.00721234+0.0194892j 0.0172095-0.00587127j -0.0399064+0.0193773j 0.00989158+0.0360089j 0.00555811-0.018016j 0.00237193-0.0215356j -0.0158116+0.0113399j -0.0183902-0.00284266j 0.0189976+0.0294732j -0.00228832+0.0119108j -0.00213644-0.00899591j -0.0126968+0.00162693j 0.00570909+0.0289154j -0.0306395-0.024084j -0.0283591+0.0222691j 0.0111354-0.0206743j -0.0486322-0.0106957j 0.0262624+0.00460912j -0.00722918+0.00320664j 0.0222382-0.0211586j -0.00483121-0.00841772j -0.00539069+0.0038338j 
0.00729125-0.00168794j 0.0138084-0.0113184j 0.0237067+0.0174856j -0.0199058-0.0375624j -0.0147372-0.0140091j 0.0139958+0.00225002j 0.0189127+0.00502768j -0.0320692-0.00155058j 0.0351239-0.0159905j 0.00325173+0.0106878j -0.000747475-0.00423922j -0.0168026+0.0191358j -0.0088305-0.00926692j -0.0143305-0.00778754j -0.00348542-0.00398351j -0.00407384+0.00319433j -0.00766977+0.00662277j -0.0023667+0.0100292j -0.0262786-0.0343196j -0.0014444-0.0118717j -0.00477775-0.00295045j 0.012033-0.00791542j 0.000673244+0.00014275j 0.0133556-0.0131947j -0.0151558-0.0177799j 0.0157885+0.00303882j 0.00756966+0.0085875j -0.0133097+0.00108786j 0.00305045-0.00561357j -0.0186599+0.00768491j 0.00693285+0.0251661j 0.0136542+0.000266854j -0.00254456-0.00880157j -0.00859683+0.00345659j 
0.00561367-0.00528688j -0.00594248-0.010823j 0.00205898-0.00575349j 0.0193571-0.00312013j -0.00868174-0.0025658j -0.0215327-0.00467527j 0.0185564-0.00595016j 0.0274421-0.00347013j 0.00782729+0.00651313j 0.0119251-0.0092845j 0.0126544-0.0378283j -0.00356057+0.0092679j -0.0174735+0.0242499j 0.0107798-0.00349628j -0.00346742-0.0184972j 0.00957081+0.0153047j 0.0142521+0.00792656j -0.0139393-0.0218577j -0.0132591-0.0117593j -0.00953272+0.00964394j 0.00218331+0.0202817j 0.0131043+0.00254767j 0.00373791-0.00109518j -0.000545988-0.00396952j -0.00263187+0.0199786j -0.0146196+0.00865564j -0.0107299-0.00302768j -0.0110542+9.16269e-05j -0.00556821-0.0117081j 0.0148202-0.0100774j -0.00923212-0.00222709j 0.00917574-0.0069265j 0.0074936+0.005157j -0.00173822+0.00471085j 
-0.00916193+0.0226461j -2.37071e-05-0.016836j 0.00751418-0.0119951j 0.0243507-0.01619j 0.00656817-0.00646228j -0.0268204-0.000954446j 0.017401-0.0189096j 0.014648+0.0207349j 0.00480332+0.000844032j -0.0140035+0.0183582j -0.0207451+0.0101879j -0.0185294+0.00242579j 0.0162022-0.0168566j -0.00500584+0.0165264j 0.00784754+0.0179531j -0.0163934+0.00358291j -0.000910593-0.0276535j 0.021046+0.00427103j -0.00243531+0.00788672j 0.00135078+0.000187245j 0.000356666-0.00246687j 0.00420517+0.00165991j 0.00204825+0.0252015j 0.00444974+0.00912284j -0.00935269-0.0141421j 0.019852+0.00490869j 0.013774-0.0096299j -0.0220734+0.017116j 0.0040278-0.0196836j -0.00257228-0.0030782j -0.00144651-0.0103391j 0.00841533+0.00363307j -0.000133894-0.000764751j -0.00222988+0.000127374j 
-0.0122279-0.00441998j -0.00599683-0.000673705j -0.0025849+0.00242756j 0.00014102+0.00574745j 0.00896812+0.0207504j -0.00658657-0.00517389j 0.00177517-0.00500273j -0.00546276-0.00926025j 0.0181778+0.0155987j 0.0106932+0.000577946j -0.0280863+0.0172436j -0.010424-0.00675415j -0.00386766-0.00581196j -0.00534987-0.00299039j 0.011996+0.00418487j 0.00443281-0.0102883j 0.0116453+0.0102585j -0.0170218+0.00388076j -0.000802093-0.00193366j -0.0158841-0.0044945j -0.0223236-0.00484282j 0.0194399+0.000581155j 0.000268093+0.00189838j 0.00933825-0.0180892j 0.00112487+0.0117051j -0.0151299+0.0181597j 0.0164022-0.0254726j -0.00219799-0.00484528j -0.0177682+0.00923122j -0.000115697+0.0095154j 0.00787189+0.00703265j 0.0130988+0.0101097j 0.0205482+0.00243287j 0.0180203-0.0186397j 
0.00164103+0.0161719j 0.0108627+0.000965226j -0.00514945-0.00516971j -0.000364527+0.00214359j 0.00556889-0.0123593j 0.0037681+0.0038729j -0.00370201-0.000470477j 0.0154297+0.0177019j -0.0129991+0.00968087j -0.00354619+0.0126355j -0.00634082-0.0036492j -0.007771-0.000164031j -0.000934331-0.0146393j -0.00662251+0.0118709j 0.00769933-0.00363643j 0.00774909-0.0163134j 0.0158514+0.0112728j 0.0290074+0.0136716j 0.00791388-9.47898e-05j -0.0169608+0.0139809j -0.000896782-0.0179616j -0.00597252+0.00844473j 0.0106213-0.0161706j 0.0111941+0.0126681j -0.00737264+0.00302773j 0.00985931+0.00409661j 0.0133237-0.0122252j -0.00996761-0.00355951j 0.00621326-0.00627542j 0.00950932+0.00841658j -0.0049875-0.0060058j 0.00959945-0.00177324j 0.00725225+0.0150718j 0.0183271-0.00370623j 
0.0154168+0.0152886j 0.0062688-0.0166767j -0.0040007+0.0110841j 0.000967143+0.0188385j 0.00663519-0.0133902j -0.00559511+3.19484e-05j 0.0115913-0.00407714j 0.00697065+0.00488528j 0.00845028+0.006622j 0.0026741-0.000783568j -0.00250873-0.00708529j -0.00240065+0.00965136j 0.0116729-0.0036062j -0.00603861+0.00194364j -0.00261317-0.00367309j 0.000249062-0.011837j 0.0159623-0.0108946j 0.00747083+0.0173358j 0.0015494-0.0102096j 0.00287156+0.016932j -0.00424923+0.00255526j 0.000162338+0.00548696j 0.00826143+0.00146838j 0.0124573-0.00139923j 0.00568536-0.00551887j 0.00944074-0.00148368j -0.0173223-0.0110327j -0.0145224-0.0018636j 0.000627972-0.00760454j -0.000670165+0.00725035j -0.00399275+0.00333614j 0.00925948-0.00178539j -0.00113591-0.00986375j -0.00628889-6.01971e-06j 
0.00632081+0.0162241j 0.0114313-0.0134939j -0.00755411+0.0142884j 0.0040094+0.0170478j 0.0169564+0.00101268j -0.0136964-0.00670451j 0.0140637+0.000601663j -0.00339345+0.00128789j 0.00188826-0.00587936j -0.00228634-0.00150897j 0.00345072+0.000363971j 0.0072645+0.0163435j 0.00396331-0.0068175j -0.0115653-0.00402826j -0.00263183+1.43848e-05j -0.00803665+0.00826817j -0.00814653+0.00597159j -0.0229407+0.00612674j -0.00351247-0.010075j 0.0324849-0.0071895j -0.0157506+0.0166936j 0.00777622+0.0116053j -0.00202434+0.028083j -0.00123764-0.0162816j 0.0155734-0.0325598j -0.00919007-0.0205046j -0.0123937+0.000972048j -0.00451656-0.0091159j -0.019826-0.0188458j -0.0120071+0.0115235j 0.00869112+0.0087904j 0.00557179-0.0151659j -0.0244207-0.000177744j -0.00973735+0.0166154j 
-0.00721415+0.000309556j 0.00866776-0.0109737j -0.0113827-0.00251667j 0.00753593-0.0220854j -0.000335218+0.00780325j -0.0101316+0.00540149j 0.00742281+0.0107065j 0.00536721-0.0155971j -0.0129869-0.00114656j 0.00030635+0.0140211j -0.0119236+0.00200854j 0.0118925+0.0129052j -0.0145667+0.00521583j 0.000857865+0.00893591j -0.00989605-0.00816455j -0.00430341+0.0080876j 0.00573477+0.00471816j -0.014132-0.00325725j -0.00974982-0.00687765j -0.00960108+0.00479007j 0.00422353+0.0181478j -0.00122993+0.01815j 0.00381345-0.0248922j -0.0206651+0.0181626j 0.00887067-0.000272248j 0.014019-0.0234912j 0.00126712+0.000161508j -0.0184772-0.0171408j -0.00627642+1.33795e-07j -0.00104265-0.013048j -0.0112274+0.000629612j -0.0133192+0.000702135j -0.00778057-0.00258621j 0.00279472+0.0147529j 
-0.00854825-0.00742453j 0.00233803+0.00804023j 0.00787028-0.0107538j -0.00811244-0.00978928j -0.0114635-0.00174168j 0.0105952-0.00276593j -0.0159566+0.00298183j 2.48644e-06-0.00223225j -0.0118254-0.00311706j -0.0101924+0.00350105j -6.31811e-05+0.0163981j 0.00276737-0.00395807j -0.000897231-0.00642794j 0.00373335-0.00736015j 0.0047056+0.0118845j -0.00466583+0.0186502j 0.00572841-0.00718224j -0.0109133-0.0160476j 0.00458853-0.00835535j -0.00980295-0.00201383j -0.0013741+0.0138181j -0.00043345+0.00233035j -0.0134316+0.022813j -0.00626032+0.0145873j -0.0012535+0.00605988j 0.00695012+0.000553363j 0.0015349-0.000679503j -0.00190328-0.0119983j 0.00472092-0.00608351j -0.00202181-0.00202426j 0.00875373-0.008964j -0.00144529+0.00562613j 0.0111251+0.0175049j 0.00833104-0.0166465j 
0.00226653-0.00771774j 0.00176278+0.0117433j 0.00961402+0.000912073j -0.000734429+0.0191109j 0.00441829+0.00300766j 0.00304121-0.0142452j -0.00706051-0.00679264j 0.003587-0.00399507j 0.00391024-0.00443783j 0.00994319+0.00280923j -0.00971106+0.00675861j 0.00164391-0.00016174j -0.000968876+0.00626014j 0.00268419-0.0032673j -0.00744276+0.00618218j 0.00858752-0.000720326j 0.00256985+0.00380835j 0.0171268+0.0105639j 0.00176791-0.0241613j -0.0129845+0.000761016j 0.000270925-0.00110654j -0.00210136+0.00962796j -0.00178695+0.00682536j 0.00147235+0.00562348j -0.00300961+0.00200779j 0.0197497-0.00148886j -0.0103749+0.00460104j 0.000232942-0.00741878j -0.0070144+0.00659011j 0.0025605+0.00437093j 0.00244133+0.0036873j -0.00125493+0.00361132j -0.0070746-0.00804491j -0.000198074+0.00893226j 
-0.0166534-0.00612582j -0.0205386+0.000491279j 0.00187325+0.00221651j 0.00820886-0.00200093j 0.0143505+0.0133782j -0.00732555+0.00284257j 0.000667413-0.00102573j -0.0242419-0.00329104j 0.0140562-0.000976222j -0.00330541+0.000660374j 0.013973+0.0173687j -0.00129421-0.00451662j 0.00227353+0.00400452j 0.0054377-0.00341899j 0.0106125+0.00524798j -0.0103253+0.0118742j -0.00956898-0.00719195j -0.0115524-0.0146786j 0.00469869+0.0108695j -0.00585223-0.0155038j 0.00769377+0.0124383j 0.00209138+0.00185905j -0.00213243-0.0258224j -0.0246582+0.00536477j -0.0104746+0.017147j -0.000430974+0.0120912j 0.0128601+0.00100916j -0.00948105+0.00500992j 0.0113582-0.000318556j 0.00672664-0.0106533j -0.00365924-0.00365592j 0.0134165+0.0117011j -2.65019e-05+0.000552466j 0.0047158-0.0116956j 
-0.0034653-0.00309602j -0.0046782+0.00694469j 0.000955951+0.00564172j 0.000541316-0.00382593j 0.00296564+0.00683425j 0.00200042-0.00962863j -0.00351461+0.00630664j -0.00427929-0.0075278j -0.0133272-0.00160645j -0.00831236+0.0236475j 0.0056653-0.00269578j 0.00707854+0.0104063j -0.00980006-0.00193382j -0.0120109-0.00708017j -0.00829479-0.00998019j 0.00382861+0.00477617j -0.00648773-0.00228437j 0.00134033+0.0136478j 0.00499431+0.00561531j 0.00619001-0.00588129j -0.0188764+0.00290535j 0.00875169+0.000349564j -0.000150437+0.0209588j -0.00920112-0.0292505j 0.015254+0.000315317j -0.0107017+0.0230231j -0.00127869-0.0135667j 0.0013239+0.00729801j -0.0169605+0.00605018j 0.012166-0.00243544j -0.00674-0.0147362j 0.00370436+0.0120895j -0.00254538+0.00269691j -0.00121174+0.0100708j 
-0.0202393-0.000262033j -0.00882061-0.0040525j -0.0082578-0.000965436j 0.00413207-0.0230721j -0.000309196+0.0117618j -0.0048665+0.00695076j -0.0010016+0.00436681j -0.00535622-0.0038979j -0.00586719-0.00169286j 0.00298154+0.00318735j -0.00442471+0.0114098j 0.00893226+0.00132387j -0.00856564+0.00769418j 0.00644348-0.00529625j -0.00205665+0.00260716j -0.00125213+0.0136763j -0.000658069+0.00585067j 0.000400199+0.0119097j -0.00577073-0.0190244j 2.07398e-05+0.00300102j 0.00921669-0.00113269j 8.20745e-05-0.0056294j -0.00538616+0.0193287j 0.00820532+0.0013262j 0.00354583+0.00117156j 0.00638407+0.00709782j -0.00884514+0.0146773j 0.00568103+0.00549057j 0.000430356+0.00191356j -0.00254773+0.00256412j -0.000709186-0.00417317j -0.012014+0.0174918j 0.00117476-0.000846656j 0.00550604+0.00289907j 
1.22375e-05+0.00681088j -0.00971815+0.00599254j 0.000273359-0.00590119j 0.0057458+0.000124486j -0.00995409+0.00278301j 0.00238941+0.00246511j -0.000840963+0.00295933j 0.00405043+0.0128182j 0.0151083-0.0114999j -0.00845446-0.0107539j 0.0038495-0.00880855j -0.0081436-0.01113j 0.000228256-0.00672679j -0.00541188+0.00305088j 0.0140193-0.0132079j 0.0076016-0.0118434j -0.00668238-0.000561982j -0.0227428+0.00441661j -0.00523333+0.0017145j 0.0124028-0.00248055j 0.00520763+0.0152953j 0.022812+0.0104354j 0.00352039-0.0314542j -0.014183+0.000687073j 0.0126965-0.0137567j -0.00165266-0.016896j -0.00227986+0.00172541j 0.000898539+0.0142211j 0.00236414-0.00547876j -0.00790525+0.00761735j 0.00150953-0.0043803j -0.0143444+0.0128542j 0.00428488+0.000617692j -0.00247056+0.00348124j 
0.00124517-0.000969118j 0.00216616-0.0061847j -0.00365778-0.0107123j -0.0164424-0.020925j -0.0186255+9.79237e-05j 0.000490461+0.00814069j 0.00170621+0.00973328j -0.00913028-0.00201263j 0.00701788-0.00633768j 0.00184217-0.00298572j 0.00607522-0.00154246j -0.00851755-0.00320494j 0.00069291+0.00283297j 0.00332032+0.00435148j -0.00459457-0.0072133j -0.00389799-0.00391793j -0.0061925-0.00377085j 0.00259206+0.013721j 0.00513861+0.00683213j -0.0103707+0.00195674j -0.0160317-0.00195155j -0.00184274+0.000562605j -0.000826785+0.00236319j -0.00391936-0.0207716j 0.0178385+0.00705614j -0.000797337+0.0177969j 0.000547606-0.0197693j -0.00304905+0.00340872j -0.00851724+0.00961484j 0.00802634-0.0106144j -0.0121604-0.00684895j 0.0115335-0.00175656j -0.00764971-0.0070593j 0.00273176+0.0113726j 
0.00353806+0.00322939j -0.0130931+0.00228772j -0.0144511+0.00318238j 0.00576726-0.00589346j 0.000176287+0.0139215j 0.000311698+0.00927117j 0.00816851-0.00282965j 0.0143505+0.0111525j 0.00833625-0.014736j -0.00366778-0.0227849j -0.00152017+0.00228044j -0.0130637-0.00916108j -0.00348259-0.00423288j 0.0119542-0.00159771j 0.00276058+0.00104563j 0.00148878+0.00412306j 0.00866316+0.00370154j 0.0181467+0.0138619j -0.00561961-0.00799105j -0.00177858+0.00460384j -0.00225417-0.00318436j -0.00841318+0.00366144j 0.00810699+0.0181608j 0.00699378-0.00365976j -0.000773486-0.022613j -0.00899192-0.00695805j -0.00334411+0.011409j 0.00321172-0.0214962j 0.000603907+0.000734303j 0.00908807-0.00461874j -0.0118192-0.00636732j -0.0073441-0.00120777j 0.00527921+0.00528717j 0.00403051-0.0117802j 
0.00994823+0.00723102j 0.00591004+0.00912387j -0.00136055+0.0101151j 0.0126387+0.00718234j 0.0122865+0.00653815j -0.00456609-0.00787237j 0.00847761-0.00186044j 0.00604405-0.00620277j -0.00849126-0.00128144j 0.00698888+0.0139514j -0.00547007+0.00177428j 0.00525878+0.00181743j -0.00604508-0.0049562j -0.0162056+0.00522341j 0.00205344-0.000474052j -0.000983474-0.0148737j 0.00031373-0.0106508j 0.000484649+0.00795147j 0.0042188-0.0100543j -0.0100339+0.00125482j -0.00369884+0.00512978j 0.0132412+0.00452342j -0.0221836-0.00963022j 0.00290049+0.0193341j -0.00581186-0.000400713j 0.00842957-0.0101489j -0.00360439-0.0187464j -0.02129-0.00339161j -0.00918493+0.00466779j -0.000514906+0.0101368j 0.011223+0.0118531j 0.0179393-0.00355916j -0.00746246-0.00331187j -0.00424263+0.00492221j 
