-0.588638-0j -0.0144169-0j 0.824574-0j -0.0735336-0j -0.00169798-0j -0.0525349-0j 0.072094-0j 0.0904375-0j -0.0464775-0j -0.00670845-0j -0.00103914-0j -0.000149987-0j -0.0428676-0j -0.00618741-0j 0.0415974-0j -0.000742399-0j 0.00600406-0j -0.000107156-0j 0.0600496-0j 0.00866742-0j 0.038568-0j 0.00556681-0j -0.0346205-0j -0.0061201-0j -0.000510008-0j -0.000758406-0j -0.000134068-0j -0.030293-0j -1.11724e-05-0j -0.0201953-0j 0.0293953-0j -0.00535509-0j -0.00357006-0j -0.000699501-0j -0.000446257-0j 0.00519641-0j -0.0124952-0j -0.000297505-0j 0.040008-0j 0.000433034-0j -0.000123656-0j 0.021001-0j -0.00220886-0j -1.03046e-05-0j 0.00707247-0j 0.0372567-0j -0.000184072-0j 0.00371249-0j 0.000589373-0j 0.0162428-0j 0.00658612-0j 0.000309374-0j 0.000548843-0j 0.00287135-0j 0.000239279-0j -0.0277407-0j -0.00462346-0j -0.00283128-0j -0.000577932-0j -0.000599196-0j -3.4055e-05-0j -9.9866e-05-0j -0.0234501-0j -6.11552e-05-0j 0.0227552-0j -1.24832e-05-0j -0.0214069-0j -7.35582e-07-0j -0.00390835-0j -0.000524296-0j -0.00239336-0j 0.00379253-0j -0.00356782-0j -0.000349531-0j 0.0299871-0j 0.00232244-0j -0.000488543-0j -0.00218483-0j -0.0152938-0j 0.000474067-0j -2.87877e-05-0j -0.000445977-0j -8.73827e-05-0j 0.0209878-0j 2.79347e-05-0j -5.82552e-05-0j -5.35108e-05-0j -0.000216261-0j -2.62795e-05-0j 0.00499785-0j 0.0263279-0j -3.56739e-05-0j -0.00254897-0j 0.00306055-0j -1.09228e-05-0j 0.0214238-0j -0.00156092-0j 0.00349797-0j -7.2819e-06-0j -6.43635e-07-0j 0.000624732-0j 0.0194594-0j -3.60435e-05-0j -0.000318621-0j 0.00214206-0j 0.00438799-0j -4.2909e-07-0j 3.68127e-05-0j 0.00644646-0j -2.20721e-05-0j 0.00357064-0j 0.000437246-0j 0.00268708-0j -1.87749e-05-0j -4.50544e-06-0j 0.00218656-0j 2.5765e-05-0j 0.00324323-0j 0.000548499-0j 0.00198606-0j 0.00044633-0j -2.65486e-07-0j 0.00107441-0j 3.23206e-05-0j 0.000405403-0j 0.000657939-0j 2.63002e-05-0j 2.38886e-05-0j 0.000134301-0j 7.91378e-06-0j 
0.0152938-0j -0.00109499-0j -0.0214238-0j 0.00191053-0j 4.41164e-05-0j 0.00115956-0j 0.0054757-0j -0.00234972-0j 0.00120756-0j 0.000174297-0j 2.69987e-05-0j 3.89693e-06-0j -0.00325589-0j -0.000469947-0j -0.00108077-0j 1.63864e-05-0j -0.000155996-0j 2.36518e-06-0j 0.0045609-0j 0.000658309-0j -0.00100206-0j -0.000144635-0j 0.0008995-0j 0.000159011-0j 1.32509e-05-0j 1.97047e-05-0j 3.48333e-06-0j -0.00230082-0j 2.90277e-07-0j 0.000524709-0j -0.00076374-0j -0.000406731-0j 9.27562e-05-0j -5.31287e-05-0j -3.38942e-05-0j -0.000135012-0j 0.00399915-0j 7.72969e-06-0j -0.00103947-0j -1.1251e-05-0j -9.39191e-06-0j -0.00046354-0j 0.000706957-0j -7.82659e-07-0j -0.000183755-0j 0.00282973-0j 5.89131e-05-0j -8.19431e-05-0j -1.53129e-05-0j -0.000422016-0j 0.00050023-0j -6.82859e-06-0j 4.16858e-05-0j -7.46025e-05-0j -6.21688e-06-0j -0.138012-0j 0.000120125-0j 7.35614e-05-0j 1.50157e-05-0j -0.00298104-0j 8.84806e-07-0j 2.59469e-06-0j 0.341048-0j 1.58892e-06-0j 0.113209-0j 3.24336e-07-0j -0.106501-0j 1.91117e-08-0j -0.000296848-0j 0.00762514-0j -0.000181781-0j -9.85365e-05-0j 9.2698e-05-0j -0.00173894-0j 0.149188-0j -6.03411e-05-0j -3.71059e-05-0j 5.67657e-05-0j -0.0646388-0j -1.23171e-05-0j -2.18649e-06-0j 1.15872e-05-0j -6.63691e-06-0j -0.305238-0j -7.2579e-07-0j 1.51357e-06-0j -4.06426e-06-0j -0.0132536-0j 6.82785e-07-0j -0.000129853-0j 0.130983-0j 9.26868e-07-0j 5.62616e-05-0j -7.95183e-05-0j -8.29614e-07-0j 0.0905471-0j 3.4453e-05-0j 0.000265679-0j 1.89196e-07-0j -4.88855e-08-0j -1.62316e-05-0j -0.283008-0j 1.15359e-05-0j 7.03269e-06-0j 0.000162694-0j -0.000114007-0j 1.11485e-08-0j -9.56456e-07-0j 0.0320715-0j 7.06428e-06-0j -7.88121e-05-0j 3.32098e-05-0j -6.9815e-05-0j 4.14406e-07-0j 1.44199e-06-0j -4.82623e-05-0j 1.95691e-06-0j 0.00024633-0j -1.42509e-05-0j 0.000150846-0j -9.85151e-06-0j 8.49701e-08-0j -2.7915e-05-0j -8.39744e-07-0j 3.07913e-05-0j -1.70944e-05-0j -5.80506e-07-0j 1.81439e-06-0j -3.48938e-06-0j -2.05614e-07-0j 
-0.00566402-0j -0.00346654-0j 0.00210279-0j -0.0171148-0j 0.0388226-0j 0.0357442-0j 0.0168012-0j -0.00720655-0j 0.000230012-0j -0.00315595-0j 0.000259827-0j -0.00356502-0j 0.000396663-0j -0.00544252-0j -0.000416757-0j -0.000542648-0j 0.00571823-0j 0.00744556-0j -0.000147263-0j 0.00202056-0j 4.89277e-05-0j -0.000671327-0j -0.0245472-0j -0.00142444-0j -0.000361157-0j -0.0271688-0j -0.00157656-0j 0.020655-0j -0.000399728-0j 0.0700015-0j -0.0217014-0j 0.00119858-0j 0.00406208-0j -0.0468534-0j 0.000303893-0j -0.0012593-0j 0.0432784-0j 0.00102992-0j 0.0284212-0j -0.000319288-0j -0.00271883-0j 0.0453234-0j 0.00251138-0j -0.000689342-0j 0.00164924-0j 0.00869727-0j 0.000636745-0j 0.00263005-0j 0.000418154-0j -0.00235939-0j 0.000504689-0j 0.000666833-0j 0.000127961-0j -0.000136912-0j -3.47131e-05-0j 0.000137286-0j 0.154174-0j 1.40117e-05-0j -0.000271885-0j 0.000149823-0j -3.22104e-05-0j 0.168253-0j -0.000111601-0j 1.52912e-05-0j 0.000117255-0j -0.000296712-0j -0.000205982-0j -3.51518e-05-0j -0.12533-0j -0.000126067-0j -1.13902e-05-0j 0.131679-0j -0.231321-0j -0.00042725-0j 7.64719e-05-0j 1.19673e-05-0j 0.000221018-0j -2.1023e-05-0j 0.000430195-0j -0.000232214-0j 2.61842e-05-0j 0.000407932-0j -0.141575-0j 0.000202209-0j -2.75106e-05-0j -0.479808-0j -1.28666e-05-0j -0.000264147-0j 4.83282e-05-0j 0.0858791-0j -8.67335e-05-0j -4.3606e-05-0j 0.483115-0j 7.80488e-06-0j 0.000249666-0j -0.000159712-0j 4.39066e-05-0j 0.227084-0j 0.000846136-0j 2.95782e-05-0j -0.000151447-0j -2.37396e-05-0j -0.296642-0j -0.000851968-0j 2.06379e-05-0j -0.097403-0j 0.000100243-0j -1.79421e-05-0j 5.44283e-06-0j -2.69594e-05-0j -0.179359-0j -0.00040046-0j -8.8522e-06-0j -0.000100933-0j 0.000523124-0j -1.63005e-05-0j -4.74429e-05-0j -0.0266599-0j 0.000171769-0j -2.42291e-06-0j 0.000316297-0j 6.1975e-05-0j 0.00611238-0j 2.03496e-05-0j 4.70144e-05-0j 5.55506e-07-0j 3.7472e-05-0j 5.56984e-06-0j -1.07791e-05-0j -1.27701e-06-0j 
-0.0126168-0j -0.0291359-0j -0.0348072-0j -0.0015761-0j 0.0035684-0j 0.0032917-0j 0.00136713-0j -0.000812043-0j -0.00099619-0j -0.000143788-0j 0.00218381-0j 0.000315206-0j 0.000883578-0j 0.000127533-0j -0.000820276-0j -0.0045609-0j -0.000118397-0j -0.000658309-0j 0.00243762-0j 0.00035184-0j 0.002662-0j 0.000384227-0j -0.00074205-0j -0.000131177-0j -1.09314e-05-0j 0.00159383-0j 0.000281752-0j 0.000624391-0j 2.34793e-05-0j -0.000432862-0j -0.000579658-0j 0.000110378-0j -7.652e-05-0j -0.00141366-0j 9.19815e-06-0j -0.00010247-0j 0.00130828-0j -6.37667e-06-0j -0.00168883-0j -8.53917e-06-0j -0.000249902-0j 0.00121062-0j 0.000231274-0j -2.08252e-05-0j -0.000298546-0j 0.0003217-0j 1.92729e-05-0j 0.000214009-0j -2.48788e-05-0j 0.00308015-0j 5.6869e-05-0j 1.78341e-05-0j 4.73908e-06-0j 0.000544499-0j 4.53749e-05-0j 0.113854-0j -9.90983e-05-0j -6.06851e-05-0j -1.23873e-05-0j -0.241124-0j -7.29928e-07-0j 0.000209874-0j -0.092553-0j 0.000128521-0j 0.0859222-0j 2.62342e-05-0j 0.0878585-0j 1.54587e-06-0j 8.0558e-05-0j 0.202891-0j 4.93315e-05-0j -7.47866e-05-0j -7.64719e-05-0j -0.140656-0j 0.242384-0j -4.57972e-05-0j 1.00697e-05-0j -4.68293e-05-0j -0.183493-0j -9.34832e-06-0j 5.93365e-07-0j -9.55899e-06-0j -0.000176596-0j -0.0762093-0j -5.50855e-07-0j 0.000122426-0j -0.000108143-0j 0.425118-0j -5.63269e-07-0j -0.000210971-0j 0.0452666-0j 7.49705e-05-0j 0.000159712-0j -0.000129193-0j -2.20746e-05-0j -0.50622-0j 9.78031e-05-0j 6.63325e-05-0j 1.53033e-05-0j -1.30076e-06-0j -2.63714e-05-0j 0.247319-0j -0.000370022-0j 1.9964e-05-0j 4.06202e-05-0j -3.94e-05-0j 9.01755e-07-0j -1.55395e-06-0j -0.434677-0j -0.000226591-0j 0.000440614-0j 8.29156e-06-0j -2.41274e-05-0j 1.17639e-06-0j -4.62527e-05-0j 0.00026982-0j 4.88585e-07-0j -0.000215266-0j -4.92499e-06-0j -0.000131823-0j 5.50767e-05-0j -2.72547e-06-0j 0.000378342-0j -2.90208e-07-0j -2.69082e-05-0j 0.000231686-0j 3.24543e-06-0j -1.58558e-06-0j 4.72927e-05-0j 2.78675e-06-0j 
-0.000445977-0j -1.09228e-05-0j 0.000624732-0j -0.0155079-0j 0.000122291-0j 0.00378365-0j -0.00519234-0j -0.00651346-0j 0.00334951-0j -0.0224787-0j -0.00021929-0j 0.00147166-0j 0.00308936-0j -0.0207328-0j -0.00299782-0j 5.35028e-05-0j 0.0201184-0j -0.000359059-0j -0.00432762-0j 0.0290428-0j -0.0027795-0j 0.0186533-0j -2.623e-05-0j -0.0419273-0j -0.0052374-0j -5.746e-07-0j -0.000918471-0j 6.72064e-05-0j -0.000114732-0j -1.53008e-05-0j -6.52149e-05-0j 0.107426-0j -0.0244576-0j -5.29972e-07-0j 0.0134193-0j -0.104243-0j -9.46689e-06-0j -0.00305515-0j 3.03117e-05-0j -0.0130216-0j -0.000847134-0j 1.59113e-05-0j -0.0151324-0j -0.000105821-0j 0.0484518-0j 2.82273e-05-0j -0.00189028-0j 0.0254334-0j 0.00605241-0j 1.23062e-05-0j 0.0451199-0j 0.00317704-0j 0.0056362-0j 0.0196709-0j 0.00245721-0j -2.10175e-05-0j 0.000332989-0j 0.000410231-0j 0.184205-0j -4.53976e-07-0j -0.000704368-0j 7.19252e-06-0j -1.77668e-05-0j 8.86093e-06-0j 1.72403e-05-0j 0.0039788-0j 4.74922e-05-0j -1.52142e-05-0j 0.000281486-0j 1.16318e-06-0j 0.000346781-0j -0.000273145-0j -0.000752438-0j -2.64819e-07-0j -6.65279e-05-0j -0.000336505-0j 0.155714-0j -0.000926977-0j -1.15872e-05-0j -0.1511-0j -0.000595424-0j -0.416238-0j -1.84287e-05-0j 1.59013e-05-0j 0.00057778-0j 4.19564e-06-0j -2.27035e-05-0j -1.63849e-07-0j 0.00159162-0j 0.00105403-0j 1.99471e-05-0j 5.16888e-06-0j 0.000183581-0j 0.00129852-0j -0.0101945-0j 1.62316e-05-0j 0.000226166-0j -0.00025193-0j 0.00232096-0j 3.89819e-05-0j 0.583072-0j 1.47432e-05-0j 2.59592e-06-0j 0.101554-0j -0.000310369-0j -0.00031603-0j -8.87498e-06-0j -0.00222957-0j 4.88411e-06-0j 3.19808e-06-0j -0.000257163-0j -0.139364-0j -0.000389338-0j -0.000388327-0j 0.00143602-0j -0.000316816-0j 0.000532904-0j -0.000233583-0j -0.174823-0j -0.000287766-0j -0.142259-0j -5.49111e-06-0j -7.73809e-05-0j 0.000668495-0j -0.129215-0j -9.53305e-05-0j 0.000543975-0j 0.000494095-0j -0.042806-0j 0.000163683-0j 
-0.00346849-0j -0.00212281-0j 0.00128769-0j 0.000222848-0j -0.000505504-0j -0.00046542-0j -0.000218766-0j 9.38353e-05-0j -0.026937-0j 2.03304e-05-0j -0.0304285-0j 2.29656e-05-0j -0.0464536-0j 3.50604e-05-0j 0.0488068-0j 0.0635501-0j -3.68365e-05-0j -4.79638e-05-0j 0.0172461-0j -1.30163e-05-0j -0.00572998-0j 4.32464e-06-0j 0.00010492-0j -0.00354703-0j 1.54562e-06-0j 0.000116125-0j -0.00392584-0j -8.82839e-05-0j 1.71068e-06-0j -0.000299201-0j 9.27562e-05-0j 0.00298462-0j 0.0101151-0j 0.000200261-0j -1.30054e-06-0j -0.00313581-0j -0.000184981-0j -4.40764e-06-0j -0.000121478-0j 1.36643e-06-0j -0.00677022-0j -0.000193722-0j 0.00625365-0j 2.95012e-06-0j 0.0041068-0j -3.71739e-05-0j -2.72503e-06-0j 0.00654915-0j -1.78954e-06-0j 1.00845e-05-0j 0.00125674-0j -2.85379e-06-0j -5.47623e-07-0j -0.000340927-0j 1.48559e-07-0j 8.40702e-05-0j 1.40117e-05-0j 0.155261-0j -0.000334952-0j 9.17472e-05-0j 1.03206e-07-0j 1.52912e-05-0j -6.83415e-05-0j 0.169439-0j 7.18035e-05-0j -0.000365539-0j -0.000126138-0j 1.1263e-07-0j -1.13902e-05-0j -7.71999e-05-0j -0.126213-0j 1.19673e-05-0j -2.1023e-05-0j -0.000261636-0j 4.68293e-05-0j 0.132607-0j 0.000272286-0j -0.232952-0j 0.000263439-0j -0.000286079-0j -8.38971e-08-0j 0.000502558-0j -1.28666e-05-0j 0.000123827-0j 8.81472e-08-0j -4.3606e-05-0j -0.142573-0j -0.000161757-0j -1.54849e-07-0j 7.80488e-06-0j -5.31132e-05-0j -0.48319-0j 4.39066e-05-0j 0.0864845-0j 0.00030758-0j -9.78031e-05-0j 0.486521-0j 2.06379e-05-0j 0.00104241-0j -9.47718e-08-0j -0.000186577-0j -1.45375e-05-0j -2.69594e-05-0j -0.00104959-0j 0.228685-0j -8.8522e-06-0j -3.21189e-07-0j 5.74884e-08-0j 3.33304e-06-0j -0.298733-0j -1.63005e-05-0j -0.000493352-0j -0.0980896-0j 3.23402e-07-0j 0.00064447-0j -0.180623-0j 1.52012e-07-0j -2.42291e-06-0j 0.000211613-0j -0.0268478-0j 0.000389667-0j -1.98575e-07-0j 5.55506e-07-0j -6.52026e-08-0j 5.79201e-05-0j 0.00615547-0j -1.20065e-07-0j -1.78464e-08-0j -1.32795e-05-0j 4.09169e-09-0j 
0.00572271-0j 0.00349797-0j -0.00187727-0j 0.0172921-0j 0.0376722-0j 0.0123541-0j -0.0176385-0j 0.0341346-0j -0.000232396-0j 0.00318865-0j 0.000252127-0j -0.00345938-0j 0.000416757-0j -0.00571823-0j -0.000420746-0j 0.000180128-0j 0.00577296-0j -0.0024715-0j -0.000136713-0j 0.0018758-0j -0.000514817-0j 0.00706369-0j 0.0248016-0j 0.0014392-0j 0.0003649-0j -0.0263637-0j -0.00152985-0j 0.0217014-0j -0.000387883-0j -0.0707269-0j -0.0219091-0j 0.0012593-0j -0.00410418-0j 0.0472783-0j 0.000319288-0j -0.00127135-0j 0.00895137-0j -0.00104059-0j -0.0253731-0j -0.000322344-0j 0.00274348-0j -0.0156526-0j 0.000519435-0j 0.000695594-0j -0.00147236-0j 0.0428385-0j 0.000131699-0j -0.000908298-0j -0.000373308-0j 0.0430562-0j 0.00248585-0j -0.000230293-0j 0.000630272-0j 0.00249848-0j 0.000633475-0j -0.000138709-0j -0.155772-0j -1.41569e-05-0j 0.000274702-0j 0.000145383-0j 3.25442e-05-0j 0.163267-0j -0.000117255-0j 1.48381e-05-0j 0.000118377-0j -0.00028792-0j 0.000208117-0j -3.41102e-05-0j -0.131679-0j 0.00012721-0j -1.19673e-05-0j 0.132939-0j 0.233718-0j -0.00041459-0j -6.82705e-05-0j 1.20818e-05-0j 0.000232214-0j 2.12408e-05-0j 0.000148686-0j -0.000234437-0j 2.75106e-05-0j -0.00041216-0j 0.142859-0j -0.000212286-0j -2.77739e-05-0j -0.465591-0j 1.29833e-05-0j 5.24715e-05-0j -4.8829e-05-0j -0.0766688-0j 0.000410822-0j -4.23139e-05-0j 0.166977-0j -6.96783e-06-0j -0.00025193-0j -4.87748e-05-0j 1.51752e-05-0j -0.238401-0j 0.000821063-0j -2.98464e-05-0j 0.000135204-0j -0.000259749-0j 0.0589263-0j -0.000294461-0j -2.16664e-05-0j 0.461359-0j 9.72722e-05-0j 1.60178e-05-0j -0.000151949-0j 5.35535e-06-0j -0.0547748-0j 0.000420417-0j 4.19293e-05-0j -3.48851e-05-0j -0.000103916-0j -4.97806e-06-0j 4.98072e-05-0j -0.291702-0j -0.000813602-0j -2.65106e-05-0j 9.65948e-05-0j -1.2311e-05-0j -0.170641-0j -9.63882e-05-0j 0.000514414-0j -1.55082e-05-0j 1.14437e-05-0j 6.09431e-05-0j 0.000300924-0j 3.56507e-05-0j 
2.62795e-05-0j 6.43635e-07-0j -3.68127e-05-0j 0.00183724-0j -1.4488e-05-0j -0.000448253-0j 0.000615141-0j 0.000771657-0j 2.07496e-06-0j 0.00817608-0j -1.35846e-07-0j -0.000535282-0j 1.9138e-06-0j 0.00754105-0j -1.85709e-06-0j 3.3144e-08-0j -0.00731759-0j 0.000130599-0j -2.68089e-06-0j -0.0105636-0j -1.72185e-06-0j -0.00678468-0j 1.54562e-06-0j -5.22197e-05-0j -0.05867-0j 3.38586e-08-0j -1.14394e-06-0j -3.96017e-06-0j -0.00128524-0j 9.01609e-07-0j 3.84283e-06-0j 0.000133797-0j -3.04615e-05-0j 3.12289e-08-0j 0.150324-0j -0.000129832-0j 5.57842e-07-0j -0.0342242-0j -1.78613e-06-0j -0.14587-0j -1.05509e-06-0j -9.3758e-07-0j -1.88471e-05-0j -0.00118542-0j 6.03458e-05-0j -1.66331e-06-0j -0.0211751-0j 3.16768e-05-0j 0.0677999-0j -7.25151e-07-0j 5.6196e-05-0j 0.0355896-0j 0.0631375-0j 2.44997e-05-0j 0.027526-0j 1.23847e-06-0j -3.94496e-05-0j 1.26401e-07-0j 0.000704368-0j 2.67508e-08-0j 0.178265-0j -8.52105e-07-0j 1.04692e-06-0j 2.73024e-09-0j -1.01589e-06-0j 1.52142e-05-0j -2.79851e-06-0j 0.00385049-0j -3.33479e-05-0j -6.85409e-08-0j 1.06851e-07-0j 3.23597e-05-0j 8.91421e-05-0j 1.56046e-08-0j 3.92019e-06-0j -1.03684e-07-0j 0.000595424-0j -2.85621e-07-0j 6.82785e-07-0j -0.00057778-0j 0.150692-0j -0.00159162-0j 2.18326e-06-0j -9.36991e-07-0j -0.146227-0j -4.97061e-07-0j -6.99542e-09-0j 9.65487e-09-0j -0.402815-0j -0.000124872-0j -1.1754e-06-0j 1.59264e-09-0j -2.17491e-05-0j 4.00103e-07-0j -3.89819e-05-0j -9.56456e-07-0j 6.96865e-08-0j 2.98464e-05-0j 8.87498e-06-0j -0.00986572-0j 0.00222957-0j -8.68753e-07-0j -3.07541e-07-0j 0.000388327-0j -9.56312e-08-0j 3.74404e-05-0j 0.00224612-0j 0.56427-0j -2.87799e-07-0j 9.85396e-10-0j 3.04664e-05-0j -0.000532904-0j -1.19963e-07-0j 0.0982796-0j 5.49111e-06-0j -9.76179e-08-0j -0.13487-0j 2.76728e-05-0j -0.000668495-0j -8.86668e-08-0j -0.000543975-0j 0.00138972-0j 9.16739e-06-0j -0.169186-0j -0.000494095-0j -2.93734e-08-0j -0.137672-0j -0.125048-0j -0.000163683-0j -0.0414256-0j 
0.00403112-0j -0.0194594-0j -0.0365534-0j 0.000503573-0j -0.00229187-0j 0.00035977-0j 0.0053535-0j -0.00393526-0j 0.000318288-0j 4.59409e-05-0j -0.00140259-0j -0.000202447-0j 0.000293566-0j 4.23727e-05-0j 0.0030889-0j -0.00100206-0j 0.000445844-0j -0.000144635-0j -0.002662-0j -0.000384227-0j 0.00330989-0j 0.000477741-0j 0.000237089-0j 4.19117e-05-0j 3.49264e-06-0j -0.00102367-0j -0.00018096-0j 0.000207452-0j -1.508e-05-0j 0.000138302-0j 0.00218281-0j 3.66728e-05-0j 2.44485e-05-0j -0.00094416-0j 3.05606e-06-0j 0.00038587-0j 8.55698e-05-0j 2.03738e-06-0j -0.00177356-0j 3.21558e-05-0j -0.000166905-0j 0.00155948-0j 1.51267e-05-0j -1.39088e-05-0j -0.000313523-0j -0.00162117-0j 1.26056e-06-0j 0.000275679-0j -2.61269e-05-0j 0.00318679-0j -0.000286586-0j 2.29732e-05-0j -2.38821e-05-0j 0.00056335-0j 4.69459e-05-0j -0.0363769-0j 3.16624e-05-0j 1.93892e-05-0j 3.9578e-06-0j 0.154866-0j 2.33216e-07-0j -0.000134795-0j -0.0307505-0j -8.25449e-05-0j -0.323556-0j -1.68494e-05-0j -0.0280712-0j -9.92861e-07-0j 2.67652e-05-0j 0.135508-0j 1.63903e-05-0j 0.000281623-0j 2.44332e-05-0j 0.0903386-0j 0.254544-0j 0.000172458-0j 3.34565e-06-0j 1.49622e-05-0j -0.020055-0j 3.52028e-05-0j 1.97144e-07-0j 3.05414e-06-0j -0.000117946-0j -0.298426-0j 2.07435e-06-0j -7.86306e-05-0j -7.22268e-05-0j 0.0558941-0j 1.79967e-07-0j -0.000221555-0j 0.219367-0j -4.81512e-05-0j 1.74559e-05-0j -0.000135674-0j -1.47432e-05-0j 0.181855-0j 1.06895e-05-0j 0.000259749-0j -9.82882e-06-0j -8.68753e-07-0j -2.76944e-05-0j -0.319776-0j -4.86502e-05-0j 2.18199e-06-0j 0.000159063-0j -0.000190937-0j -5.79169e-07-0j -1.63191e-06-0j 0.0152758-0j -2.9792e-05-0j -0.000158287-0j 3.24687e-05-0j -0.000116925-0j 1.28575e-07-0j -6.08127e-06-0j -9.69304e-05-0j 1.91323e-06-0j 0.000278332-0j -2.38671e-05-0j 0.000170443-0j -1.97858e-05-0j -3.58342e-07-0j -1.3296e-05-0j -1.40638e-06-0j 3.47915e-05-0j -8.14213e-06-0j -1.16589e-06-0j 2.05011e-06-0j -1.662e-06-0j -9.79346e-08-0j 
0.000708002-0j 0.000433317-0j -0.000262849-0j 0.00432418-0j -0.00980885-0j -0.00903105-0j -0.00424496-0j 0.00182079-0j 0.00273487-0j -0.0183538-0j 0.00308936-0j -0.0207328-0j 0.00471636-0j -0.0316516-0j -0.00495528-0j -0.00645214-0j 0.033255-0j 0.0433005-0j -0.00175097-0j 0.0117508-0j 0.000581755-0j -0.00390418-0j -2.14167e-05-0j -0.0342335-0j -0.00427632-0j -2.37039e-05-0j -0.0378896-0j 1.80209e-05-0j -0.00473301-0j 6.10741e-05-0j -1.89338e-05-0j 0.0288055-0j 0.097624-0j -4.08781e-05-0j 0.00359827-0j -0.0302647-0j 3.77591e-05-0j 0.0121948-0j 2.47966e-05-0j -0.00378055-0j -0.0653416-0j 3.95433e-05-0j 0.060356-0j -0.00816222-0j 0.0396361-0j 7.58809e-06-0j 0.00753944-0j 0.063208-0j 0.00495119-0j -2.05849e-06-0j 0.0121292-0j 0.00789569-0j 0.00151513-0j -0.00329039-0j -0.000411023-0j -1.71608e-05-0j 0.000271885-0j 0.000334952-0j 0.150403-0j -1.87278e-05-0j -0.000575114-0j 0.000296712-0j 1.39501e-05-0j 0.000365539-0j -1.46568e-05-0j 0.164137-0j 2.57478e-05-0j -0.000627632-0j -0.000221018-0j 1.57584e-05-0j -0.000272286-0j 0.000232214-0j -0.000407932-0j 5.34063e-05-0j -9.55899e-06-0j 0.000286079-0j -0.122264-0j -0.000502558-0j -5.37743e-05-0j 0.128457-0j 0.000467516-0j -0.225662-0j -0.000249666-0j -2.52761e-05-0j -0.000491199-0j -0.000846136-0j -0.00030758-0j 3.30184e-05-0j 0.000862894-0j 0.000151447-0j 1.08417e-05-0j -0.00104241-0j 0.000851968-0j 0.000186577-0j -0.138111-0j 1.9964e-05-0j 0.00104959-0j 0.00040046-0j -0.46807-0j 0.000528115-0j 0.0837782-0j 2.96745e-06-0j -0.000523124-0j 0.471296-0j 0.000493352-0j -0.000171769-0j 0.00178982-0j -0.000320354-0j -6.80354e-07-0j -0.00064447-0j -0.000316297-0j 0.221528-0j -0.000211613-0j -0.00180216-0j -0.289384-0j -0.000389667-0j -0.000847087-0j -4.70144e-05-0j -0.0950201-0j -5.79201e-05-0j -0.174971-0j 0.00110656-0j 1.07791e-05-0j 0.000363341-0j -0.0260077-0j 1.32795e-05-0j 0.000669059-0j 9.9449e-05-0j 0.00596284-0j -2.28009e-05-0j 
0.00350443-0j 0.00214206-0j -0.00114959-0j -0.000225158-0j -0.000490524-0j -0.000160861-0j 0.000229669-0j -0.000444461-0j 0.0272161-0j -2.05411e-05-0j -0.0295269-0j 2.22851e-05-0j -0.0488068-0j 3.68365e-05-0j 0.049274-0j -0.021095-0j -3.71891e-05-0j 1.59213e-05-0j 0.0160106-0j -1.20838e-05-0j 0.0602907-0j -4.55038e-05-0j -0.000106007-0j 0.00358379-0j -1.56163e-06-0j 0.000112684-0j -0.00380951-0j -9.27562e-05-0j 1.65999e-06-0j 0.000302301-0j 9.3644e-05-0j 0.00313581-0j -0.0102199-0j -0.000202077-0j -1.36643e-06-0j -0.00316583-0j -3.826e-05-0j 4.45332e-06-0j 0.00010845-0j 1.37951e-06-0j 0.00683162-0j 6.69025e-05-0j 0.00129346-0j -2.97687e-06-0j -0.00366636-0j -0.0001831-0j -5.63623e-07-0j -0.00226178-0j 1.59761e-06-0j -0.000184031-0j 0.00619008-0j 9.85567e-07-0j -2.69732e-06-0j 0.00622153-0j -2.71103e-06-0j -8.49414e-05-0j -1.41569e-05-0j -0.15687-0j 0.000338423-0j 8.90285e-05-0j -1.04275e-07-0j 1.48381e-05-0j -7.18035e-05-0j 0.164418-0j 7.24908e-05-0j -0.000354707-0j 0.000127445-0j 1.09293e-07-0j -1.19673e-05-0j 7.79e-05-0j -0.132607-0j 1.20818e-05-0j 2.12408e-05-0j -0.000253883-0j -4.1807e-05-0j 0.133876-0j 0.000286079-0j 0.235366-0j 9.10512e-05-0j -0.000288818-0j -8.81472e-08-0j -0.000507766-0j 1.29833e-05-0j -0.000129998-0j 8.89909e-08-0j -4.23139e-05-0j 0.143866-0j 3.21321e-05-0j 1.56454e-07-0j -6.96783e-06-0j 0.000251576-0j -0.468872-0j 1.51752e-05-0j -0.0772092-0j -0.000310369-0j -2.98683e-05-0j 0.168154-0j -2.16664e-05-0j 0.00101152-0j 9.56312e-08-0j 0.000166567-0j -0.000159063-0j 5.35535e-06-0j -0.000362766-0j -0.240081-0j 4.19293e-05-0j -3.11671e-07-0j -5.13229e-08-0j -9.30495e-05-0j 0.0593417-0j -4.97806e-06-0j 0.000517939-0j 0.464611-0j 1.11776e-07-0j -0.000128021-0j -0.0551609-0j -1.59588e-07-0j -2.65106e-05-0j -0.00100233-0j -0.293759-0j 0.000119001-0j 3.94459e-08-0j -1.55082e-05-0j 3.08839e-07-0j 0.00063374-0j -0.171844-0j -3.66668e-08-0j -1.95269e-07-0j 0.000370727-0j -1.14229e-07-0j 
