-0.00287767-0j -0.000464382-0j -0.000379166-0j -5.47279e-05-0j -4.73958e-05-0j -5.58565e-06-0j -2.54949e-07-0j -0.00264584-0j -0.000418344-0j -0.00033073-0j -0.000220487-0j -4.77367e-05-0j -5.51216e-05-0j -1.94884e-05-0j -4.59347e-06-0j -4.87211e-06-0j -4.06009e-07-0j -1.51311e-08-0j -0.00172667-0j -0.00174457-0j -0.000269193-0j -0.000271982-0j -0.000208516-0j -3.00967e-05-0j -0.000210677-0j -0.000190348-0j -3.04086e-05-0j -0.000192321-0j -3.36491e-05-0j -2.24327e-05-0j -2.80409e-06-0j -3.39978e-05-0j -1.94273e-05-0j -2.26652e-05-0j -2.83315e-06-0j -1.96286e-05-0j -3.96558e-06-0j -1.98279e-06-0j -4.00668e-06-0j -2.33674e-07-0j -2.00334e-06-0j -2.86191e-07-0j -2.36096e-07-0j -1.84736e-08-0j -2.89157e-07-0j -1.8665e-08-0j -5.81863e-10-0j -5.87893e-10-0j 
0.0102928-0j -0.0623921-0j -5.58565e-06-0j 7.68343e-05-0j 3.29211e-05-0j 1.18039e-05-0j 9.0046e-07-0j -3.89769e-05-0j -0.0705532-0j 0.000942402-0j -3.24807e-06-0j -0.0129634-0j 3.82875e-05-0j -2.87092e-07-0j 9.70721e-06-0j 6.84011e-06-0j 1.146e-06-0j 6.41748e-08-0j -2.54363e-05-0j -2.56999e-05-0j 0.000186981-0j 0.000188919-0j 0.000745815-0j -0.0102592-0j 0.000753543-0j 0.00054239-0j -0.0103655-0j 0.00054801-0j -0.00452093-0j 1.55818e-05-0j -0.00114621-0j -0.00456778-0j -2.86191e-07-0j 1.57433e-05-0j -0.00115809-0j -2.89157e-07-0j 5.56741e-06-0j 1.37725e-06-0j 5.62511e-06-0j 6.59568e-07-0j 1.39152e-06-0j 6.04798e-07-0j 6.66403e-07-0j 6.52473e-08-0j 6.11065e-07-0j 6.59235e-08-0j 2.88056e-09-0j 2.91042e-09-0j 
5.58565e-06-0j -8.59034e-05-0j -7.03628e-05-0j 0.000472233-0j 0.0016852-0j -0.014121-0j 2.27092e-05-0j -0.00150208-0j -7.7387e-05-0j -6.13743e-05-0j 4.27971e-07-0j 0.000411908-0j 0.00097485-0j -1.09252e-05-0j 0.000121466-0j -0.00808055-0j -0.0020673-0j 2.0259e-06-0j 3.35153e-06-0j 3.38626e-06-0j 0.0145645-0j 0.0147154-0j -3.86948e-05-0j 0.000259696-0j -3.90958e-05-0j 3.69471e-07-0j 0.000262387-0j 3.733e-07-0j 0.000595099-0j -4.1497e-06-0j 7.41489e-05-0j 0.000601266-0j -7.24806e-06-0j -4.19271e-06-0j 7.49173e-05-0j -7.32317e-06-0j -0.00327141-0j 0.000105933-0j -0.00330531-0j 1.24451e-05-0j 0.000107031-0j -0.00145461-0j 1.2574e-05-0j -0.000157319-0j -0.00146968-0j -0.00015895-0j 1.0922e-07-0j 1.10352e-07-0j 
-3.29137e-07-0j 1.01769e-05-0j -4.33677e-08-0j -0.000171751-0j 1.03868e-06-0j 0.00165878-0j -0.018037-0j 8.85108e-05-0j 9.168e-06-0j -3.78277e-08-0j -2.52185e-08-0j -0.000149811-0j 1.20799e-06-0j -2.22902e-09-0j 0.00136414-0j -1.529e-05-0j -0.00550112-0j -0.0032571-0j -1.97491e-07-0j -1.99537e-07-0j -0.00172544-0j -0.00174332-0j -2.38493e-08-0j -9.44513e-05-0j -2.40964e-08-0j -2.17713e-08-0j -9.54301e-05-0j -2.19969e-08-0j 7.37419e-07-0j 4.91613e-07-0j 0.000832738-0j 7.45061e-07-0j -2.22203e-09-0j 4.96707e-07-0j 0.000841368-0j -2.24505e-09-0j -1.24451e-05-0j 4.34529e-08-0j -1.2574e-05-0j -0.00316611-0j 4.39032e-08-0j 8.4991e-05-0j -0.00319892-0j -0.00130696-0j 8.58718e-05-0j -0.0013205-0j -0.000294308-0j -0.000297358-0j 
0.00840402-0j -5.58565e-06-0j -0.0629458-0j 9.50309e-05-0j 0.000109576-0j 6.42322e-06-0j -3.06656e-09-0j -3.18245e-05-0j 0.00122174-0j 0.000380323-0j 0.000768368-0j -5.74184e-07-0j -0.0091508-0j 6.7701e-05-0j 7.97621e-06-0j 1.1264e-05-0j 4.6689e-07-0j -1.81998e-10-0j -2.07687e-05-0j -2.09839e-05-0j -3.23789e-06-0j -3.27144e-06-0j -0.0582192-0j 8.78951e-05-0j -0.0588225-0j 0.000330525-0j 8.88059e-05-0j 0.00033395-0j 3.86948e-05-0j 7.81753e-05-0j -3.3728e-08-0j 3.90958e-05-0j -0.00648403-0j 7.89854e-05-0j -3.40775e-08-0j -0.00655122-0j -0.00065833-0j 6.88804e-06-0j -0.000665153-0j 4.05758e-07-0j 6.95942e-06-0j 6.61654e-07-0j 4.09962e-07-0j 2.12437e-08-0j 6.68511e-07-0j 2.14638e-08-0j -6.99872e-12-0j -7.07125e-12-0j 
-2.36979e-05-0j 0.00148325-0j 0.000298524-0j -4.5069e-07-0j 7.50213e-05-0j 4.39768e-06-0j -2.09953e-09-0j -2.17887e-05-0j -3.4451e-06-0j -0.100994-0j -1.81573e-06-0j 0.000152473-0j 4.33982e-05-0j 4.63517e-05-0j -3.78277e-08-0j 7.71192e-06-0j 3.19658e-07-0j -1.24606e-10-0j -1.42193e-05-0j -1.43667e-05-0j -2.21683e-06-0j -2.2398e-06-0j 0.000164168-0j -2.47849e-07-0j 0.000165869-0j 0.000607978-0j -2.50417e-07-0j 0.000614278-0j -0.0102753-0j -1.84736e-07-0j 8.95636e-06-0j -0.0103818-0j 3.07509e-05-0j -1.8665e-07-0j 9.04917e-06-0j 3.10696e-05-0j 3.12217e-06-0j 4.71592e-06-0j 3.15453e-06-0j -1.92433e-09-0j 4.76479e-06-0j 4.53004e-07-0j -1.94427e-09-0j 1.45446e-08-0j 4.57698e-07-0j 1.46953e-08-0j -4.7917e-12-0j -4.84135e-12-0j 
-0.00121302-0j -7.68343e-05-0j -9.50309e-05-0j -0.060976-0j -7.84187e-06-0j 0.000132109-0j 2.03118e-05-0j 4.59347e-06-0j 0.0168059-0j 5.74184e-07-0j -0.000110904-0j 0.000368422-0j 0.00131662-0j 3.38341e-08-0j -0.015684-0j 3.76019e-05-0j 1.93405e-05-0j 1.81202e-06-0j 2.9977e-06-0j 3.02876e-06-0j -4.45393e-05-0j -4.50008e-05-0j -8.78951e-05-0j -0.0563974-0j -8.88059e-05-0j -4.77072e-05-0j -0.0569818-0j -4.82015e-05-0j -5.56741e-06-0j 0.00107535-0j 6.63208e-05-0j -5.62511e-06-0j -4.86909e-06-0j 0.0010865-0j 6.70081e-05-0j -4.91955e-06-0j -0.00441832-0j -3.28063e-07-0j -0.00446411-0j -0.00160694-0j -3.31462e-07-0j 6.76884e-06-0j -0.00162359-0j 1.47179e-06-0j 6.83898e-06-0j 1.48704e-06-0j 9.76891e-08-0j 9.87015e-08-0j 
-2.23426e-05-0j 0.000697408-0j 0.000852926-0j 0.000123109-0j -3.67987e-07-0j -4.33677e-08-0j -1.97945e-09-0j -2.05426e-05-0j -3.24807e-06-0j 0.00049669-0j -0.0713526-0j 7.1691e-05-0j 0.000123995-0j -1.51311e-07-0j 1.03329e-05-0j -3.78277e-08-0j -3.15231e-09-0j -1.1748e-10-0j -1.34061e-05-0j -1.3545e-05-0j -2.09005e-06-0j -2.11171e-06-0j -1.61894e-06-0j -2.33674e-07-0j -1.63572e-06-0j -0.0828227-0j -2.36096e-07-0j -0.083681-0j 5.05342e-05-0j -0.00725955-0j 4.21118e-06-0j 5.10579e-05-0j 4.37013e-05-0j -0.00733478-0j 4.25482e-06-0j 4.41542e-05-0j 8.92049e-06-0j -1.53946e-08-0j 9.01294e-06-0j 5.25645e-07-0j -1.55542e-08-0j -2.22203e-09-0j 5.31092e-07-0j -1.43431e-10-0j -2.24505e-09-0j -1.44917e-10-0j -4.51766e-12-0j -4.56447e-12-0j 
3.4205e-06-0j 0.0204031-0j 4.5069e-07-0j 0.000289182-0j -5.36896e-06-0j 9.04485e-05-0j 1.39065e-05-0j 3.14493e-06-0j -4.73897e-05-0j -0.000152473-0j 2.62078e-07-0j -0.0978332-0j -6.24414e-06-0j 2.31646e-08-0j 7.43822e-05-0j 2.57442e-05-0j 1.32415e-05-0j 1.24061e-06-0j 2.05238e-06-0j 2.07365e-06-0j -3.0494e-05-0j -3.081e-05-0j 2.47849e-07-0j 0.000159031-0j 2.50417e-07-0j -8.7754e-05-0j 0.000160679-0j -8.86634e-05-0j 0.00147841-0j -2.54116e-06-0j -0.0176113-0j 0.00149373-0j 2.3092e-08-0j -2.5675e-06-0j -0.0177938-0j 2.33313e-08-0j 2.09541e-05-0j -2.24609e-07-0j 2.11713e-05-0j 7.62101e-06-0j -2.26937e-07-0j 4.63431e-06-0j 7.69998e-06-0j 1.00767e-06-0j 4.68233e-06-0j 1.01811e-06-0j 6.68832e-08-0j 6.75763e-08-0j 
-0.0010505-0j -3.29211e-05-0j -0.000109576-0j -7.84187e-06-0j -0.0614196-0j 0.000231562-0j -9.19028e-08-0j 3.97806e-06-0j 0.0072008-0j -9.5578e-05-0j 3.31505e-07-0j -6.84011e-06-0j 0.0007511-0j 0.00162377-0j -9.90738e-07-0j -0.0127613-0j 2.24815e-05-0j -6.54981e-09-0j 2.59608e-06-0j 2.62299e-06-0j -1.90837e-05-0j -1.92815e-05-0j 0.0146309-0j 0.00104707-0j 0.0147825-0j 2.86191e-07-0j 0.00105792-0j 2.89157e-07-0j 0.00045851-0j -1.59031e-06-0j -6.04798e-07-0j 0.000463262-0j 0.000533936-0j -1.60679e-06-0j -6.11065e-07-0j 0.000539469-0j 0.000109218-0j -0.00778963-0j 0.00011035-0j -6.73169e-08-0j -0.00787035-0j -0.00112835-0j -6.80145e-08-0j 1.27998e-06-0j -0.00114004-0j 1.29324e-06-0j -2.93996e-10-0j -2.97043e-10-0j 
0.000123803-0j 1.18039e-05-0j 6.42322e-06-0j -0.000132109-0j -0.000231562-0j -0.0594738-0j 0.000296344-0j -4.68819e-07-0j -0.00258186-0j 5.60269e-06-0j -3.90683e-08-0j -0.000115232-0j -0.000133954-0j 9.97331e-07-0j 0.000511578-0j 0.00226056-0j -0.0178583-0j 3.53607e-05-0j -3.05951e-07-0j -3.09122e-07-0j 6.84251e-06-0j 6.91342e-06-0j -0.00085765-0j 0.0176396-0j -0.000866538-0j -3.3728e-08-0j 0.0178224-0j -3.40775e-08-0j -8.17723e-05-0j 5.70209e-07-0j 0.000312294-0j -8.26197e-05-0j 6.61654e-07-0j 5.76118e-07-0j 0.00031553-0j 6.68511e-07-0j 0.000915187-0j -1.45562e-05-0j 0.000924671-0j 0.000107506-0j -1.47071e-05-0j -0.00612638-0j 0.00010862-0j -0.00205294-0j -0.00618987-0j -0.00207421-0j 2.38711e-06-0j 2.41184e-06-0j 
5.58565e-06-0j 0.00822088-0j 0.0101578-0j 0.00146151-0j 0.000833758-0j 0.000148695-0j -1.18646e-07-0j 5.13566e-06-0j -3.82875e-05-0j 0.0118715-0j -0.000123995-0j 0.00170807-0j -0.0696281-0j -1.09252e-05-0j 0.000184646-0j 0.000173232-0j 1.44362e-05-0j -8.45577e-09-0j 3.35153e-06-0j 3.38626e-06-0j -2.4637e-05-0j -2.48923e-05-0j -3.86948e-05-0j -5.56741e-06-0j -3.90958e-05-0j 0.0103171-0j -5.62511e-06-0j 0.010424-0j -0.0569505-0j 0.000594833-0j 0.000151027-0j -0.0575407-0j 0.00104636-0j 0.000600997-0j 0.000152592-0j 0.0010572-0j -0.0101247-0j 5.24108e-05-0j -0.0102296-0j 1.2546e-05-0j 5.2954e-05-0j 1.53171e-05-0j 1.2676e-05-0j 8.21925e-07-0j 1.54758e-05-0j 8.30443e-07-0j -3.79548e-10-0j -3.83481e-10-0j 
-5.65081e-06-0j -9.0046e-07-0j 3.06656e-09-0j 2.03118e-05-0j -9.19028e-08-0j -0.000296344-0j -0.0575315-0j 2.13986e-08-0j 0.000196957-0j 2.67482e-09-0j 1.78321e-09-0j 1.77171e-05-0j -1.06884e-07-0j 1.57615e-10-0j -0.000243705-0j 1.80824e-06-0j 0.0020311-0j -0.0216383-0j 1.39647e-08-0j 1.41094e-08-0j -5.21979e-07-0j -5.27388e-07-0j -4.09457e-07-0j -0.0027121-0j -4.137e-07-0j 1.53946e-09-0j -0.0027402-0j 1.55542e-09-0j -6.52473e-08-0j -4.34982e-08-0j -0.00014877-0j -6.59235e-08-0j 1.57121e-10-0j -4.3949e-08-0j -0.000150312-0j 1.58749e-10-0j 1.47179e-06-0j -3.84473e-09-0j 1.48704e-06-0j 0.00116898-0j -3.88458e-09-0j -1.51838e-05-0j 0.00118109-0j -0.00416873-0j -1.53411e-05-0j -0.00421193-0j -0.00296437-0j -0.00299509-0j 
2.14992e-06-0j -1.63586e-05-0j -0.000123251-0j 0.0016954-0j -1.6696e-06-0j -5.98638e-07-0j -4.56669e-08-0j 1.97671e-06-0j -1.47369e-05-0j 2.47089e-07-0j 0.020741-0j -3.39888e-06-0j 0.000844839-0j 1.45599e-08-0j 0.000214196-0j -3.46897e-07-0j -5.81194e-08-0j -3.25463e-09-0j 1.29e-06-0j 1.30337e-06-0j -9.48277e-06-0j -9.58104e-06-0j 1.55783e-07-0j -2.1429e-06-0j 1.57397e-07-0j -6.18741e-05-0j -2.1651e-06-0j -6.25153e-05-0j -1.18535e-06-0j -0.0994997-0j -3.00526e-07-0j -1.19763e-06-0j -6.315e-06-0j -0.100531-0j -3.03641e-07-0j -6.38044e-06-0j 0.000122849-0j -6.98472e-08-0j 0.000124122-0j 1.45538e-05-0j -7.0571e-08-0j -3.06724e-08-0j 1.47046e-05-0j -3.30902e-09-0j -3.09902e-08-0j -3.34331e-09-0j -1.46088e-10-0j -1.47602e-10-0j 
1.97482e-06-0j -6.16428e-05-0j -7.51514e-05-0j 3.75575e-08-0j 0.00180247-0j -1.10709e-06-0j 1.74961e-10-0j 1.81573e-06-0j 2.87092e-07-0j 0.0126794-0j 1.51311e-07-0j -6.33665e-06-0j -1.09252e-05-0j -0.0701112-0j 3.15231e-09-0j 0.000185287-0j -8.04718e-08-0j 1.03838e-11-0j 1.18494e-06-0j 1.19722e-06-0j 1.84736e-07-0j 1.8665e-07-0j -4.13282e-05-0j 2.06541e-08-0j -4.17565e-05-0j -2.52671e-05-0j 2.08681e-08-0j -2.55289e-05-0j 0.00129003-0j 1.53946e-08-0j -3.72219e-07-0j 0.0013034-0j 0.000738823-0j 1.55542e-08-0j -3.76077e-07-0j 0.000746479-0j -7.85986e-07-0j -0.00713325-0j -7.94131e-07-0j 1.60361e-10-0j -0.00720717-0j 1.08839e-05-0j 1.62023e-10-0j -3.6615e-09-0j 1.09967e-05-0j -3.69944e-09-0j 3.99308e-13-0j 4.03446e-13-0j 
-4.65471e-07-0j -0.00208428-0j 8.85398e-06-0j 0.01741-0j 1.09977e-06-0j 0.000567876-0j 0.000270524-0j -4.27971e-07-0j 9.70721e-06-0j 1.03477e-05-0j 1.03329e-05-0j 0.0203471-0j -0.000184646-0j -3.15231e-09-0j -0.0674185-0j -1.07361e-05-0j 0.000170517-0j 3.22797e-05-0j -2.79294e-07-0j -2.82188e-07-0j 6.24633e-06-0j 6.31106e-06-0j -3.3728e-08-0j -6.63208e-05-0j -3.40775e-08-0j -0.000859759-0j -6.70081e-05-0j -0.000868668-0j -0.000151027-0j -0.000150811-0j -0.0551432-0j -0.000152592-0j 4.53651e-07-0j -0.000152374-0j -0.0557146-0j 4.58352e-07-0j 0.00126153-0j 4.60085e-08-0j 0.0012746-0j -0.0141677-0j 4.64853e-08-0j 2.90962e-05-0j -0.0143145-0j 1.96021e-05-0j 2.93978e-05-0j 1.98053e-05-0j 2.17912e-06-0j 2.2017e-06-0j 
2.28033e-06-0j 3.67987e-07-0j 0.0167322-0j -1.25648e-05-0j 0.000686538-0j -8.50759e-07-0j 2.02027e-10-0j 2.09662e-06-0j 3.31505e-07-0j -5.0374e-05-0j 0.00728239-0j 3.78277e-08-0j 0.00243245-0j 0.000855804-0j -1.0546e-06-0j 7.05736e-05-0j -6.184e-08-0j 1.19902e-11-0j 1.36826e-06-0j 1.38244e-06-0j 2.13314e-07-0j 2.15525e-07-0j -3.17594e-05-0j 2.38493e-08-0j -3.20885e-05-0j -4.37013e-05-0j 2.40964e-08-0j -4.41542e-05-0j -5.12515e-06-0j 0.000740924-0j 2.22203e-09-0j -5.17826e-06-0j -0.0815318-0j 0.000748603-0j 2.24505e-09-0j -0.0823767-0j 0.000174997-0j 8.70711e-05-0j 0.00017681-0j -5.36484e-08-0j 8.79734e-05-0j 4.14555e-06-0j -5.42044e-08-0j -2.81374e-09-0j 4.18851e-06-0j -2.8429e-09-0j 4.61081e-13-0j 4.65859e-13-0j 
