-9.77204e-05-0.00217159j -0.00261991+0.00141643j -0.00488907-0.00675742j -0.00190018+0.00229589j -0.00129938+0.00826849j -0.00179009+0.000169005j 0.00413007+0.00358512j 0.0016694-0.00158875j 0.000535387-0.00663195j 0.00345729+0.00944608j 0.00670551+0.00217699j -0.0125948+7.71223e-05j 0.00394833+0.0313538j 0.000910572-0.0134813j 0.0153603-0.0123306j -0.0133583-0.00681532j 0.00194056-0.000711932j -0.00367074-0.0119027j 
0.00264161+0.0105587j -0.00996074+0.00700316j -0.000262087+0.00781454j 0.00128166+0.000822746j -0.00881744+0.00213031j -0.00751384-0.000249524j 0.00935979-0.000539513j -0.00599745+0.00922694j 0.00179399+0.00265112j -0.00124782-0.00198736j -0.00750523-0.00539698j 0.0084432-0.00741074j -5.74868e-06+0.0125601j 0.00715253+0.01087j -0.00812335+0.00309763j 0.00315867-0.000202254j -9.91035e-05-0.000522993j -0.00178882+0.00391139j 
-0.00115923-0.00229563j -0.00758149+0.00795819j 0.0043341-0.000849886j -0.00822563+0.00225813j 0.00213822+0.00613191j -0.00362163+0.00104324j -0.00490398+0.0158369j 0.00439764-0.00104397j 0.00732639+0.00707114j -0.0126965+0.00453549j 0.0163433+0.00922268j -0.000177644+0.013768j 0.00311969-0.0198483j -0.00751341-0.00399706j 0.0102354-5.99189e-07j 0.00270575-0.0129128j -0.00256619+0.000198287j -0.00243495+0.000809639j 
0.00197701+0.000135627j -0.00455386-0.00186682j -0.000330753+0.0116796j 0.017973-0.00781863j -0.00505413-0.0199091j 0.00721389-0.00102541j -0.004127+0.0118486j -0.0136087-0.00394731j -0.00179783+0.00506891j -0.0013867+0.00193549j 0.00350926+0.00465896j -0.000707661+0.00383156j -0.000425775-0.00932231j -0.00294902-0.000526179j 0.00191301+0.000232177j 0.000977131+0.000764132j -0.00202629+0.00213721j -0.0042554+0.00123024j 
0.00809604-0.0132624j 0.00082694+0.00722447j 0.0136896+0.00612225j 0.00717791-0.0147288j -0.00984095-0.00973161j 0.00711572+0.00443236j 0.000959702+0.00559236j -0.00170539+0.00239083j 0.0101138+0.000507115j -0.00467861+0.0039448j 0.00624313+3.33633e-05j 0.0085636+0.00123792j -0.00874224-0.0258524j 7.87826e-06+0.0065332j -0.0021235+0.00464183j 0.010527-0.00417485j 0.000772798+0.000701761j 0.00408295+0.00462745j 
0.00434835-0.00947348j 0.00839576-0.00034751j -0.00193381-0.00824028j -0.00234038-0.00236642j 0.00271321+0.00432686j 0.000242476+0.00552026j 0.00384641-0.00222268j 0.0052337-0.00508123j 0.000496024-0.00470261j 0.0109174+0.00977856j 0.00776434-0.00190541j -0.0112032+0.000262949j 0.00679892+0.00833882j -0.00325502-0.0135398j 0.00748102-0.017465j -0.00824854+0.00103869j 0.00547711-0.0022401j -0.0040493-0.00823385j 
-0.00371413-0.00360681j 0.00774876-0.00341375j 0.00709577+0.00138188j 0.00706355-0.00449302j 0.00445741-0.0103557j 0.0133816-0.00165633j -0.0130841-0.00492698j 0.000189974-0.00271618j 0.00353382-0.0123478j -0.00999442-0.011806j 0.0102898-9.218e-05j 0.00616613+0.0134272j -0.00262707+0.000911117j -0.00728488+0.00849192j -0.00333273+0.000852241j 0.00842446-0.00576246j -0.00166192-0.00203673j 0.00598756-0.00961988j 
-0.0127434+0.0103474j -0.00265307-0.00645169j -0.00960847+0.000566724j -0.000624237+0.0104258j 0.00532476-0.00125356j -0.000386689-0.00597196j -0.00363533+0.00827401j -0.00684292-0.00577852j -0.00595774+0.0111654j -0.000108652-0.00565845j -0.00908393-0.00453059j -0.00207941-0.00796526j -0.00745737-0.0141965j 0.0058476-0.00391575j -0.00552283+0.0079518j -0.0016297+0.00817918j 0.00416633+0.00858161j 0.00327736+0.0024826j 
-0.00523266-0.0193027j 0.00176933+0.00277596j 0.00597806-0.00384921j 0.0015399-0.0049513j 0.00171083-0.00516673j 0.0117863+0.000798949j -0.00324224+0.0123033j 0.000383909-0.0097067j 0.00753282-0.00803j -0.000527032+0.00595031j 0.010066-0.00584524j 0.000770015+0.00760647j -0.000295757-0.0106691j -0.00483929-0.00440242j 0.00309874-0.00616853j -0.00497402-0.00451798j -0.00156884+0.00187746j -0.000611839-0.00308532j 
-0.00302511-0.0023345j 0.0124363-0.0135786j -0.00608571-0.00208451j 0.00886817-0.00600605j 0.000331604-0.0102319j 0.00761171-0.00265109j -0.00173352-0.0114149j -0.00401199-0.004117j -0.00829398-0.00241904j 0.0125418-0.00958436j -0.0160103-0.00303581j -0.00285355-0.0146417j -0.00694392-0.0038314j 0.0085671+6.48012e-05j -0.0100276+0.00690992j 0.00129939+0.0146621j 0.00399051+0.00321397j 0.00585191+0.00116934j 
0.000517691+0.0221185j -0.00264395+0.0064667j 0.00517103+0.00820226j -0.00117852+0.0132362j 0.00496794+0.00465859j -0.00311471-0.000752918j -0.00694337-0.0136749j 0.00280389+0.00912888j -0.00202543-0.00829047j -0.0206819-0.0104232j 0.00223341-0.00706827j 0.0148253+0.00873962j 0.00997427+0.0265864j -0.000130578+0.0174018j -0.00749198+0.00602201j 0.00166745-0.00673099j -0.0040396-0.000603827j 0.00427423-0.00693069j 
0.00741403+0.00135734j 0.0124131-0.00901343j 0.00219678-0.000841691j 0.00597736-0.00525601j -0.000824856-0.00739622j 0.0033054+0.000544101j -0.00752381-0.0128449j 0.00247078-0.00114905j -0.0104653-0.00103544j -0.000898696+3.73482e-05j -0.00419035-0.00128297j -0.000413579-0.00740849j 0.0016838-0.00396691j 0.00569751-0.000526284j -0.00170257+0.00461307j -0.000804204+0.00599149j -0.000969318+0.00034617j 0.00129072+0.00102249j 
