0.0183465+0.0195012j 0.0186073-0.0172128j -0.0127793+0.00947923j -0.0102474+0.00479232j 0.00730325-0.020177j -0.0212985-0.011187j 0.0136962+0.00446934j -0.00647562-0.00805904j -0.0017041-0.00380031j 0.0101391+0.0027964j 0.0163647+0.0333007j -0.0217741+0.0048526j -0.0384732+0.0384519j 0.00734803-0.00536391j -0.024688-0.0582318j -0.0193684+0.0126554j 0.0285609-0.0215776j -0.035281+0.0141659j -0.0146168+0.00438023j 0.0241239-0.0168273j 0.0246323-0.00728889j -0.0530347-0.00203144j 0.000581158-0.00334156j -0.00466515+0.00293698j 0.00973868-0.00652683j 0.00991625-0.0183171j 0.0168138+0.011209j -0.0315056-0.0441292j -0.0374507-0.0234015j -0.00203261-0.0554334j -0.0445774+0.0176965j -0.0175597-0.0363666j -0.0993114+0.0183141j 0.0107642+0.0995508j 
0.00195621+0.0251329j 0.0150551-0.00555015j 0.00430326-0.00574257j -0.0298398-0.0122031j 0.00374503+0.000509295j -0.00578314-0.0125372j 0.00177099-0.0014869j 0.0081887-0.0101738j -0.00051704+0.00783315j -0.00352348-0.00612012j 0.00971363+0.00327015j -0.00445447+0.00177769j 0.00239603+0.0137824j -0.00776332-0.00782115j -0.0001638-6.41683e-05j 0.00565423-0.00559128j 0.00714999+0.00111461j -0.0130164-0.00130522j 0.0127015+0.00312303j -0.00183315-0.00130332j 0.00480091-0.00157698j -0.00276557-0.00241149j -0.00293951+0.00260606j -0.000351+0.00826668j 0.0109396+0.00101371j -0.00292905+0.00532863j 0.00165558-0.000511182j 0.00700847-0.0139293j 0.000657809+0.0156407j -0.00393439-0.000462991j 0.00598231+0.00235215j -0.0123348+0.00179053j -0.0105524+0.00350293j 0.00110131+0.00862176j 
-0.00216312-0.00726525j -0.00441636-0.00737194j 0.012877+0.00089871j -0.016796-0.00394616j -0.00725909+0.00937431j 0.00326222-0.0110303j -0.00240342-0.00683858j -0.00506078-0.00623239j 0.00621094-0.00286877j -0.0067252-0.00764432j -0.00992057+0.00630813j 0.00694576+0.000683576j -0.0124393+0.00186384j -0.00729136+0.00579041j -0.0141209+0.00097889j -0.00661641-0.0122735j 0.0154488-0.0257627j 0.00931908-0.0228049j 0.0259127+0.000777135j 0.0109451+0.0202915j 0.00560233-0.0103056j 0.00935922+0.0123355j 0.00244242-0.00640364j 0.0172185+0.00929719j 0.0173049+0.00135881j -0.00481933+0.00912608j -0.00571424-0.00105193j -0.000613455-0.00132812j 0.0035354-0.00643398j 0.00394228-0.00587346j -0.0120002-0.00681407j -0.0134268+0.00355785j 0.00901047+0.00321987j 0.00122168-0.00599706j 
0.00646321+0.0148313j 0.00539466-0.00398052j -0.00263121-0.0041755j -0.00660998-0.00163606j -0.00296108-0.00697669j -0.00358872+0.00157214j 0.00397399-0.00232902j 0.00576216+0.00735055j 0.0068777-0.0129141j 0.0181288+0.010494j 0.0111473+0.00852188j 0.000862079+0.0261767j 0.008515+0.00701807j -0.00947815-0.00942537j 0.0123847+0.0179307j 0.020806-0.00611572j -0.00844562+0.0013339j -0.0188979-0.00273852j 0.0164056+0.00163419j -0.00207756+0.0114054j 0.0158993-0.00450314j -0.00157902+0.00255422j -0.00545584+0.000785297j -0.000893469+0.0108662j 0.0219358+0.000195094j -0.011412+0.0142656j 0.00576512+0.0177589j -0.000771014-0.0236956j 0.000856865+0.01606j 0.00918926-0.00543997j 0.000696531-0.00491898j -0.000943376+0.00674742j -0.00246806-0.000758317j -3.38753e-05+0.0018771j 
0.00509919+0.0109404j 0.00726384+0.0067237j -0.0184571+0.00412276j 0.0194648-0.00542386j 0.00938095-0.00780417j -0.00771602+0.0146083j -0.00272718+0.00552174j -0.00418717-0.0154681j 0.00665976-0.00279797j 0.00395977-0.00203322j -0.00270806+0.00130231j 0.00362805+0.000427838j 0.00397105+0.00512279j 0.00039051-0.000293291j -0.00786978-0.00502854j -0.000753116-0.00749015j 0.00632689-0.014767j 0.00713301+0.000536485j 0.00744029+0.00681157j 0.00476407+0.000180974j 0.00141979+0.00178481j -0.00699608+0.00462862j 0.000576348+0.0016734j -0.00122608+0.00597729j -0.00042586+0.00387337j 0.00395673-0.00456279j -0.0102474-0.00433494j 0.00179182+0.00490325j -0.00254274-0.000231912j 0.000921415-0.000831117j -0.000124143-0.00841999j -0.0118409-0.000130531j 0.0106229-0.00626716j -0.00828907-0.00630736j 
0.00470051+0.00938904j -0.00234936-0.00511154j 0.00403479-0.00743211j -0.0200759-0.00624175j -0.0074186+0.00160171j -0.00260993-0.00402306j 0.000985373-0.00513844j 0.0186402-0.0145529j -0.00263447+0.0118253j -0.0031368+0.00621937j -0.000816961-0.002602j -0.00354531-0.00685707j 0.010852+0.00380499j 0.0122966-0.00318979j 0.0049502-0.00754292j 0.0025838+0.0042292j -0.00341207-0.00691266j -0.00448527+0.0333465j -0.0077096+0.0105693j 0.00189398-0.00966299j 0.00160796+0.0107622j -0.0248806-0.0102976j 0.00386905+0.00148349j -0.0109055-0.00515462j -0.0148426-0.000669634j 0.017493-0.00515825j -0.00765243-0.00700249j -0.00833687+0.00776542j 0.002508+0.00296475j -0.000783352+0.00703047j 0.0149553-0.00437918j -0.00700053-0.00923562j 0.00832089-0.00838894j -0.00855842-0.00831441j 
-0.00521231-0.00839228j 0.00950988-0.00122353j 0.00251947+0.0140241j 0.00906226+0.0123058j 0.00371928+0.00131836j 0.00298897-0.0150513j 0.0116159+0.0157323j -0.000552801-0.00802743j -0.00025438+0.0164412j -0.00943206+0.00201107j 0.00990206-0.00127682j -0.0115874-0.0100507j 0.00217552+0.00875262j 0.0102321-0.00619087j -0.00480149-0.00779849j -0.00319183+0.00289929j 0.00440781-0.00398047j -0.0140867+0.0132976j 0.0087162+0.00210417j -0.00187799-0.000281786j -0.00142029+0.0116606j -0.0182435-0.00290733j 0.0047737-0.00295825j -0.00459095+0.000605554j -0.000175697+0.0049646j -0.00264497-0.00243824j -0.0164614-0.00121681j 0.00268985-0.0181938j 0.0126846+0.00202855j 0.00220384+0.015094j 0.00776567-0.00330987j 0.00254631+0.0104899j -0.0022132+0.00252643j 0.00540345+0.000728517j 
-0.00202942-0.00747417j 0.00175128+0.010243j -0.0119114+0.0134074j 0.032763-0.00108165j -0.00562323-0.00400257j 0.00739797+0.0108234j -2.68624e-05+0.00747294j 0.0111822-0.00563202j 0.00383584+0.0105851j 0.00369569+0.00835368j -0.0159118-0.00569709j -0.00169677+0.000547639j 0.0149512-0.0163053j 0.000429354-0.00826633j 0.0154918+0.0140377j 0.0138858-0.00548833j -0.00899834+0.00373449j -0.0115203-0.000778545j -0.00274046+0.00257989j -0.00078808+0.00101842j 0.0100979-0.00972067j 0.0113505-0.00468825j -0.00325617+0.00270728j 0.00227444+0.00463506j 0.00750063-0.00281351j -0.00424228+0.0107884j 0.0146115+0.00943175j -0.00515862+0.00431185j -0.00932578+0.0178176j 0.00260384-0.0207073j -0.00633465+0.00166402j -0.00818182-0.0161023j -0.000881186+0.000695786j 0.00181281+0.0011191j 
-0.00529464-0.00500246j 0.00926689-0.00845813j 0.0123845+0.0105808j 0.00215837+0.0136085j -0.0070338+0.00204574j 0.00222862-0.0176055j 0.0162571+0.00644483j 0.00047652-0.00462284j 0.00978549+0.00346683j -0.00261619+0.00780279j -0.00558402-0.00127385j -0.00169093+0.00455864j 0.0177701+0.00164153j -0.00437366-0.00610667j 0.00251592+0.0120584j 0.00603219-0.0102898j -0.00360485-0.0173773j -0.0185003+0.0280452j 0.00390032+0.00360671j 0.00790418+0.00154638j 0.0124805-0.000379714j -0.0161397-0.00587604j -0.00164798+0.00142396j -9.84067e-05+0.00184571j 0.00577209-0.00664373j 0.00547529+0.00824247j -0.00371674+0.00962936j -0.0168348-0.0110039j 0.00489071+0.00911701j 0.00111895-0.00780712j 0.000992136-0.00199145j -0.0132504-0.00574816j -0.000322731-0.0123151j -0.0113002+0.000519281j 
-0.00143488-0.0121382j -0.0156401-0.005283j 0.00934636-0.01441j -0.00670407+0.0157054j -0.0112433+0.00318255j 0.00584487-0.00307456j -0.00121759-0.0105482j 0.0101974+0.0304836j -0.0105525-0.0212384j 0.0136842+0.00441671j -0.00218134+0.0062602j 0.0101526+0.0145175j -0.0104592-0.000927191j 0.00206367+0.0056413j 0.00258825+0.0049476j 0.0136306+0.0112765j 0.00231754+0.0102704j 0.00400877+0.00541086j -0.0192754+0.0215023j -0.00985708+0.00605366j 0.00514137+0.00276074j -0.00770719-0.007977j 0.00357042-0.0014603j -0.0134945-0.00339355j -0.00909329+0.00409984j -0.00153907-0.00378834j 0.00987147-0.0013723j -0.00379231+0.00355738j -0.00606169+0.000264143j 0.00519106+0.00361193j 0.0092049-0.002999j 0.000635517-0.0159438j -0.0113319-0.00134908j -0.0025948+0.0104878j 
-0.0291725-0.0182714j -0.0010939+0.0108255j 0.015147-0.0014812j 0.011584+0.0136615j 0.00803842+0.0101591j 0.00495731-0.010305j 0.00125176+0.00207668j -0.0212664+0.0237839j -0.0119252-0.00604421j -0.0107408-0.00484117j -0.0114684-0.0049212j 0.00340492-0.0151085j 0.00165953-0.00213818j -0.0114162+0.00343149j -0.00126734+0.00898095j 0.0021399-0.00660652j 0.00665218+0.00907726j 0.00348015+0.0109012j -0.0107222+0.00818678j -0.00941734+0.00365252j 0.00187297-0.00112293j 0.0017292-0.00458772j -0.00394636-0.0023322j -0.00714757-0.000996699j 0.00248974+0.00158717j -0.00824325+0.00802333j 0.00765261+0.00604579j -0.00490672-0.00110197j 0.0128037+0.00830094j 0.00299976-0.00151792j 0.00560857-0.00575424j -0.00905668-0.000576392j -0.00141145+0.00461697j 0.00184759+0.00136734j 
-0.0100112+0.0242578j 0.0245237+0.00506946j -0.00190778-0.00164074j -0.00237932+0.00255965j 0.0228515-0.0129478j -0.0125779-0.000261191j 0.00775598+0.010764j -0.0131181+0.0179152j -0.00858941-0.000218694j -0.00354539-0.00697438j 0.0133086-0.0161617j -0.00537604-0.00525555j 0.0135979+0.00861343j -0.0126753+0.0011301j -0.000405761-0.00365217j -0.00450165-0.00842368j 0.0145573+0.0175991j 0.00438865+0.00636188j -0.0034702-0.00943099j -0.0111873-0.00401224j -0.00337419+0.00234872j 0.00519109+0.00417808j -0.00721055+0.00710571j -0.00446179+0.00715124j 0.00387924-0.00311973j -0.00285353+0.00540364j 0.00764855+0.00138934j -0.00242847-0.0124119j 0.0149616+0.000244493j 0.00408875+0.00516678j 0.00483574-0.00693169j 0.0107018+0.0117665j 0.000223416+0.00941445j 0.00662904-0.00198727j 
