-0.00119604+0.00177929j 0.00298868+0.00272656j 0.0138028+0.00352153j -0.00224348+0.0109598j -0.00152108+0.00598355j -0.00113123+0.00457834j -0.0104796-0.00315442j 0.00994928+0.0162243j 0.00583571+0.00477892j -0.0175561-0.0103861j 0.00286351+4.01946e-05j 0.000847599+0.0119801j -0.00527987+0.0056105j -0.00495672+0.0106493j -0.002903+0.00817606j -0.00881608+0.0113146j 0.00324993-0.0151569j -0.00210987+0.00601911j 0.018917-0.0181047j 0.00822605-0.00557834j 0.0403206+0.0197122j -0.0135413+0.0223111j 
0.0262792+0.00105123j -0.00677346+0.00125064j -0.0257844-0.00118961j -0.0132771+0.0190842j 0.00204039-0.00631559j 0.00156102-0.0189894j -0.00809722-0.00140829j -0.00452872-0.0047953j 0.0146514-0.0157818j -0.0163483-0.00130063j 0.0118925-0.0159842j 0.0154646+0.0137301j -0.0113611-0.0054567j -0.0158835-0.0177265j 0.00523935+0.0034777j 0.00669966+0.00475526j -0.0205987+0.00724034j -0.00669905+0.00785102j -0.00145972-0.022544j 0.0140335-0.00653279j -0.0179172+0.0111548j -0.0136669-0.0215476j 
0.0137582+0.00731643j 0.00544796-0.00988891j -0.00266141+0.00732743j -0.013222+0.00072246j 0.00398237+0.000915966j 0.00983931+0.000473496j 0.00403327-0.00578462j 0.0109248+0.00797064j 0.014536+0.00633707j -0.00030125-0.0164364j -0.0111742+0.00729476j 0.00130471-0.00454709j 0.00862197-0.00277995j 0.0108762+0.0216005j -0.00713904-0.00457083j -0.0172203+0.00835578j 0.015354+0.000721119j 0.00530532-0.00638284j -0.00932576-0.00306409j -0.00455709+0.00190553j 0.00562943-0.00761087j 0.0052819-0.000817768j 
0.0143865-0.0138773j 0.00286761+0.00210691j -0.0146706+0.00602276j 0.00162637-0.0203777j 0.0159023+0.00320715j -2.49482e-05+0.034837j 0.00205616+0.0180054j 0.00877911+0.00125083j -0.00126836+0.00441369j 0.0150109-0.00250583j 0.00276822-0.00525264j 0.0065451-0.00866264j 0.00667527-0.0147259j -0.000933989-0.0209476j -0.0110322+0.00257739j 0.00378794+0.0169497j -0.0138899+0.00266058j -0.0062252-0.00790895j 0.00855995-0.0109901j 0.0193356+0.00691311j 0.00273462+0.00584569j 0.00435495+0.00398746j 
-0.0223154+0.0190156j 0.00500548+0.0067304j 0.00759755+0.0027117j -0.0163934+0.00420803j -0.0184577-0.00988618j -0.00968055+0.00372638j -0.0117537+0.00886315j -0.0166074-0.00252142j -0.00628445+6.52011e-05j -0.00527783+0.00627227j -0.00999577+0.00573332j -0.0114835-0.00932599j 0.000884038-0.000567922j -5.01123e-05-0.0121744j 0.00579258+0.00311887j 0.00709488-0.0126024j -0.0151785-0.0112467j -0.0152192+0.00725042j 0.0118987+0.00207022j -0.00551359-0.00823027j -0.00497426+0.0016389j 0.000596092-0.00601886j 
0.00165597+0.00169897j 0.00488363+0.0135139j -0.0106878+0.00674019j 0.000399426+0.000646285j -0.00363283-0.000241771j 0.00326511+0.015121j -0.000898932+0.00661311j 0.00158586+0.0048006j 0.00186215+0.000284057j -0.0107133-0.00419772j 0.00966089-0.00771826j 0.00244547+0.0119584j 0.00586957+0.0215804j -0.0113075-0.00602164j -0.0160812-0.000793134j -0.0111289+0.00434243j -0.00679449+0.00808993j 0.00739525+0.00349354j -0.00496535-0.00784217j 0.00190305-0.00204006j 0.00753952+0.00418943j -0.00519921+0.00110788j 
-0.00502116-0.0108861j 0.00240777+0.00738243j -0.00100405+0.000292531j 0.00603879-0.00915395j 0.0160823+0.00648475j 0.00821621+0.00951972j -0.00639046+0.000109174j 0.00878473+0.00999102j -0.00949472+0.0152707j -0.00436948+0.005032j 0.0113402-0.010963j -0.00262208+0.00956384j 0.0115218+0.0206825j -0.00376964-0.00617428j -0.0157768+0.00775624j 0.00556544+0.00200597j 0.00690293+0.00163154j 0.00767657-0.00590853j -0.000751598+0.0122218j 0.00358795+9.40833e-05j 0.0078548-0.00765507j 0.00460225+0.00145114j 
0.00525876+0.0100725j 0.00557566+0.00233842j -0.00427393+0.00666642j 0.000374916+0.0029958j -0.0109226-0.00179962j -0.00171845-0.00304207j 0.00472841-0.0043471j 0.00195379-0.00302498j 0.00749751-0.0094033j -0.0048048-0.00633226j -0.0133694+0.00750403j 0.00353554-0.00812679j 0.00846973+0.00834194j 0.00510233+0.00205024j -0.0129961-0.00991074j -0.0215086+0.0126525j -0.0107+0.000372667j -0.00446928-0.00406772j -0.0070674-0.0054143j -0.00270125+0.000891848j -0.0053516+0.00252426j -0.00337684-0.00548804j 
-0.000411744+0.00581132j 0.00874695+0.0100757j -0.0054708+0.0074676j 0.00120596+0.000682427j -0.000834765-0.000212521j -0.00102629-0.00454663j -0.00172714-0.00626796j 0.0100157+0.00578872j 0.00844806-0.00783586j -4.96397e-05-0.00435947j -0.00600904-0.00810409j -0.00710296-0.00115175j 0.0101672+0.00571209j -0.0185479-0.0208418j -0.0127821+0.0034961j -0.00341184-0.00251197j -0.0117133+0.00601225j -0.00207783-0.00483195j -0.00198751+0.0133611j -0.00636514+0.000192891j 0.00326197-0.00741038j 0.00313082+0.0113792j 
-0.00812635-0.00153685j 0.00368353+0.0116143j -0.00573732-0.00123546j 0.00723119-0.0059197j -0.000522787-0.00429311j 0.00131874+0.00490692j 0.00340801+0.00712911j 0.000391272-0.00719714j 0.00328648-0.00327717j 0.00441019+0.000174056j 0.00359077-0.0022567j 0.0116401-0.00074009j -3.02082e-05-0.012383j -0.000485787+0.00678185j 0.00283045-0.00314914j -0.00443334+0.0113647j -0.000701006+0.00578869j -0.00137649-0.00095058j -0.00281469-0.0108769j 0.0031093+0.0028833j 0.00321969+0.00511772j -0.000799972+0.00441124j 
-0.00291799-0.00253939j -0.00580272-0.00152228j 5.476e-06-0.00498919j 0.00614324-0.000172083j 0.00664434-0.00260677j 0.00266518-0.013228j 0.00661385-0.00738224j 0.00369032+0.00112928j 0.000475505+0.00577963j 0.00551283-0.0026044j -0.0153226+0.00899528j -0.00391078-0.0087382j 0.00858651+0.0126687j -0.00794661-0.00503485j -0.0157699-0.00484984j -0.0106362+0.0111778j -0.0197082+0.00384021j -0.0129776+0.00209439j 0.00428103-0.00324985j -0.00302482-0.00466554j 0.00458362-0.00117047j 0.00153046+0.00294599j 
-0.00846504-0.0091285j -0.0156347+0.00113921j 0.000639092-0.0106708j -0.00292121+0.00896242j 0.00167995-0.00216566j 0.00587175+0.00436838j 0.00223676+0.00631472j -0.0030218+0.00107591j 0.00721177-0.00418632j -0.00439289-0.00515819j 0.0048855-0.00748611j 0.00511958+0.00517368j 0.00552248+0.00418252j 0.00152974+0.000851795j -0.00413655-0.00345729j -0.0113885-0.00485981j 0.0109228+0.00217066j 0.0126347-0.00944273j -0.0131444+0.0114944j -0.00726618+0.00250645j -0.00565178-0.00295636j -0.00229236+0.00257939j 
-0.000390103-0.000831363j -0.00445625+0.00309086j -0.00187685-0.000646576j -0.000771114-0.000744807j -0.0102213+0.000380035j -0.000898329+0.0210007j 0.00766267+0.0172086j -0.0117193-0.00490425j -0.00129924-0.00894722j 0.00204835-0.000428615j -0.00294882+0.00334186j 0.000798341-0.00602257j 0.00115863-0.0102905j -0.00146575-0.00455484j 0.00470435+0.00154816j -0.000634248-0.000939135j -0.0047884-0.000556804j -0.00212354+0.00240501j 0.00160881-0.00216149j -0.00323751-0.000808463j -0.000145935+0.00330775j 0.00137915+0.00726405j 
-0.00194373+0.00410567j 0.00591874+0.00355673j -0.00159596+0.00435564j -0.00325061+0.0016129j 0.00638687+0.000519493j 0.00195348-0.00466859j -0.00812744-0.00263649j 0.00740661+0.00666993j 0.000827112+0.00294041j -0.00657138-0.00168293j -0.0066312+0.00072553j -0.00781243+0.000611445j 0.0146308+0.0117236j -0.0132182-0.00655014j -0.0184221+0.00553139j -0.00505798+0.00501393j -0.00766755+0.00722227j -0.00458809+0.00110075j 0.00174423+0.00992602j -0.00691314-0.000323633j -0.000476292-0.00569427j 0.00244742-0.00192452j 
0.00567681-0.0081634j -0.0127637-0.00571602j 0.00456384-0.00496034j 0.00786282+0.0017341j -0.00388154+0.00321888j 0.00198513-0.00446081j 0.00995429-0.012183j 0.00359139-0.000169944j 0.00331356+0.000128943j -0.00130767-0.000128867j -0.00834201+0.00367671j -0.00136027-0.000707281j 0.0152367+0.0149368j -0.00391724-0.00475767j -0.0092545+0.00469541j -0.00285873-0.000407797j -0.00673993-0.00245771j -0.00376949+0.00409039j 0.000523892+0.00730996j -0.00957001-0.00960499j -0.00502171-0.00307439j -0.00476854-0.00223268j 
-0.000523159-0.0018094j 0.0033044+0.00686746j -0.00418412-0.000175912j 0.0163367-0.0123765j -0.00159316-0.0032517j -0.00702461-0.00740944j 0.0102184-0.00974934j 0.0047239-0.00458936j 0.00396542+0.00204695j 0.0155714-0.00505501j -0.00403222+0.0035687j -0.00503103-0.000650996j -0.0016217+0.00121879j -0.012188-0.00112269j 0.00247602+0.000263999j 0.00248941-0.00499175j -0.00560712+0.00583863j -0.00281315+0.00618015j 0.00703298-0.00326617j -0.00203039-0.00145579j 0.00751347-0.00307505j 0.00554281+0.0124269j 
-0.000145665-0.0025335j -0.0113699-0.00449904j 0.000706514-0.006991j 0.00542625+0.0030383j -0.000796136-0.00373538j -0.00419765-0.0103477j 0.0097103-0.00589187j -0.00233743-0.00509108j 0.000211363-0.005056j 0.0110225-0.00541056j -0.0131886+0.0175561j -0.00470496-0.0147316j -0.000717716-0.0074403j -0.00705525-0.00269655j -0.00729891-0.00506629j -0.00575288+0.0151545j -0.0205636+0.0125098j -0.0116+0.00585143j 0.00198125-0.0105015j -0.000985568+0.00295876j 0.00160486+0.00221605j 0.00400244+0.00648947j 
0.0110186+0.00437742j 0.0101508-0.0044577j 3.18072e-05+0.00738153j 0.00525042-0.0132257j -0.0108567+0.00175018j -0.00417686-0.00218477j 0.0100376-0.00700438j -0.00578608-0.00740201j 0.0064209+0.000763373j 0.0033628-0.00443006j 0.000836647+0.00760281j 0.00651931-0.00302107j 8.02633e-05+0.00476389j 0.0199972+0.0109682j 0.00151632-0.00628993j -0.00438315+0.00825536j 0.00356308-0.0053712j 0.00320726+0.00256279j -0.00675144-0.0148725j 0.00485395-0.00248399j 0.00269824+0.00648678j -0.00825371-0.00347168j 
0.013152-0.00158637j 0.000557609-0.0141417j 0.00756592+0.00466231j -0.00602056-0.000718634j 0.00435811+0.00602271j -0.00380394-0.00396641j -0.00606602-0.00892503j 0.00394176+0.00555407j -0.00489571+0.00710541j 0.00398638+0.00524559j -0.000305978-0.000972962j -0.0103992+0.00453889j 0.000389533+0.00539694j -0.0109734-0.0125184j 0.00434578+0.00830286j 0.0135752-0.0148094j -0.00961901-0.0015658j -0.000123687+0.00821917j 0.0121045+0.00103567j -0.000257206-0.0034328j 0.00278487-0.00486716j 0.0013912+0.00172139j 
-0.00715185-0.0058382j -0.0168525-0.00138869j 0.00149415-0.00792883j -0.00769969-0.000188822j -0.00442065-0.00109974j 0.00858839+0.0216922j 0.0088545+0.0135145j -0.0151472+0.000835936j -0.00800217+0.010077j -0.00197722+0.00155407j -0.00559572+0.0136888j -0.00480756-0.00701356j 0.014532+0.00490461j -0.000563938+0.00152769j -0.00727211+0.00774417j 0.00173702+0.00381871j -0.00906844+0.00301821j -0.00616339+0.0134798j 0.00475934-0.0056313j -0.00812408-0.00897213j -0.00292601+0.00200966j -3.29616e-05-0.00719832j 
-0.00488537+0.00714778j -0.002307+0.00888469j -0.00424473+0.00215237j -0.00564672+0.0122711j -0.0101071+0.00241739j 0.0157833+0.0114293j 0.00484441+0.00717898j -0.00219674+0.00472732j 0.00229525-0.00508053j -0.0192666+0.00432845j -0.00204592+0.00656174j 0.00262977-0.00430205j 0.0196268-0.00178828j 0.0113019+0.00630755j -0.0103963+0.0107266j -0.0074652+0.0163095j 0.0046088-0.00262782j 0.00306943-0.00131144j -0.0071735+0.00474094j -0.00938248+0.0019678j -0.0036054+0.00522077j -0.00981005-0.00636272j 
0.012631-0.00540691j -0.00390277-0.00866959j 0.0034163+0.00413774j -0.00979969+0.00171673j -0.00746896+0.0054072j 0.00351139+0.0116631j 0.00696944+0.00121913j -0.00556883+0.000697214j 0.00663194-0.0111053j -0.000340929-0.00565341j 0.0039102-0.01344j 0.00427971+0.0108535j 0.0103346-0.00276256j -0.0145584-0.012047j 0.00163207+0.0066933j -0.0056589-0.0123018j 0.00183964+0.00116253j 0.0104109-0.00616071j 0.0021187+0.0106639j -0.00384364+0.00438417j -0.00917248-0.00174602j 0.000980532+0.0053587j 
0.00446908-0.0142712j 0.00248473+0.00208736j -0.00127286-0.000202018j 0.0108541-0.0313499j 0.00117784+0.00945549j 0.00586654+0.00480755j 0.0103799-0.0161685j -0.00322411-0.00264211j 0.00115465+0.0188278j 0.00807239+0.00445084j 0.00281734-0.00314464j 0.0121504+0.0046712j 0.021048+0.0119835j 0.00912237+0.00628498j 0.00640636+0.00737458j 0.00644338-0.00319939j -0.000678835-0.0131862j 0.00109833+0.00732019j 0.00964897-0.0125346j -0.000554364-0.0139911j 0.00324737+0.00364478j -0.00770655-0.00479791j 
0.0169435-0.00299867j -0.00379632-0.00634615j 0.00333664+0.00462634j 0.0060088+0.000808424j -0.0187454+0.00738693j 0.00051748+0.007844j 0.0162206-0.00592187j -0.0078164-0.00604339j -0.000961046-0.0145255j -0.00537171-0.00185446j 8.38467e-05-0.00363476j 0.00433475+0.00722363j 0.00524341+0.0056302j -0.0062882-0.00237937j 0.00258404+0.00816492j -0.00156554-0.00364139j 0.0029443-0.00452095j 0.00308763-0.000691452j 0.0041528+0.00562215j 6.85229e-05-0.00189917j -0.00827519+0.00240905j -0.000934149+0.000180505j 
