0.0735581+0.109499j 0.118753-0.0592649j 0.122661+0.0841323j -0.0487725+0.130561j -0.0833675+0.0409965j -0.023987+0.0529177j 0.0342229+0.045909j -0.0258901+0.040991j -0.00505511-0.0375714j -0.107499+0.00529795j -0.0231898+0.0302428j 0.0207175+0.0438389j 0.0164558+0.033015j 0.0117224-0.0371193j 0.0195556-0.0147012j 0.0644528-0.00510211j 0.0279414-0.04695j 0.00682546+0.0390457j 0.0229211-0.0121234j -0.0144932+0.0149699j 0.00628151+0.020609j -0.00429987-0.029868j -0.0385364-0.00485011j 0.0208448-0.0147597j -0.00925637-0.0840563j 0.0408041+0.0556916j -0.033438-0.0277523j 0.0193382-0.0170028j -0.0357335-0.0124255j 0.0220482-0.088836j 0.0730926+0.0343181j -0.0560165+0.0544048j -0.0115134+0.0277553j 0.00751863-0.0698993j -0.0509144-0.0500626j 0.00546621+0.0330389j -0.0046621+0.0327526j -0.0115372-0.0105154j 0.00459032+0.0255019j -0.0102461+0.0148918j -0.00837462+0.0265685j 0.0112328-0.0237431j -0.00374314-0.000112173j -0.00753597-0.0130447j 0.0061233-0.0172367j 0.0511793+0.0235717j -0.0196524+0.00419562j -0.0155187+0.0436325j -0.00444942+0.00200136j -0.00460514-0.0083559j 0.00543122+0.00590996j -0.0172097-0.0029276j -0.0334186-0.00968481j 0.0308239-0.0290724j -0.0154029-0.0106661j -0.0336431+0.0028345j -0.00032404-0.0127548j -0.0399873+0.00699565j -0.0427478+0.0107282j -0.000871423-0.0237643j 0.0105632-0.079987j -0.0142667+0.00873714j -0.0745415+0.0296666j -0.0594256+0.0922538j 0.00974669+0.00677047j -0.00302327-0.0659811j -0.0770439-0.0365305j -0.059556+0.001281j 0.0143993+0.0387936j -0.0177607-0.0134741j -0.00505251+0.0201965j -0.00203729-0.00426427j 0.0134281+0.00760734j 0.00420077+0.0101293j -0.0199434-0.00660792j 0.00248741-0.0440296j -0.0869044+0.0183657j -0.0569009-0.0509163j -0.0424576+0.025742j 0.0105911-0.0500415j -0.0126209-0.0407482j -0.0156272-0.0399417j -0.0445447+0.095993j 0.0697155-0.0528105j 0.0144062-0.0530344j -0.0467014+0.0282369j -0.0164465+0.0334302j -0.0523592-0.0600797j 0.141737+0.012545j 0.00375292+0.124466j 0.0216907-0.109607j 0.120652+0.0405412j 
0.00609557-0.00266022j -0.00321543-0.00583084j 0.00598885+0.00233021j -0.00273933+0.00256274j -0.00277753+0.00197956j 0.00172552+0.00849222j -0.00683417+0.0014934j -0.00386654-0.00357898j -0.0059563+0.00646996j 0.000341229+0.00365017j -0.00140621-0.00207372j -0.00164042-0.00252825j -0.00572492+0.000563955j -0.000824617-0.00011527j 0.0062111-0.00201447j -0.003164-0.000218376j 0.00344188-0.00111063j -0.000584-0.00320835j -0.000995751-0.00077479j -0.00279105+0.00251895j 0.00173183+0.00544759j 0.00182981+0.00121025j -0.00305957-0.0053092j 0.00230501-1.70695e-05j 0.00448937-0.0036202j -0.00601804-0.003145j -0.0144895+0.00716811j 0.000673399-0.00588162j 0.00875855-0.0146453j 0.000500939-0.00562611j 0.00338947+0.00540733j 0.0066879+0.00667568j -0.00255516+0.000375799j 0.00146574-0.00407018j -0.00128764-0.00363685j 0.00133902-0.0016829j -0.00231025-0.00120046j -0.00126908+0.00348568j 0.00361189-0.000602122j -0.00725343-0.00264406j -0.00325691-0.00461005j 0.00687492+0.0103027j -0.00225372-0.00053018j -0.00388115-4.2477e-05j -0.00129695-0.002196j 0.00312+0.00119334j -0.00235049+0.00689837j 0.00525159+0.00160334j 0.00489397-0.00214623j -0.0041106+0.0018486j 0.00595025-0.00233126j 0.00739303+0.00399657j 0.00170895-0.00944726j 0.00310482-0.000649716j -0.00823962+0.00696609j 0.00143339+0.00530168j -0.000306327-0.00139394j 0.00435659+0.00186578j 0.00685104+0.0034144j 0.00168037+0.004474j 0.000639167-0.00332926j -0.00156644-0.00163044j 6.5989e-05-0.00262417j -0.0059003-0.00393096j 0.000312055+0.00256602j 0.00417065+5.18026e-05j -9.88322e-05-0.00775799j 0.00450234+0.00447143j -0.00883955-0.00505519j -0.00560488+0.00483719j -0.000521346-0.00607212j 0.00627704-0.00262019j 0.00222808+0.00233458j 0.00015123-0.00166825j -0.00197246+0.0082022j 0.00205589-0.000841549j 0.00134424-0.00319615j -0.00218453+0.000659668j 0.00759223+0.00241422j -0.00691592+0.0054354j 0.00482244+0.00122388j 0.0101667+0.00465645j -0.000487055-0.0049437j 0.000487153+0.00100885j 0.000789887-0.00140617j -0.00364884-0.00325775j 7.62349e-05-0.000395194j 0.00485239-0.00272858j 0.0015898-0.000312025j -0.00280238+0.00018065j -0.00275497-0.0021378j 0.00329926-0.00252658j 
-0.00287805-0.00370378j -0.00250113+0.00264533j -0.00368662-0.00400813j 0.00301234-0.00872521j 0.00013082+0.00296582j -0.0109166+0.00723498j -0.00838715+0.00109895j 0.0018569-0.00931212j -0.00240933-0.00149592j 0.00594271+0.00475602j -0.00120381+0.000923532j 0.00298526+0.00147564j 0.000123537+0.00188515j -0.0022195-0.00255466j 0.000151077+0.000316339j -9.36842e-05+0.00256952j 0.00116438+0.00618216j 0.0100519-0.00491484j 0.000569528-0.00144261j -0.000390304+0.000362706j -0.00728197-0.00472356j 0.00397094+0.00687344j -0.00247357-0.00506774j -0.00203418-0.00401007j 0.0103067-0.00816705j -0.00154887-0.00658671j 0.00073371+0.00791269j 0.00250565-0.000863123j 0.00417518-0.00166747j 0.00204514-0.000655357j -0.00059174-0.000777742j 0.00837245-0.00202302j -0.000330682-9.30176e-05j 0.001956+0.00776065j 0.00699849-0.00104786j 0.00549855-0.000687078j -0.00251221-0.000379857j -0.00426655-0.00266484j 0.0079599-0.00140367j 0.000455818-0.00101626j -2.80382e-05+0.00208112j 0.00377269+0.00432246j -0.000375404-0.000407458j -0.00290784-0.00437836j -0.0033229+0.00255067j 0.00633527-0.00184343j 0.000876363-0.00387175j 0.00161913-0.0103506j 0.00814651-0.000612159j -0.00344207-0.00596831j -0.00891747+0.00599118j 0.00351238+0.00247419j 0.00328713-0.004238j -0.000865588+0.00139497j -0.000452419-0.000248905j 0.00232329-0.000929184j -0.00545171-0.00184386j -0.000663416+0.00491336j -0.00494964+0.00156753j -0.000226154-0.0035782j -0.000699124-0.00689093j -0.000441214-0.00411025j -0.00242163+0.00262051j 0.000947258-0.00206436j 0.00564762-0.00127003j 0.00198281+0.00918486j 0.00332123+0.00535384j 0.000923402-0.00313512j -0.0039261+0.00186058j 0.00634714+0.00660465j -0.00750173+0.00569801j -0.00104708+0.0071978j -0.00463996-0.00149848j -0.00209491-0.000422001j -0.00108823+0.00222277j -0.00412484-0.0104238j 0.00641789+0.000247626j 0.000622248-0.00142565j 0.00766215-0.00794031j -0.00104432+0.00250913j -0.0137073+0.000242663j -0.00112564+0.00139944j -6.11201e-06+0.000336476j -0.00470611-0.00395116j 0.00311971+0.00437533j 0.00205603+8.69605e-05j 0.00209834+0.00939101j -0.00345771-0.0011733j -0.00115541+0.00255102j 0.00103094-0.00104375j 0.00176837+0.00129122j -0.0020889+0.00136417j 
-0.00326796+0.00184752j -0.000317432+0.00377536j -0.00209236-0.000543423j 0.00110775+0.00257741j -0.000700344-0.00058585j 0.00408912-0.00289449j 0.00323564-0.00147556j 0.00193755+0.00120315j -0.00302954+0.00513123j -0.00141464-0.00236772j -0.000772574+9.05994e-05j 0.00170747-0.000650634j -0.00339447-0.000710589j -0.00057673+0.00401074j -0.000383445+0.00445646j -0.00181204-0.000509099j -0.004086-0.0010148j -0.000729777+0.00238898j 0.00127373-0.000817315j 0.0040607+0.000762732j 0.00110451+0.00415082j -0.0030611-0.00377406j -0.000634591+0.00588158j 0.00237373+0.00030286j -0.00119648+0.00529326j 0.00111649+0.00134392j 0.00047312+0.00727323j -0.00119893-0.00319894j 7.80835e-05-0.00132916j 0.00796463+0.00263745j -9.25353e-05-0.00332332j 0.00682383-0.0020712j -0.00160001-0.00105843j 0.00221604-0.0040528j 0.0023069+0.00157962j -0.00122566-0.00481098j 0.00393754+0.00196817j 0.00105559+0.00176867j -0.00607221-0.00320896j -1.27221e-05-0.00291786j 0.000876283+0.000332686j -0.00035968-0.00129169j -0.00119659+0.0010322j -0.000185162-0.0025565j 0.0018293+0.00262979j -0.0061683+0.0034229j 0.00218152+0.00293345j -0.00406602-0.00247289j -0.00167971-0.00374091j -0.00197675+0.00247212j 0.00480435-0.00547872j 0.000723206-0.000274466j -0.00308788-0.000396103j -0.00445885+0.00578319j 0.00386975+0.00125984j -0.000746032+0.00375108j 0.00498234-0.00174795j 0.00262735+0.00874249j 0.000785284-0.000333924j 0.00147579-0.000413501j -0.00119553+0.00269189j 0.000232368+0.00183479j 0.00500635-0.000807625j -0.000174075-0.0024988j 3.49913e-05-0.00122168j 0.000159855-0.00104758j -0.00047361-0.00191621j 0.00264363+0.00189492j -0.000308142+0.00353021j -0.00342734-0.00352283j -0.000893669+0.000865953j 0.00152811+0.00063771j 0.00070052+0.000951554j 0.000208846+0.00131559j 0.00151476+0.000829102j -0.00169291+0.001665j 7.55605e-05-0.00268749j -0.00349449+0.00202887j -0.000210373+0.00493298j 0.00289269+0.000819045j 0.00264261+0.00137808j 0.00472323-0.00309568j 0.00434782+0.00463762j 0.00382563+0.00348986j -0.0022329-0.00647829j -0.00187921+0.00554868j -0.0062519-0.00513109j -0.00414688-0.00555693j 0.000979453-0.00603334j 0.000707902-0.0115558j 0.00111348+0.00817793j -0.00627315+0.00583536j 
0.000491077+0.00305203j 0.00118343-0.00145271j 0.00252767-0.000499007j -0.00133493+0.00401121j -0.00349796-0.00208838j 0.00199041+0.00427078j 0.00184339+7.80413e-05j 0.00347591+0.000591366j -0.00127132-0.000559021j 0.00116376+0.000239678j 0.00251024+0.00245902j -0.00236111-0.000864538j -0.0016742+0.00550518j -0.00350528-0.00387601j 0.00137213+0.00193097j -0.00194962+0.00224528j 0.00251279+0.000259617j 0.00603933+0.000241716j 0.00250689-0.00251349j -0.00293908+0.00612902j 0.00425904+0.00132745j 0.000658676+0.00026271j -0.000781346-0.00348443j -0.00349933-0.00201383j 0.00155572-0.00374504j -0.00033372-0.00387741j -0.00441801+0.00214079j -0.00120251+0.000133787j -0.00253179-0.00303532j -0.00103883-0.00134808j 0.000144106+0.00237311j 0.000942484-0.00214265j -0.000261099-0.00223456j 0.0035681-0.00206085j -0.000270382-0.00116071j 0.00062633-0.0010799j 0.00134527+0.000639102j -0.000572024+0.000522548j 0.00229669-0.00134951j -0.00335665+0.000915626j -0.00230779-4.57065e-05j 0.000673853+0.00241578j -0.0029275-0.00300083j -0.004342-0.0023454j 0.000168553+0.00113748j 0.00443471-0.000296742j -0.00206502-0.000387814j -0.00178165+0.0024063j 0.00247815+0.00438714j -0.00257948-0.00299137j 0.0020361+0.00115595j 0.0028772+0.00427703j -0.00347716+0.00234372j 0.00131199+0.00250094j -0.00350217+0.00552117j -0.00175183+0.00184016j 0.00196943+0.000513913j 0.000806784+0.00609289j -0.000549226-0.000150574j -0.000404957+0.00731847j 0.00163278+0.0028278j 0.00012125-0.00239688j 0.00211792+0.00177163j -0.00369262+0.00355282j -0.000310802+0.00025865j 0.000420044+0.00107285j -0.00179744+0.000783374j 0.000618161+0.000908787j 0.000443262-0.00302318j -0.00251487+0.00521146j 0.000615355+0.000552313j 0.00434783-0.00137712j 0.00306237-0.00173413j -0.000208014+0.00195265j 0.00121795+0.000590425j 0.00192897-0.00444373j -0.000262601+0.00022551j 0.000772169-0.00606433j -0.00266671-0.00682916j -0.00167626+0.000199465j 0.00323128-0.00349568j 7.63191e-05+0.00246815j 0.00120133-0.00305687j 0.00149278-0.0037066j 0.00240972+0.00217814j -0.00225267-0.00272139j -6.95047e-05-0.00300545j 0.00166196+0.00328848j 0.00582696+0.00156215j 0.00608435-0.00128015j -0.000744662+0.000634161j -0.0020788+0.00302553j 
-0.00212855+0.0055405j 0.0054314+0.0032476j -0.00296069+4.96313e-05j 0.00256342+0.000237821j -0.00397021-0.000969252j -0.00768161-0.00703212j 0.00300004-0.00240879j 0.00849723+0.00138628j 0.000493567-0.00519895j -0.00114036-0.00309347j -0.00128384+0.00191793j 0.00407299-0.000135882j 0.00280707-0.00235007j -0.000124151-0.000234075j -0.00538803+0.00540659j 0.00434554-0.000804633j -0.00284869+0.00155031j 0.00425532+0.00106014j 0.00137317-0.0018372j -0.000242452-0.00272714j -0.00403-0.00129108j 0.00207263-0.000981902j 0.00272541+0.00451439j -0.000147859+0.00171375j 0.000375507+0.00421085j 0.00236558+0.000908251j 0.00362995-0.00499182j 0.00204412-0.000142764j -0.00753565+0.0106359j 0.00336404+0.00649922j -0.00366843-0.00449174j -0.00336305-0.00415896j 0.00309086-0.00296907j 0.0046578+0.0024875j 0.00123566+0.00471971j -0.00172221-0.00157469j -0.000759222+0.00212239j 0.000234826+0.00065415j -0.00122717+0.00288112j 0.00575634-0.00169709j 0.00735591+0.00219454j -0.00992309-0.0105215j 0.00166528+0.00434068j 0.000199896-0.00203369j 0.00176934+0.0047484j -0.00442938+0.00377312j -0.000521539-0.00271196j -0.00387484-0.00315293j -0.00333033+0.00212041j 0.000224193+0.00025333j -0.00445407+0.00326009j -0.00391724-0.00257683j 0.00174806+0.00457874j -0.00166727-0.00143629j 0.00548736-0.00573611j -0.00538869-0.000154429j 0.00134126-0.00365924j -0.00847981+0.00156754j -0.00678576-0.000446j -0.000801989+0.00133884j 0.00210234+0.00213522j -0.00171925+0.00215683j 0.000113044+0.00228728j 0.00352404+0.00276252j -0.00161379-0.00576799j 0.00269411-0.00411394j -0.00255689+0.0059725j -0.00555572-0.00246395j 0.00503977+0.0013307j 0.00768441-0.00793218j 0.00306077+0.00555463j -0.00330563+0.00869577j -0.00218936-0.000184659j -0.000962078+0.000870424j 0.00541125-0.00314836j -0.00157754-0.00384209j 0.00116361+0.00440796j 0.00131594-0.00225328j -0.00553233-0.00101008j 0.000107733-0.00171261j -0.00115685+0.00239575j -0.00972102-0.00403971j 0.000797615+0.00347546j -0.00156693-0.00294448j -0.00222849-0.00424266j 5.04811e-06+0.00182451j -0.00420128+0.00458847j 1.80987e-06+0.000935668j 0.00207098-0.00479531j 0.00413378-0.00130326j 0.00271257+0.00362896j -0.00160682+0.00411931j 
-0.00628307-0.00062626j -0.000267997+0.00564459j -0.00662301-0.00153131j 0.00315168-0.00524094j -0.00177399-0.000996032j -0.00564221-0.0012062j -0.00167063-0.00142118j 0.00730251-0.000972524j -0.00156431-0.000317921j 0.00323501-0.00175595j -0.000196741+0.00150963j 0.0030781-0.000437585j -0.0005605-0.00374197j 0.00133524+0.00158396j -0.00280363+0.003954j -0.00132556-0.00101644j -0.00256327+0.00185612j 0.00293469+0.00207746j 0.00268163-0.00143058j -0.000272441-0.00241923j -0.00383563+0.00164431j 0.00169046+0.00286096j 0.00281434+0.00213887j -0.00246588-0.0012412j -0.000558566+0.00282632j 0.00225043-0.00433896j 0.00248394+0.0004149j 0.00066465+0.00156732j 0.00114822+0.0055268j 0.00329895+0.00278284j -0.00157783-0.00268637j 0.00290854-0.00119962j 0.00150443-0.00182092j 0.000785921-0.000143425j 0.00447662+0.0036382j -0.000509004-0.00169995j 0.000156337-9.29501e-06j 0.00120116-0.0023791j 0.000643219-0.00180664j 0.00276729-0.00392569j 0.00330906+6.51089e-05j -0.00750905-0.00440054j 0.000651396-0.000955925j -0.0015976-0.000581849j 0.0017612+0.00395759j -0.000422318+0.00119487j -0.00250464-0.00424798j -0.00433907-0.00240744j 0.000937709+0.00145109j 0.000362455-0.000145951j 0.00182641+0.00165634j -0.00404211+0.000154442j 0.00317464+0.000517853j -0.00139327+9.57052e-05j 0.00239862-0.00496928j 0.000418912+0.00246668j -0.00245813+0.00327414j 0.00338601+0.00297789j -0.0017863+0.000537451j -0.00234443-0.00135961j -0.000152156+0.00207474j -0.00102228+0.00344865j 0.00295494+0.00176979j 0.00117805+0.000315703j 0.00326976+0.000739049j -0.0017578+0.00526394j 0.00445095+0.00450022j -0.00221642-0.00527016j 0.00140364-0.000880073j 0.00197501+0.000703664j -0.000336684-0.00249894j -0.00145176+0.0046741j -0.000278392+0.000143611j -0.000613173-0.00151578j -0.00129415-0.00267776j -0.00196681+0.00095868j 0.0026271-0.002728j -0.000948196-0.000733763j 0.000380856-8.43344e-05j -0.00165153-0.00267968j -0.00789002-0.000542011j -0.00372699-0.00139171j 0.00101924+0.00207204j -0.00143301-0.000929561j 0.00535527+0.00337044j 0.00406887+0.000657341j -0.00180662+0.0015359j -0.00205329+0.00246459j -0.000402766-0.00448062j 5.1896e-05-0.00325457j 0.00122102+0.00748431j -0.00591604+0.00152674j 
-0.00642856-0.00532056j -0.0050496+0.00642824j -0.0029094-0.00453985j 0.00210022-0.0056415j 0.00444933+0.00189293j 0.00347054+0.00453322j -0.00338869+0.0016081j -0.00286995-0.00268506j 0.00246601+0.00280974j 0.00375734-9.9163e-05j -0.00249183-0.00112679j 0.000745938-0.00152575j -0.00252071-0.00269077j -0.00178489+0.00299767j 0.0024522-0.000944805j -0.00215076-0.000355596j -0.00262559+0.000764067j -0.00292637-0.00189845j -0.000569728-0.000669892j -2.58297e-05-0.00128933j 0.000497774+0.00174537j 0.00291278+0.000796985j 0.000554274+4.61936e-05j -0.000345495-0.000820163j -0.000668625+0.00140693j -0.00131181-0.00152249j 0.000458599+0.00617185j -0.00348023-0.00364764j 0.000297728-0.00812284j -0.000185978-0.00127011j 0.00143412+0.000179558j 0.00631227+0.000897234j 0.000721915-0.000361133j 0.00241707+0.000986797j 0.00198252+0.00258107j 0.000791036-0.000452829j -0.00232386-0.00320137j 0.000569574+0.0026361j -0.00218312-0.00264811j -0.00188108-0.00153391j -0.00230221+0.000866819j 0.00616502-0.000571156j -0.00220193+0.00105398j 0.000909078-0.000733492j -0.00162336+0.00252372j 0.000782381+0.00347908j -0.00049217+0.00340097j 0.00375136-8.26067e-05j 0.000695753-0.000320864j -0.000188086+0.00417977j 0.0022682-0.0020161j 0.00214247-0.00517778j 0.002254-0.00529371j -0.00135431-0.000321106j 0.00237535+0.000813226j 0.00370859-0.000912131j -0.000841144-0.00200969j 0.00224596-0.00179919j 0.000845251-0.00219617j -0.00110401-9.32156e-05j 0.00118756+0.00398504j -0.00179609-0.000761953j -0.00117657-8.1181e-05j -0.00140135-0.00395139j -0.000548619-0.00157174j 0.00101217-0.0012116j 0.00162632-0.00167809j 0.00293113+9.42011e-05j -0.0032446+0.000951505j 0.00499894+0.00298968j -0.00272556-0.000901389j -0.00173508+0.000841528j 0.00171132+0.000400247j -0.00203716-0.00265688j 0.00253905-0.000280756j -0.000969807-0.00149252j -0.000300698-0.00162748j 0.00504864+0.000313621j 0.00681606-0.00251841j -0.00209096+0.0037254j -0.00144045+0.00196921j 0.00205256+0.00171409j -0.00275388-0.00331236j -0.00709164-0.000778393j 0.000819051-7.20957e-05j 0.00057959+0.00138937j 0.0051017+0.0022296j 0.0039039+0.00534591j -0.00247689-0.00403155j -0.00323997+0.000110783j -0.00320591+0.00495841j -0.00317076-0.00499423j 
-0.000119346-0.00187148j -0.00181536-0.000824191j -0.00192271-0.00280513j 0.00142985-0.00338821j 0.00301897-0.000792332j -0.00166983-0.00461309j -0.00432516+0.00134694j -0.00486369+0.00105035j -0.00159356-0.000424288j 0.00160591-0.00074518j -0.000403666-0.00307001j -0.000571902-0.00038132j -0.00030756+0.000215446j 3.88132e-05+0.000548164j 0.00126365-0.00208593j -0.00230896+0.000656981j 0.000267054+0.0014115j 0.00172168-0.000459512j -0.00122172+0.00244349j 0.00148633-0.000306333j -0.00478144-0.00126739j -0.000609508+0.000189645j -0.00511904+0.00261287j 0.00250858+0.000479337j 0.00259562-0.00239279j 0.00129551+0.00432872j 0.00186302-0.00200536j 0.00307732+0.00137173j 0.00779166-0.00151048j 0.000821538-0.00107179j -0.00169376-0.00108084j 0.000103554+0.00083288j 9.05441e-05+0.000322448j -0.00428742-0.001891j -0.00190663-0.00379992j -0.000963948-0.000536176j 0.00113768-0.000215927j -0.00200756-0.00147846j 0.00112183+0.00190725j -0.000118472+0.00338175j -0.00229222+0.00147826j 0.000910368+0.00244273j 0.00037725-0.00309391j 0.000823047-0.000291351j -0.000173793-0.00269616j -0.00257859-0.000289294j 0.00071619-0.00211185j -0.00211971+0.00124923j 0.00194261-0.00194339j -0.00236751-0.00206411j 0.000320019+0.000531564j 0.00301667+0.000449288j 0.00278131+0.00418425j -0.00248962+0.00223338j -0.00149828+0.00171671j 0.00501252-0.00199297j 2.59987e-05+0.00264065j 0.00895147-0.00281462j -0.000806911+0.00186688j -0.000186704-0.00269225j 0.000683133-0.0024624j 0.0012434-0.00406896j 0.00280179-0.00309764j -0.000198593-0.00400754j 0.00418433-0.00221032j -0.00160646+0.00466605j -0.000392023-0.00488127j -6.04762e-05-0.0018823j -0.00171752+0.00159764j -0.00443183+0.00240142j -0.00315493-0.00263284j 0.00137189-0.00452231j 0.00251687-0.00231879j 0.00125445-0.00106057j -0.00219452+0.000711155j 0.00115433+0.00249769j -0.00139693-0.000983128j -0.00130094+0.00111412j -0.000283596+0.00116602j 0.000181892-0.000208717j -0.00307954-0.00290869j 0.000366437-0.00239362j 0.0036974+0.00319525j 0.00499664-0.00122298j 0.00428412+0.00140656j -0.00281559-0.00097902j 0.00014612-0.000202084j -0.00539102-0.00537966j 0.00093346-0.004548j 0.00649139-0.000124898j 0.00154778-0.000332551j -0.00134381+0.000597379j 
-0.00431+0.00254617j 0.00196237+0.00345114j 0.00262013+0.00149267j -0.000756935+0.00216258j -0.00247544+0.000748814j 0.00370117+0.0046737j 0.00623947-0.0017171j 0.00123869+0.0013701j -0.00176785+0.00235738j -0.00264568+0.00122358j 0.000809862-0.0011817j -0.00105312+0.00147886j 0.000179553+0.00317438j 4.31534e-05-0.000777832j -0.00119532+0.00038214j -0.00164778-0.000593286j -0.000233987-0.00319965j -0.00176481+0.00150204j 0.000802586+0.00197682j -0.00143884+0.000820691j 0.00438998-0.000729455j -0.00254362+0.00255023j -0.000748971-0.00256649j -0.0043565-0.00156502j -0.00351514+0.00239925j -0.000124648+0.000709374j -0.000183916+0.00251359j 0.00254249+0.00403988j 0.0030957+0.00070785j -0.0044125+0.00233338j 0.000650845-0.000691653j -0.000910574+0.00148914j -0.00116823+0.000742687j -0.00343989+0.00248892j 0.000377993-1.7257e-05j 0.000679108+0.000648028j 0.0027248-0.000959517j -0.000476126-0.00248599j 0.00115572+0.000926338j -0.000198504+0.00130359j -0.00341592-1.11211e-05j -8.59059e-05+0.0060295j 0.000365279-0.00237409j 0.000571037+0.00251693j 0.000160317-0.00236495j 0.00335716-0.00657806j -0.00177586+0.000811618j 0.00223087+0.00152326j 0.00214998-0.000873497j 0.00047161-0.00273246j 0.0017307-0.000875039j -0.000767443+0.0026332j -0.000753964+0.00223729j 0.00201242-0.000508999j -0.00196827+0.000777619j 0.00144475+0.00278967j -0.00180994+0.00852837j 0.00400871+0.0020754j 0.00472072-0.00408315j 0.000525668-0.00215641j -0.001014-0.00161139j 0.00408622-0.00425136j 0.00044719+0.000601486j -0.00314709+0.00681552j 0.00161788+0.00055185j -0.000778411+0.00646802j -0.00136841-0.00253673j -0.000386015-0.000536373j 0.00119313-0.00528413j -0.00800788+0.00485139j -0.00354162-0.00352786j 0.00121822-0.0032508j 0.00289101-0.00122558j 0.000761431-0.000943917j -0.00608641+0.00300537j 0.00469736-0.00196476j -0.000110381+0.000455003j -0.00353866+0.00354495j -0.0055371+0.000849477j -0.00281475-0.00302162j -0.00667122-0.00108767j -0.00188805+0.00043719j 0.00349056-0.00158142j 0.00571016-0.000704644j 0.00329343-0.000602489j 4.84175e-05-0.00332314j -0.00160176-0.0010172j -0.0035462+0.00197443j 0.00577142+0.00354718j -0.000107341+0.00783232j 0.00357305+0.00288411j -0.00492084+0.00405722j 
-0.00409874-0.00571251j -0.00355243+0.00360226j -0.00478613-0.00227419j -0.000851541-0.00834252j 0.00537121+0.000874997j -0.000268698+0.00306541j -0.00528774-0.00237696j 0.000586092-0.00332424j 0.00416236-0.000100306j 0.00263573-0.000577239j -0.00308476+0.00261363j 0.00194518-0.00157296j -0.00154151-0.00492578j -0.00135947+0.00304721j 0.000795021+0.00266272j 0.00109708-0.00436997j -0.00352374+0.00112304j 0.000533599+0.000349261j -0.00232111-0.00193098j -0.00141209-0.00241047j -0.00370736-0.000972342j 0.00662451+0.000309315j -0.00131544+8.81827e-05j -0.00050965-0.000844274j 0.00164669-0.00177188j -0.000765031-0.000205179j 0.00354707+0.00241292j -0.00234487-0.00244525j -0.00221753+0.00254554j 0.00453091-0.000468806j 0.000355838-0.00229848j 0.00378683+0.00214757j 0.00274821-0.000117641j 0.00205647-0.00166388j 0.00589783+0.00578081j -0.000361928+0.00119548j -0.00548464+0.00145103j 0.00319894+0.0015488j 0.00196423+0.0011409j -0.000115833-0.00257404j 0.00473068-0.000117107j -0.00107634-0.0049462j 0.00170824+0.00266157j -0.00239231-0.00305794j 0.000119387+0.00436177j -0.000710457+0.00751546j 0.000955781-0.000199277j 0.00338245-0.00564267j 0.000242801+1.94345e-05j 0.00350799+0.00321746j -0.00224802+0.0023517j 0.000457151-0.00487568j 0.00694315-0.00836431j 3.31617e-05-0.00273158j 3.11715e-05-0.000153251j 0.00118587-0.00114691j -0.00234996-0.006946j -0.0015554-0.00191111j -0.000722642+0.00332692j 0.000201128+0.00098796j -0.000520343-0.000627344j -0.00180643+0.00229692j -0.00250248-2.48141e-05j -0.00266488-0.00490644j -0.00542391+0.00355869j -0.0011678-0.00188599j 0.00200235+0.00277848j 0.00240277-0.00449126j -0.00143461+0.0019909j 0.00636873-0.00049139j 0.00111922+0.00243455j -0.00397258+0.00559895j -0.00287616+0.000217311j -0.000730822-0.00184965j 0.00150946-0.00197j -0.00400529-0.00181785j 0.00288896+0.000272485j 0.0014514-0.00452499j 0.00829938-0.00170242j 0.00167025+0.00462464j -0.00130591+0.00203086j 0.000148166+0.000677468j -0.0051734-0.0042861j -0.00713947-0.00225505j -0.00592004+0.000791396j 0.000655579+0.00437711j 0.0102896+0.00478756j 0.00404931+0.000163948j -0.00764446-0.00316853j -0.00141557+0.000944513j -0.00208227+0.00473275j -0.00284299-0.00622774j 
