0.193214-0.0879733j -0.0792682-0.209248j 0.032155+0.0528043j 0.0112678-0.00987764j 0.0936892+0.156802j 0.0526818-0.0847579j -0.106786+0.146874j -0.0822677+0.105594j -0.0277726-0.0473251j -0.0391015-0.0126725j -4.73635e-06+0.06139j -0.0233679+0.0675105j -0.0115574-0.0591573j -0.0101859+0.0783557j 0.0335379-0.0143975j -0.0255163+0.0371196j 0.0595818+0.00378845j -0.10148+0.0551069j 0.0730956-0.0907789j 0.131766-0.0781475j -0.0160313+0.0911971j -0.0947062-0.0234127j -0.187261+0.0828104j 0.181565+0.131683j -0.0227848+0.106895j -0.0434673-0.0276741j -0.1991-0.0505817j 0.0136922-0.0305649j -0.109938-0.0551981j -0.0164262-0.0420091j -0.11309+0.199067j 0.279818+0.0362578j 0.0961288+0.191574j 0.0531091+0.16119j 0.00493555-0.13555j -0.14392-0.0506898j 0.228185+0.120072j -0.0100562-0.105116j -0.0584177-0.0607234j -0.0450323+0.125777j -0.0514159+0.0890549j 0.00705064-0.0103014j 0.0160587+0.0074385j -0.0396054-0.0299597j 0.0269933+0.0470791j -0.0260185-0.1136j -0.0755024-0.0229717j 0.0106033-0.0295095j 0.0463207+0.0823822j -0.0386674+0.00696604j -0.0723772+0.049127j -0.0423579+0.0922509j 0.0656528-0.0612699j 0.135729-0.22333j 0.0802092-0.0810322j -0.044248-0.0883536j -0.000710474+0.0125125j 0.00466887-0.0326108j 0.0105843+0.0267996j 0.0334933+0.00338429j 0.0336099+0.0097446j 0.00611269-0.0116661j -0.0709205+0.0283895j 0.0429252+0.0197258j -0.0182379-0.018495j 0.00168341+0.0189582j -0.0198239-0.0157882j 0.0372421+0.0116212j -0.0151959+0.0168376j -0.0022636-0.00456827j 0.00593656-0.00824224j 0.00730732+0.00216583j 0.0028213+0.0292969j -0.0130382-0.00711398j -0.00837693+0.0202416j 0.0054094+0.0222902j -0.0131418-0.00355185j -0.00123424-0.0109916j -0.00370618-0.0176001j -0.00957911+0.0112517j -0.00023701-0.0234651j -0.00788088+0.000456188j -0.0260464-0.0185132j 0.0211612-0.00424979j -0.0344921-0.0344234j 0.0112844+0.0153363j -0.0106986-0.0203375j 0.012393-0.00790917j 0.0169681-0.0101823j -0.0323402+0.0320753j 0.00517708-0.0244941j -0.0282773-0.0162473j -0.0304003-0.0444346j -0.0621616+0.0122283j -0.0201109-0.0624108j 
0.00318733-0.00361471j -0.00355986-0.00404961j -9.06482e-05+0.00234723j 0.0011205+0.00420991j 0.00283848-0.00101101j -0.00294897+0.00233789j -0.0040655-0.0016112j 0.00164528-0.00170114j -0.00203268+0.00153027j 0.0024793-0.00169466j 0.00112944+0.000449861j -0.00185883+0.000367517j 0.0016772+0.00289625j -0.00522353+0.00261568j -0.00283338+0.00139076j 0.000247081+0.00297913j -0.00204767+0.0017133j 0.00278064+0.000454699j -0.00279922+0.00113044j -0.00441564-0.0072276j 0.0110389+0.00326387j 0.00264826+0.00143306j -0.00486303-0.00451589j -0.00494298-0.00106628j -0.0016425+0.00146739j -0.000915536-0.00209552j -0.00124759-0.000854429j -0.000483075+0.00104752j 0.000174334-0.00388749j -0.00205846-0.00361458j 0.00383396+0.00283587j -0.0008009+0.00408408j -0.00138583-0.00366465j 0.00562128-0.0033291j 0.00622078+0.00862243j -0.0027812+0.000176172j -0.00170182-0.0040003j 0.00122122-0.0106946j -0.00443676+0.00725273j 0.00265999+0.00362415j -0.0115713+0.00482839j 0.00233913-0.000894114j -0.00114908+0.000542816j -0.00196449-0.00630185j 0.000250697+0.00367698j 0.00349984-0.00681778j 0.00522032+0.00571215j -0.00219442+0.00549356j -0.000380522-0.00159838j 0.000688225+0.0029931j 0.00132217-0.00464765j -0.00379151+0.0034263j 0.00200428-0.00868172j -0.00241364+0.00479044j -0.00145613+0.00453207j -0.00303678-0.00064278j -0.00152942-0.00953382j 4.91754e-05-0.000922923j -0.0123436-0.00491327j -0.00343685-0.00665156j -0.00580657+0.00470993j -0.00109546-0.000724744j -0.00975733-0.00436054j 0.00198407-0.0061143j -0.00478624-0.00617932j -0.000918216+0.00630187j -0.0011563-0.00244188j -0.002308+0.00482369j 0.000234738-0.0011236j 0.0121557+0.00120575j -0.00305921-0.00574675j 0.00257808-0.00263079j -0.00267478+0.00583655j 0.000525302+0.00166654j -0.000542007+0.00321267j -0.00259032+0.00287856j -0.00469442-0.000426226j -0.000287849+0.00314067j 0.0018044-0.0027962j -0.00168248+0.00421145j -0.000176922-0.00292147j -0.00375131-0.00114336j 0.00357116+0.00202297j 0.0116019+0.00345495j -0.00486491+0.00139139j 0.00237338-0.00268377j -0.0011851+0.0112108j 0.00208517+0.000309169j -0.00464786+0.00170461j 0.00497622-0.00620684j 0.00388169+0.00229632j 0.00937063-0.00177183j 0.00829257-0.00411135j -0.00990447+0.00402061j -0.00550095-0.00399844j 
-0.00275413+0.00760531j 0.00678504+0.00337546j 0.00462597-0.00226318j -0.00179233-0.00122395j 0.00534176+0.00157245j 0.000177067+0.0056663j 0.00042682+0.00444548j -0.00338489+0.00313516j 0.001725+0.00415556j -0.000889626+9.00911e-05j -4.77532e-05+0.000568623j 0.000962853+0.00143857j -0.00411142-0.00140419j 0.00491998+0.00158253j 0.00165724+0.000812142j -0.0018893+0.00123208j 0.00270732-0.00235659j 0.00174167-0.000845911j -0.000126693-0.000766515j -9.61633e-06-0.00106084j -0.000688241+0.000676138j 0.00318753-0.000704111j -0.00284819+0.00216595j 0.00181033-0.00252175j -0.000222888+0.000917832j -0.00368641+0.00318971j 0.004558+0.000183649j -0.00188964+0.0054397j 0.00331203+0.00870737j -0.00342359+0.00531877j 0.0069289+0.0014899j -0.00429628-0.00158048j -0.00374659+0.00132056j 0.000254542-0.00264066j 0.00256999+0.00331562j 0.00241407+0.00392103j 0.00192816+0.00512616j 0.00516562+0.000120487j 0.00195983+0.00250337j 0.00165563-0.000768707j 0.00811751-0.000763928j -0.00310313+6.54085e-05j 0.00107146+0.00150476j -0.00154859-0.000210012j 0.00288763+0.00268488j 0.0003501+0.00140306j -0.00104694-0.00459892j -0.00446153-0.00734242j 0.00486115+0.000833563j -0.000486578+0.003796j -0.00384459-0.00245024j -0.00154464-0.00081638j -0.00175731-0.000969892j 0.00367121+0.00514497j 0.00214796+0.00544759j -0.00331469-0.00138961j -0.0037597-0.00145235j 0.000471443-0.00254515j -0.00206266-0.00109867j 0.000138012-0.00571111j -0.000879962-0.00562777j 0.00234155+0.00619723j 0.00388403+0.000122078j -0.00243152-0.00222687j 0.00147407+0.00175249j -0.00447352-0.00305288j -0.00500307+0.00130566j -0.000849475+0.00218973j 0.00467062-0.00281775j -0.00735925+0.00179776j -0.00252342+0.00211281j -0.00506711+0.0013363j 0.00219097-0.00385303j -0.000336293+0.00488197j 0.00199287-0.0039071j -0.00125648-0.00353218j 0.00400132+0.00716849j -0.00375249+0.0043718j 0.00484131+0.00746651j -0.00440292-0.00279331j -0.00437562+0.00120636j 0.00252351-0.00234058j 0.00250205+0.00174817j -0.00539649+0.0058183j 0.0061184-0.00534335j 0.00337431-0.00126095j -0.00244814-0.00530345j 0.0019164+0.000192798j -0.00334899+0.00168151j -0.00397154-0.00306988j 0.00498691-0.00345277j 0.00214807-0.000866506j -0.00119547+0.00245126j 0.0130371-0.00417085j 0.00402115+0.0112092j 
0.00139161-0.00165419j -0.00264814-0.000102077j -0.00270744+0.00199559j 0.000316155+0.00264542j -0.00577279-8.49772e-05j -0.00104821+0.00413772j 0.00466682+0.00359004j 0.00366478+0.00322146j 0.00262513-0.00190016j -0.00221744-0.00278695j -0.00505738-0.00368386j 0.00039767-0.000864353j 9.70681e-05-0.00613555j -0.0019532+0.00462404j 0.000906319+0.00117682j 0.0042868+0.000519091j -0.0059862-0.00272262j -0.00137602+0.000116519j 0.00508437+0.00126859j 0.000995829+0.0025409j -0.0140424+0.00141088j 0.00162409+0.0029599j -0.0052765-0.00490216j 0.00469032+0.00628424j 0.00297447-0.000678492j 0.00160287-0.00209878j -0.000981213+0.0021417j 0.00242946-0.00319778j 0.00539067+0.00107012j 0.00604737+0.00840329j -0.0022296+0.00184543j -0.0048155+0.00572368j 0.000945701+0.00183494j 0.00256675+2.04921e-05j -0.00113525+0.00329676j 0.00182733+0.000991403j 0.00300483-0.00436164j -0.00181779-0.00341691j 0.00685653+0.00513527j 0.00245506-0.0011466j 0.00480108-0.00880396j -0.00343809+0.00145169j 0.00182666-0.000750311j -0.00518747-0.00864101j 0.000236046+8.51476e-05j -0.00782655+0.00675362j -0.00155883+0.000451922j 0.00601361-0.00803529j 0.00391121+0.00292887j 0.0022021+0.00210601j -0.000785262+0.0136249j -0.0050812+0.00713718j 0.00425452-0.00271798j -0.00196228+0.00232116j 6.67646e-05+0.00607355j -0.00170303+0.00294145j 0.00162507-0.00310218j -0.000193759-0.00324626j -0.00692783-0.00128923j -0.00248483+0.000354815j 0.00514021-0.00703831j -0.00796857+0.0125679j 0.00128228+0.00935114j -0.00575103-0.0018941j 0.007915+0.00760398j -0.00879252+0.00427108j -0.0065412-0.000766468j -0.0028954+0.000976642j 0.00503081-0.00181315j -0.001236+0.00621769j -0.00110548+0.00320424j 0.00621302-0.00172564j -0.00122195-0.00348007j 0.00491999-0.00113359j 0.00405818+0.00376577j 0.0024278-0.00991011j 0.00539484+0.00330287j -0.00436822-0.00228683j 0.00392024-0.00252599j -0.00351606+0.00513077j -0.00404716-0.00158906j 0.000641791-0.000548982j -0.00744885+0.0144879j -0.00647246-0.000528647j -0.00567227+0.00124557j 0.00740724+0.00608776j 0.00301682-0.000859093j 0.00130467+0.00330604j 0.000602842+0.00119634j -0.000448036-0.00585066j 0.00592934+0.00273174j 0.00310609-0.00224488j 0.00429266-0.00400073j -0.00279168+0.00100468j -0.0012757-0.00249383j 
-0.00175374+0.000849568j 0.00196669+0.000939802j -0.000406495+0.000731058j 0.00233073+0.000434842j 0.00336262-0.00093718j -0.00277461-0.00444106j 0.00221579-0.00280885j 0.000645361-0.00552877j -0.00328671+0.00313877j 0.00432008-0.000777499j 0.00450494-0.000320484j 1.93987e-05-0.00375777j 0.00656965+0.00290457j -0.00817665+0.00126137j -0.00135646-0.00269325j 0.0051992-0.0018123j -0.00555677+0.00414114j -0.00316835+0.00267346j 0.000862601-0.00487784j -0.00355151-0.00206816j 0.0021685-0.00010348j -0.00199814-0.00385753j -0.000942683+0.00644682j -0.00209212+0.00390938j 8.88251e-05-0.00519864j 0.00352947-0.00315915j -0.00332022-0.00141785j -0.00151427+0.0019756j -0.00204119+0.00185196j 0.00050236-0.00380659j -0.00324447-0.00226164j 0.00583199+0.00251632j 0.00186196-0.00188941j 0.00163069-0.0002756j 0.000453315-0.00103792j -0.00671274-0.00220402j 0.00737755+0.00260711j -0.00019014-0.00469417j 0.00207119+0.00725362j -0.00282492-0.00455856j -0.00799806-0.00482718j 0.00280299+0.0025601j -0.00129385-0.00139912j 0.0102208-0.000207507j -0.00901634-0.00299847j 0.00783939-0.00575787j 0.00466144+0.00219j 0.00523572+0.00955399j -0.00318225+0.000442561j 0.00487725-0.00127781j 7.94646e-05+0.00927747j 0.00207971+0.00423907j -0.00423737-0.00157286j -0.00492348-0.00422879j 0.00151553-0.00560076j 0.000152449-0.00654516j 0.00165188+0.00757958j 0.00119968-0.00222677j -0.00442065-0.00121448j -0.00279075-0.0032935j -0.000255299+0.00530213j 0.00215494-0.00306641j 0.000557432-0.00425678j -0.00487315+0.00109101j 0.00126094-0.00152674j -0.00139145+0.00296267j 0.00400893-0.00463197j -0.0049085+0.00242188j -0.00276182-0.00093669j 0.00572841-0.000872375j 0.00289218-0.00263104j 0.0108121+0.00084037j -0.00140126+0.00220118j 0.00353245+0.00122151j -0.00439374-0.000255762j 0.00289354-0.00374539j -0.00166694-0.0130656j 0.0026078-0.00549009j -0.00372795-0.00613861j 0.00159294+0.0107276j -0.00359546+0.000849302j 2.35687e-05+0.00154259j -0.00542576-0.00134143j 0.000957949-0.00433596j -0.00693732+0.00727866j 0.00239214+0.00265015j 0.000820277-0.00242496j 0.00148069-0.000596561j 0.000418187-0.000510035j -0.000250697-0.00110956j 0.00429024-0.00169684j 0.00149009+0.000521677j -0.000905341-0.00245912j 0.000223702+0.00271097j -0.00404287+0.00185237j 
-0.000749499+0.00281565j 0.00117904+0.000973841j -0.00091257-0.00388949j -0.000776875-0.00101307j -0.00275718+0.00691698j 0.00156623-0.00173166j 0.00248994+0.00197591j 0.00287918+0.00333891j 0.00258351-0.00238633j -0.00269226-0.000451561j 0.00132521-0.00309333j 0.00173918+0.00235559j -0.000827048-0.00600499j 0.00638756+0.00155946j 0.000641359+0.00127807j 0.00123362+0.00221949j 0.00243006-0.00423152j -0.000568594+0.00201076j 0.0029035+0.00294334j 0.000917671+0.00485938j 0.00318223+0.00142169j 0.0023428+0.00303494j -0.00164558+0.000894186j -0.00174396-0.0012527j 0.00263778-8.23066e-05j 0.00122433+0.0029045j -0.000726492+0.00331805j 0.00380307-0.00217196j 0.00106952+0.00194446j 0.00131764+0.000765416j 0.00211643-0.00087665j -0.00279741+0.00191433j 0.00178083+0.00161123j -0.00194874+0.00184035j 0.000851261+0.00533547j 0.000104777-0.00165836j 0.000542438-0.00287473j 0.00259571-0.00241752j -0.00271517+8.53701e-05j -0.00366696+0.00202595j 0.00257987-0.000678481j 0.00286567-0.00277406j 0.00109992-0.00102358j 0.00191093-0.0065774j 0.00243164-0.000750443j -0.00366508+0.0015197j -0.0042547+0.00377735j -0.00184326-0.00308821j 0.00149347-0.00353992j -0.00631494+0.000559411j -5.53741e-05-0.00291157j -0.000239233+0.00233787j 0.00543243+0.00206804j 0.00011076+4.41241e-05j 0.00210686+0.00469556j 0.00192503+0.000702648j 0.00282937-0.00225989j -0.00107158+0.00253604j -0.00254749-0.00412437j -0.00334393-0.00299541j -0.00503268+0.00756775j -0.000489207-0.00186829j -0.00384326-0.00429954j 0.00277883-0.000776874j -0.00250889-0.00263596j 0.00352792+0.00576011j 0.000329426-0.00146252j 0.00334799-0.000637481j -0.000266609+0.00203607j 0.00674927+0.00127525j -0.00241307-0.00374087j -0.00164406-0.00284134j -0.000446927-0.00179893j -0.00115579-0.00264823j 0.00350707+0.00192902j -0.00309748+0.00163549j -0.000848125-0.000729063j 0.00245445+0.00257334j 0.00163835-0.00108315j 0.00239845+0.000116778j 0.00591069-0.00212872j -0.00165441-0.00143437j 0.00135273-0.00289532j 0.00674411+0.00431259j -0.000904984+0.000170989j 0.00328928+0.00173198j -0.00124103+0.00537817j -0.00087556+0.000857953j 0.00147448-0.000290123j -0.00234097+0.000368129j 0.00109257+0.0017496j -0.000254051-0.000592135j 0.00490023-0.00387118j 0.00190093+0.00598882j -0.00568135+0.00277709j 
0.000868396-0.000704507j -0.00219755-0.00185106j -0.00234618-0.00388017j -0.00160194-0.00317021j 0.00012644-0.000116178j -0.00301244-0.00635553j -0.00399108-0.00288202j 0.000610763-0.00420626j -8.51023e-05-0.0017853j 0.00179831-0.001886j 0.00426618-0.00278756j -0.00145293+0.00211082j 0.000673419-0.00352136j 0.00173117-0.0012911j -0.00104652-4.34785e-05j -0.00193569-0.00179812j 0.00603228+0.00453716j 0.00067349+0.000930666j -0.0036004-0.000397564j -0.00122663+0.00219985j 0.00750869+0.000475674j 0.000826058-0.00134926j -0.00411029+0.00376418j -0.0074734+0.00192412j 0.00167134+0.00254586j -0.000134198+0.00155991j -0.00117253-0.0023974j 0.00121463+0.000136773j -0.00377195-0.00199321j -0.00338932-0.00642615j 0.00309361+0.000425609j 0.00219727-0.000516527j 0.00251388+0.000630284j -0.000876523-0.000889154j 0.00144313+0.00361649j -0.00238363+0.0013658j 0.00265784-0.00613061j -6.87695e-06-0.00644599j 0.00151483-0.000538317j -0.00247006+0.00832281j 0.000388557+0.00153269j -0.0011864-0.00224562j -0.00334468+0.00589808j -0.00662533+0.00221871j -0.00301832+0.00378141j 0.00506884+0.000274372j 0.00101475-0.00957093j 0.00517214+0.00446491j -0.00159036-0.00546694j 0.00415038+0.00656643j -0.00278652-0.0124942j -0.00526835+0.000376199j -0.00198693-0.00796323j -0.00054056+0.00354135j -0.00355168-0.00309526j 0.00406329+0.00359442j 0.000731711-0.00492642j 0.00168457-0.00457584j -0.00633715-0.00226171j 0.00488416-0.00208224j 0.000655416-0.00227638j 0.000581669+0.008474j -0.00233951+0.00654191j 0.00153604-0.00340928j 0.00127867-0.000971151j -0.0038069+0.000297845j -0.00205873+0.0049253j 0.00125808+0.00761647j 0.00906828-0.000646466j -0.00700435+0.00687316j -0.00210785-0.00148242j -0.00358732+0.00407423j -9.26812e-05-0.000932892j 0.000394001-0.00246986j 0.00458692+0.00622486j -0.00103858-0.00702641j 0.00302052+0.0096295j 9.36857e-05+0.00527881j 0.000958147+0.00500513j -0.00204496-0.00694471j -0.000422202-0.00782271j -0.00010265-0.00415731j 0.001832+0.00266682j -0.000545798+0.00311168j 0.00368945-0.00499508j 0.00473994+0.00167279j 0.00259821-0.001618j -0.00259812+0.00168643j -0.000839451+0.00148038j 0.00197827-0.000864648j 0.000427041-0.000319668j 0.00632325-0.0020189j -0.00144949-0.000568909j -0.00121181+0.0017105j 0.000512812-0.00141783j 
-0.000784163-0.000568575j -0.000406502-0.000145924j -0.00125018-0.00393126j 0.000917554-0.00454723j 0.0011955-0.000946383j 0.00441819-0.00199642j -0.00110491-0.00253862j -0.000358396-0.00269106j -0.00194379-0.0015659j 0.0014196-0.00268998j 0.00186479+0.00120422j 0.00217473+0.00695794j -0.00183675+0.0013534j -0.00114357-0.00254858j 0.00142853+0.000570101j -0.00299608-0.00229666j 0.00164584+0.00498292j -0.00170167-0.00206948j -0.00626209+8.10783e-05j -0.00440345-0.00154348j -0.00121002-0.00052374j 0.000850513+0.000273345j -0.00352413+0.00142245j 0.000493416+0.000119j 0.000530035+0.00155923j 0.0046998-0.000789017j 0.00228352+0.000837201j 0.00332476+0.00330884j -0.000171823+0.000482933j -0.000284571-0.00126336j -0.000877301-0.000471857j 0.0020688+4.63306e-05j -0.00188522+0.00274648j -0.00284268-0.00102219j -0.000183082+0.000770721j 0.00162361-0.00110074j 0.00440221+0.000619337j -0.00142618-0.000731204j 0.00136451+0.00106002j -0.00201523-0.00223566j -0.00163022-0.00155844j -0.00475463+0.00251016j 0.0107649+0.00326761j 0.00237542+0.003588j -0.00486706+0.00622873j 0.00188388-0.00288746j 0.000988671+0.000674008j 0.00682138-0.00157573j -4.07643e-05-0.00546509j 0.00579355-0.00781182j 0.00189638+0.00533525j -0.00490025+8.38454e-05j 0.000441251-0.000502506j -0.00353663+0.00233656j 0.00176886-0.00405319j -0.00106684-0.00386839j -0.00364014+0.000308931j -0.00619133-0.00630323j 0.00210696+0.00322335j -0.000727854-0.00356427j 0.00285049-0.00322076j -0.00272852-0.00311871j 0.00614359+0.00352414j -0.00134938+0.00721328j 0.00391562+0.016591j -0.00860455+0.0157872j -0.00660877-0.00358975j 0.0133203+0.0032987j 0.00953129-0.00621736j 0.00437188+0.00800824j 0.000883182-0.00258781j 0.0161654-0.00771714j -0.000491439-0.00609251j 0.000486287-0.0026028j 0.00252574+0.00258373j -0.0052933-0.00745244j 0.00399774+0.000791687j -0.0128933+0.00163681j 0.00592016-0.0119717j 0.00707468+0.00393806j -0.00240424+0.00649933j -0.00357327-0.00974618j -0.00136932-0.00203657j 0.00112782-0.0056255j -0.000298028+0.000476149j -0.00181898-0.000327093j 0.00159087-0.000662617j -0.00177363+0.00328845j 0.000590383-0.00291097j 6.1329e-05+0.00147921j -0.00344532-0.000582172j 0.00112946-0.000565017j -0.00250346+0.00211839j 0.00136798+0.00023073j 3.34692e-05+0.00142689j 
5.50329e-05-0.00161524j -0.00291973-0.00131495j 0.00042568-0.00190003j -0.00124872-0.00324046j -0.00421672-0.000962524j 0.000950766-0.00405327j 0.00188204-0.00282305j 0.00526652-0.00348586j 0.00115885-0.000833373j 0.000468917+0.000326094j 0.00421567-0.0011627j -0.000643535+0.00111625j 0.00356149-0.000526667j -0.000261287-0.000127383j -0.000989872+0.000374013j -0.000650419-0.00107388j 0.00149283+0.00347881j -0.00105015+0.000136799j -0.00360324-2.45481e-05j -0.00447795-0.000886558j -0.000278947-0.00134682j -0.00285549-0.00063236j -0.00373831+0.00242696j -0.00202518+0.00452556j -0.000135905-0.000867469j 0.0066224-0.00246514j -0.00083401-0.000140212j 0.000547091-0.00093097j -0.00338148+0.000993279j 0.00058988-0.00265815j -0.00301408+0.000608892j 0.00420288-0.000476282j 0.00162707-0.000846487j 0.00278685-0.00647629j 7.38923e-05+0.000392091j -0.000830772+0.00185409j 0.00629547-4.092e-05j -0.00167002-0.00785014j 0.00414132+8.01372e-05j -0.00229471+0.00129768j -0.00539832-0.00330913j 0.0047519-0.00495699j -0.00550708-0.000266165j 0.00498194+0.00268756j 0.00910804-0.010915j 0.00129826-0.00490897j 0.0112354+0.00647069j -0.00730221+0.00152025j -0.0087279+0.0134287j -0.00346845+0.0112911j -0.00621497-0.00428992j 0.00494788+0.00165381j 0.000960147-0.00201961j -0.00193395+0.00362087j -0.00640496-0.005273j 0.00216577-0.00313771j -0.00386932-0.00483151j 0.00550458-0.00133374j -0.00804911-0.00393437j 0.00510155+0.0014013j 0.0052688+0.00191012j 0.00298743+0.00468504j -3.54684e-05-0.0067141j -0.00233195-0.0115532j 0.000527944-0.00976765j 0.000700637-0.00793217j 0.00679577+0.00606621j -0.0125059-0.00155352j -0.0102712+0.00517018j 0.00391491-0.0138161j -0.000808714+0.00437339j -0.0158269+0.00870407j -0.00357481+0.00608928j -0.00204325-0.000793637j -0.0071737-0.0147169j 0.00601396+0.0104821j -0.00451622+0.00525114j -0.00151543+0.00413023j -0.00532301+0.00708272j -0.00808093+0.00664632j -0.00677914-0.00346402j -0.00372875+0.00769659j -0.00128011+0.000238003j -0.00546028-0.000344911j 0.000695738+0.0025768j 0.00184103+0.00216288j 0.00160725-0.00714198j 0.00153385-0.000881057j 0.000261459-0.00103278j 0.00159863-0.00156143j 0.00691794-0.00403538j 0.00695435-0.00131278j -0.00647311-0.000724988j -0.00303187-0.00192677j 0.00369592-0.00286708j 
-0.00283146-0.000157422j -0.000302842+0.0017348j 0.00402816-0.0065848j 0.00257551-0.0109754j -0.000462554-0.00553731j 0.00781388+0.0014084j -0.00300421-0.00343268j -0.0014986+0.000666327j -0.00281548-0.00281333j 0.00146829-0.00295737j 0.0074533+0.00282939j 0.00222318+0.0128319j -0.00106158+0.00392919j -0.00113211-0.00689321j -0.00271127+0.00417925j -0.0145463-0.00189211j 0.00585546+0.0052518j -0.00113976-0.00282344j -0.0122813+0.00113405j -0.00384314-0.00795906j -0.00220959-0.00442261j 0.00117136+0.000423421j 0.000921059-0.000923185j -0.00110157-0.000415901j 0.00330766+0.00395566j -0.000636039-0.00115675j 0.00657224-2.37748e-05j 0.00448509+0.00667425j -0.0031183+0.00149074j -0.00244979-0.00198139j -0.000961498+0.00196205j 0.00179596-0.000511858j -0.00183011+0.00172312j -0.00318307+0.00276576j -0.00164246-0.00116917j 0.00291282-0.00460448j 0.00115396+0.00116816j 0.000632444+0.00463448j 0.00437924+0.00345548j -0.000299356-0.00235245j -0.00129267-0.00512922j -0.00182459-0.00403615j 0.00187889-0.000274863j 0.000226071+0.00538889j 0.00123368+0.000141478j -0.000989659-0.0056992j -0.00295451+0.00614334j -0.00815406+0.00150122j -0.00147689+0.000790258j -0.0026893+0.000833657j 0.00349105-0.00211017j -0.000761769-0.00683392j 0.0025945+0.00986189j -0.00206406-0.00535723j 0.00132625+0.00400636j -0.00122566+0.00182647j 0.000609898-0.00117873j 0.000574614+0.0048099j 0.00595419-0.000816173j -0.00558669+0.00278332j -0.00289487-0.00102689j -0.00200567+0.00252465j -6.58804e-06+0.00226282j -0.00747832+0.00246845j 0.00178785-0.000936597j -0.00535421-0.00318914j -0.00468224-0.000934267j -0.00225663-0.00137643j -0.00386146+0.00781103j 0.00129727+0.00106058j -0.00393141+0.00281516j -0.000516044+0.00369921j -0.000276346-0.00511377j 0.0030347-0.00117978j -0.00300826-0.00973493j 0.00364307+0.00498652j 0.00332987+0.00128216j -0.00389904-0.00132159j 0.00313469-0.00115238j -0.00334974+0.00257689j 0.00218582+0.00737801j 0.000508834+0.00143012j -0.00327195+0.0030936j 0.000108292+0.00112145j -0.00394437-0.00189991j -0.00189868+0.00521132j -0.00224431+0.00135909j -0.00129531+0.000862899j 0.000582287+0.000508194j -0.00567248+0.00536029j -0.00236231+0.0046734j -0.00680828-0.000632199j 0.00577491-0.00247668j 0.00196748+0.00193058j -0.00248304+0.00390379j 
0.00102317-0.00248176j -0.00379823+0.000250547j -0.0019184+0.000230648j -0.00412571+0.0101847j 0.00197643+0.00304665j -0.00563945-0.00283496j -0.00200688+0.00761462j 0.0006562+0.0018108j 0.000781421+0.0015296j 0.00228485+0.00441213j -0.00300925-0.00243947j -0.00152521-0.00802493j 0.000275633+0.00186544j 0.00528313-0.00045795j 0.00303507-0.00365544j 0.00724112+0.00788874j -0.000211013-0.0077333j 0.00307845+0.00117755j 0.00827298+0.00173233j 0.00454756+0.00311503j 0.00275085-0.000611558j 0.000781815+0.00453909j 0.0042427+0.00145107j -0.00350644+0.00193334j -0.00420681+0.000532469j -0.00135447+0.00579786j -0.00228464-0.00276464j -0.00388105-0.00504934j 0.000843856-0.00424654j -0.00218344-0.0018099j 0.00146355+6.7065e-05j 0.000242763-0.00187937j -0.00370058+0.00183245j -0.00102699-0.00539871j -0.00271651+0.00193925j 0.00194393-0.00168644j 0.00239608+0.00165023j 0.000785428-0.00025135j 0.00355694+0.00453018j 0.00243725-0.00127685j -0.00726214-0.0044942j -0.00537815-0.00109986j 0.00469765+0.00389269j 0.0016454+0.00464865j 0.00677277+0.00747387j -0.0039867-0.0089608j 0.00456856+0.0121445j -0.00816638-0.000690166j 0.00353744+0.0068736j 0.000898236+0.00278639j -0.00187722-0.0062457j -0.00387791-0.00287704j 0.00410268+0.00431841j 0.00144707+0.00503535j 0.00228385-0.00198673j -0.000698523-0.0034149j -0.00110044-0.00525354j -0.00338229-0.00276181j -0.002853-0.000705189j 0.000793096-0.000457305j 0.00259507-0.000719189j -0.00130685-0.000533511j 0.00647867-0.00341719j -0.00394319-0.00119063j 0.00370276+0.00472071j -0.010572+0.0063641j -0.00683931+0.00158172j 0.00770571+0.00177848j 0.00221684+0.00348281j 0.0115578-0.00231633j -0.00561803+0.00225913j -0.00211105+0.000976064j 0.00390221+0.000299835j -0.000724223-0.00475394j -0.00541324-0.0127921j -0.000339193+0.00783096j 0.00161898+0.0123549j -0.0104412+0.00362552j 0.00892741-0.00563831j 0.000400898+0.012531j -0.00513988+0.00397005j -0.00453928-0.00440387j -0.000568241-0.000448722j -0.000919817-0.00533645j -0.00253324-0.000686628j -0.00325409-0.00138436j 0.00157764-0.0010664j 0.000346274-0.00182573j 0.00140533+0.000514955j 0.00174311-0.00573083j 0.00526279-0.000685353j 0.00242855+0.000825741j -9.53783e-05+0.000463425j -0.00295848-0.00142199j 0.000567737-0.00386924j 
