-0.00197215+0.0288263j 0.0213139-0.0215462j 0.0454153-0.0210128j 0.0820222+0.033296j 0.0908309+0.0238159j -0.00320213-0.00989736j 0.0176319+0.0137927j -0.137232-0.0384319j -0.0359123-0.0667461j -0.127626-0.0394292j -0.112648+0.0172202j 0.0779523+0.170238j 0.0447435-0.111857j 0.0832186+0.120904j -0.0913326+0.0259834j 0.0965533-0.120394j 0.00793348+0.0778185j 0.00677187+0.0200018j -0.120861-0.0334063j -0.00802339-0.130047j 0.00329158+0.0209418j 0.0437514-0.104113j -0.0120592+0.0634115j -0.0865944-0.0177378j -0.164782+0.0590224j 0.0857492-0.0102192j 0.0844513-0.0198366j -0.239674+0.0696394j -0.0213336+0.0108597j 0.0318185-0.020591j -0.110978+0.00643881j -0.0361336-0.0069869j 0.0931259-0.0486499j -0.0249103-0.0401271j 0.114095+0.0704399j 0.495161+0.0446717j 
0.101953-0.0135448j -0.0628694-0.00109859j 0.136872-0.00519816j 0.0557854+0.00609718j 0.0865447+0.00452646j 0.097062-0.00438647j 0.167856+0.000439822j -0.163589-0.0222187j -0.00982374+0.0577857j -0.185659-0.0124697j 0.0248041-0.0320008j -0.111945+0.0486779j -0.0180681-0.0615493j 0.041945+0.0626578j -0.0244017-0.00593026j 0.139757-0.0506462j 0.073397-0.0241103j -0.361331-0.00351184j 0.0635661-0.00930213j 0.195807-0.0249925j -0.170914+0.0078039j -0.377719-0.0257047j -0.189279+0.012915j -0.124918-0.0080338j 0.156356+0.0109461j -0.165613-0.0206042j 0.104794-0.0121732j 0.237466+0.0163852j 0.147089+0.0205009j 0.0446887-0.00566227j -0.0126884+0.0152349j 0.0603653-0.00121737j -0.0789181-0.00765457j 0.0198843+0.00638631j -0.00582745+0.00477692j -0.253251+0.0221172j 
-0.0518684+0.0302145j 0.0200119-0.0185771j -0.115643-0.00395867j -0.0211177+0.00710319j -0.00907444-0.000760284j -0.170841+0.00995226j 0.00143108-0.000195231j -0.00940654-0.00417364j 0.00618394-0.0872041j 0.0154675-0.0248985j -0.0581697-0.00414439j 0.0168036+0.0594532j 0.0483196-0.0274264j -0.0659883+0.0249769j -0.1669+0.0149283j -0.0436822-0.0466044j 0.0244421+0.0615477j 0.101083+0.00845288j -0.0441856+0.0101872j -0.10576-0.0500176j -0.0711352+0.00325968j 0.14313-0.0322551j 0.103608+0.0209135j 0.0078936-0.00788739j -0.0163402+0.0111789j 0.0675573+0.00223902j -0.0609966-0.00820319j 0.206734+0.0371825j -0.0461978+0.0343593j 0.00172856-0.0489355j 0.0778749-0.0205393j 0.0881874+0.00391518j -0.0368882+0.0166047j -0.05073-0.0369456j -0.0696125-0.0254541j -0.190258+0.0262705j 
-0.0675563+0.0148072j -0.0450408+0.00447036j -0.0921611+0.0103032j -0.192017+0.00194309j -0.026773+0.0102035j -0.28944-0.00321748j 0.0702811+0.00808527j -0.156382+0.0290081j -0.00160436-0.0503254j -0.0240607+0.00168317j -0.0372281+0.000394496j -0.00282923-0.0251964j 0.00908438+0.025571j -0.075053-0.00324027j -0.297759+0.00195082j -0.0625372+0.00844464j 0.122214+0.0224374j -0.122405+0.0106356j 0.0828538+0.0276115j -0.0760348-0.00256392j -0.346198-0.00887363j 0.150741+0.0068171j -0.0490181+0.000634619j 0.0680479+0.00062778j -0.00332117+0.0107384j -0.079446+0.0139469j 0.00657416+0.000646989j 0.0313245+0.0160804j 0.00767209-0.0316478j -0.176025+0.0223181j -0.0106797-0.00527642j 0.133685+0.0233266j 0.0364037+0.00822656j -0.0076381+0.0268947j 0.178512+0.0182314j -0.0684037+0.0112702j 
0.0398374-0.0015328j -0.0759154-0.00796513j 0.0551612+0.00419353j -0.219094-0.0065688j -0.0171923-0.0172975j -0.149363+0.0097886j 0.131311+0.00746865j -0.108791+0.0214169j 0.0199547+0.00270089j 0.00340457-0.00787172j -0.00261525-0.0168802j 0.0199282-0.0506709j -0.0247338+0.0425696j 0.0303714-0.00363178j -0.17657-0.0209862j 0.0565286+0.0261928j 0.109096-0.0222663j -0.0544072+0.00510312j 0.0403472+0.0286247j -0.0829717+0.0373673j -0.273028-0.0102924j 0.00017924+0.0417416j -0.102765-0.0228992j 0.0433116-0.00109573j -0.0341626-0.0297387j -0.0347732+0.00524174j -0.0140031+0.00635316j -0.072723-0.0578484j -0.0866314+0.00999507j 0.0305812+0.00229488j 0.0402755-0.0242846j -0.0469271-0.0213311j -0.0313047-0.0202351j -0.125247-0.0125747j 0.00297717-0.0237376j 0.164955-0.0484223j 
0.0611213+0.015681j -0.024615-0.00173964j 0.105393+0.00195327j 0.00178142-0.0125501j 0.0715461+0.00435235j 0.0106373+0.00257135j 0.0897244-0.0183512j -0.106827-0.0117532j -0.00209857+0.01664j -0.0929832+0.000602165j -0.0565742+0.0107772j 0.0179011-0.00476797j 0.0143516+0.0100781j 0.0742147-0.0223334j -0.0762374-0.00610434j 0.0747225+0.0258658j 0.0572713-0.00966586j -0.112825-0.00673948j -0.0663173-0.00647475j 0.0176358+0.00630357j -0.087721+0.00815769j -0.0548989+0.0174309j -0.145259-0.0125079j -0.0468402-0.00123996j 0.00148003+0.0165783j -0.0194457+0.0079039j 0.0706829-0.0175179j -0.218124+0.0312502j -0.0879879+0.0401936j -0.0138907-0.0161073j -0.0736021-0.0227796j -0.0869897+0.0203213j 0.130022+0.0600374j -0.0346084-0.0122678j 0.0813037-0.0542999j 0.186933+0.0258961j 
-0.00483646+0.0113617j -0.0498684+0.0191064j 0.0196583-0.0165576j -0.211866+0.00409719j -0.0540862+0.00798135j -0.0914939-0.0053841j 0.152126-0.00608429j 0.0973012-0.0428213j 0.0417805-0.017561j 0.116843+0.0225868j 0.0629493+0.052518j -0.056245+0.0317677j 0.0106575-0.040442j -0.0275317+0.0144437j -0.0644609+0.0133672j -0.0207515-0.00164978j 0.053333+0.0304138j -0.0296518+0.00457505j -0.0274686-0.0799614j -0.198088-0.0316663j -0.108286+0.00246806j -0.0360427-0.0337275j 0.100877+0.016632j -0.00201585+0.00731066j 0.180015+0.0164541j 0.0534452-0.00607418j -0.0354629-0.00452249j -0.0121169+0.0098889j 0.0280722+0.00219406j 0.0210903+0.0041315j 0.0368876-0.00977729j -0.183932-0.00128659j 0.00997225-0.0137363j 0.21879-0.0406723j -0.132062+0.0156508j -0.0617215+0.00566981j 
0.0898745+0.00492467j 0.00773988-0.00825337j 0.102183+0.0158161j -0.00225195-0.00538055j 0.00412958+0.0325624j 0.0713468-0.0114573j 0.0568179+0.000262381j 0.0569216-0.00834748j 0.0353012+0.00256749j 0.0280529+0.0119949j -0.0364877+0.00149522j 0.00316477+0.0377367j 0.00989783+0.00268352j -0.027862+0.0200139j 0.0528819+0.00160038j -0.0276156-0.0275117j 0.0258687+0.0050656j -0.00777588-0.0099061j -0.0548584-0.0117325j -0.0221809-0.00709815j 0.0429318+0.0102411j -0.0637569+0.00461786j -0.0718655-0.0131998j 0.0115979-0.00553609j 0.099566-0.0338278j 0.0260775-0.0106486j -0.084994-0.0139148j -0.00730486-0.0247805j 0.0384071-0.010973j -0.0479968+0.00982934j 0.00465382-0.0880982j -0.0329406-0.00869227j -0.0204181-0.038731j -0.0109411-0.0124568j 0.0565909-0.00766421j -0.0265758-0.0373598j 
0.00431277-0.00416815j 0.00402311+0.0262613j -0.0297614-0.0224875j -0.0348153-0.007545j -0.022557+0.00369287j -0.0356073+0.00852357j 0.00574124+0.00254479j -0.0733282+0.0219633j -0.00337589-0.0160329j -0.0113159-0.0269799j 0.0122289+0.00455422j 0.00377411-0.0304156j 0.0523429-0.0325416j -0.0200368+0.00383564j -0.0492845-0.00598226j -0.031814+1.14236e-05j 0.0226968-0.00101385j 0.00299504+0.00385963j 0.0337336+0.0404101j 0.0399356+0.0191235j -0.0819844-0.00608534j -0.0192464+0.00632028j 0.0440623-0.0160721j -0.00404361+0.00240329j -0.0632389-0.0404596j -0.0142757+0.0242907j 0.018194+0.0229381j 0.0341613-0.0237727j 0.0195383+2.65445e-05j 0.0181222-0.0264767j -0.0690512+0.0266777j -0.00975856-0.0403517j -0.0100988-0.037186j -0.0409857+0.00120153j 0.037048+0.000169032j 0.0560791-0.0283768j 
0.00419713-0.0187117j -0.0439315-0.0172162j -0.00903314-0.0168359j -0.123563-0.00910192j 0.00373064+0.00982336j -0.0472093+0.00537451j 0.0809366-0.00753933j -0.0330271+0.00501953j 0.00899509+0.00321396j 0.00480782+0.0364627j 0.0493838-0.0180128j -0.0744793+0.0148241j -0.069233-0.010397j -0.0483676-0.0185174j -0.0420441+0.0142281j 0.00721341-0.0303279j 0.0386078+0.00763549j -0.0375939-0.0278157j 0.0241791-0.00759277j -0.0311721+0.024415j -0.127807-0.00781374j -0.0759392-0.0207799j 0.0989587+0.0140454j -0.0650215-0.0109407j -0.0547593-0.0068841j -0.0273522+0.0228311j 0.0302566+0.00764129j -0.0408367-0.00186365j 0.0769154-0.0226022j 0.129629-0.0307554j -0.0183173+0.0112179j -0.019729-0.0155254j -0.00846131-0.01961j 0.0372811-0.00881114j -0.0534269+0.0232043j 0.0947901-0.00729194j 
-0.0194691+0.00136768j 0.0259755+0.00420934j -0.0447296-0.00777401j -0.0342831+0.00606207j 0.0332191-0.0335392j -0.0312571+0.00404454j -0.0228148-0.00356411j 0.0143007+0.00511447j -0.00161052+0.00223232j 0.0469049+0.00169999j -0.0597438-0.00205956j 0.0608533-0.00403779j 0.0227014+0.054181j -0.0119521+0.0339217j -0.00866197-0.00962431j -0.00597086-0.019219j -0.000470023-0.00151498j -0.00219114-0.00299933j 0.0214154+0.0088187j -0.00530104+0.00163119j -0.0170613-0.00165122j 0.0366888-0.00734706j 0.0145234+0.0160059j 0.0337383-0.00275784j 0.0123009+0.013279j -0.0087019-0.0242042j 0.0215816-0.0101215j -0.00790729-0.00214161j -0.0283911+0.0132177j 0.00460708-0.00986554j -0.000241045+0.0325916j -0.0402684-0.00472842j 0.0168252+0.0135743j 0.0247535-0.00108282j -0.0338899+0.00453248j 0.0109238+0.00944767j 
0.0347801+0.00557241j 0.00269624-0.0177582j 0.0817729-0.0125073j -0.0398934-0.00605798j 0.00629459+0.00105455j -0.00524676+0.0150633j 0.0269182+0.0191455j 0.0127901-0.00513657j 0.0263936-0.0145368j -0.00377801-0.00347604j -0.0317864-0.0147502j 0.0102669+0.00880481j 0.0100196+0.0234247j 0.0015607-0.0287889j 0.00947319-0.0137723j -0.00634278+0.0158917j 0.023004-0.00567671j 0.0421385+0.0175874j -0.00377935-0.0174058j -0.00655227+0.00163519j -0.00765478+0.00778419j -0.0354099-0.000154966j -0.0315207-0.0128117j -0.00473554+0.0130471j -0.0125735+0.0536215j 0.0383549+0.0302806j -0.00452593+0.0336612j 0.0257588-0.0436186j 0.0296172+0.00823125j -0.0744467+0.0300269j 0.0689177+0.0380934j -0.0358124+0.0249121j -0.0242533-0.00818212j 0.0652712-0.0101592j 0.0153425+0.0154514j -0.0560387-0.00584366j 
-0.0640195+0.00582826j -0.00383323-0.00703902j -0.0963235-0.0161141j 0.0136135-0.00994982j 0.0347384+0.0596537j -0.0618081+0.000206444j -0.0765865-0.0263681j -0.0429804+0.0278065j -0.0278067-0.0147469j -0.00779494-0.0414033j 0.0106026-0.020625j 0.0178135-0.00704768j -0.0193347+0.00787005j 0.00864385+0.000395813j -0.0213187-0.0225415j 0.0090199+0.0120091j -0.0105059-0.00254696j 0.0206236+0.020831j 0.0661954+0.0278016j 0.0278369+0.0035432j -0.0177851-0.00764725j 0.0890656-0.0216991j 0.0107074+0.0185434j 0.0246477+0.0134938j 0.0503675+0.00925332j -0.0254596-0.0320328j 0.0553702-0.0445086j 0.047384-0.0192371j -0.0228783+0.0185423j -0.00948396+0.0112937j -0.0343049+0.0523305j -0.0103598-0.00415909j -0.00505991+0.018122j 0.0202406+0.0244815j -0.0295331-0.00918252j -0.0621051+0.00870196j 
-0.0211321+0.0042647j 0.0137203+0.0175544j -0.0562789+0.00382092j -0.0247745+0.0344638j 0.00738513-0.0331359j -0.0477564-0.0237918j -0.0155535-0.00244912j -0.0370572+0.00955982j -0.0133065-0.0153164j -0.00736489+0.0087866j -0.00699532-0.0701496j -0.023658-0.00079734j -0.0244086-0.0358015j 0.00395641+0.0118439j 0.00983981-0.00511651j -0.00120352+0.00630651j -0.00224585+0.0198863j 0.0234789+0.00091313j 0.022137+0.013563j -0.0109141+0.0239513j -0.0257739-0.00876846j 0.0496566-0.00801423j 0.0233562+0.00740749j 0.00582785+0.0116129j 0.0519485-0.0143095j 0.00832255-0.00951332j 0.0115617-0.0271575j 0.0315223-0.00572051j -0.0142372+0.00576934j -0.0112434+0.0113849j -0.040355+0.00215004j -0.00584647-0.0208317j -0.0159864-0.000814795j 0.00973893+0.0190929j -0.0161293-0.00353491j -0.0354609-0.00444364j 
0.0709216+0.00535574j 0.0177158+0.013569j 0.0765319-0.00456672j 0.0312567+0.00898727j -0.0163847+0.0244467j 0.0435314-0.0119006j 0.0366424+0.00755193j 0.00938813+0.0179216j 0.0155834+0.0251945j 0.00616657+0.0344935j -0.00421004-0.0163481j -0.0058867-0.0452836j -0.00849294+0.0085514j 0.00845857+0.00202434j 0.0165729-0.00397893j -0.00912231+0.0190574j 0.000587682-0.0188337j 0.0130455-0.0303872j -0.0282744-0.00715218j 0.0676747+0.0226163j 0.00732331-0.00420192j -0.0218655-0.0243277j -0.0212591+0.0385501j -0.0409557+0.0546521j -0.0222557+0.0104143j 0.0181142+0.0330883j -0.0731809-0.0111171j -0.0556627-0.005054j 0.0160187-0.0123441j 0.0128467-0.0210086j 0.0721372+0.0209606j -0.0304649+0.0150599j 0.0167603+0.00708724j 0.0288325-0.0107004j -0.00530309+0.00254687j 0.0265018+0.0100545j 
-0.0184627+0.00989875j 0.0109904-0.00624996j -0.0146908+0.00287751j -0.0618169-0.0212854j -0.0441359-0.00184446j -0.0532134+0.00729216j 0.0326212-0.0178939j -0.0254697+0.0159687j -0.00344045-0.0242204j 0.00427783+0.0238281j -0.046388-0.0187702j 0.0182021+0.00891947j 0.00371884+0.00470154j 0.0065121-0.00498062j 0.0130249-0.00627112j 0.0150408-0.0176022j 0.0262564+0.01886j 0.0164131+0.00264421j -0.00852369-0.0112186j -0.058766-0.0205757j -0.0279997+0.01721j 0.0431424-0.0224362j -0.0221548+0.0261682j 0.060621-0.0556881j -0.0600513+0.0151172j -0.0235103-0.0616557j -0.0136888-0.018236j -0.0735226+0.0144763j 0.0173165-0.0093958j 0.0562174-0.00895538j 0.0424675+0.00538598j 0.017718+0.0221851j 0.0314898+0.0117378j -0.00543811-0.0133239j -0.00565028+0.0138719j 0.0826942+0.0202129j 
0.0090291-0.00819252j 0.015192-0.0126316j 0.00121754+0.0254053j -0.0364358-0.0068318j 0.0137414+0.010901j 0.0359817+0.00529614j -0.00475251+0.0304913j 0.0198147-0.0232157j -0.0034247-0.00317188j -0.0457645+0.0288058j 0.0277463-0.0301229j 0.00627215-0.080382j 0.0233492-0.0250914j -0.00451361-0.0120342j 0.0118046+0.0145238j -0.00125276+0.00316009j -0.0120824+0.00786127j -0.000266706+0.000912156j -0.0246386+0.00203324j 0.00105076-0.0158584j 0.01725+0.025356j -0.0103034+0.0287142j 0.0165335-0.00250146j 0.048023-0.00390634j -0.0300007-0.00658335j 0.00279+0.00162126j -0.000901402+0.0440668j -0.00589714+0.0136104j -0.0231671-0.000493272j -0.0199997-0.000389149j 0.0219307-0.00771296j 0.0140193+0.0166484j 0.0139047+0.00142278j -0.0129035-0.0129223j 0.00574142+0.00422208j 0.0115597+0.0081689j 
0.0143586+0.00588687j -0.0174095-0.0228749j 0.0208322-0.017442j 0.00653105-0.0122254j 0.0216459-0.0332261j -0.00663334-0.039951j 0.0293432-0.00630641j -0.0381128-0.00417092j 0.0558726-0.00362047j -0.00901136-0.0376947j 0.00711857+0.00542821j 0.0309674-0.0143524j 0.0355637-0.0356209j 0.00634663+0.00549812j -0.0253432+0.021047j 0.00827775-0.0175358j 0.00600176-0.0413241j 0.0324653+0.00505275j -0.0028926-0.0239267j 0.00265558-0.00292231j 0.00938192-0.0138043j 0.0194232-0.0601856j -0.0814434+0.0343947j -0.0125627-0.00883642j -0.00173585+0.00178501j -0.0340275-0.00389286j -0.0862216-0.0410949j -0.0617307-0.00715736j -0.00349477-0.0208385j -0.0231119-0.0264908j 0.0402277+0.0330913j -0.0335517+0.00624108j 0.0194896+0.00808171j 0.0200615-0.0116153j 0.0276886+0.00858535j 0.0353223+0.00195656j 
0.0126595+0.0273764j 0.0100912+0.00376364j 0.0365117+0.00855748j 0.0135267-0.0339477j 0.0275755-0.00928614j 0.0284659+0.0133504j 0.022612+0.00661533j 0.063165-0.00705406j 0.0213712-0.0200696j 0.0169481+0.0313046j -0.0259821+0.0206178j -0.0238718+0.0262071j 0.0215106-0.0219285j 0.00278936+0.00584642j 0.0137917+0.0220707j -0.00440964+0.0152798j -0.0152773+0.0050574j -0.00101751-0.0208957j -0.089729+0.0376115j 0.00785557+0.0372279j 0.0403524+0.00254155j 0.00740998+0.0538251j -0.0776907+0.0255617j -0.0270853-0.0549936j 0.0411676-0.0124343j -0.0719428+0.00490331j -0.0241787+0.00281385j 0.0393656+0.0061428j -0.0246532-0.0329489j -0.0665937-0.0245032j -0.0165986-0.0208203j 0.0011414-0.0072975j -0.0122036-0.00140073j -0.0164761-0.0127697j 0.0554312-0.00954283j -0.0479893-0.0275332j 
