-0.0030381-0j -0.000490271-0j -0.000400305-0j -5.7779e-05-0j -5.00381e-05-0j -5.89704e-06-0j -2.69162e-07-0j -0.00279334-0j -0.000441666-0j -0.000349168-0j -0.000232779-0j -5.0398e-05-0j -5.81946e-05-0j -2.05749e-05-0j -4.84955e-06-0j -5.14373e-06-0j -4.28644e-07-0j -1.59746e-08-0j -0.00182294-0j -0.00184183-0j -0.0002842-0j -0.000287145-0j -0.00022014-0j -0.000222422-0j -3.17745e-05-0j -0.00020096-0j -3.21038e-05-0j -0.000203042-0j -3.5525e-05-0j -2.36833e-05-0j -3.58932e-05-0j -2.96042e-06-0j -2.05104e-05-0j -2.39288e-05-0j -2.9911e-06-0j -2.07229e-05-0j -4.18666e-06-0j -2.09333e-06-0j -4.23005e-06-0j -2.46702e-07-0j -3.02146e-07-0j -2.11502e-06-0j -2.49258e-07-0j -3.05278e-07-0j -1.95035e-08-0j -1.97056e-08-0j -6.14301e-10-0j -6.20667e-10-0j 
-0.00148797-0j -9.42504e-05-0j -7.71998e-05-0j 0.000518119-0j 0.00184894-0j -0.0154932-0j 2.49158e-05-0j 5.63467e-06-0j 0.0206153-0j -6.73379e-05-0j 4.69556e-07-0j 0.000451932-0j 0.00106957-0j -1.19868e-05-0j 0.000133268-0j -0.00886571-0j -0.00226817-0j 2.22275e-06-0j 3.67719e-06-0j 3.7153e-06-0j -5.4635e-05-0j -5.52012e-05-0j 0.010308-0j 0.0104148-0j -0.069181-0j 4.05372e-07-0j -0.0698979-0j 4.09573e-07-0j 0.000652923-0j -4.55292e-06-0j 0.000659689-0j 8.13537e-05-0j -7.95233e-06-0j -4.6001e-06-0j 8.21968e-05-0j -8.03474e-06-0j -0.00358929-0j 0.000116226-0j -0.00362648-0j 1.36543e-05-0j -0.00159595-0j 0.000117431-0j 1.37958e-05-0j -0.00161248-0j -0.000172605-0j -0.000174394-0j 1.19832e-07-0j 1.21074e-07-0j 
-3.87593e-05-0j 0.00120985-0j -0.0704861-0j 0.000106415-0j 0.000122702-0j 7.19266e-06-0j -3.4339e-09-0j -3.56368e-05-0j -5.63467e-06-0j -0.0823776-0j 0.000860412-0j 0.000124368-0j -0.010247-0j 7.58111e-05-0j 8.93169e-06-0j 1.26133e-05-0j 5.2282e-07-0j -2.038e-10-0j -2.32566e-05-0j -2.34976e-05-0j -3.62576e-06-0j -3.66333e-06-0j 0.000268507-0j 0.000271289-0j -4.05372e-07-0j -0.0715914-0j -4.09573e-07-0j -0.0723333-0j -0.00838125-0j 8.754e-05-0j -0.00846811-0j 7.30545e-06-0j -0.00726076-0j 8.84472e-05-0j 7.38115e-06-0j -0.007336-0j -0.000737193-0j 7.71316e-06-0j -0.000744832-0j 4.54364e-07-0j 7.40915e-07-0j 7.7931e-06-0j 4.59073e-07-0j 7.48593e-07-0j 2.37885e-08-0j 2.4035e-08-0j -7.83711e-12-0j -7.91833e-12-0j 
8.76795e-05-0j 1.11658e-05-0j -4.75816e-08-0j -0.000188439-0j 1.1396e-06-0j 0.00181996-0j -0.0197896-0j -3.32026e-07-0j -0.00244228-0j -4.15033e-08-0j -2.76689e-08-0j -0.000164367-0j 1.32537e-06-0j -2.4456e-09-0j 0.00149668-0j -1.67757e-05-0j -0.00603564-0j -0.00357359-0j -2.1668e-07-0j -2.18926e-07-0j 6.47258e-06-0j 6.53965e-06-0j 6.35325e-06-0j 6.41909e-06-0j 0.0251611-0j -2.38868e-08-0j 0.0254218-0j -2.41343e-08-0j 8.09072e-07-0j 5.39382e-07-0j 8.17457e-07-0j 0.000913653-0j -2.43793e-09-0j 5.44971e-07-0j 0.000923122-0j -2.4632e-09-0j -1.36543e-05-0j 4.7675e-08-0j -1.37958e-05-0j -0.00347375-0j 9.32494e-05-0j 4.81691e-08-0j -0.00350975-0j 9.42157e-05-0j -0.00143395-0j -0.00144881-0j -0.000322905-0j -0.000326251-0j 
-1.49185e-05-0j -2.40746e-06-0j 0.00085525-0j 0.000123445-0j -2.4571e-07-0j -2.89572e-08-0j -1.32171e-09-0j -1.37166e-05-0j -2.16879e-06-0j -1.71458e-06-0j -0.143924-0j -2.47478e-07-0j 0.000124333-0j -1.01032e-07-0j 1.03611e-05-0j -2.52581e-08-0j -2.10484e-09-0j -7.84428e-11-0j -8.95146e-06-0j -9.04423e-06-0j -1.39555e-06-0j -1.41002e-06-0j -1.08099e-06-0j -1.09219e-06-0j -1.56028e-07-0j 0.00042935-0j -1.57645e-07-0j 0.0004338-0j -1.74444e-07-0j -0.0146431-0j -1.76252e-07-0j -1.4537e-08-0j 4.38204e-05-0j -0.0147949-0j -1.46877e-08-0j 4.42745e-05-0j 8.9448e-06-0j -1.02792e-08-0j 9.03749e-06-0j 5.27077e-07-0j -1.48368e-09-0j -1.03858e-08-0j 5.32539e-07-0j -1.49905e-09-0j -9.57711e-11-0j -9.67635e-11-0j -3.01651e-12-0j -3.04777e-12-0j 
5.59443e-06-0j 0.0166422-0j -0.000106415-0j -0.0682804-0j -8.78126e-06-0j 0.000147934-0j 2.27449e-05-0j 5.14373e-06-0j -7.75087e-05-0j -0.000124368-0j -0.00012419-0j -0.0797997-0j 0.00147434-0j 3.78871e-08-0j -0.0175628-0j 4.21063e-05-0j 2.16573e-05-0j 2.02909e-06-0j 3.3568e-06-0j 3.39159e-06-0j -4.98747e-05-0j -5.03916e-05-0j 4.05372e-07-0j 4.09573e-07-0j 0.000260104-0j 0.0103333-0j 0.0002628-0j 0.0104404-0j 0.0012059-0j 0.00120417-0j 0.00121839-0j -0.014365-0j -5.45237e-06-0j 0.00121665-0j -0.0145139-0j -5.50887e-06-0j -0.0049476-0j -3.67362e-07-0j -0.00499887-0j -0.00179944-0j 7.57969e-06-0j -3.71169e-07-0j -0.00181808-0j 7.65823e-06-0j 1.6481e-06-0j 1.66518e-06-0j 1.09391e-07-0j 1.10525e-07-0j 
4.84492e-06-0j 0.00713068-0j -0.000122702-0j -8.78126e-06-0j -0.0687772-0j 0.000259302-0j -1.02912e-07-0j 4.4546e-06-0j -3.32101e-05-0j 0.0207021-0j 3.71217e-07-0j 0.00148156-0j 0.000841076-0j 0.00181829-0j -1.10942e-06-0j -0.01429-0j 2.51746e-05-0j -7.33442e-09-0j 2.90707e-06-0j 2.9372e-06-0j -2.13698e-05-0j -2.15912e-05-0j -6.74778e-05-0j -6.8177e-05-0j -4.8291e-06-0j -6.19888e-05-0j -4.87914e-06-0j -6.26312e-05-0j -0.0993129-0j -1.78081e-06-0j -0.100342-0j 0.000130999-0j 0.000597897-0j -1.79927e-06-0j 0.000132356-0j 0.000604093-0j 0.000122301-0j -0.00872276-0j 0.000123569-0j -7.53809e-08-0j -0.00126351-0j -0.00881315-0j -7.6162e-08-0j -0.00127661-0j 1.43331e-06-0j 1.44816e-06-0j -3.29215e-10-0j -3.32626e-10-0j 
4.56783e-06-0j -3.47565e-05-0j 0.0166713-0j 0.00239867-0j 0.00068183-0j 0.0001216-0j -9.70264e-08-0j 4.19984e-06-0j -3.13108e-05-0j -5.01907e-05-0j 0.0145877-0j -7.22145e-06-0j -0.114275-0j -8.93442e-06-0j 0.000303046-0j 0.000141666-0j 1.18057e-05-0j -6.91496e-09-0j 2.74081e-06-0j 2.76922e-06-0j -2.01476e-05-0j -2.03564e-05-0j -3.16438e-05-0j -3.19718e-05-0j -4.55292e-06-0j -8.754e-05-0j -4.6001e-06-0j -8.84472e-05-0j 0.000240777-0j -0.0699805-0j 0.000243272-0j -6.38515e-07-0j 0.0017173-0j -0.0707057-0j -6.45132e-07-0j 0.0017351-0j -0.0166169-0j 4.28605e-05-0j -0.0167891-0j 2.05908e-05-0j 1.2526e-05-0j 4.33047e-05-0j 2.08042e-05-0j 1.26558e-05-0j 6.72154e-07-0j 6.7912e-07-0j -3.10387e-10-0j -3.13603e-10-0j 
-5.70979e-07-0j -0.00255672-0j 7.19266e-06-0j -0.000147934-0j -0.000259302-0j -0.0665982-0j 0.000331844-0j -5.2498e-07-0j 1.19075e-05-0j -0.00121354-0j -4.37483e-08-0j 0.0249592-0j -0.00015-0j 1.1168e-06-0j 0.000572861-0j 0.00253135-0j -0.0199975-0j 3.95966e-05-0j -3.42602e-07-0j -3.46152e-07-0j 7.66218e-06-0j 7.74158e-06-0j 3.95548e-06-0j 3.99647e-06-0j -8.13537e-05-0j 7.30545e-06-0j -8.21968e-05-0j 7.38115e-06-0j 0.0177118-0j 6.38515e-07-0j 0.0178953-0j -0.0676425-0j 7.40915e-07-0j 6.45132e-07-0j -0.0683435-0j 7.48593e-07-0j 0.00102482-0j -1.63e-05-0j 0.00103544-0j 0.000120384-0j -0.00686027-0j -1.64689e-05-0j 0.000121632-0j -0.00693136-0j -0.00229886-0j -0.00232268-0j 2.67306e-06-0j 2.70076e-06-0j 
2.28392e-06-0j 3.68565e-07-0j 0.0125472-0j -6.27055e-06-0j 0.00208458-0j -1.28036e-06-0j 2.02345e-10-0j 2.09992e-06-0j 3.32026e-07-0j -7.58111e-05-0j -5.07003e-05-0j 3.78871e-08-0j 0.00182406-0j -0.0810847-0j -5.26305e-07-0j 0.000214287-0j -9.30669e-08-0j 1.20091e-11-0j 1.37041e-06-0j 1.38461e-06-0j 2.1365e-07-0j 2.15864e-07-0j -4.77967e-05-0j -4.8292e-05-0j 2.38868e-08-0j -2.18095e-05-0j 2.41343e-08-0j -2.20355e-05-0j -7.71316e-06-0j -5.15835e-06-0j -7.7931e-06-0j 2.22552e-09-0j -0.123353-0j -5.2118e-06-0j 2.24858e-09-0j -0.124631-0j 0.000131227-0j -0.00824971-0j 0.000132587-0j -2.67737e-08-0j 1.25874e-05-0j -0.0083352-0j -2.70511e-08-0j 1.27178e-05-0j -4.23458e-09-0j -4.27846e-09-0j 4.61806e-13-0j 4.66592e-13-0j 
-3.80653e-07-0j 8.81197e-06-0j 1.45314e-05-0j 0.0285737-0j 8.99368e-07-0j 0.000464398-0j 0.000221229-0j -3.49986e-07-0j 7.93837e-06-0j -4.37483e-08-0j -0.00121564-0j -8.60242e-05-0j -0.000303046-0j -2.57789e-09-0j -0.110649-0j -8.77981e-06-0j 0.000139445-0j 2.63977e-05-0j -2.28401e-07-0j -2.30768e-07-0j 5.10812e-06-0j 5.16106e-06-0j -2.75821e-08-0j -2.78679e-08-0j -5.42358e-05-0j 7.295e-06-0j -5.47979e-05-0j 7.3706e-06-0j 6.38515e-07-0j 0.0177425-0j 6.45132e-07-0j 0.000233136-0j 7.44543e-07-0j 0.0179264-0j 0.000235552-0j 7.52259e-07-0j 0.00207045-0j 3.76249e-08-0j 0.0020919-0j -0.0232524-0j 2.37943e-05-0j 3.80148e-08-0j -0.0234934-0j 2.40409e-05-0j 1.60302e-05-0j 1.61964e-05-0j 1.78204e-06-0j 1.80051e-06-0j 
2.60615e-08-0j 0.000195039-0j 3.4339e-09-0j 2.27449e-05-0j -1.02912e-07-0j -0.000331844-0j -0.0644233-0j 2.39619e-08-0j -9.08364e-07-0j -5.79363e-07-0j 1.99683e-09-0j -0.0038375-0j -1.19687e-07-0j 1.76496e-10-0j -0.000272898-0j 2.02485e-06-0j 0.00227441-0j -0.0242304-0j 1.56376e-08-0j 1.57996e-08-0j -5.84507e-07-0j -5.90564e-07-0j 1.88842e-09-0j 1.90798e-09-0j 1.25082e-05-0j -3.33446e-07-0j 1.26378e-05-0j -3.36902e-07-0j 1.41325e-05-0j -4.87089e-08-0j 1.4279e-05-0j 0.0322234-0j 1.75943e-10-0j -4.92137e-08-0j 0.0325573-0j 1.77766e-10-0j 1.6481e-06-0j -4.3053e-09-0j 1.66518e-06-0j 0.00130901-0j -1.70026e-05-0j -4.34992e-09-0j 0.00132258-0j -1.71788e-05-0j -0.00466811-0j -0.00471648-0j -0.00331948-0j -0.00335388-0j 
-5.70979e-07-0j 8.78126e-06-0j -0.00208758-0j 0.00696884-0j 0.0163828-0j 0.00290208-0j -2.3214e-06-0j -5.2498e-07-0j 7.9107e-06-0j 1.26133e-05-0j 1.26751e-05-0j -4.21063e-05-0j 0.0289226-0j -0.000214287-0j 0.00179249-0j -0.078556-0j 0.000424859-0j -2.07093e-07-0j -3.42602e-07-0j -3.46152e-07-0j 5.09032e-06-0j 5.14307e-06-0j 7.95233e-06-0j 8.03474e-06-0j -2.65468e-05-0j 5.45237e-06-0j -2.68219e-05-0j 5.50887e-06-0j -0.000122301-0j -0.0001229-0j -0.000123569-0j -7.57969e-06-0j 0.0101723-0j -0.000124174-0j -7.65823e-06-0j 0.0102777-0j -0.0970588-0j 0.00207778-0j -0.0980646-0j 0.000183654-0j -0.0141411-0j 0.00209931-0j 0.000185557-0j -0.0142877-0j 3.23313e-05-0j 3.26664e-05-0j -1.11647e-08-0j -1.12804e-08-0j 
-2.01872e-07-0j 1.53603e-06-0j 1.02518e-05-0j 3.65886e-07-0j 0.0174358-0j -2.16647e-05-0j 4.288e-09-0j -1.85608e-07-0j 1.38375e-06-0j 8.94215e-06-0j -1.54674e-08-0j 3.19146e-07-0j -7.0272e-05-0j 0.0291239-0j 4.62259e-08-0j 0.00362269-0j -2.10334e-06-0j 3.05601e-10-0j -1.21128e-07-0j -1.22383e-07-0j 8.90407e-07-0j 8.99635e-07-0j 5.63777e-06-0j 5.6962e-06-0j 2.01212e-07-0j -1.33531e-08-0j 2.03298e-07-0j -1.34915e-08-0j -4.28976e-05-0j 7.42006e-08-0j -4.33422e-05-0j 2.82186e-08-0j -0.000151574-0j 7.49695e-08-0j 2.85111e-08-0j -0.000153145-0j -1.02183e-05-0j -0.139714-0j -1.03242e-05-0j 3.14087e-09-0j 0.000320316-0j -0.141162-0j 3.17342e-09-0j 0.000323635-0j -1.19753e-07-0j -1.20994e-07-0j 1.37173e-11-0j 1.38594e-11-0j 
4.75816e-08-0j -1.47122e-06-0j 8.65299e-05-0j -0.00358441-0j 2.88615e-05-0j 0.0229262-0j 0.0026075-0j 4.37483e-08-0j -1.32537e-06-0j -5.2282e-07-0j -1.05626e-06-0j 2.16573e-05-0j -0.00241026-0j -9.30669e-08-0j 0.0284693-0j -0.000424859-0j -0.0760315-0j 0.000470861-0j 2.85502e-08-0j 2.8846e-08-0j -8.52837e-07-0j -8.61675e-07-0j -3.29623e-07-0j -3.33039e-07-0j 1.36543e-05-0j -4.54364e-07-0j 1.37958e-05-0j -4.59073e-07-0j 1.01919e-05-0j 2.05908e-05-0j 1.02976e-05-0j -0.000120384-0j 8.91343e-06-0j 2.08042e-05-0j -0.000121632-0j 9.00579e-06-0j 0.0248312-0j 1.81426e-06-0j 0.0250885-0j -0.0660762-0j 0.00236163-0j 1.83306e-06-0j -0.0667609-0j 0.0023861-0j -0.0180636-0j -0.0182508-0j 4.25464e-05-0j 4.29873e-05-0j 
3.36453e-08-0j -7.78876e-07-0j -1.28036e-06-0j 8.7171e-06-0j -0.00440527-0j 0.0118551-0j -1.95541e-05-0j 3.09347e-08-0j -7.01659e-07-0j -1.1168e-06-0j 2.57789e-09-0j 7.60354e-06-0j 2.67015e-05-0j -0.00119449-0j -3.37561e-05-0j 0.0430051-0j 0.00355975-0j -2.33325e-06-0j 2.0188e-08-0j 2.03972e-08-0j -4.51498e-07-0j -4.56177e-07-0j -7.04112e-07-0j -7.11409e-07-0j 4.79381e-06-0j 2.22552e-09-0j 4.84349e-06-0j 2.24858e-09-0j 1.63e-05-0j -3.76249e-08-0j 1.64689e-05-0j -2.06065e-05-0j 1.25874e-05-0j -3.80148e-08-0j -2.082e-05-0j 1.27178e-05-0j -0.000182427-0j 0.0174338-0j -0.000184318-0j -7.09372e-06-0j -0.116549-0j 0.0176145-0j -7.16723e-06-0j -0.117757-0j 0.000409219-0j 0.000413459-0j -1.57512e-07-0j -1.59144e-07-0j 
-1.77326e-09-0j 8.23869e-08-0j 3.37302e-08-0j 0.000335826-0j 8.40857e-09-0j 4.53956e-05-0j 0.0277791-0j -1.6304e-09-0j 7.42192e-08-0j -2.038e-10-0j 3.93643e-08-0j -2.02909e-06-0j -1.41176e-06-0j -1.20091e-11-0j -0.00538938-0j -2.07093e-07-0j -0.000470861-0j -0.0735118-0j -1.064e-09-0j -1.07503e-09-0j 4.7758e-08-0j 4.82529e-08-0j -1.2849e-10-0j -1.29822e-10-0j -1.27928e-06-0j 1.69331e-08-0j -1.29254e-06-0j 1.71086e-08-0j 5.96975e-09-0j -1.15307e-06-0j 6.03161e-09-0j 2.27894e-05-0j 1.72823e-09-0j -1.16501e-06-0j 2.30255e-05-0j 1.74614e-09-0j 2.43339e-05-0j 3.51771e-10-0j 2.45861e-05-0j 0.0391224-0j 2.32593e-06-0j 3.55416e-10-0j 0.0395278-0j 2.35004e-06-0j 0.00201287-0j 0.00203373-0j -0.0211434-0j -0.0213625-0j 
