-0.19572-0j -0.209744-0j -0.158552-0j -0.160195-0j 0.271873-0j -0.132654-0j -0.17303-0j -0.100934-0j 0.300908-0j -0.105959-0j -0.0947724-0j -0.135417-0j 0.237889-0j -0.0558568-0j 0.368876-0j 0.240354-0j -0.107057-0j 0.493431-0j -0.0883174-0j 0.0981241-0j 0.287835-0j -0.0282178-0j 0.171717-0j -0.0312249-0j 0.100168-0j -0.036429-0j 0.0261314-0j -0.0201598-0j -0.00628592-0j -0.00105851-0j -0.0267833-0j -0.0285246-0j -0.0213935-0j -0.0216152-0j 0.0363077-0j -0.0231076-0j -0.0174677-0j -0.0134794-0j -0.012102-0j 0.0396232-0j -0.0124795-0j -0.0193332-0j -0.0178316-0j -0.00735516-0j 0.030692-0j -0.0108076-0j 0.0310101-0j 0.0498127-0j -0.0109196-0j -0.0138123-0j -0.0113946-0j 0.0346703-0j -0.00364062-0j 0.0537606-0j -0.00630442-0j 0.0202244-0j 0.0355879-0j -0.0110327-0j 0.0508505-0j -0.00643576-0j 0.0143008-0j 0.0209748-0j -0.00167893-0j -0.00142432-0j 0.014449-0j -0.00321788-0j 0.00652874-0j -0.00265462-0j 0.00143945-0j -0.00119948-0j -0.000323897-0j -4.87842e-05-0j 
0.00251966-0j 5.34436e-05-0j 0.00204116-0j -0.00198067-0j 0.00180013-0j -0.00500069-0j 4.40887e-05-0j -0.00252165-0j 3.94341e-05-0j -0.000185115-0j 0.00122008-0j -0.00167432-0j -0.0046123-0j -0.00210033-0j 0.000606262-0j 0.00447562-0j -7.98776e-05-0j 2.57184e-05-0j 0.00646097-0j 0.000649702-0j -0.00147096-0j 0.00414968-0j -0.00109197-0j 7.95623e-06-0j -0.0019372-0j -0.000910112-0j -0.000844562-0j -0.00101245-0j -0.000474329-0j -0.000106589-0j -0.032777-0j -0.000690916-0j -0.026181-0j 0.0254052-0j -0.0228527-0j -0.000559706-0j 0.0625958-0j 0.0320124-0j -0.0148102-0j -0.000493614-0j -0.0152723-0j 0.00137124-0j 0.0209582-0j 0.0262908-0j -0.019318-0j 0.0906846-0j 0.0187456-0j 0.0365142-0j -0.0879974-0j -0.000334558-0j 0.027061-0j 0.00126474-0j 0.0173804-0j -0.000166243-0j 0.022592-0j -0.0723366-0j -0.00890881-0j -0.037971-0j 0.0122256-0j -0.0673622-0j -0.000178155-0j 0.0153363-0j -0.0293679-0j -0.00174306-0j 0.0176488-0j 0.00378211-0j 0.0160305-0j 0.00948885-0j 0.00531056-0j 0.00716523-0j 0.00271191-0j 0.000525496-0j 
-0.0142533-0j -0.0152746-0j 0.0111037-0j -0.0116662-0j 0.0197992-0j -0.00966052-0j 0.0121176-0j -0.00735054-0j 0.0219137-0j -0.00771646-0j 0.020176-0j 0.00948355-0j -0.0166598-0j -0.00406778-0j 0.0268634-0j 0.0175038-0j 0.0227912-0j -0.034556-0j 0.00618504-0j -0.0349073-0j 0.0209616-0j -0.00205497-0j -0.0365567-0j 0.0155688-0j -0.007015-0j 0.0129595-0j 0.00190302-0j 0.0042918-0j 0.000440216-0j -7.70861e-05-0j -0.00195049-0j -0.00207731-0j 0.00149823-0j -0.00157413-0j 0.00264411-0j 0.00161827-0j -0.00127209-0j -0.00098164-0j -0.000881327-0j 0.00288557-0j 0.00265675-0j -0.00140794-0j 0.00124878-0j -0.00053564-0j -0.00214943-0j 0.000756877-0j 0.00225831-0j 0.00362762-0j -0.000795219-0j 0.00294049-0j 0.000797984-0j -0.00242803-0j -0.000265128-0j 0.00391512-0j 0.00224277-0j 0.00147284-0j -0.00757628-0j 0.00234875-0j -0.00356116-0j 0.00045071-0j -0.00508745-0j 0.00152749-0j -0.000122268-0j 0.000913645-0j -0.00307603-0j 0.00160445-0j -0.000457221-0j 0.00094437-0j 0.000104828-0j 0.000255357-0j 2.26832e-05-0j -3.55271e-06-0j 
0.0144011-0j -0.014822-0j 0.0116662-0j -0.0117778-0j -0.0200043-0j 0.00976063-0j -0.0122275-0j 0.00656221-0j 0.0212643-0j -0.0074878-0j 0.00697333-0j -0.00995617-0j -0.0175038-0j 0.0192674-0j -0.0271418-0j 0.0176713-0j -0.0075654-0j 0.0348693-0j 0.00574193-0j -0.00721995-0j -0.0187135-0j 0.0216223-0j 0.012625-0j -0.00220657-0j -0.0345524-0j 0.00236843-0j -0.034728-0j 0.0154477-0j 0.0127798-0j 0.00409163-0j 0.00197071-0j -0.00201575-0j 0.00157413-0j -0.00158919-0j -0.00267151-0j -0.00163295-0j 0.00128527-0j 0.000876361-0j 0.00089046-0j 0.00280006-0j 0.00091824-0j -0.00136622-0j -0.00131102-0j 0.00253711-0j -0.00225831-0j 0.000795219-0j 0.00227993-0j -0.00366521-0j -0.00080283-0j -0.000976075-0j 0.000740815-0j 0.00245005-0j 0.00278967-0j 0.00379911-0j 0.000463878-0j -0.00131488-0j -0.00261855-0j -0.00081115-0j 0.00373864-0j 0.00221997-0j 0.00101059-0j -0.00723511-0j 0.00223125-0j 0.000104801-0j -0.000939397-0j -0.000236585-0j -0.00500274-0j 0.000915693-0j -0.00292652-0j 0.00159409-0j 0.000932364-0j 0.000243616-0j 
0.00205729-0j 0.0022047-0j -0.00160268-0j 0.00168387-0j -0.00285776-0j 0.00139438-0j -0.00174903-0j 0.00106096-0j -0.00316297-0j 0.00111377-0j -0.00291216-0j -0.00136883-0j 0.00240464-0j 0.000587133-0j -0.0038774-0j -0.00252646-0j -0.00328963-0j 0.00498772-0j -0.000892734-0j 0.00503843-0j -0.00302554-0j 0.000296609-0j 0.00527651-0j -0.00224717-0j 0.00101253-0j -0.00187054-0j -0.000274677-0j -0.000619468-0j -6.35397e-05-0j 1.11264e-05-0j -0.0267623-0j -0.0285023-0j 0.0205568-0j -0.0215982-0j 0.0362793-0j 0.0222039-0j -0.017454-0j -0.0134689-0j -0.0120925-0j 0.0395922-0j 0.0364527-0j -0.019318-0j 0.0171343-0j -0.0073494-0j -0.0294918-0j 0.0103849-0j 0.0309858-0j 0.0497737-0j -0.010911-0j 0.0403458-0j 0.010949-0j -0.0333145-0j -0.00363777-0j 0.0537185-0j 0.0307726-0j 0.0202085-0j -0.103952-0j 0.0322267-0j -0.0488619-0j 0.00618409-0j -0.0698038-0j 0.0209583-0j -0.00167761-0j 0.0125359-0j -0.0422055-0j 0.0220143-0j -0.00627343-0j 0.0129575-0j 0.00143833-0j 0.0035037-0j 0.000311231-0j -4.87459e-05-0j 
0.0124717-0j 0.000264532-0j -0.0295347-0j -0.00980383-0j 0.0089102-0j 0.00845295-0j -0.000637945-0j -0.0124815-0j 0.000195189-0j 0.000133637-0j 0.00513039-0j 0.0242267-0j -0.0227912-0j -0.0103961-0j 0.00300084-0j -0.0075654-0j 0.000114705-0j -0.000372134-0j 0.0319263-0j 0.0396145-0j -0.0072809-0j -0.00701444-0j -0.0045917-0j 0.00123986-0j 0.0280305-0j -0.0554926-0j -0.00418037-0j -0.0042573-0j 0.00686334-0j -0.000527587-0j 0.00170668-0j 3.59757e-05-0j -0.00398513-0j -0.00132284-0j 0.00118993-0j -8.51954e-05-0j 0.00111307-0j -0.00166687-0j 0.000771161-0j 2.57023e-05-0j 0.000675563-0j 2.43833e-05-0j 0.00319015-0j -0.00136895-0j -0.00294049-0j -0.00201321-0j -0.000976075-0j 0.000649294-0j -0.000668273-0j 1.47991e-05-0j 0.00411908-0j -6.57434e-05-0j -0.000904991-0j 8.6562e-06-0j 0.0049487-0j -0.00128628-0j 0.000394078-0j -0.000573602-0j 0.00186092-0j 0.00350161-0j 0.000114272-0j -0.000798554-0j -0.000522218-0j 0.00529539-0j -0.00078069-0j -0.00620014-0j 0.00244008-0j -0.00608631-0j -0.000276518-0j -0.000316952-0j 0.000412792-0j -2.73623e-05-0j 
-0.00207861-0j 0.00213937-0j -0.00168387-0j 0.00169999-0j 0.00288738-0j -0.00140883-0j 0.00176489-0j -0.000947173-0j -0.00306924-0j 0.00108077-0j -0.00100651-0j 0.00143705-0j 0.00252646-0j -0.00278102-0j 0.00391758-0j -0.00255064-0j 0.00109197-0j -0.00503295-0j -0.000828777-0j 0.00104211-0j 0.00270106-0j -0.00312091-0j -0.00182226-0j 0.000318492-0j 0.00498721-0j -0.000341853-0j 0.00501256-0j -0.00222969-0j -0.0018446-0j -0.000590576-0j 0.0270396-0j -0.0276577-0j 0.0215982-0j -0.021805-0j -0.0366553-0j -0.0224053-0j 0.0176349-0j 0.0120244-0j 0.0122178-0j 0.038419-0j 0.012599-0j -0.0187456-0j -0.0179882-0j 0.0348112-0j -0.0309858-0j 0.010911-0j 0.0312824-0j -0.0502895-0j -0.0110155-0j -0.0133925-0j 0.0101646-0j 0.0336166-0j 0.0382765-0j 0.0521267-0j 0.00636476-0j -0.0180412-0j -0.0359286-0j -0.0111296-0j 0.051297-0j 0.0304598-0j 0.0138661-0j -0.0992713-0j 0.0306146-0j 0.00143795-0j -0.0128893-0j -0.00324614-0j -0.0686415-0j 0.012564-0j -0.0401542-0j 0.0218721-0j 0.0127928-0j 0.0033426-0j 
-0.00180013-0j -3.81819e-05-0j 0.00426296-0j 0.00141506-0j -0.00128608-0j -0.00122008-0j 9.20794e-05-0j 0.00180156-0j -2.81731e-05-0j -1.92888e-05-0j -0.000740507-0j -0.00349683-0j 0.00328963-0j 0.00150055-0j -0.000433135-0j 0.00109197-0j -1.65562e-05-0j 5.3713e-05-0j -0.00460817-0j -0.00571786-0j 0.00105091-0j 0.00101245-0j 0.000662754-0j -0.000178959-0j -0.00404585-0j 0.00800967-0j 0.000603384-0j 0.000614488-0j -0.000990638-0j 7.61507e-05-0j 0.023417-0j 0.000493614-0j -0.0546791-0j -0.0181504-0j 0.0163267-0j -0.00116895-0j 0.0152723-0j -0.0228707-0j 0.0105809-0j 0.000352655-0j 0.00926925-0j 0.000334558-0j 0.0437713-0j -0.018783-0j -0.0403458-0j -0.0276229-0j -0.0133925-0j 0.00890881-0j -0.00916922-0j 0.000203055-0j 0.056517-0j -0.00090205-0j -0.0124172-0j 0.00011877-0j 0.0679-0j -0.0176488-0j 0.00540706-0j -0.00787026-0j 0.0255333-0j 0.0480448-0j 0.00156789-0j -0.0109568-0j -0.00716523-0j 0.0726569-0j -0.0107117-0j -0.0850708-0j 0.0334798-0j -0.0835089-0j -0.00379405-0j -0.00434882-0j 0.00566382-0j -0.000375432-0j 
-0.0102886-0j 0.0213969-0j 0.00801506-0j -0.00744084-0j -0.00735054-0j -0.00697333-0j -0.0169746-0j -0.0202787-0j 0.015788-0j 0.0108093-0j 0.0145638-0j 0.00604873-0j 0.00618504-0j -0.00359281-0j -0.00247557-0j -0.00574193-0j -0.0319263-0j -0.00990184-0j 0.0170633-0j 0.0129595-0j -0.0118292-0j 0.018634-0j 0.011992-0j -0.0218091-0j 0.00318667-0j 0.0357527-0j 0.0305111-0j -0.0389172-0j -0.0306003-0j 0.016281-0j -0.00140794-0j 0.00290992-0j 0.00108148-0j -0.001004-0j -0.00098164-0j -0.0022669-0j -0.00091824-0j -0.00270815-0j -0.000636175-0j 0.00207895-0j 0.00191775-0j 0.00197227-0j 0.00079649-0j -0.000473097-0j 0.000797984-0j 0.000546343-0j -0.000740815-0j -0.00053564-0j -0.000507201-0j -0.00411908-0j 0.00220148-0j -0.00174931-0j 0.00240413-0j 0.000700165-0j 0.00161892-0j -0.00208982-0j 0.00111869-0j 0.00149806-0j 0.000464619-0j 0.000398083-0j -0.00366533-0j -0.000275973-0j 0.00381149-0j 0.000659504-0j 0.00436459-0j 0.00102334-0j -0.00213236-0j 0.000834102-0j 0.00374775-0j -0.00796031-0j -0.00290715-0j 0.00114652-0j 
0.00148503-0j -0.00308838-0j -0.00115687-0j 0.00107399-0j 0.00106096-0j 0.00100651-0j 0.00245007-0j 0.00292698-0j -0.00227881-0j -0.00156019-0j -0.00210211-0j -0.000873059-0j -0.000892734-0j 0.000518577-0j 0.000357318-0j 0.000828777-0j 0.00460817-0j 0.00142921-0j -0.00246288-0j -0.00187054-0j 0.0017074-0j -0.00268959-0j -0.0017309-0j 0.00314787-0j -0.000459956-0j -0.00516046-0j -0.0044039-0j 0.00561722-0j 0.00441677-0j -0.00234996-0j -0.019318-0j 0.0399264-0j 0.0148387-0j -0.0137756-0j -0.0134689-0j -0.0311036-0j -0.012599-0j -0.0371579-0j -0.00872882-0j 0.0285248-0j 0.026313-0j 0.027061-0j 0.0109285-0j -0.00649125-0j 0.010949-0j 0.00749624-0j -0.0101646-0j -0.0073494-0j -0.00695919-0j -0.056517-0j 0.030206-0j -0.024002-0j 0.0329866-0j 0.0096068-0j 0.0222128-0j -0.0286739-0j 0.0153492-0j 0.0205546-0j 0.00637494-0j 0.00546201-0j -0.0502912-0j -0.00378656-0j 0.0522966-0j 0.00904891-0j 0.0598856-0j 0.014041-0j -0.0292577-0j 0.0114445-0j 0.051422-0j -0.109222-0j -0.0398883-0j 0.0157312-0j 
0.00328726-0j -0.0137426-0j 0.00266298-0j 0.0280199-0j 0.00234853-0j 0.00222801-0j -0.011337-0j -0.021296-0j -0.0101402-0j -0.00694249-0j 0.00159177-0j 0.0236861-0j 0.00205497-0j -0.0174112-0j 0.000790957-0j 0.0216223-0j -0.00701444-0j -0.00661327-0j -0.018634-0j 0.00084763-0j -0.0124227-0j 0.0231692-0j 0.0154477-0j -0.00204588-0j -0.0160589-0j -0.00768615-0j 0.0315674-0j 0.0165529-0j -0.00111827-0j -0.0679435-0j 0.000449844-0j -0.00186895-0j 0.000359318-0j 0.00378074-0j 0.000313639-0j -0.00151402-0j 0.000293382-0j -0.00284402-0j 0.000203261-0j -0.00133524-0j 0.000209602-0j -0.00126672-0j 0.00311895-0j -0.00229269-0j 0.000265128-0j 0.000181521-0j 0.00278967-0j 0.00017114-0j 0.00190996-0j -0.000904991-0j -0.00240413-0j -0.00116834-0j 0.00298925-0j -0.000449694-0j 0.000105887-0j -0.00219466-0j 0.000122268-0j 0.00192975-0j 0.00181939-0j -0.0020061-0j -0.000481915-0j -0.0013374-0j 0.00394345-0j 2.39225e-05-0j -0.00156794-0j 0.000562844-0j 0.00275708-0j -0.000827474-0j -0.000131707-0j 0.00281734-0j -0.00539056-0j -0.00824634-0j 
-0.000474475-0j 0.00198357-0j -0.000384369-0j -0.00404432-0j -0.000338981-0j -0.000321586-0j 0.00163636-0j 0.00307382-0j 0.00146361-0j 0.00100206-0j -0.000229752-0j -0.00341879-0j -0.000296609-0j 0.00251309-0j -0.000114165-0j -0.00312091-0j 0.00101245-0j 0.000954544-0j 0.00268959-0j -0.000122345-0j 0.00179306-0j -0.00334419-0j -0.00222969-0j 0.000295297-0j 0.0023179-0j 0.0011094-0j -0.00455637-0j -0.0023892-0j 0.000161409-0j 0.00980681-0j 0.00617221-0j -0.0256435-0j 0.00493013-0j 0.0518747-0j 0.00430337-0j -0.0207736-0j 0.00402543-0j -0.0390221-0j 0.0027889-0j -0.0183206-0j 0.00287591-0j -0.0173804-0j 0.0427944-0j -0.0314574-0j 0.00363777-0j 0.00249061-0j 0.0382765-0j 0.00234817-0j 0.0262061-0j -0.0124172-0j -0.0329866-0j -0.0160305-0j 0.0410149-0j -0.00617015-0j 0.00145285-0j -0.0301125-0j 0.00167761-0j 0.0264777-0j 0.0249634-0j -0.0275252-0j -0.00661225-0j -0.0183502-0j 0.0541072-0j 0.000328235-0j -0.0215134-0j 0.00772266-0j 0.0378293-0j -0.0113536-0j -0.00180712-0j 0.0386561-0j -0.0739627-0j -0.113146-0j 
0.0115112-0j 0.012336-0j 0.00932514-0j 0.00942178-0j -0.0402956-0j 0.00780197-0j -0.0498632-0j -0.0290869-0j 0.0091023-0j 0.00623192-0j 0.005574-0j 0.00796452-0j 0.007196-0j 0.0032852-0j 0.00276974-0j 0.00727057-0j 0.0062965-0j 0.0059364-0j 0.00519435-0j 0.0029682-0j 0.0034629-0j 0.00165962-0j 0.00519435-0j 0.00183648-0j 0.00303004-0j 0.00214256-0j 0.00079046-0j 0.00118569-0j 0.000369704-0j 6.22558e-05-0j 0.00157525-0j 0.00167766-0j 0.00125825-0j 0.00127129-0j 0.00109829-0j 0.00135906-0j -0.00503378-0j 0.000792786-0j 0.000711772-0j -0.00587275-0j -0.00359631-0j 0.00113707-0j -0.00513865-0j -0.00211959-0j 0.000928416-0j 0.000635643-0j 0.000938038-0j 0.00059929-0j 0.00064223-0j 0.000812364-0j 0.000670166-0j 0.00104876-0j 0.000214121-0j 0.000403667-0j 0.000370792-0j 0.000611775-0j 0.000428154-0j 0.000648886-0j 0.000611775-0j 0.000378517-0j 0.000432591-0j 0.000252344-0j 9.87454e-05-0j 8.37708e-05-0j 0.000437073-0j 0.000189258-0j 0.000197491-0j 0.00015613-0j 4.35426e-05-0j 7.05471e-05-0j 1.90499e-05-0j 2.86922e-06-0j 
-0.00203491-0j -0.00218072-0j -0.00164847-0j -0.00166555-0j 0.00712332-0j -0.00137921-0j 0.00881465-0j 0.00514188-0j -0.00160908-0j -0.00110166-0j -0.000985353-0j -0.00140794-0j -0.00127209-0j -0.000580746-0j -0.000489626-0j -0.00128527-0j -0.00111307-0j -0.00104942-0j -0.00091824-0j -0.000524709-0j -0.00061216-0j -0.000293382-0j -0.00091824-0j -0.000324647-0j -0.00053564-0j -0.000378755-0j -0.000139735-0j -0.000209602-0j -6.5355e-05-0j -1.10054e-05-0j 0.0130963-0j 0.0139478-0j 0.0104609-0j 0.0105693-0j 0.00913099-0j 0.011299-0j -0.04185-0j 0.0065911-0j 0.00591756-0j -0.0488251-0j -0.0298991-0j 0.00945344-0j -0.0427219-0j -0.0176219-0j 0.0077187-0j 0.00528464-0j 0.00779869-0j 0.0049824-0j 0.0053394-0j 0.00675387-0j 0.00557165-0j 0.0087192-0j 0.00178017-0j 0.00335602-0j 0.0030827-0j 0.0050862-0j 0.0035596-0j 0.00539473-0j 0.0050862-0j 0.00314693-0j 0.00359649-0j 0.00209795-0j 0.000820953-0j 0.000696457-0j 0.00363376-0j 0.00157346-0j 0.00164191-0j 0.00129804-0j 0.000362006-0j 0.000586517-0j 0.000158378-0j 2.38542e-05-0j 
0.000169576-0j 0.000181727-0j 0.000137372-0j 0.000138796-0j -0.00059361-0j 0.000114934-0j -0.000734555-0j -0.00042849-0j 0.00013409-0j 9.18049e-05-0j 8.21128e-05-0j 0.000117328-0j 0.000106007-0j 4.83955e-05-0j 4.08022e-05-0j 0.000107106-0j 9.27562e-05-0j 8.74514e-05-0j 7.652e-05-0j 4.37257e-05-0j 5.10133e-05-0j 2.44485e-05-0j 7.652e-05-0j 2.70539e-05-0j 4.46367e-05-0j 3.15629e-05-0j 1.16446e-05-0j 1.74669e-05-0j 5.44625e-06-0j 9.17115e-07-0j -0.0033205-0j -0.00353638-0j -0.00265229-0j -0.00267977-0j -0.00231511-0j -0.0028648-0j 0.0106108-0j -0.00167113-0j -0.00150036-0j 0.0123793-0j 0.00758074-0j -0.00239686-0j 0.0108319-0j 0.00446792-0j -0.00195703-0j -0.00133989-0j -0.00197731-0j -0.00126326-0j -0.00135377-0j -0.0017124-0j -0.00141266-0j -0.0022107-0j -0.000451351-0j -0.000850899-0j -0.000781601-0j -0.00128958-0j -0.000902515-0j -0.0013678-0j -0.00128958-0j -0.000797884-0j -0.000911867-0j -0.000531923-0j -0.000208148-0j -0.000176582-0j -0.000921317-0j -0.000398942-0j -0.000416295-0j -0.00032911-0j -9.17845e-05-0j -0.000148708-0j -4.01557e-05-0j -6.04809e-06-0j 
-0.0127406-0j -0.000270236-0j -0.010321-0j 0.0100152-0j -0.0091023-0j 0.0337928-0j -0.000222933-0j 0.0127506-0j 0.000780316-0j -0.000136518-0j 0.0241427-0j -0.0331312-0j -0.00796452-0j -0.041561-0j -0.00306554-0j 0.00772851-0j -0.000137933-0j -0.000130044-0j 0.0111568-0j -0.0032852-0j 0.00743788-0j 0.00716567-0j 0.00552151-0j -4.02304e-05-0j 0.0097954-0j 0.00460195-0j 0.0042705-0j 0.0051194-0j 0.00239843-0j 0.000538962-0j -0.00174348-0j -3.67513e-05-0j -0.00139262-0j 0.00135136-0j -0.00121558-0j -2.9772e-05-0j -0.00113707-0j 0.00170281-0j 0.0069536-0j -2.62564e-05-0j -0.000812364-0j 9.74782e-05-0j 0.00111481-0j 0.00139846-0j 0.00402126-0j -0.000703528-0j -0.0039021-0j -0.000663293-0j 0.000682681-0j 6.96418e-05-0j -0.00563304-0j -2.29744e-05-0j -0.00361792-0j -8.84283e-06-0j -0.000410391-0j 0.00131402-0j -0.000473879-0j 0.000689756-0j 0.000650308-0j 0.00122366-0j -9.47644e-06-0j 0.000815771-0j 0.000533477-0j -9.27173e-05-0j 0.000938779-0j 0.000201179-0j 0.000852698-0j 0.000504732-0j 0.00028248-0j 0.000381134-0j 0.000144252-0j 2.79523e-05-0j 
0.00225224-0j 4.77714e-05-0j 0.00182452-0j -0.00177046-0j 0.00160908-0j -0.00597377-0j 3.94094e-05-0j -0.00225402-0j -0.000137942-0j 2.41332e-05-0j -0.00426787-0j 0.00585683-0j 0.00140794-0j 0.00734702-0j 0.000541917-0j -0.00136622-0j 2.43833e-05-0j 2.29888e-05-0j -0.00197227-0j 0.000580746-0j -0.00131484-0j -0.00126672-0j -0.000976075-0j 7.1118e-06-0j -0.0017316-0j -0.000813518-0j -0.000754924-0j -0.000904991-0j -0.000423987-0j -9.5276e-05-0j -0.014495-0j -0.000305544-0j -0.0115781-0j 0.011235-0j -0.0101062-0j -0.000247519-0j -0.00945344-0j 0.0141569-0j 0.0578111-0j -0.000218292-0j -0.00675387-0j 0.000810418-0j 0.00926838-0j 0.0116266-0j 0.0334321-0j -0.00584902-0j -0.0324414-0j -0.00551451-0j 0.0056757-0j 0.000578991-0j -0.0468322-0j -0.000191005-0j -0.0300788-0j -7.35179e-05-0j -0.00341193-0j 0.0109245-0j -0.00393975-0j 0.00573452-0j 0.00540655-0j 0.0101733-0j -7.87856e-05-0j 0.00678219-0j 0.00443524-0j -0.000770836-0j 0.00780486-0j 0.00167257-0j 0.00708919-0j 0.00419626-0j 0.00234849-0j 0.00316869-0j 0.00119929-0j 0.000232391-0j 
-0.0100723-0j -0.010794-0j 0.00784656-0j -0.00824406-0j -0.007196-0j 0.0199902-0j 0.00856308-0j -0.00519435-0j -0.00796452-0j 0.0373878-0j 0.0142576-0j 0.00670167-0j -0.0177305-0j -0.00287455-0j -0.00242352-0j 0.0186287-0j -0.0471612-0j 0.00499513-0j -0.0127985-0j 0.012687-0j -0.00303004-0j 0.00425228-0j 0.0132865-0j 0.0110019-0j 0.0025496-0j 0.00915799-0j -0.000691652-0j 0.00303285-0j 0.000311084-0j -5.44738e-05-0j -0.00137834-0j -0.00146796-0j 0.00105874-0j -0.00111238-0j -0.000961002-0j 0.00114357-0j 0.00263229-0j -0.000693688-0j -0.000622801-0j -0.00104876-0j 0.00187743-0j 0.00291341-0j 0.000882468-0j -0.000378517-0j 0.000781208-0j -0.00366722-0j -0.000820783-0j 0.0015355-0j 0.003853-0j 0.00207793-0j 0.000563906-0j -0.00258407-0j -0.000187356-0j -0.000353209-0j -0.0046409-0j 0.00156749-0j 0.00109517-0j -0.0048602-0j 0.000514773-0j -0.000932639-0j 0.00184903-0j -0.000220801-0j 0.000253005-0j 0.000645639-0j 0.00111798-0j 0.0011338-0j 0.000166177-0j 0.000667351-0j -3.80998e-05-0j 0.000180451-0j 1.60294e-05-0j -2.51057e-06-0j 
-0.000187686-0j -3.98095e-06-0j -0.000152043-0j 0.000147538-0j -0.00013409-0j 0.000497814-0j -3.28411e-06-0j 0.000187835-0j 1.14951e-05-0j -2.0111e-06-0j 0.000355656-0j -0.000488069-0j -0.000117328-0j -0.000612252-0j -4.51597e-05-0j 0.000113852-0j -2.03194e-06-0j -1.91573e-06-0j 0.000164355-0j -4.83955e-05-0j 0.00010957-0j 0.00010556-0j 8.13396e-05-0j -5.9265e-07-0j 0.0001443-0j 6.77932e-05-0j 6.29104e-05-0j 7.54159e-05-0j 3.53322e-05-0j 7.93967e-06-0j 0.00367512-0j 7.74689e-05-0j 0.00293554-0j -0.00284856-0j 0.00256235-0j 6.2757e-05-0j 0.00239686-0j -0.00358938-0j -0.0146576-0j 5.53465e-05-0j 0.0017124-0j -0.000205476-0j -0.00234994-0j -0.00294785-0j -0.0084765-0j 0.00148298-0j 0.00822532-0j 0.00139817-0j -0.00143904-0j -0.0001468-0j 0.011874-0j 4.84282e-05-0j 0.0076263-0j 1.864e-05-0j 0.000865073-0j -0.00276985-0j 0.000998901-0j -0.00145395-0j -0.0013708-0j -0.00257937-0j 1.99756e-05-0j -0.00171958-0j -0.00112453-0j 0.000195441-0j -0.00197887-0j -0.000424069-0j -0.00179742-0j -0.00106394-0j -0.000595446-0j -0.000803401-0j -0.000304072-0j -5.89212e-05-0j 
-0.00671487-0j -0.007196-0j -0.00543967-0j -0.00549604-0j 0.0234524-0j -0.00455115-0j -0.0059364-0j -0.0034629-0j 0.0259571-0j -0.00363529-0j -0.0032515-0j -0.00464597-0j 0.0205209-0j -0.00191636-0j -0.0571115-0j 0.0207335-0j -0.00367296-0j -0.0227193-0j -0.00303004-0j 0.00846444-0j -0.0132529-0j -0.000968111-0j 0.0148128-0j -0.00107128-0j 0.00864078-0j -0.00124983-0j 0.00225416-0j -0.000691652-0j -0.00021566-0j -3.63159e-05-0j -0.000918894-0j -0.000978637-0j -0.000733978-0j -0.000741584-0j 0.003132-0j -0.000792786-0j -0.00059929-0j -0.000462459-0j -0.0004152-0j 0.003418-0j -0.000428154-0j -0.000663293-0j -0.000611775-0j -0.000252344-0j 0.00264757-0j -0.000370792-0j 0.00267501-0j -0.00229355-0j -0.000374634-0j -0.000473879-0j -0.00039093-0j 0.00299075-0j -0.000124904-0j -0.00832353-0j -0.000216295-0j 0.0017446-0j -0.00163859-0j -0.000378517-0j -0.00234133-0j -0.000220801-0j 0.00123362-0j -0.00096575-0j -5.76015e-05-0j -4.88663e-05-0j 0.00124641-0j -0.000110401-0j 0.000563186-0j -9.10759e-05-0j 0.000124171-0j -4.11525e-05-0j -1.11124e-05-0j -1.67371e-06-0j 
0.0101767-0j -0.0104742-0j 0.00824406-0j -0.00832296-0j 0.00727057-0j -0.0201974-0j -0.00864074-0j 0.00463727-0j -0.00772851-0j 0.0362799-0j 0.00492779-0j -0.00703565-0j -0.0186287-0j 0.0136156-0j 0.00244864-0j 0.018807-0j 0.0156548-0j -0.00504043-0j -0.0118816-0j 0.00262409-0j 0.00270507-0j -0.0447424-0j -0.00458856-0j -0.0015593-0j 0.0125581-0j 0.00167368-0j 0.0126219-0j 0.0109163-0j 0.00903099-0j 0.0028914-0j 0.00139262-0j -0.00142446-0j 0.00111238-0j -0.00112302-0j 0.000970961-0j -0.00115394-0j -0.00265957-0j 0.000619292-0j 0.000629255-0j -0.00101768-0j 0.000648886-0j 0.00282708-0j -0.000926446-0j 0.00179288-0j 0.000820783-0j -0.003853-0j -0.000828639-0j -0.00155141-0j 0.00388987-0j -0.000689756-0j 0.000523506-0j 0.0026075-0j 0.00197136-0j -0.000342742-0j -0.000959888-0j -0.00139938-0j 0.000378517-0j 0.00167849-0j -0.000540427-0j -0.00459372-0j -0.0003673-0j 0.00104585-0j -0.00461707-0j 7.40591e-05-0j 0.000341424-0j -0.000167186-0j 0.00181825-0j 0.000647086-0j 0.00106364-0j 0.00112648-0j 0.000658867-0j 0.000172154-0j 
