-0.07246-0j -0.0732109-0j -0.0085127-0j -0.0105339-0j -0.00614479-0j 0.496821-0j -0.000750064-0j 0.579624-0j 0.354946-0j -0.000875074-0j 0.507171-0j -0.000535871-0j -0.00076569-0j 0.209197-0j -0.000315831-0j -0.00378315-0j 0.0639381-0j -5.57311e-05-0j -0.00427352-0j -0.00348932-0j 0.0722258-0j -0.00352548-0j -6.29549e-05-0j -0.00305315-0j 0.0589721-0j 0.0595832-0j -5.14025e-05-0j -0.00251872-0j 0.0516006-0j -5.19352e-05-0j -0.000804744-0j -4.49772e-05-0j 0.0425683-0j -3.71043e-05-0j 0.0136008-0j -1.1855e-05-0j -0.00298146-0j -0.00049691-0j 0.0584884-0j -0.00329987-0j 0.00593839-0j -3.66009e-06-0j -0.00260878-0j -0.000549979-0j -0.00173919-0j -0.00263581-0j 0.0647348-0j 0.0065726-0j -0.00304358-0j -0.000434797-0j -4.05098e-06-0j -0.000289864-0j -0.00107607-0j 0.0511774-0j -0.00177542-0j -0.000439302-0j 0.0341183-0j -0.00188312-0j 0.0517077-0j 0.0051961-0j 0.00346406-0j -0.000507263-0j 0.00524994-0j -3.20258e-06-0j -0.00109848-0j 0.059707-0j -0.000179344-0j -2.13505e-06-0j -0.000295903-0j -3.23577e-06-0j -0.000286567-0j 0.0211096-0j 0.00606211-0j -0.000313853-0j 0.0348291-0j 0.00214328-0j 0.0369418-0j -3.73634e-06-0j -0.000183081-0j 0.00353623-0j 0.00375074-0j 0.0215494-0j -1.321e-06-0j -2.17953e-06-0j -4.77611e-05-0j 0.00218793-0j 0.00562169-0j -2.31174e-06-0j 0.000570776-0j -1.34852e-06-0j -3.51794e-07-0j 
-0.000736263-0j 0.00076569-0j -0.00848491-0j 0.0102006-0j -0.00612473-0j -0.0051961-0j 0.0348731-0j -0.00606211-0j 0.0109255-0j 0.0406853-0j 0.00515335-0j -0.0733251-0j -0.0345862-0j -0.00218793-0j 0.0146841-0j 3.95668e-05-0j 0.0637293-0j 0.00794063-0j 4.46955e-05-0j -3.54548e-05-0j 0.0719899-0j 3.68719e-05-0j 0.00896989-0j -9.39779e-05-0j -0.0571062-0j 0.0593887-0j -0.00711539-0j -2.55926e-05-0j -0.151368-0j 0.00739978-0j 8.41657e-06-0j -0.0188603-0j -0.0412215-0j -0.00513616-0j 0.0135564-0j 0.00168911-0j 3.11822e-05-0j -0.000495288-0j -0.000611713-0j 3.45124e-05-0j -0.276097-0j 0.00105032-0j -2.65077e-05-0j -0.000548183-0j 1.81896e-05-0j 2.75672e-05-0j -0.000677042-0j -0.305583-0j -3.09257e-05-0j 0.00042104-0j 0.00116249-0j -0.000288918-0j -5.53101e-05-0j 0.000520011-0j 1.85686e-05-0j -0.000437868-0j -0.000356832-0j -5.79635e-05-0j -0.000540795-0j 0.234707-0j -0.161056-0j 0.000491213-0j -0.244088-0j -0.000892869-0j -1.11617e-05-0j 0.00060668-0j 0.000878528-0j 0.000612688-0j -0.000294937-0j 0.000928556-0j 2.99711e-06-0j 0.00108504-0j 0.273825-0j 0.000920673-0j -0.000364266-0j 0.489733-0j 0.00113709-0j -0.00104168-0j 0.000177288-0j -0.164412-0j 0.513226-0j 0.000218962-0j -0.00186303-0j 0.000625452-0j -4.76052e-05-0j 0.0988287-0j -5.87955e-05-0j -0.00195241-0j -0.0265374-0j -0.000375963-0j 0.000100953-0j 
-0.00076569-0j 0.00077316-0j 0.00857284-0j -0.0102407-0j 0.00555605-0j 0.00524994-0j -0.0352345-0j -0.00591269-0j 0.00375074-0j 0.0396825-0j -0.0053561-0j -0.0251727-0j 0.0359469-0j 0.0104482-0j -0.0701219-0j -3.99768e-05-0j -0.0643898-0j -0.00802292-0j 4.35938e-05-0j -3.68719e-05-0j 0.0702156-0j 3.72316e-05-0j 0.0087488-0j 3.11449e-05-0j -0.0593887-0j 0.0599681-0j -0.00739978-0j -2.38967e-05-0j 0.0501644-0j 0.00747198-0j -8.91727e-05-0j 0.00625045-0j -0.0384898-0j -0.0047958-0j -0.143628-0j -0.017896-0j -3.15053e-05-0j 0.000500421-0j 0.000618052-0j 3.36617e-05-0j 0.278958-0j -0.00106121-0j -2.75672e-05-0j -0.000534672-0j -1.83781e-05-0j 2.78361e-05-0j -0.000660354-0j -0.298051-0j 3.10472e-05-0j 0.000437868-0j 0.00113384-0j 0.000291912-0j -1.13709e-05-0j 0.000540795-0j -1.68445e-05-0j -0.00044214-0j 0.00036053-0j 1.98871e-05-0j -0.000546072-0j 0.244088-0j 0.162725-0j -0.000493144-0j -0.24647-0j -0.000928556-0j -5.48628e-05-0j -0.000609065-0j 0.000180611-0j -0.000619037-0j 0.000267552-0j 0.000937615-0j -5.50442e-05-0j 0.000223067-0j -0.274902-0j -0.00031588-0j 0.000330444-0j 0.100681-0j -0.000390132-0j 0.00104578-0j 0.000871424-0j 0.149146-0j -0.176086-0j 0.00107626-0j -0.00038301-0j -0.000567379-0j 0.000874304-0j 0.485772-0j 0.00107982-0j 0.000669865-0j 0.487378-0j -0.00184797-0j -0.00185408-0j 
4.33847e-05-0j -4.51187e-05-0j 0.0010052-0j -0.00120846-0j 0.000725593-0j -3.20258e-06-0j -0.0126833-0j -3.73634e-06-0j 6.73383e-06-0j -0.0147972-0j 3.17623e-06-0j 0.0266683-0j 0.012579-0j -1.34852e-06-0j -0.00534059-0j -2.3315e-06-0j 7.89705e-05-0j 0.0891782-0j -2.63371e-06-0j 2.08919e-06-0j 8.92066e-05-0j -2.1727e-06-0j 0.100738-0j 5.5377e-06-0j -7.07634e-05-0j 7.35917e-05-0j -0.0799103-0j 1.50806e-06-0j -0.000187568-0j 0.0831042-0j -4.95951e-07-0j -0.211813-0j -5.10797e-05-0j -0.0576823-0j 1.67984e-05-0j 0.0189698-0j -1.83743e-06-0j 5.86765e-05-0j -1.87532e-07-0j -2.03366e-06-0j -0.00105032-0j -0.267209-0j 1.56198e-06-0j 6.4943e-05-0j -1.07183e-06-0j -1.62441e-06-0j -2.0756e-07-0j -0.00116249-0j 1.82231e-06-0j -4.98803e-05-0j -0.295747-0j 3.4228e-05-0j 3.25918e-06-0j 1.59419e-07-0j -1.09416e-06-0j 5.1874e-05-0j -1.09394e-07-0j 3.41553e-06-0j -1.65791e-07-0j 0.000892869-0j -0.000612688-0j -5.81937e-05-0j -0.000928556-0j 0.227152-0j 6.57707e-07-0j 1.85989e-07-0j -0.000104079-0j -0.155872-0j 3.4941e-05-0j -0.236231-0j -1.76607e-07-0j 3.32639e-07-0j 0.00104168-0j -0.000109072-0j -1.11673e-07-0j 0.00186303-0j 3.48596e-07-0j 0.265011-0j -2.10032e-05-0j -0.000625452-0j 0.00195241-0j 6.71269e-08-0j 0.473968-0j -0.159119-0j 5.63976e-06-0j 0.000375963-0j -1.80248e-08-0j 0.496706-0j -0.000100953-0j 0.0956475-0j -0.0256831-0j 
4.51187e-05-0j -4.55589e-05-0j -0.00101562-0j 0.00121322-0j -0.000658222-0j 3.23577e-06-0j 0.0128147-0j -3.64425e-06-0j 2.31174e-06-0j -0.0144325-0j -3.3012e-06-0j 0.0091553-0j -0.0130739-0j 6.43967e-06-0j 0.0255033-0j 2.35566e-06-0j -7.97888e-05-0j -0.0901024-0j -2.56879e-06-0j 2.1727e-06-0j 8.70079e-05-0j -2.19389e-06-0j 0.0982546-0j -1.83523e-06-0j -7.35917e-05-0j 7.43097e-05-0j -0.0831042-0j 1.40812e-06-0j 6.21614e-05-0j 0.083915-0j 5.25455e-06-0j 0.0701965-0j -4.76948e-05-0j -0.0538598-0j -0.000177978-0j -0.200983-0j 1.85647e-06-0j -5.92846e-05-0j 1.89475e-07-0j -1.98354e-06-0j 0.00106121-0j 0.269978-0j 1.62441e-06-0j 6.33423e-05-0j 1.08294e-06-0j -1.64026e-06-0j -2.02444e-07-0j -0.00113384-0j -1.82948e-06-0j -5.1874e-05-0j -0.288457-0j -3.45827e-05-0j 6.70035e-07-0j 1.65791e-07-0j 9.92571e-07-0j 5.23801e-05-0j 1.10527e-07-0j -1.17186e-06-0j -1.67408e-07-0j 0.000928556-0j 0.000619037-0j 5.84225e-05-0j -0.000937615-0j 0.236231-0j 3.23282e-06-0j -1.8672e-07-0j -2.13969e-05-0j 0.157487-0j -3.16968e-05-0j -0.238536-0j 3.24351e-06-0j 6.83852e-08-0j -0.00104578-0j 3.74221e-05-0j 1.01304e-07-0j 0.00038301-0j -1.19602e-07-0j -0.266053-0j -0.000103237-0j 0.000567379-0j -0.000669865-0j 3.29949e-07-0j 0.0974404-0j 0.144345-0j -0.000103578-0j 0.00184797-0j 3.31039e-07-0j -0.170418-0j 0.00185408-0j 0.470136-0j 0.47169-0j 
0.0264821-0j 0.0267565-0j -0.0061184-0j 0.00384985-0j 0.00224575-0j 0.00189921-0j 0.000274127-0j -0.00435749-0j 0.00135686-0j -0.000628949-0j 0.00193877-0j 0.000195846-0j 0.000279838-0j 0.000799703-0j 0.000115427-0j 0.00138263-0j 0.000244418-0j 2.03681e-05-0j 0.00156185-0j -0.0025079-0j 0.000276099-0j -0.00253389-0j 2.30082e-05-0j 0.00111584-0j -0.000443339-0j -0.000447933-0j -3.69449e-05-0j 0.000920522-0j 0.000197255-0j -3.73278e-05-0j 0.000294111-0j 1.64379e-05-0j 0.000162727-0j 1.35606e-05-0j 5.1992e-05-0j 4.33267e-06-0j 0.00108964-0j 0.000181607-0j 0.000111211-0j 0.00120601-0j 2.27008e-05-0j 1.33766e-06-0j 0.000953435-0j 0.000201002-0j -0.00313566-0j 0.000963315-0j 0.000123088-0j 2.51252e-05-0j -0.00218753-0j 0.000158906-0j 1.48052e-06-0j -0.00052261-0j 0.000393272-0j 9.73095e-05-0j -0.00127606-0j 0.000160553-0j -0.000320032-0j 0.000688226-0j 9.8318e-05-0j 1.98632e-05-0j -6.53263e-05-0j -0.000364589-0j 2.00691e-05-0j 1.17045e-06-0j 0.000401465-0j -0.000223264-0j 6.55453e-05-0j -3.84939e-06-0j -0.000212677-0j 1.18258e-06-0j 0.000104732-0j 4.01381e-05-0j -4.55736e-05-0j 0.000114704-0j -0.000130237-0j 8.19316e-06-0j 7.02417e-05-0j -2.68545e-06-0j 6.69108e-05-0j -2.65846e-05-0j 1.4338e-05-0j 4.09743e-05-0j 4.82787e-07-0j -1.56651e-06-0j 1.74553e-05-0j 8.36385e-06-0j 1.06892e-05-0j 8.44877e-07-0j 2.18192e-06-0j 4.92845e-07-0j 1.28571e-07-0j 
0.031837-0j 0.0319622-0j -0.00384985-0j 8.01898e-05-0j 0.0054135-0j -0.00235015-0j -0.000339215-0j -4.75047e-05-0j 0.00494149-0j -6.85671e-06-0j -0.00225005-0j 0.000713242-0j -0.000324766-0j 0.00290017-0j 0.000418603-0j -0.00171092-0j -0.000302451-0j -2.52043e-05-0j -3.34855e-05-0j 0.00153311-0j -5.91946e-06-0j 0.00153914-0j -4.93289e-07-0j 7.04076e-05-0j 0.000271019-0j 0.000272084-0j 2.25849e-05-0j -0.0021558-0j 1.24464e-05-0j 2.26737e-05-0j 0.00142425-0j 1.0372e-06-0j -0.000381095-0j -3.17579e-05-0j 0.000251774-0j 2.09811e-05-0j -0.00134836-0j -0.000224727-0j -0.000137616-0j -2.58564e-05-0j -2.80908e-05-0j -1.65527e-06-0j 0.00114623-0j -4.3094e-06-0j -0.000786544-0j 0.00115074-0j -2.63896e-06-0j -5.38676e-07-0j 2.31693e-05-0j 0.000191038-0j -3.17418e-08-0j -0.000131091-0j 0.00239168-0j 0.000116986-0j 0.00156413-0j 0.000191789-0j -8.02763e-05-0j -0.00241957-0j 0.000117446-0j 2.38798e-05-0j -1.63863e-05-0j 3.86155e-06-0j 2.39737e-05-0j 1.40713e-06-0j -0.00141449-0j 2.3647e-06-0j 0.000398614-0j -9.65573e-07-0j 0.000260688-0j 1.41266e-06-0j 0.000634524-0j 0.0002441-0j 4.82693e-07-0j -0.000403261-0j 0.000159638-0j 4.98267e-05-0j -0.000246946-0j 2.8443e-08-0j -0.000235748-0j 3.25859e-05-0j -5.04077e-05-0j -0.000144365-0j 2.93607e-06-0j 1.92015e-06-0j 0.000105754-0j -2.94685e-05-0j 6.47608e-05-0j -2.9703e-06-0j 1.32192e-05-0j -1.73645e-06-0j 7.78951e-07-0j 
0.0191158-0j 0.0173409-0j 0.00224575-0j -0.0054135-0j 0.00623154-0j 0.00137092-0j 0.000197875-0j -0.00311568-0j 0.000979433-0j -0.00044971-0j 0.00125652-0j 0.000141369-0j 0.000181363-0j 0.000691108-0j 9.97528e-05-0j 0.000998038-0j 0.00017643-0j 1.47025e-05-0j -0.00219621-0j 0.000920522-0j -0.000388238-0j 0.000835052-0j -3.23532e-05-0j -0.00156905-0j 0.000162727-0j 0.000147618-0j 1.35606e-05-0j 0.00255428-0j -0.000277371-0j 1.23015e-05-0j -0.00270392-0j -2.31142e-05-0j 0.000451537-0j 3.76281e-05-0j -0.00047799-0j -3.98325e-05-0j 0.000786544-0j 0.000131091-0j 8.02763e-05-0j -0.00169584-0j 1.63863e-05-0j 9.65573e-07-0j 0.000688226-0j -0.00028264-0j 0.000458817-0j 0.000624324-0j -0.000173081-0j -3.533e-05-0j -0.00156413-0j 0.000114704-0j -2.08184e-06-0j 7.64695e-05-0j 0.000283879-0j 7.02417e-05-0j 0.00180048-0j 0.000104054-0j 4.68278e-05-0j 0.000446039-0j 6.37198e-05-0j 1.4338e-05-0j 9.55869e-06-0j -0.000260688-0j 1.30068e-05-0j 8.44877e-07-0j 0.000346948-0j -0.000159638-0j 4.73131e-05-0j 5.63251e-07-0j 0.00030008-0j 7.6643e-07-0j -0.00329991-0j 2.89732e-05-0j -3.25859e-05-0j 7.43398e-05-0j 0.000183761-0j 5.91414e-06-0j 4.55236e-05-0j -1.92015e-06-0j 5.78247e-05-0j 3.75101e-05-0j 9.29247e-06-0j 3.54102e-05-0j 3.48494e-07-0j 2.2103e-06-0j -0.000549986-0j 7.22808e-06-0j -0.000336796-0j 5.47564e-07-0j -6.87482e-05-0j 4.25919e-07-0j -4.05103e-06-0j 
-0.00427352-0j -0.00431781-0j -0.0465547-0j 0.0292934-0j 0.0170878-0j -0.000306483-0j 0.00421588-0j 0.000703186-0j -0.000218962-0j -0.0096728-0j -0.000312868-0j 0.00301197-0j 0.00430371-0j -0.000129052-0j 0.00177519-0j -0.000223122-0j 0.00185976-0j 0.000471515-0j -0.000252043-0j 0.000404711-0j 0.00210083-0j 0.000408905-0j 0.000532633-0j -0.000180068-0j -0.00337335-0j -0.00340831-0j -0.000855262-0j -0.000148549-0j 0.0015009-0j -0.000864125-0j -4.7462e-05-0j 0.000380531-0j 0.00123818-0j 0.000313922-0j 0.000395605-0j 0.0001003-0j 0.0340123-0j 0.00138184-0j -1.79466e-05-0j 0.0376448-0j 0.000349123-0j 4.13604e-05-0j 0.0297608-0j 0.00152942-0j -0.0978775-0j 0.0300692-0j -1.98632e-05-0j 0.000386408-0j -0.0682823-0j 0.00120911-0j 4.57776e-05-0j -0.00397652-0j 0.0122757-0j -1.57033e-05-0j -0.0398314-0j 0.00122164-0j 5.1645e-05-0j 0.0214825-0j -1.5866e-05-0j 0.000305483-0j -0.00100467-0j -0.00277414-0j 0.000308648-0j 3.61904e-05-0j 0.0125314-0j 3.60291e-05-0j 0.000498732-0j -0.000119023-0j -0.00161825-0j 3.65654e-05-0j 0.00326914-0j -6.47726e-06-0j -0.00070089-0j 0.000872781-0j 2.1017e-05-0j 0.000126005-0j -1.13352e-05-0j -8.30341e-05-0j 0.000509122-0j -0.000408853-0j 0.000220509-0j -6.61221e-06-0j 1.49278e-05-0j -4.84366e-05-0j 0.000132817-0j 0.00012863-0j -1.72496e-06-0j 2.61236e-05-0j 3.35564e-05-0j 1.52388e-05-0j 3.9754e-06-0j 
-0.00348932-0j -0.00352548-0j 0.00080617-0j -0.000507263-0j -0.000295903-0j 0.0239245-0j -3.61194e-05-0j -0.0548916-0j 0.0170925-0j 8.28713e-05-0j 0.0244229-0j -2.58049e-05-0j -3.68719e-05-0j 0.0100739-0j -1.52089e-05-0j 0.0262999-0j 0.00307895-0j -2.68374e-06-0j 0.0297089-0j -0.0477043-0j 0.00347804-0j -0.0481986-0j -3.0316e-06-0j 0.021225-0j -0.00558478-0j -0.00564265-0j 4.86792e-06-0j 0.0175098-0j 0.00248483-0j 4.91837e-06-0j 0.00559446-0j -2.16588e-06-0j 0.00204988-0j -1.78676e-06-0j 0.000654947-0j -5.70879e-07-0j -0.000143573-0j 0.00345444-0j 0.00281652-0j -0.000158906-0j 0.000285964-0j -1.76252e-07-0j -0.000125626-0j 0.00382337-0j 0.00041316-0j -0.000126928-0j 0.00311731-0j 0.000316504-0j 0.000288233-0j 0.00302264-0j -1.95075e-07-0j -0.00994087-0j -5.18181e-05-0j 0.00246445-0j 0.000168136-0j 0.00305396-0j -0.00810511-0j -9.06817e-05-0j 0.00248999-0j 0.000250219-0j -0.00082292-0j -0.00693505-0j 0.000252812-0j -1.54221e-07-0j -5.28977e-05-0j -0.00565437-0j 0.00124677-0j 5.07201e-07-0j -0.00404545-0j -1.55819e-07-0j -1.37997e-05-0j 0.00101653-0j -0.000574094-0j 0.00218186-0j -0.00329838-0j 0.00010321-0j 0.00177894-0j 3.53839e-07-0j 0.00127275-0j -0.000334888-0j 0.000180617-0j 0.00103771-0j -6.36127e-08-0j 2.06406e-07-0j 0.000332028-0j 0.00010536-0j 0.000270713-0j -1.11322e-07-0j 2.74858e-05-0j -6.4938e-08-0j -1.69407e-08-0j 
-0.00513767-0j -0.00515787-0j -0.0292934-0j 0.000610161-0j 0.0411911-0j 0.000379254-0j -0.00521689-0j 7.66604e-06-0j -0.000797429-0j -0.000105451-0j 0.0003631-0j 0.0109692-0j -0.00499468-0j -0.000468012-0j 0.00643782-0j 0.000276099-0j -0.00230134-0j -0.00058347-0j 5.40371e-06-0j -0.000247405-0j -4.5041e-05-0j -0.000248378-0j -1.14195e-05-0j -1.1362e-05-0j 0.00206217-0j 0.00207028-0j 0.000522832-0j 0.000347891-0j 9.47044e-05-0j 0.000524888-0j -0.000229837-0j 2.40109e-05-0j -0.00289974-0j -0.000735185-0j 0.00191574-0j 0.000485706-0j -0.0420881-0j -0.00170994-0j 2.22078e-05-0j -0.00080709-0j -0.000432018-0j -5.11809e-05-0j 0.0357787-0j -3.27901e-05-0j -0.0245514-0j 0.0359194-0j 4.2586e-07-0j -8.28446e-06-0j 0.000723213-0j 0.0014536-0j -9.81455e-07-0j -0.000997464-0j 0.0746547-0j -1.88786e-05-0j 0.0488231-0j 0.00145932-0j 1.29545e-05-0j -0.0755251-0j -1.89528e-05-0j 0.000367254-0j -0.00025201-0j 2.93824e-05-0j 0.000368698-0j 4.35084e-05-0j -0.0441522-0j -3.81603e-07-0j 0.00303304-0j -2.98555e-05-0j 0.00198356-0j 4.36795e-05-0j 0.0198062-0j -3.93915e-05-0j 7.42349e-06-0j -0.0030684-0j -2.57615e-05-0j 0.000766301-0j 3.98508e-05-0j 8.79456e-07-0j -0.0017938-0j 0.000501149-0j -0.000775235-0j 2.32969e-05-0j 9.07832e-05-0j 5.93709e-05-0j 0.000804678-0j -0.000453205-0j -1.04507e-05-0j -9.18416e-05-0j 0.000203303-0j -5.36909e-05-0j 2.40852e-05-0j 
0.00050364-0j 0.000508859-0j 0.0110894-0j -0.00697774-0j -0.00407035-0j 3.61194e-05-0j 0.0231758-0j -8.28713e-05-0j 2.58049e-05-0j -0.0531739-0j 3.68719e-05-0j 0.0165576-0j 0.0236586-0j 1.52089e-05-0j 0.00975868-0j -0.00379606-0j -0.000442999-0j 0.00527715-0j -0.00428811-0j 0.00688552-0j -0.000500421-0j 0.00695688-0j 0.00596117-0j -0.00306357-0j 0.000803538-0j 0.000811865-0j -0.009572-0j -0.00252732-0j -0.000357518-0j -0.0096712-0j -0.00080749-0j 0.00425887-0j -0.000294937-0j 0.00351339-0j -9.42338e-05-0j 0.00112254-0j 2.07229e-05-0j 0.0475182-0j 2.11502e-06-0j 2.29361e-05-0j 0.00191922-0j 0.000698019-0j 1.81326e-05-0j 0.052593-0j -5.96345e-05-0j 1.83205e-05-0j 2.3409e-06-0j 0.00212419-0j -4.16028e-05-0j 0.0415784-0j 0.000772565-0j -0.136743-0j 7.4793e-06-0j 1.85065e-06-0j -2.42683e-05-0j 0.0420093-0j -6.08642e-06-0j 1.30888e-05-0j 1.86983e-06-0j 0.00167932-0j -0.00552295-0j -0.0953963-0j 0.00169672-0j 0.000610766-0j 7.63512e-06-0j -4.24607e-06-0j 0.0171502-0j -0.00200869-0j -0.0556478-0j 0.000617096-0j 1.99181e-06-0j 7.63353e-07-0j -0.00385298-0j 0.0300129-0j -2.47687e-06-0j 0.000692683-0j 1.33587e-06-0j -0.00140132-0j 0.0175075-0j -0.00224757-0j 0.0012122-0j 7.79256e-07-0j 0.000251928-0j -0.000817439-0j 0.00456727-0j 0.000707114-0j 2.03288e-07-0j 0.000440874-0j 0.000184468-0j 0.000257177-0j 6.70909e-05-0j 
-0.00308479-0j -0.00279837-0j 0.0170878-0j -0.0411911-0j 0.0474156-0j -0.000221231-0j 0.00304318-0j 0.000502791-0j -0.000158055-0j -0.00691622-0j -0.00020277-0j 0.00217416-0j 0.00278923-0j -0.000111527-0j 0.00153413-0j -0.000161058-0j 0.00134245-0j 0.000340357-0j 0.000354412-0j -0.000148549-0j -0.00295409-0j -0.000134756-0j -0.000748965-0j 0.000253204-0j 0.00123818-0j 0.00112322-0j 0.000313922-0j -0.000412195-0j -0.00211051-0j 0.000284775-0j 0.000436343-0j -0.000535087-0j 0.00343573-0j 0.000871077-0j -0.00363701-0j -0.000922108-0j 0.0245514-0j 0.000997464-0j -1.29545e-05-0j -0.0529345-0j 0.00025201-0j 2.98555e-05-0j 0.0214825-0j -0.0021506-0j 0.0143217-0j 0.0194878-0j 2.79308e-05-0j -0.000543351-0j -0.0488231-0j 0.000872781-0j -6.43705e-05-0j 0.000581854-0j 0.00886107-0j -1.13352e-05-0j 0.0562008-0j 0.000791744-0j -7.55681e-06-0j 0.0139228-0j -1.02827e-05-0j 0.000220509-0j 0.000147006-0j -0.00198356-0j 0.000200035-0j 2.61236e-05-0j 0.0108297-0j 2.57615e-05-0j 0.000360004-0j 1.74157e-05-0j 0.0022833-0j 2.3698e-05-0j -0.103005-0j -4.67554e-06-0j -0.000501149-0j 0.000565649-0j -2.96543e-05-0j 9.09553e-05-0j -7.34635e-06-0j -5.93709e-05-0j 0.000439986-0j 0.000576879-0j 0.000142912-0j -5.7143e-06-0j 1.07754e-05-0j 6.83425e-05-0j -0.00418482-0j 0.000111163-0j 5.43502e-05-0j 1.69307e-05-0j -0.0010573-0j 1.31694e-05-0j -0.000125258-0j 
-0.00419489-0j -0.00421139-0j 0.000507263-0j -1.05659e-05-0j -0.000713291-0j -0.029605-0j 4.46955e-05-0j -0.00059842-0j 0.0622483-0j 9.03451e-07-0j -0.028344-0j -9.39779e-05-0j 4.27917e-05-0j 0.0365336-0j -5.51558e-05-0j -0.0325444-0j -0.00381-0j 3.32095e-06-0j -0.000636948-0j 0.0291622-0j -7.45679e-05-0j 0.0292769-0j 6.49965e-08-0j 0.00133926-0j 0.00341404-0j 0.00342747-0j -2.97582e-06-0j -0.0410067-0j 0.000156789-0j -2.98752e-06-0j 0.0270914-0j -1.36663e-07-0j -0.00480068-0j 4.18447e-06-0j 0.00317161-0j -2.76451e-06-0j 0.000177662-0j -0.00427466-0j -0.00348526-0j 3.40688e-06-0j -0.000353862-0j 2.18101e-07-0j -0.000151029-0j -8.19716e-05-0j 0.000103636-0j -0.000151623-0j -6.68341e-05-0j -6.78574e-06-0j -3.05282e-06-0j 0.00363385-0j 4.18234e-09-0j -0.00249355-0j -0.000315132-0j 0.00296279-0j -0.000206092-0j 0.00364813-0j -0.00203307-0j 0.000318806-0j 0.00297444-0j 0.000300815-0j -0.00020642-0j 7.34527e-05-0j 0.000301998-0j -1.85405e-07-0j 0.000186375-0j 5.98883e-05-0j 0.00758226-0j 1.27225e-07-0j 0.00495869-0j -1.86134e-07-0j -8.36058e-05-0j 0.00618206-0j 6.08052e-06-0j -0.00767066-0j 0.00404298-0j 0.000627671-0j -0.00625414-0j -3.74769e-09-0j -0.00448429-0j 0.000410488-0j -0.000634989-0j -0.00365619-0j -3.86861e-07-0j -2.53001e-07-0j 0.00201161-0j -0.000371217-0j 0.00164013-0j 3.91371e-07-0j 0.000166524-0j 2.28797e-07-0j -1.02636e-07-0j 
0.000436165-0j 0.000440685-0j 0.00475147-0j -0.00298974-0j -0.00174402-0j -0.00601239-0j -0.000430282-0j 0.0137947-0j -0.00429546-0j 0.000987226-0j -0.00613765-0j -0.000307408-0j -0.000439246-0j -0.00253165-0j -0.00018118-0j 2.27723e-05-0j 0.0364837-0j -4.81238e-05-0j 2.5724e-05-0j -4.13057e-05-0j 0.0412127-0j -4.17337e-05-0j -5.43616e-05-0j 1.83781e-05-0j -0.0661763-0j -0.0668621-0j 8.72898e-05-0j 1.51612e-05-0j 0.0294438-0j 8.81944e-05-0j 4.84407e-06-0j -3.88378e-05-0j 0.0242899-0j -3.20396e-05-0j 0.00776073-0j -1.02368e-05-0j 1.79466e-05-0j -0.000141033-0j 0.0334822-0j 1.98632e-05-0j 0.00684887-0j -4.22133e-06-0j 1.57033e-05-0j -0.000156095-0j -5.1645e-05-0j 1.5866e-05-0j 0.037058-0j 0.00758031-0j -3.60291e-05-0j -0.000123404-0j -4.67215e-06-0j 0.000405852-0j 6.47726e-06-0j 0.0292969-0j -2.1017e-05-0j -0.000124683-0j -0.096352-0j 1.13352e-05-0j 0.0296006-0j 0.00599276-0j -0.019709-0j 0.000283135-0j 0.00605487-0j -3.69366e-06-0j 6.61221e-06-0j -0.0672181-0j -5.09016e-05-0j 1.21477e-05-0j 0.000165162-0j -3.73194e-06-0j 1.72496e-06-0j 0.0120844-0j -0.0137496-0j -8.90778e-05-0j -0.0392105-0j 0.00247189-0j 0.0211477-0j 8.47463e-06-0j -5.19621e-05-0j -0.00802062-0j 0.00432581-0j 0.0123361-0j -1.52356e-06-0j 4.94354e-06-0j -1.35556e-05-0j 0.00252339-0j 0.00321818-0j -2.66623e-06-0j 0.000658288-0j -1.5553e-06-0j -4.05738e-07-0j 
