-0.135986-0j -0.0208053-0j 0.221798-0j -0.00194926-0j -0.00282924-0j 0.0262853-0j -0.000133372-0j -0.131668-0j -0.0348916-0j 0.526041-0j -0.00462308-0j -0.00866276-0j 0.080482-0j -0.000408366-0j 0.360155-0j -0.0031652-0j -0.0102728-0j 0.0954399-0j -0.000484263-0j -0.0275843-0j 0.588131-0j -0.00516876-0j -0.011862-0j 0.110204-0j -0.000559179-0j -0.0114853-0j 0.106705-0j -0.000541422-0j 0.493163-0j -0.00433414-0j -0.0140666-0j 0.130686-0j -0.000663104-0j -0.012182-0j 0.113178-0j -0.000574265-0j 
-0.0126608-0j -0.00193705-0j 0.0420033-0j -0.000181483-0j -0.000263413-0j 0.00497781-0j -1.24174e-05-0j 0.0110171-0j 0.00291949-0j -0.0895291-0j 0.000386827-0j 0.00072484-0j -0.0136976-0j 3.41693e-05-0j -0.190798-0j 0.000824377-0j 0.00267554-0j -0.0505607-0j 0.000126126-0j -0.00256819-0j 0.111378-0j -0.00048123-0j -0.00110439-0j 0.0208701-0j -5.20615e-05-0j 0.000961011-0j -0.0181606-0j 4.53025e-05-0j 0.0933933-0j -0.000403523-0j -0.00130965-0j 0.0247489-0j -6.17374e-05-0j -0.00113419-0j 0.0214332-0j -5.34661e-05-0j 
-0.020675-0j 0.0445837-0j -0.0011478-0j 0.0086505-0j 0.019295-0j 0.00191722-0j 0.000897962-0j 0.0179909-0j -0.0671959-0j 0.00244651-0j -0.0184384-0j -0.0530945-0j -0.00527567-0j -0.00247095-0j 0.00521382-0j -0.0392944-0j -0.195983-0j -0.0194736-0j -0.0091208-0j 0.0591103-0j -0.00304356-0j 0.0229381-0j 0.0808967-0j 0.00803819-0j 0.00376482-0j -0.0703941-0j -0.00699462-0j -0.00327605-0j -0.00255211-0j 0.0192342-0j 0.0959316-0j 0.00953212-0j 0.00446453-0j 0.0830792-0j 0.00825506-0j 0.0038664-0j 
0.00462308-0j -0.0206458-0j -0.00754039-0j 0.0262629-0j 9.61847e-05-0j 0.0260837-0j 0.00579245-0j -0.00402288-0j 0.031117-0j 0.0160722-0j -0.0559789-0j -0.000264674-0j -0.0717752-0j -0.0159392-0j 0.0342518-0j -0.119298-0j -0.000976969-0j -0.264938-0j -0.0588352-0j -0.0273727-0j -0.0199945-0j 0.0696401-0j 0.000403267-0j 0.109359-0j 0.0242856-0j -0.000350912-0j -0.0951614-0j -0.0211327-0j -0.0167659-0j 0.058395-0j 0.000478216-0j 0.129684-0j 0.0287992-0j 0.000414147-0j 0.11231-0j 0.0249408-0j 
-0.000487315-0j 0.00442707-0j -2.70539e-05-0j -0.0182622-0j -1.01388e-05-0j 0.000190376-0j 0.035616-0j 0.000424048-0j -0.0066724-0j 5.76648e-05-0j 0.0389256-0j 2.78991e-05-0j -0.000523862-0j -0.0980057-0j 0.000122891-0j 0.0829553-0j 0.000102982-0j -0.00193369-0j -0.36176-0j 0.00586952-0j -7.17375e-05-0j -0.0484251-0j -4.2508e-05-0j 0.000798175-0j 0.149325-0j 3.69893e-05-0j -0.00069455-0j -0.129938-0j -6.01537e-05-0j -0.0406057-0j -5.04083e-05-0j 0.000946519-0j 0.177077-0j -4.36549e-05-0j 0.000819709-0j 0.153354-0j 
0.0564531-0j 0.0178253-0j 0.00980218-0j 0.00253091-0j 0.00492295-0j 0.00155677-0j 0.00023207-0j 0.0553935-0j 0.000830703-0j -0.00668019-0j -0.00172482-0j -0.00667019-0j -0.0021093-0j -0.000314436-0j 0.0160532-0j 0.00414493-0j 0.00076129-0j 0.000240741-0j 3.58875e-05-0j -0.0129127-0j -0.000530318-0j -0.000136928-0j 0.00492435-0j 0.00155722-0j 0.000232136-0j 0.00483192-0j 0.00152799-0j 0.000227779-0j -0.00785788-0j -0.0020289-0j -0.000372643-0j -0.00011784-0j -1.75665e-05-0j -0.00570264-0j -0.00180333-0j -0.000268825-0j 
-0.0133061-0j -0.00420147-0j 0.067878-0j -0.000596541-0j 0.052049-0j 0.0107803-0j -5.46995e-05-0j -0.0130564-0j -0.000195799-0j -0.0462589-0j 0.000406543-0j -0.0705221-0j -0.0146065-0j 7.41133e-05-0j 0.111165-0j -0.000976969-0j 0.00804891-0j 0.00166708-0j -8.45877e-06-0j 0.00304356-0j -0.00367234-0j 3.22741e-05-0j 0.0520638-0j 0.0107834-0j -5.4715e-05-0j 0.0510866-0j 0.010581-0j -5.3688e-05-0j -0.0544141-0j 0.000478216-0j -0.00393985-0j -0.000816016-0j 4.14048e-06-0j -0.0602925-0j -0.0124877-0j 6.33627e-05-0j 
-0.0162966-0j 0.0725267-0j -0.00282964-0j 0.0213259-0j -0.00142113-0j 0.00633412-0j 0.00296669-0j -0.0159907-0j 0.00337992-0j 0.0019284-0j -0.0145336-0j 0.00192552-0j -0.00858221-0j -0.00401962-0j -0.00463417-0j 0.0349259-0j -0.000219765-0j 0.000979513-0j 0.000458771-0j -0.0525387-0j 0.00015309-0j -0.00115377-0j -0.00142154-0j 0.00633591-0j 0.00296753-0j -0.00139486-0j 0.00621699-0j 0.00291183-0j 0.00226838-0j -0.0170958-0j 0.000107573-0j -0.000479461-0j -0.000224563-0j 0.00164621-0j -0.00733731-0j -0.00343655-0j 
0.00297534-0j -0.0132415-0j -0.0308726-0j -0.00389355-0j 0.000259462-0j 0.0691078-0j -0.000541641-0j 0.00291949-0j -0.000617086-0j 0.0210397-0j 0.00265346-0j -0.00035155-0j -0.0936353-0j 0.000733879-0j -0.0505607-0j -0.00637656-0j 4.01235e-05-0j 0.0106869-0j -8.37598e-05-0j 0.00959221-0j 0.00167027-0j 0.000210649-0j 0.000259536-0j 0.0691274-0j -0.000541794-0j 0.000254665-0j 0.0678299-0j -0.000531625-0j 0.0247489-0j 0.00312125-0j -1.964e-05-0j -0.00523111-0j 4.09995e-05-0j -0.000300556-0j -0.080053-0j 0.000627425-0j 
0.00343562-0j -0.0316647-0j 0.000596541-0j 0.0610425-0j -0.013439-0j -0.00276544-0j 0.0180426-0j 0.00337114-0j -0.00147565-0j -0.000406543-0j -0.0416005-0j 0.0182087-0j 0.00374694-0j -0.0244463-0j 0.000976969-0j 0.0999707-0j -0.00207822-0j -0.00042765-0j 0.00279013-0j 0.0229381-0j -3.22741e-05-0j -0.00330253-0j -0.0134428-0j -0.00276622-0j 0.0180477-0j -0.0131905-0j -0.0027143-0j 0.017709-0j -0.000478216-0j -0.0489346-0j 0.00101726-0j 0.00020933-0j -0.00136574-0j 0.0155675-0j 0.00320343-0j -0.0209002-0j 
-0.000627256-0j 0.00877078-0j 0.0031998-0j -0.035925-0j -5.46995e-05-0j -0.0225045-0j 0.0429819-0j -0.000615483-0j 0.000408739-0j -0.00218066-0j 0.0244829-0j 7.41133e-05-0j 0.0304917-0j -0.0582369-0j 0.00524038-0j -0.0588352-0j -8.45877e-06-0j -0.00348011-0j 0.00664675-0j -0.00635359-0j -0.000173116-0j 0.00194362-0j -5.4715e-05-0j -0.0225109-0j 0.0429941-0j -5.3688e-05-0j -0.0220883-0j 0.0421871-0j -0.00256511-0j 0.0287992-0j 4.14048e-06-0j 0.00170348-0j -0.00325351-0j 6.33627e-05-0j 0.0260687-0j -0.0497893-0j 
5.12153e-05-0j -0.00120433-0j 8.89271e-06-0j 0.0101188-0j 4.4662e-06-0j -0.00010518-0j -0.0406145-0j 5.0254e-05-0j -5.61248e-05-0j -6.06039e-06-0j -0.00689595-0j -6.05132e-06-0j 0.000142511-0j 0.0550293-0j 1.45638e-05-0j 0.0165717-0j 6.90656e-07-0j -1.62652e-05-0j -0.00628066-0j 0.000872424-0j -4.81114e-07-0j -0.000547447-0j 4.46746e-06-0j -0.00010521-0j -0.040626-0j 4.38361e-06-0j -0.000103235-0j -0.0398635-0j -7.12882e-06-0j -0.00811168-0j -3.38068e-07-0j 7.96163e-06-0j 0.00307432-0j -5.17354e-06-0j 0.000121839-0j 0.047047-0j 
0.0503261-0j 0.00769968-0j 0.00279391-0j 0.000721385-0j 0.00104705-0j 0.000331107-0j 4.93585e-05-0j 0.048728-0j 0.0129127-0j 0.00662635-0j 0.00171092-0j 0.00320593-0j 0.0010138-0j 0.000151129-0j 0.00453675-0j 0.00117138-0j 0.00380176-0j 0.00120222-0j 0.000179217-0j -0.0190491-0j -0.0138244-0j -0.00356943-0j -0.00819162-0j -0.00259042-0j -0.000386157-0j -0.0079315-0j -0.00250816-0j -0.000373895-0j 0.0062122-0j 0.00160398-0j 0.00520578-0j 0.00164621-0j 0.000245403-0j 0.00450834-0j 0.00142566-0j 0.000212525-0j 
-0.011862-0j -0.00181483-0j 0.0193473-0j -0.000170032-0j 0.0110702-0j 0.00229284-0j -1.16339e-05-0j -0.0114853-0j -0.00304356-0j 0.045886-0j -0.000403267-0j 0.0338954-0j 0.00702037-0j -3.56214e-05-0j 0.031416-0j -0.000276098-0j 0.040195-0j 0.00832513-0j -4.22418e-05-0j 0.00448991-0j -0.0957307-0j 0.000841324-0j -0.0866078-0j -0.0179381-0j 9.1018e-05-0j -0.0838576-0j -0.0173685-0j 8.81278e-05-0j 0.0430182-0j -0.000378063-0j 0.0550392-0j 0.0113997-0j -5.7842e-05-0j 0.0476654-0j 0.00987239-0j -5.00926e-05-0j 
-0.0145279-0j 0.031328-0j -0.000806533-0j 0.00607851-0j -0.000302258-0j 0.00134719-0j 0.000630978-0j -0.0140666-0j 0.0525387-0j -0.00191286-0j 0.0144165-0j -0.000925471-0j 0.00412491-0j 0.00193197-0j -0.00130965-0j 0.00987027-0j -0.00109747-0j 0.00489154-0j 0.00229103-0j -0.0775059-0j 0.00399075-0j -0.0300766-0j 0.00236472-0j -0.0105398-0j -0.00493647-0j 0.00228963-0j -0.0102051-0j -0.00477971-0j -0.00179331-0j 0.0135154-0j -0.00150278-0j 0.00669801-0j 0.00313713-0j -0.00130144-0j 0.00580065-0j 0.00271683-0j 
0.00265242-0j -0.00571969-0j -0.00879961-0j -0.00110978-0j 5.51845e-05-0j 0.0146984-0j -0.0001152-0j 0.00256819-0j -0.00959221-0j -0.0208701-0j -0.00263207-0j 0.000168967-0j 0.0450044-0j -0.000352728-0j -0.0142888-0j -0.00180206-0j 0.00020037-0j 0.0533686-0j -0.000418283-0j 0.0141506-0j 0.0435407-0j 0.00549122-0j -0.000431736-0j -0.114993-0j 0.000901272-0j -0.000418027-0j -0.111341-0j 0.000872652-0j -0.0195657-0j -0.00246757-0j 0.000274369-0j 0.073078-0j -0.000572758-0j 0.00023761-0j 0.0632874-0j -0.000496023-0j 
0.00306275-0j -0.0136776-0j 0.000170032-0j 0.017399-0j -0.00285831-0j -0.000588175-0j 0.00383745-0j 0.00296549-0j -0.0229381-0j 0.000403267-0j 0.0412652-0j -0.00875175-0j -0.00180091-0j 0.0117497-0j 0.000276098-0j 0.0282524-0j -0.0103783-0j -0.00213562-0j 0.0139335-0j 0.0338386-0j -0.000841324-0j -0.0860905-0j 0.022362-0j 0.0046016-0j -0.0300223-0j 0.0216519-0j 0.00445548-0j -0.029069-0j 0.000378063-0j 0.0386862-0j -0.0142111-0j -0.00292432-0j 0.0190792-0j -0.0123072-0j -0.00253253-0j 0.0165231-0j 
-0.000559179-0j 0.00378855-0j 0.000912038-0j -0.0102397-0j -1.16339e-05-0j -0.00478642-0j 0.00914172-0j -0.000541422-0j 0.00635359-0j 0.00216309-0j -0.0242856-0j -3.56214e-05-0j -0.0146554-0j 0.0279907-0j 0.00148097-0j -0.0166272-0j -4.22418e-05-0j -0.0173791-0j 0.0331929-0j -0.00937292-0j -0.00451279-0j 0.0506663-0j 9.1018e-05-0j 0.0374467-0j -0.0715204-0j 8.81278e-05-0j 0.0362576-0j -0.0692493-0j 0.0020279-0j -0.0227677-0j -5.7842e-05-0j -0.0237974-0j 0.0454512-0j -5.00926e-05-0j -0.0206091-0j 0.0393619-0j 
4.56567e-05-0j -0.000520213-0j 2.53469e-06-0j 0.00288415-0j 9.49904e-07-0j -2.23706e-05-0j -0.00863821-0j 4.4207e-05-0j -0.000872424-0j 6.01155e-06-0j 0.00684037-0j 2.90848e-06-0j -6.84956e-05-0j -0.026449-0j 4.11582e-06-0j 0.00468328-0j 3.44903e-06-0j -8.12258e-05-0j -0.0313647-0j 0.00128701-0j -1.25417e-05-0j -0.0142709-0j -7.43159e-06-0j 0.000175017-0j 0.0675812-0j -7.19561e-06-0j 0.000169459-0j 0.0654352-0j 5.63582e-06-0j 0.00641285-0j 4.72278e-06-0j -0.000111223-0j -0.0429478-0j 4.09004e-06-0j -9.6322e-05-0j -0.0371939-0j 
