-0.37648-0.0897075j -0.0744728+0.3931j 0.0234934-0.224284j -0.248514+0.122774j 0.115603-0.0681617j -0.112845-0.0945697j -0.05359+0.0217213j 0.240242+0.0726436j 0.0255052+0.0429344j 0.164381+0.012919j -0.0459997-0.131143j -0.12311-0.250446j 0.132083-0.204398j 0.369932-0.0476089j 0.0474196+0.3538j 
0.000927666-0.0098404j -0.0105563-4.79478e-05j 0.019701-0.00181942j -0.0036695-0.0151223j 0.014725-0.00470325j -0.0259137-0.0273322j 0.0143883-0.0110166j -0.0311524-0.00181604j -0.0153102-0.0194391j 0.0399938-0.0171585j -0.0164091-0.0106847j -0.00123683+0.00653187j -0.0169415-0.0173569j -0.00382176-0.0106418j 0.00997282-0.00708196j 
0.00878124-0.00339852j 0.00381515-0.00956545j -0.0197582-0.00695241j -0.0188037+0.00190863j -0.00465945-0.014766j 0.00273181-0.00794701j 0.00912906+0.0113814j -0.0148779-0.000436178j -0.00859066+0.00131704j 0.00877524-0.018081j 0.0110282-0.0188718j -0.0197193-0.00527995j 0.0289085+0.00012121j -0.00717417+0.00587721j 0.00115492-0.0103285j 
0.00561787-0.0113148j -0.0110468+0.000893003j 0.0189292-0.00622407j 0.0115818-0.0135434j 0.0085152+0.00850989j -0.00382976+0.0205873j 0.0134871-0.0250775j -0.0127564-0.0159267j 0.00878169+0.00097319j 0.0152501-0.0242515j -0.0131329+0.0019111j -0.00249051+0.00300975j -0.0243285+0.0124794j 0.00324558-0.00300172j 0.00214889+0.007848j 
0.0111521-0.0121969j -0.0083132-0.0168108j -0.0171346-0.0129053j -0.00824734-0.0015698j -0.00666321-0.0100443j -0.00214292-0.00246711j 0.0146893-0.012281j -0.0185593-0.00952761j 0.000362096+0.0122953j 0.0033175-0.0273231j -0.00226779-0.0136946j -0.0159506+0.00573768j 0.0102508+0.00323573j -0.0044831+0.00238356j -0.00177871-0.00698237j 
3.9915e-05+0.00113513j 0.00100361-0.00741154j -0.00753665-0.0117112j -0.00418253-0.00692226j -0.00383397-0.00964074j 0.00338951-0.0118512j -0.000119273-0.00198518j 0.000122993-0.00823054j -0.00410271+0.0048448j -0.000381022+0.00164642j -0.00111578-0.00276894j 0.00211798-0.00346808j 0.00272577+0.00286517j 0.000437975-0.00304449j -0.00104256-0.00287199j 
-0.00405025+0.00548231j 0.00278153-0.00024858j -0.00305837-0.00382222j -0.00896748-0.00467434j -0.00140735-0.00775648j -0.000716686-0.0153084j -0.000185454-0.00176259j -0.00362715-0.00433934j -0.00526096+0.00354239j -0.00273479+0.00779557j 0.000951315-0.00137623j -0.00372138-0.00491246j 0.0038984+0.00332821j -0.000251215-0.0039648j -0.00211997+0.000347251j 
0.00520266-0.00311677j -0.00525604-0.00171846j 0.00545448+0.00937307j -0.00215354+0.00218319j 0.00863622+0.00140184j -0.00347133-0.00163137j 0.00571185-0.00447143j -0.0130936+0.00115217j -0.00698901-0.0112971j -0.00991995+0.0129391j -0.00360143+0.00102788j -0.0098402+0.00791394j 0.000666075+0.00674142j -0.00981774-0.00929148j 0.00633156-0.00260715j 
0.0055586-0.00381004j -0.000111986-0.00978881j -0.00673635-0.0108682j 0.00708326-0.000598574j -0.00855436-0.00437437j 0.00466105+0.00287682j -0.00744595+0.00167266j 0.00915472-0.00298623j 0.00628158+0.00198798j 0.0122419-0.00828603j -0.00460875-0.00391111j 0.010498+0.00366634j -0.00123635-0.0117151j 0.00596303+0.00755991j -0.00218118-0.00106894j 
-0.00330636+0.00066805j 0.000490423+0.00285955j -0.010949+0.00470983j -0.00832104+0.00938206j 0.0111985+0.000389484j 0.00412653-0.0156847j -0.00660148-0.00360145j 0.0112342+0.00545598j 0.013447+0.00657364j 0.00601556-0.0170482j 0.0153738+0.00231279j -0.000545955-0.0207602j -0.00596142-0.00624192j 0.00858921+0.000409977j -0.00305526+0.0018507j 
-0.00251157+0.00676356j 0.00282264-0.00136696j -0.000487088-0.00288456j -0.0078545+0.000660427j 0.00198386-0.00768101j -0.00710912-0.0157982j 0.00426374-0.00886443j -0.00516906-0.00393055j -0.00519973+0.00870439j -0.00486259+0.0106042j 0.00127598-0.000540246j -0.00894704-0.000835515j 0.0024111+0.00548844j -0.00105594-0.00205214j -0.00609986+0.00314167j 
-0.00068762+2.98498e-05j -0.00689975-0.00232526j -0.0103865-0.000634524j 0.00365713-0.00693645j 0.00754433-0.00279126j -0.00828602-0.00267578j -0.00410313-0.0106398j -0.00348306-0.00676717j 0.017705+0.00386394j -0.0050679+0.000771472j 0.0101865-0.0021561j -0.00149069-0.00167973j -0.00353622-0.0017074j 0.0011372-0.0033872j -0.00152194+0.0012509j 
0.00398275-0.00246579j -0.0012854-0.00840801j -0.00032495-0.0107613j 0.0139771+0.00237974j 0.00961079+0.00465205j -0.00963885+0.00344046j 0.0139364-0.0026681j -0.00755146-0.00126548j -0.0134252+0.000300002j -0.00500984+0.0120549j -0.00509452+0.00793133j 0.00338658+0.0183802j 0.0055863-0.000195008j -0.00427045+0.000565814j 0.00258994-0.00230441j 
-0.00235719-0.00307441j 0.0021395-0.00117489j 0.00289751-0.0037934j 0.0115032-0.00877978j 0.014958-0.0171335j 0.00542138+0.00328262j 0.000785857-0.00533571j 0.00808979+0.000805694j 0.00480105-0.00484125j -0.00881991-0.00117678j 0.0133319-0.0154337j 0.00249196+0.00771102j -0.00456563-0.00280745j 0.0050176-0.00102879j 0.00214175-0.00271181j 
-0.000349906+0.00105545j 0.00177968+0.0031993j 0.00573188+0.00546591j 0.0072539+0.00978035j 0.0249314+0.002352j -0.00806339-0.0042853j 0.00553299-0.0108886j 0.00123009+0.00694454j 0.00624632+0.00480849j -0.00411821-0.00141969j 0.0180158+0.00406836j -0.00883904-9.67544e-05j -0.000717383+0.000760726j 0.000660425-3.35512e-05j 0.000599223+0.00275205j 
-0.00393804+0.00529413j 0.00129758+0.00919998j -0.0167882+8.0438e-05j -0.0066776-0.00843701j 0.00884418-0.00569103j 0.000196892+0.0341202j 0.0272651-0.00131421j -0.0146019+0.00292063j -0.0239155+0.00141285j 0.00622917+0.0247168j -0.00654534-0.000854911j -6.37373e-05+0.0067742j 0.0123801-0.00541425j 0.00412491+0.00328753j 0.000472143+0.00932723j 
0.00208759+0.00245409j -0.000345517+0.00410839j -0.00404522+0.0176763j -0.0118857-0.00762727j 0.00977417-0.00599686j 0.00764758+0.00741239j 0.00678409+0.000340772j -0.000673914+0.00155665j 0.00226759-0.00683131j -0.00262906-0.00802337j 0.0108151-0.00813921j -0.00755377-0.0151669j -0.0159219-4.7463e-05j 0.000936789-0.00183976j -0.00500612-0.00240099j 
0.000460279+0.000998467j 0.000524867+0.00157079j 0.00392176+0.00395591j -0.00261161+0.00113767j -0.00132141-0.00098433j -0.000468715-0.000334944j -0.000224492-0.00109903j -0.00126182+0.000255948j -0.000458809-0.000912542j -0.000962156+0.00182835j -0.000880665-0.0019481j -0.00377965-0.000962664j 0.000514329+0.00382761j -0.00216351-0.00104351j -0.000148972+0.000593727j 
0.00208125+0.00277641j -0.00569238-0.00604048j -0.0115222-0.000206667j -0.000337912+0.0038121j 0.00767893-0.0147662j -0.0173841-0.0105004j -0.00178587-0.0194408j -0.00520715-0.000442723j 0.0102986+0.0176394j -0.00412428+0.0157041j 0.0161064-0.00281049j -0.00823521+0.00779697j 0.00236261+0.00178386j -0.00324247-0.00422888j -0.00261226+0.00372443j 
0.00606176+9.09723e-05j 0.000704166+0.00318602j 0.0103586+0.0151039j -0.0103579+0.0127268j -0.00100538-0.00232386j 0.000130318-0.00117125j -0.00130369-0.000590308j -0.00532314+0.00440503j -0.00256711-0.00745491j -0.00223866+0.00482739j -8.81117e-06-0.00454671j -0.0160444+0.00225022j -0.00157493+0.0139035j -0.00643686-0.00112547j -0.000971295+0.00422268j 
-0.00287251+0.00060034j 0.000859893+0.00150478j -0.0067695-0.00208816j 0.00851538+0.00266763j 0.0264147-0.0042913j -0.00560514+0.00129635j 0.00832899-0.0108005j 0.00256848+0.00615439j 0.00462106+0.00720554j -0.0017489+0.00121217j 0.0192431+0.0013106j -0.00118659+0.00249876j -0.000152097-0.00815427j 0.00614935+0.00143807j 0.000267396+0.00277741j 
0.0082918-0.00405155j -0.00312555-0.0130232j 0.0114835-0.00961885j 0.0164258+0.00753972j 0.00123153+0.00256272j -0.0153803-0.0140373j -0.00712846-0.00757038j -0.00167597-0.00604504j 0.00828579+0.00323586j -0.00903416+0.00134734j 0.00300226+0.00369431j -0.00327471+0.015379j 0.00139845+0.0126046j -0.0105742-0.0019291j 0.00156582-0.00460755j 
0.00117323+0.00216591j -0.00566376+0.00168458j -0.00919566+0.00453088j -0.00772461+0.00479087j -0.00214329+0.0201488j -0.00921845-0.00283628j 0.0018428+0.00356755j -0.0114566-0.00321007j 0.002209+0.00417933j 0.00218162-0.00192489j -0.00203049+0.0186868j -0.00573817-0.0103708j 0.00164016+0.00154865j -0.00271122-0.00084943j -0.00201855+0.00348174j 
-0.00391361-0.00142695j 0.00188625-0.00110919j -0.000762798-0.00542774j 0.00402123-0.00817374j 0.00890158+0.00364867j 0.00649828-0.000434931j 0.00870994+0.00500925j 0.00381264-0.00331841j -0.00328516-0.00553894j -0.011371-0.00939903j 0.000492629-0.000855667j 0.00161589-0.00444402j -0.00398117-0.00637028j 0.00499552+0.000681678j -0.00225751-0.00509601j 
0.0048134-0.00394266j -0.000429827-0.0060588j 0.00928014-0.00551522j 0.00545228+0.00201749j -0.0130582+0.0104829j 0.00097445-0.00461159j -0.00776316+0.0112994j -0.00120021-0.00426058j -0.000578921-0.00606052j -0.0034592-0.0059493j -0.00782047+0.00662904j 0.000939414+0.00769432j -0.000989615+0.00518536j -0.00482468+0.00170256j 0.000972844-0.0039459j 
-0.000841876-0.00612723j -0.00321211-0.00761919j -0.00733178-0.0120589j 0.0160064-0.00444962j 0.00594531-0.000257191j -0.00284153-0.00400362j -0.00436868+0.005575j 0.00847322-0.00368216j 0.008044-0.00191883j -0.00412097-0.0109903j 0.0075258-0.000450484j 0.0094297+0.0038008j -0.00311203-0.0109606j 0.00771826+0.00269597j 0.000186505-0.00314005j 
0.00472487-0.00446782j -0.00852689-0.0144559j -0.00966541-0.0151978j 0.00765582-0.00570987j -0.00664898+0.00278456j -0.00860748-0.00753552j -0.00377308-0.00200421j -0.00187718-0.0116151j 0.00533549+0.00532797j -0.0064125+0.000377705j -0.00399108+0.00619915j 0.00677212+0.00560368j -0.00288554+0.000932082j -0.00415453-0.00358593j -0.00051245-0.00594057j 
0.00700428-0.00952856j 0.00139233-0.00177854j 0.0149093+0.00348531j 0.0157945+0.00234944j 0.00994534+0.00775741j 0.00741575+0.0157923j 0.0033961+0.00956453j 0.00463762+0.00640038j -0.000150351-0.0161287j -0.00574736-0.014727j 0.00340452-0.00409858j 0.000353054+0.00739679j 0.000855174+0.000336457j -0.00547547+0.00220472j 0.00881742-0.0100911j 
-0.00196391+0.000399724j 0.00654411+0.00928431j 0.0147015+0.00855091j -0.000227682+0.000103393j 0.0071976+0.00149154j 0.0102696+0.0121873j 0.00685705+0.00291281j 0.00147078+0.0076311j -0.00649185-0.0089676j -0.00205061-0.00229224j 0.000423541-0.00487721j -0.00359769+0.000606822j -0.000199414+0.00264489j -0.0011988+0.00113461j 0.00335246-0.00129852j 
-0.00648567+0.00706268j 0.00613423+0.00578942j 0.00525933-0.000268411j -0.00368273-0.00201287j -0.000493593-0.00349816j 0.00120398-0.00592524j -8.21282e-05-0.00403492j 0.00149914+8.21134e-07j -0.00261793+0.00499214j 0.00154169+0.00557042j -0.000967358+0.000156811j -0.000791729-0.00285323j 4.62633e-05-0.000265909j 0.00431157+0.00127029j -0.00402727+0.0050841j 
