-0.317286-0j -0.00585466-0j -0.253436-0j 0.247189-0j -0.221217-0j -0.00474281-0j -0.20693-0j 0.311066-0j -0.143365-0j -0.00418277-0j -0.147838-0j -0.00396812-0j 0.203921-0j 0.255358-0j -0.187001-0j -0.128031-0j 0.182392-0j -0.120709-0j 0.124875-0j -0.00283496-0j 0.262953-0j -0.00365992-0j 0.168777-0j -0.0014087-0j -0.0746848-0j 0.240043-0j -0.0862386-0j 0.12617-0j 0.118954-0j 0.223439-0j -0.00150964-0j 0.148959-0j 0.0973788-0j -0.0168731-0j 0.171495-0j 0.0367994-0j 0.155668-0j 0.0921637-0j 0.0515584-0j 0.0695708-0j 0.0263274-0j 0.00510113-0j 
-0.0152789-0j -0.000281932-0j -0.0122042-0j 0.0119034-0j 0.0209497-0j -0.000228391-0j -0.00996472-0j 0.0149794-0j -0.00690376-0j 0.000396117-0j -0.00711914-0j -0.000191085-0j 0.00981983-0j 0.0122968-0j 0.0177094-0j -0.00616535-0j -0.0172729-0j 0.0286755-0j 0.00601339-0j -0.000136518-0j 0.0126626-0j 0.000346602-0j 0.00812748-0j 0.000535894-0j -0.00359646-0j -0.0227325-0j 0.0204868-0j 0.00607571-0j -0.0282586-0j 0.0107597-0j 0.000142966-0j -0.0353866-0j 0.00468929-0j -0.000812526-0j -0.0162409-0j 0.00177208-0j -0.0147421-0j 0.00443815-0j -0.00488269-0j 0.00335019-0j 0.0012678-0j 0.000245646-0j 
0.000192926-0j 0.000205469-0j 0.000154102-0j 0.000155699-0j 0.000134511-0j 0.000166449-0j -0.000373434-0j 9.70952e-05-0j 8.71731e-05-0j 0.000146794-0j 8.98927e-05-0j -0.000413316-0j 0.000128445-0j 5.29808e-05-0j 0.000113706-0j -0.00053995-0j 0.000114885-0j -0.000217836-0j -0.000545546-0j 9.9493e-05-0j 8.20775e-05-0j -0.000381214-0j 2.62242e-05-0j 4.94385e-05-0j -0.000134779-0j -0.000222375-0j 5.24374e-05-0j -0.000235864-0j 7.49262e-05-0j -0.000137587-0j 5.29808e-05-0j 3.09055e-05-0j -3.5893e-05-0j 1.02597e-05-0j 5.35299e-05-0j 2.31791e-05-0j 2.41874e-05-0j 1.91218e-05-0j 5.33281e-06-0j 8.64014e-06-0j 2.3331e-06-0j 3.51403e-07-0j 
-0.0093564-0j -0.00996472-0j 0.0219951-0j -0.00755099-0j -0.00652344-0j 0.0237574-0j -0.00610212-0j -0.00470887-0j -0.00422767-0j -0.00711914-0j -0.0038702-0j -0.00675381-0j 0.0183331-0j -0.00256943-0j 0.0162294-0j 0.0111115-0j -0.00557161-0j -0.00355957-0j -0.00381462-0j -0.00428353-0j 0.011715-0j 0.0183331-0j -0.0012718-0j -0.00239764-0j -0.027513-0j -0.00363373-0j -0.00225762-0j -0.00342152-0j 0.0106943-0j 0.00661676-0j -0.0320985-0j -0.00149884-0j -0.000586512-0j -0.0293682-0j -0.00230465-0j -0.0358271-0j 0.00345229-0j -0.011585-0j -0.000258628-0j -0.000371989-0j 0.000333007-0j -1.70421e-05-0j 
0.0133691-0j -0.0137449-0j -0.0103747-0j -0.0107829-0j 0.00932114-0j 0.0108177-0j 0.00871913-0j 0.00604103-0j 0.00604079-0j -0.00981983-0j -0.0183331-0j -0.00931591-0j 0.0086422-0j 0.0173524-0j -0.00765513-0j -0.00524111-0j -0.00795632-0j 0.00508616-0j -0.00544732-0j 0.0195879-0j -0.00496129-0j 0.00834775-0j 0.019056-0j -0.0033072-0j -0.0154657-0j 0.00466172-0j -0.0106943-0j 0.0161979-0j 0.00504128-0j -0.0147511-0j 0.0174181-0j 0.0101222-0j 0.0152335-0j -0.00629745-0j -0.00980187-0j 0.0110541-0j -0.0170756-0j -0.0307792-0j 0.0102733-0j -0.0320304-0j -0.00618139-0j 0.00166207-0j 
0.00270096-0j 4.98389e-05-0j 0.00215742-0j -0.00210425-0j -0.00370342-0j 4.03742e-05-0j 0.00176153-0j -0.00264801-0j 0.00122042-0j -7.00242e-05-0j 0.0012585-0j 3.37794e-05-0j -0.00173592-0j -0.00217379-0j -0.00313061-0j 0.00108989-0j 0.00305345-0j -0.00506916-0j -0.00106303-0j 2.41332e-05-0j -0.00223844-0j -6.12712e-05-0j -0.00143675-0j -9.47336e-05-0j 0.00063577-0j 0.00401858-0j -0.00362158-0j -0.00107404-0j 0.00499546-0j -0.00190207-0j -2.52731e-05-0j 0.00625552-0j -0.000828957-0j 0.000143636-0j 0.00287101-0j -0.000313263-0j 0.00260606-0j -0.000784562-0j 0.000863145-0j -0.000592235-0j -0.000224117-0j -4.34244e-05-0j 
0.00165399-0j 0.00176153-0j -0.00388822-0j 0.00133484-0j 0.00115319-0j -0.00419976-0j 0.00107871-0j 0.000832418-0j 0.000747354-0j 0.0012585-0j 0.000684162-0j 0.00119392-0j -0.00324086-0j 0.000454216-0j -0.00286898-0j -0.00196426-0j 0.00098493-0j 0.000629249-0j 0.000674336-0j 0.000757228-0j -0.00207094-0j -0.00324086-0j 0.000224825-0j 0.000423846-0j 0.00486366-0j 0.000642358-0j 0.000399094-0j 0.000604845-0j -0.0018905-0j -0.00116969-0j 0.00567427-0j 0.000264959-0j 0.000103682-0j 0.00519162-0j 0.000407409-0j 0.00633339-0j -0.000610284-0j 0.00204795-0j 4.57193e-05-0j 6.5759e-05-0j -5.88678e-05-0j 3.01265e-06-0j 
-0.00551446-0j 0.0172119-0j -0.00440474-0j -0.0210343-0j -0.00384477-0j 0.0139433-0j -0.00359646-0j -0.00332267-0j -0.0024917-0j 0.0122968-0j -0.00256943-0j 0.0116658-0j -0.0173524-0j 0.021069-0j -0.0032501-0j -0.00222519-0j -0.0155204-0j -0.00209793-0j -0.0106261-0j 0.00833444-0j -0.00280876-0j 0.0107597-0j 0.0139561-0j 0.00414141-0j -0.00129803-0j -0.00256403-0j -0.00149884-0j -0.0107362-0j -0.0101222-0j 0.0184354-0j 0.00443815-0j 0.0122903-0j -0.0108694-0j -0.000293256-0j -0.00183183-0j -0.0031314-0j 0.0128721-0j 0.00760422-0j -0.030946-0j -0.00776547-0j -0.0390276-0j -0.0246079-0j 
-0.00022508-0j -4.15325e-06-0j -0.000179785-0j 0.000175354-0j 0.000308618-0j -3.36451e-06-0j -0.000146794-0j 0.000220668-0j -0.000101702-0j 5.83535e-06-0j -0.000104875-0j -2.81495e-06-0j 0.00014466-0j 0.000181149-0j 0.000260884-0j -9.08242e-05-0j -0.000254454-0j 0.00042243-0j 8.85856e-05-0j -2.0111e-06-0j 0.000186537-0j 5.10593e-06-0j 0.000119729-0j 7.89447e-06-0j -5.29808e-05-0j -0.000334882-0j 0.000301799-0j 8.95036e-05-0j -0.000416288-0j 0.000158505-0j 2.10609e-06-0j -0.000521294-0j 6.90797e-05-0j -1.19696e-05-0j -0.000239251-0j 2.61052e-05-0j -0.000217172-0j 6.53802e-05-0j -7.19288e-05-0j 4.93529e-05-0j 1.86764e-05-0j 3.6187e-06-0j 
-0.00236334-0j 0.00242978-0j 0.00183401-0j 0.00190616-0j -0.00164776-0j -0.00191231-0j -0.00154134-0j -0.00106791-0j -0.00106787-0j 0.00173592-0j 0.00324086-0j 0.00164684-0j -0.00152774-0j -0.0030675-0j 0.00135325-0j 0.000926506-0j 0.00140649-0j -0.000899114-0j 0.000962959-0j -0.00346268-0j 0.00087704-0j -0.00147569-0j -0.00336866-0j 0.000584635-0j 0.00273398-0j -0.000824084-0j 0.0018905-0j -0.00286342-0j -0.000891181-0j 0.00260765-0j -0.00307912-0j -0.00178937-0j -0.00269293-0j 0.00111324-0j 0.00173274-0j -0.0019541-0j 0.00301857-0j 0.00544104-0j -0.00181608-0j 0.00566223-0j 0.00109273-0j -0.000293816-0j 
-0.000137833-0j -0.000146794-0j 0.000324019-0j -0.000111237-0j -9.60993e-05-0j 0.00034998-0j -8.98927e-05-0j -6.93682e-05-0j -6.22795e-05-0j -0.000104875-0j -5.70135e-05-0j -9.9493e-05-0j 0.000270072-0j -3.78513e-05-0j 0.000239082-0j 0.000163688-0j -8.20775e-05-0j -5.24374e-05-0j -5.61946e-05-0j -6.31024e-05-0j 0.000172578-0j 0.000270072-0j -1.87354e-05-0j -3.53205e-05-0j -0.000405305-0j -5.35299e-05-0j -3.32579e-05-0j -5.04038e-05-0j 0.000157542-0j 9.7474e-05-0j -0.000472856-0j -2.20799e-05-0j -8.64014e-06-0j -0.000432635-0j -3.39507e-05-0j -0.000527783-0j 5.0857e-05-0j -0.000170663-0j -3.80994e-06-0j -5.47992e-06-0j 4.90565e-06-0j -2.51054e-07-0j 
0.000974828-0j -0.00304267-0j 0.000778656-0j 0.00371837-0j 0.000679666-0j -0.00246485-0j 0.00063577-0j 0.000587371-0j 0.000440474-0j -0.00217379-0j 0.000454216-0j -0.00206224-0j 0.0030675-0j -0.00372451-0j 0.000574543-0j 0.000393362-0j 0.00274365-0j 0.000370866-0j 0.00187845-0j -0.00147333-0j 0.000496523-0j -0.00190207-0j -0.00246711-0j -0.000732106-0j 0.000229461-0j 0.000453261-0j 0.000264959-0j 0.00189792-0j 0.00178937-0j -0.00325895-0j -0.000784562-0j -0.00217263-0j 0.00192146-0j 5.18409e-05-0j 0.000323825-0j 0.000553559-0j -0.00227549-0j -0.00134425-0j 0.00547053-0j 0.00137275-0j 0.00689918-0j 0.0043501-0j 
0.000196945-0j -0.000202481-0j -0.000152834-0j -0.000158847-0j 0.000137313-0j 0.000159359-0j 0.000128445-0j 8.89927e-05-0j 8.89892e-05-0j -0.00014466-0j -0.000270072-0j -0.000137236-0j 0.000127312-0j 0.000255625-0j -0.000112771-0j -7.72089e-05-0j -0.000117208-0j 7.49262e-05-0j -8.02466e-05-0j 0.000288557-0j -7.30867e-05-0j 0.000122974-0j 0.000280722-0j -4.87196e-05-0j -0.000227832-0j 6.86737e-05-0j -0.000157542-0j 0.000238618-0j 7.42651e-05-0j -0.000217304-0j 0.000256593-0j 0.000149114-0j 0.000224411-0j -9.27701e-05-0j -0.000144395-0j 0.000162842-0j -0.000251547-0j -0.00045342-0j 0.00015134-0j -0.000471853-0j -9.10605e-05-0j 2.44847e-05-0j 
-8.12357e-05-0j 0.000253556-0j -6.4888e-05-0j -0.000309864-0j -5.66389e-05-0j 0.000205404-0j -5.29808e-05-0j -4.89476e-05-0j -3.67062e-05-0j 0.000181149-0j -3.78513e-05-0j 0.000171853-0j -0.000255625-0j 0.000310376-0j -4.78786e-05-0j -3.27802e-05-0j -0.000228638-0j -3.09055e-05-0j -0.000156538-0j 0.000122778-0j -4.13769e-05-0j 0.000158505-0j 0.000205593-0j 6.10088e-05-0j -1.91218e-05-0j -3.77718e-05-0j -2.20799e-05-0j -0.00015816-0j -0.000149114-0j 0.000271579-0j 6.53802e-05-0j 0.000181053-0j -0.000160121-0j -4.32007e-06-0j -2.69854e-05-0j -4.61299e-05-0j 0.000189624-0j 0.000112021-0j -0.000455877-0j -0.000114396-0j -0.000574932-0j -0.000362509-0j 
0.0101125-0j 0.01077-0j 0.00807746-0j 0.00816117-0j 0.00705059-0j 0.00872466-0j 0.00659522-0j 0.00508938-0j -0.0408999-0j 0.00769443-0j 0.00471185-0j -0.0290195-0j 0.00673262-0j 0.00277707-0j -0.0236943-0j 0.00408059-0j -0.0239399-0j 0.00384721-0j 0.00412287-0j -0.0207325-0j -0.0171035-0j 0.00673262-0j -0.00546464-0j 0.00259139-0j 0.00238034-0j 0.00392736-0j 0.00274858-0j 0.0041656-0j 0.00392736-0j 0.00242993-0j 0.00277707-0j 0.00161995-0j 0.000633908-0j 0.000537776-0j 0.00280584-0j 0.00121497-0j 0.00126782-0j 0.0010023-0j 0.000279527-0j 0.000452885-0j 0.000122293-0j 1.84193e-05-0j 
-0.00168541-0j -0.00179499-0j -0.00134624-0j -0.0013602-0j -0.0011751-0j -0.00145411-0j -0.0010992-0j -0.000848231-0j 0.00681665-0j -0.0012824-0j -0.000785309-0j 0.00483658-0j -0.0011221-0j -0.000462844-0j 0.00394905-0j -0.000680098-0j 0.00398998-0j -0.000641202-0j -0.000687145-0j 0.00345542-0j 0.00285058-0j -0.0011221-0j 0.000910773-0j -0.000431898-0j -0.000396724-0j -0.000654561-0j -0.000458097-0j -0.000694266-0j -0.000654561-0j -0.000404989-0j -0.000462844-0j -0.000269992-0j -0.000105651-0j -8.96294e-05-0j -0.000467641-0j -0.000202494-0j -0.000211303-0j -0.000167049-0j -4.65878e-05-0j -7.54809e-05-0j -2.03822e-05-0j -3.06988e-06-0j 
-0.0114233-0j -0.000210785-0j -0.00912447-0j 0.00889957-0j -0.00796449-0j -0.000170756-0j 0.0221113-0j 0.0111993-0j -0.00516158-0j -0.000150592-0j -0.00532261-0j 0.00042401-0j 0.00734177-0j 0.00919368-0j -0.00673262-0j 0.0319708-0j 0.00656668-0j 0.0128982-0j -0.0311828-0j -0.000102067-0j 0.00946712-0j 0.000391078-0j 0.00607649-0j -5.07177e-05-0j 0.00798038-0j -0.0256495-0j -0.00310485-0j -0.0134817-0j 0.0042827-0j -0.0238753-0j -5.43517e-05-0j 0.00536298-0j -0.0104053-0j -0.000607483-0j 0.00617433-0j 0.00132489-0j 0.00560453-0j 0.00331817-0j 0.00185626-0j 0.00250476-0j 0.000947865-0j 0.000183656-0j 
-0.0010321-0j -0.0010992-0j -0.000824403-0j -0.000832946-0j -0.000719598-0j -0.000890457-0j -0.000673122-0j -0.000519433-0j 0.00417433-0j -0.000785309-0j -0.000480902-0j 0.00296179-0j -0.000687145-0j -0.000283433-0j 0.00241829-0j -0.000416473-0j 0.00244335-0j -0.000392655-0j -0.000420789-0j 0.002116-0j 0.00174561-0j -0.000687145-0j 0.000557732-0j -0.000264482-0j -0.000242943-0j -0.000400835-0j -0.000280526-0j -0.00042515-0j -0.000400835-0j -0.000248004-0j -0.000283433-0j -0.000165336-0j -6.46979e-05-0j -5.48866e-05-0j -0.00028637-0j -0.000124002-0j -0.000129396-0j -0.000102296-0j -2.85291e-05-0j -4.62224e-05-0j -1.24815e-05-0j -1.87991e-06-0j 
0.000210677-0j 0.000224374-0j 0.000168281-0j 0.000170024-0j 0.000146887-0j 0.000181764-0j 0.0001374-0j 0.000106029-0j -0.000852081-0j 0.000160301-0j 9.81636e-05-0j -0.000604573-0j 0.000140263-0j 5.78555e-05-0j -0.000493631-0j 8.50122e-05-0j -0.000498747-0j 8.01503e-05-0j 8.58932e-05-0j -0.000431927-0j -0.000356322-0j 0.000140263-0j -0.000113847-0j 5.39872e-05-0j 4.95905e-05-0j 8.18201e-05-0j 5.72621e-05-0j 8.67833e-05-0j 8.18201e-05-0j 5.06236e-05-0j 5.78555e-05-0j 3.37491e-05-0j 1.32064e-05-0j 1.12037e-05-0j 5.84551e-05-0j 2.53118e-05-0j 2.64128e-05-0j 2.08812e-05-0j 5.82348e-06-0j 9.43511e-06-0j 2.54777e-06-0j 3.83735e-07-0j 
-0.00932705-0j -0.00993346-0j 0.00723801-0j -0.0075273-0j 0.0127888-0j 0.00781794-0j -0.00608298-0j -0.0046941-0j -0.00421441-0j 0.0139566-0j 0.0127902-0j -0.00673262-0j 0.00603293-0j -0.00256137-0j -0.010503-0j 0.00365651-0j 0.0109228-0j 0.017505-0j -0.00380265-0j 0.0141562-0j 0.0038551-0j -0.0118644-0j -0.00126782-0j 0.0188815-0j 0.0107898-0j 0.00712369-0j -0.0368065-0j 0.0113074-0j -0.017361-0j 0.0021774-0j -0.0247558-0j 0.00737088-0j -0.000584673-0j 0.00439347-0j -0.0149785-0j 0.0077166-0j -0.00223417-0j 0.00454329-0j 0.000507023-0j 0.00122935-0j 0.000109584-0j -1.69887e-05-0j 
-1.24142e-05-0j -1.32214e-05-0j -9.91602e-06-0j -1.00188e-05-0j -8.65542e-06-0j -1.07105e-05-0j -8.0964e-06-0j -6.24781e-06-0j 5.02093e-05-0j -9.4458e-06-0j -5.78435e-06-0j 3.56248e-05-0j -8.26508e-06-0j -3.40917e-06-0j 2.90875e-05-0j -5.00939e-06-0j 2.93889e-05-0j -4.7229e-06-0j -5.0613e-06-0j 2.54516e-05-0j 2.09965e-05-0j -8.26508e-06-0j 6.70847e-06-0j -3.18123e-06-0j -2.92215e-06-0j -4.82129e-06-0j -3.3742e-06-0j -5.11375e-06-0j -4.82129e-06-0j -2.98302e-06-0j -3.40917e-06-0j -1.98868e-06-0j -7.78195e-07-0j -6.60183e-07-0j -3.4445e-06-0j -1.49151e-06-0j -1.55639e-06-0j -1.23043e-06-0j -3.43152e-07-0j -5.55969e-07-0j -1.50129e-07-0j -2.26118e-08-0j 
0.00942371-0j -0.00968862-0j 0.0075273-0j -0.00760074-0j -0.0129213-0j -0.00784868-0j 0.00614602-0j 0.00425825-0j 0.00425808-0j 0.0136126-0j 0.00439093-0j -0.00656668-0j -0.00627029-0j 0.0122315-0j -0.0109228-0j 0.00380265-0j 0.0110293-0j -0.0176864-0j -0.00383975-0j -0.00469146-0j 0.00359963-0j 0.011911-0j 0.0134324-0j 0.0184161-0j 0.00221821-0j -0.00646225-0j -0.0126358-0j -0.00387954-0j 0.018044-0j 0.0107026-0j 0.00491305-0j -0.0351986-0j 0.0107379-0j 0.000501148-0j -0.00461686-0j -0.00113153-0j -0.0243644-0j 0.00441458-0j -0.0142412-0j 0.00767156-0j 0.00448487-0j 0.00117158-0j 
0.00190388-0j 3.51309e-05-0j 0.00152074-0j -0.00148326-0j 0.00132741-0j 2.84593e-05-0j -0.00368521-0j -0.00186655-0j 0.000860263-0j 2.50987e-05-0j 0.000887101-0j -7.06684e-05-0j -0.00122363-0j -0.00153228-0j 0.0011221-0j -0.00532847-0j -0.00109445-0j -0.00214971-0j 0.00519713-0j 1.70112e-05-0j -0.00157785-0j -6.51796e-05-0j -0.00101275-0j 8.45294e-06-0j -0.00133006-0j 0.00427492-0j 0.000517476-0j 0.00224696-0j -0.000713783-0j 0.00397922-0j 9.05861e-06-0j -0.00089383-0j 0.00173422-0j 0.000101247-0j -0.00102906-0j -0.000220815-0j -0.000934089-0j -0.000553029-0j -0.000309377-0j -0.00041746-0j -0.000157978-0j -3.06094e-05-0j 
0.00816117-0j 0.000150592-0j -0.0191854-0j -0.00635816-0j 0.0056901-0j -0.000359036-0j 0.00532261-0j -0.00800118-0j 0.00368761-0j 0.000107588-0j 0.00337581-0j 0.000102067-0j 0.015437-0j -0.00656828-0j -0.0141562-0j -0.00969208-0j -0.00469146-0j 0.00310485-0j -0.00321202-0j 6.47351e-05-0j 0.0199058-0j -0.00027706-0j -0.00434125-0j 3.62345e-05-0j 0.0239984-0j -0.00617433-0j 0.00196922-0j -0.00288102-0j 0.00900492-0j 0.0169145-0j 0.000485091-0j -0.0038315-0j -0.00250476-0j 0.0256166-0j -0.003916-0j -0.0301675-0j 0.0117842-0j -0.0296148-0j -0.00132618-0j -0.00158862-0j 0.00199301-0j -0.00013121-0j 
