-0.00177929-0.00119604j 0.00272656-0.00298868j -0.00352153+0.0138028j -0.0109598-0.00224348j -0.00598355-0.00152108j -0.00457834-0.00113123j -0.00315442+0.0104796j 0.0162243-0.00994928j -0.00477892+0.00583571j 0.0103861-0.0175561j 4.01946e-05-0.00286351j -0.0119801+0.000847599j 0.0056105+0.00527987j -0.0106493-0.00495672j -0.00817606-0.002903j -0.0113146-0.00881608j 0.0151569+0.00324993j 0.00601911+0.00210987j 0.0181047+0.018917j 0.00557834+0.00822605j -0.0197122+0.0403206j -0.0223111-0.0135413j 
0.00153685-0.00812635j 0.0116143-0.00368353j 0.00123546-0.00573732j 0.0059197+0.00723119j 0.00429311-0.000522787j -0.00490692+0.00131874j 0.00712911-0.00340801j -0.00719714-0.000391272j 0.00327717+0.00328648j -0.000174056+0.00441019j -0.0022567-0.00359077j 0.00074009+0.0116401j -0.012383+3.02082e-05j -0.00678185-0.000485787j 0.00314914+0.00283045j -0.0113647-0.00443334j -0.00578869-0.000701006j -0.00095058+0.00137649j 0.0108769-0.00281469j -0.0028833+0.0031093j -0.00511772+0.00321969j -0.00441124-0.000799972j 
0.00253939-0.00291799j -0.00152228+0.00580272j 0.00498919+5.476e-06j 0.000172083+0.00614324j 0.00260677+0.00664434j 0.013228+0.00266518j -0.00738224-0.00661385j 0.00112928-0.00369032j -0.00577963+0.000475505j 0.0026044+0.00551283j 0.00899528+0.0153226j 0.0087382-0.00391078j 0.0126687-0.00858651j 0.00503485-0.00794661j 0.00484984-0.0157699j -0.0111778-0.0106362j -0.00384021-0.0197082j 0.00209439+0.0129776j 0.00324985+0.00428103j 0.00466554-0.00302482j 0.00117047+0.00458362j -0.00294599+0.00153046j 
-0.0091285+0.00846504j -0.00113921-0.0156347j -0.0106708-0.000639092j 0.00896242+0.00292121j -0.00216566-0.00167995j 0.00436838-0.00587175j -0.00631472+0.00223676j -0.00107591-0.0030218j -0.00418632-0.00721177j -0.00515819+0.00439289j 0.00748611+0.0048855j 0.00517368-0.00511958j -0.00418252+0.00552248j 0.000851795-0.00152974j -0.00345729+0.00413655j -0.00485981+0.0113885j 0.00217066-0.0109228j 0.00944273+0.0126347j 0.0114944+0.0131444j 0.00250645+0.00726618j -0.00295636+0.00565178j 0.00257939+0.00229236j 
-0.000831363+0.000390103j -0.00309086-0.00445625j -0.000646576+0.00187685j -0.000744807+0.000771114j 0.000380035+0.0102213j 0.0210007+0.000898329j -0.0172086+0.00766267j 0.00490425-0.0117193j -0.00894722+0.00129924j -0.000428615-0.00204835j -0.00334186-0.00294882j -0.00602257-0.000798341j 0.0102905+0.00115863j -0.00455484+0.00146575j 0.00154816-0.00470435j -0.000939135+0.000634248j -0.000556804+0.0047884j -0.00240501-0.00212354j -0.00216149-0.00160881j -0.000808463+0.00323751j 0.00330775+0.000145935j 0.00726405-0.00137915j 
-0.00410567-0.00194373j 0.00355673-0.00591874j -0.00435564-0.00159596j -0.0016129-0.00325061j -0.000519493+0.00638687j 0.00466859+0.00195348j -0.00263649+0.00812744j 0.00666993-0.00740661j -0.00294041+0.000827112j 0.00168293-0.00657138j 0.00072553+0.0066312j -0.000611445-0.00781243j 0.0117236-0.0146308j 0.00655014-0.0132182j -0.00553139-0.0184221j -0.00501393-0.00505798j -0.00722227-0.00766755j 0.00110075+0.00458809j -0.00992602+0.00174423j 0.000323633-0.00691314j 0.00569427-0.000476292j 0.00192452+0.00244742j 
0.0081634+0.00567681j -0.00571602+0.0127637j 0.00496034+0.00456384j -0.0017341+0.00786282j -0.00321888-0.00388154j 0.00446081+0.00198513j -0.012183-0.00995429j -0.000169944-0.00359139j -0.000128943+0.00331356j 0.000128867-0.00130767j 0.00367671+0.00834201j 0.000707281-0.00136027j 0.0149368-0.0152367j 0.00475767-0.00391724j -0.00469541-0.0092545j 0.000407797-0.00285873j 0.00245771-0.00673993j 0.00409039+0.00376949j -0.00730996+0.000523892j 0.00960499-0.00957001j 0.00307439-0.00502171j 0.00223268-0.00476854j 
0.0018094-0.000523159j 0.00686746-0.0033044j 0.000175912-0.00418412j 0.0123765+0.0163367j 0.0032517-0.00159316j 0.00740944-0.00702461j -0.00974934-0.0102184j -0.00458936-0.0047239j -0.00204695+0.00396542j 0.00505501+0.0155714j 0.0035687+0.00403222j 0.000650996-0.00503103j 0.00121879+0.0016217j 0.00112269-0.012188j -0.000263999+0.00247602j 0.00499175+0.00248941j -0.00583863-0.00560712j 0.00618015+0.00281315j 0.00326617+0.00703298j 0.00145579-0.00203039j 0.00307505+0.00751347j -0.0124269+0.00554281j 
0.0025335-0.000145665j -0.00449904+0.0113699j 0.006991+0.000706514j -0.0030383+0.00542625j 0.00373538-0.000796136j 0.0103477-0.00419765j -0.00589187-0.0097103j -0.00509108+0.00233743j 0.005056+0.000211363j 0.00541056+0.0110225j 0.0175561+0.0131886j 0.0147316-0.00470496j -0.0074403+0.000717716j 0.00269655-0.00705525j 0.00506629-0.00729891j -0.0151545-0.00575288j -0.0125098-0.0205636j 0.00585143+0.0116j 0.0105015+0.00198125j -0.00295876-0.000985568j -0.00221605+0.00160486j -0.00648947+0.00400244j 
-0.00437742+0.0110186j -0.0044577-0.0101508j -0.00738153+3.18072e-05j 0.0132257+0.00525042j -0.00175018-0.0108567j 0.00218477-0.00417686j -0.00700438-0.0100376j -0.00740201+0.00578608j -0.000763373+0.0064209j 0.00443006+0.0033628j 0.00760281-0.000836647j 0.00302107+0.00651931j 0.00476389-8.02633e-05j -0.0109682+0.0199972j 0.00628993+0.00151632j -0.00825536-0.00438315j 0.0053712+0.00356308j 0.00256279-0.00320726j 0.0148725-0.00675144j 0.00248399+0.00485395j -0.00648678+0.00269824j 0.00347168-0.00825371j 
0.00158637+0.013152j -0.0141417-0.000557609j -0.00466231+0.00756592j 0.000718634-0.00602056j -0.00602271+0.00435811j 0.00396641-0.00380394j -0.00892503+0.00606602j 0.00555407-0.00394176j -0.00710541-0.00489571j -0.00524559+0.00398638j -0.000972962+0.000305978j -0.00453889-0.0103992j 0.00539694-0.000389533j 0.0125184-0.0109734j -0.00830286+0.00434578j 0.0148094+0.0135752j 0.0015658-0.00961901j 0.00821917+0.000123687j -0.00103567+0.0121045j 0.0034328-0.000257206j 0.00486716+0.00278487j -0.00172139+0.0013912j 
-0.0058382+0.00715185j 0.00138869-0.0168525j -0.00792883-0.00149415j -0.000188822+0.00769969j -0.00109974+0.00442065j 0.0216922-0.00858839j -0.0135145+0.0088545j -0.000835936-0.0151472j 0.010077+0.00800217j 0.00155407+0.00197722j -0.0136888-0.00559572j -0.00701356+0.00480756j -0.00490461+0.014532j 0.00152769+0.000563938j 0.00774417+0.00727211j 0.00381871-0.00173702j 0.00301821+0.00906844j -0.0134798-0.00616339j -0.0056313-0.00475934j -0.00897213+0.00812408j 0.00200966+0.00292601j -0.00719832+3.29616e-05j 
-0.00714778-0.00488537j 0.00888469+0.002307j -0.00215237-0.00424473j -0.0122711-0.00564672j -0.00241739-0.0101071j -0.0114293+0.0157833j 0.00717898-0.00484441j 0.00472732+0.00219674j 0.00508053+0.00229525j -0.00432845-0.0192666j 0.00656174+0.00204592j 0.00430205+0.00262977j -0.00178828-0.0196268j -0.00630755+0.0113019j -0.0107266-0.0103963j -0.0163095-0.0074652j 0.00262782+0.0046088j -0.00131144-0.00306943j -0.00474094-0.0071735j -0.0019678-0.00938248j -0.00522077-0.0036054j 0.00636272-0.00981005j 
0.00540691+0.012631j -0.00866959+0.00390277j -0.00413774+0.0034163j -0.00171673-0.00979969j -0.0054072-0.00746896j -0.0116631+0.00351139j 0.00121913-0.00696944j 0.000697214+0.00556883j 0.0111053+0.00663194j 0.00565341-0.000340929j -0.01344-0.0039102j -0.0108535+0.00427971j -0.00276256-0.0103346j 0.012047-0.0145584j -0.0066933+0.00163207j 0.0123018-0.0056589j -0.00116253+0.00183964j -0.00616071-0.0104109j -0.0106639+0.0021187j -0.00438417-0.00384364j 0.00174602-0.00917248j -0.0053587+0.000980532j 
-0.0142712-0.00446908j -0.00208736+0.00248473j -0.000202018+0.00127286j -0.0313499-0.0108541j 0.00945549-0.00117784j 0.00480755-0.00586654j 0.0161685+0.0103799j 0.00264211-0.00322411j 0.0188278-0.00115465j 0.00445084-0.00807239j 0.00314464+0.00281734j 0.0046712-0.0121504j -0.0119835+0.021048j 0.00628498-0.00912237j 0.00737458-0.00640636j -0.00319939-0.00644338j -0.0131862+0.000678835j -0.00732019+0.00109833j -0.0125346-0.00964897j -0.0139911+0.000554364j 0.00364478-0.00324737j -0.00479791+0.00770655j 
-0.00299867-0.0169435j 0.00634615-0.00379632j 0.00462634-0.00333664j 0.000808424-0.0060088j 0.00738693+0.0187454j 0.007844-0.00051748j 0.00592187+0.0162206j 0.00604339-0.0078164j -0.0145255+0.000961046j -0.00185446+0.00537171j 0.00363476+8.38467e-05j 0.00722363-0.00433475j -0.0056302+0.00524341j -0.00237937+0.0062882j 0.00816492-0.00258404j -0.00364139+0.00156554j -0.00452095-0.0029443j 0.000691452+0.00308763j 0.00562215-0.0041528j -0.00189917-6.85229e-05j 0.00240905+0.00827519j 0.000180505+0.000934149j 
