-0.293488-0j -0.00613003-0j -0.229691-0j 0.222885-0j -0.197686-0j -0.00484172-0j 0.276922-0j -0.181587-0j -0.17363-0j -0.00419305-0j -0.121058-0j -0.129732-0j 0.178032-0j 0.22333-0j -0.00388201-0j -0.00375038-0j -0.160144-0j 0.155399-0j -0.00277344-0j -0.149801-0j 0.224333-0j -0.103785-0j -0.0998675-0j 0.145362-0j 0.144082-0j 0.10071-0j -0.133986-0j -0.00345909-0j -0.0529627-0j -0.0617899-0j 0.197843-0j -0.00328158-0j 0.103852-0j -0.00218772-0j 0.18769-0j 0.184238-0j -0.00211825-0j -0.0957244-0j 0.080322-0j -0.065538-0j 0.131363-0j -0.0873841-0j 0.0899383-0j -0.00135358-0j 0.164787-0j -0.0237829-0j 0.0847947-0j 0.112822-0j 0.134092-0j -0.0021402-0j 0.121797-0j -0.00116498-0j -0.0270331-0j 0.173112-0j 0.0403486-0j -0.0360441-0j 0.066631-0j 0.052464-0j 0.111185-0j 0.0605802-0j 0.113991-0j -0.000624226-0j 0.107472-0j 0.0702817-0j -0.00498669-0j 0.0714052-0j 0.0468545-0j 0.0188093-0j 0.0118529-0j 0.0794341-0j 0.0332474-0j 0.0372147-0j 0.0289897-0j 0.0083627-0j 0.013438-0j 0.00368251-0j 0.000559986-0j 
-0.0142399-0j -0.000297426-0j -0.0111445-0j 0.0108143-0j 0.0186493-0j -0.000234918-0j 0.0134361-0j -0.0088105-0j -0.00842445-0j 0.000395563-0j -0.00587367-0j -0.00629452-0j 0.00863802-0j 0.0108359-0j -0.000188354-0j -0.000181967-0j 0.0151076-0j -0.0146599-0j -0.000134566-0j -0.00726829-0j 0.0108845-0j -0.00503562-0j 0.023688-0j 0.00705292-0j 0.00699078-0j 0.0048864-0j 0.0126399-0j 0.000326322-0j -0.00256973-0j -0.00299802-0j -0.018664-0j -0.000159221-0j 0.00503885-0j 0.000518916-0j 0.00910664-0j 0.00893913-0j 0.000199831-0j 0.00903041-0j 0.00389719-0j -0.00317988-0j -0.0123925-0j 0.020727-0j 0.00436377-0j -6.56753e-05-0j -0.0155456-0j 0.0124363-0j -0.0201128-0j 0.00547408-0j 0.0065061-0j 0.000201902-0j 0.00590952-0j 0.000442753-0j -0.00131163-0j -0.016331-0j 0.00195769-0j 0.00854947-0j -0.0253232-0j 0.00254553-0j -0.0104889-0j -0.0143693-0j 0.0055308-0j 5.8888e-05-0j -0.0254918-0j 0.00341004-0j -0.000241952-0j -0.00673619-0j -0.0111136-0j 0.000912617-0j 0.000575097-0j -0.00749362-0j 0.00161315-0j -0.00351075-0j 0.00140657-0j -0.000788916-0j 0.000652005-0j 0.000178674-0j 2.71703e-05-0j 
0.000179806-0j 0.000189748-0j 0.000140721-0j 0.000142179-0j 0.000121113-0j 0.00014987-0j 8.7424e-05-0j -0.000325763-0j 0.000106375-0j 0.000129791-0j 7.41662e-05-0j 7.94804e-05-0j 0.000113567-0j 4.6844e-05-0j -0.000351865-0j 0.000116089-0j 9.81127e-05-0j 9.91294e-05-0j 8.58486e-05-0j -0.000268741-0j 7.08215e-05-0j 6.35843e-05-0j 6.1184e-05-0j -0.000271526-0j 2.26278e-05-0j 6.42432e-05-0j -0.000240369-0j 0.000107072-0j -0.000349938-0j 3.78557e-05-0j 6.24587e-05-0j -0.000297442-0j 6.62474e-05-0j 6.77183e-05-0j -0.000173508-0j 3.86443e-05-0j -0.000449564-0j 5.86458e-05-0j 1.00813e-05-0j -0.0002753-0j 8.37971e-05-0j -0.000156766-0j -0.000393368-0j 4.18986e-05-0j 3.45645e-05-0j 1.45707e-05-0j -0.00015839-0j -0.000162256-0j 4.23328e-05-0j -0.000193988-0j 1.9128e-05-0j 3.60605e-05-0j -4.84969e-05-0j -0.000160032-0j 4.21732e-06-0j 2.20825e-05-0j 2.10353e-05-0j -9.79989e-05-0j -5.11309e-05-0j 3.86443e-05-0j -7.00138e-05-0j 1.93222e-05-0j 2.25425e-05-0j -2.58304e-05-0j 3.0551e-06-0j 2.25425e-05-0j 5.88077e-06-0j -4.93207e-06-0j 7.561e-06-0j 1.2475e-05-0j 6.97374e-06-0j 3.88977e-06-0j 3.63854e-06-0j 6.55013e-07-0j 1.20334e-06-0j 2.56314e-07-0j -6.44741e-08-0j 
-0.00872013-0j -0.00920227-0j 0.0199503-0j -0.00689531-0j -0.00587367-0j 0.0212474-0j -0.00423984-0j -0.00539531-0j -0.0051589-0j -0.00629452-0j -0.00359687-0j -0.0032746-0j 0.0161007-0j -0.00227181-0j -0.0058276-0j -0.00562999-0j 0.0139097-0j -0.00480752-0j -0.00353697-0j 0.0130113-0j 0.0100405-0j 0.00901449-0j -0.00296727-0j -0.00449703-0j -0.00109739-0j -0.00311563-0j -0.00398101-0j 0.0151798-0j -0.00157363-0j -0.0226155-0j -0.00302909-0j 0.0144009-0j -0.0027294-0j -0.00328416-0j -0.00287364-0j 0.0054787-0j -0.00317988-0j -0.00241621-0j -0.000488918-0j -0.00165426-0j 0.0118801-0j 0.00758992-0j 0.00813375-0j -0.0250308-0j -0.00167629-0j -0.000706639-0j -0.00262326-0j -0.00114768-0j -0.00174411-0j -0.0027294-0j 0.00271182-0j 0.00511238-0j -0.0252878-0j 0.00774804-0j -0.000204529-0j -0.0131924-0j -0.00102016-0j -0.0199937-0j -0.000846831-0j -0.00159215-0j -0.000985092-0j -0.0295025-0j 0.00319591-0j 0.0012506-0j -0.0137648-0j -0.0134672-0j -0.000285202-0j -8.16851e-05-0j -0.0213944-0j -0.000513971-0j -0.010648-0j 0.000551461-0j -0.00217372-0j -3.17664e-05-0j -4.95775e-05-0j 3.63382e-05-0j -1.54596e-06-0j 
0.0124599-0j -0.0126283-0j -0.00937744-0j -0.00984477-0j 0.0083927-0j 0.00959179-0j 0.00535297-0j 0.00770919-0j 0.00737139-0j -0.00863802-0j 0.00513946-0j -0.0161007-0j 0.00756204-0j 0.0152179-0j -0.00799725-0j -0.00772608-0j -0.00653811-0j -0.00686394-0j 0.0167023-0j -0.00611584-0j -0.00417009-0j -0.00423718-0j 0.00423984-0j -0.00642063-0j 0.0163295-0j -0.00444834-0j 0.00568834-0j 0.0068527-0j 0.00224851-0j -0.0128145-0j 0.00382435-0j 0.00650104-0j 0.0134095-0j -0.00450688-0j 0.0036281-0j -0.0120726-0j -0.00436377-0j -0.0118801-0j 0.0126179-0j -0.00813375-0j 0.00557976-0j -0.00356757-0j 0.0038202-0j 0.0136216-0j 0.0112288-0j 0.0010097-0j -0.00374537-0j 0.0076878-0j -0.00757729-0j 0.0128888-0j -0.0132744-0j 0.00230791-0j -0.00785768-0j -0.00321796-0j 0.00807503-0j -0.00747512-0j 0.00128799-0j 0.01132-0j 0.0126011-0j 0.0078222-0j -0.0227066-0j 0.00880441-0j -0.00704237-0j -0.0106172-0j -0.00228007-0j -0.00674259-0j 0.00736045-0j 0.0045662-0j 0.00461146-0j -0.0263175-0j -0.015511-0j -0.0071622-0j -0.0222463-0j 0.00238454-0j -0.00953652-0j -0.00115922-0j 0.000230399-0j 
0.00251729-0j 5.2578e-05-0j 0.00197009-0j -0.00191171-0j -0.00329675-0j 4.15281e-05-0j -0.0023752-0j 0.00155749-0j 0.00148925-0j -6.99262e-05-0j 0.00103833-0j 0.00111273-0j -0.001527-0j -0.00191553-0j 3.32965e-05-0j 3.21675e-05-0j -0.00267068-0j 0.00259154-0j 2.37882e-05-0j 0.00128486-0j -0.00192413-0j 0.00089018-0j -0.00418749-0j -0.00124679-0j -0.00123581-0j -0.000863802-0j -0.00223445-0j -5.76862e-05-0j 0.000454268-0j 0.00052998-0j 0.00329936-0j 2.81466e-05-0j -0.000890751-0j -9.17323e-05-0j -0.00160984-0j -0.00158023-0j -3.53254e-05-0j -0.00159637-0j -0.000688932-0j 0.000562128-0j 0.0021907-0j -0.00366406-0j -0.000771413-0j 1.16099e-05-0j 0.0027481-0j -0.00219845-0j 0.00355548-0j -0.000967689-0j -0.00115013-0j -3.56915e-05-0j -0.00104467-0j -7.82684e-05-0j 0.000231866-0j 0.00288694-0j -0.000346075-0j -0.00151135-0j 0.00447656-0j -0.000449991-0j 0.00185419-0j 0.00254016-0j -0.000977717-0j -1.041e-05-0j 0.00450635-0j -0.000602816-0j 4.27714e-05-0j 0.0011908-0j 0.00196463-0j -0.000161329-0j -0.000101664-0j 0.0013247-0j -0.000285168-0j 0.000620618-0j -0.000248649-0j 0.000139462-0j -0.000115259-0j -3.15854e-05-0j -4.80307e-06-0j 
0.00154152-0j 0.00162675-0j -0.00352674-0j 0.00121893-0j 0.00103833-0j -0.00375604-0j 0.000749504-0j 0.000953764-0j 0.000911973-0j 0.00111273-0j 0.000635843-0j 0.000578872-0j -0.00284622-0j 0.000401604-0j 0.00103018-0j 0.000995252-0j -0.0024589-0j 0.000849858-0j 0.000625253-0j -0.00230009-0j -0.00177493-0j -0.00159355-0j 0.000524544-0j 0.000794969-0j 0.000193993-0j 0.000550771-0j 0.000703749-0j -0.00268344-0j 0.000278181-0j 0.0039979-0j 0.000535472-0j -0.00254574-0j 0.000482494-0j 0.000580564-0j 0.000507993-0j -0.000968506-0j 0.000562128-0j 0.000427129-0j 8.64294e-05-0j 0.000292435-0j -0.00210013-0j -0.00134172-0j -0.00143786-0j 0.00442486-0j 0.000296329-0j 0.000124917-0j 0.000463732-0j 0.000202883-0j 0.000308318-0j 0.000482494-0j -0.000479386-0j -0.00090375-0j 0.0044703-0j -0.00136967-0j 3.6156e-05-0j 0.00233211-0j 0.00018034-0j 0.00353441-0j 0.0001497-0j 0.000281455-0j 0.000174141-0j 0.00521535-0j -0.000564962-0j -0.000221076-0j 0.0024333-0j 0.00238069-0j 5.04171e-05-0j 1.444e-05-0j 0.00378202-0j 9.08581e-05-0j 0.00188232-0j -9.74854e-05-0j 0.000384263-0j 5.61556e-06-0j 8.76414e-06-0j -6.42376e-06-0j 2.73289e-07-0j 
-0.00513946-0j 0.0158415-0j -0.00402226-0j -0.0190519-0j -0.00346181-0j 0.0125122-0j -0.0030576-0j -0.00317988-0j -0.00304054-0j 0.0108359-0j -0.00211992-0j -0.00227181-0j -0.0152179-0j 0.0184261-0j 0.0100321-0j 0.00969189-0j -0.00280439-0j -0.0132833-0j 0.00716725-0j -0.00262326-0j -0.00247694-0j -0.00181745-0j -0.00174884-0j -0.0124254-0j 0.0120035-0j -0.00860855-0j -0.00234632-0j 0.00893913-0j -0.000927464-0j -0.00108204-0j -0.00218445-0j 0.0084804-0j -0.00887711-0j 0.0056536-0j -0.00207235-0j 0.0152007-0j 0.00547408-0j -0.00167629-0j -0.00884498-0j -0.00114768-0j -0.0112288-0j -0.00153024-0j -0.0076878-0j 0.00349799-0j 0.0135959-0j -0.000416478-0j -0.00724813-0j 0.0093085-0j -0.00148056-0j 0.0055308-0j 0.010147-0j 0.00301059-0j -0.000473393-0j -0.0019114-0j -0.0241114-0j -0.000631191-0j -0.000735697-0j -0.00448455-0j 0.00926287-0j -0.00517831-0j 0.00940496-0j 0.00161315-0j 0.00886708-0j -0.00773936-0j -8.7325e-05-0j -0.000788411-0j -0.00515957-0j -0.0278072-0j -0.00101317-0j 0.00661771-0j 0.00274311-0j -0.0222387-0j -0.00319232-0j -0.0238475-0j -0.0198664-0j -0.0177366-0j -0.00610472-0j 
-0.000209774-0j -4.3815e-06-0j -0.000164174-0j 0.000159309-0j 0.000274729-0j -3.46067e-06-0j 0.000197933-0j -0.000129791-0j -0.000124104-0j 5.82719e-06-0j -8.65273e-05-0j -9.27271e-05-0j 0.00012725-0j 0.000159627-0j -2.77471e-06-0j -2.68063e-06-0j 0.000222556-0j -0.000215961-0j -1.98235e-06-0j -0.000107072-0j 0.000160344-0j -7.41817e-05-0j 0.000348958-0j 0.000103899-0j 0.000102984-0j 7.19835e-05-0j 0.000186204-0j 4.80718e-06-0j -3.78557e-05-0j -4.4165e-05-0j -0.000274947-0j -2.34555e-06-0j 7.42292e-05-0j 7.64436e-06-0j 0.000134153-0j 0.000131686-0j 2.94379e-06-0j 0.000133031-0j 5.7411e-05-0j -4.6844e-05-0j -0.000182559-0j 0.000305338-0j 6.42844e-05-0j -9.67489e-07-0j -0.000229009-0j 0.000183204-0j -0.00029629-0j 8.06408e-05-0j 9.58439e-05-0j 2.97429e-06-0j 8.70554e-05-0j 6.52236e-06-0j -1.93222e-05-0j -0.000240578-0j 2.88396e-05-0j 0.000125946-0j -0.000373046-0j 3.74992e-05-0j -0.000154516-0j -0.00021168-0j 8.14764e-05-0j 8.67502e-07-0j -0.000375529-0j 5.02346e-05-0j -3.56429e-06-0j -9.92335e-05-0j -0.000163719-0j 1.34441e-05-0j 8.47198e-06-0j -0.000110391-0j 2.3764e-05-0j -5.17182e-05-0j 2.07207e-05-0j -1.16218e-05-0j 9.60494e-06-0j 2.63211e-06-0j 5.12666e-07-0j 
-0.00220262-0j 0.0022324-0j 0.00165771-0j 0.00174033-0j -0.00148363-0j -0.0016956-0j -0.000946281-0j -0.0013628-0j -0.00130309-0j 0.001527-0j -0.000908536-0j 0.00284622-0j -0.00133679-0j -0.00269017-0j 0.00141373-0j 0.00136579-0j 0.00115579-0j 0.00121338-0j -0.00295257-0j 0.00108114-0j 0.000737175-0j 0.000749034-0j -0.000749504-0j 0.00113502-0j -0.00288668-0j 0.000786363-0j -0.00100557-0j -0.0012114-0j -0.000397485-0j 0.0022653-0j -0.000676056-0j -0.00114923-0j -0.00237049-0j 0.000796712-0j -0.000641363-0j 0.00213416-0j 0.000771413-0j 0.00210013-0j -0.00223055-0j 0.00143786-0j -0.000986372-0j 0.000630664-0j -0.000675322-0j -0.00240798-0j -0.00198498-0j -0.000178491-0j 0.000662093-0j -0.00135902-0j 0.00133949-0j -0.00227844-0j 0.00234661-0j -0.000407984-0j 0.00138906-0j 0.000568861-0j -0.00142748-0j 0.00132143-0j -0.000227687-0j -0.00200111-0j -0.00222759-0j -0.00138278-0j 0.004014-0j -0.00155641-0j 0.00124493-0j 0.00187688-0j 0.000403063-0j 0.00119193-0j -0.00130116-0j -0.000807197-0j -0.000815199-0j 0.00465232-0j 0.00274199-0j 0.00126611-0j 0.00393262-0j -0.000421531-0j 0.00168583-0j 0.000204924-0j -4.07291e-05-0j 
-0.00012846-0j -0.000135562-0j 0.000293895-0j -0.000101577-0j -8.65273e-05-0j 0.000313003-0j -6.24587e-05-0j -7.94804e-05-0j -7.59978e-05-0j -9.27271e-05-0j -5.29869e-05-0j -4.82393e-05-0j 0.000237185-0j -3.3467e-05-0j -8.58486e-05-0j -8.29376e-05-0j 0.000204909-0j -7.08215e-05-0j -5.21044e-05-0j 0.000191674-0j 0.000147911-0j 0.000132796-0j -4.3712e-05-0j -6.62474e-05-0j -1.61661e-05-0j -4.58976e-05-0j -5.86458e-05-0j 0.00022362-0j -2.31818e-05-0j -0.000333158-0j -4.46226e-05-0j 0.000212145-0j -4.02078e-05-0j -4.83803e-05-0j -4.23328e-05-0j 8.07088e-05-0j -4.6844e-05-0j -3.55941e-05-0j -7.20245e-06-0j -2.43696e-05-0j 0.00017501-0j 0.00011181-0j 0.000119821-0j -0.000368739-0j -2.46941e-05-0j -1.04098e-05-0j -3.86443e-05-0j -1.69069e-05-0j -2.56932e-05-0j -4.02078e-05-0j 3.99488e-05-0j 7.53125e-05-0j -0.000372525-0j 0.000114139-0j -3.013e-06-0j -0.000194342-0j -1.50284e-05-0j -0.000294534-0j -1.2475e-05-0j -2.34546e-05-0j -1.45118e-05-0j -0.000434612-0j 4.70801e-05-0j 1.8423e-05-0j -0.000202775-0j -0.000198391-0j -4.20143e-06-0j -1.20334e-06-0j -0.000315169-0j -7.57151e-06-0j -0.00015686-0j 8.12379e-06-0j -3.20219e-05-0j -4.67964e-07-0j -7.30345e-07-0j 5.35313e-07-0j -9.00902e-08-0j 
0.000183552-0j -0.000186033-0j -0.000138143-0j -0.000145027-0j 0.000123636-0j 0.0001413-0j 7.88567e-05-0j 0.000113567-0j 0.000108591-0j -0.00012725-0j 7.57114e-05-0j -0.000237185-0j 0.000111399-0j 0.000224181-0j -0.000117811-0j -0.000113816-0j -9.63154e-05-0j -0.000101115-0j 0.000246048-0j -9.00948e-05-0j -6.14312e-05-0j -6.24195e-05-0j 6.24587e-05-0j -9.45848e-05-0j 0.000240557-0j -6.55302e-05-0j 8.37971e-05-0j 0.00010095-0j 3.31237e-05-0j -0.000188775-0j 5.6338e-05-0j 9.57694e-05-0j 0.00019754-0j -6.63926e-05-0j 5.34469e-05-0j -0.000177847-0j -6.42844e-05-0j -0.00017501-0j 0.00018588-0j -0.000119821-0j 8.21976e-05-0j -5.25553e-05-0j 5.62769e-05-0j 0.000200665-0j 0.000165415-0j 1.48742e-05-0j -5.51744e-05-0j 0.000113252-0j -0.000111624-0j 0.00018987-0j -0.000195551-0j 3.39987e-05-0j -0.000115755-0j -4.74051e-05-0j 0.000118956-0j -0.000110119-0j 1.89739e-05-0j 0.000166759-0j 0.000185632-0j 0.000115232-0j -0.0003345-0j 0.000129701-0j -0.000103744-0j -0.000156407-0j -3.35886e-05-0j -9.93277e-05-0j 0.00010843-0j 6.72664e-05-0j 6.79332e-05-0j -0.000387693-0j -0.000228499-0j -0.000105509-0j -0.000327718-0j 3.51276e-05-0j -0.000140486-0j -1.7077e-05-0j 3.49028e-06-0j 
0.000908536-0j -0.0028004-0j 0.000711042-0j 0.00336792-0j 0.000611968-0j -0.00221186-0j 0.000540512-0j 0.000562128-0j 0.000537497-0j -0.00191553-0j 0.000374752-0j 0.000401604-0j 0.00269017-0j -0.0032573-0j -0.00177343-0j -0.0017133-0j 0.00049575-0j 0.00234817-0j -0.001267-0j 0.000463732-0j 0.000437865-0j 0.000321283-0j 0.000309155-0j 0.00219651-0j -0.00212195-0j 0.00152179-0j 0.000414775-0j -0.00158023-0j 0.000163954-0j 0.00019128-0j 0.00038616-0j -0.00149914-0j 0.00156927-0j -0.000999425-0j 0.000366344-0j -0.00268713-0j -0.000967689-0j 0.000296329-0j 0.00156359-0j 0.000202883-0j 0.00198498-0j 0.00027051-0j 0.00135902-0j -0.000618363-0j -0.00240344-0j 7.36236e-05-0j 0.0012813-0j -0.00164553-0j 0.000261729-0j -0.000977717-0j -0.00179375-0j -0.000532202-0j 8.36849e-05-0j 0.00033789-0j 0.00426233-0j 0.00011158-0j 0.000130054-0j 0.000792764-0j -0.00163746-0j 0.000915405-0j -0.00166258-0j -0.000285168-0j -0.00156749-0j 0.00136814-0j 1.5437e-05-0j 0.000139373-0j 0.000912092-0j 0.00491566-0j 0.000179104-0j -0.00116986-0j -0.000484919-0j 0.00393128-0j 0.000564328-0j 0.00421568-0j 0.00351192-0j 0.00313542-0j 0.00107917-0j 
-7.57114e-05-0j 0.000233367-0j -5.92535e-05-0j -0.00028066-0j -5.09973e-05-0j 0.000184322-0j -4.50427e-05-0j -4.6844e-05-0j -4.47914e-05-0j 0.000159627-0j -3.12293e-05-0j -3.3467e-05-0j -0.000224181-0j 0.000271441-0j 0.000147786-0j 0.000142775-0j -4.13125e-05-0j -0.000195681-0j 0.000105584-0j -3.86443e-05-0j -3.64887e-05-0j -2.67736e-05-0j -2.57629e-05-0j -0.000183043-0j 0.000176829-0j -0.000126816-0j -3.45645e-05-0j 0.000131686-0j -1.36628e-05-0j -1.594e-05-0j -3.218e-05-0j 0.000124928-0j -0.000130772-0j 8.32854e-05-0j -3.05287e-05-0j 0.000223928-0j 8.06408e-05-0j -2.46941e-05-0j -0.000130299-0j -1.69069e-05-0j -0.000165415-0j -2.25425e-05-0j -0.000113252-0j 5.15302e-05-0j 0.000200287-0j -6.1353e-06-0j -0.000106775-0j 0.000137127-0j -2.18107e-05-0j 8.14764e-05-0j 0.000149479-0j 4.43502e-05-0j -6.97374e-06-0j -2.81575e-05-0j -0.000355194-0j -9.29832e-06-0j -1.08378e-05-0j -6.60637e-05-0j 0.000136455-0j -7.62838e-05-0j 0.000138548-0j 2.3764e-05-0j 0.000130624-0j -0.000114012-0j -1.28642e-06-0j -1.16144e-05-0j -7.60077e-05-0j -0.000409638-0j -1.49254e-05-0j 9.74881e-05-0j 4.04099e-05-0j -0.000327607-0j -4.70274e-05-0j -0.000351306-0j -0.00029266-0j -0.000261285-0j -9.36481e-05-0j 
0.00944851-0j 0.00997092-0j 0.00739463-0j 0.00747126-0j 0.00636428-0j 0.0078754-0j 0.00459398-0j 0.00584597-0j -0.021875-0j 0.0068203-0j 0.00389731-0j 0.00417656-0j 0.00596776-0j 0.00246158-0j 0.00631437-0j -0.0238726-0j 0.00515566-0j 0.00520909-0j 0.0045112-0j 0.00482268-0j 0.00372155-0j -0.0294923-0j 0.00321512-0j 0.00487266-0j 0.00118905-0j -0.029798-0j -0.0168805-0j 0.00562646-0j 0.00170507-0j 0.00198925-0j 0.0032821-0j -0.0208885-0j 0.00348119-0j -0.0139257-0j -0.012185-0j 0.0020307-0j 0.00344549-0j -0.01206-0j 0.000529757-0j 0.00210992-0j -0.0172321-0j 0.00281323-0j 0.0030148-0j -0.00861607-0j -0.00710789-0j 0.000765664-0j 0.00284238-0j 0.00124354-0j -0.00870536-0j 0.00348119-0j -0.0039335-0j 0.00189492-0j 0.000870298-0j 0.00287184-0j -0.000867255-0j 0.0011604-0j 0.00110537-0j 0.00175863-0j 0.000917566-0j 0.0020307-0j 0.00125643-0j 0.00101535-0j 0.00118457-0j 0.000463537-0j 0.000160541-0j 0.00118457-0j 0.000309025-0j 8.85081e-05-0j 0.000397318-0j 0.000655541-0j 0.000366458-0j 0.000204401-0j 0.000191199-0j 3.44198e-05-0j 6.32333e-05-0j 1.34689e-05-0j 1.67509e-06-0j 
-0.00157475-0j -0.00166182-0j -0.00123244-0j -0.00124521-0j -0.00106071-0j -0.00131257-0j -0.000765664-0j -0.000974328-0j 0.00364584-0j -0.00113672-0j -0.000649552-0j -0.000696094-0j -0.000994627-0j -0.000410263-0j -0.00105239-0j 0.00397876-0j -0.000859277-0j -0.000868181-0j -0.000751867-0j -0.00080378-0j -0.000620259-0j 0.00491539-0j -0.000535853-0j -0.000812109-0j -0.000198176-0j 0.00496633-0j 0.00281341-0j -0.000937743-0j -0.000284179-0j -0.000331542-0j -0.000547017-0j 0.00348142-0j -0.000580199-0j 0.00232094-0j 0.00203083-0j -0.000338449-0j -0.000574248-0j 0.00201-0j -8.82928e-05-0j -0.000351654-0j 0.00287202-0j -0.000468871-0j -0.000502467-0j 0.00143601-0j 0.00118465-0j -0.000127611-0j -0.00047373-0j -0.000207257-0j 0.00145089-0j -0.000580199-0j 0.000655583-0j -0.00031582-0j -0.00014505-0j -0.00047864-0j 0.000144542-0j -0.0001934-0j -0.000184228-0j -0.000293106-0j -0.000152928-0j -0.000338449-0j -0.000209405-0j -0.000169225-0j -0.000197429-0j -7.72562e-05-0j -2.67568e-05-0j -0.000197429-0j -5.15042e-05-0j -1.47514e-05-0j -6.62196e-05-0j -0.000109257-0j -6.10764e-05-0j -3.40668e-05-0j -3.18666e-05-0j -5.73664e-06-0j -1.05389e-05-0j -2.24481e-06-0j -2.79181e-07-0j 
-0.0106732-0j -0.00022293-0j -0.00835312-0j 0.0081056-0j -0.00718922-0j -0.000176078-0j 0.0100708-0j 0.0193372-0j -0.00631437-0j -0.000152488-0j -0.00440248-0j -0.00471793-0j 0.00647445-0j 0.00812179-0j 0.000413397-0j -0.000136389-0j -0.00582394-0j 0.00565136-0j -0.000100861-0j 0.0159524-0j 0.00815826-0j -0.00377434-0j -0.00363186-0j -0.0154797-0j 0.00523979-0j 0.0036625-0j 0.0142682-0j -0.000125796-0j 0.0207722-0j -0.0022471-0j 0.00719491-0j 0.000349457-0j 0.00377676-0j -7.95605e-05-0j -0.0199872-0j 0.00670014-0j 0.000528181-0j -0.00348119-0j 0.00292106-0j 0.0163417-0j 0.00477727-0j 0.00930556-0j -0.0224259-0j -4.92256e-05-0j 0.00599278-0j -0.000864909-0j -0.00902981-0j -0.0281319-0j 0.00487651-0j 0.000227911-0j 0.00442936-0j -4.23666e-05-0j 0.00287876-0j -0.0184348-0j 0.00146735-0j -0.00131081-0j 0.00242316-0j -0.00558691-0j -0.0118401-0j 0.00220311-0j -0.012139-0j -2.27011e-05-0j 0.00390841-0j -0.00748432-0j -0.00018135-0j 0.00259678-0j 0.00170395-0j -0.002003-0j 0.000431052-0j 0.00288877-0j 0.0012091-0j 0.00135338-0j 0.00105426-0j 0.000304125-0j 0.000488697-0j 0.000133921-0j 2.03649e-05-0j 
-0.000964335-0j -0.00101765-0j -0.000754711-0j -0.000762532-0j -0.000649552-0j -0.00080378-0j -0.000468871-0j -0.000596652-0j 0.00223261-0j -0.000696094-0j -0.000397768-0j -0.000426269-0j -0.000609082-0j -0.000251233-0j -0.000644457-0j 0.00243648-0j -0.000526197-0j -0.00053165-0j -0.000460423-0j -0.000492213-0j -0.000379829-0j 0.00301005-0j -0.000328142-0j -0.000497313-0j -0.000121357-0j 0.00304124-0j 0.00172285-0j -0.000574248-0j -0.000174023-0j -0.000203027-0j -0.000334978-0j 0.00213192-0j -0.000355298-0j 0.00142128-0j 0.00124362-0j -0.000207257-0j -0.000351654-0j 0.00123087-0j -5.40681e-05-0j -0.000215343-0j 0.00175875-0j -0.000287124-0j -0.000307697-0j 0.000879374-0j 0.000725446-0j -7.81452e-05-0j -0.000290099-0j -0.000126918-0j 0.000888487-0j -0.000355298-0j 0.000401461-0j -0.0001934-0j -8.88244e-05-0j -0.000293106-0j 8.85138e-05-0j -0.000118433-0j -0.000112816-0j -0.00017949-0j -9.36487e-05-0j -0.000207257-0j -0.000128234-0j -0.000103629-0j -0.0001209-0j -4.73096e-05-0j -1.63851e-05-0j -0.0001209-0j -3.15397e-05-0j -9.03332e-06-0j -4.05511e-05-0j -6.69059e-05-0j -3.74015e-05-0j -2.08616e-05-0j -1.95142e-05-0j -3.51296e-06-0j -6.45372e-06-0j -1.37466e-06-0j -1.70963e-07-0j 
0.000196844-0j 0.000207727-0j 0.000154055-0j 0.000155651-0j 0.000132589-0j 0.000164071-0j 9.5708e-05-0j 0.000121791-0j -0.00045573-0j 0.00014209-0j 8.1194e-05-0j 8.70117e-05-0j 0.000124328-0j 5.12828e-05-0j 0.000131549-0j -0.000497345-0j 0.00010741-0j 0.000108523-0j 9.39834e-05-0j 0.000100472-0j 7.75323e-05-0j -0.000614424-0j 6.69816e-05-0j 0.000101514-0j 2.4772e-05-0j -0.000620791-0j -0.000351676-0j 0.000117218-0j 3.55224e-05-0j 4.14428e-05-0j 6.83771e-05-0j -0.000435177-0j 7.25249e-05-0j -0.000290118-0j -0.000253853-0j 4.23062e-05-0j 7.1781e-05-0j -0.00025125-0j 1.10366e-05-0j 4.39567e-05-0j -0.000359003-0j 5.86089e-05-0j 6.28084e-05-0j -0.000179501-0j -0.000148081-0j 1.59513e-05-0j 5.92163e-05-0j 2.59071e-05-0j -0.000181362-0j 7.25249e-05-0j -8.19479e-05-0j 3.94775e-05-0j 1.81312e-05-0j 5.983e-05-0j -1.80678e-05-0j 2.4175e-05-0j 2.30286e-05-0j 3.66382e-05-0j 1.9116e-05-0j 4.23062e-05-0j 2.61756e-05-0j 2.11531e-05-0j 2.46786e-05-0j 9.65703e-06-0j 3.3446e-06-0j 2.46786e-05-0j 6.43802e-06-0j 1.84392e-06-0j 8.27745e-06-0j 1.36571e-05-0j 7.63455e-06-0j 4.25835e-06-0j 3.98332e-06-0j 7.1708e-07-0j 1.31736e-06-0j 2.80602e-07-0j 3.48976e-08-0j 
