0.324024+0.0973123j 0.0961822-0.33296j -0.086132-0.10159j -0.104033+0.108802j -0.041628+0.0594443j -0.00628178-0.0433338j 0.156607+0.101937j -0.0143294-0.0976719j 0.0176776+0.0333691j -0.000458312+0.0245181j 0.0834497-0.160578j -0.0800533+0.123631j -0.0880103-0.0469959j -0.0552251+0.0378294j -0.108742+0.102135j -0.0801764+0.0813351j -0.0983782-0.0515695j 0.0664311-0.0222918j 0.233739+0.0235037j -0.0271809-0.0359297j 0.148872-0.00878117j 0.0550705+0.105242j 0.147456+0.240139j -0.131243+0.177253j -0.0793388-0.368707j -0.369752+0.0803318j 
-0.0107542+0.00025127j -9.14171e-05+0.00748369j -0.00193456+0.00647059j -0.00497616-0.00592781j -0.010053-0.005623j -0.00187768-0.00528491j -0.0202436+0.0107112j 0.0038046+0.0193062j 0.0158858-0.00423204j -0.00389722+0.0144376j -0.00341845+0.00204514j 0.00834751+0.00694683j 0.00800402+0.00481902j -0.00557852+0.0140286j 0.00755874-0.0150147j 0.0184843-0.00580036j 0.0041218+0.032422j -0.0101589-0.0056207j 0.0125179-0.0100123j -0.0115287-0.0277615j -0.0150804-0.00440465j -0.00721338+0.00473883j 0.00831801-0.000317351j -0.00364336-0.0176259j 0.00577709+0.0126511j 0.0164935-0.00410487j 
0.0106062-0.0129686j -0.00541984-0.00755694j -0.00888941-0.0173047j -0.00724915-0.0132559j -0.00477506+0.024337j 0.0064788-0.0107946j -0.00369024+0.006237j -0.00331433+0.00041096j -0.000878966+0.000289221j 0.0107159+0.003565j 0.00160963+0.00452454j -0.00731604-0.0123431j -0.002725+0.010499j -0.0023214+0.00356825j 0.00336931+0.00546109j 0.00141039+0.00143991j -0.00400663-0.00216503j 0.0084608-0.00361331j -0.00547991+0.00765128j 0.00148015-0.00272224j -0.0034415+0.000796832j -0.001018-0.00242351j 0.0029111+0.00543714j -0.00359671+0.00301655j 0.00390458-0.00412206j -0.00423783+0.000339788j 
0.00610905+0.00771595j 0.00555187-0.00933981j -0.00294263+0.0100892j -0.0110198-0.00718043j -0.00632832+0.00329889j -0.0121262+0.0081123j -0.0113719+0.00761108j 0.0075984+0.0121776j 0.0119486-0.00963826j 0.00626599+0.00754596j 0.00491483+0.00849609j 0.00394682+0.0149099j 0.00127611-0.000210414j 0.00124857+0.000294598j 0.00378111-0.00211665j -0.00996734-0.000539455j -0.016817-0.0221292j -0.0107795+0.00931635j -0.0149503-0.00356056j 0.0074423+0.00721411j 0.0235456-0.00926835j 0.00477361+0.0164644j 0.00947763+0.000252537j -0.00482652+0.0118725j -0.00574177-0.00241435j -0.00294435+0.00528987j 
0.00110273+0.00534393j 0.00735325-0.00428591j -0.0136405-0.0109998j -0.00634596-0.00639836j -0.00525233-0.00359701j 0.00524986+0.0370025j -0.0148194+0.00438459j 0.00672718-0.00980241j -0.0177648+0.0121128j 0.01349-0.00670342j -0.00249872+0.00585698j -0.0128608+0.00923113j -0.0026877-0.00251564j -0.00366136+0.00184218j 0.0164944+0.000755317j -0.00294997-0.00953279j -0.00846355+0.00408039j -0.0172541+0.0106739j -0.00355517-0.0206732j -0.00586818-0.00588851j 0.020718-0.0147649j 0.00612052+0.0102366j 0.0105059+0.00568627j 0.0060949-0.00247229j 7.48283e-05-0.00870374j -0.00821803+0.000841067j 
0.00402787+0.00176464j 0.0022906-0.00272066j 0.00200983-0.00808235j 0.00376834+0.000696831j 0.0112075-0.0103867j 0.0061497+0.0165974j 0.00381817-0.0106728j -0.00315819-0.0137068j -0.0162179+0.0137162j -0.0014461-0.0182964j 0.00513898+0.000476245j -0.0129874+0.00125265j -0.00784208-0.0106324j -0.00353287-0.0115229j -0.00646412+0.00200973j -0.00434182+0.00218308j -0.00938115-0.0145857j 0.00122146+0.00475159j -0.0115257+0.00728907j 0.0079392+0.00648163j 0.00868106-0.00259355j -5.47814e-05-0.00149801j -0.00259627-0.00229447j 0.00746998+0.0121923j -0.00459666+0.00857232j 0.00536836+0.00360786j 
0.0032865+0.00306639j 0.0049592-0.00534987j 0.0119997-0.000325989j -0.00183614-0.00705501j -0.00269977+0.00218939j -0.00211269-0.00141548j -0.0103711+0.00197095j -0.00250182-0.00412743j -0.00237431+0.00167076j 0.00266075+0.00520606j 0.00675663+0.000669853j -0.00815613-0.00475983j 0.0105876+0.00127429j -0.00844986+0.00286653j 0.0175274-0.0064053j -0.0166344-0.00876286j -0.0040704+0.00793129j -0.00251828+0.0131805j -0.00253209-0.0028771j -0.00015501+0.0100133j 0.00926055+0.000437279j 0.0124313-0.00832921j -0.00351037-0.00585931j 0.023874-0.00248604j -0.00428504-0.00785684j -0.00478329+0.00544905j 
0.00679465+0.00102396j -0.00205029-0.0132195j -0.0197078+0.0176501j -0.0107976-0.00124036j -0.00866616-0.00701714j 0.0101141+0.0297415j -0.00546603-0.0080166j 0.00378894-0.0142526j 0.00068848-0.00156802j 0.0111043-0.0028015j -0.0125679+0.00698942j -0.00264159+0.0177037j -0.00252309-0.00154831j 0.00332196+0.00226194j 0.000583218+0.0041709j 0.00821168-0.00464106j 0.0124876+0.00151834j 0.0157044-0.0109105j 0.0121724+0.0111511j -0.00364142+0.000874127j -0.020299+0.0124293j -0.0063495-0.00855206j -0.00189191+0.00175997j -0.00563607-0.00145832j 0.00120038-0.003623j -0.00251201-0.00110139j 
-0.00106506+0.000733804j 0.000381621-0.000110678j 0.0124444+0.00838055j -0.010317-0.00583857j -1.40365e-05+0.0102906j -0.0191275-0.0125041j -0.00353621+0.00424478j 0.00613+0.0114854j 0.0114906-0.0211652j 0.00462369+0.0142795j 0.00807482+0.0028819j 0.00603292-0.00348885j 0.0123746+0.00608924j -0.00387482+0.00235298j -0.00087221-0.0058878j -0.0113394+0.0083976j -0.0177302-0.0150542j 0.00910944+0.0024945j -0.0114234+0.0224418j 0.0207767+0.0107212j 0.00638906+0.00165575j 0.00362657-0.00529515j -0.00516623-0.0108611j 0.0133272+0.00945436j -0.00586016+0.012344j 0.0130584+0.00660292j 
0.00480037-0.00412464j -0.00423728-0.00292305j 0.0110781-0.00257299j 0.0105238+0.00681404j 0.0041703-0.00762515j -0.00125578-0.0144379j 0.0115433-0.0163837j -0.0131024-0.0116373j -0.00370087+0.00360546j -0.00937714-0.00100267j -0.00265654-0.00817881j -0.0081699-0.00690888j 0.000613234-0.0061843j -0.00360721-0.00401681j -0.0035169+0.00413186j 0.000290804-0.00112206j 0.0131074+0.00214471j 0.00818369-0.00927032j 0.0163806+0.00112273j -0.00465377+0.00491348j -0.0070583+0.0195352j -0.00453726-0.0109947j -0.00775293+0.00362284j 0.00390201+0.001593j 0.00127993-0.0101983j -0.00999066-0.00244341j 
-0.00312303+0.00912261j 0.00116755+0.00184324j 0.01624+0.0179354j 0.00753359+0.00947143j 0.000916004-0.0208393j -0.00740237+0.00642757j -0.000299834-0.0105696j -0.00126023+0.00193139j 0.00602638-0.00490763j -0.0096149+0.000971781j 0.00125774-0.00270031j 0.00929403+0.0115099j 0.00229978-0.0143314j -0.00040075-0.00639777j -0.00166343-0.00805655j -0.000376664+0.000805702j -0.000299662+0.00269541j -0.0036103+0.00491595j 0.00540502-0.00580049j -0.000165578+0.000663912j -0.000179946-0.00065977j 0.00281876+0.00162621j -0.000228937+0.000221615j -0.00331902+0.00276405j -0.00160755+0.00132994j 0.00101344-0.00216123j 
0.0191005-0.00822919j -0.00864593-0.0221584j -0.0173994+0.019242j -0.0171041+0.000340118j -0.00527048+0.0149319j 0.00595639+0.00790488j -0.000951941-0.00415296j 0.000216357-0.00996858j 0.00212563-0.0141802j 0.0147476-0.00226884j -0.00592469+0.0121864j -0.00197002+0.0101541j -0.00326587+0.00575973j 0.00607967-0.000697015j -0.000957012+0.0177382j 0.00396442+0.00106254j -0.00908771-0.020724j 0.012377-0.0202331j 0.0171287+0.0206703j 0.00802035+0.00237651j -0.00285131+0.0194667j -0.00726138+0.00474038j -0.00184579+0.0137292j -0.0150479+0.013955j 0.00442032-0.00666168j -0.00671809-0.00195317j 
0.00153048+0.0110284j 0.0038346-0.00595634j 0.0236256+0.0186791j 0.00186987-0.00058079j -0.00761557-0.0208072j -0.00635696+0.0137469j -0.0139947-0.010194j -0.00183464-0.00458821j 0.00578358-0.00710225j -0.000997881+0.00742697j -0.00140442-0.00288636j 0.00217716+0.0108644j 0.0102406-0.0139621j -0.00999903+0.0038639j 0.00696291-0.0178996j -0.012235-0.00834002j 0.00756892+0.0130829j 0.00295318+0.0107517j 0.00841619-0.000185285j -0.00142694+0.00827189j -0.00590211+0.00966032j 0.00553144-0.0124663j -0.012397-0.00541724j 0.0162422-0.0114015j -0.0110516+0.00740064j 0.0103144+0.00829924j 
-0.0228639+0.0100647j 0.010745+0.0241939j -0.0171534-0.00387903j 0.00657519+0.00643091j 0.00386144-0.00484247j 0.0028533+0.00241913j 0.0102943+0.0111839j 0.015133+0.00972866j 0.00122872+0.00832767j -0.00909097-0.00104644j 0.00273417-0.00576778j 0.0121369-0.00530497j -0.00539017+0.00934995j 0.00620131-0.00662585j -0.00517399+0.00598738j 0.00898003+0.00153802j 0.00269839+0.00336553j -0.0098813+0.00433829j -0.0128354-0.00476929j -0.00193171-0.00482634j -0.00524406-0.01638j 0.00287487+0.00789029j 0.00723185-0.010288j -0.00469685+0.000524568j -0.00112979+0.0098386j 0.00764533+0.00111759j 
