-0.00882095-0.0137158j -0.0111132-0.00440732j -0.0146731-0.0696616j -0.00538377-0.0207783j -0.00292109+0.025828j 0.0144786-0.0366192j 0.0162754-0.0229783j -0.00333147-0.00220754j 0.000446201-0.00695365j 0.00455071-0.000447781j -0.0041997-0.011634j -0.00310758+0.00138098j -0.0013996-0.0148415j 0.00514689-0.0144899j 0.0108915-0.00321685j 0.0163691+0.00146237j 0.0037262+0.00644517j 0.00902019-0.00851404j 0.0161615-0.00184731j 0.0115462+0.0133895j -0.0053345+0.00714824j -0.0159446+0.0147476j 0.00238851-0.000891645j 0.0101766+0.00244291j -0.0176871-0.00449945j 0.00530041+0.00710497j -0.0130585+0.00134313j 0.0169573-0.00572321j -0.00174858-0.0230153j -0.0178239-0.0062931j 0.000412567+0.000187564j 0.00821243-0.0148319j 0.0126532+0.00684709j 0.00770276-0.0147884j 
-0.0247961+0.00620043j -0.00359217-0.00406469j -0.009777-0.00415798j -0.0301959+0.0306088j 0.0458371-0.0271777j 0.0333537-0.0152881j 0.0589084+0.00782798j -0.0191207+0.000387807j 0.0336656-0.0214579j 0.0383054-0.0216132j 0.01313+0.00139198j 0.00346973-0.00656865j -0.00957701+0.0026736j 0.0339505-0.00775619j -0.0259649+0.00264039j -0.00167113+0.00274732j 0.0100247-0.00273954j -0.0060613-0.000787657j -0.00170741-0.00717214j 0.00699197+0.00768866j 0.0118999-0.00186598j 0.0107603+0.00506072j 0.0055179+0.00469603j 0.0216053-0.000607929j 0.00818548-0.0116532j 0.0052607-0.0102663j -0.000451472+0.0115795j -0.000274555+0.00749552j -0.0173863-0.00366924j -0.0129928-0.00722372j -0.0132327-0.0137005j -0.0110374+0.00113317j -0.00723027-0.00327762j -0.0117598+0.0111549j 
0.0167069-0.0296617j 0.0281132-0.0552299j -0.0265997+0.0499712j -0.000173025-0.0114177j 0.0106718-0.00759767j 0.0382516-0.0648386j -0.0279294+0.055083j -0.0102265+0.0300521j -0.00377941+0.00983773j 0.00849628+0.0135403j 0.000514869-0.0149939j -0.016788+0.016947j 0.00193281-0.0145627j -0.0054379+0.00754827j -0.00315778-0.0258521j 0.00814261-0.0117287j 0.00463776+0.016613j 0.000264566-0.00672715j -0.0168668+0.0260959j 0.00507954+0.0281325j 0.00858243+0.00291979j -0.00381589-0.0182936j -0.00396938-0.014028j 0.00738152-0.0105253j -0.0234087-0.00203024j -0.0150382-0.00447629j 0.0113947+0.00802313j 0.000203055-0.0170972j -0.0142181-0.00425962j 0.000114501-0.01341j -0.0224965+0.0124704j 0.0205956+0.000375022j -0.0150305+0.0103133j 0.00788365+0.0176106j 
-0.0273699+0.0303067j -0.0129784+0.00671305j 0.0099053-0.0021769j 0.0338855+0.019109j 0.0151627-0.0307891j -0.0195392-0.0134668j 0.0197108-0.0629916j 0.011766+0.00182361j 0.0248137+0.022328j -0.00655217+0.02654j 0.0241196+0.00424853j 0.00142289+0.0189033j -0.00641187+0.0238603j -0.01204+0.0029692j 0.00367992-0.00540444j -0.0143056-0.000639624j -0.00311906+0.000681444j 0.00803386-0.0121659j 0.0142613+0.030152j 0.00447607+0.0182862j -0.0253679-0.0156387j -0.0034601-0.0227698j 0.00142922-0.0197032j -0.0150565-0.0365796j 0.0318585+0.00155398j 0.00441633+0.0183353j -0.00804212-0.00121747j -0.00365533-0.0262796j -0.00837942-0.00772489j -0.000326344+0.0112562j -0.014722+0.0258639j -0.0173431+0.000679855j 0.0030861-0.000269257j -0.00423369-0.00036094j 
-0.0218238-0.0100841j 0.0264311-0.0260199j -0.00632793-0.000944001j 0.0460571-0.0256288j 0.0501908-0.0129313j -0.00138077-0.00172965j -0.00324864+0.0418558j 0.0140817+0.00334107j 0.0323457+0.00604441j -0.00563458-0.013474j 0.039429+0.00137659j -0.0275168+0.00324521j 0.00192806+0.00229601j 0.00140992-0.0119725j 0.0120471-0.00363917j -0.0170132-0.0109952j -0.00698778-0.00550584j 0.00399279-0.00706859j 0.0047481+0.00474733j 0.0109978-0.0243241j -0.0123488-0.00253683j 0.0180396+0.00990922j -0.0234228+0.0354555j -0.0171798+0.0164561j -0.00160469+0.00854686j 0.00224066+0.0115268j 0.0190466-0.00558662j -0.0149573+0.00383909j -0.00986268-0.0186503j 0.00304868-0.0108399j 0.0011273-0.0140516j 0.00818158-0.00686953j -0.00212363+0.0091772j 0.000267344+0.00101884j 
0.00131993-0.0126545j 0.00344002+0.00462502j 6.54655e-05-0.0334881j -0.0142011-0.0428942j 0.0134538+0.031106j 0.00661389+0.0652732j -0.00863967+0.0588496j -0.00577547-0.0242607j 0.00282286+0.000246211j 0.0120882-0.00602399j -0.00102048+0.000338139j -0.00220377-0.00468495j 0.00602779-0.000715244j 0.0110969+0.00115781j -0.00762375-0.00325232j 0.00234306-0.00491851j -0.00354008+0.00445555j 0.00370583-0.00542796j -0.000820417+0.00985175j -0.0193807+0.0159052j -0.0168693-0.00408605j -0.0136537-0.00834265j 0.0131217-0.0290984j -0.00348965-0.027138j 0.0255004-0.000790765j 0.0178532+0.0131074j -0.0227784+0.00215564j 0.00152713-0.0121804j -0.00967915+0.00492527j 0.00178491+0.01292j -0.00935299+0.00264506j -0.0227133-0.011518j -0.0184872-0.0152213j -0.00669661-0.0035573j 
0.0101851+0.0100523j 0.00919363-0.0071117j -0.00566177+0.0131726j 0.011168-0.00864421j 0.0107784-0.00466665j 0.00377298-0.0214608j -0.00508876+0.0122749j 0.0027747-0.00976218j 0.00144752-0.00261238j 0.00672952+0.00783314j -0.0037268+0.000447826j -0.00664242+0.0169938j 0.0127839-0.0144404j 0.00776648+0.000359299j 0.0121904-0.00246038j 0.0139361+0.0612905j -0.0191916+0.0066195j -0.0086181+0.0347241j 0.00154513-0.00418302j -0.00380058+0.00869277j -0.00144095-0.0253177j 0.0251043+0.021167j -0.00359125-0.0359734j 0.00295108-0.0375088j 0.00517392-9.43455e-05j -0.00325147+0.0292431j 0.00160955+0.0046547j 0.00342234-0.00635155j 0.00108734+0.0163669j -0.0154276+0.0246321j 0.0142407-0.0212539j 0.00181985+0.00996436j 0.00375068+0.00516961j -0.00400262-0.000580241j 
-0.00878027+0.0624214j -0.0251468-0.0169118j -0.00812383-0.0143081j -0.0142784-0.0463769j -0.00858946-0.0707716j 0.0138947+0.0213349j 0.0171477-0.0406674j 0.0125512-0.00511332j -0.00199787-0.0106656j -0.0187631+0.00605609j -0.0204025-0.00694311j -0.00580142+0.0124815j -0.00157178+0.0186086j -0.0129203-0.0129916j -0.00215827-0.0130728j 0.0105443+0.0173622j 0.00333328-0.00527966j -0.00119908-0.0130656j -0.0164029+0.00379577j 0.0236232-0.00213071j 0.0156508+0.0153367j -0.0111886-0.00308059j -0.0200077+0.0234488j -0.00181494+0.0067518j -0.0027015-0.0154975j -0.0262543+0.0121852j 0.00578871-0.0091919j 0.0035359+0.0157647j 0.0216721+0.00636529j 0.00118285+0.00369073j 0.0023369+0.0101382j -0.00302163+0.00440421j 0.00144024-0.003133j -0.00377815+0.00166233j 
0.0120799+0.0159648j 0.00616797+0.0119397j 0.0270856-0.00643459j 0.0401531-0.00463791j -0.00369082+0.000705359j -0.0476859+0.00503414j -0.0542662-0.0185263j 0.00595063+0.00279519j 0.0162887-0.0122776j 0.0403449-0.0132572j -0.0119029+0.00484095j 0.0231079-0.0147863j 0.000196373+0.0099014j 0.0246651-0.0149401j -0.0191558-0.00107229j 0.0213561+0.00554804j 0.00703145-0.00261387j -0.0124127-0.0141784j -0.00997257-0.00519516j 0.0141115+0.0136125j 0.0117667+0.0230874j 0.00035714+0.00287429j 0.0188927+0.00889946j 0.0209232+0.011382j 0.00280409-0.0283533j -0.0146283-0.0162976j -0.0156502+0.0103437j 0.0122863+0.0140636j 0.000927637+0.00964474j -0.0126748+0.00175999j -0.00559406-0.00797915j -0.00561536+0.0144834j -0.00582849+0.000555415j 0.000643349+0.00223728j 
0.00715684-0.0267756j 0.0170513+0.0205675j -0.015626-0.00205231j -0.00386441+0.0394079j 0.0295659+0.0607895j 0.0345723+0.00514774j 0.00459503+0.0192499j 3.84185e-05-0.0081498j -0.013004+0.0495156j -0.0147917+0.00502134j -0.00280832+0.0252127j -0.0258586+0.00886415j 0.00486802+0.00151005j -0.0153278-0.0246957j -0.001481-0.0226048j 0.0205964+0.00641529j -0.0129838-0.00285444j -0.0107458-0.0283902j -0.0108735-0.00270237j 0.00496868+0.000547174j 0.00224722+0.0240698j -0.0085464-0.0054661j -0.0113089+0.040083j -0.0138398+0.00583828j 0.00183994-0.0265976j -0.0153113+0.0245361j 0.00873475-0.0118758j -0.00437816+0.000463574j 0.00548668+0.00205201j -0.000116044+0.0163935j 0.00141539+0.00155081j 0.00491788-0.00109239j -0.00671318-0.00443153j 0.000861951+0.000988509j 
0.0233419+0.0506305j 0.0310224+0.0709574j -0.0253691-0.0375795j 0.0106531+0.00072768j 0.0104501+0.0380036j 0.0357001+0.0542274j -0.0411327-0.0417597j 0.00291949-0.0711482j 0.0133875-0.0335903j -0.00407582+0.012803j 0.00372681-0.0051314j -0.0137617+0.0140774j -0.0188879-0.00491766j 0.00154687+0.0199133j 0.00638611+0.0248383j 0.00363435+0.012648j 0.0024615-0.00321691j 0.00530367+0.00288057j -0.024148+0.000973346j 0.0150112-0.00999447j 0.0102544-0.0105286j -0.00935379+0.0094826j -0.0212065-0.00928087j 0.00183516-0.00244496j -0.0215203+0.00553777j -0.0196278-0.00510921j 0.0137324+0.00361437j -0.00306825-0.00146146j 0.00460382-0.00395064j -0.00118306+0.00040016j -0.0106215-0.00718418j 0.0164931+0.0112761j -0.0214024-0.0155764j 0.00895518+0.0134251j 
0.0449989+0.0247736j -0.0588935+0.0116082j -0.000215156-9.7285e-05j -0.027138+0.00566789j -0.0786766+0.0138099j -0.00439775-0.00095714j -0.041714-0.00454185j 0.0547489-0.006816j 0.0351064-0.000231341j 0.00994112+0.00140048j 0.0165923+0.0039349j -0.00989349+0.00700671j 0.023902+0.00964899j 0.0014656-0.00799317j -0.00444625+0.00267201j 0.00434816+0.00015784j -0.000293838-0.0142522j 0.00447812-0.0105834j 0.0145429+0.0201994j 0.0133372-0.00384711j -0.0107068-0.00488481j 0.0173804+0.00536806j -0.0109308+0.0123413j -0.00588866-0.00415423j 0.00729473-0.000353452j 0.0155032+0.0140332j 0.00393423+0.00199133j -0.00551474-0.00313441j -0.0187343-0.0112053j -0.0112533+0.00622265j -0.0132219-0.0086616j 0.000992005+0.0042153j -0.00164003+0.004583j 0.00816784-0.00222754j 
0.0988555+0.0317348j 0.0379374-0.013105j -0.0415188-0.0165609j -0.00807232-0.00560666j 0.0110046-0.0175163j 0.0576136+0.0344718j -0.0603411-0.0475059j -0.0509579+0.00730682j -0.0131547+0.042033j 0.00800548-0.00790727j 0.0241015+0.0149717j 0.0136113+0.00576459j -0.0144476+0.00694263j -0.00587131-0.00979902j 0.00300356-0.000863513j 0.0170902+0.0125317j -0.0213744+0.00871531j -0.0109413-0.00389545j 0.0179302-0.015301j -0.0157772+0.0047376j -0.00906788+0.001828j 0.00509386-0.0055171j 0.0241074+0.00327279j -0.00333281+0.000588494j 0.00654365-0.00684779j 0.0162304+0.00318515j 0.00252458+0.00290472j -0.000542629-0.0102136j -0.0164141-0.0146703j -0.00540629-0.00508228j 0.00648755-0.00183236j 0.016835+0.000209572j -0.00323996+0.00378615j 0.00775704+0.0107755j 
-0.0506771+0.0883509j 0.0221564-0.0179171j 0.0143826-0.0241991j -0.00439418+0.00897646j -0.0113726+0.0272575j -0.0433366+0.0514957j 0.0507781-0.048394j 0.0119282+0.00597303j -0.0250463+0.0209257j 0.0111386-0.00485081j -0.00729495-0.00657767j -0.00336742+0.00392773j 0.00998484-0.00589348j 0.00174899-0.00578107j 0.00151319-0.00659085j -0.0064232+0.0253225j 0.000669498-0.0164004j -0.000999569-0.00424536j -0.00267278-0.00134416j -0.0287481+0.0126984j 0.00218594+0.00283811j -0.00886311+0.0128807j 0.00534661+0.00362472j 0.00310641-9.28986e-05j -0.0203515-0.00595737j 0.0136506+0.00784799j 0.0105162-0.00961699j -0.0134997+0.00834452j -0.0105612-0.0043555j 0.00472717+0.0091711j -0.013761+0.00170204j 0.00550318+0.0116676j -0.00565557-0.00346345j 0.00704301+0.00419309j 
