-0.0072623-0j 0.0528373-0j -0.00085587-0j 0.0117731-0j -0.000765513-0j -0.000524111-0j 0.00638071-0j 0.00161773-0j 0.00582477-0j -7.56489e-05-0j -7.13225e-05-0j 0.00147163-0j 0.000981089-0j 0.000174344-0j 0.000594488-0j -3.15204e-06-0j 0.000213155-0j 8.67168e-05-0j 1.62605e-05-0j 1.77939e-05-0j 1.40918e-06-0j 5.12957e-08-0j -0.00689622-0j 0.0497803-0j -0.000798082-0j 0.0109782-0j -0.000703842-0j -0.000667723-0j 0.00586667-0j 0.0014874-0j 0.00524731-0j 0.00359259-0j -6.81492e-05-0j 0.00132574-0j -8.79803e-05-0j 0.000157059-0j -3.38636e-05-0j 0.00121023-0j 0.000518545-0j 0.000488889-0j 0.000185926-0j -5.18429e-06-0j 0.00012395-0j 1.41833e-05-0j 0.000123518-0j 2.1606e-05-0j 2.06944e-05-0j 1.09558e-05-0j 1.15886e-06-0j 1.44757e-06-0j 9.03797e-08-0j 2.79724e-09-0j 
-0.000214157-0j -3.30451e-05-0j 0.00485112-0j -3.64288e-06-0j -2.25741e-05-0j -1.54554e-05-0j 0.00076703-0j -3.32548e-07-0j -3.64288e-06-0j -0.0407783-0j 0.00040426-0j 8.75249e-05-0j -3.03574e-07-0j -2.68324e-08-0j -0.00679638-0j -0.0103378-0j 8.42209e-06-0j -0.00148696-0j -1.99997e-09-0j -5.00601e-05-0j 2.77427e-08-0j -3.93706e-12-0j -0.000203362-0j -3.11333e-05-0j 0.00452358-0j -3.39692e-06-0j -2.07555e-05-0j -1.96904e-05-0j 0.000705236-0j -3.05757e-07-0j -3.28173e-06-0j -2.24685e-06-0j -0.0367356-0j 7.88478e-05-0j 0.000498677-0j -2.41722e-08-0j -9.986e-07-0j -3.74475e-07-0j -0.00592818-0j 5.87697e-05-0j 7.34621e-06-0j -0.00847202-0j -2.54798e-08-0j -1.74448e-09-0j -0.000698643-0j -0.00150286-0j 6.12184e-07-0j -0.000124805-0j -1.18697e-10-0j -3.25461e-06-0j 1.52438e-09-0j -1.90785e-13-0j 
4.37146e-05-0j -0.000642842-0j -0.00049254-0j 0.00330563-0j 4.60792e-06-0j 3.15483e-06-0j 0.00742187-0j 0.00092476-0j -7.08667e-05-0j -8.75249e-05-0j -4.1045e-05-0j -0.0395044-0j 0.000275469-0j 0.000150282-0j 0.00139022-0j -7.31272e-06-0j -0.0116493-0j -0.00703215-0j 1.87342e-05-0j -0.00294814-0j -0.000194296-0j 1.03725e-07-0j 4.1511e-05-0j -0.000605649-0j -0.000459284-0j 0.00308244-0j 4.2367e-06-0j 4.01929e-06-0j 0.00682395-0j 0.000850259-0j -6.3841e-05-0j -4.3709e-05-0j -7.88478e-05-0j -0.035588-0j -5.06313e-05-0j 0.000135383-0j 2.03838e-07-0j 0.000339807-0j 0.00121262-0j 0.000568663-0j -0.0101611-0j -9.01284e-06-0j 7.08549e-05-0j 1.6341e-05-0j -0.00666611-0j 0.000101315-0j -0.00170543-0j -0.00180878-0j 1.67128e-06-0j -0.000320567-0j -1.49671e-05-0j 6.46731e-09-0j 
0.000432752-0j -0.00314852-0j 5.10004e-05-0j -0.000701544-0j -0.00658531-0j 3.12312e-05-0j -0.00038022-0j -9.63989e-05-0j 0.0501074-0j 4.50784e-06-0j -0.00123135-0j -8.7693e-05-0j 0.016938-0j -1.03889e-05-0j 0.00511406-0j 1.87827e-07-0j 0.00183366-0j -5.16736e-06-0j 0.00013988-0j -1.06032e-06-0j -8.39712e-08-0j -3.05666e-09-0j 7.11985e-06-0j -5.13946e-05-0j 8.23962e-07-0j -1.13342e-05-0j -0.000104904-0j 6.89376e-07-0j -6.05691e-06-0j -1.53564e-06-0j 0.000782085-0j -3.70909e-06-0j 7.03592e-08-0j -1.36873e-06-0j -1.3113e-05-0j -1.62153e-07-0j -1.52115e-05-0j 0.000180378-0j -5.35361e-07-0j 0.000146238-0j -1.91955e-07-0j -7.72692e-07-0j 3.70763e-05-0j -1.46432e-08-0j 1.84098e-05-0j -2.23067e-08-0j 3.0844e-06-0j -1.1311e-08-0j 1.72723e-07-0j -1.49452e-09-0j -9.33105e-11-0j -2.88795e-12-0j 
0.000265006-0j 4.08913e-05-0j -0.00600296-0j 4.50784e-06-0j 2.79341e-05-0j 1.91251e-05-0j -0.000949151-0j 4.11507e-07-0j 4.50784e-06-0j 0.0504606-0j -0.000500246-0j -0.000108307-0j 3.75653e-07-0j 3.32034e-08-0j 0.0084101-0j 0.0127924-0j -1.04218e-05-0j 0.00184002-0j 2.47483e-09-0j 6.19462e-05-0j -3.43298e-08-0j 4.87187e-12-0j 4.36e-06-0j 6.67486e-07-0j -9.69838e-05-0j 7.28287e-08-0j 4.44991e-07-0j 4.22155e-07-0j -1.512e-05-0j 6.55533e-09-0j 7.03592e-08-0j 4.81716e-08-0j 0.000787598-0j -1.69047e-06-0j -1.06915e-05-0j 5.18244e-10-0j 2.14096e-08-0j 8.02861e-09-0j 0.000127098-0j -1.26e-06-0j -1.575e-07-0j 0.000181637-0j 5.46277e-10-0j 3.74011e-11-0j 1.49787e-05-0j 3.22209e-05-0j -1.3125e-08-0j 2.67577e-06-0j 2.54482e-12-0j 6.97777e-08-0j -3.26821e-11-0j 4.09036e-15-0j 
-2.57591e-06-0j 7.61571e-05-0j -3.03574e-07-0j -0.00120226-0j -2.71524e-07-0j -1.859e-07-0j 9.19685e-06-0j 0.0103856-0j 8.39553e-06-0j -2.68324e-08-0j -2.52978e-08-0j -0.000150282-0j -0.000100188-0j -0.0382328-0j 8.56865e-07-0j -1.11802e-09-0j 0.00136843-0j -8.85545e-06-0j -0.0148797-0j -0.00390212-0j -0.00326735-0j -0.000420595-0j -2.44606e-06-0j 7.17509e-05-0j -2.83076e-07-0j -0.00112108-0j -2.4965e-07-0j -2.36839e-07-0j 8.45593e-06-0j 0.00954895-0j 7.56321e-06-0j 5.17818e-06-0j -2.41722e-08-0j -0.000135383-0j -3.12062e-08-0j -0.0344424-0j -1.20113e-08-0j -0.000123587-0j 7.47406e-07-0j 7.04661e-07-0j 0.00119362-0j -1.83885e-09-0j 0.000795745-0j -0.0129789-0j -1.26136e-05-0j 3.11419e-08-0j -0.00453819-0j 7.03346e-05-0j -0.00268697-0j -0.00132466-0j -0.00042185-0j -3.6789e-05-0j 
-0.000252439-0j 0.00183664-0j -2.97502e-05-0j 0.000409234-0j 0.00384143-0j -1.82182e-05-0j 0.000221795-0j 5.62327e-05-0j -0.0292293-0j -2.62957e-06-0j 0.000718287-0j 5.11543e-05-0j -0.00988052-0j 6.06022e-06-0j -0.0029832-0j -1.09566e-07-0j -0.00106963-0j 3.01429e-06-0j -8.15967e-05-0j 6.18518e-07-0j 4.89832e-08-0j 1.78305e-09-0j 0.000466968-0j -0.00337081-0j 5.4041e-05-0j -0.000743371-0j -0.00688033-0j 4.5214e-05-0j -0.000397253-0j -0.000100718-0j 0.0512944-0j -0.000243267-0j 4.61463e-06-0j -8.97705e-05-0j -0.000860041-0j -1.06351e-05-0j -0.000997676-0j 0.0118304-0j -3.51126e-05-0j 0.00959126-0j -1.25897e-05-0j -5.06784e-05-0j 0.00243172-0j -9.60401e-07-0j 0.00120744-0j -1.46302e-06-0j 0.000202296-0j -7.41855e-07-0j 1.13283e-05-0j -9.80205e-08-0j -6.11994e-09-0j -1.89412e-10-0j 
-5.40941e-05-0j 0.000795476-0j 0.000609487-0j -0.00409051-0j -5.70201e-06-0j -3.9039e-06-0j -0.0091841-0j -0.00114433-0j 8.7693e-05-0j 0.000108307-0j 5.07906e-05-0j 0.0488842-0j -0.000340876-0j -0.000185964-0j -0.00172031-0j 9.04902e-06-0j 0.0144152-0j 0.00870184-0j -2.31824e-05-0j 0.00364813-0j 0.000240429-0j -1.28354e-07-0j -8.89981e-07-0j 1.29849e-05-0j 9.84687e-06-0j -6.60863e-05-0j -9.08333e-08-0j -8.6172e-08-0j -0.000146303-0j -1.82293e-05-0j 1.36873e-06-0j 9.37105e-07-0j 1.69047e-06-0j 0.000762994-0j 1.08552e-06-0j -2.90257e-06-0j -4.37022e-09-0j -7.28533e-06-0j -2.59982e-05-0j -1.21919e-05-0j 0.000217851-0j 1.93232e-07-0j -1.5191e-06-0j -3.50345e-07-0j 0.000142919-0j -2.17216e-06-0j 3.65639e-05-0j 3.87796e-05-0j -3.58317e-08-0j 6.87284e-06-0j 3.2089e-07-0j -1.38657e-10-0j 
-0.000154587-0j -2.38532e-05-0j 0.00350173-0j -2.62957e-06-0j -1.62949e-05-0j -1.11563e-05-0j 0.000553671-0j -2.40046e-07-0j -2.62957e-06-0j -0.0294353-0j 0.00029181-0j 6.31788e-05-0j -2.19131e-07-0j -1.93686e-08-0j -0.00490589-0j -0.00746221-0j 6.07938e-06-0j -0.00107334-0j -1.44365e-09-0j -3.61353e-05-0j 2.00257e-08-0j -2.84192e-12-0j 0.000285958-0j 4.37782e-05-0j -0.00636086-0j 4.7766e-06-0j 2.91855e-05-0j 2.76878e-05-0j -0.000991673-0j 4.29943e-07-0j 4.61463e-06-0j 3.15942e-06-0j 0.051656-0j -0.000110872-0j -0.000701219-0j 3.399e-08-0j 1.40419e-06-0j 5.2657e-07-0j 0.00833595-0j -8.26394e-05-0j -1.03299e-05-0j 0.011913-0j 3.58286e-08-0j 2.45302e-09-0j 0.000982402-0j 0.00211326-0j -8.60827e-07-0j 0.000175495-0j 1.66907e-10-0j 4.57649e-06-0j -2.14351e-09-0j 2.68273e-13-0j 
3.18752e-06-0j -9.42396e-05-0j 3.75653e-07-0j 0.00148772-0j 3.35994e-07-0j 2.3004e-07-0j -1.13805e-05-0j -0.0128516-0j -1.03889e-05-0j 3.32034e-08-0j 3.13044e-08-0j 0.000185964-0j 0.000123976-0j 0.0473106-0j -1.06032e-06-0j 1.38347e-09-0j -0.00169334-0j 1.09581e-05-0j 0.0184127-0j 0.00482862-0j 0.00404314-0j 0.00052046-0j 5.24426e-08-0j -1.53831e-06-0j 6.06906e-09-0j 2.40355e-05-0j 5.3524e-09-0j 5.07774e-09-0j -1.81292e-07-0j -0.000204726-0j -1.62153e-07-0j -1.11018e-07-0j 5.18244e-10-0j 2.90257e-06-0j 6.69051e-10-0j 0.000738433-0j 2.57518e-10-0j 2.64967e-06-0j -1.60241e-08-0j -1.51077e-08-0j -2.55907e-05-0j 3.94242e-11-0j -1.70605e-05-0j 0.000278264-0j 2.70431e-07-0j -6.67671e-10-0j 9.72971e-05-0j -1.50795e-06-0j 5.76077e-05-0j 2.84002e-05-0j 9.04432e-06-0j 7.88743e-07-0j 
3.15549e-05-0j -0.000464028-0j -0.000355534-0j 0.00238613-0j 3.32618e-06-0j 2.27728e-06-0j 0.00535739-0j 0.000667527-0j -5.11543e-05-0j -6.31788e-05-0j -2.96278e-05-0j -0.0285158-0j 0.000198844-0j 0.000108479-0j 0.00100351-0j -5.2786e-06-0j -0.00840889-0j -0.00507608-0j 1.3523e-05-0j -0.00212808-0j -0.00014025-0j 7.48729e-08-0j -5.8371e-05-0j 0.000851638-0j 0.000645825-0j -0.00433439-0j -5.95746e-06-0j -5.65175e-06-0j -0.00959555-0j -0.0011956-0j 8.97705e-05-0j 6.14617e-05-0j 0.000110872-0j 0.0500423-0j 7.11955e-05-0j -0.00019037-0j -2.86629e-07-0j -0.000477821-0j -0.00170514-0j -0.000799629-0j 0.0142882-0j 1.26735e-05-0j -9.96332e-05-0j -2.2978e-05-0j 0.0093736-0j -0.000142465-0j 0.00239811-0j 0.00254343-0j -2.35009e-06-0j 0.000450768-0j 2.10462e-05-0j -9.09405e-09-0j 
-1.85939e-06-0j 5.49731e-05-0j -2.19131e-07-0j -0.000867834-0j -1.95997e-07-0j -1.3419e-07-0j 6.63863e-06-0j 0.00749675-0j 6.06022e-06-0j -1.93686e-08-0j -1.82609e-08-0j -0.000108479-0j -7.23195e-05-0j -0.0275979-0j 6.18518e-07-0j -8.07026e-10-0j 0.000987783-0j -6.3922e-06-0j -0.0107408-0j -0.0028167-0j -0.0023585-0j -0.000303602-0j 3.43954e-06-0j -0.000100893-0j 3.9805e-07-0j 0.00157641-0j 3.51047e-07-0j 3.33032e-07-0j -1.18904e-05-0j -0.0134273-0j -1.06351e-05-0j -7.28133e-06-0j 3.399e-08-0j 0.00019037-0j 4.38809e-08-0j 0.0484315-0j 1.68898e-08-0j 0.000173783-0j -1.05097e-06-0j -9.90864e-07-0j -0.00167841-0j 2.58571e-09-0j -0.00111894-0j 0.0182504-0j 1.77367e-05-0j -4.37904e-08-0j 0.00638141-0j -9.89015e-05-0j 0.0037783-0j 0.00186267-0j 0.000593188-0j 5.17311e-05-0j 
0.00162024-0j 0.000250008-0j 0.000190947-0j 2.75608e-05-0j -0.0414673-0j 0.000116931-0j -0.00733045-0j -0.000610871-0j 2.75608e-05-0j 1.68775e-05-0j 1.59122e-05-0j 3.4451e-06-0j 2.29673e-06-0j 2.03005e-07-0j 2.81291e-06-0j 7.03229e-07-0j 3.31505e-07-0j 2.03005e-07-0j 1.51311e-08-0j 2.07191e-08-0j 1.09199e-09-0j 2.97865e-11-0j 0.00153856-0j 0.000235544-0j 0.000178054-0j 2.56999e-05-0j 0.000157029-0j -0.0361701-0j 2.77591e-05-0j 2.31326e-06-0j -0.00602835-0j 1.69989e-05-0j -0.00369159-0j -0.000753543-0j 1.96286e-05-0j -4.4403e-05-0j 7.55507e-06-0j 2.83315e-06-0j 2.45358e-06-0j 2.31326e-06-0j 2.89157e-07-0j 1.15663e-06-0j 1.92771e-07-0j 1.31982e-08-0j 2.89157e-07-0j 1.02232e-07-0j 2.40964e-08-0j 1.70387e-08-0j 8.98021e-10-0j 1.34703e-09-0j 6.00015e-11-0j 1.44341e-12-0j 
