-0.0145932-0j 0.996833-0j -0.00149542-0j 0.102149-0j 0.101102-0j -8.84741e-05-0j -0.00594422-0j -0.00600582-0j -8.75666e-05-0j -0.000861436-0j 0.0103603-0j -0.000502504-0j -0.00516862-0j 0.102037-0j 0.00604349-0j -6.34507e-06-0j -0.000696145-0j 0.00837236-0j -0.00301503-0j -0.00417687-0j 0.0824584-0j 0.0595216-0j -3.70129e-06-0j -5.12759e-06-0j 
-0.000502504-0j -0.0671844-0j 0.000100788-0j 0.0032213-0j 0.00348135-0j -2.79005e-06-0j 0.0298307-0j 0.0276024-0j -3.01528e-06-0j -0.00846152-0j -0.00069826-0j 0.00976413-0j 0.000348354-0j -0.00687708-0j 0.000805754-0j 4.27645e-07-0j 0.00349356-0j 0.000288295-0j -0.000401981-0j -0.000143827-0j 0.00283938-0j 0.00793578-0j -4.93479e-07-0j -1.76564e-07-0j 
0.0291119-0j 0.000855217-0j -0.0118015-0j 0.00193965-0j 0.00209623-0j 0.000491747-0j -0.000250686-0j -0.00023196-0j 0.000531444-0j -0.00336356-0j -0.000849779-0j 0.00388137-0j -0.0835739-0j 4.35442e-05-0j 0.000980598-0j -0.000100671-0j 0.00138873-0j 0.000350853-0j 0.0964398-0j 0.0345057-0j -1.79784e-05-0j -5.02476e-05-0j 0.000116169-0j 4.15647e-05-0j 
0.000139311-0j -5.85331e-09-0j -3.90159e-05-0j -9.84664e-06-0j -9.8703e-06-0j -0.0225939-0j 2.32149e-07-0j 2.31593e-07-0j -0.0226482-0j -1.15174e-07-0j 2.76432e-06-0j -9.38924e-06-0j 2.87322e-09-0j 2.93246e-10-0j 0.000225353-0j 0.00220963-0j 6.64559e-06-0j -0.000159502-0j 2.34231e-07-0j -1.65786e-07-0j -1.69204e-08-0j 2.39061e-08-0j 0.180134-0j -0.127497-0j 
-0.000696145-0j 0.0475523-0j -7.13367e-05-0j 0.00487287-0j 0.00482289-0j -4.22051e-06-0j 0.041326-0j 0.0417542-0j -4.17723e-06-0j 0.00598896-0j 0.00049422-0j 0.00349356-0j -0.000246561-0j 0.00486751-0j 0.000288295-0j -3.02682e-07-0j -0.00965395-0j -0.000796662-0j -0.000143827-0j 0.000397445-0j -0.00784622-0j 0.00283938-0j -1.76564e-07-0j 4.8791e-07-0j 
0.0403302-0j -0.000605312-0j 0.00835294-0j 0.00293411-0j 0.00290402-0j 0.000743866-0j -0.000347288-0j -0.000350887-0j 0.000736237-0j 0.00238069-0j 0.000601463-0j 0.00138873-0j 0.0591526-0j -3.08201e-05-0j 0.000350853-0j 7.12538e-05-0j -0.00383757-0j -0.000969533-0j 0.0345057-0j -0.0953515-0j 4.96806e-05-0j -1.79784e-05-0j 4.15647e-05-0j -0.000114858-0j 
-0.00411618-0j -0.0119499-0j -0.000852519-0j 0.0579242-0j 0.0573301-0j -7.59205e-05-0j 3.54449e-05-0j 3.58123e-05-0j -7.51418e-05-0j -0.000242978-0j 0.0118739-0j -0.000141737-0j 3.08201e-05-0j 0.0582346-0j 0.00692643-0j -7.27231e-06-0j 0.00039167-0j -0.0191402-0j 1.79784e-05-0j -4.96806e-05-0j -0.0938716-0j 0.0339702-0j -4.24218e-06-0j 1.17227e-05-0j 
-0.00960639-0j 7.13367e-05-0j 0.0460675-0j -0.000698887-0j -0.000691719-0j 0.00835184-0j -0.00596489-0j -0.00602671-0j 0.00826618-0j 0.0826441-0j 0.00331714-0j 0.048209-0j 3.55879e-05-0j 3.63218e-06-0j 0.001935-0j 0.00120633-0j -0.133219-0j -0.00534709-0j 2.07596e-05-0j -5.73662e-05-0j -5.85492e-06-0j 2.11877e-06-0j 0.000703693-0j -0.00194455-0j 
0.0014758-0j 0.000700512-0j -0.0144077-0j -0.0103303-0j -0.0102243-0j 0.0394566-0j -4.17723e-06-0j -4.22051e-06-0j 0.0390519-0j 8.71164e-05-0j 0.0998163-0j 5.08179e-05-0j -3.63218e-06-0j 7.17052e-05-0j 0.0582262-0j 0.0116882-0j -0.000140428-0j -0.1609-0j -2.11877e-06-0j 5.85492e-06-0j -0.000115586-0j 4.18281e-05-0j 0.0068181-0j -0.0188408-0j 
0.00528337-0j 0.00375098-0j 0.000541407-0j 0.000384377-0j 0.000380435-0j 3.20315e-05-0j 0.00215207-0j 0.00217437-0j 3.17029e-05-0j 0.000311877-0j 3.89846e-05-0j 0.000181928-0j 0.00187126-0j 0.000190985-0j 2.2741e-05-0j 2.29719e-06-0j -0.000502733-0j -6.28416e-05-0j 0.00109157-0j -0.0030164-0j -0.00030786-0j 0.000111408-0j 1.34003e-06-0j -3.70298e-06-0j 
0.00381374-0j -0.00529958-0j -0.000764929-0j 0.0002541-0j 0.000274613-0j 2.1175e-05-0j 0.00155344-0j 0.00143741-0j 2.28844e-05-0j -0.000440636-0j -5.50796e-05-0j 0.00050847-0j -0.00264382-0j -0.000269834-0j 6.35588e-05-0j -3.24559e-06-0j 0.000181928-0j 2.2741e-05-0j 0.00305082-0j 0.00109157-0j 0.000111408-0j 0.000311373-0j 3.74524e-06-0j 1.34003e-06-0j 
-8.12645e-05-0j -4.6952e-07-0j -0.00312963-0j -5.41445e-06-0j -5.85154e-06-0j -0.0124239-0j 1.37628e-07-0j 1.27348e-07-0j -0.0134268-0j 9.38924e-06-0j -0.000225353-0j -1.08347e-05-0j -2.34231e-07-0j -2.39061e-08-0j 0.000260045-0j -0.180134-0j -3.87659e-06-0j 9.30428e-05-0j 2.70289e-07-0j 9.67082e-08-0j 9.87024e-09-0j 2.75863e-08-0j 0.207865-0j 0.074373-0j 
-0.00011258-0j 3.3232e-07-0j 0.00221512-0j -8.19045e-06-0j -8.10644e-06-0j -0.0187937-0j 1.90663e-07-0j 1.92639e-07-0j -0.0186009-0j -6.64559e-06-0j 0.000159502-0j -3.87659e-06-0j 1.65786e-07-0j 1.69204e-08-0j 9.30428e-05-0j 0.127497-0j 1.07124e-05-0j -0.00025711-0j 9.67082e-08-0j -2.67239e-07-0j -2.7275e-08-0j 9.87024e-09-0j 0.074373-0j -0.205519-0j 
