0.0119103-0.00828938j -0.0174291-0.00779058j -0.028166-0.0076089j -0.00639775-0.0214289j 0.0176904+0.0354691j 0.0136137-0.0224001j -0.0235843-0.023233j -0.00795839-0.0306756j 0.000354203-4.28527e-05j -0.00893352+0.00407134j 0.0279931-0.0130752j -0.0297715+0.00197272j -0.0151546+0.0030528j 0.000205068+0.0129346j -0.0118064-0.0060369j -0.00044147-0.00169322j 0.0005209-0.0230623j 0.0175564+0.0177619j -0.00292725-0.00835015j -0.0111533+0.0181025j 0.0111155+0.00788279j -0.00242969+0.00627483j -0.0012158-0.0111023j 0.0158472-0.00246751j 0.00759985-0.00260498j -0.00531123+0.00409701j -0.0046742+0.00492195j -0.00258621+0.00666775j 0.00103586-0.00773692j -0.00970528+0.0140088j 0.0203652+0.00150388j 0.00112842+0.0151266j 0.00745198+0.00533811j -0.0159931-0.00125647j 0.00990141-0.00709707j -0.00512456-0.0122546j -0.013568-0.00167032j 0.0233981-0.00555196j 0.0289365+0.0252816j -0.00432671-0.010645j 0.0140304-0.0180845j -0.00681267+0.0225498j -0.00308779+0.0181626j 0.0142517-0.0025824j 0.003846-0.0264862j -0.00658792-0.0277452j 0.00715358-0.0207375j -0.0313333-0.00934615j 7.6721e-05-0.00843084j -0.0287807-0.00117453j 0.00100573-0.0299208j 0.0065396-0.019043j 0.00839814+0.0198409j -0.0113244-0.00669003j -0.0008236-0.00446969j -0.043139-0.00680656j 0.00221459-0.00293781j -0.00904475-0.0195969j -0.00402319-0.00189941j 0.0248684+0.0151893j 0.00316363+0.0112214j 0.0144835-9.50551e-05j -0.0143778-0.0138563j -0.0150443+0.0173962j -0.00695621+0.012916j 0.0354925-0.0223436j 0.0146337-0.024829j 0.0741284+0.040495j 0.00734064+0.00279447j 0.0601808+0.0174799j -0.00407066+0.00731469j -0.0105459-0.00409656j 
-0.0169012-0.000228276j -0.00875145+0.00826647j 0.0219596-0.0159451j -0.00500893+0.0170267j -0.0156127+0.0558047j 0.0161279+0.00274552j 0.0181172-0.0106256j 0.00787073+0.0232641j 0.00444991+0.0271573j -0.00133408-0.00307626j 0.00342867-0.0146401j 0.0279256-0.0225527j 0.00416359+0.00810268j 0.0153057+0.00472188j 0.0175196-0.00640022j 0.0049961-0.00653178j 0.00936019-0.0134841j -0.00292796-0.0162653j -0.00274819-0.00673145j -0.00392604-0.00511164j -0.0213815-0.00541746j -0.0203203-0.0102775j 0.00471275-0.00103095j -0.0242514+0.00415008j 0.0299845+0.0490005j -0.00757001+0.00325553j -0.0154565+0.0144855j 0.0133374+0.00066813j -0.00146211+0.0047669j -0.0010592+0.0105212j -0.0443563-0.0132512j -0.0104961-0.00124705j 0.00485934-0.0241574j -0.0135026+0.00981163j -0.0121558-0.012893j 0.031904+0.00784133j -0.0303455-0.0197912j -0.00744598+0.0382243j 0.00131524+0.0266291j -0.0101046+0.0215626j 0.0424405+0.00148702j -0.00473772+0.00763954j -0.01177-0.0125488j -0.0142744-0.0292763j -0.0272189-0.0371189j -0.0247612+0.0232572j 0.0238278-0.00851682j -0.0346934-0.0138697j 0.00803793+0.00212746j 0.0415166+0.0279146j -0.0301104-0.00374771j -0.0241544+0.041332j 0.0555759+0.022369j 0.0489606+0.000787213j 0.045139+0.0101378j 0.0399669+0.00412573j -0.0223874-0.0239247j -0.0068863+0.000632053j 0.000913423+0.0123297j 0.0672864-0.031034j 0.0608979+0.0172011j -0.00679236-0.00501986j 0.02845+0.0229829j 0.00508748+0.0120445j -0.0107982+0.0518163j 0.0108785+0.00265838j -0.0160124+0.0232079j 0.00114399-0.0132646j 0.00193222-0.0246679j -0.0259919-0.0250584j 0.00309511+0.00483145j 0.0049347-0.00633004j 
-0.0153378+0.00608867j 0.000688834+0.00751994j 0.00796227-0.0154315j -0.0077688+1.17667e-05j -0.0216332+0.0321411j 0.0140853-0.000188375j 0.0226609+0.0166484j -0.0227902+0.00843285j -0.00826987+0.00962043j -0.00177016-0.00588501j 0.00767905-0.00892782j 0.00540397-0.0285894j -0.0148291+0.000616385j -0.0119964-0.0110772j 0.0276747-0.00420191j 0.00574774-0.00438515j 0.0151309+0.00238988j 0.0114235-0.00833185j 0.018075+0.012561j 0.00810057-0.00227337j -0.00438958+0.00828344j -0.000867679-0.00523284j -0.011128+0.0298054j 0.00512458+0.0254434j -0.0106389+0.0179087j 0.012572+0.0227064j -0.00213509+0.0162571j 0.0270566-0.00328465j 0.00696105-0.0171233j 0.00360481+0.00314767j 0.0366527+0.017927j 0.0432353+0.00898692j -0.0314195+0.00122627j 0.0407617+0.00919494j -0.0176217+0.00521253j -0.0278655+0.00783907j 0.0324451-0.0106869j 0.020882+0.0105977j -0.0019137+0.0141938j -0.00778721-0.00640505j -0.00348938+0.0139318j 0.00596544+0.0303583j -0.00683727-0.0119109j 0.00453863-0.0316428j -0.00284557+0.0152395j -0.00956209+0.0394584j 0.0044194-0.0110644j 0.0223539+0.0135106j 0.0514666-0.00826223j -0.039461-0.0245645j 0.0215207-0.00746713j 0.00677254-0.018763j -0.00188752-0.0123732j -0.0382454-0.00226184j -0.00737842+0.00155997j -0.0108537+0.0265814j -0.00202812-0.0298739j -0.012752+0.0131504j 0.020373-0.0143049j 0.0138504-0.00187131j 0.0237791+0.0154165j -0.00746487-0.00153867j 0.0284635+0.00368348j 0.00906838+0.0157702j 0.0025623+0.0243218j -0.0205293+0.00878301j 0.00113551+0.0142251j 0.0045055+0.0140763j -0.0066777-0.0197764j 0.00470254-0.0166269j 0.00637812+0.00504996j -0.00459299+0.003194j 
0.012077-0.00340129j 0.00195431-0.00862524j -0.00589039-0.000220334j 0.0030439-0.00458312j 0.00729682-0.036648j -0.00404733-0.00168776j -0.0183915-0.00065939j 0.0115665+0.00787734j 0.00736015-0.0148436j 0.0129523+0.000272987j -0.00714227+0.0181837j 0.00196566+0.015856j -0.0106316+0.00467105j 0.024468-0.00137257j -0.0224388-0.000775186j 0.0159434-0.00911795j 0.00164914-0.00988738j -0.0116047-0.0139359j -0.0304876+0.00506828j 0.00463718-0.0111936j 0.0120979+0.00307566j 0.0265508+0.00823464j -0.0139061-0.00638027j -0.022988+0.0288976j -0.00392028+0.0140665j 0.0136775+0.0299401j 0.0252583-0.00821128j -0.00952963+0.0116103j 0.0135289+0.0175874j -0.000982514-0.0147341j 0.0104829-0.0179933j -0.0206261+0.0173984j -0.00584787+0.0155212j 0.0109946-0.00414682j 0.015884+0.00605214j 0.00302922+0.0123147j -0.016793-0.00162638j 0.00993222-0.00364818j -0.0125065-0.0122319j 0.00678914-0.00219401j -0.00398063+0.00267868j -0.00584714-0.0271529j 0.00486316+0.0358994j 0.00482417+0.021249j 0.0300132+0.0136824j 0.00341043-0.0371192j -0.0170271+0.0180134j 0.0133318-0.0236776j 0.00129944+0.0182286j 0.00936239-0.0105046j 0.0163547-0.00164622j -0.023263+0.00856271j -0.0310427-0.0296865j 0.0191556+0.00164932j -0.0266447+0.0169229j -0.0252628-0.00682734j -0.0433476-0.00139673j -0.0153325+0.00541342j 0.00816828-0.0202657j -0.0130712+0.00614484j -0.0315985-0.00524813j -1.33502e-05-0.00565101j -0.0338497-0.0149267j -0.0124973-0.0129044j -0.00345159-0.00222173j 0.0129135-0.000941742j -0.0128532-0.0430697j -0.00526163-0.00644448j 0.0173105-0.00141922j 0.0164603-0.00147681j -0.0034107-0.0111043j 0.000144146+0.00103275j 
0.00121188-0.000621107j 0.00528292-0.00475574j 0.00286341+0.0086217j 0.00312614-0.00767722j -0.00646318-0.0193778j -0.00992577+0.00520993j -0.00857339+0.00708249j 0.0103348-0.00221553j -0.0163234-0.0109268j -0.00243091+0.00149716j 0.00726003+0.0156771j -0.0107885+0.0154574j 0.0102015-0.00231791j 0.00607873+0.00244725j 0.000385992-0.00274117j 0.0112034+0.00206469j 0.0116163+0.0151593j 0.0259104+0.00256361j 0.00429214-0.012396j 0.005887+0.00411135j -0.0159185-0.0114996j 0.00208076-0.00660196j -0.0134324-0.000926424j 0.011468+0.0307429j 0.0142769+0.014327j 0.00558358+0.00584498j 0.0165456-0.00891861j -0.02301-0.0467363j 0.0168001+0.00815014j 0.00266846-0.00269092j 0.00144938-0.0218265j 0.019834+0.010506j -0.020389+0.00707876j 0.00694268+0.00997481j -0.00496127+0.00965404j 0.0131927-0.00969628j 0.00600744-0.0109546j -0.0027727-0.00342821j -0.00880791+0.0150934j -0.0102337-0.013534j 0.00907091+0.00486088j 0.00299684-0.0175794j 0.00846691-0.000432092j 0.00956731-0.00149996j 0.0190691+0.00401923j 0.010888-0.00693918j -0.0417387+0.00329508j 0.0108056+0.00999442j 0.0055306-0.0106801j 0.01515-0.0267462j -0.0272848+0.00538008j -0.00422192-0.0316918j -0.0246397-0.012281j -0.0179536-0.00139392j -0.0113882-0.00467941j 0.0142417-0.00391286j 0.0321399+0.00524079j 0.0251509+0.0100735j -0.0245733+3.12908e-05j -0.0176044-0.0216132j -0.00828109-0.0122783j -0.00389172+0.00430056j -0.0239498-0.00743956j -0.000596712+0.012537j -0.000812933-0.014156j 0.00161314+0.00507855j 0.0027435-0.00103143j -0.00461908+0.00100353j 0.00152098+0.00732939j -0.0077799+0.0165522j -0.00605032-0.000424037j 0.0054405-0.00111715j 
0.0068361+0.00210205j 0.00985605-0.00912219j 0.000388913+0.00623271j 0.00242527-0.0168656j -0.0196923-0.0418284j -0.000871281-1.21167e-05j -0.0239825+0.00183038j 0.0124276-0.0171434j -0.0147147-0.00872151j -0.00117778-0.0147439j -0.00153038-0.000817931j 0.00588842+0.0183592j 0.0218434+0.00946697j -0.0148984-0.0304453j -0.00169711+0.00127072j -0.0033211-0.000537597j -0.00881497+0.0256537j -0.028607+0.0304302j -0.00247335+0.0223399j 0.0104243+0.0168897j 0.0117671+0.0188554j 0.0239719+0.0206634j 0.0121924+0.0299624j -0.00189406+0.0019522j -0.021716-0.0173659j -0.0129705-0.004076j -0.0183646-0.0127129j 0.0308935+0.0023114j 0.0271707+0.00548795j -0.0155992+0.00179513j -0.00989438+0.0146538j -0.0124581-0.00330337j 0.0392169+0.0173367j 0.000135744+0.00237331j 0.0213301+0.0157476j -0.0103051+0.00740113j -0.0124689-0.0139928j 0.00924713-0.00806391j -0.00455165+0.00913754j -0.00696365-0.00861919j -0.00352445+0.00664076j 0.00365784-0.0343385j -0.00411464+0.016828j -0.0101537+0.0298735j 0.042206+0.0173753j 0.0211928-0.0165009j -0.0271006+0.00382454j 0.0196723+0.0098112j -0.0142479-0.0170527j -0.0112088-0.0134091j 0.0023529+0.00909592j -0.0374717-0.0171742j 0.013113+0.00266383j 0.00262005+0.0146354j -0.0100179-0.0197178j -0.00717285-0.0101754j -0.0488543+0.0125329j -0.013119-0.00752959j -0.0164814-0.0186492j 0.00782419-0.0240079j -0.0377965+0.00459564j -0.00706517+0.00089339j -0.0313504-0.0158943j -0.0139038-0.0092315j -0.00435173-0.027055j 0.0199868+0.00341167j -0.0176606-0.0292735j -0.00503224-0.00339984j 0.0102072+0.00205958j 0.00852192+0.00880083j -0.00641592-0.00650599j 0.00303853+0.0015943j 
0.00625453-0.013911j -0.012634+0.00315034j -0.021499+0.0198458j -0.0147412-0.0142834j 0.0441039+0.0020398j -0.0117852-0.00348919j -0.0245709-0.0209745j 0.00605316-0.0267585j -0.00910499-0.00215152j -0.00141498+0.00453735j 0.0191414-0.0207531j -0.0160384-0.00747522j 0.0267355+0.00885921j 0.0456039+0.0478324j -0.00872813-0.0187764j 0.0195622-0.00665825j 0.006717+0.00147562j 0.0158872+0.0427884j 0.00299445-0.00280627j 0.00935949+0.0138305j -0.0040359-0.0142253j -0.00527966+0.0174836j -0.0221179+0.00605245j -0.00513327+0.0243876j -0.0217518-0.0130545j -0.00401771+0.00970192j -0.0113994+0.00429635j -0.0427789+0.00541408j 0.037535+0.00707272j 0.0153506+0.0240463j 0.011289+0.0348534j -0.0028606+0.00579633j 0.034849+0.0301442j 0.00486066-0.0317711j -0.00275809-0.000163696j 0.0460506-0.0233098j -0.0249623+0.0209866j -0.0171006+0.0120139j 0.0251609-0.0238424j 0.0203832-0.00974806j 0.00438131-0.00355975j 0.0200896-0.0182106j 0.00560779+0.0233961j 0.0119478+0.0265553j -0.0313557-0.0452309j -0.00976716-0.0555267j -0.00389629-0.0115528j 0.0134701-0.0104343j -0.021062+0.00389951j -0.0115467+0.0819874j 0.00369736+0.00182841j 0.0149354+0.00509904j -0.0426592-0.00206489j 0.00291049-0.0133609j -0.0313062+0.0206898j 0.0118359-0.0346056j 0.0168492+0.0394336j 0.011968-0.0315327j 0.00671334-0.0158808j -0.0369674+0.063875j 0.00789323-0.0503542j 0.0134659-0.0295897j -0.0374219-0.0126901j 0.00522792-0.0147285j 0.00287177-0.0452356j -0.0376499-0.0205813j 0.000497045-0.00537448j 0.00881443+0.0052576j -0.0126328+0.0590806j 0.031813-0.000295545j -0.00727239-0.00957485j -0.00363182-0.00460068j 
0.00242408-0.00433005j -0.000471449+0.00308727j -0.00691837+0.000972527j 0.00547832-0.0121617j 0.0162328+0.00547182j 0.0169928+0.00599167j -0.0266125-0.00192153j -0.0155414-0.0175226j -0.000588854-0.00994984j -0.0167964+0.00829521j 0.0101091-0.0120071j -0.0281533+0.013404j -0.0139399-0.0138555j 0.00725431+0.000119826j 0.0134979-0.00204836j 0.0100002-0.0299552j -0.0212832-0.0293809j 0.020812-0.00199941j 0.0263531-0.00267776j -0.00584408+0.00390784j 0.00331505-0.0273418j -0.0173592+0.00323645j 0.0119565-0.00373445j 0.0082528+0.00802783j 0.00420447-0.0130388j 0.00303583+0.0065358j -0.010115-0.00254135j 0.0111347-0.000718953j 0.00758565-0.0133096j -0.018684+0.0111966j 0.00353392-0.00593707j -0.0139071+0.00313302j -0.0234987+0.0333874j -0.0223257+0.01811j 0.0017691+0.00044358j -0.0146202+0.0195016j -0.0243427+0.0156885j 0.00776739-0.0300267j 0.00737485-0.00982557j -0.00444129+0.0244227j 0.0064444+0.0146298j 0.000677733+0.0252424j -0.0241502-0.0124985j -0.025636-0.0238919j -0.00754128+0.00558876j 0.00829117-0.00878702j 0.0160005-0.00557295j -0.00286833-0.00926962j -0.00646426+0.0195911j -0.000280254+0.00420844j -0.00649697-0.0102632j 0.0143514-0.0018614j 0.0199145+0.0155922j 0.00121925-0.00833057j -0.00979873-0.0144514j -0.018027+0.00105801j -0.00599718+0.00283096j 0.0250408-0.0132819j -0.0121052+0.0135217j 0.00357122+0.0137814j -0.0236697-0.00581516j -0.000907785+0.00733454j -0.0295804+0.00805202j 0.00173126+0.0031623j -0.00763682-0.0158287j 0.0206175-0.00100452j 0.00235614+0.00193591j 0.0184067-0.00742631j 0.000209352+0.0180739j 0.0171127+0.000633365j -0.000378379+0.0023856j -0.0111768-0.00245019j 
0.00805311+0.00365658j 0.00300569-0.00313985j -0.0159442+0.00772816j -0.0045512+0.00160202j 0.0171926+0.00849351j -0.01623+0.0127876j -0.00956222-0.0161654j -0.0049845-0.00428182j -0.0169835+0.00499524j 0.00347029-0.00706394j 0.0263731+0.0034522j -0.0153626-0.00716434j 0.00459527+0.00255607j -0.0120459-0.00696369j -0.0287626-0.0125088j -0.0174144+0.00522496j -0.000724467+0.010496j 0.0121698-0.00756679j -0.00101342-0.0018392j -0.0220009+0.007794j -0.00159092-0.00431799j 0.0103213-0.000493656j 0.0161425-0.0219821j 0.010947+0.00820016j -0.00433264+0.00291304j -0.00191429+0.00476531j -0.0217866-0.00175191j 0.00530184-0.0101856j 0.00343829+0.00966357j 0.0161883+0.00463972j 0.00457406+0.0067404j 0.0237746+0.00565858j 0.00629711-0.0252468j 0.00156106-0.00487096j -0.0192297+0.0253629j 0.00481142+0.00168961j 0.0214004-0.00177259j 0.00825874-0.00705944j -0.0245683+0.0199843j 0.00229398-0.021686j 0.0160767+0.0151146j -0.00964258+0.00884876j 0.00699026-0.00806424j 0.0257791-0.00262492j 0.0117685+0.000726022j -0.00931873+0.019941j -0.00314081+0.0115767j -0.018507-0.000617319j -0.0200187-0.0366063j 0.0140579-0.0177063j 0.013259-0.0148149j -0.040823+0.00874712j 0.0514139-0.00401736j 0.0111339+0.0120297j 0.0410243-0.0281997j 0.0140417-0.0103836j 0.0049843-0.0246365j -0.00598771+0.00702299j -0.0226153+0.0285412j 0.00218773-0.0266334j 0.00873292+0.00569043j 0.0168921-0.0149829j -0.0162369-0.00595286j 0.0165163+0.012529j 0.00164989-0.0178416j -0.0025622+0.00204443j -0.000637125+0.0136807j 0.0291922-0.010637j -0.00810191+0.00683388j 0.00553517-0.0057025j -0.00561503+0.00223922j -0.0128261-0.00420367j 
0.00395346+0.00278441j 0.00293638-0.00616612j -0.00916419+0.00611838j -0.00402077-0.00359233j 0.00757591-0.00916819j -0.0100989+0.0311439j -0.00943777+0.00123235j 0.00893153-0.00715592j -0.01601+0.00207451j 0.00926934-0.00261851j -0.00161158+0.0196652j 0.0228266-0.0220209j 0.00813575-0.0147577j 0.0185331+0.00683535j 0.00343556-0.00772914j 0.0135915-0.00335908j -0.022317+0.00811576j 0.0077796+0.0220534j 0.00412303-0.0123983j 0.00746257-0.00666364j 0.0215614-0.00165204j 0.0117995-0.00569186j 0.00912615+0.00815362j -0.00902206+0.0297299j -0.0177947-0.00301149j 0.0294894-0.0128939j -0.00235761+0.0030664j -0.00456566-0.000767749j 0.00881129-0.00192403j -0.00913822+0.0105756j -0.00217845+0.00714364j -0.0171497+0.0126813j -0.000393148+0.0206017j -0.00990166+0.0124323j 0.00155927+0.0397984j 0.0241029+0.01521j 0.00538797+0.00633067j 0.0158781+0.00620839j -0.0135514+0.0109252j 0.0233642+0.00500733j -0.025687+0.0253598j 0.00573028-0.0360284j 0.0371026+0.0118565j -0.000252973+0.0300603j 0.0205118-0.00363079j -0.00502033-0.0181774j -0.00943681-0.0267401j 0.00728644-0.0155957j 0.00943731+0.000447903j -0.0232785+0.021924j 0.0423425+0.0137555j 0.0175822-0.0255057j 6.66202e-05-0.0251871j -0.0243527-0.0103926j -0.0110732+0.0166143j -0.0133915-0.00293419j -0.0249704-0.00114984j -0.0245696-0.0478173j 0.0296653-0.0192637j -0.0277269+0.00681227j -0.027217-0.00903111j -0.0259594-0.0242256j -0.0232015+0.0118831j 0.0161727-0.0329376j 0.0204761-0.0149691j -0.00147157+0.013976j -0.00851755+0.0311973j 0.0100806-0.0419239j -0.00262429+0.0124038j 0.0317149-0.00470442j -0.0031024-0.00624445j 0.00671578+0.00308512j 
-0.00386566+0.00204151j -0.00554841+0.00440399j -0.0120514-0.0076296j -0.0125591-0.0118194j 0.0124608+0.0152157j 0.0129071-0.0205592j 0.0104164-0.00735848j -0.0283514-0.0113402j -0.00814525+0.00323322j -0.00972394+0.00773559j 0.0174569-0.0150528j -0.0175045+0.0256116j -0.00908035+0.0010152j 0.000820832+0.0298812j 0.0104359-0.00740652j -0.025308-0.00686334j 0.0134835+0.00753451j -0.00265595+0.00508175j -0.0142791-0.0087058j 0.0105973+0.0101696j 0.00435175+0.0167027j -0.00667214+0.004366j -0.021432-0.0129644j 0.0213477-0.010622j 0.00760484+0.00751939j -0.00166526+0.0209924j 0.00583021-0.00520471j -0.000237847-0.0119441j -0.0050264-0.00753947j 0.00797413+0.018684j 0.0300802-0.0178489j 0.0190612+0.0137637j -0.0176112-0.0164634j -0.00202592+0.00313003j 0.00255735-0.00432327j -0.036773-0.00167123j 0.00701815+0.0174144j 0.00953293-0.000746561j 0.00573061+0.00947488j 0.00394907+0.000808042j -0.0251441-0.00803946j -0.0126866+0.0399193j -0.0134081-0.0122084j -0.024325-0.0209035j -0.0152684+0.00294637j -0.00894087+0.016899j 0.0293403-0.00670829j 0.00870361+0.0167979j 0.00845107-0.0162685j -0.034252-0.0133058j -0.00372369-0.0180893j 0.017618-0.0264109j 0.00763489+0.00931471j -0.0140129-0.0149936j 0.0134167-0.0339181j -0.0156099+0.0146152j 5.22572e-05-0.00729286j 0.0190781-0.00794961j -0.0192666-0.023115j -0.0023047-0.00863289j -0.00854535+0.00324452j 0.0101281-0.000840334j -0.0143707+0.00132089j 0.0165899-0.0222474j -0.0105173-0.0164036j 0.0169857+0.00750463j -0.00722269+0.0224959j 0.018073-0.00205277j -0.00155846+0.0143189j 0.017563-0.00264657j 0.00375533+0.00591327j -0.0124327+0.00175373j 
-0.00239066+0.00463401j 0.00820517-0.00561187j 0.0203609-0.000788861j 0.00226466-0.0131379j -0.00831068-0.0159657j 0.0108667+0.0202781j 0.00846988+0.0272642j 0.0178335-0.0225141j -0.0135809-0.00860425j -0.00184734-0.00320167j 0.00689151+0.0165202j -0.00176719-0.00140909j 0.018616-0.0154666j -0.0240045+0.0166884j -0.010027+0.014925j -0.00772835+0.00630661j 0.00658199+0.0240685j -0.0113932-0.000360961j -0.00268594-0.000817172j 0.00389316-0.0130208j -0.0152448+0.0224227j 0.015341-0.00624603j -0.0142716+0.00324449j -0.0141913-0.00873681j 0.00856146+0.00938226j -0.0143321-0.0122577j 0.00362511+0.000485166j -0.0109597-0.00405505j 0.010279+0.00893178j 0.00058693-0.00874979j 0.0086317+0.0232592j -0.013217-0.0105426j -0.0128472+0.0421311j 0.0176318-0.00361553j -0.028209+0.0273718j 0.0171332+0.030262j -0.00281843+0.00142836j -0.00507961-0.0177572j -0.0126725-0.0093984j -0.00172069+0.0152606j -0.00346868+0.0298376j 0.0103167-0.0127175j 0.0207682-0.00826053j -0.0208368-0.00511385j 0.0116938+0.0292524j 0.00403512+0.00609833j -0.0115663-0.00421435j 0.00825638-0.00428611j -0.015378+0.0224525j 0.0183232-0.0250518j -0.00616369-0.00211242j -0.0114449+0.0092432j 0.016127-0.00349812j 0.00402854-0.00722467j 0.0162851+0.00397638j -0.0136359+0.00609455j -0.00399413+0.0037282j 0.0184976-0.00799957j -0.0200087+0.0226358j -0.0117481+0.00383497j -0.0224258-0.00574812j -0.0214747-0.00780976j -0.0227436+0.0230976j -0.00280961+0.0117782j -0.00107144-0.00454705j 0.00665629+0.0018069j 0.0111662+0.010093j 0.000473201-0.0301745j -0.00317237-0.00452713j 0.00797749+0.00550741j 0.000386883-0.0051309j 0.0061112-0.0010019j 
-0.00524095+0.00549184j 0.00272613+0.00584875j 0.0266721+0.0121708j 0.00385876+0.0147591j -0.0303826-0.00762957j -0.0170002+0.00535724j -0.00772466+0.00276878j -6.44957e-05+0.00565702j -0.00476855+0.00236233j -0.00972981+0.00605391j -0.00578465+0.024292j 0.0121975-0.00974703j 0.0110099-0.00896171j -0.0184083-0.0118073j -0.00999452+0.00677697j 0.00343135+0.0128882j 0.022436-0.0181504j 0.00605165-0.0139397j 0.00917556-0.0184065j -0.00590829+0.00186111j -0.0102696-0.00355655j 0.0029405-0.0212782j 0.0119692+0.00321038j 0.00389789+0.0179044j -0.0183021-0.00424355j -0.0118374-0.00238085j -0.0091704-0.00252334j -0.0153809-0.00523338j -0.00327974+0.013903j -0.0036758+0.0236998j -0.0303652-0.0178635j -3.24697e-05+0.00560893j 0.0264707-0.00883017j 0.0124768-0.0181838j 0.00779629+0.0113946j -0.0101058+0.00283077j 0.000163785-0.00634934j -0.0158994+0.0113767j 0.0155332+0.00244377j 0.0152933-0.0147672j -0.00385615-0.0117672j 0.0224996-0.0281613j 0.0187729+0.0207789j -0.00471897+0.011554j 0.00874239-0.00996771j 0.0038658-0.0150986j -0.0260792-0.0224906j 0.00600567-0.000947124j 0.008141+0.00458791j 0.00433774+0.00666895j -0.0077766-0.00701743j -0.00382738-0.0290299j -0.0224226-0.0319844j 0.00666618-0.0228135j 0.00022084+0.000505634j 0.000300726-0.00221075j 0.0142224-0.0137085j -0.0106207-0.0189047j -0.00357112-0.0231089j -0.00588958+0.00905501j -0.0110423-0.00173171j -0.0225094+0.019016j 0.00985265+0.00372444j -0.00394255-0.00237376j -0.00544812+0.0211338j 0.00145048+0.00446803j 0.00293011+0.00580849j -0.0175231+0.0205549j 0.0093263-0.0067976j 0.00115594-0.00412839j 0.0115656+0.000597357j -0.00149262+0.00639436j 
0.00941555-0.00113408j -0.0023017-0.0084274j -0.0370907+0.000298685j -0.0012368-0.0176438j 0.0360278+0.00089838j -0.00464136+0.00394583j -0.0252557-0.00855614j 0.00726573-0.000862025j -0.0135265+0.00121913j -0.00172311-0.00248149j 0.00603614+0.00193984j -0.0194856+0.0033871j 0.0060134-0.0141221j 0.000414858-0.00269525j -0.0117876+0.0147911j -0.00731289-0.00409324j -0.00507876+0.00704953j 0.00703-0.000579831j 0.0213947-0.000274869j -0.0160059+0.0104012j 0.00508966+0.0161989j 0.0156616-9.78062e-05j 0.00638529-0.00475141j 0.000950623+0.00605712j -0.000540207-0.0103866j -0.00603682-0.00949271j 0.0232497+0.00343922j -0.00992234-0.0131034j 0.00547839+0.036934j -0.00766371-0.00802865j 0.0158925+0.0133211j -0.000979229+0.00925991j 0.00712204+0.0148453j 0.0159189-0.0119909j -0.000641198-0.00554238j 0.00112362+0.00623844j -0.00496286+0.00798759j 0.00975064-0.00863744j -0.00212446+0.00219222j 0.0190349-0.0100076j 0.00635775-0.0124776j 0.0103571-0.00417214j -0.000135257-0.00887224j -0.0112401+0.023006j 0.00579461+0.0371012j -0.00200019-0.0201168j 0.0111488+0.00848569j 0.0326037+0.0123084j 0.00723355+0.0186951j -0.00915929-0.00265348j 0.0205476+0.0130914j 0.0146252-0.00408567j -0.022751+0.00559517j 0.0137706+0.00678985j -0.00758588+0.0345831j -0.0174768+0.0072007j 0.0161396+0.00735432j -0.0164199+0.00964198j -0.00883846+0.0276183j -0.000462872+0.0292202j -0.0183492-0.00918631j 0.0155711+0.00129909j -0.0176706+0.00912759j -0.0463939-0.00678456j 0.000180701-0.0136707j 0.0219908-0.00887729j -0.00907241-0.00148503j 0.00542549-0.0169529j -0.0119262+0.0187408j 0.0114067+0.0117177j -0.00440489-0.00148494j -0.00437809-0.00559302j 
0.0097501-0.00724372j -0.00979877+0.000229437j -0.0271737+0.00942514j -0.0134389-0.0230118j 0.0430579+0.00201615j -0.0170587+0.00791225j -0.0128355-0.00940513j 0.0038831-0.0104795j 0.00158749+0.00669315j -0.00167438+0.00185649j 0.0103253-0.0154441j -0.0184919+0.000801033j -0.00647938+0.00206698j 0.000157196+0.0122252j -0.00914787+0.00646487j -0.010233+0.00731415j 0.0039131-0.000552266j 0.0156429+0.00930633j 0.0114547-0.0145252j -0.00814755+0.00952033j -0.00614719+0.00379171j 0.00220789+0.00208077j 0.00354811-0.00085154j 0.0254493-0.00187868j -0.00422454-0.00163816j 0.00306997-0.0079522j 0.00122675+0.0124558j 0.00749869-0.00565505j -0.0108022+0.0100786j 0.00364536-0.00979207j 0.0141995+0.0150789j -0.00173239+0.02057j 0.0205398-0.007337j -0.0109515-0.0111515j -0.000797884-0.0162337j 0.00500167-0.0187269j -0.00117677-0.0221552j 0.00714661-0.0111874j -0.00112076+0.0169472j 0.0199163+0.000737399j -0.014565+0.0121797j -0.00201936+0.00572212j -0.00501885-0.0171211j 0.009748+0.0207907j 0.0221608-0.00660697j 0.00696866-0.0276518j 0.0287472-0.0209745j -0.00291303+0.0189812j -0.007038-0.013331j -0.0199951-0.0102937j 0.0172534+0.00446222j 0.00598437-0.00398034j -0.0102963+0.019309j -0.0017171+0.00520776j 0.0136755+0.0203367j 0.000985529-0.0222521j -0.000311425-0.00882112j -0.00784019-0.00959593j -0.00109159+0.0212156j 0.0248916+0.00171549j -0.00224241-0.00616398j 0.00568731-0.0235592j -0.0208343+0.0138485j -0.0246126-0.0166739j -0.00821671-0.0224101j 0.0160867-0.0160186j 0.0149534+0.0244451j 0.0183756+0.000656002j 0.00132851+0.0226734j 0.0195739+0.0188842j -0.00641046-0.00213003j -0.0152628-0.00544352j 
