1.00719-0j 0.103211-0j 0.102152-0j 0.0725241-0j 0.010468-0j 0.0423057-0j 0.00610631-0j 0.00743182-0j 0.0586083-0j 0.00845938-0j 0.00849351-0j 0.00306547-0j 0.000619319-0j 0.00520119-0j 0.0480466-0j 0.0420407-0j 0.000707793-0j 0.00728015-0j 0.0294224-0j 0.000433433-0j 0.000255456-0j 0.0411828-0j 0.0173409-0j 0.000606679-0j 
0.000924507-0j 0.0146943-0j 0.00304598-0j -0.00640498-0j 0.0429893-0j 0.00147717-0j -0.00991458-0j -0.101802-0j 0.00175871-0j -0.0118042-0j 0.0717139-0j 0.124035-0j -0.0126443-0j -0.0149217-0j 4.41021e-05-0j -6.26055e-05-0j 0.00890719-0j -0.0208861-0j -9.17646e-06-0j -0.00185335-0j 0.0154057-0j -1.28444e-05-0j 7.62781e-05-0j -0.00259414-0j 
-0.00739605-0j -0.0581625-0j -0.0120565-0j -0.000532561-0j 0.00734902-0j 0.000122824-0j -0.0016949-0j -0.00418805-0j 0.000146233-0j -0.00201793-0j 0.00295025-0j 0.00510269-0j -0.00106177-0j -0.000613868-0j 0.0514196-0j -0.0729931-0j 0.000747957-0j -0.000859236-0j -0.010699-0j -0.00015563-0j 0.00129365-0j -0.0149755-0j 0.0889342-0j -0.000217836-0j 
-0.000594653-0j 0.00415922-0j -0.00423718-0j -4.28186e-05-0j -6.18034e-06-0j 0.00343467-0j 0.000495752-0j 0.000299489-0j 0.00484914-0j 0.000699913-0j 1.00026e-05-0j 0.000374219-0j 2.49574e-05-0j -0.00021574-0j 5.65834e-05-0j 0.00169417-0j 8.33553e-07-0j -0.000301974-0j -0.00122041-0j -1.79784e-05-0j 3.11849e-05-0j -0.00170822-0j 0.0021169-0j -2.51645e-05-0j 
6.06915e-05-0j -0.000424499-0j 0.000432456-0j -0.000845311-0j 6.30778e-07-0j 0.0678061-0j -5.05974e-05-0j 0.00591241-0j 0.09573-0j -7.14345e-05-0j 0.000197469-0j 0.0073877-0j -2.54721e-06-0j -0.00425907-0j -5.77502e-06-0j -0.00017291-0j -8.50741e-08-0j -0.00596146-0j 0.000124558-0j 1.83491e-06-0j -3.1828e-06-0j 0.000174345-0j -0.000216055-0j 2.56834e-06-0j 
-0.0355146-0j -0.00374444-0j -0.00364806-0j 0.00251625-0j 0.000363189-0j 0.00140618-0j 0.000202965-0j 0.000265297-0j 0.00212714-0j 0.000307026-0j -0.000299489-0j 0.000531226-0j 2.21081e-05-0j -0.000560262-0j -0.00169417-0j 0.00150075-0j -2.49574e-05-0j 0.000264227-0j -0.00316932-0j -4.66885e-05-0j 4.42688e-05-0j 0.00149469-0j 0.00300507-0j 2.20189e-05-0j 
0.00362469-0j 0.000382165-0j 0.000372329-0j 0.0496749-0j -3.70678e-05-0j 0.0277604-0j -2.07151e-05-0j 0.00523741-0j 0.0419933-0j -3.13357e-05-0j -0.00591241-0j 0.0104873-0j -2.2564e-06-0j -0.0110605-0j 0.00017291-0j -0.00015317-0j 2.54721e-06-0j 0.00521628-0j 0.000323468-0j 4.76513e-06-0j -4.51817e-06-0j -0.000152552-0j -0.000306703-0j -2.2473e-06-0j 
7.30005e-07-0j 0.000981411-0j -0.000999807-0j 5.25648e-08-0j 0.000209496-0j -4.21645e-06-0j -0.0168046-0j 7.06676e-05-0j -5.95288e-06-0j -0.0237251-0j 2.36022e-06-0j 8.83008e-05-0j 0.0803117-0j -5.09062e-05-0j -6.94627e-08-0j -2.07979e-06-0j 0.00268233-0j -7.12538e-05-0j 1.4982e-06-0j -0.0578535-0j 0.100351-0j 2.09704e-06-0j -2.59874e-06-0j -0.080978-0j 
-0.0059682-0j 0.0289295-0j 0.0286328-0j -0.000429747-0j 0.00593025-0j -0.000250686-0j 0.00345931-0j 0.0020831-0j -0.000347288-0j 0.00479237-0j 0.00238069-0j 0.000859236-0j 0.000528115-0j 0.00145787-0j 0.0414927-0j 0.0363061-0j 0.00060356-0j -0.00615869-0j 0.025409-0j 0.000369604-0j 0.000217836-0j -0.107339-0j 0.0149755-0j -0.00156137-0j 
0.000746025-0j -0.00730883-0j -0.00723386-0j -0.00516846-0j 0.03469-0j -0.00301493-0j 0.0202358-0j 0.0506355-0j -0.00417675-0j 0.0280337-0j 0.0578691-0j 0.0208861-0j 0.00628915-0j 0.0354375-0j 3.55879e-05-0j 3.11395e-05-0j 0.0071876-0j -0.149704-0j 2.17931e-05-0j 0.00440149-0j 0.00259414-0j -9.20638e-05-0j 1.28444e-05-0j -0.0185939-0j 
0.0443763-0j -0.00737751-0j -0.00152928-0j 0.00319537-0j 0.000461211-0j -0.000736944-0j -0.000106369-0j -0.000531226-0j -0.0008774-0j -0.000126642-0j 0.000374219-0j 0.000647241-0j -4.42688e-05-0j -7.78648e-05-0j 0.0021169-0j -0.00300507-0j 3.11849e-05-0j -0.000108988-0j -0.00044047-0j -6.48874e-06-0j 5.39368e-05-0j -0.00061653-0j 0.00366135-0j -9.08234e-06-0j 
3.14065e-05-0j -0.000618599-0j 0.00181712-0j -6.71183e-06-0j -0.0267499-0j 1.31919e-06-0j 0.00525759-0j 0.0001322-0j 1.82754e-06-0j 0.00728361-0j -5.09062e-05-0j -1.8373e-05-0j 0.150241-0j -2.91893e-05-0j 1.4982e-06-0j -3.89071e-06-0j -0.0578535-0j -4.36339e-05-0j 8.59059e-07-0j -0.0331729-0j -0.0208804-0j 1.28417e-06-0j 5.40728e-07-0j -0.0495887-0j 
-5.44771e-05-0j -0.0017408-0j -0.000360849-0j -3.92268e-06-0j -0.0156338-0j 9.04684e-07-0j 0.0036056-0j -0.000125348-0j 1.07711e-06-0j 0.0042928-0j 8.83008e-05-0j 0.000152723-0j -0.142455-0j -1.8373e-05-0j -2.59874e-06-0j 3.68907e-06-0j 0.100351-0j -2.57169e-05-0j 5.40728e-07-0j -0.0208804-0j 0.173566-0j 7.56862e-07-0j -4.49473e-06-0j -0.0292265-0j 
-0.0255833-0j -0.00262162-0j 0.00770096-0j 0.00546737-0j 0.000789147-0j -0.00107459-0j -0.000155104-0j 0.000560262-0j -0.00148869-0j -0.000214874-0j -0.00021574-0j -7.78648e-05-0j 4.66885e-05-0j -0.000123704-0j -0.00122041-0j 0.00316932-0j -1.79784e-05-0j -0.00018492-0j -0.000699778-0j -1.03087e-05-0j -6.48874e-06-0j -0.00104607-0j -0.00044047-0j -1.541e-05-0j 
0.0358092-0j 0.00366951-0j 0.00363187-0j 0.00257848-0j 0.000372172-0j 0.00150411-0j 0.0002171-0j 0.000264227-0j 0.00208373-0j 0.00030076-0j 0.000301974-0j 0.000108988-0j 2.20189e-05-0j 0.00018492-0j 0.00170822-0j 0.00149469-0j 2.51645e-05-0j -0.000781187-0j 0.00104607-0j 1.541e-05-0j 9.08234e-06-0j -0.00441906-0j 0.00061653-0j -6.50989e-05-0j 
-0.00365476-0j -0.000374518-0j -0.000370676-0j 0.0509035-0j -3.79846e-05-0j 0.0296937-0j -2.21577e-05-0j 0.00521628-0j 0.0411363-0j -3.06962e-05-0j 0.00596146-0j 0.00215161-0j -2.2473e-06-0j 0.00365064-0j -0.000174345-0j -0.000152552-0j -2.56834e-06-0j -0.0154219-0j -0.000106764-0j -1.57278e-06-0j -9.26962e-07-0j 0.000451019-0j -6.29243e-05-0j 6.64413e-06-0j 
0.00261109-0j 0.000267568-0j -0.000785976-0j 0.107935-0j -8.0542e-05-0j -0.0212142-0j 1.58302e-05-0j 0.0110605-0j -0.0293892-0j 2.19304e-05-0j -0.00425907-0j -0.00153718-0j -4.76513e-06-0j -0.00244213-0j 0.000124558-0j -0.000323468-0j 1.83491e-06-0j -0.00365064-0j 7.14208e-05-0j 1.05213e-06-0j 6.62254e-07-0j 0.000106764-0j 4.49553e-05-0j 1.57278e-06-0j 
-0.00452914-0j 0.000752964-0j 0.000156082-0j 0.0630818-0j -4.70722e-05-0j -0.0145485-0j 1.08562e-05-0j -0.0104873-0j -0.0173213-0j 1.29253e-05-0j 0.0073877-0j 0.0127776-0j 4.51817e-06-0j -0.00153718-0j -0.000216055-0j 0.000306703-0j -3.1828e-06-0j -0.00215161-0j 4.49553e-05-0j 6.62254e-07-0j -5.5049e-06-0j 6.29243e-05-0j -0.000373685-0j 9.26962e-07-0j 
-4.396e-05-0j 0.000865858-0j 0.000856977-0j -3.16539e-06-0j -0.0126156-0j -1.84648e-06-0j -0.00735909-0j 6.23471e-05-0j -2.55802e-06-0j -0.0101949-0j 7.12538e-05-0j 2.57169e-05-0j 0.0708557-0j 4.36339e-05-0j -2.09704e-06-0j -1.83491e-06-0j 0.080978-0j -0.000184329-0j -1.28417e-06-0j 0.0495887-0j 0.0292265-0j 5.42491e-06-0j -7.56862e-07-0j -0.209485-0j 
