-0.0110778+0.0148767j 0.0236575+0.0130387j 0.0154327+0.012925j 0.00233125+0.0292738j 0.0127718-0.0466528j 0.0331557-0.0157984j 0.00967105+0.0319655j 0.00926364+0.0343199j -0.0142357+0.0125934j -0.0223025-0.00347655j -0.0368518-0.00861412j 0.0493503+0.0212928j 0.00180456-0.00361629j -0.0154898-0.01727j -0.0255844-0.017793j 0.00835218-0.00445332j 0.0100197-0.0161023j -0.00556187+0.00430887j 0.00658356+0.0147582j 0.0142231-0.0398233j 0.0171046-0.00287599j 0.00916496-0.0242388j 0.0103801+0.013994j 0.00118382-0.0118701j -0.000998627+0.00724969j 0.0105628-0.00781369j -0.00536666+0.00601278j 0.00674776-0.00497614j 0.00238666+0.0163866j 0.0172327-0.00611553j -0.00640279-0.0138246j -0.0119584-0.000639149j -0.0199398-0.0031866j -3.61238e-05+0.0030386j -0.0227831+0.00291712j 0.0110329-0.00414532j 0.0213435+0.00365868j 0.0207845+0.00887041j -0.00697962+0.00671951j -0.000644588-0.0256397j 0.00841982-0.00875495j 0.0104189-0.0273287j -0.00917786+0.00175311j -0.0122127+0.0255257j -0.0194684-0.0136172j -0.00511639-0.0149961j -0.00262669-0.0133418j 0.0193348-0.0071041j -0.0113025-0.00867228j -0.00456507-0.000990369j -0.00789641+0.00717645j -0.00883473+0.0459489j -0.00509643-0.000720268j -0.0280741+0.00972957j 0.00134423-0.0157526j -0.00346463-0.0196101j -0.00526226+0.0116223j 0.00923357-0.00431257j 0.00411432-0.00731827j 0.0199815+0.0258988j 0.0514133-0.00435678j 0.00962798-0.0180681j 0.0239329-0.00432409j -0.00495482-0.0556617j -0.015334-0.000562012j -0.0212038+0.0323312j 0.00694035+0.0355825j -0.0165356-0.0144415j 0.0299026+0.0219757j 0.0369504-0.0280931j 0.00364365+0.0172686j -0.0196805+0.00535126j -0.0304311-0.0245043j -0.010368+0.00630455j -0.0322293+0.00820347j -0.0333208-0.0398873j -0.00907023-0.0384698j -0.0225424-0.019292j 0.0154941+0.0232531j -0.0159797+0.0384868j 0.0186229-0.0146206j 0.0531126-0.000688961j -0.0277132+0.0234465j 0.019806-0.00598535j 0.0444413+0.0123625j -0.0219461+0.0175416j 0.0147842-0.00118458j -0.0458183-0.0344309j -0.0221929+0.00348098j -0.0150259+0.0189725j -0.0399231+0.0596859j -0.0700773+0.0334766j -0.052245+0.0506443j -0.106088-0.0813193j -0.0212447+0.0183233j -0.0803775-0.0280039j 0.00300566+0.00556146j 0.0129119+0.0140188j 
-0.00330072-0.00991981j -0.00767856+0.00465825j 0.00167122-0.0402642j 0.0400054-0.0174606j 0.0124511-0.0133476j -0.0292363-0.00123386j 0.0185696+0.0353248j -0.0607309-0.0160933j -0.0626234-0.00252677j 0.0672116-0.0565576j 0.012419-0.0314071j -0.0245623+0.103074j -0.0870035+0.0406033j 0.0508856+0.0123987j -0.0976963-0.0131204j -0.0776991-0.0457459j -0.0174853+0.0278643j -0.0513375+0.0220159j 0.0395808+0.00695359j 0.0503971-0.0524497j -0.00190399+0.048379j 0.0298813-0.0531464j -0.0231427+0.0456492j -0.0385411-0.0481981j -0.0076294+0.0227992j -0.030558+0.0151813j 0.0219847-0.0666265j -0.0583736-0.0444976j -0.0218679-0.0115702j 0.0540685+0.021756j 0.010702-0.00280311j -0.0741142+0.028809j 0.0927609-0.0261596j -0.00174364+0.046968j -0.00909963-0.00857623j -0.0473174-0.0318795j -0.027656+0.105701j 0.023244-0.00837244j 0.0299573+0.00874775j -0.0135777-0.0468666j 0.0472901+0.00859548j -0.0126606-0.0484099j -0.0924497+0.0567714j -0.00820467+0.00112965j 0.00800672+0.00600958j -0.00560487-0.00654242j 0.0308428-0.0874062j 0.0308584-0.0259855j -0.015855-0.0103853j 0.0395745-0.0188959j 0.0114947+0.0611188j 0.0369394-0.0600384j 0.0471521-0.0640888j 0.0543334+0.0120622j -0.0765639-0.0799931j -0.149407-0.0376439j -0.101926+0.0780867j 0.0340522+0.105527j -0.0812568-0.149076j 0.0557761-0.0101393j -0.0601246-0.0159727j -0.0377657-0.0477428j -0.0741408+0.0188041j 0.0616743+0.0160566j 0.039567+0.00159795j 0.0132629-0.133805j -0.101532-0.0369604j 0.041346-0.0989423j 0.0533049-0.0281879j -0.0233027-0.0275375j 0.033806+0.0583246j 0.0420364-0.0753625j -0.0290634+0.0016775j -0.0375793-0.00640758j 0.0294454+0.0251629j 0.121486-0.0246974j 0.0126103-0.0681309j 0.0278891+0.0411721j -0.0242156+0.0468642j -0.00309892-0.000434472j -0.0636305-0.024954j -0.0280649+0.0617479j 0.0330201+0.0330638j -0.027811+0.0201894j 0.0206506-0.00367732j 0.0580834-0.0217023j -0.0284457-0.0631292j -0.0768455+0.0323692j -0.0202496+0.00084794j 0.0602337+0.0129702j -0.00324603+0.0179797j 0.00763714+0.00181781j -0.00899478-0.0194348j -0.0251898-0.0166893j -0.0219233-0.024017j -0.0297745+0.0117879j 0.0134202+0.000525579j 0.00305474+0.0119611j 
0.0199119-0.00530385j -0.00956462-0.00666777j -0.0268324-0.0135919j -0.0159123-0.0112854j 0.0845311+0.0230955j 0.00109171+0.0484796j -0.0234653-0.0372703j -0.0337088+0.0501353j -0.0613691-0.0314744j -0.0305989-0.0191371j -0.000719403-0.0333908j 0.0048763+0.026787j -0.00487915+0.0329138j 0.0462299-0.0275062j -0.043338+0.0253408j -0.0176516+0.0306097j -0.0140703+0.0225654j -0.000587251+0.00360425j -0.00605376+0.0179077j 0.0243069+0.0234785j 0.0462784+0.01091j 0.0139636+0.00465271j -0.0465512+0.00830031j 0.0592156-0.0646905j 0.0105844+0.027474j 0.0510346+0.0121984j -0.00992988-0.00688294j 0.0505853-0.0831884j 0.00803304+0.00250981j -0.00657836-0.0298576j 0.00951183-0.00773895j 0.0279602-0.0204966j 0.000966041+0.0017239j -0.0277461-0.00145764j 0.0408941+0.0414446j -0.00200779-0.0198207j 0.0444995+0.0129821j -0.0206323-0.0703802j -0.00960496+0.0363081j -0.0258711+0.0017427j 0.00667478+0.00769513j 0.00306995-0.0111819j 0.00966576-0.0216869j -0.0181287+0.00369656j -0.01034+0.0539985j -0.0232415-0.0190386j 0.045195+0.0145625j -0.036733-0.00874987j 0.00898127-0.0270785j 0.031639-0.010855j -0.028351-0.012377j 0.0659075-0.0560459j 0.0420938+0.0261448j -0.0218809+0.00439752j -0.000712323+0.042644j 0.00871437+0.0585236j -0.0308984-0.0150878j -0.0255283-0.0188426j -0.0665927+0.0685359j -0.010214-0.0675583j -0.0452086+0.00136097j -0.0702044+0.00971168j -0.0474674-0.00154763j -0.038362+0.00365787j -0.0329394+0.0108959j 0.043631+0.0298475j -0.0225606-0.062753j 0.00897348+0.00833829j -0.014745-0.0456029j -0.0368417-0.0117634j -0.0258159+0.00358023j 0.0267852+0.0273825j -0.0264292-0.00373992j -0.0175675+0.0155914j 0.0267755+0.0375744j 0.0136579-0.030025j 0.00429118-0.0452119j 0.0398771-0.0102327j -0.000462747+0.0365838j 0.00888349+0.00149215j 0.023002-0.00420801j -0.0393147-0.0234426j -0.0495282+0.00178584j 0.00235817-0.035106j 0.0165703-0.0108283j -0.026885+0.015492j -0.0445139-0.0155302j -0.0418339+0.0145968j 0.00470799-0.0267789j 0.029655+0.0279074j -0.0370098-0.00978872j -0.0146442-0.0348365j -0.021748-0.0402458j 0.0223395-0.0297275j -0.0032156-0.00770355j -0.0106369-0.0132304j -0.00113799+0.00078173j -0.0107687-0.00963476j 
0.00352683+0.0063082j 0.0280633+6.60604e-05j 0.00556856-0.0167788j 0.0456263+0.00743353j -0.0197939-0.130527j -0.0147617-0.0100977j -0.00335947+0.0213028j 0.0742972+0.0118589j -0.0153162+0.0541007j -0.00607594-0.0131658j -0.0165701+0.0183099j 0.036999+0.118079j -0.00964945-0.0516807j 0.00391589+0.00668049j -0.0287798-0.0195692j 0.0121905-0.0789558j 0.0293522+0.0152797j -0.0220686-0.00338766j 0.0267727+0.0465869j -0.0287556-0.0618022j 0.0122982-0.0151592j 0.00273225+0.0198077j 0.0181578+0.0641129j -0.0118875-0.0461277j -0.000402791-0.00713118j 0.0112142+0.00854349j 0.027496-0.0589444j -0.00535572+0.0229669j 0.0237085+0.0643549j 0.0338097+0.0147163j 0.0108676-0.0342428j -0.0419229+0.0135545j -0.00727364+0.00629377j -0.026733-0.00275958j -0.0500425+0.00561333j 0.0270575-0.00696752j -0.0168695+0.0394712j -0.0334781+0.00232828j 0.0235605+0.0647368j 0.0379507-0.0746348j -0.053161+0.0338737j 0.0361626-0.0316216j -0.0710548+0.0349179j -0.033437-0.00227592j -0.0546952-0.0716344j -0.00329413-0.0388044j -0.00733711-0.0157383j -0.0165891-0.0288249j 0.0315026-0.0414006j -0.0130278+0.009378j -0.00450146-0.00222239j 0.0270191+0.0114766j 0.0396914-0.069715j -0.0263538-0.00950935j 0.0154959-0.0645682j -0.0635969-0.0149134j -0.0143752+0.0939525j 0.0471823+0.0439798j -0.00419525-0.0761022j 0.116939-0.00230056j 0.015033-0.0397112j 0.00368849+0.0164243j -0.02645-0.0257427j -0.0758383-0.0734781j 0.0193961-0.0338905j -0.0442001+0.00531651j -0.0278282+0.0220023j 0.0215052-0.106327j 0.0834445-0.0225729j 0.0293426-0.0602045j -0.00347535-0.00773734j 0.00620041-0.0126734j -0.00995627-0.0529679j 0.0858114+0.0629536j -0.033692+0.0010186j 0.0412212-0.00406931j -0.00473369-0.082138j -0.0162927-0.0203404j -0.0822783-0.0545736j 0.0796861+0.0118791j 0.0350678-0.0747713j 0.017884+0.0924993j -0.0263594-0.0178271j 0.00755914+0.0170636j 0.0416937+0.00684952j 0.0740372-0.0769947j -0.0343231-0.0218035j -0.0330865+0.0594788j -0.0206229-0.0305062j 0.0230427-0.0184334j -0.0257636+0.0189024j 0.000462904+0.0128274j -0.0440005-0.0712813j -0.0729186-0.0366394j -0.00527443-0.0271574j -0.0399672+0.00494892j -0.0126552-0.0125735j 0.0134384+0.0026497j 
-0.00048731+0.00653209j 0.0117796-0.00734078j 0.0294675+0.00601158j -0.00917814+0.0496226j -0.0285822-0.0381587j 0.0206959+0.0342614j 0.00709837+0.0236283j 0.00272135+0.10167j -0.0221846+0.0233757j -0.0705025+0.0072836j -0.0508314+0.0282604j 0.0639292-0.0126593j 0.0475352+0.0242043j -0.0355976-0.0466742j -0.0187436+0.058629j -0.0269384+0.0752828j -0.000769648+0.0154682j 0.0155189-0.00144656j 0.000566446+0.0238134j 0.0107083-0.0193299j 0.0184507-0.0115178j 0.0361723+0.0112742j 0.0016289-0.0347023j -0.0107905-0.00410123j 0.0292815-0.00403334j 0.0378904+0.00433837j -0.00842964+0.00687505j 0.029329-0.0551748j -0.020184+0.0512026j 0.00519797-0.0179094j -0.00953455-0.0161914j 0.0193587+0.0158746j -0.0210552+0.00926237j 0.0101966-0.08059j 0.00262045+0.0315178j -0.00843661+0.0158012j 0.0414472-0.00641559j 0.0317834-0.0132705j -0.0346273+0.01418j -0.00958432-0.0248737j -0.0502872-0.026317j 0.0766539-0.0141246j 0.00788741-0.0525139j -0.0247404+0.0391613j -0.0103389+0.0288744j 0.00792607-0.0254791j 0.0219169+0.0722015j -0.00864521-0.0189024j 0.0521121-0.0155234j -0.00728408-0.00737269j 0.00500138-0.00211614j -0.000663975-0.00616168j -0.0287817+0.0494012j -0.0237312-0.0380318j 0.0316424+0.046841j 0.0738061+0.0258707j 0.0133033-0.0770343j -0.010253-0.112473j -0.00774582+0.0578192j -0.0148809-0.0197258j 0.0699418+0.0601677j 0.0276667+0.0193813j 0.017784-0.0381826j 0.000585492-0.00910456j -0.0198313-0.00791406j -0.0194411+0.0641349j 0.0637776-0.00040762j 0.0180638+0.0161182j -0.0206648+0.0464739j 0.0265856-0.00575953j -0.0699381-0.000540559j 0.0258651+0.0145541j -0.0345682-0.0143776j 0.00814181+0.0102312j -0.00388875+0.00720254j -0.0199543-0.0190611j -0.0254277+0.0189807j 0.00590584+0.0714626j 0.0486008+0.0876471j 0.0296529+0.0327257j 0.00153019+0.0267423j -0.0302163+0.0571694j -0.00177404+0.0319432j 0.0461853-0.0187036j 0.0289668-0.00365165j -0.0821395+0.0831849j 0.040787-0.0536333j -0.0729557+0.04593j 0.00359823+0.021053j -0.026519-0.00849335j -0.0194893-0.0181766j -0.0659337+0.0246467j -0.0422462+0.022391j -0.0646694-0.00690238j 0.0282809-0.0167586j -0.0403508-0.0217776j -0.000857267-0.00999693j 0.00932391+0.00208127j 
-0.0149337+0.00628563j 0.00449138+0.00747906j 0.0133112-0.00430934j -0.00565773+0.00902804j -0.0194429+0.0248084j -0.0155965-0.0158803j 0.0137505+0.017464j -0.0164917-0.0345515j 0.0224959-0.0244822j 0.0293089-0.00635548j 0.0290946-0.0178222j -0.0112998+0.0189563j -0.0409848+0.00938609j 0.0135435-0.00647275j -0.00917565+0.00354209j -0.0228367-0.0221229j 0.0110165+0.00149243j -0.0348422+0.00647003j 0.0056323-0.000602039j -0.00377872-0.0127911j 0.00319078+0.0443794j 0.0213861-0.0363794j -0.0365727-0.0248858j 0.00750622-0.0227156j -0.0300491+0.0438716j 0.00808136+0.0229j -0.000664599-0.0185273j -0.00964199-0.0160046j -0.00529102-0.0262899j -0.000339902+0.0141268j -0.0205232-0.00436728j 0.000335047-0.0126905j 0.0175919-0.0100006j 0.00267777+0.0527631j -0.00918625+0.000647646j -0.00513993-0.0140976j 0.016158+0.0388352j 0.00484087+0.0125672j 0.00802317-0.0100794j 0.0519607-0.00883933j 0.00995099-0.00705795j -0.0164967-0.0109466j -0.0239775+0.00121811j -0.0248657+0.0557459j -0.0105575-0.0178645j 0.0385805+0.00896151j 0.0090241-0.00578176j 0.0139455-0.0127477j 0.00379449+0.0561032j 0.020662-0.0306934j 0.0469585+0.0284359j -0.0310596-0.0165999j -0.0174551-0.0226112j 0.0449765-0.00453043j 0.00254874-0.0106124j -0.0235706-0.00717072j -0.0287508+0.00650116j 0.0231002-0.0260529j -0.0231719-0.0541281j -0.0188305+0.0575882j 0.0220529+0.0548869j 0.00127805-0.014327j 0.00656934-0.0215166j 0.0674053-0.0189754j 0.0329919-0.02819j -0.0167128+0.0306806j -0.0216659-0.0416177j 0.00712316+0.01823j 0.0288778-0.00630715j 0.0556033+0.0196244j -0.0316042-0.0642621j -0.0693854-0.0054626j 0.0384851-0.130884j 0.077216-0.00871598j -0.0633344+0.00589103j -0.03341+0.00545813j -0.0178481+0.0397406j 0.0480811+0.00256814j 0.0640661+0.105848j 0.0298375-0.0132207j -0.0276053-0.0212252j -0.0152537-0.0292811j -0.0192338+0.0323955j 0.0181058-0.0333771j 0.0806844-0.0337865j -0.0504339+0.0111532j -0.0087005-0.0388194j -0.0460385-0.00803824j -0.0532444-0.0112404j 0.00557359+0.0450476j -0.0292299+0.0279781j -0.016103+0.0107855j -0.0106978+0.0386024j -0.0137585+0.00050318j 0.0152762-0.000197527j 0.00563569-0.0121485j -0.00317854-0.00348348j 0.00881385+0.00478733j 
-0.00101317+0.000173778j 0.00571126+0.00340037j -0.010133+0.0102717j -0.00723206-0.00627311j 0.0211766-0.015629j 0.0163015-0.0394127j 0.00538445-0.0150875j 0.0285477-0.028111j 0.0315473-0.0145616j -0.0140029+0.00269222j -0.0203609-0.00144839j -0.000559758-0.0389003j 0.0335232+0.00115059j -0.0304436+0.0349316j -0.00391601-0.033467j 0.0357439-0.0222187j -0.0140245-0.0338998j 0.0332281+0.0168409j -0.00349453-0.0188821j -0.0116118+0.000704192j -0.0225408-0.0452967j -0.0211518-0.0349302j 0.0335717-0.00431392j 0.0432699-0.00714183j 0.0135975+0.0206536j 0.041654-0.0269856j 0.0106142+0.0227131j 0.0127352+0.00346065j 0.00144477-0.00784553j -0.0402697-0.0153196j -0.0195059-0.0186858j 0.0535304+0.00585873j -0.0118252-0.00401537j -0.0407702+0.0170592j -0.00236411-0.014176j 0.00599587-0.0441792j 0.0227543-0.0175942j -0.00297049-0.0107578j 0.0163306+0.00748187j -0.00124247+0.0116083j -0.00563336-1.87223e-05j -0.0299904+0.004163j 0.0202209+0.0111672j 0.020422-8.98364e-05j 0.00793018-0.013206j 0.0014208+0.00908689j -0.0234999-0.0772788j -0.0553898+0.0316268j -0.00404412+0.0026153j -0.0549284+0.0346372j 0.00377331+0.00744721j -0.0605885+0.0404088j -0.0137432+0.0141006j -0.0252141+0.0196687j 0.0195463+0.0264133j 0.027199-0.00154975j 0.0247577-0.0162546j 0.0308601+0.0114017j 0.0388984-0.00120459j -0.0065333+0.00200435j -0.0399751-0.0305391j -0.0323906-0.001661j 0.0486507-0.00951071j -0.00709809-0.0349574j 0.0166214-0.0119718j 0.0226601-0.0173711j 0.00721387+0.0863866j -0.00543427+0.0122278j 0.033416+0.00363145j 0.0231243-0.0110804j 0.00123255-0.0214836j -0.0412385-0.00643275j 3.42303e-05+0.0299744j -0.0139329-0.0367852j 0.00325501+0.00900992j -0.0594883+0.0126225j -0.0152574-0.00344443j -0.0415145-0.0558369j 0.0406188-0.0755434j 0.00171614+0.00476871j -0.00869594-0.0133649j 0.0577451-0.0459112j -0.0134551-0.014281j -0.00425728+0.0127608j -0.00147785+0.0235025j -0.00407654-0.0173909j 0.0049771+0.0627095j 0.0176827-0.0376761j -0.0217258+0.0419545j -0.0465579+0.00818263j -0.0320115+0.00700181j -0.00404756+0.0121169j 0.0283524+0.0195608j 0.025044-0.0574727j -0.0157182+0.0209861j 0.0208198+0.00946266j -0.0131879+0.0024901j 0.00296513-0.0125459j 
0.0235156+0.00125266j -0.00097509-0.00647454j -0.0135603+0.00453735j -0.00482841+0.0106851j 0.0542154-0.0196948j 0.0140507+0.0586229j -0.0438823-0.0472877j 0.00630682+0.0591111j -0.00216899-0.0181863j -0.0575166-0.0153173j -0.00947185+0.00110186j -0.0102317+0.00306905j 0.0526292+0.0372291j 0.00136011-0.0278812j 0.0550045+0.0920122j 0.027025+0.0540265j 0.0265697+0.00959891j -0.014737+0.0210638j 0.0123907+0.0273795j -0.0269197+0.0299889j 0.0127779-0.0229868j -0.000446528+0.0330507j -0.0223909-0.0153989j -0.0103392+0.0209501j 0.0205167+0.0349288j 0.0433537+0.0478906j -0.0133424+0.00430237j 0.00982566-0.0211402j 0.0110505-0.0241547j -0.0308788-0.0264896j 0.00923435+0.00399899j 0.0443385+0.0261275j -0.0236454-0.0237353j 0.000228615-0.0125037j 0.0371397-0.00113211j -0.0143524-0.0140468j 0.0309772-0.00600849j -0.0116645-0.0167634j 0.0127186-0.00298852j -0.00152395+0.0450983j -0.00689508-0.0558212j 0.0427619+0.0462265j 0.0203609-0.0276419j 0.0502102-0.0171372j -0.0119632+0.0441267j 0.0562865+0.0291003j -0.0383274+0.0324467j -0.0516118-0.017482j 0.0308725+0.0154531j -0.0175366+0.00595105j 0.027544-0.0228581j -0.0118683-0.0137361j 0.0231989-0.00888572j -0.00409952-0.0149154j 0.0330746+0.0249924j 0.0656689+0.0890549j 0.0276061-0.0937174j -0.0494313-0.0738765j -0.0133711+0.0138313j -0.044976-0.0510348j 0.0148555+0.010365j 0.00801085+0.0439025j 0.0108979-0.0202775j -0.0333518+0.0237394j -0.0256833-0.0526776j 0.053289-0.00800025j 0.0776034-0.0326464j 0.038838+0.0186587j -0.0399212-0.00981317j -0.0632555-0.0204778j -0.0737722+0.00947617j -0.0201207+0.0736775j -0.00876715+0.0589541j 0.06533+0.0317011j 0.0337585+0.00232142j 0.0123155+0.0164962j 0.0227975-0.0389651j -0.0159344-0.0163979j 0.0311364+0.00615132j -0.0198826+0.0164403j 0.00643802-0.0542989j -0.0371585+0.0110035j 0.00725614+0.0114264j -0.0273044+0.00801829j -0.0137752-0.0101351j -0.0247421+0.0182341j -0.0884356-0.0129294j -0.0347118+0.0463458j -0.0120803+0.00719736j -0.0496855-0.0246321j -0.0286356-0.0170477j 0.00288385-0.0307514j -0.0106087-0.0306047j 0.0380827-0.00164151j 0.00916013+0.0256783j 0.0209098-0.0178556j -0.0116928+0.0130538j -0.0236602-0.00771699j 
-0.0213541-0.003277j -0.0119843+0.0108868j 0.0320481-0.0189395j -0.00295416+0.0126593j -0.0419427+0.0792223j -0.0486937+0.0188375j 0.0322203-0.00130361j -0.0577085-0.0115048j 0.0384402-0.0458133j 0.0390635-0.0167676j 0.0388949-0.0362435j 0.0133695+0.0146411j -0.0472434+0.0100753j 0.0128034+0.00145589j -0.0311744-0.0336238j -0.0599776-0.013988j -0.00233235+0.0286518j -0.0293653+0.00244925j -0.0272835-0.0129753j 0.020609-0.031655j 0.0138111+0.0419136j 6.85534e-05+0.00251808j -0.00820465-0.0269754j -0.00200406-0.00771985j -0.021167-0.00405795j -0.00463387+0.0108385j 0.0289601-0.0341645j -0.0437735-0.0239759j 0.0333675-0.0340553j -0.00471577+0.00397684j -0.00528317+0.0169289j 0.00714332+0.00289013j 0.0156949-0.0221973j -0.0145301+0.00443804j -0.00524392-0.0179745j -0.0525949-0.030081j -0.00305693+0.0279268j 0.0233136-0.00733701j 0.0268818-0.00756859j -0.00695167-0.000269706j 0.00866075+0.0314943j 0.00472767+0.00418084j -0.0293672-0.0465722j 0.0142441-0.0284479j 0.0205322-0.000802424j 0.0140174+0.00914768j 0.00539761-0.0325246j 0.0151168-0.0260933j -0.0109534+0.0397653j 0.00969253+0.00077473j -0.0163372+0.044908j -0.0221016+0.00285571j -0.012484-0.0137792j 0.0586206-0.0133649j 0.00827038-0.0377718j -0.0372125-0.053621j -0.00394463-0.0143282j -0.0108447+0.0382673j 0.0342478-0.050441j -0.00292066+0.0265858j -0.0654735-0.0160522j 0.0291838+0.0146302j 0.0439883+0.041155j 0.0542953+0.0255454j 0.0163104-0.024173j -0.00987494-0.0657655j -0.0215201-0.0184184j 0.0270163+0.0107127j 0.00751045+0.0489577j -0.0360563+0.0355474j -0.0184503+0.000302107j 0.0114198-0.026484j 0.0341232+0.0324423j 0.0134196-0.0632877j -0.014393-0.00215541j 0.0518953+0.0521105j -0.00184807+0.0121664j -0.012473+0.0168525j 0.023178+0.0230766j -0.029954+0.0194097j 0.0363452+0.0730141j -0.0114301+0.0232506j -0.0269081+0.0202629j 0.0296345-0.0263662j 0.00291684+0.0268089j -0.0852666-0.00983961j 0.0284717-0.0485423j -0.0113546-0.0246696j 0.0257112-0.0288455j -0.0476328-0.0123994j 0.00744271-0.0405301j -0.00964877+0.0322273j 0.0234012-0.00591701j 0.0201847+0.0380733j 0.0125861-0.0105525j -0.0140312+0.0020217j 0.0147042+0.00445418j -0.00031211-0.000519236j 
-0.00406704+0.0012604j -0.0018964+0.00153706j 0.00183309+0.0188618j 0.00516819+0.0151277j -0.0308436-0.0342915j 0.000596372+0.00789458j -0.0231039+0.01073j 0.0227948-0.0195916j 0.0309197+0.0253033j -0.00802779+0.00218148j -0.00407198+0.0283093j -0.00783975-0.00998059j 0.0611946-0.0048291j -0.0253591+0.000664995j 0.0726981+0.0522889j 0.00228247+0.0167762j 0.00929239+0.0269132j -0.012833+0.000113948j 0.0281268-0.0108839j -0.0297331+0.0376572j -0.00280948-0.0527685j -0.014205-0.0190186j 0.0246665+0.0191495j -0.0296428+0.0286835j 0.0371904-0.0038499j 0.009929+0.00900354j 0.0101978-0.00720806j -0.0485932-0.00785535j -0.0337994-0.0218701j -0.0204575+0.0108399j 0.0267039+0.0142427j 0.0252235-0.00345349j 0.00131768-0.00136037j 0.0380954-0.0190229j 0.025403+0.0176907j -0.0270421+0.0391445j 0.0287998-0.0103153j -0.0138026+0.0015792j 0.0379413+0.016457j 0.0148922+0.0136212j -0.064357+0.0184671j 0.0220664+0.00701264j -0.0073894+0.00111546j -0.00784401-0.00330166j -0.00535733-0.00170986j -0.00366618-0.00269877j 0.0167495+0.0232642j -0.014934-0.00829713j 0.0616727-0.00837065j 0.0187428+0.015415j 0.0189864-0.0241975j -0.00505625-0.0576677j 0.0273281-0.00477354j 0.0226067-0.0491979j 0.00255285-0.026817j -0.0236073+0.0465261j -0.0114988-0.00454394j 0.0176475-0.015856j -0.021185+0.000314896j -0.00526114+0.0390765j 0.020476+0.0500148j 0.00237207+0.0297968j 0.00591244-0.0362808j 0.0571016-0.0149384j 0.0571179+0.000876783j -0.0361211-0.0478197j -0.0464825-0.0572018j 0.0414183+0.0399587j -0.0235737-0.00543161j -0.0248186+0.0624484j -0.00795418-0.0460906j 0.051661-0.0241051j 0.0379375-0.0759501j 0.0761397-0.0258804j -0.0189503-0.0622449j 0.0420646+0.01412j -0.0325674+0.087602j -0.0184608+0.05678j 0.00922097-0.00778671j 0.0704855+0.00270499j -0.0065712+0.00476669j -0.0613016-0.0109321j 0.0402266-0.0221013j -0.00148936-0.0374869j -0.0425191-0.0565538j 0.0142456+0.0468028j -0.0128413-0.00397386j -0.0359223+0.0794173j -0.00359629+0.0188534j 0.00519223-0.0719957j 0.0398002+0.0516655j 0.0088041+0.0305098j -0.0126833+0.0221548j -0.0250319+0.0721443j 0.0104679+0.0190285j 0.00814994-0.0107829j 0.0101841-0.000155786j 0.00968951+0.00564082j 
0.00826036-0.0101747j -0.0264752-0.00163741j -0.0324878+0.00333626j -0.0182265-0.00482331j 0.039982+0.0685685j 0.000357693+0.0278275j -0.00994365-0.0312138j -0.0297048+0.0169351j -0.0154009-0.0338179j 0.000372525+0.0191669j 0.0210497-0.0375593j -0.0284741-0.0427526j 0.00914449+0.0294149j 0.000134186-0.0321398j 0.00966254+0.0147885j -0.00585023+0.0609028j -0.0119899-0.0253169j 0.0239368-0.013416j -0.052779+0.00586742j -0.0114604+0.0278578j 0.00655451+0.000683931j -0.0445763+0.0309255j -0.0288434-0.0270458j -0.00812721+0.00384341j 0.0120971+0.0097176j -0.0336568-0.0140838j 0.0102364+0.0315369j 0.0205701+0.0156614j -0.000195533+0.00126248j 0.0308836+0.00162068j -0.00154247-0.00828723j 0.0280199-0.0226145j -0.00490373+0.0140101j 0.00687116-0.0125394j -0.0104621+0.0156379j -0.00405897+0.0236625j -0.00598326-0.00749704j -0.019136+0.0238847j -0.0395521+0.038386j -0.0137868-0.0119356j 0.00395971+0.00914914j -0.0293865+0.0219913j 0.0817298-0.0300243j 0.0144666+0.00139564j 0.0476493+0.0213755j -0.0228623-0.00421437j 0.0393066+0.0220696j 0.00622854-0.00981208j 0.00774895+0.0143562j -0.0178757-0.0320702j -0.0133522-0.014755j 0.0170887-0.0145182j -0.0381983+0.0378163j 0.0389921-0.0274801j 0.00215964+0.0387605j 0.017184-0.0111695j 0.0375364-0.0568375j -0.0175496-0.0572652j 0.0293275+0.0534263j -0.0182656-0.0243085j -0.0321996+0.0164836j 0.0451444+0.0127776j 0.0139867+0.0408796j 0.0401037+0.0649168j -0.0470802+0.0531938j 0.00887763+0.0080966j 0.00738419-0.0202907j -0.0147195+0.0351031j -0.0413574+0.0106935j -0.0350824+0.0598103j 0.0041631+0.0308608j 0.0261664-0.00293794j 0.0424463+0.030038j -0.0631454-0.0323811j 0.0300293+0.00359194j 0.0152033+0.00922249j 0.0222425+0.0215934j 0.0406851-0.0284408j 0.016462-0.000849807j -0.0174716-0.0406202j -0.0406517+0.0571747j -0.0242893-0.0833227j 0.0438541+0.00375294j 0.000864892-0.00624154j 0.015601-0.0538142j -0.0464026+0.0360016j 7.96981e-05+0.0247394j 0.0520596-0.0187336j -0.00996831-0.0338522j 0.025523-0.0082768j 0.0226349-0.0103882j 0.0162356-0.0233648j 0.0227477+0.0190345j 0.0377759+0.0318368j 0.00805117+0.00589069j 0.0253511-0.00825852j 0.0115679+0.000916163j -0.012371+0.00415377j 
