0.140778-0.131786j 0.0592332-0.123045j 0.00954991-0.0108349j 0.204922-0.194814j -0.012953+0.0450702j 0.056091-0.0769202j 0.0269977+0.000503906j -0.014816+0.0235078j 0.00526219+0.0241826j 0.0668459-0.0340906j -9.27181e-05+0.0041497j -0.00639597+0.000857466j 0.00567128+0.00123848j -0.00327303+0.00361471j 0.00870323-0.000743038j -0.0094114+0.00184982j 0.00470676-0.00225523j -0.0377152+0.0149488j 0.00769483-0.000993677j -0.00588653+0.00312736j -0.00352838-0.0110252j 0.00146092-0.00114415j 0.00380477+0.00669722j -0.0303605+0.00884637j 0.00628348-0.00419884j 0.00175113-0.00256909j 0.00154486-0.00711188j -0.000639448+0.00139822j -0.0062513+0.00451136j -0.0148686+0.00322467j 0.00378641-0.00548458j 0.00630243-0.00762172j 0.00247074-0.0029133j -0.00281764+0.00573721j 0.00031333+0.00470412j -0.00518073-0.000178552j -0.0103745+0.0130212j 0.024915-0.00506731j 0.000315772+0.0131908j -0.032948+0.0129169j 
-0.0380722+0.000901886j -0.175891-0.0305659j 0.00418551+0.00753579j 0.0349435+0.00277425j 0.0107154+0.0074189j -0.029183-0.0248961j -0.00470291+0.00515727j -0.0117834-0.0143635j 0.0116651+0.00126217j 0.0254076+0.0198849j -0.0030301-0.0120338j 0.00765956-0.000264549j -0.00163591+0.0135459j 0.00116866+0.000683224j -0.0131935-0.0126385j -0.00425197+0.0265637j 0.00792608+0.0170192j -0.0060591-0.0105826j 0.00309078+0.00388121j 0.0096447+0.0168502j 0.0102406+0.0121753j -0.00761284-0.00805549j 0.0070949+0.0109782j -0.00578446+0.00303057j 0.00978078-0.00554528j 0.00268101-0.016891j 0.00942497+0.0130107j -0.0018781+0.00657539j 0.00951739-0.00147533j -0.0047662-0.00435679j -0.00822229-0.00629717j -0.00980024+0.00560649j -0.00141823-0.0108948j -0.0034407-0.0083654j -0.00642576+8.70934e-05j 0.000590442+0.00387749j 0.00895596-0.00241124j 0.00128501+0.000871971j -0.000528844+0.000904772j -0.00922231-0.00149765j 
0.0845395-0.0845631j 0.185123-0.138743j 0.00318133+0.00969107j 0.00972127-0.108097j -0.00710058+0.0233371j 0.0136791-0.0577896j -0.00426822+0.00903982j 0.0297805+0.0386078j -0.028001-0.00145838j 0.0318196-0.00935916j 0.00394342-0.00176228j -0.00909377+0.0164438j -2.80532e-05-0.000149337j -0.00293206-0.00336899j 0.00379491+0.016502j 0.00167551-0.00275164j 0.0233571+0.00896414j 0.0032212+0.00937886j 0.00999161+0.0109248j -0.015587+0.00953928j 0.0120035+0.0091563j 0.00884894-0.00760982j 0.00190901+0.00650531j -0.00639483+0.00515709j -0.00795892+0.00868936j 0.000724463+0.0090986j -0.00114303+0.0124547j 0.0191559+0.00152426j 0.00170618-0.000581687j 0.00848941+0.003153j 0.00750308-0.00771107j -0.000410289-0.0079939j 0.0090075-0.00666426j -0.0142963-0.00766441j -0.00617331-0.0195329j 0.0110479+0.00401335j 0.000660057+0.0195877j 0.0107402-0.0188426j 0.0021564-0.00836072j -0.000521933+0.0118486j 
-0.0358742+0.0225939j -0.011661+0.075303j 0.0101642+0.014491j -0.0815695+0.0416408j 0.0169862+0.0183517j -0.0321098+0.0455416j 0.0045501+0.0417363j 0.00832881-0.0167349j 0.00860153+0.0101252j -0.0042114-0.00949072j 0.0251413-0.0204067j 0.00720939-0.00934473j 0.0105782-0.0261194j 0.0108771+0.026777j 0.00166364+0.0164155j 0.0031787-0.00526081j -0.0120888+0.011952j 0.0100871-0.00756433j 0.00864359+0.00213334j 0.00172897+0.00175297j -0.0110265+0.00768158j 0.0113344-0.0113003j 0.00491344-0.0111519j 0.011741-0.00704722j -0.00829302+0.00659597j -0.00368722-0.0100636j 0.00617192+0.000133863j 0.0109695-0.00444583j -0.00478029-0.00127756j 0.00883619+0.000774579j 0.00133707-0.00412178j -0.00259621-0.0022861j 0.00507206-0.0032041j -0.00352536-0.000514746j -0.0109354+0.00259961j 0.00951073+0.00297789j -0.000127289-0.00565956j 0.00423343-0.00180791j 0.0023616+0.00226852j 0.00448887+0.00147495j 
0.0210096-0.0118466j 0.123343-0.187719j -0.00694825+0.0158002j -0.0771887+0.135984j 0.0285104+0.0134171j -0.0118324+0.037528j -0.00819978-0.0185568j 0.0432507-0.0248032j 0.00510762-0.00338031j -0.000644905+0.0296748j -0.0135032+0.0087026j 0.00178697-0.0148492j 0.00138769-0.00899524j -0.00826618-0.00312483j -0.0011541-0.000368648j -0.00852068-0.0144073j -0.00378958-0.0034748j -0.00265554+0.00095644j -0.00536992+0.00195417j 0.0148396+0.00881683j 0.0132032-0.00651831j -0.00758516+0.0075707j 0.00178926+0.000684385j -0.00201042-0.00527941j 0.00462374+0.00734345j -0.0128255+0.00158113j 0.0132106+0.0122152j -0.00737083-0.00150181j 0.00178047+0.00198887j -0.00725257-0.00926935j 0.00090613-0.00374959j -0.00576382+0.00677156j -0.0130343+0.0115508j 0.00635169-0.00323452j 0.00754429-0.00276143j 0.000937424-0.0102936j 0.00320634-0.0083354j -0.0064432+0.00108969j -0.0056795-0.0045327j -0.000942511-0.0114743j 
0.0256132+0.110908j 0.0866075+0.389438j -0.010937+0.0120059j -0.0176017-0.0862748j 0.0107306+0.0161396j -0.017803+0.0109767j -0.0374097-0.0167947j -0.0144099+0.0145362j -0.00480727-0.0108398j 0.00771076+0.0302747j -0.0106929+0.00111673j 0.00833794-0.00786312j -0.00755879-0.00446439j 0.0110083-0.00342267j 0.00189064-0.00307648j 0.00287911-0.00214961j 0.0144333+0.0169546j -0.00309868+0.00986063j -0.0068077+0.00650868j -0.00932244-0.0163717j 0.00534093+0.00373421j 0.000460995+0.00234594j -0.00137363-0.000748843j -0.0023894-0.00550718j -0.000347749+0.00542201j -0.00542353+0.00884548j 0.000320753-0.00173317j 0.00331946+0.00229264j -0.00319493+0.00350792j -0.00615393-0.00364929j 0.00406489+0.00983225j -0.0044339+0.0293597j 0.00510983-0.00149474j -0.00548372+0.00129628j 0.00860212+0.00676469j -0.00593627-4.46057e-05j 0.00787221-0.00330412j -0.00337315+0.00605026j 0.0071251-0.0102206j 0.00759053-0.00510826j 
0.111597+0.0244296j 0.187639-0.0876225j 0.00688344+0.00907199j 0.108558+0.10142j -0.029208-0.0259795j 0.0556222+0.0324058j -0.0181402+0.00276797j -0.020138-0.00552469j -0.0238799+0.0054634j 0.0054656-0.012594j 0.0119015-0.0162413j -0.00661275-0.0148814j 0.0087377-0.00614686j 0.00659271+0.00666153j -0.00593786-0.0226767j 0.00775297+0.0125149j 0.0196067-0.0123479j -0.004447-0.0275151j 0.00831387-0.00143528j -0.00820454-0.0111053j 0.00101209-0.000748963j 0.00410679-0.00484217j 0.0088342+0.00792114j -0.0038205+0.000213503j -0.00295322-0.00775512j -0.00631556-0.000180381j -0.0107965-0.0133731j 0.00423203+0.00851116j 0.00212369-0.00501924j 0.00178534-0.0042807j 0.0086672+0.00581191j 0.0057374-0.00406946j 0.010831-0.00588925j -0.0100643-0.0101207j 0.000829002+2.90798e-05j -0.00533614+0.00255114j -0.0121221+0.00453927j -0.000186836+0.00609649j -0.00885918+0.00810135j -0.0106819+0.000172447j 
0.0234664+0.0352309j 0.147799+0.0626411j 0.00333781+0.00253837j -0.0571626-0.00179027j 0.0066192+0.0272566j -0.00646076+0.00356893j 0.0303743-0.002698j 0.00449281+0.0111959j -0.0106904+0.0301478j 0.0128476+0.0190836j -0.0156469-0.0196699j 0.0132593+0.0149j -0.0117396+0.0091789j -0.0059764-0.012155j -0.00232861+0.000299564j 0.00258351+0.000119386j -0.00815511-0.0125896j 0.0146458-0.000436831j -0.00267316-0.0103395j 0.00368923+0.0181401j -0.00348658+0.00300852j 0.0036077-0.0151384j -0.0161253-0.0106963j 0.00702857-0.00686385j 0.00620588-0.00421572j 0.00115452-0.00350536j 0.00813007-0.015286j -0.000437309-0.00372498j 0.00573755+0.00412433j -0.00515733-0.0116825j 0.00243998-0.00797809j 0.0212578-0.00886605j -0.00861881+0.00339024j 0.00226953+0.000212424j -0.000261236+0.0102811j -0.0122125-0.00174636j -0.00304972+0.00375458j -0.00518478+0.0131526j -0.00168378+0.0145741j -0.00189639-0.00426482j 
0.0497309-0.0943331j 0.103751+0.0156418j 0.000329182+0.00232011j -0.00759633-0.239051j -0.00684052+0.0353405j -0.00443877-0.0816797j -0.022237+0.00737757j -0.00773372+0.0346466j 0.00596947+0.0215179j 0.00926337-0.0539914j -0.0167114+0.00856975j 0.013144-0.0156195j -0.0115365-0.00474998j 0.000139036+0.0161257j -0.00366053+0.011603j -0.00621389-0.0032535j -0.0292786-0.00152491j -0.0013505+0.00643401j 0.00296985-0.000102637j -0.00747577-0.00669961j 0.00600505+0.00314472j 0.00125034+6.53767e-05j -0.0147916+0.0129787j -0.00138826+0.0196221j 0.00293054-0.00342739j -0.00110858-0.00288549j 0.0139309-0.00237005j 0.00244716-0.00645293j -0.00229473+0.00306743j 0.00268798+0.00513345j 0.000328834+0.00477192j 0.00494785-0.0114j -0.00223844+0.0055139j 0.00595128+0.00189237j -0.00370479+0.00519652j 0.00775875-0.00643392j -0.0030294+0.00639211j 0.0108994-0.0239309j -0.00134995-0.00876596j 0.00124469+0.0135277j 
-0.0489677-0.0237808j -0.0257355+0.044349j 0.00808105-0.0150261j -0.120617-0.0365906j 0.0324901+0.00602314j -0.0427318+0.00549285j 0.0313014+0.00291241j 0.0324677-0.0340041j 0.00964026+0.0300838j 0.00526389-0.03833j 2.15574e-05-0.022972j 0.0192271+0.000387997j 0.00402176-0.002818j 0.00361615-0.00896121j 0.0185243-0.00970894j -0.00169264+0.00279626j 0.0107386-0.00678355j 0.0224513-0.0116099j -0.00403278+0.00552336j 0.0107601-0.0130389j -0.000599507+0.00371964j -0.00821469+0.0108221j 0.00648494+0.00884325j 0.00791735+0.00471927j -0.00168956-0.0029973j 0.00309071+0.00663103j -0.0170993+0.00852696j -0.00790719+0.00289745j -0.000580892-0.00516005j 0.00198986+0.00154421j -0.00201278+0.00820952j -0.0154333+0.00162708j 0.00725077-0.000546368j 0.00154208+0.00569158j 0.00546322-0.00461877j 0.00141491-0.00290758j 0.0161406-0.00550958j -0.0107777-0.0179581j 0.000881097-0.0141923j 0.01613-0.000710111j 
-0.0332282+0.0169726j 0.0918169+0.0686798j 0.0016683+0.0267049j -0.143428-0.0111173j 0.0251154-0.00849994j -0.0437203-0.0108363j -0.00438385+0.00056216j 0.0318823+0.0174905j -0.011519-0.0221573j -0.000987993-0.00894152j 0.0310412+0.00266125j -0.0151189-0.0231017j 0.007684+0.00935722j 0.0182692-0.00611444j 0.00472442-0.00357452j 0.0109041+0.00910884j 0.000245261+0.00383933j -0.00255594-0.0333956j -0.00863523+0.0187969j -0.00156029-0.00809936j -0.0069863-0.00128682j 0.00136361+0.00569366j -0.00563905-0.00968084j 0.00621065-0.0148174j -0.00515631-0.00425912j -0.000497115-0.00345528j 0.00340816+0.0179384j -0.00432619+0.00306843j -0.00689429+0.00157565j 0.000979508-0.00378418j 0.00178748-0.00697918j -0.00890773+0.000211677j -0.0122641-0.00073227j -0.00164414+0.00301918j 0.00885287+0.00835887j -0.0017608+0.00938983j 0.0102904-0.0147698j -0.00575421+0.0173154j -0.000954843+0.0070807j 0.0106861-0.00919122j 
0.0223272-0.0749881j 0.0236294-0.0313045j 0.0105104-0.0103259j 0.000265975-0.174418j -0.0353703+0.0411291j 0.000363522-0.0553567j 0.00560693+0.0470913j 0.0121422+0.0303492j -0.0337546+0.0235235j -0.00551355+0.000100903j 0.0105714-0.0188083j -0.00752255+0.0103499j 0.00994625-0.0118975j 0.0169828+0.00421756j -0.011152-0.00980239j 0.00706753+0.00406994j -0.00163943-0.0109277j -0.0035038+0.0200485j -0.0088215-0.00923233j 0.00351528+0.00238909j -0.00717737-0.00435167j -0.00943748+0.00534783j 0.00437818+0.00743022j 0.00456557+0.0218148j 0.00503393-0.000696171j 0.00380188-0.00124634j -0.00374259+0.00417042j -0.0234202+0.00333232j 0.00222974-0.00387992j -0.00151962+0.00563897j 0.00487293+0.000536837j -0.00480783-0.00689088j 1.59483e-05+0.0103963j 0.0113967+0.00506823j 0.0135659-0.00405339j -0.00826174-0.0076363j -0.0010612+0.0123512j -0.00351597-0.0167307j -0.00445695+0.000423178j 0.00118178+0.010866j 
-0.0734636-0.00708855j 0.099632-0.051584j -0.00876791-0.0157737j -0.234236-0.026729j 0.063149+0.0442066j -0.0722496-0.0148449j 0.0231622-0.0360184j 0.0101227+0.0166679j 0.0429848+0.0334825j -0.051267+0.0241205j 0.00359482-0.00133435j -0.00256335+0.00618529j 0.00630657-0.0010093j -0.00802505+0.00330021j 0.0118907-0.00771395j 0.00763078-0.00277791j 0.0139263+0.0046517j 0.018208+0.00207988j 0.00678707-0.0112595j -0.00768176+0.011417j -0.00259675-0.0130839j 0.00255582-0.00182611j 0.00751684+0.0224824j 0.00911454-0.00653462j -0.0069427-0.0067587j 0.00355274+0.012027j -0.00369108-0.00721202j 0.00611387-0.000379513j 0.000718365+0.00595517j 0.00407038+0.00111747j -0.00625483-0.00210945j 0.0008428+0.0063814j 0.00377858-0.00599577j -0.0100404+0.00222325j 0.00896131-0.00733793j -0.00815927-0.00485305j 0.0127865-0.00497248j -0.0210779+0.0110437j 0.00742363+0.0114535j 0.0192237-0.0121839j 
-0.0131576-0.0441671j 0.024983+0.086428j 0.0336852+0.00116962j 0.0633733-0.0960211j -0.0272365+0.0427848j 0.009809-0.00106315j 0.0352845+0.015124j -0.0223904-0.0192032j -0.0282766-0.00110019j -0.0463272-0.0104809j -0.00706546+0.00283094j 0.0104156+0.00405352j 0.00770947+0.00637514j -0.0109327+0.00427021j 0.00901165-0.000989581j -0.0100563+0.00558924j 0.00926396+0.00356362j 0.00505719+0.0154746j 0.0105621+0.00894303j -0.00137042+0.0109103j 0.00160853-0.015563j -0.0128382+0.00744661j 0.00489159-0.00394182j 0.0060888-0.00273684j -0.00909177-0.00383792j 0.00931571-0.00577031j -0.00789089+0.0019915j 0.00299324+0.00219709j 0.00702327-0.00498844j -0.00547197+0.00226737j -0.000915753-0.00139383j 0.00261274-0.0126347j -0.00193747+0.00268634j 0.000849462+0.00465547j 0.00189583-0.00397147j 0.00947594+0.0075395j -0.00423772+0.00123552j -0.00227237-0.00514771j -0.00540169+0.00227072j 0.00557455+0.00292133j 
0.0842878-0.153731j 0.0375967-0.0325955j -0.0147735+0.0106829j 0.192855-0.226053j -0.014146+0.0286649j 0.0755184-0.0630531j -0.000911289-0.0308984j -0.0407179+0.0078159j -0.00193046-0.0067088j 0.0372573-0.0669197j 0.00122474-0.0054022j -0.00693818+0.00589796j -0.00373672+0.00159584j 0.00386268-0.000529968j 0.00694449+0.00105458j 0.000897591+0.00913868j 0.00818208+0.0001158j -0.0141489+0.0285531j -0.0116766+0.00187396j 0.00573943+0.00703284j -0.00678368+0.00334084j 0.00347359+0.00190968j -0.00544617-0.00622346j -0.0131771+0.0291218j -0.000894516-0.00666219j -0.000944523-0.0010678j 0.00442927+0.00358658j -0.000955696+0.00319055j 0.00115085-0.000884092j -0.00330997-0.000717656j -0.00107334-0.00164311j 0.0110742-0.0111928j -0.00392371+0.00245189j -0.00130411-0.000300636j 0.00138951+0.000837453j -0.00608895-0.000568379j -0.0171394+0.0163037j 0.0142237-0.0288009j 0.0066482-0.00150409j -0.0137818+0.0314398j 
0.151602+0.0904305j 0.0311153+0.0383042j 0.00175392-0.0216982j 0.229929+0.205495j -0.0232217-0.0324043j 0.0679051+0.0895899j 0.022357+0.000944476j -0.00803973-0.0497017j -0.00189943+0.00098453j 0.0755171+0.0384377j -0.00271164+0.00153566j -0.00869721-0.00691457j -0.00293661+0.00269817j 0.000810346-0.00276203j 0.00480143+0.00840192j -0.0088589-0.00158251j -0.00461922+0.0127956j -0.0398185-0.015352j -0.000970185-0.00731241j -0.0063494-0.00225997j -0.00969372-0.0026004j 0.00429488+0.00587739j 0.00119438-0.0091078j -0.0292282-0.0183317j 0.00589104+0.0073396j 0.000631391+0.00119693j -0.00303997-0.00189015j 0.000263937-0.00442801j -0.00318225-0.00379877j -0.0101263-0.00525162j 0.00422942+0.00249903j 0.00974496+0.0152622j 0.00453631+0.000592544j -0.000421879+0.00371166j -0.00265802+0.00343172j -0.00112569-0.00691343j -0.0179913-0.0156012j 0.0322715+0.014864j 0.00387899+0.00201511j -0.0335049-0.018242j 
