0.00854044-0.0043954j 0.00296173+0.0197688j -0.015314+0.00252935j -0.00422086-0.00241876j 0.00596661+0.00604537j -0.0038313-0.00507215j -0.0071409+0.00642823j -0.00712712+0.00616384j -0.0124266-0.00292693j 0.0149334+0.0102502j -0.00184139-0.00336788j -0.00458074+0.00821962j 0.0112952+0.0101049j -0.0236885+0.0163863j 0.00144627-0.00275945j 0.0114288-0.00857845j -0.0188256-0.00416067j 0.0163118-0.0128632j 
-0.00253249+0.00975233j 0.0081186-0.00811386j -0.00245797-0.000123549j 0.00632929-0.0206119j -0.0132794+0.0149985j 0.00625625-0.025843j -0.0131687-0.0119263j 0.00531666+0.022995j -0.00608129+0.00481942j 0.0134229-0.0111757j -0.0056859-0.00349658j -0.0277466+0.00110668j 0.0205268+6.65377e-05j -0.0353649+0.0326949j -0.0174628-0.0116137j 0.0340233-0.008073j -0.0129517-0.00494316j 0.0211764-0.00483243j 
0.0116292+0.0215729j -0.0126999+0.00813509j 0.0151308+0.00335998j 0.0018946+0.022471j -0.00430883+0.00939202j 0.00414236+0.00570666j 0.0165072+0.011178j -0.00950369-0.00593686j -0.00585651+0.00300335j -0.00687874-0.0244103j 0.000707221+0.00290567j 0.00396259+0.0152594j -0.0140571-0.00254752j 0.00276082-0.00345195j -0.0185982+0.00955415j -0.00608599+0.00821227j 0.0214021-0.00626546j -0.0160162+0.00940536j 
-0.00294018-0.0480817j 0.00822527-0.025514j -0.00586167-0.0239256j -0.000298923-0.0125685j 0.00874358+0.00532937j 0.0101843-0.00435131j 0.0131394-0.0221285j 0.00525054+0.0139036j 0.062548+0.0185174j 0.00575119-0.00224616j -0.00990274-0.00839857j 0.00163957+0.0243808j -0.00305811+0.0220146j 0.0287391-0.0226976j -0.00190802-0.018336j 0.0313824-0.0105682j -0.00667145+0.00879291j -0.00257567-0.00735761j 
0.0324087+0.0359028j -0.0187425+0.0152323j 0.00642116+0.0382239j 0.0122378-0.0161616j 0.00185338+0.0193644j -0.00928288-0.0155783j 0.00410164+0.00271626j -0.0322119-0.0151602j 0.00245326-0.0069293j -0.0375263-0.0284435j -0.00436748+0.000580413j -0.016126+0.0149863j -0.0293288-0.00792288j 0.0417058-0.022375j -0.0182328+0.00807284j -0.0299646+0.0172281j 0.025059-0.018485j -0.0356823+0.0123666j 
0.00593736+0.00820984j -0.00140552+0.00472518j 0.00321665+0.0265481j -0.0232741+0.0114986j 0.0135691-0.0303984j -0.00787067+0.00474091j -0.011361-0.00869784j -0.00803805+0.00149036j -0.0147993-0.0017382j 0.00458692+0.00708325j -0.0599756-0.00349447j 0.000116983-0.0231839j 0.00510219-0.00513956j -0.00868717+0.00865659j 0.0087847+0.0101234j -0.0200928+0.000531574j -0.00301501-0.00374807j 0.0113385+0.00387378j 
-9.41468e-05+0.00442725j -0.0113017-0.0123853j 0.0258539-0.000760314j 0.000780199+0.00199427j -0.00719151+0.0127895j 0.0103635-0.00961687j 0.0116073-0.0126536j 0.000978645+0.0107372j 0.0132735+0.0119561j -0.00523444-0.0214482j -0.00320461+0.0049975j -0.0137783+0.00830633j 0.00355745+0.0136981j -0.00542675+0.00193001j -0.0167927-0.00809778j 0.0219135+1.9532e-05j 0.00594036-0.00418504j -0.000630862+0.00199561j 
0.00871432-0.00281879j -0.00944337+0.0187692j -0.0175411-0.0241533j 0.00296602+0.0036636j 0.00481291+0.00907445j 0.00178926+0.0109352j 0.00421716-0.00342651j -0.00724267+0.00380053j 0.0143841-0.00231963j 0.0234606+0.00257026j 0.00260708-0.000631085j 0.0114647+0.00702285j -0.0115385+0.0153401j -0.00847207-0.00193007j -0.0134697-0.0151192j 0.0317323+0.00935458j 0.00412326-0.022177j 0.00936348+0.0111647j 
-0.0175971+0.0120409j 0.0097883-0.0163881j 0.0083535+0.0271418j -0.0110934+0.00221719j -0.0103529-0.00225159j -0.0233531+0.00152896j -0.00377539+0.0186071j 0.00129996-0.0164541j -0.0326873+0.0030945j -0.00767755+0.0137588j -0.00397761+0.00208879j -0.0133238-0.00864829j 0.00332576-0.0214485j -0.000765312+0.0163881j 0.00542169+0.0142058j -0.0292407+0.00402564j -0.000647716+0.0123952j -0.00504621-0.00629199j 
0.0111827+0.0308214j -0.0202886-0.00738434j 0.025789+0.024488j 0.00514013+0.0148736j -0.00662176+0.0177816j -0.00587525+0.00239009j 0.0341408+0.0140653j -0.0260717-0.0136406j -0.00466494+0.00702846j -0.0333478-0.0246985j 0.00258839+0.000598493j -0.00391216+0.0256519j -0.0381484+0.00205365j 0.0402318-0.0149807j -0.020631+0.00281475j -0.0268917+0.0206475j 0.0235715-0.0139545j -0.0398447+0.00671304j 
