-0.00503809-0.00673076j -0.00907062-0.0167567j 0.00708885-0.00196719j 0.00413095-0.00213233j 0.00174843+0.00608378j 0.0138561+0.000902065j 0.000467681-0.0168144j -0.0112326+0.0359184j -0.00267887-0.00100295j 0.00297931+0.00314792j 0.00537357+0.00318367j 0.00995054+0.0109416j 0.00291205-0.000893322j 0.0131615+0.00404245j 0.0178252-0.000987166j 0.0320955+0.00382811j -0.0755289-0.00794275j 0.00510508+0.0192746j 
-0.0411095+0.00787126j -0.00168178+0.00275368j 0.0210163-0.00299436j 0.012478+0.0348424j -0.00424191+0.0389244j -0.00780238-0.00518871j 0.014074-0.0125301j -0.00486801-0.00277861j 0.0351859+0.0061758j 0.0361112-0.00811329j -0.00718398-0.0308288j -0.0237996+0.0182334j 0.0100763+0.00985728j -0.00488011+0.004024j 0.0752096+0.0030571j -0.00852342-0.0101264j 0.0247654-0.00437041j 0.00880145+0.00130966j 
-0.0317943+0.0214191j -0.0398773-0.0210511j 0.0108002+0.0455192j 0.00732116+0.00398038j 0.0123029+0.0228922j 0.0132469-0.0395099j -0.015537+0.00909081j -0.0181082-0.0108364j -0.0459311-0.0060248j 0.0228869-0.00534471j -0.00468654+0.00461055j -0.0351977-0.0169953j -0.0118555-0.0199405j -0.00480449+0.0162584j 0.0116505+0.000423604j -0.0347737+0.00121034j -0.0044893+0.00250384j 0.00854866-0.00702263j 
-0.025694-0.00900246j -0.0192628-0.00434036j 0.0244711+0.0234191j 0.00803278-0.0478892j -0.0115882-0.0306203j 0.00801329-0.0264388j 0.0145842-0.00555263j -0.00832275-0.00967471j 0.0303314-0.00287202j 0.0102177-0.00609177j -0.000978894+0.0154061j 0.0123822+0.0101611j 0.0138605+0.00254512j 0.0645353+0.00120886j 0.0215254+0.00566608j -0.0268713+0.00499989j 0.0230146+0.00466122j -0.0107361-0.00263297j 
0.0581445+0.0153454j -0.0253041+0.00431412j -0.0256497+0.0103007j -0.0183795+0.0304165j -0.00367748+0.0049737j 0.0194808+0.00177976j -0.00672101-0.00446784j -0.00744666-0.0100899j 0.0577045-0.00340244j -0.0345653+0.00902533j 0.00188242-0.0170487j 0.0309564-0.0139959j -0.0158303-0.0159834j -0.00936166+0.0145765j 0.00495475-0.00681836j 0.0179224+0.0127855j -0.000156709+0.0118204j 0.0140474-0.00993124j 
0.0057365-0.00398252j -0.0258788-0.00436752j -0.00193743-0.00685299j -0.00229344-0.0207869j 9.54094e-06+0.00443467j 0.0212514+0.0227917j 0.00890096+0.00663865j 0.000418809+0.0179622j 0.00711987-0.00826826j -0.0296784-0.00454597j -0.0035538-0.0162048j 0.0200917-0.0160544j 0.00135719+0.00189976j 0.0169944-0.00102804j 0.048776+0.000746266j -0.029658-0.00447628j -0.0196647-0.00848639j -0.00338327+0.0131781j 
0.00912909-0.00126511j 0.00362452+0.00142861j -0.00947755+0.00418421j -0.00541845+0.0340738j 0.0109162+0.00968211j -0.00502836-0.0268253j -0.00840777+0.000314887j -0.00275193-0.0028971j -0.0115321+0.00280004j 0.0283489+0.000384016j 0.000473127-0.00981492j -0.00461995+0.0162311j -0.0225788+0.0207912j -0.0245968-0.00199622j -0.0230135-0.000909169j 0.0189944-0.00403994j 0.00501048-0.0043559j -0.00439241+0.00314575j 
0.0259191+0.00282096j -0.0354646-0.0120867j 0.00511927+0.0172139j -0.00864688+0.00812028j 0.00238697-0.00218168j 0.0223053-0.0178136j -0.00665032+0.0140487j -0.00456728+0.0100893j 0.0345968+0.00210623j 0.011059+0.0020732j -0.00183609-0.00661627j -0.0100254-0.00222449j 0.00399106+0.0134745j -0.0280606-0.0067011j -0.0689334+0.00171178j 0.0392181-0.0122902j -0.0153259-0.012438j 0.00738309+0.0094979j 
0.0465287-0.000955301j 0.00825736-0.00187439j -0.0239094+0.00631608j -0.00431073+0.0196152j 0.00294672-0.0011597j 0.00187317-0.0157579j -0.019651+0.00536453j 0.00208778+0.00229659j -0.0622845+0.00523135j -0.0429136+0.00726019j 0.0109222-0.00232735j 0.0396903+0.00566957j -0.0217116+0.0113048j 0.0441475-0.0062118j 0.106573-0.00415511j -0.0448939-0.00347468j 0.0150825-0.00438044j -0.0148164+0.00212366j 
0.0216767+0.00469436j -0.0193224+0.00317178j -0.0106046+0.0128392j -0.0114105-0.00359484j -0.000857408-0.00541284j 0.0113564-0.0156653j -0.000596268+0.0250664j -0.00799171+0.00856423j 0.018983-0.00537136j -0.00869933+0.00122422j 0.00264698+0.0116244j 0.00724966+0.00390932j -0.00209726+0.0177334j 0.0188337-0.0128015j 0.0072949+0.000750284j 0.00680646-0.0114996j 0.0150027-0.016223j -0.00685893+0.00865117j 
-0.00947995-0.025235j -0.0504232+0.0119314j -0.0154575-0.0129678j -0.000609311-0.00201426j 0.000918772-0.00437247j 0.017247-0.0193715j -0.0283896-0.00359148j -0.024701+0.014808j 0.00291109-0.00420293j 0.00442171+0.0182006j 0.00175657+0.00454825j 2.99423e-05+0.0214295j -0.0199037+0.0133362j 0.00418819-0.00476803j -0.0117053+0.000311512j 0.00053961+0.000308706j 0.00581548+0.00745598j 0.00575683-0.00272133j 
0.0333914-0.00902148j -0.0174245-0.0285311j 0.000305312-0.00642442j -0.0123557+0.00542613j 0.00443468-0.00548646j 0.0180322-0.0165043j 0.00991459-0.00714534j 0.00608238-0.00710521j 0.00758879-0.00345491j -0.00554997+6.52474e-05j 0.000580427+0.00366328j 0.00957453-0.00773332j 0.0198931-0.0201793j -0.00479552+0.00892149j 0.00562438-0.00415872j -0.00864403+0.00720247j -0.0180499+0.0117026j 0.00819967-0.00448702j 
