-0.0745479-0.259919j -0.154002-0.209652j -0.218273+0.0504489j 0.0405952-0.0142187j 0.0274845-0.136427j 0.128849-0.164366j 0.439015-0.032041j -0.136574-0.257478j 0.154565-0.382397j -0.117543-0.0533126j 0.0708858-0.0845165j 0.0943564+0.0196747j -0.199255-0.0241798j 0.102441+0.0991527j -0.127536-0.0824403j 0.0274112+0.00935419j -0.0590256+0.00826818j 0.0573403-0.0537893j 0.018753+0.00294487j -0.12896-0.023928j 0.175788-0.0574203j -0.0931242-0.0102581j 
0.028782+0.0128957j 0.0371551+0.0402688j -0.000242369-0.022941j -0.00741356-0.00248912j -0.00768329-0.00458197j -0.0142995+0.034873j -0.064717-0.0278552j -0.0391763-0.102085j 0.00941298+0.0040059j 0.0162592-0.0241181j -0.0355239+0.0428249j -0.0144242+0.00856137j -0.00242376+0.0381629j -0.0180267+0.0207158j 0.0274262+0.0693653j -0.0133241+0.0399654j 0.00805498+0.0712562j 0.0979088+0.00598471j 0.0172154-0.0276152j 0.097871+0.046833j -0.135799+0.0384368j 0.0286196-0.0322843j 
0.00140142+0.00443769j -0.00642845+0.00700206j -0.00963748-0.0154942j -0.00137876-0.0176148j -0.0215168-0.0167552j 0.0109538-0.0198949j 0.0108461-0.0363934j -0.0161441-0.0253866j 0.0353326-0.0218444j -0.0109329-0.00964416j -0.0178097-0.0148672j 0.00434159+0.00139035j 0.0107087-0.0121993j -8.57517e-05+0.01903j 0.0262785+0.0118037j 0.0432765+0.0429833j -0.00420457+0.0257967j -0.0147819-0.00705903j 0.0393349-0.0123311j -0.023304+0.0294305j 0.0299467+0.0321714j -0.0741104-0.0330792j 
-0.00554739-0.0123875j -0.0201063-0.0057578j 0.0258158+0.00306933j 0.00280845-0.00760934j -0.0123217+0.00742901j -0.00362502+0.00841981j 0.0180475-0.0176229j 0.0426446-0.00166234j -0.00513934-0.00954724j -0.010527-0.000149735j -0.0542663+0.04049j 0.0331991-0.0130707j -0.00302158+0.0494797j -0.00236541-0.0314265j 0.00657364+0.0188773j 0.0252722-0.0353414j -0.00221495-0.00649946j 0.0458562+0.00655745j 0.0202236+0.0241072j -0.0512291-0.0270101j -0.00794963-0.0238022j -0.000800241+0.00489335j 
0.0320696+0.00729877j 0.0551125+0.011146j 0.0384255+0.00522424j 0.000875642+0.0110532j -0.0137958+0.0267203j -0.0127924+0.0183313j -0.0738972-0.0347156j -0.0606026+0.0016035j -0.014571+0.00856704j 0.00421874+0.0146887j 0.0062612-0.0267172j 0.0103419+0.000482826j 0.0241446-0.0238751j -0.0299754+0.0535031j 0.00215971+0.00877655j -0.022309+0.0297337j 0.0259325+0.00705926j 0.092557+0.0112345j 0.0145987-0.00823331j 0.015625+0.0170389j -0.0331174+0.0275232j -0.0216408+0.00357188j 
-0.00742536+0.0216056j -0.0107328-0.00151345j -0.00387708-0.00141614j 0.0128584+0.00899613j 0.00353058+0.00716726j -0.000219827+0.00367502j 0.0141617+0.00177313j 0.0154198-0.0123319j -0.0134181+0.0223771j 0.0184376-0.000120688j -0.0444103+0.037314j 0.00222362-0.00312996j -0.00772852+0.0229596j 0.0170463-0.0142089j 0.029009+0.00788832j 0.0582379+0.0286113j -0.00291347+0.0065553j -0.0492647+0.0116086j -0.000258739-0.0143674j -0.018753+0.0063676j 0.0257054+0.0151442j -0.0322246-0.00838597j 
0.00173827-0.0246131j 0.0114322+0.0256231j 0.00104504-0.00122844j -0.053326-0.00139222j 0.0066578+0.00542083j -0.00719087+0.00390383j -0.0240519-0.00789039j -0.0053647-0.00183825j 0.00356249+0.00477597j -0.00071158+0.00211022j -0.0124229-0.00274035j 0.00522203-0.0025033j 0.00562711-0.00907104j -0.0100547+0.00938809j 0.00335445+0.00549508j 0.0147685+0.0152281j 0.00305837+0.00605784j 0.015193+0.00341295j 0.0105632-0.00836604j -0.002779+0.00590153j 0.00358026+0.00862823j -0.0175781-0.00118603j 
-0.0362946-0.0101116j 0.000951768+0.00811402j -0.00933207-0.0382434j 0.00179427+0.00136029j -0.00841965+0.0072996j 0.0152133-0.00105331j 0.036077-0.010644j -0.008336-0.0286672j 0.0197139+0.00778097j -0.0144815+0.00255191j 0.0293185+0.0168611j -0.0131339-0.00083231j 0.0215738+0.0242954j -0.0249976-0.0303309j 0.0537472-0.0138338j 0.0352193-0.0478636j 0.0159116+0.000307738j 0.0151683+0.000773924j -0.00879893+0.0039838j 0.0180024+0.00957156j 0.00982163-0.033507j 0.00633812-0.000152918j 
-0.00245144-0.000216531j -0.0144174+0.015205j 0.00306232+0.00553513j -0.00182177-0.00908711j -0.0216297-0.0065688j 0.0150723-0.00967526j -0.00730845+0.0116934j 0.00183405+0.0145523j -0.00532243-0.00308559j 0.00383625-0.0194545j -0.0267815+0.00684696j 0.00340311+0.00293061j -0.0296213+0.00502341j 0.0161376+0.0219615j -0.0244434+0.0169715j -0.0139818+0.016002j -0.0158165+0.00915265j -0.000569877-0.0106312j 0.012163+0.00897753j -0.0158148-0.0204258j 0.010187+0.00573738j 0.00699561+0.0144886j 
-0.00931688-0.0183697j -0.00901185+0.00439005j 0.00341278+0.0108781j -0.00794662+0.00785567j -0.0211732-0.00226017j 0.0107317-0.00372289j 0.0273872+0.0020365j -0.00423992+0.0506005j 0.00906741-0.0136941j -0.0147047+0.000706902j 0.0501281-0.0577526j -0.0163567+0.0269558j -0.00127096-0.00265115j -0.0124081+0.0206988j -0.0137436-0.0554127j -0.0402359-0.0449934j -0.00378828-0.0187201j 0.00563837-0.0232888j 0.00143482+0.0209628j -0.00110326-0.0235598j -0.000874835-0.0312554j 0.0164304-0.0121493j 
0.00302269+0.00791899j -0.00983352+0.00964411j 0.0252116+0.0188546j -0.00333288-0.0153146j -0.0128202+0.0107935j -0.0139278+0.005879j 0.0120359+0.0212888j 0.0207584-0.00889997j -0.0202132+0.0281705j -0.0206685-0.0304261j -0.0266927+0.0452276j 0.00751439-0.0100167j 0.00916659+0.0424278j -0.0261038+0.00171498j -0.0469282-0.00496888j -0.000139785-0.0543427j -0.0092564+0.000728351j 0.0686424-0.0223721j 0.051675-0.0171718j -0.0820206-0.015009j -0.0110167+0.0098028j -0.0296289+0.00790764j 
-0.00814541+0.00610587j -0.0172086+0.00705854j -0.010407+0.000289224j -0.00906811+0.0122678j -0.00403195+0.0165967j 0.0113436-0.0130884j 0.0161759+0.0154118j 0.0182379+0.00887836j -0.0257501+0.000947423j -0.00120083+0.017054j -0.0206093+0.0300571j 0.017622-0.0169769j -0.0024886-0.0246676j 0.0466238-0.0186984j 0.0254423+0.00489446j -0.0336094-0.0468699j -0.00727504-0.00631081j -0.0955949-0.0125651j -0.0135451+0.0314999j 0.0130743-0.00831876j -0.0201535+0.0131241j 0.0197407+0.00594348j 
0.00836395-0.0190255j 0.0250056+0.0197747j -0.0149013+0.0154413j 0.00837969-0.00363327j -0.00926544+0.0079646j 0.0191383-0.00215922j -0.0031708-0.00416482j -0.0198753-0.0272069j 0.00155177-0.00191636j 0.00634392-0.000724895j -0.0215723+0.00979133j 0.00929638+0.000444635j 0.00335603-0.018691j -0.0159435+0.0174375j -0.00077548-0.0221054j 0.015852-0.000249484j -0.0032643-0.00282347j 0.00649457+0.00349452j 0.0155529-0.00576727j -0.0140223-0.00372099j -0.0100477+0.000158323j -0.0306805-0.00903577j 
0.000479774+0.00244307j 0.0064272-0.00350843j 0.00822579-0.0264015j -0.00215481+0.0198042j -0.00297335+0.00654596j 0.0048899-0.0045649j -0.00715211+0.0044999j 0.0177922+0.00564916j 0.0240709-0.00626125j 0.0106497-0.00378385j -0.00427207+0.00591313j 0.0318949-0.0156498j 0.00782615-0.000124848j -0.00570074+0.0140871j -0.0189504-0.00629214j 0.0068731-0.0101733j 0.00130184+0.0142545j 0.0192738-0.010081j 0.023125+0.00823307j -0.022955-0.00538933j 0.0019117-0.00986667j -0.00363895+0.00167516j 
-0.00757544-0.0246106j -0.00851705-0.0148313j -0.00562466+0.0133575j 0.012514+0.00470286j 0.0104479-0.016702j 0.00196986-0.019474j 0.00384556-0.0174835j -4.95221e-06+0.00472686j 0.00271328-0.0182764j -0.00412486-0.0101578j -0.00825032-0.0148212j -0.0416142+0.0361194j -0.0141884+0.00755143j -0.0193895+0.00629161j 0.00363831-0.0184665j 0.00526786+0.0154164j -0.0211197-0.0301633j -0.0131148+0.00229809j -0.0140953-0.00836729j -0.0185805-0.0166628j 0.013357-0.0156489j -0.00866399-0.0192688j 
0.00752716+0.0111092j -0.0060287+0.029951j -0.0167121-0.0141225j 0.00920275+0.0123247j -0.00474803-0.00159529j 0.00201837-0.00141049j -0.0125602-0.0110427j 0.0165414+0.0053838j 0.0128722-0.00190703j -0.00187273-0.00469473j -0.0120283-0.00369057j -0.025957+0.0201024j -0.00109023+0.00239752j -0.0114508-0.0224925j -0.0178251+0.00674362j 0.00238248+0.0222624j -0.00890676-0.0244845j -0.00120892+0.0169039j -0.021232-0.0214015j 0.00425514-0.00649913j 0.00274641+0.00665192j -0.00257441-0.00267334j 
0.00181552-0.0091875j -0.00783417+0.0137984j -0.0165543+0.00718828j 0.0157757-0.0211975j 0.00167419-0.0185139j 0.0212636+0.00690504j 0.0146828-0.009465j 0.0227829-0.00748184j 0.0253898-0.0139434j -0.0150047+0.00506635j -0.0119636-0.00117629j 0.00405918+0.0159663j -0.0108101-0.00633754j 0.0159403+0.00809776j 0.0158204+0.000356108j -0.0261145-0.00391075j -0.0097824-0.000922126j -0.0305948-0.00194422j -0.00364814+0.00853523j -0.0020223-0.0025679j 0.0167235+0.00411669j -0.0062193+0.00207606j 
-0.0187202+0.0150364j -0.0223105+0.0122968j -0.00740351-0.0148925j -0.0124587+0.00747527j -0.0220829+0.00728823j 0.0190993+0.00206671j 0.0338909-0.0144361j 0.0186588-0.0283018j -0.00977058-0.0039393j -0.0180852-0.00161852j -0.0231724-0.0036252j -0.0126358+0.0177918j 0.0136001+0.00620335j -0.00642324-0.00762121j 0.0303123+0.00538266j 0.0113238+0.00200055j 0.00162464-0.000471151j -0.050855+0.00556357j -0.000324711-0.00791393j -0.0130797-0.00259405j 0.0464069+0.0188477j -0.0463262-0.00273981j 
-0.00129563-0.000441634j 0.00507045-0.00888897j 0.00810926-0.0100161j 0.00581017+0.00752646j 0.00468765+0.00724169j -0.0157825-0.0107449j 0.0117989+0.00308566j 0.0065252-0.00502046j 0.00733462-0.00274273j -0.0215768+0.00940653j 0.0318453+0.0150199j 0.0135454+0.013507j 0.0151913+0.0228831j -0.00502887-0.0184868j -0.0102657-0.00979232j -0.0137919-0.00967336j -0.00487339+0.00575688j 0.0252696+0.00492437j 0.00126021-0.00797714j -0.0139699+0.0139374j -0.00362374-0.00194447j -0.00294601+0.00370591j 
0.0212309+0.0225789j -0.0111892-0.00339318j -0.0026084+0.00341428j -0.00766622-0.0102305j -0.00438359+0.00166271j 0.00455218+0.00895722j 0.00802573+0.000343055j 0.00855353+0.00890483j 0.00434363-0.00803212j -0.00168275-0.0180795j 0.0132435-0.0114494j 0.019375-0.0308203j 0.00645869-0.00480547j 0.0214419+0.0353792j 0.0132629+0.0278619j 0.000663188-0.0278657j 0.0230228+0.0349612j -0.0131538-0.0075384j 0.0206164+0.022311j -0.00453854+0.0100959j 0.0135967-0.000421052j -0.00414667+0.00490239j 
-0.00818897+0.013203j -0.0012459+0.00565026j -0.0120501-0.00125611j -0.00142592-0.00408592j -0.0146771-0.00319349j 0.0106947+0.000441561j -0.0154227+0.00849758j -0.0125877+0.00537026j -0.00334853+3.65631e-05j 0.00897102-0.0123567j -0.0248827+0.00591336j -0.0121649-0.0145437j -0.0207228-0.0255482j -0.0128922-0.0157044j 0.0115938+0.00440235j 0.0571699-0.0239872j -0.00485254-0.0252242j 0.019319+0.0231232j -0.00396266+0.016229j 0.00231447-0.0149405j -0.00600704-0.00436125j -0.00939822-0.012093j 
-0.0115832-0.0138103j -0.0061679+0.00960913j -0.0177942-0.00155764j 0.00803295+0.00206537j -0.0046473+0.00247598j 0.000221123+0.0015905j 0.0168019+0.00474989j 0.00878761+0.010019j 0.000859712-0.00798194j 0.0169986+0.0163214j 0.00088699+0.000919296j -0.0224379-0.00295767j -0.030003-0.00421428j -0.0273392-0.0107436j -0.00686507+0.00219071j 0.0136404-0.00363193j -0.0356971-0.0152328j -0.0072588-0.023048j -0.016217-0.0127146j -0.00140907+0.0201409j 0.0100153-0.000710029j -0.00979054+0.00603417j 
0.00937873+0.0171239j 0.0269105-0.000245848j 0.0162486-0.00861054j -0.0114531+0.00473277j -0.00148971+0.0188469j -0.00570562+0.0109563j -0.0392865+0.00247484j -0.0261243-0.0164114j -0.0158411+0.0157547j -0.0111078+0.0104559j -0.0188081+0.0114376j 0.000505618+0.0132313j -0.0142669-0.0114275j -0.00510235+0.00237143j 0.00125639+0.0434657j -0.0114819+0.0348262j -0.0119408+0.0011664j 0.0623832+0.0141589j -0.00488862-0.000418702j 0.0214931+0.0198192j -0.036849-0.00405269j 0.0262706+0.0060078j 
0.0272063-0.0206326j -0.0196353-0.00911818j 0.014846-0.000402637j -0.00712747-0.00128007j 0.000276862-0.0100614j -0.00428449-0.00349307j 0.000362412+0.0067801j 0.00503785+0.00357559j 0.00202775-0.00142228j -0.00756295+0.0230634j -0.00478585+0.00962969j 0.0132507+0.0125688j 6.61819e-07-0.00657172j -0.0103679-0.0201009j 0.00692025-0.0175274j -0.00515895+0.000844677j -0.0249476-0.0158314j 0.00966156-0.00682464j 0.0057139+0.00887665j -0.017799-0.00279009j -0.00156636+0.0119923j -0.0168782-0.0135675j 
0.000135101+0.0124983j -0.00454122-0.00653651j 0.00272834+0.00734718j -0.011932-0.00841084j -0.0094469-0.00793659j 0.0110278-0.00276129j 0.00531815+0.000857029j 0.0110673-0.00117137j 0.0082005-0.00888431j 0.0130573-0.0112193j -0.00381512-0.00341088j -0.0248752+0.00316655j -0.0126423+0.00361038j -0.0180111-0.000254049j -0.0120644-0.00405885j 0.00711003-0.00946127j -0.0109087-0.0104296j -0.00888955+0.000676865j -0.00684259-0.00717898j -0.00245832-0.00566891j 0.00490789-0.00132361j -0.00430026-0.00389081j 
0.00836073+0.0199402j -0.0033913-0.010791j -0.00118777-0.00432334j 0.00804837-0.00317264j 0.00219179-0.00432933j -0.00292144+0.00201069j 0.00377129+0.00292763j 0.000643418-0.012525j 0.00866127-0.00167338j -0.0407395-0.002228j -0.00139069+0.00860063j 0.0114248+0.0130368j 0.0404957-0.00183444j 0.0288073-0.0006818j -0.00795296+0.00484578j -0.00495722-0.00607551j 0.0191062-0.0186724j 0.00225694-0.00753517j -0.00553014-0.0209201j -0.0279771+0.0151916j -0.000848496+0.00364874j -0.0178896+0.00320706j 
0.0254919+0.0166442j -0.00616557+0.008047j 0.00405963+0.000535295j -0.0053934-0.00352267j 0.00117533+0.0075983j 0.00297285+0.0103462j -0.0170349-0.00992817j -0.0061291-0.00786196j -0.0113241+0.0130937j 0.000180952-0.0483579j -0.0129394-0.011351j -0.0257498-0.00970593j 0.00114377-0.00360221j -0.0115786+0.043974j -0.0045079+0.0470609j 0.00611905-0.0147503j 0.0164755+0.0163481j 0.0175886+0.0133901j 0.00844476+0.00402965j -0.0018489-0.00301674j -0.00466358-0.00341491j 0.000483101-0.000475914j 
-0.0154764-0.0107714j 0.00355169-0.0132984j 0.00334255-0.00437265j 0.00266109+0.00194842j 0.000411009-0.00342155j 0.0063471+0.00134408j 0.000492866-0.0094601j -0.0103787-0.00370292j 0.00331918-0.0117307j -0.00334434+0.00768492j 0.00347825-0.0150296j -0.000491923-0.000798511j -0.00522386-0.0241079j -0.020786+0.0345647j 0.0119497+0.00212199j 0.00276832+0.00503458j -0.0101923+0.00137059j 0.00138438-0.0173228j 0.00924324+0.00296718j -0.0228033+0.012259j 0.0317181-0.00264695j -0.0210293+0.00142426j 
0.0172663+0.0019492j 0.0209065+0.0157288j -0.0187878+0.025173j -0.00283374-0.000597081j 0.00311111+0.00647108j 0.00892248-0.0104215j -0.00776352-0.0181924j -0.030658+0.00981644j 0.00213014-0.00608694j 0.00504837+0.0024504j 0.0166166-0.023773j -0.000230929+0.00779422j 0.00674547-0.0186048j 0.00597486-0.00315694j -0.0102135-0.00563398j 0.0101939+0.0317304j 0.0125442-0.0125022j -0.00638276+0.0296304j -0.0249163+0.00293508j 0.0217414-0.0107403j 0.000932153-0.00901084j 0.0139744-0.0028275j 
0.0248908+0.00370468j 0.0237363-0.00502004j 0.0218326-0.00237347j -0.000636261-0.00150984j 0.0122801+0.00309929j -0.0258014+0.00879695j -0.0551971+0.0133031j -0.0222039+0.00602941j -0.00639178+0.0185455j 0.00770403-0.0077549j -0.00886701+0.00806683j 0.00456974-0.00275672j -0.0169832+0.00198623j 0.0142122+0.00285858j -0.0267078+0.0359877j -0.0107951+0.0289911j 0.00328181+0.0101547j 0.0732178+0.0181695j -0.001599-0.0038673j 0.0345376+0.0113051j -0.0703961+0.00045978j 0.0425785-0.00160712j 
