0.0496255-0.00398349j 0.0249021-0.0500337j -0.0636453-0.0245006j -0.0512854+0.0153391j 0.0428798+0.165033j 0.0332032-0.046708j -0.021474+0.0304475j -0.139001+0.0109213j 0.0420836+0.0546949j 0.124511+0.145743j 0.0916966+0.0240665j 0.196679+0.0129843j 0.082158+0.113696j -0.0840899+0.117636j 0.034004-0.0918735j 
-0.00674076-0.0182046j 0.00378792-0.00708175j 0.0626392+0.062045j -0.0109752+0.0568509j 0.00988329-0.00996297j 0.0551143+0.027374j 0.0210921-0.0194523j -0.0251454+0.0394852j 0.0686999-0.0314773j -0.0743066+0.019884j 0.0569292+0.00666052j -0.0805235-0.0238875j 0.0228133-0.00629149j 0.0582623+0.00609642j -0.0175119+0.0121542j 
0.0101587+0.024293j -0.00228821+0.0048627j 0.00234803-0.0151647j -0.00793008-0.01583j -0.0238267+0.0685605j 0.0133449-0.0329344j 0.012787+0.0301064j -0.0715841+0.0185086j 0.00435982+0.0316419j 0.0285456+0.047069j -0.0250832-0.0392862j 0.0639351+0.015744j 0.0591017+0.012524j -0.027639+0.0139436j -0.0169948-0.0319474j 
-0.00570072-0.0455014j 0.0547889-0.0299314j -0.00192596+0.00636073j -0.0311375+0.00162673j -0.0337402+0.030492j 0.00195639-0.00960963j 0.0393194-0.0100828j -0.0576408+0.0240507j 0.0515579-0.0239362j -0.0473976+0.00893354j 0.0315974+0.00177179j -0.0341954-0.0198676j 0.0490402+0.0377206j 0.0192881+0.0207933j -0.0178607-0.0469823j 
0.0122242+0.00893494j 0.0302223-0.00377427j 0.0587687-0.0606553j 0.06773+0.0406641j -0.0215148-0.0137733j -0.0202831+0.0645353j 0.034021+0.0378606j -0.0194321+0.0418351j 0.0376136-0.00994364j -0.0127467+0.0168414j 0.0337523+0.021512j -0.0704192-0.0027806j -0.00471964-0.0253387j 0.0245992-0.00573196j -0.0292038-0.00581102j 
0.0255837+0.0435222j -0.0325268+0.015495j -0.0439105-0.0468789j 0.0186467-0.0100714j 0.00357867-0.00312348j -0.0207722-0.0020363j -0.0222169+0.0108994j 0.0267467-0.0372101j -0.00242077-0.00656167j 0.0852851+0.0260952j -0.0339266+0.032306j 0.0917101+0.0374159j -0.022912+0.0261575j -0.0896527-0.0133032j 0.0490838+0.00706808j 
0.010533-0.0205648j 0.00537394-0.00342685j -0.00670786+0.00972663j 0.000687555+0.0122848j 0.0356214+0.0118219j -0.0134241-0.000815717j -0.00800679+0.00241849j -0.0141229+0.0163972j 0.0202792-0.0207835j -0.0240662+0.0252097j 0.0134169-0.0102372j -0.027992+0.00169764j 0.0300189-0.0111725j 0.0462351-0.00381813j -0.0382626-0.00308891j 
0.013284-0.0094739j 0.0161566+0.00426586j -0.00649493-0.010991j -0.0247121-0.0056375j 7.36774e-05+0.0157096j -0.00432346-0.015892j 0.00120648+0.00703069j -0.00956531+0.00154996j 0.0090564+0.0110853j 0.0107711+0.030821j 0.0166405+0.00578182j 0.0151481+0.0069055j 0.0011736+0.0407256j -0.0139608-0.00852132j 0.0293321-0.0103906j 
0.00593149-0.00029165j 0.000927989+0.0159872j -0.00158291-0.0108433j 0.0104525-0.00305767j -0.00589175-0.0120869j 0.00298515-0.00505021j -0.00154488-0.00765127j 0.00639698-0.0218318j -0.0209847+0.0221826j 0.014475-0.0165382j -0.0176685-0.00926446j 0.0151395+0.0128893j -0.019889-0.0018783j -0.0142229-0.0138282j 0.012828+0.0042136j 
-0.00929368+0.00677588j 0.0151867+0.00270765j 0.0334739+0.0407367j 0.00523423-0.0395995j -0.0154907-0.0186192j 0.00528199-0.039347j 0.00877792+0.0234968j -0.044007+0.0170683j -0.0103146+0.0357024j 0.0147146-0.0192506j -0.000203342-0.0576419j 0.0213086+3.23551e-05j 0.00595005-0.0217598j -0.0043774+0.0118107j -0.00974185-0.00739828j 
0.00119403-0.00347729j 0.026139-0.015769j -0.015322-0.00960343j -0.0200951+0.000648318j -0.0346865+0.0298499j -0.014206+0.0384186j 0.0481243-0.000577141j -0.00180821+0.0300002j 0.0252634-0.00523636j -0.0322145-0.0088126j 0.0287237+0.0140843j -0.0514464-0.0289992j 0.0250522+0.0135908j 0.0249738+0.0139063j -0.0188631-0.00266499j 
0.00598152+0.00120028j 0.0162948+0.00225704j -0.000682852-0.00641652j -0.008405-0.00483144j -0.0209794+0.00923196j -0.00305258+0.012476j 0.0342353-0.00273043j -0.00173415+0.0102646j 0.00191403+0.023964j -0.00391646-0.0169087j 0.00563604-0.0106j -0.0199886-0.00777888j 6.60721e-05+0.00213872j 0.0074469-0.0040581j -0.00083996+0.00237431j 
0.0120517+0.0261289j -0.0291126+0.0287742j -0.024402+0.0338906j -0.0181727-0.0261156j -0.00864252-0.00354104j 0.0140744-0.00654979j 0.0158986-0.000212754j -0.00673026+0.00473976j -0.0094636+0.00499365j 0.00417512+0.00178409j 0.00960049+0.00599529j 0.00891611-0.00366427j -0.00891026+0.0160783j -0.00536014-0.0227342j 0.0160096+0.0358958j 
-0.0238195-0.00999835j 0.0184689-0.0403355j 0.0342989+0.0166718j -0.0177619+0.0050033j 0.00402293-0.00162055j -0.00869629-0.0142771j -0.00412721+0.00624667j -0.0034018+0.00854097j 0.0172918-0.00733491j -0.00307764+0.00409275j -0.000923543-0.0230601j -0.000308326-0.00221713j 0.0136787-0.0169216j 0.00733291+0.02661j -0.00802534-0.0204467j 
0.0079558+0.00496765j 0.00825173-0.0281911j -0.0124327-0.018877j -0.014599+0.0244356j 0.00607491+0.0209j -0.0031622+0.0263256j 0.0405342-0.00219786j -0.0117771-0.0243343j 0.00286182+0.0252809j 0.0126709+0.00678998j 0.0111571+0.00929205j -0.000720758+0.0133953j -0.00884381-0.0111798j 0.0157904+0.0160427j -0.0185213-0.00602502j 
-0.00507484-0.0187716j 0.0109474-0.00216256j -0.000554748+0.0161769j -0.00892665-0.0162984j -0.00310151-0.0100036j -0.0135628-0.00949836j -0.020927-0.0101621j 0.00989336+0.00730952j -0.00136935-0.0255782j -0.0162863-0.00281751j -0.00315577+0.00105962j -0.00171016-0.00109267j 0.000523655+0.00537485j -0.00436051-0.00199147j 0.00606505+0.00302125j 
0.0015393+0.0108749j -0.00585933+0.00945823j 0.0161136+0.0132094j -0.0103613-0.00626929j -0.00509661-0.0124928j 0.00209601-0.00410337j 0.00986872+0.00727849j 0.00596175-0.000348423j -0.00218443+0.0184393j 0.0183185-0.00660256j -0.0200394-0.0272245j 0.0152675+0.00651209j -0.00179652-0.00795789j -0.0135231-0.0129853j 0.0120209+0.00858725j 
-0.0084849+0.00633134j -0.0109619+0.000503919j 0.0067487+0.00416205j -0.00519058+0.00211791j -0.0260482+0.0316714j 0.0304278+0.00866316j 0.00708914-0.0165949j -0.0197333+0.00720845j -0.0151092-0.00180683j -0.0430584+0.00279633j 0.000950126+0.0148025j -0.0176078-0.00429383j 0.00241938-0.000214951j 0.0135521+0.00661463j -0.0141498+0.00570557j 
-0.00338874-0.00280837j 0.00879162-0.00729643j 0.0166289+0.0170004j -0.00119783-0.000479342j 0.0120016-0.0223553j -0.0169709-0.00765547j -0.0110756+0.0022677j 0.0131567+0.00252421j 0.00229438-0.00116785j 0.0119818+0.00162227j 0.00628962-0.0168883j 0.000977573+0.00427009j -0.00986012-0.0134246j 0.00692782-0.0028458j 0.00683758+0.0146211j 
0.00612243-0.0165289j 0.00328634-0.00682921j 0.0305089+0.0169119j -0.0145592+0.0229207j 0.0087484-0.00415221j -0.00283725+0.0269326j 0.00229751-0.0268196j 0.0112716+0.0120486j -0.00419059-0.00782381j -0.0162232+0.00449323j -0.00559412-0.00153427j -0.015027+0.00850764j -0.0209841-0.0237458j 0.0211405-0.0147362j -0.00155628+0.0316482j 
-0.0258993+0.0544913j -0.00940346-0.0129753j -0.0067907-0.0150993j 0.0249045-0.000164163j -0.0190731-0.0172786j -0.0108726-0.0419523j 0.00622932-0.00924361j 0.0293226-0.0331516j 0.00770071+0.00272742j 0.0168693-0.00712225j -0.0151708-0.00591205j -0.0034317+0.0166036j -0.0175921-0.0265761j -0.00181539-0.00279866j 0.00206784+0.026603j 
-0.00175014+0.0100027j 0.00123975-0.00526558j 0.0199566+0.000349948j 0.000770022+0.0212386j -0.00436211-4.41133e-06j -0.00460626+0.0122378j 0.00616903+0.000388716j 0.00512801-0.00236751j 0.00735675-0.000313711j -0.00688749+0.00519186j 0.00155953+0.000548445j -0.0147732-0.00179662j -0.000516755-0.015611j 0.0157476+0.00386904j -0.00620403+0.0108892j 
0.00858794+0.0112107j 0.00295569+0.0258776j -0.0379617-0.0388585j 0.0210467-0.0214596j -0.0157386-0.00078195j -0.00469788-0.0201442j -0.000752146+0.00343607j 0.00446965-0.0248698j -0.0164696+0.0204275j 0.0195377-0.00874371j -0.0139111+0.0121961j 0.0221937+0.0112066j -0.0112328+0.020442j -0.0300197-0.0104922j 0.0104209-0.00555847j 
0.000309999-0.0265038j 0.0127418-0.0180813j -0.016698+0.000729684j -0.0245097-0.00321414j -0.0111912+0.0318874j 0.011844+0.0172031j 0.0212572-0.013056j -0.0314444+0.0120305j -0.00120225-0.00544717j -0.0329562+0.00151345j 0.0206445+0.0219444j -0.0140823-0.011699j 0.00729593+0.0199498j 0.0166905+0.0158567j -0.0170421-0.016158j 
