-0.101742-0j -0.0147908-0j 0.704821-0j 0.712125-0j -0.00106409-0j -0.00107511-0j -0.00489939-0j 0.0828034-0j -0.00606269-0j -0.00353657-0j -7.21749e-05-0j 0.102464-0j 0.0597707-0j -8.93119e-05-0j -5.20986e-05-0j -0.00366302-0j -0.00427352-0j -0.000610503-0j -0.00261699-0j 0.0718588-0j -0.00373933-0j 0.0072959-0j -0.000712254-0j -0.0015424-0j -4.49678e-06-0j -0.000436165-0j 0.0838353-0j 0.0513384-0j -0.000623222-0j 0.00851189-0j 0.0733559-0j 0.00521245-0j -5.24625e-06-0j -0.000257066-0j 0.0074479-0j -3.21266e-06-0j 0.0302578-0j -4.59046e-06-0j 0.0030721-0j -1.89347e-06-0j -0.00292122-0j -0.00329987-0j -0.000471411-0j -0.00269434-0j 0.0367989-0j -0.00272226-0j -5.55563e-05-0j -0.000532515-0j -0.00235754-0j 0.00924783-0j -0.00194487-0j 0.000542099-0j -0.000434797-0j 0.0415688-0j -0.000621397-0j -2.58807e-07-0j -0.000439302-0j -6.27575e-05-0j 0.0339408-0j -0.000380447-0j 0.0104465-0j -5.12413e-05-0j 0.0342925-0j -0.000313853-0j 0.000612366-0j 0.00852956-0j 0.0296982-0j -5.17723e-05-0j -0.000100277-0j -2.92354e-07-0j 0.0244997-0j 0.000499995-0j 0.00861796-0j -4.48361e-05-0j 0.00746337-0j 0.000505176-0j -2.38706e-07-0j -3.69879e-05-0j 0.00782778-0j 0.000437495-0j 0.00615697-0j -1.18178e-05-0j -2.4118e-07-0j 0.000360915-0j 0.00196718-0j -2.08868e-07-0j -1.72307e-07-0j 0.000115314-0j -5.5053e-08-0j 
0.00106409-0j -0.0147425-0j 0.00716166-0j -0.0074479-0j -0.0480648-0j 0.0499858-0j 5.12413e-05-0j 0.0825331-0j -6.16028e-05-0j 3.69879e-05-0j 0.0102836-0j -0.0992221-0j 0.0595755-0j -0.012363-0j 0.00742307-0j 3.83104e-05-0j 4.46955e-05-0j -0.00060851-0j -8.05525e-05-0j -0.000751549-0j -3.79952e-05-0j -0.339212-0j -0.000709928-0j 1.61314e-05-0j 0.00129042-0j 0.00127947-0j -0.000876808-0j 0.00158023-0j 0.000603504-0j -0.395747-0j 0.000745366-0j 0.713236-0j 0.0015055-0j -0.000256227-0j 0.336421-0j -0.00271328-0j -0.000316457-0j -0.00127981-0j -0.142833-0j 0.000543362-0j 3.05522e-05-0j 3.45124e-05-0j -0.000469871-0j -2.7377e-05-0j -0.000384868-0j 2.84713e-05-0j 0.002583-0j -0.000530776-0j -7.25666e-05-0j 0.00921764-0j -1.97618e-05-0j -0.0772389-0j 0.00042104-0j -0.000434755-0j 6.499e-06-0j 0.000124214-0j -0.000437868-0j 0.00291781-0j 0.000344871-0j 0.00111602-0j 0.0104124-0j -0.00231456-0j -0.000358655-0j 0.000303923-0j -0.0872506-0j -0.00825969-0j 0.000914127-0j 0.00240707-0j -9.99501e-05-0j 0.000140315-0j 0.000248941-0j 0.0692118-0j 0.00858982-0j -0.00613508-0j -0.0218935-0j -0.071978-0j -0.000111305-0j -0.00167074-0j -8.18684e-05-0j 0.183455-0j -0.00596216-0j 0.000549451-0j 0.000115754-0j 0.0499597-0j 0.00196076-0j -0.00029503-0j -8.03444e-05-0j -0.0164301-0j 2.64226e-05-0j 
-0.00107511-0j -0.0143792-0j 0.0074479-0j -0.00752057-0j -0.0499858-0j 0.0504735-0j -5.17723e-05-0j -0.0833884-0j 6.1845e-05-0j -3.35536e-05-0j -0.0103901-0j 0.0996122-0j -0.054044-0j 0.0124116-0j -0.00673384-0j -3.87074e-05-0j 4.35938e-05-0j 0.000614816-0j -2.76539e-05-0j 0.000759338-0j 3.94901e-05-0j 0.342727-0j -0.00069243-0j -7.70336e-05-0j -0.0013038-0j 0.000439246-0j -0.000855196-0j 0.000542497-0j -0.000627248-0j -0.385993-0j -0.000774692-0j 0.244856-0j 0.00146839-0j 0.00122358-0j -0.349657-0j -0.000931478-0j 0.0015112-0j 0.00133016-0j 0.682079-0j -0.00259475-0j -3.08688e-05-0j 3.36617e-05-0j 0.000474741-0j -2.84713e-05-0j 0.000388857-0j 2.8749e-05-0j -0.00260977-0j -0.000517694-0j 2.40491e-05-0j -0.00931316-0j -1.84522e-05-0j 0.0780393-0j 0.000437868-0j -0.000424039-0j -6.88562e-05-0j -0.000125502-0j -0.00044214-0j 0.0028459-0j 0.000358655-0j -0.000369858-0j 0.0101558-0j -0.00240707-0j -0.000362154-0j 0.000283782-0j -0.0851-0j -0.00858982-0j -0.000302948-0j 0.00243056-0j 0.00105896-0j 0.000136857-0j 0.000232444-0j 0.071978-0j 0.00867362-0j 0.00203321-0j 0.00725565-0j -0.0726803-0j -0.000115754-0j -0.00156002-0j 0.000867387-0j -0.0607984-0j -0.00556706-0j -0.00582138-0j 0.000116883-0j 0.0466489-0j -0.020774-0j 9.7775e-05-0j -7.50201e-05-0j 0.174075-0j -0.000279945-0j 
-6.2702e-05-0j 0.00174654-0j 4.41404e-06-0j -4.59046e-06-0j 0.0174811-0j -0.0181798-0j -3.01942e-06-0j 0.000102271-0j 3.62998e-06-0j -2.17953e-06-0j 0.115491-0j -0.000122951-0j 7.38233e-05-0j -0.138844-0j 0.0833657-0j -2.25746e-06-0j -2.63371e-06-0j 7.20899e-05-0j 4.7466e-06-0j -2.30401e-07-0j 2.23889e-06-0j -0.00129042-0j 8.41048e-05-0j -9.50555e-07-0j -0.328293-0j -0.000151578-0j -2.68801e-07-0j 4.84448e-07-0j -7.14967e-05-0j -0.0015055-0j 2.28506e-07-0j 0.00271328-0j -0.383008-0j 3.0355e-05-0j 0.00127981-0j 0.690278-0j -9.70156e-08-0j 0.325592-0j -0.000543362-0j -0.138235-0j -1.80031e-06-0j -2.03366e-06-0j 5.56654e-05-0j 1.61321e-06-0j -2.37211e-07-0j -1.67768e-06-0j -0.000939437-0j 6.28808e-05-0j 4.27603e-06-0j 5.68133e-06-0j 1.16447e-06-0j 0.00907317-0j -4.98803e-05-0j -2.67958e-07-0j -3.82957e-07-0j -0.098658-0j 5.1874e-05-0j -0.00106121-0j 2.12559e-07-0j -0.000132215-0j 6.41774e-06-0j 0.000841805-0j -2.21054e-07-0j -3.60055e-05-0j 0.0102492-0j -5.09089e-06-0j 5.63416e-07-0j -0.000875451-0j 1.1841e-05-0j -0.111446-0j 1.53433e-07-0j -0.00813023-0j 5.29437e-06-0j 0.00223132-0j -1.34941e-05-0j 0.00845518-0j 0.0884049-0j 0.000607647-0j -5.0459e-08-0j -0.0215503-0j -3.6748e-06-0j -0.000199835-0j -0.0919383-0j -0.00586871-0j 1.20852e-06-0j 0.234329-0j 0.063814-0j 0.00193002-0j -0.0209863-0j 
6.33518e-05-0j 0.00170349-0j 4.59046e-06-0j -4.63525e-06-0j 0.0181798-0j -0.0183572-0j 3.05071e-06-0j -0.000103331-0j -3.64425e-06-0j 1.97716e-06-0j -0.116688-0j 0.000123435-0j -6.69688e-05-0j 0.13939-0j -0.0756252-0j 2.28086e-06-0j -2.56879e-06-0j -7.28369e-05-0j 1.62952e-06-0j 2.32789e-07-0j -2.32698e-06-0j 0.0013038-0j 8.20318e-05-0j 4.53925e-06-0j 0.331695-0j -5.20372e-05-0j -2.62176e-07-0j 1.66312e-07-0j 7.43097e-05-0j -0.00146839-0j -2.37496e-07-0j 0.000931478-0j -0.373568-0j -0.000144956-0j -0.00133016-0j 0.236974-0j 4.63285e-07-0j -0.338402-0j 0.00259475-0j 0.660123-0j 1.81896e-06-0j -1.98354e-06-0j -5.62423e-05-0j 1.67768e-06-0j 2.39669e-07-0j -1.69405e-06-0j 0.000949172-0j 6.13309e-05-0j -1.41711e-06-0j -5.7402e-06-0j 1.08731e-06-0j -0.00916719-0j -5.1874e-05-0j -2.61354e-07-0j 4.05739e-06-0j 0.0996804-0j 5.23801e-05-0j -0.00103505-0j 2.21054e-07-0j 4.38169e-05-0j 6.25956e-06-0j 0.000875451-0j -2.23211e-07-0j -3.36195e-05-0j 0.00999661-0j -5.29437e-06-0j -1.8672e-07-0j -0.000883992-0j -0.000125454-0j -0.108699-0j 1.43265e-07-0j -0.00845518-0j 5.34602e-06-0j -0.000739476-0j 4.47204e-06-0j 0.00853768-0j 0.0919383-0j 0.000567379-0j 5.34608e-07-0j 0.00714192-0j -3.43128e-06-0j 0.00211723-0j -0.0928353-0j -0.0054798-0j -1.28041e-05-0j -0.0776584-0j 0.0595852-0j -0.0204484-0j 0.222348-0j 
0.0371838-0j 0.00540563-0j 0.00269434-0j 0.00272226-0j 0.000388894-0j 0.000392924-0j -0.00352138-0j -0.000622498-0j 0.00221574-0j 0.00129252-0j -5.18748e-05-0j 0.000391692-0j 0.000228487-0j 3.2641e-05-0j 1.90406e-05-0j 0.00133873-0j -0.00307154-0j 0.000223122-0j 0.000956435-0j 0.000136634-0j 0.00136662-0j 2.78902e-05-0j -0.000511924-0j 0.000563702-0j 1.64345e-06-0j 0.000159406-0j -0.000313488-0j 9.76157e-05-0j 0.00022777-0j -6.39905e-05-0j 0.00013948-0j 1.99257e-05-0j -3.77068e-06-0j 9.39503e-05-0j 2.84713e-05-0j 1.17413e-06-0j 5.75326e-05-0j 1.67768e-06-0j 1.17438e-05-0j 6.9201e-07-0j -0.259219-0j -0.292819-0j 0.000172287-0j 0.470187-0j 0.000140672-0j 0.475059-0j 2.03042e-05-0j 0.000194619-0j -0.2092-0j 1.7584e-05-0j -0.172581-0j 2.07229e-06-0j -0.000312505-0j 0.000158906-0j -0.0551405-0j 9.45868e-08-0j -0.000315743-0j 2.29361e-05-0j -0.000255159-0j 0.000139043-0j 1.98632e-05-0j -3.6829e-05-0j -0.000257803-0j 0.000114704-0j 2.3409e-06-0j -3.18949e-05-0j 0.000113528-0j -3.72107e-05-0j 3.66486e-05-0j 1.06847e-07-0j 9.36557e-05-0j -3.75885e-06-0j -3.22254e-05-0j 1.63863e-05-0j 1.4191e-05-0j -3.7978e-06-0j -1.71567e-07-0j 1.3518e-05-0j 2.99234e-05-0j 1.67242e-06-0j 1.1707e-05-0j 4.31908e-06-0j -1.73345e-07-0j 1.37968e-06-0j 3.74043e-06-0j 7.63353e-08-0j 6.29734e-08-0j 4.40814e-07-0j 2.01203e-08-0j 
-0.0460126-0j -0.000115895-0j 0.00323916-0j 0.00325189-0j 0.000467532-0j 0.00046937-0j -0.00221574-0j -0.000391692-0j 4.61524e-05-0j 0.00311568-0j -3.2641e-05-0j 8.15866e-06-0j 0.00055078-0j 6.79888e-07-0j 4.58983e-05-0j -0.00165659-0j -3.34855e-05-0j -0.000276099-0j 0.0034832-0j -0.000169075-0j -0.00158603-0j -3.45124e-05-0j -5.58092e-06-0j 0.00204429-0j -2.03366e-06-0j 0.000580533-0j -3.4176e-06-0j 0.000355502-0j -0.000264339-0j -6.97615e-07-0j -0.000161874-0j 7.25666e-05-0j -4.11074e-08-0j 0.000340716-0j -3.30424e-05-0j 4.27603e-06-0j 0.000208645-0j -1.94704e-06-0j 4.25895e-05-0j 2.50961e-06-0j 0.320767-0j 0.00627793-0j -0.000213195-0j -0.287431-0j -0.000174073-0j -0.288561-0j -2.51252e-05-0j -4.17256e-06-0j -0.0132001-0j -2.17591e-05-0j 0.404173-0j -2.56433e-06-0j 0.000191038-0j -3.40688e-06-0j -0.267021-0j -1.17045e-07-0j 0.000191789-0j -4.91741e-07-0j 0.000155982-0j 8.77334e-06-0j -4.2586e-07-0j 2.25141e-05-0j 0.000156595-0j -0.00026863-0j -5.01881e-08-0j 1.94977e-05-0j 7.1634e-06-0j 2.26026e-05-0j 0.000177473-0j -2.29076e-09-0j -0.000219335-0j 2.29783e-06-0j 1.95744e-05-0j 1.03395e-06-0j 8.95426e-07-0j 2.30687e-06-0j 1.04881e-07-0j -3.16583e-05-0j 0.000144906-0j 1.05527e-07-0j -2.74169e-05-0j 2.09153e-05-0j 1.05294e-07-0j -3.23111e-06-0j 1.81132e-05-0j 4.81662e-09-0j -1.47479e-07-0j 2.13466e-06-0j 9.74336e-08-0j 
0.0268407-0j -0.00760116-0j 0.00194487-0j 0.00176429-0j 0.000280718-0j 0.000254654-0j 0.00129252-0j 0.000228487-0j -0.00311568-0j 0.0035865-0j 1.90406e-05-0j -0.00055078-0j 0.000634009-0j -4.58983e-05-0j 5.28341e-05-0j 0.000966346-0j -0.00219621-0j 0.000161058-0j 0.000690391-0j 9.86273e-05-0j 0.000885706-0j 2.01322e-05-0j -0.000366035-0j 0.000487154-0j 1.1863e-06-0j 0.000115065-0j -0.00022415-0j 7.04628e-05-0j 0.000147618-0j -4.57543e-05-0j 9.0397e-05-0j 1.43831e-05-0j -2.6961e-06-0j 8.11924e-05-0j 1.84522e-05-0j 8.47535e-07-0j 4.972e-05-0j 1.08731e-06-0j 1.0149e-05-0j 5.98038e-07-0j -0.187114-0j 0.411749-0j 0.000124363-0j -0.172581-0j 0.000101542-0j -0.156557-0j 1.46564e-05-0j -0.000273665-0j 0.294168-0j 1.26928e-05-0j -0.478881-0j 1.49586e-06-0j 0.000114704-0j -0.000223447-0j 0.506936-0j 6.82764e-08-0j 0.000104054-0j -3.22517e-05-0j 9.36557e-05-0j -0.000195516-0j -2.79308e-05-0j 1.3518e-05-0j 8.49598e-05-0j 0.000318283-0j -3.29168e-06-0j 1.1707e-05-0j -0.000159638-0j 1.22629e-05-0j -0.00033693-0j -1.50244e-07-0j 0.000259877-0j 1.37968e-06-0j 1.062e-05-0j -2.30417e-05-0j -1.99547e-05-0j 1.25158e-06-0j 6.29734e-08-0j 3.75101e-05-0j -0.000275102-0j -2.35169e-06-0j 3.24847e-05-0j -3.97075e-05-0j 5.71263e-08-0j 3.82835e-06-0j -3.43877e-05-0j -1.07339e-07-0j 1.7474e-07-0j -4.05263e-06-0j -1.84977e-07-0j 
-0.00600051-0j 0.0411312-0j -0.000434797-0j -0.000439302-0j 0.00598092-0j 0.0060429-0j 0.00056826-0j -0.00473657-0j -0.000357564-0j -0.000208579-0j -0.00120088-0j 0.00298037-0j 0.00173855-0j 0.000755627-0j 0.000440782-0j 0.0417875-0j -0.0958761-0j 0.00169772-0j 0.0298544-0j -2.20491e-05-0j 0.0426581-0j 0.000428932-0j -0.00389521-0j 0.0175956-0j 5.08153e-05-0j 0.00121291-0j 5.05889e-05-0j -1.57527e-05-0j 0.00173309-0j -0.000984129-0j -2.25085e-05-0j 0.000306444-0j -0.000116589-0j 0.000714865-0j 0.000437868-0j 3.63042e-05-0j -9.28428e-06-0j 5.1874e-05-0j 0.000180611-0j 2.13969e-05-0j -0.000172287-0j -0.000194619-0j -0.25357-0j 0.000312505-0j -2.27008e-05-0j 0.000315743-0j 0.000312265-0j -0.286438-0j -0.000139043-0j 0.000133796-0j -0.000114704-0j 4.79728e-05-0j 0.45994-0j -2.56433e-05-0j -3.66486e-05-0j 3.65959e-06-0j 0.464707-0j 0.000352741-0j 4.11761e-05-0j -0.204641-0j 0.000151139-0j -0.000566405-0j 4.16028e-05-0j -0.16882-0j 5.41911e-05-0j -0.000242687-0j -1.83205e-05-0j -0.000572275-0j -0.0539389-0j 4.13395e-06-0j -1.51136e-05-0j -8.7016e-05-0j -0.000245202-0j 0.00025201-0j 0.000107979-0j -8.79177e-05-0j -6.63799e-06-0j 0.000207898-0j -4.82887e-06-0j 3.8716e-05-0j 8.90778e-05-0j 6.64244e-05-0j -6.70678e-06-0j 3.19391e-05-0j 2.84608e-05-0j 2.95344e-06-0j 2.43646e-06-0j 1.02047e-05-0j 7.78461e-07-0j 
-0.00489939-0j -0.000712254-0j 0.0339408-0j 0.0342925-0j -5.12413e-05-0j -5.17723e-05-0j -0.0669822-0j -0.00784165-0j 0.0421469-0j 0.0245857-0j 6.83511e-06-0j 0.00493417-0j 0.00287826-0j -4.30082e-06-0j -2.50881e-06-0j -0.000176393-0j 0.000404711-0j 0.00424412-0j -0.000126021-0j 0.00346037-0j -0.000180068-0j 0.000351335-0j -0.0097376-0j -7.42743e-05-0j -2.16543e-07-0j 0.00303215-0j -0.00793937-0j 0.00247221-0j 0.00433254-0j -0.000806093-0j 0.00353246-0j 0.000251006-0j 4.9683e-07-0j 0.00178708-0j 0.000358655-0j -1.54706e-07-0j 0.00145707-0j -2.21054e-07-0j 0.000147937-0j -9.11803e-08-0j -0.000140672-0j -0.000158906-0j -2.27008e-05-0j 0.000255159-0j -0.25582-0j 0.000257803-0j 0.000386219-0j -2.56433e-05-0j -0.000113528-0j 0.000445331-0j -9.36557e-05-0j 2.61048e-05-0j 4.11761e-05-0j -0.28898-0j -2.99234e-05-0j -1.24629e-08-0j 4.16028e-05-0j 0.00043628-0j 0.464022-0j -1.83205e-05-0j 0.000503054-0j -0.000700546-0j 0.46883-0j -1.51136e-05-0j 2.94885e-05-0j -0.000807767-0j -0.206457-0j -0.000707806-0j -4.82887e-06-0j -1.40783e-08-0j -0.170318-0j -4.73505e-05-0j -0.000816138-0j 0.000311694-0j 0.000359399-0j -4.78412e-05-0j 2.2606e-08-0j 0.000257134-0j -0.0544175-0j 2.10676e-05-0j 0.000296489-0j 8.21556e-05-0j 2.28402e-08-0j 1.73799e-05-0j 9.47298e-05-0j -1.00581e-08-0j -8.29747e-09-0j 5.55296e-06-0j -2.65108e-09-0j 
0.00742525-0j -0.000881839-0j -0.000522717-0j -0.000524772-0j 0.00719032-0j 0.00721859-0j 0.000357564-0j -0.00298037-0j -7.4478e-06-0j -0.000502791-0j -0.000755627-0j 6.2079e-05-0j 0.00419086-0j 1.57392e-05-0j 0.00106253-0j -0.0517094-0j -0.00104523-0j -0.00210083-0j 0.108726-0j 2.72844e-05-0j -0.0495069-0j -0.000530776-0j -4.2465e-05-0j 0.0638112-0j -6.28808e-05-0j 0.00441726-0j 5.51513e-07-0j -5.7369e-05-0j -0.00201134-0j -1.07288e-05-0j 2.61223e-05-0j 0.00111602-0j -1.27104e-06-0j 0.00259249-0j -0.000508168-0j 0.000132215-0j -3.36699e-05-0j -6.02024e-05-0j 0.000654997-0j 7.75971e-05-0j 0.000213195-0j 4.17256e-06-0j 0.313777-0j -0.000191038-0j 2.80908e-05-0j -0.000191789-0j -0.000386408-0j 0.00614112-0j -8.77334e-06-0j -0.000165564-0j 0.00026863-0j -5.93634e-05-0j -0.281167-0j 5.49783e-07-0j -0.000177473-0j -4.52852e-06-0j -0.282273-0j -7.56264e-06-0j -2.51715e-05-0j -0.0129125-0j -3.24036e-06-0j 0.000346251-0j -2.52705e-05-0j 0.395365-0j -1.16184e-06-0j 0.000148358-0j -1.15599e-06-0j 0.000347612-0j -0.261202-0j -8.86304e-08-0j 3.53951e-05-0j 5.3194e-05-0j 0.000148941-0j 1.59014e-05-0j 6.81326e-06-0j 5.34031e-05-0j 4.05789e-06-0j -0.000486883-0j -2.33841e-05-0j 2.44291e-06-0j -0.000208614-0j 0.000321663-0j 4.07384e-06-0j -7.47991e-05-0j 0.000137823-0j 1.86357e-07-0j -5.70603e-06-0j 4.94167e-05-0j 3.76974e-06-0j 
0.000707167-0j -0.00979753-0j 5.12413e-05-0j 5.17723e-05-0j 0.0328787-0j 0.0332194-0j 0.00966805-0j 0.00112826-0j -0.00608338-0j -0.00354864-0j -0.0134402-0j -0.000709928-0j -0.000414125-0j 0.0084569-0j 0.00493319-0j 2.54602e-05-0j -5.84151e-05-0j 0.0583808-0j 1.81896e-05-0j 2.59852e-06-0j 2.59906e-05-0j 0.00235795-0j -0.133947-0j 1.07206e-05-0j 0.000857585-0j 0.0417092-0j -5.96196e-06-0j 1.85647e-06-0j 0.059597-0j -0.00541001-0j 2.65265e-06-0j 0.0016846-0j -0.00196762-0j 0.0245825-0j 0.00240707-0j 0.000612688-0j 1.09416e-06-0j 0.000875451-0j 0.000992867-0j 0.000361105-0j 2.03042e-05-0j 2.29361e-05-0j -0.000312265-0j -3.6829e-05-0j -0.000386219-0j -3.72107e-05-0j -0.247815-0j -0.000352741-0j 1.63863e-05-0j -3.18704e-05-0j 1.3518e-05-0j 0.000536907-0j 0.000566405-0j -0.00043628-0j 4.31908e-06-0j 8.25498e-05-0j 0.000572275-0j -0.279937-0j 0.000700546-0j -0.00025201-0j -3.60015e-05-0j 0.449501-0j 0.000707806-0j -0.000207898-0j 0.000606501-0j 5.78085e-05-0j -0.000311694-0j 0.454159-0j -6.64244e-05-0j 9.32499e-05-0j -0.000257134-0j -0.000973874-0j 5.84075e-05-0j -0.199996-0j -2.57207e-05-0j -0.000983966-0j -0.000149734-0j -0.164989-0j -8.21556e-05-0j 0.000433305-0j -2.12185e-05-0j -0.0527147-0j -0.000151285-0j 0.000357459-0j -6.77941e-06-0j 6.6621e-05-0j 5.49595e-05-0j 0.00011421-0j 1.75598e-05-0j 
-0.0043314-0j -0.057837-0j -0.000313853-0j -0.000284712-0j 0.00431725-0j 0.0039164-0j -0.000208579-0j 0.00173855-0j 0.000502791-0j -0.000578768-0j 0.000440782-0j -0.00419086-0j 0.00482415-0j -0.00106253-0j 0.00122309-0j 0.0301638-0j -0.0685531-0j 0.00122548-0j 0.0215501-0j -1.59159e-05-0j 0.0276467-0j 0.000309619-0j -0.00278515-0j 0.0152062-0j 3.66804e-05-0j 0.000875527-0j 3.6172e-05-0j -1.13709e-05-0j 0.00112322-0j -0.00070367-0j -1.45877e-05-0j 0.000221203-0j -8.33634e-05-0j 0.00061779-0j 0.000283782-0j 2.62058e-05-0j -8.02352e-06-0j 3.36195e-05-0j 0.000156085-0j 1.84913e-05-0j -0.000124363-0j 0.000273665-0j -0.183036-0j -0.000114704-0j -1.63863e-05-0j -0.000104054-0j 0.000225405-0j 0.402776-0j 0.000195516-0j 9.6579e-05-0j -0.000318283-0j 3.46286e-05-0j -0.16882-0j 3.60585e-05-0j 0.00033693-0j 2.64163e-06-0j -0.153145-0j -0.000496009-0j -1.51136e-05-0j 0.287757-0j -0.000212525-0j 0.000207898-0j -1.37103e-05-0j -0.468445-0j -7.62012e-05-0j 8.90778e-05-0j 2.57615e-05-0j 0.000188595-0j 0.495889-0j -5.81298e-06-0j -4.19375e-05-0j 3.19391e-05-0j 8.0807e-05-0j -0.000354366-0j -0.000151835-0j 2.89735e-05-0j 2.43646e-06-0j 0.000576879-0j 4.43944e-05-0j -5.44407e-05-0j 0.000247175-0j -0.000610674-0j 2.21024e-06-0j 8.8625e-05-0j -0.000261655-0j -4.153e-06-0j 6.76073e-06-0j -9.3817e-05-0j -7.1568e-06-0j 
0.00606269-0j 1.52705e-05-0j 0.0408039-0j 0.0409643-0j -6.16028e-05-0j -6.1845e-05-0j -0.0421469-0j -0.00493417-0j 0.00087789-0j 0.0592651-0j 4.30082e-06-0j 0.000102775-0j 0.00693821-0j -8.95832e-08-0j -6.04763e-06-0j 0.000218275-0j 4.41211e-06-0j -0.00525184-0j -0.000458952-0j -0.00428199-0j 0.000208978-0j -0.000434755-0j -0.000106158-0j -0.000269359-0j 2.67958e-07-0j 0.0110427-0j -8.65539e-05-0j 0.00900343-0j -0.00502814-0j -8.78791e-06-0j -0.0040996-0j 0.000914127-0j 5.41637e-09-0j 0.00648095-0j -0.000416237-0j -5.63416e-07-0j 0.00528412-0j 2.56545e-07-0j 0.000536503-0j -3.3067e-07-0j 0.000174073-0j 3.40688e-06-0j 2.80908e-05-0j -0.000155982-0j 0.316561-0j -0.000156595-0j -0.000477921-0j 5.49783e-07-0j -7.1634e-06-0j -0.000551068-0j 0.000219335-0j -3.23031e-05-0j -2.51715e-05-0j 0.00619562-0j -0.000144906-0j 1.54221e-08-0j -2.52705e-05-0j -9.35369e-06-0j -0.283662-0j -1.15599e-06-0j -1.07853e-05-0j 0.000428253-0j -0.284778-0j 3.53951e-05-0j -6.32224e-07-0j 0.000493798-0j -0.0130271-0j 0.000429937-0j -2.33841e-05-0j 3.01835e-10-0j 0.398874-0j 2.8946e-05-0j 0.00049574-0j 1.96673e-05-0j 2.26775e-05-0j 2.90598e-05-0j -1.38193e-08-0j -0.000602191-0j -0.26352-0j 1.32933e-06-0j -0.000694358-0j 0.000397843-0j -1.38736e-08-0j -4.07026e-05-0j 0.000458734-0j -6.34646e-10-0j 1.94321e-08-0j 2.68905e-05-0j -1.2838e-08-0j 
0.000612424-0j -0.00419794-0j -0.00852956-0j -0.00861796-0j -0.000610425-0j -0.000616751-0j -5.79978e-05-0j -0.092919-0j 3.64937e-05-0j 2.1288e-05-0j 0.000122565-0j 0.058467-0j 0.0341057-0j -7.71208e-05-0j -4.49871e-05-0j 2.20491e-05-0j -5.05889e-05-0j -0.000173273-0j 1.57527e-05-0j 0.0411362-0j 2.25085e-05-0j 0.00841452-0j 0.000397553-0j 9.28428e-06-0j -5.18632e-06-0j -0.000123792-0j -0.0943817-0j 0.0293891-0j -0.000176883-0j -0.019306-0j 0.0419932-0j 0.00601162-0j 1.18993e-05-0j -7.29606e-05-0j 0.00858982-0j -3.70528e-06-0j 0.0173213-0j -5.29437e-06-0j 0.00354312-0j -2.18381e-06-0j 1.7584e-05-0j 1.98632e-05-0j -0.000133796-0j -3.18949e-05-0j -0.000445331-0j -3.22254e-05-0j -3.18704e-05-0j -0.000151139-0j 1.4191e-05-0j -0.249618-0j 1.1707e-05-0j 0.000941101-0j 0.000242687-0j -0.000503054-0j 3.74043e-06-0j -3.73506e-07-0j 0.000245202-0j -3.60015e-05-0j 0.000807767-0j -0.000107979-0j -0.281973-0j 5.78085e-05-0j 0.000816138-0j -8.90778e-05-0j 0.00106309-0j 0.452772-0j -0.000359399-0j 5.84075e-05-0j -2.84608e-05-0j -4.2192e-07-0j -0.000296489-0j -0.00170702-0j 0.457464-0j -2.57207e-05-0j -0.201451-0j -0.00172471-0j 6.77487e-07-0j -2.12185e-05-0j -9.47298e-05-0j 0.000759506-0j -0.166189-0j -6.77941e-06-0j 6.84508e-07-0j 0.00062656-0j -0.0530982-0j -3.01434e-07-0j -2.4867e-07-0j 0.000200189-0j -7.94514e-08-0j 
-0.00353657-0j 0.00100154-0j 0.0244997-0j 0.0222249-0j -3.69879e-05-0j -3.35536e-05-0j 0.0245857-0j 0.00287826-0j -0.0592651-0j 0.0682208-0j -2.50881e-06-0j -0.00693821-0j 0.00798666-0j 6.04763e-06-0j -6.9615e-06-0j -0.000127327-0j 0.000289376-0j 0.00306357-0j -9.0967e-05-0j 0.00249783-0j -0.000116702-0j 0.000253607-0j -0.00696256-0j -6.41882e-05-0j -1.56309e-07-0j 0.00218872-0j -0.00567679-0j 0.00178453-0j 0.00280792-0j -0.000576371-0j 0.00228939-0j 0.000181186-0j 3.55242e-07-0j 0.00154441-0j 0.000232444-0j -1.11673e-07-0j 0.0012592-0j -1.43265e-07-0j 0.000127848-0j -7.87985e-08-0j -0.000101542-0j 0.000223447-0j -1.63863e-05-0j -9.36557e-05-0j -0.184661-0j -8.49598e-05-0j 0.000278787-0j 3.60585e-05-0j 0.000159638-0j 0.000321457-0j -0.000259877-0j 1.88435e-05-0j -1.51136e-05-0j 0.406351-0j 0.000275102-0j -8.9962e-09-0j -1.37103e-05-0j -0.000613479-0j -0.170318-0j 2.57615e-05-0j -0.000707373-0j 0.000257134-0j -0.154504-0j -4.19375e-05-0j -4.14655e-05-0j 0.000296489-0j 0.290311-0j 0.000233259-0j 4.43944e-05-0j 1.97964e-08-0j -0.472602-0j 1.73799e-05-0j 0.00026896-0j -0.00043829-0j -0.000505372-0j 1.57662e-05-0j -8.29747e-09-0j 0.0007135-0j 0.500289-0j -2.96244e-05-0j 0.000822704-0j -0.0007553-0j -7.52706e-09-0j 4.82261e-05-0j -0.000870901-0j 1.41432e-08-0j -2.3024e-08-0j -5.10513e-05-0j 2.43728e-08-0j 
