-0.357533-0j -0.417122-0j 0.75176-0j 0.354592-0j -0.150547-0j -0.0460126-0j -0.0519768-0j 0.0412307-0j -0.0428786-0j 0.109288-0j 0.0297619-0j -0.0097877-0j -0.0296078-0j -0.00427352-0j -0.0327699-0j -0.00472992-0j 0.0251694-0j -0.0172712-0j -0.0261753-0j 0.00363288-0j -0.00249289-0j -0.00377808-0j 0.0293642-0j 0.0525176-0j -0.0176311-0j 0.00423836-0j 0.00758026-0j 0.055037-0j -0.00254482-0j 0.0079439-0j 0.0105981-0j 0.00152971-0j -0.00284579-0j -0.000410755-0j -0.0223112-0j -0.0039441-0j -0.000328675-0j -0.0243486-0j -0.00430427-0j -0.000358689-0j 0.0183234-0j -0.0190558-0j -0.0172171-0j 0.00323916-0j -0.00336862-0j 0.00026993-0j 0.0206985-0j -0.00304358-0j -0.000280718-0j -0.0142034-0j -0.0124279-0j -0.000253631-0j 0.0362011-0j 0.00365902-0j -0.00251082-0j 0.0170754-0j -0.00219697-0j 0.000304918-0j 0.0431889-0j 0.0063995-0j -0.00724963-0j -0.000209235-0j -0.000183081-0j 0.00301854-0j 0.000533292-0j 0.0261313-0j 0.00763479-0j -0.00128157-0j 0.000251545-0j 0.00389772-0j 0.000636232-0j 0.00461941-0j -0.000106797-0j -0.000884548-0j 0.000384951-0j 0.000689027-0j -0.000156368-0j 5.74189e-05-0j -1.30306e-05-0j 
0.00264411-0j 0.00308479-0j 0.001677-0j -0.0079439-0j 0.00111336-0j -0.0324296-0j -0.0366331-0j 0.0880295-0j -0.0302208-0j -0.0232342-0j 0.063543-0j -0.00689836-0j 0.000218962-0j 0.140496-0j 0.000242347-0j 0.1555-0j -0.000563867-0j 0.000127728-0j 0.000193577-0j -0.361802-0j 0.0819559-0j 0.124208-0j -0.000657845-0j 0.000987248-0j 0.000130389-0j -0.422103-0j 0.633462-0j 0.000122774-0j 0.0836633-0j 0.0787775-0j -0.000237429-0j -0.152345-0j 2.10458e-05-0j 0.0135039-0j 0.000165001-0j -0.0027798-0j 0.0331138-0j 0.000180068-0j -0.00303364-0j 0.0361377-0j -0.000410499-0j 0.000140926-0j 0.000127327-0j 0.00691575-0j -0.0023742-0j -0.0823826-0j -0.000463708-0j -0.00214511-0j 0.0282822-0j 0.00010504-0j 9.19097e-05-0j 0.0255532-0j 8.0756e-05-0j 0.00781217-0j -0.00176962-0j -0.000382539-0j -0.00154842-0j -0.0930611-0j 0.000811884-0j -0.00136051-0j 5.3614e-05-0j 0.0210803-0j 0.0184453-0j 0.00644471-0j 0.0162068-0j 5.82928e-05-0j -0.013678-0j -0.000903245-0j -0.0767715-0j -8.73205e-05-0j 0.162936-0j -0.000982069-0j 0.0107597-0j 6.5416e-06-0j 0.0116987-0j 0.0014711-0j -0.000110208-0j -0.0175243-0j 0.00131283-0j 
-0.00377808-0j 0.00425503-0j 0.0079439-0j -0.00374475-0j -0.00751896-0j 0.0463376-0j -0.0505301-0j -0.041522-0j -0.0431556-0j 0.106246-0j -0.0269104-0j 0.103361-0j -0.000312868-0j -0.20075-0j 0.000334283-0j 0.21449-0j 0.000265966-0j -0.000182507-0j 0.000276431-0j 0.170656-0j -0.117104-0j 0.17737-0j -0.000299542-0j 0.000554957-0j -0.000167277-0j -0.192199-0j 0.356085-0j -0.000581231-0j -0.107332-0j -0.372943-0j 0.000529313-0j 0.339631-0j -0.000546624-0j -0.350738-0j -0.000235764-0j 0.00397197-0j -0.0473153-0j 0.000248378-0j -0.00418447-0j 0.0498467-0j 0.000193625-0j 0.000201243-0j -0.000181934-0j -0.00326204-0j -0.00339038-0j 0.0388585-0j -0.000211144-0j 0.00306508-0j 0.0403873-0j 0.000144887-0j -0.000117911-0j -0.0365122-0j 0.000382539-0j 0.00355718-0j -0.00244094-0j -0.000180329-0j 0.00198647-0j -0.0423743-0j -0.000440566-0j -0.00644471-0j -0.000362076-0j 0.0290773-0j -0.0236635-0j 0.00303803-0j 0.0767715-0j 0.000247924-0j 0.00742229-0j 0.00609997-0j -0.03619-0j 0.000431902-0j -0.0884167-0j -0.00417682-0j -0.0726648-0j -0.000259847-0j 0.0497556-0j -0.00727633-0j 0.00437769-0j 0.086678-0j -0.0521485-0j 
-0.0107968-0j 0.0369157-0j -0.00771359-0j -0.0520929-0j 0.0632505-0j -0.00138949-0j 0.00459999-0j -0.00128157-0j -0.00611995-0j 0.00328639-0j -0.00110754-0j 0.0055031-0j 0.0854801-0j -0.000129052-0j -0.277271-0j 0.000418603-0j 0.0747951-0j 0.0498634-0j 0.357174-0j -0.00011292-0j -7.52801e-05-0j -0.000539235-0j -0.255735-0j 0.0308514-0j 0.0609416-0j 0.00038609-0j -4.65772e-05-0j 0.255177-0j -9.20051e-05-0j -0.000385248-0j -0.43817-0j 0.000661517-0j 0.258342-0j -0.000390026-0j -0.000673753-0j 0.0113869-0j -9.92532e-06-0j 0.00215488-0j -0.036419-0j 3.17443e-05-0j -0.000569544-0j -0.00271978-0j -0.00051992-0j 0.00962572-0j 0.0459663-0j -8.39017e-06-0j 0.00188552-0j 0.00878704-0j -4.00662e-05-0j 0.00125701-0j -0.000449317-0j -7.65914e-06-0j -0.000371449-0j -0.0318666-0j -0.0212444-0j -0.00250854-0j 0.0075938-0j 2.77763e-05-0j 0.000777736-0j 0.00627776-0j 0.00304583-0j 1.85175e-05-0j -6.61907e-06-0j 0.0423962-0j -5.47196e-06-0j -0.000321008-0j -0.0131443-0j -0.0514769-0j -3.69543e-05-0j 0.0022557-0j 1.14571e-05-0j 0.00542527-0j 4.48694e-05-0j -0.00542293-0j -4.72889e-06-0j -0.0381229-0j 0.0916516-0j 3.32295e-05-0j -7.98873e-05-0j 
0.00155838-0j -0.00532833-0j 0.00111336-0j 0.00751896-0j -0.00912942-0j -0.0191133-0j 0.063276-0j -0.0176288-0j -0.084184-0j 0.0452066-0j -0.0152349-0j 0.0756988-0j 0.000129052-0j 0.0828052-0j -0.000418603-0j -0.268594-0j 0.00011292-0j 7.52801e-05-0j 0.000539235-0j 0.0724545-0j 0.048303-0j 0.345997-0j -0.00038609-0j 4.65772e-05-0j 9.20051e-05-0j -0.247733-0j 0.029886-0j 0.000385248-0j 0.0590345-0j 0.247192-0j -0.000661517-0j -0.424459-0j 0.000390026-0j 0.250258-0j 9.72478e-05-0j -0.00163835-0j 0.0195166-0j -0.00031103-0j 0.00523997-0j -0.0624202-0j 8.22065e-05-0j 0.000392567-0j 7.5044e-05-0j -0.00138495-0j -0.00661364-0j 0.016498-0j -0.000272151-0j -0.00126428-0j 0.0787838-0j -0.000181434-0j 6.48534e-05-0j 0.0150605-0j 5.3614e-05-0j 0.00458498-0j 0.00305665-0j 0.000362076-0j -0.0010926-0j -0.0546177-0j -0.000112257-0j -0.000903245-0j -0.000439628-0j -0.0364118-0j 0.0130154-0j -0.00609997-0j 0.0107597-0j 4.63335e-05-0j 0.00189121-0j 0.0074065-0j 0.0726648-0j -0.000325582-0j -0.0225287-0j -0.000780589-0j -0.0882286-0j 0.000782733-0j 0.00929863-0j 0.00548513-0j -0.0131868-0j -0.0653407-0j 0.157086-0j 
0.0186669-0j 0.0217781-0j 0.0133363-0j 0.0190558-0j 0.00786012-0j -0.00955046-0j 0.00271372-0j 0.00221574-0j 0.0022387-0j 0.00193877-0j 0.00159941-0j 0.000511018-0j 0.00154583-0j 0.000223122-0j -0.00680178-0j -0.000981752-0j 0.0013526-0j 0.000901735-0j 0.00136662-0j 0.000195231-0j 0.000130154-0j 0.000197255-0j 0.00157804-0j 0.00055792-0j 0.000920522-0j 0.00022777-0j 8.05289e-05-0j 0.000976361-0j 0.000132866-0j 0.000140926-0j 0.000569544-0j 8.22065e-05-0j 0.000148579-0j 2.14456e-05-0j -0.168165-0j 0.000205923-0j 1.71602e-05-0j -0.183522-0j 0.000224727-0j 1.87272e-05-0j 0.565139-0j 0.570995-0j -0.129769-0j -0.000692026-0j -0.000699198-0j -5.76689e-05-0j -0.160581-0j 0.000158906-0j -5.82665e-05-0j -0.107054-0j -0.0936725-0j 1.32422e-05-0j -0.0927118-0j 0.000196636-0j 0.000131091-0j -0.132473-0j 0.000114704-0j 1.63863e-05-0j -0.0662365-0j 0.000113528-0j -0.0546423-0j 1.09242e-05-0j 9.55869e-06-0j 0.000162216-0j 9.46065e-06-0j -0.0669229-0j 8.11082e-05-0j 6.69108e-05-0j 1.3518e-05-0j -0.030239-0j 6.75901e-06-0j 8.19487e-05-0j 5.5759e-06-0j -0.00666707-0j 6.82906e-06-0j 3.70284e-05-0j 8.16399e-06-0j 3.0857e-06-0j 6.80332e-07-0j 
-0.00329987-0j -0.00384985-0j -0.00235754-0j -0.00336862-0j -0.00138949-0j -0.0796051-0j 0.0226194-0j 0.0184687-0j 0.01866-0j 0.0161601-0j 0.0133314-0j 0.00425944-0j 0.0261257-0j 0.00375897-0j -0.114955-0j -0.0165398-0j 0.02286-0j 0.01524-0j 0.0230969-0j 0.0032891-0j 0.00219273-0j 0.00332319-0j 0.02667-0j 0.00942927-0j 0.0155575-0j 0.00383728-0j 0.00135668-0j 0.0165012-0j 0.00223842-0j 0.0023742-0j 0.00962572-0j 0.00138495-0j 0.0025111-0j 0.000361298-0j -0.000205923-0j -0.164097-0j 0.000435169-0j -0.000224727-0j -0.179082-0j 0.000474907-0j 0.000692026-0j 0.000699198-0j -0.000158906-0j 0.551467-0j 0.557182-0j -0.00146243-0j -0.000196636-0j -0.12663-0j -0.00147759-0j -0.000131091-0j -0.000114704-0j 0.00033581-0j -0.000113528-0j -0.156697-0j -0.104465-0j -0.000162216-0j -0.0914064-0j 0.000415544-0j -8.11082e-05-0j -0.0904689-0j -6.69108e-05-0j 0.000277029-0j 0.0002424-0j -0.129268-0j 0.000239914-0j -8.19487e-05-0j -0.0646341-0j -0.0533204-0j 0.000342806-0j -3.70284e-05-0j 0.000171403-0j -0.0653039-0j 0.0001414-0j -8.16399e-06-0j 0.000173179-0j -0.0295074-0j -0.00650578-0j 7.82507e-05-0j 1.72527e-05-0j 
0.000274989-0j 0.000320821-0j 0.000196462-0j 0.000280718-0j 0.00011579-0j 0.0201827-0j -0.0057348-0j -0.00468245-0j -0.00473097-0j -0.00409714-0j -0.00337997-0j -0.00107992-0j 2.27723e-05-0j 0.0447781-0j -0.0001002-0j -0.197027-0j 1.99257e-05-0j 1.32838e-05-0j 2.01322e-05-0j 0.0391808-0j 0.0261205-0j 0.0395868-0j 2.32467e-05-0j 8.21894e-06-0j 1.35606e-05-0j 0.045711-0j 0.0161613-0j 1.43831e-05-0j 0.0266647-0j 0.0282822-0j 8.39017e-06-0j 0.016498-0j 2.18878e-06-0j 0.0043039-0j 1.71602e-05-0j -0.000435169-0j -0.15889-0j 1.87272e-05-0j -0.000474907-0j -0.173399-0j -5.76689e-05-0j -5.82665e-05-0j 1.32422e-05-0j 0.00146243-0j 0.00147759-0j 0.533967-0j 1.63863e-05-0j -0.00033581-0j 0.5395-0j 1.09242e-05-0j 9.55869e-06-0j -0.122612-0j 9.46065e-06-0j -0.000415544-0j -0.000277029-0j 1.3518e-05-0j -0.0002424-0j -0.151724-0j 6.75901e-06-0j -0.000239914-0j 5.5759e-06-0j -0.101149-0j -0.0885057-0j -0.000342806-0j -0.0875979-0j 6.82906e-06-0j -0.000171403-0j -0.0001414-0j -0.125166-0j 3.0857e-06-0j -0.062583-0j -0.000173179-0j -0.0516283-0j 6.80332e-07-0j -0.0632315-0j -7.82507e-05-0j -1.72527e-05-0j -0.028571-0j -0.00629932-0j 
0.062583-0j -0.000426232-0j -0.0150649-0j 0.0207799-0j 0.0260215-0j -0.00271372-0j 0.000157632-0j -0.00250295-0j 0.00244125-0j -3.7945e-05-0j 0.00351954-0j 0.00225902-0j -0.0017462-0j -0.000252043-0j -3.34855e-05-0j -4.83322e-06-0j 0.00453476-0j -0.00101862-0j -0.00442299-0j 0.000654537-0j -0.000147025-0j -0.000638404-0j -3.08847e-05-0j -0.000630238-0j 0.00202563-0j -4.45783e-06-0j -9.0967e-05-0j 0.0010647-0j 0.000292375-0j 0.000153676-0j 0.00188552-0j 0.000272151-0j 0.000821744-0j 0.000118609-0j 0.189963-0j -0.000232614-0j -1.93845e-05-0j 0.00359182-0j -4.39827e-06-0j -3.66522e-07-0j 0.160581-0j -0.156624-0j -0.435068-0j -0.000196636-0j 0.000191789-0j -1.63863e-05-0j -0.00932769-0j 0.000532751-0j 1.59824e-05-0j 0.00209523-0j 0.611773-0j 4.43959e-05-0j 0.104729-0j 1.1422e-05-0j -2.56566e-06-0j -0.144459-0j -0.000749131-0j 9.51832e-07-0j 0.00129636-0j -0.000128243-0j -0.180897-0j -2.13805e-07-0j -6.24276e-05-0j 0.000176893-0j -1.06869e-05-0j -0.147266-0j -1.58742e-06-0j 0.000221513-0j 1.47411e-05-0j -0.133675-0j -1.32285e-07-0j 0.00018033-0j 1.84594e-05-0j -0.0442741-0j 1.50275e-05-0j 0.000163688-0j 5.42147e-05-0j 1.36407e-05-0j 4.51789e-06-0j 
-0.0172171-0j 0.0395023-0j 0.0362011-0j 0.0170754-0j -0.00724963-0j -0.00221574-0j -0.00250295-0j -0.00390463-0j 0.00406069-0j 0.00526276-0j 0.00143319-0j -0.000471328-0j -0.00142577-0j -0.000205792-0j -0.00157804-0j -0.00022777-0j 0.00121203-0j 0.00410294-0j -0.00126048-0j 0.000174942-0j 0.000592209-0j -0.000181934-0j -0.00278085-0j 0.00252899-0j 0.0016697-0j -0.000401382-0j 0.000365028-0j 0.00265031-0j 0.000241-0j 0.000382539-0j 0.000510353-0j 7.36632e-05-0j -0.000137039-0j -1.97799e-05-0j 0.155104-0j -0.000189929-0j -1.58274e-05-0j 0.169268-0j -0.000207272-0j -1.72727e-05-0j -0.127382-0j 0.132473-0j -0.235384-0j 0.000155982-0j -0.000162216-0j 1.29985e-05-0j -0.143893-0j 0.000288233-0j -1.3518e-05-0j -0.487103-0j 0.0863971-0j 2.40194e-05-0j 0.494924-0j 0.0001762-0j 0.000596469-0j 0.233447-0j -0.000105795-0j 1.46834e-05-0j -0.300242-0j -0.000606046-0j -0.0991135-0j 4.97057e-05-0j -8.81628e-06-0j -0.000285861-0j -5.05038e-05-0j -0.181661-0j 0.000367654-0j 0.000121367-0j -2.38218e-05-0j -0.0270964-0j 3.06378e-05-0j 0.000222448-0j 1.01139e-05-0j 0.00614924-0j 1.85373e-05-0j 3.31802e-05-0j -7.5299e-06-0j 2.76501e-06-0j -6.27491e-07-0j 
-0.0110632-0j 7.53479e-05-0j 0.00266313-0j -0.0036734-0j -0.00459999-0j -0.0226194-0j 0.00131389-0j -0.0208626-0j 0.0203484-0j -0.000316279-0j 0.029336-0j 0.0188294-0j -0.0295121-0j -0.00424621-0j -0.000565931-0j -8.14262e-05-0j 0.0766409-0j -0.0172154-0j -0.0747519-0j 0.0110271-0j -0.00247696-0j -0.0107553-0j -0.000521975-0j -0.0106515-0j 0.0342347-0j -7.51019e-05-0j -0.00153254-0j 0.0179942-0j 0.00492569-0j 0.00258901-0j 0.0318666-0j 0.00458498-0j 0.0138881-0j 0.00199822-0j 0.000232614-0j 0.185368-0j -0.000491575-0j 4.39827e-06-0j 0.00350493-0j -9.2947e-06-0j 0.000196636-0j -0.000191789-0j -0.000532751-0j 0.156697-0j -0.152835-0j -0.000415544-0j -1.1422e-05-0j -0.424543-0j 0.000405301-0j 2.56566e-06-0j 0.000749131-0j 0.00112584-0j 0.000128243-0j -0.00910204-0j 0.00204454-0j -0.000176893-0j 0.596974-0j 2.41377e-05-0j 1.58742e-06-0j 0.102196-0j -0.000221513-0j -5.42191e-06-0j -0.00158311-0j -0.140964-0j -0.000271012-0j -0.00018033-0j 0.00126499-0j -0.176521-0j 0.000373822-0j -0.000163688-0j -3.35463e-06-0j -0.143703-0j 0.000468116-0j -5.42147e-05-0j 0.000381085-0j -0.130441-0j -0.0432031-0j 0.000345917-0j 0.00011457-0j 
0.0173955-0j 0.0385287-0j 0.0124279-0j -0.0177472-0j 0.0346196-0j 0.0022387-0j -0.00244125-0j -0.00406069-0j 0.00410031-0j -0.00174412-0j 0.00133821-0j 0.00499367-0j 0.00144054-0j 0.000207925-0j -0.00153914-0j -0.000222156-0j 0.00126048-0j -0.00414546-0j -0.00127277-0j 0.000181934-0j -0.000598346-0j -0.000183709-0j 0.00279179-0j 0.00051992-0j -0.00151467-0j 0.00040296-0j 7.5044e-05-0j -0.000909314-0j -0.000218623-0j -0.000131248-0j 0.00250854-0j 0.000362076-0j 0.00251683-0j 0.000363273-0j -0.156711-0j 0.000191897-0j 1.59914e-05-0j 0.165096-0j -0.000202164-0j -1.6847e-05-0j -0.132473-0j 0.133765-0j 0.237823-0j 0.000162216-0j -0.000163799-0j 1.3518e-05-0j 0.144459-0j -0.00029122-0j -1.36499e-05-0j -0.475097-0j -0.0783751-0j -2.42683e-05-0j 0.169909-0j -0.000176893-0j 0.000581767-0j -0.242632-0j 9.59723e-05-0j -1.47411e-05-0j 0.0595862-0j -0.000208057-0j 0.473303-0j 4.84806e-05-0j 7.99769e-06-0j 0.000297108-0j -1.73381e-05-0j -0.0559939-0j -7.29647e-05-0j -0.000579571-0j 2.4759e-05-0j -0.295495-0j -6.08039e-06-0j 6.85659e-05-0j -4.82976e-05-0j -0.172719-0j 5.71382e-06-0j 0.000361841-0j 0.000211499-0j 3.01534e-05-0j 1.76249e-05-0j 
0.000921935-0j -6.27899e-06-0j -0.000221927-0j 0.000306117-0j 0.000383333-0j 0.0057348-0j -0.000333117-0j 0.00528939-0j -0.00515901-0j 8.01877e-05-0j -0.00743771-0j -0.0047739-0j -2.5724e-05-0j -0.0505822-0j -4.93289e-07-0j -0.000969975-0j 6.68034e-05-0j -1.50057e-05-0j -6.51568e-05-0j 0.131358-0j -0.0295063-0j -0.128121-0j -4.54975e-07-0j -9.28428e-06-0j 2.98404e-05-0j -0.000894638-0j -0.0182561-0j 1.56845e-05-0j 0.0586764-0j 0.0308411-0j 2.77763e-05-0j 0.0546177-0j 1.21054e-05-0j 0.0238034-0j -1.93845e-05-0j 0.000491575-0j 0.179485-0j -3.66522e-07-0j 9.2947e-06-0j 0.0033937-0j -1.63863e-05-0j 1.59824e-05-0j 4.43959e-05-0j 0.000415544-0j -0.000405301-0j 0.151724-0j 9.51832e-07-0j -0.00112584-0j -0.147984-0j -2.13805e-07-0j -6.24276e-05-0j -0.41107-0j -1.06869e-05-0j -2.41377e-05-0j 5.42191e-06-0j 1.47411e-05-0j 0.00158311-0j -0.00881319-0j -1.32285e-07-0j 0.000271012-0j 1.84594e-05-0j 0.00197966-0j 0.578029-0j -0.000373822-0j 0.0989524-0j 1.50275e-05-0j 3.35463e-06-0j -0.000468116-0j -0.136491-0j 1.36407e-05-0j 0.00122485-0j -0.000381085-0j -0.170919-0j 4.51789e-06-0j -0.139143-0j -0.000345917-0j -0.00011457-0j -0.126302-0j -0.041832-0j 
0.0150649-0j 0.000304515-0j 0.00955477-0j 0.0436924-0j -0.0185907-0j 0.00193877-0j 3.7945e-05-0j -0.00526276-0j -0.00174412-0j 2.40662e-05-0j 0.00740027-0j -0.00161392-0j 0.00124755-0j 0.000180068-0j 2.39232e-05-0j 3.45302e-06-0j -0.00321266-0j 0.000727736-0j -0.0010647-0j -0.000463708-0j 0.00010504-0j -0.000153676-0j -6.49391e-05-0j 0.0056249-0j -0.00144718-0j -9.37315e-06-0j 0.000811884-0j -0.000675274-0j -0.000208883-0j -9.74674e-05-0j 0.00396454-0j 0.000572232-0j -0.000587082-0j -8.4738e-05-0j -0.135716-0j 0.000166188-0j 1.3849e-05-0j -0.00256612-0j 3.14227e-06-0j 2.61856e-07-0j 0.337643-0j 0.111897-0j -0.104729-0j -0.000413452-0j -0.000137021-0j -3.44543e-05-0j 0.00660822-0j 0.000128243-0j -1.14184e-05-0j -0.0014969-0j 0.147266-0j 1.06869e-05-0j -0.0664233-0j -8.09193e-06-0j 1.83299e-06-0j -0.303743-0j -0.00018033-0j -6.74327e-07-0j -0.01157-0j 8.13369e-05-0j 0.129239-0j 1.52749e-07-0j -1.50275e-05-0j 0.00037194-0j 6.77808e-06-0j 0.0934016-0j 1.41678e-05-0j -0.000158257-0j 3.0995e-05-0j -0.281069-0j 1.18065e-06-0j -0.000114373-0j -1.31881e-05-0j 0.031631-0j -9.53104e-06-0j 0.000344176-0j -3.87329e-05-0j 2.86813e-05-0j -3.22774e-06-0j 
0.00304358-0j -0.00698309-0j -0.0063995-0j -0.00301854-0j 0.00128157-0j -0.0184687-0j -0.0208626-0j -0.0325459-0j 0.0338467-0j 0.0438662-0j 0.0119459-0j -0.00392861-0j -0.0240966-0j -0.00346702-0j -0.02667-0j -0.00383728-0j 0.0204843-0j 0.0693428-0j -0.021303-0j 0.00294728-0j 0.00997705-0j -0.00306508-0j -0.0469985-0j 0.0427418-0j 0.0282191-0j -0.00676215-0j 0.0061497-0j 0.0447922-0j 0.00406017-0j 0.00644471-0j 0.00862536-0j 0.00124102-0j -0.00231607-0j -0.000333236-0j 0.000189929-0j 0.151352-0j -0.00040137-0j 0.000207272-0j 0.165173-0j -0.000438021-0j -0.000155982-0j 0.000162216-0j -0.000288233-0j -0.1243-0j 0.129268-0j 0.000329631-0j -0.0001762-0j -0.229689-0j -0.000342806-0j -0.000596469-0j 0.000105795-0j 0.000609112-0j 0.000606046-0j -0.140412-0j -0.475319-0j 0.000285861-0j 0.084307-0j 0.000372358-0j -0.000367654-0j 0.482951-0j -0.000121367-0j 0.0012605-0j -0.000223573-0j 0.227799-0j -0.00128074-0j -0.000222448-0j -0.292979-0j -0.0967158-0j -0.000604101-0j -3.31802e-05-0j 0.00077695-0j -0.177266-0j 0.00025648-0j 7.5299e-06-0j 0.000470091-0j -0.0264409-0j 0.00600048-0j 7.01184e-05-0j -1.59127e-05-0j 
-0.00307512-0j -0.00681097-0j -0.00219697-0j 0.0031373-0j -0.00611995-0j 0.01866-0j -0.0203484-0j -0.0338467-0j 0.0341769-0j -0.0145376-0j 0.0111543-0j 0.0416233-0j 0.0243463-0j 0.00350294-0j -0.0260127-0j -0.0037427-0j 0.021303-0j -0.0700614-0j -0.0215108-0j 0.00306508-0j -0.0100804-0j -0.00309498-0j 0.0471833-0j 0.00878704-0j -0.025599-0j 0.00678874-0j 0.00126428-0j -0.0153681-0j -0.00368319-0j -0.00221116-0j 0.0423962-0j 0.00609997-0j 0.0425363-0j 0.00612013-0j -0.000191897-0j -0.15292-0j 0.000405529-0j 0.000202164-0j 0.161102-0j -0.000427225-0j -0.000162216-0j 0.000163799-0j 0.00029122-0j -0.129268-0j 0.130529-0j 0.000342806-0j 0.000176893-0j 0.23207-0j -0.00034615-0j -0.000581767-0j -9.59723e-05-0j -0.000615424-0j 0.000208057-0j 0.140964-0j -0.463603-0j -0.000297108-0j -0.0764791-0j -0.000373822-0j 7.29647e-05-0j 0.165798-0j 0.000579571-0j 0.00122943-0j 0.000202815-0j -0.236762-0j -0.00043968-0j -6.85659e-05-0j 0.0581447-0j 0.461853-0j 0.000627868-0j -0.000361841-0j -0.000154194-0j -0.0546393-0j -0.00122479-0j -0.000211499-0j 0.000144898-0j -0.288347-0j -0.168541-0j 0.000764666-0j 0.000446953-0j 
-0.000253631-0j 0.000581924-0j 0.000533292-0j 0.000251545-0j -0.000106797-0j 0.00468245-0j 0.00528939-0j 0.00825152-0j -0.00858132-0j -0.0111216-0j -0.0030287-0j 0.00099604-0j -2.10036e-05-0j -0.0413002-0j -2.32467e-05-0j -0.045711-0j 1.78549e-05-0j 6.0442e-05-0j -1.85686e-05-0j 0.0351089-0j 0.11885-0j -0.0365122-0j -4.09658e-05-0j 3.72555e-05-0j 2.4597e-05-0j -0.0805529-0j 0.0732571-0j 3.90428e-05-0j 0.0483661-0j 0.0767715-0j 7.51822e-06-0j 0.0147834-0j -2.01878e-06-0j -0.00396962-0j -1.58274e-05-0j 0.00040137-0j 0.146549-0j -1.72727e-05-0j 0.000438021-0j 0.159931-0j 1.29985e-05-0j -1.3518e-05-0j 2.40194e-05-0j -0.000329631-0j 0.000342806-0j -0.120356-0j 1.46834e-05-0j -0.000609112-0j 0.125166-0j 4.97057e-05-0j -8.81628e-06-0j -0.2224-0j -5.05038e-05-0j -0.000372358-0j -0.0012605-0j -2.38218e-05-0j 0.000223573-0j -0.135956-0j 3.06378e-05-0j 0.00128074-0j 1.01139e-05-0j -0.460235-0j 0.0816315-0j 0.000604101-0j 0.467624-0j 1.85373e-05-0j -0.00077695-0j -0.00025648-0j 0.22057-0j 2.76501e-06-0j -0.283681-0j -0.000470091-0j -0.0936465-0j -6.27491e-07-0j -0.171641-0j -7.01184e-05-0j 1.59127e-05-0j -0.0256018-0j 0.00581006-0j 
-0.0124279-0j 0.0282449-0j 0.0261313-0j 0.0110666-0j -0.00626517-0j -0.00159941-0j 0.00351954-0j 0.00143319-0j -0.00133821-0j -0.00740027-0j 0.00397683-0j 0.00433317-0j -0.00102917-0j -0.000148549-0j 0.00221897-0j 0.00032028-0j 0.000874892-0j -0.000600352-0j -0.000816914-0j 0.00012628-0j -8.66533e-05-0j -0.000117911-0j -0.00198836-0j 0.00182552-0j -0.00235589-0j -0.000286995-0j 0.000263491-0j 0.00171767-0j -0.000340044-0j 0.000247924-0j 0.00044105-0j 6.36601e-05-0j 0.00431786-0j 0.00062323-0j 0.11196-0j -0.000137098-0j -1.14248e-05-0j -0.238017-0j 0.000291458-0j 2.42881e-05-0j -0.091949-0j 0.0858557-0j 0.0863971-0j 0.000112594-0j -0.000105132-0j 9.38281e-06-0j 0.202336-0j -0.000105795-0j -8.76103e-06-0j -0.138843-0j 0.239736-0j -8.81628e-06-0j -0.181661-0j -0.000247765-0j 0.000170017-0j -0.0769331-0j -0.000293563-0j -2.06471e-05-0j 0.422188-0j 0.000222448-0j 0.0435545-0j 1.41681e-05-0j -2.44636e-05-0j 9.42064e-05-0j 1.85373e-05-0j -0.504076-0j -0.000516979-0j -5.33335e-05-0j 7.85053e-06-0j 0.249111-0j -4.30816e-05-0j 0.000617253-0j -4.44446e-06-0j -0.431612-0j 5.14377e-05-0j -0.000305043-0j 0.00052852-0j -2.54202e-05-0j 4.40433e-05-0j 
-0.00266313-0j -5.38311e-05-0j -0.00168906-0j -0.0077238-0j 0.00328639-0j 0.0161601-0j 0.000316279-0j -0.0438662-0j -0.0145376-0j 0.000200597-0j 0.0616828-0j -0.0134524-0j 0.0210845-0j 0.00303364-0j 0.00040432-0j 5.81737e-05-0j -0.0542964-0j 0.0122993-0j -0.0179942-0j -0.00781217-0j 0.00176962-0j -0.00258901-0j -0.00109752-0j 0.095065-0j -0.0244584-0j -0.000157911-0j 0.013678-0j -0.0114126-0j -0.00351908-0j -0.00164205-0j 0.0670037-0j 0.00964049-0j -0.00992213-0j -0.0014276-0j -0.000166188-0j -0.132433-0j 0.000351198-0j -3.14227e-06-0j -0.00250404-0j 6.64045e-06-0j 0.000413452-0j 0.000137021-0j -0.000128243-0j 0.329475-0j 0.10919-0j -0.000873733-0j 8.09193e-06-0j -0.102196-0j -0.000289561-0j -1.83299e-06-0j 0.00018033-0j 0.000271012-0j -8.13369e-05-0j 0.00644836-0j -0.00146069-0j -0.00037194-0j 0.143703-0j -1.71004e-05-0j -1.41678e-05-0j -0.0648164-0j 0.000158257-0j 3.8736e-06-0j -0.000381085-0j -0.296395-0j 0.000171886-0j 0.000114373-0j -0.0112901-0j 0.126113-0j 0.000786008-0j -0.000344176-0j 2.99402e-05-0j 0.0911421-0j -0.000334438-0j 3.87329e-05-0j -0.000241699-0j -0.274269-0j 0.0308658-0j 0.000727334-0j -8.18528e-05-0j 
