0.0195202-2.0383e-17j 0.00566543-1.10363e-05j 0.000143719-0.000203781j 0.030321+0.000681744j 0.0131251+0.000382703j 0.0111049+0.000235429j 0.018617+0.000107249j -0.0114059-0.000514189j -0.0113706+0.000213569j -0.00917452-1.05543e-05j -0.0383294-0.0016014j -0.00980093-0.000923965j -0.0231276-0.000690156j -0.0185315-0.00249334j -0.00663148+0.00107276j 0.00783981-0.000527824j -0.0580622-0.00067905j -0.0268547-0.000748316j 0.0302453-0.00550477j 0.108972+0.00502854j 0.173875-0.00153345j 0.86555-0.00793159j 
-0.00980093+0.000923965j 0.00898074-0.00105084j -0.0116186+0.00120475j 0.0190037-0.00222906j 0.0454646+6.91633e-05j -0.0648132+0.000623308j 0.152507+0.000179365j -0.0997608+0.0017959j -0.115647-0.000240681j 0.00263239-0.000563281j 0.0238822-0.000330149j -0.870125+4.11119e-13j -0.00228247-0.000424676j 0.0854912-0.000164816j 0.113468-0.00172277j -0.128111-0.000140696j 0.0199101+0.000308276j 0.024252-0.000754809j 0.0087586+0.00124233j 0.00567607-0.00266683j -8.86606e-05-0.000814213j -0.00558716+0.0014653j 
-0.0231276+0.000690156j 0.0151376-0.000554564j -0.0283544+0.00066875j -0.0273965-0.00141845j 0.0171894-0.000106022j -0.0727895+0.00161467j 0.0413223-2.60185e-05j 0.0745418+3.98656e-05j 0.218385-0.00107884j 0.872854+0.00106646j 0.167707-0.00157103j -0.00228247+0.000424676j -0.0942063+8.8202e-15j 0.0322184+6.41717e-05j -0.117079-0.000100375j -0.102653-0.00125603j -0.0306826+0.000998919j -0.0160349-0.00105742j -0.017412-0.000795127j -0.00179885+0.000516851j -0.00423428+0.00019469j 0.00554433-0.000470302j 
-0.0185315+0.00249334j -0.0269957-0.00024018j 0.0138801+0.00252676j 0.160591+0.000653687j 0.205343-0.0007072j 0.0672526-0.00192033j 0.0863571-0.000987974j 0.390093-0.000153813j -0.739994-0.00316211j 0.133776+0.00225106j 0.0540422-0.00154202j 0.0854912+0.000164816j 0.0322184-6.41717e-05j -0.20103+1.30603e-15j 0.0904191+0.00174551j -0.0440164-0.00117909j 0.033965+0.00400468j -0.0561887-0.000658879j 0.0216666-0.00226156j -0.0206523-0.000262386j 0.0038488-0.00137233j -0.00529966+0.000743994j 
-0.00663148-0.00107276j -0.0146471+0.000857762j 0.0109971-0.00205253j -0.101783+0.000115141j -0.0141058+0.000593652j -0.142748+0.00200996j -0.0467553+0.000696627j -0.760721-0.00195572j -0.464672-0.00250874j 0.109089+0.0011752j 0.0884385+0.000515666j 0.113468+0.00172277j -0.117079+0.000100375j 0.0904191-0.00174551j 0.00398168+3.33305e-15j -0.0244536-0.000350075j 0.0148986-0.0016961j 0.00929612-0.000314649j -0.00607865-7.86788e-06j 0.000531583+0.000681473j -0.00483387+0.00110228j -0.000687207-0.000804926j 
0.00783981+0.000527824j 0.0272843-0.000893505j -0.0232078+0.00208443j 0.0827717-0.00108984j -0.117614-0.00134602j 0.277921-0.000827732j -0.853389-0.0011872j -0.0108169+0.00110715j -0.0764732-0.00099691j 0.0790223+0.000519836j 0.00255859+0.00116553j -0.128111+0.000140696j -0.102653+0.00125603j -0.0440164+0.00117909j -0.0244536+0.000350075j 0.0451842-2.73755e-14j -0.00280395-0.000266947j 0.00825096-3.18082e-05j -0.0032596+0.000805926j 0.00421681-0.00100051j 0.00254254-0.000839168j 0.00255021+0.000823423j 
-0.0580622+0.00067905j 0.042607+0.000117208j -0.0588524-0.00292246j -0.140432+0.00198572j -0.278469+0.00148102j -0.777733-0.00384586j -0.211325-0.00285485j 0.206886+0.00225733j -0.0768254+0.00024484j -0.0906023-0.00168273j 0.102456-0.000398055j 0.0199101-0.000308276j -0.0306826-0.000998919j 0.033965-0.00400468j 0.0148986+0.0016961j -0.00280395+0.000266947j -0.0235245-1.81279e-16j 0.0218356+0.00069568j -0.0133117-0.00179511j 0.00826174+0.00161234j -0.00583957+0.000690789j 0.00616894-0.00119502j 
-0.0268547+0.000748316j -0.0393808-0.00137299j 0.0526883+0.00297599j 0.188447-0.00155822j 0.810539+0.00163828j -0.291319-0.0034584j -0.174619-0.000769273j -0.0860206+0.00133858j 0.161615+0.000486963j -0.0553868-0.00196929j 0.0175126+0.00237137j 0.024252+0.000754809j -0.0160349+0.00105742j -0.0561887+0.000658879j 0.00929612+0.000314649j 0.00825096+3.18082e-05j 0.0218356-0.00069568j -0.0182661+5.68556e-16j -0.00658423+0.000557179j -0.00926471-0.000934072j -0.00103065-0.000422467j -0.0039056+0.000982148j 
0.0302453+0.00550477j 0.101043-0.00253342j -0.448731+0.000294972j -0.746818-0.00256635j 0.204602+7.57927e-06j 0.0568465-0.000989694j -0.00913005-9.07394e-05j 0.0548981-0.00128779j -0.0551546+0.000595014j -0.0152249+0.00138409j -0.0448751-0.00165249j 0.0087586-0.00124233j -0.017412+0.000795127j 0.0216666+0.00226156j -0.00607865+7.86788e-06j -0.0032596-0.000805926j -0.0133117+0.00179511j -0.00658423-0.000557179j 0.0131508+1.12974e-16j 0.00124113-0.000772783j -0.000670787-0.00139524j 0.0056563+8.67024e-05j 
0.108972-0.00502854j 0.0104699-0.00626657j -0.77684-0.0140049j 0.389869+0.00603725j -0.0361208-0.00535093j -0.0555304-0.00272102j 0.0179585+0.002335j -0.0180767-0.00184341j -0.000769997+0.000263745j 0.000756758-0.00244153j -0.00744772+0.00357839j 0.00567607+0.00266683j -0.00179885-0.000516851j -0.0206523+0.000262386j 0.000531583-0.000681473j 0.00421681+0.00100051j 0.00826174-0.00161234j -0.00926471+0.000934072j 0.00124113+0.000772783j -0.00126021-6.33174e-17j 0.00522241+3.25245e-05j 0.00100815+0.000592092j 
0.173875+0.00153345j 0.866037+0.00763299j 0.049029+0.00827164j 0.0210784-0.00209124j 0.0238568-0.00029888j -0.00214687+0.000273748j 0.00660806+0.000685858j 0.00748487+0.000537781j -0.0157048-0.00131119j 0.00195711-0.000119844j -0.0153056-0.00031759j -8.86606e-05+0.000814213j -0.00423428-0.00019469j 0.0038488+0.00137233j -0.00483387-0.00110228j 0.00254254+0.000839168j -0.00583957-0.000690789j -0.00103065+0.000422467j -0.000670787+0.00139524j 0.00522241-3.25245e-05j 0.006732+3.39138e-16j 0.00636694-2.77761e-05j 
0.86555+0.00793159j -0.176235-0.000888005j 0.0175193+0.00205764j -0.0139993-0.0068604j 0.00286642+0.00331308j -0.0262682-0.000391434j -0.00626694-0.00155216j 0.00297508+0.00324502j -0.0019241-0.00188909j 0.0106201+0.0014773j -0.00635242-0.00182648j -0.00558716-0.0014653j 0.00554433+0.000470302j -0.00529966-0.000743994j -0.000687207+0.000804926j 0.00255021-0.000823423j 0.00616894+0.00119502j -0.0039056-0.000982148j 0.0056563-8.67024e-05j 0.00100815-0.000592092j 0.00636694+2.77761e-05j -0.0066116+1.09288e-16j 
