0.123242-5.55112e-17j 0.0415841-0.0063777j 0.0786997+0.183621j -0.0866278-0.0949473j -0.151739-0.0151935j -0.0906403-0.21758j 0.0892655-0.11402j 0.103306+0.142136j -0.0661343-0.141575j -0.08541-0.160205j -0.0456435-0.00587113j -0.0369436-0.0644225j -0.108743-0.0189356j -0.0526541-0.0218956j -0.0530854+0.000896849j 0.0481805+0.0360372j 0.0880689+0.069146j -0.0104819+0.00919076j -0.0104783+0.0159053j 0.0854879-0.0427509j 0.028038+0.0146315j 0.0221205-0.0891255j 0.0685808+0.000573772j -0.0429277-0.040382j 0.0536523+0.0979596j 0.0664662+0.0541172j 0.07215-0.0308117j 0.11912+0.144997j -0.116778+0.258635j 0.00219481+0.0543274j 0.0074105+0.106319j -0.139755-0.0512799j 0.0427716+0.0946911j 0.0884779+0.285759j 
-0.0369436+0.0644225j -0.154654-0.0695821j -0.0482604-0.0416751j -0.0349964-0.0201936j -0.000751771-0.0222456j 0.0267004-0.0293041j -0.0108955-0.0287793j 0.0625302+0.0525484j -0.186864+0.0456961j -0.0612458+0.123832j 0.289759+0.0454144j 0.0318734-1.26288e-15j 0.11529+0.105565j -0.0101663+0.120004j -0.119402-0.0404997j -0.0469331-0.0112094j 0.205824+0.0705046j -0.00326839-0.101587j -0.0135488+0.038285j -0.0493704+0.0938343j -0.0432776+0.0158015j 0.00714843+0.0566349j 0.00540622-0.0605441j -0.0305065+0.0462514j 0.0413313-0.0442692j 0.0257886-0.0132959j 0.0641308+0.0252843j -0.0418933+0.0791418j -0.0348789-0.00573796j 0.00595176-0.0152402j 0.00488527-0.0464558j -0.0352217-0.044044j 0.00266335+0.035891j 0.0488144+0.0672533j 
-0.108743+0.0189356j 0.0203294+0.0111971j -0.0070383+0.069004j -0.0218574-0.00641804j -0.0729828+0.0440001j 0.0446456-0.0579289j -0.0418377-0.0213673j 0.237314+0.194666j -0.106042+0.170251j 0.0703883+0.147864j 0.0562403+0.0448951j 0.11529-0.105565j 0.0151217-4.71845e-16j 0.0727779-0.00427628j 0.0799956-0.0412609j 0.0524659-0.0179476j -0.00954188-0.0697266j -0.0565218-0.0604481j 0.000165073+0.0141722j 0.086946+0.0377445j 0.0497415-0.00786224j 0.0536382+0.103558j -0.00114584+0.0272153j -0.0385385-0.0730314j -0.115558-0.00611531j 0.128652-0.124288j 0.0608857-0.135896j -0.0914987+0.060759j -0.0310816-0.00634502j 0.0815138-0.00255916j 0.0162389-0.280475j -0.195369+0.0267589j -0.111587+0.114529j -0.087013+0.0207934j 
-0.0526541+0.0218956j -0.0634856-0.106423j -0.0403723-0.0501871j 0.0171448+0.0505017j 0.0828822+0.0732034j 0.0648942+0.112635j -0.0529871+0.00285202j 0.188306+0.102166j -0.113196+0.111469j -0.0773555+0.0702227j 0.25843+0.309766j -0.0101663-0.120004j 0.0727779+0.00427628j -0.197506-1.23027e-14j -0.0915386-0.207139j -0.0215182+0.0102999j 0.0137127+0.0592487j 0.032579-0.0828383j 0.0146703+0.114781j 0.0125071+0.119461j -3.54158e-05+0.0185475j -0.015454-0.00288208j 0.0466803-0.0421825j 0.0154908+0.0318264j -0.0274917+0.0739434j -0.0768161+0.0770676j -0.174278+0.0626279j 0.104062-0.11093j -0.0934615-0.0789788j -0.0734445+0.115645j -0.058835+0.178588j -0.027773+0.0452494j 0.0156645-0.0144681j -0.0839048+0.0732572j 
-0.0530854-0.000896849j 0.0227651+0.0750298j 0.00051664+0.0310371j -0.0858659-0.00813919j -0.0414402-0.0340712j -0.110309-0.00582123j 0.136306+0.0300631j -0.0446472-0.059394j 0.0597618+0.0990509j 0.150203+0.13893j -0.233093-0.238078j -0.119402+0.0404997j 0.0799956+0.0412609j -0.0915386+0.207139j 0.210734+7.35523e-16j -0.0098461+0.0255184j 0.0529622+0.00655163j 0.114083-0.0131831j 0.0938989+0.138078j 0.0423224+0.115844j -0.0485629+0.0502322j -0.130286+0.018313j 0.0194208-0.100973j 0.0158646+0.0515249j -0.15343+0.115333j -0.0837068-0.10591j -0.174438-0.00442558j 0.218813-0.0575985j -0.116234-0.0364123j -0.0999783+0.243525j -0.136683+0.111905j 0.00110847+0.042624j 0.0556837-0.0536077j 0.0219964+0.0163212j 
0.0481805-0.0360372j -0.0838729-0.0542751j -0.00144816+0.038844j -0.00678063-0.0384681j -0.015797-0.0274605j -0.0516523-0.00669426j 0.0472478+0.0161747j 0.0465357+0.0190848j 0.0330763-0.152616j -0.0967766-0.110047j 0.111692+0.0672315j -0.0469331+0.0112094j 0.0524659+0.0179476j -0.0215182-0.0102999j -0.0098461-0.0255184j 0.20111-5.96745e-16j -0.00864819+0.134553j 0.11654+0.118697j 0.0585134-0.0217011j 0.0145834-0.0608525j -0.0841791-0.0253322j -0.0469026+0.0555038j 0.0934788+0.107394j -0.0860427-0.0941464j -0.129923+0.172401j 0.02903-0.194221j -0.0802866-0.0681912j 0.0267393+0.0780778j 0.143424-0.119573j 0.0493893+0.122208j -0.0804453-0.196958j 0.0986208-0.0499225j 0.109966-0.0823453j 0.0529485-0.0157019j 
0.0880689-0.069146j 0.10847-0.0777341j -0.0966722-0.0372332j 0.0264564+0.0115882j 0.0641433-0.0147563j 0.0112935+0.0926308j 0.0502363-0.0970947j 0.294616+0.11926j 0.122369+0.00122463j 0.0347675+0.160375j -0.00690765+0.0967293j 0.205824-0.0705046j -0.00954188+0.0697266j 0.0137127-0.0592487j 0.0529622-0.00655163j -0.00864819-0.134553j -0.333748+9.92262e-16j -0.176088-0.10192j 0.0916779+0.0581213j -0.078565+0.0543805j -0.0528536+0.00195086j 0.133578+0.114707j -0.0928815-0.0689486j 0.0203458+0.00437856j -0.0492262-0.0612823j -0.0766822+0.0772042j -0.0060914-0.0163123j -0.00840566+0.0798469j 0.1197+0.0888309j 0.0480208+0.0203706j -0.0674882+0.0275704j 0.0598241-0.200983j 0.138148-0.0951948j 0.096546+0.0992961j 
-0.0104819-0.00919076j -0.0184813+0.0790713j -0.00654155+0.011413j 0.00261269-0.0193752j -0.00959766-0.00436949j -0.0603381-0.0124289j -0.0523197+0.0526453j -0.024879-0.000492068j 0.032434-0.0355873j -0.0498789+0.0831818j 0.0130729-0.0671039j -0.00326839+0.101587j -0.0565218+0.0604481j 0.032579+0.0828383j 0.114083+0.0131831j 0.11654-0.118697j -0.176088+0.10192j -0.00208974+3.88578e-16j -0.0297861-0.105068j 0.0171128-0.0685999j -0.0565403-0.0737927j 0.0647057-0.0351655j 0.077976-0.182957j -0.033805-0.0368582j -0.183271-0.15719j 0.11703+0.259916j -0.15843+0.111593j 0.0729359-0.213137j 0.207917+0.173292j -0.176366-0.0525397j -0.212691+0.237526j -0.186097-0.106206j 0.0495135+0.114687j -0.125543+0.115852j 
-0.0104783-0.0159053j -0.0419037-0.05957j -0.0306274+0.0522237j -0.00677185+0.0149487j 0.0248897+0.0761415j -0.0101006-0.0375648j -0.0811911+0.024239j -0.0390529-0.0214221j -0.00698274-0.0164075j 0.0276295-0.0780814j 0.109185+0.0455049j -0.0135488-0.038285j 0.000165073-0.0141722j 0.0146703-0.114781j 0.0938989-0.138078j 0.0585134+0.0217011j 0.0916779-0.0581213j -0.0297861+0.105068j -0.0475716-1.97065e-15j -0.120701+0.0965199j -0.0935919+0.105916j -0.185972+0.093115j 0.0741528+0.0338541j 0.0792259-0.015378j -0.0265688-0.161079j 0.0402009+0.0262124j 0.187889+0.12892j 0.0967306+0.0217436j -0.204498+0.0718061j -0.339048-0.00184657j -0.116542+0.143905j 0.114444+0.177956j -0.0625912-0.104733j 0.113879-0.150345j 
0.0854879+0.0427509j -0.0320563-0.0855635j -0.0129598-0.000327418j 0.0231618+0.043202j 0.00830869+0.00835857j -0.00269157+0.00951298j 0.0516048-0.074821j 0.0383519+0.0885445j 0.0193017+0.0754362j -0.0156009-0.109396j 0.0791286+0.111881j -0.0493704-0.0938343j 0.086946-0.0377445j 0.0125071-0.119461j 0.0423224-0.115844j 0.0145834+0.0608525j -0.078565-0.0543805j 0.0171128+0.0685999j -0.120701-0.0965199j 0.085553-4.31599e-15j 0.153504+0.0496047j -0.0962249-0.11135j -0.00213283+0.0826065j 0.0393117-0.0633963j -0.0387397+0.0646338j -0.0706126-0.00344138j 0.0435324-0.202483j 0.168161-0.146327j 0.167142-0.00415761j -0.0276994+0.0333834j 0.00648441-0.00654583j 0.121966+0.0583463j -0.0197868+0.0751793j -0.0108807-0.220313j 
0.028038-0.0146315j 0.0518777-0.0189959j -0.0174443-0.0192776j -0.0460577-0.0117993j 0.0801928+0.0370383j 0.0143911+0.0553405j -0.0212176+0.0181112j 0.00681896+0.0426071j -0.0322847+0.120986j 0.00702898-0.00411086j -0.0256975+0.00778746j -0.0432776-0.0158015j 0.0497415+0.00786224j -3.54158e-05-0.0185475j -0.0485629-0.0502322j -0.0841791+0.0253322j -0.0528536-0.00195086j -0.0565403+0.0737927j -0.0935919-0.105916j 0.153504-0.0496047j -0.142522-9.45355e-14j 0.0203547+0.105709j -0.15078-0.0271663j -0.00597694+0.306686j 0.234343+0.0736774j -0.215577+0.0971387j 0.0669131-0.0595379j -0.00116425+0.0441863j 0.00065538-0.0119664j -0.0739399-0.0113011j 0.0516969+0.156169j -0.0120172-0.0136232j 0.0295087+0.0219326j 0.00711608+0.0104138j 
0.0221205+0.0891255j -0.0113941-0.0615321j 0.0598754+0.0488551j 0.0172718+0.0113697j -0.0325321-0.00244718j -0.0313291+0.0603515j 0.0753881-0.053219j 0.0250197-0.0127868j 0.0194005-0.0148488j 0.0670456-0.0752342j -0.0209432-0.00453664j 0.00714843-0.0566349j 0.0536382-0.103558j -0.015454+0.00288208j -0.130286-0.018313j -0.0469026-0.0555038j 0.133578-0.114707j 0.0647057+0.0351655j -0.185972-0.093115j -0.0962249+0.11135j 0.0203547-0.105709j 0.0950649-5.72459e-16j 0.0669527-0.138439j -0.296939-0.0779395j -0.173705+0.00578873j 0.0512311+0.04598j 0.187578+0.134414j -0.130703-0.10538j 0.108498+0.158723j 0.121237-0.267721j -0.15753+0.154745j 0.0908375-0.0216747j -0.069591+0.0296235j 0.0336468-0.112358j 
0.0685808-0.000573772j -0.00794343+0.0178192j 0.0361193+0.0149286j -0.00867482-0.0572387j -0.0163785-0.062685j -0.0337351-0.0382329j 0.051343+0.0275636j -0.0397903-0.0422912j 0.0754216-0.107502j -0.0357134-0.0212755j 0.00201249+0.00611437j 0.00540622+0.0605441j -0.00114584-0.0272153j 0.0466803+0.0421825j 0.0194208+0.100973j 0.0934788-0.107394j -0.0928815+0.0689486j 0.077976+0.182957j 0.0741528-0.0338541j -0.00213283-0.0826065j -0.15078+0.0271663j 0.0669527+0.138439j 0.00206189-7.37257e-16j -0.0648489+0.0648294j 0.0252538+0.0510156j -0.0118734-0.116524j -0.00136451+0.00714526j -0.0756003+0.0290937j 0.0598871-0.109014j 0.0862102-0.0306783j 0.0248815-0.117682j -0.0205813+0.104276j -0.0431373+0.0705075j -0.0247753-0.112201j 
-0.0429277+0.040382j -0.0180751-0.0840609j -0.11171-0.00496514j 0.0214396-0.0335105j 0.0101033+0.0451159j 0.0436779+0.0589383j -0.0249019-0.00751895j 0.0447158+0.0651981j -0.0534948+0.0790334j 0.0287012+0.0240305j 0.0152701-0.0357122j -0.0305065-0.0462514j -0.0385385+0.0730314j 0.0154908-0.0318264j 0.0158646-0.0515249j -0.0860427+0.0941464j 0.0203458-0.00437856j -0.033805+0.0368582j 0.0792259+0.015378j 0.0393117+0.0633963j -0.00597694-0.306686j -0.296939+0.0779395j -0.0648489-0.0648294j -0.247179+2.0578e-13j 0.00811556+0.104866j -0.0487985-0.133431j -0.0668988+0.0164622j -0.100409-0.0170833j -0.0322336-0.0934051j -0.0773327-0.0490424j -0.023478-0.0249694j 0.0132797-0.0399581j 0.0235725-0.02884j 0.0431187+0.0282146j 
0.0536523-0.0979596j 0.0941548+0.0973276j -0.00361098+0.0229172j 0.0316758-0.0262715j -0.0322071-0.0456888j -0.0215373+0.00406864j -0.0163783-0.0307994j -0.00904303-0.0730933j 0.0324026-0.0923685j -0.036339+0.0394553j -0.0529665-0.0335976j 0.0413313+0.0442692j -0.115558+0.00611531j -0.0274917-0.0739434j -0.15343-0.115333j -0.129923-0.172401j -0.0492262+0.0612823j -0.183271+0.15719j -0.0265688+0.161079j -0.0387397-0.0646338j 0.234343-0.0736774j -0.173705-0.00578873j 0.0252538-0.0510156j 0.00811556-0.104866j 0.23505+5.20417e-16j -0.0639815-0.018181j -0.07761-0.0921478j -0.052516-0.1119j -0.161192-0.112432j 0.0264789+0.0139861j 0.05163+0.11359j 0.0230115+0.106671j -0.0371996-0.0167858j -0.0617396+0.0176978j 
0.0664662-0.0541172j 0.0430229-0.0408647j -0.0200788+0.0171079j -0.00609162-0.0524545j 0.00874302-0.0300614j -0.0251296-0.0549254j 0.067548+0.0146706j -0.040346-0.0861119j 0.0997891-0.0625148j 0.00877705-0.0422733j 0.000634417+0.100492j 0.0257886+0.0132959j 0.128652+0.124288j -0.0768161-0.0770676j -0.0837068+0.10591j 0.02903+0.194221j -0.0766822-0.0772042j 0.11703-0.259916j 0.0402009-0.0262124j -0.0706126+0.00344138j -0.215577-0.0971387j 0.0512311-0.04598j -0.0118734+0.116524j -0.0487985+0.133431j -0.0639815+0.018181j 0.00192201-3.46945e-16j -0.151914+0.178911j -0.021971-0.075555j 0.0912397-0.0417654j 0.0170555-0.0311807j -0.00142598-0.00632773j -0.0292763+0.0742467j 0.018632+0.0977451j 0.0193715-0.0608243j 
0.07215+0.0308117j -0.0167441+0.116268j 0.0644651-0.00802771j 0.0333398-0.0239511j 0.0484286+0.0246645j -0.0436114-0.0223506j 0.0340508+0.0661678j -0.133834+0.0442043j -0.0974942-0.0847643j -0.0553635-0.0302695j -0.11986-0.0643582j 0.0641308-0.0252843j 0.0608857+0.135896j -0.174278-0.0626279j -0.174438+0.00442558j -0.0802866+0.0681912j -0.0060914+0.0163123j -0.15843-0.111593j 0.187889-0.12892j 0.0435324+0.202483j 0.0669131+0.0595379j 0.187578-0.134414j -0.00136451-0.00714526j -0.0668988-0.0164622j -0.07761+0.0921478j -0.151914-0.178911j 0.0282846+9.71445e-16j 0.112055+0.0914727j -0.000704793-0.0033524j 0.129663+0.127142j 0.0292745+0.0435755j 0.0111074-0.0187419j -0.0224154+0.0287722j -0.0423442-0.00969417j 
0.11912-0.144997j 0.0257024+0.119j -0.0474898-0.0437638j -0.00725525-0.121311j 0.00907771-0.170787j -0.039239-0.00434923j 0.0693397-0.0341173j 0.0226848-0.0674694j -0.0471815-0.11281j -0.0165971+0.0175762j 0.0584508+0.127152j -0.0418933-0.0791418j -0.0914987-0.060759j 0.104062+0.11093j 0.218813+0.0575985j 0.0267393-0.0780778j -0.00840566-0.0798469j 0.0729359+0.213137j 0.0967306-0.0217436j 0.168161+0.146327j -0.00116425-0.0441863j -0.130703+0.10538j -0.0756003-0.0290937j -0.100409+0.0170833j -0.052516+0.1119j -0.021971+0.075555j 0.112055-0.0914727j 0.0578928-2.30371e-15j -0.0470102+0.119027j -0.133361-0.073681j 0.0377596+0.0222651j -0.0621941-0.0127212j 0.0219594+0.00732188j -0.0272885+0.0189327j 
-0.116778-0.258635j 0.0720936-0.0173147j -0.068512-0.00857527j -0.0263349-0.0427717j 0.000631431-0.0651564j 0.0650973+0.0333028j -0.0797554-0.071001j 0.204765-0.0593819j -0.018197-0.0143585j 0.00970945+0.0299638j -0.13955-0.0257499j -0.0348789+0.00573796j -0.0310816+0.00634502j -0.0934615+0.0789788j -0.116234+0.0364123j 0.143424+0.119573j 0.1197-0.0888309j 0.207917-0.173292j -0.204498-0.0718061j 0.167142+0.00415761j 0.00065538+0.0119664j 0.108498-0.158723j 0.0598871+0.109014j -0.0322336+0.0934051j -0.161192+0.112432j 0.0912397+0.0417654j -0.000704793+0.0033524j -0.0470102-0.119027j -0.108927+1.79023e-15j -0.00128126-0.0224153j 0.0171791-0.0532796j 0.0533397+0.0112354j -0.0833323-0.137445j -0.140038-0.0567242j 
0.00219481-0.0543274j 0.144076+0.0883985j 0.0488816+0.0352395j -0.0402449-0.0201167j -0.0348174-0.0701396j -0.0420772+0.0119674j 0.0409881-0.0585944j 0.0239145-0.0758618j 0.0167461+0.00476794j 0.0495269+0.033545j -0.0722903-0.083515j 0.00595176+0.0152402j 0.0815138+0.00255916j -0.0734445-0.115645j -0.0999783-0.243525j 0.0493893-0.122208j 0.0480208-0.0203706j -0.176366+0.0525397j -0.339048+0.00184657j -0.0276994-0.0333834j -0.0739399+0.0113011j 0.121237+0.267721j 0.0862102+0.0306783j -0.0773327+0.0490424j 0.0264789-0.0139861j 0.0170555+0.0311807j 0.129663-0.127142j -0.133361+0.073681j -0.00128126+0.0224153j 0.0917615+1.11022e-16j -0.16857-0.0365137j -0.0891677+0.0447855j 0.051391-0.0348007j 0.0135297+0.0354223j 
0.0074105-0.106319j 0.0918145+0.136621j 0.0287109+0.0752397j -0.00863-0.0255824j -0.0131461+0.0328272j -0.0353941-0.0460033j 0.0191753+0.0480599j -0.0559263-0.0722982j 0.00228488-0.0259834j 0.00856173+0.00972423j -0.0283246-0.115764j 0.00488527+0.0464558j 0.0162389+0.280475j -0.058835-0.178588j -0.136683-0.111905j -0.0804453+0.196958j -0.0674882-0.0275704j -0.212691-0.237526j -0.116542-0.143905j 0.00648441+0.00654583j 0.0516969-0.156169j -0.15753-0.154745j 0.0248815+0.117682j -0.023478+0.0249694j 0.05163-0.11359j -0.00142598+0.00632773j 0.0292745-0.0435755j 0.0377596-0.0222651j 0.0171791+0.0532796j -0.16857+0.0365137j -0.0180585+6.38378e-16j 0.0064568-0.0417299j -0.010233+0.00835635j 0.0513243+0.0153141j 
