-0.368925+8.32667e-17j -0.0437609-0.419424j 0.227846+0.0285266j -0.0882687+0.0466712j 0.0208866-0.153602j -0.0438963-0.117445j 0.175739+0.0371131j -0.0208036+0.0423249j 0.0806944-0.0182828j 0.0453297+0.0761589j -0.0473376+0.0381805j -0.0686267-0.0756709j -0.0139606-0.0166902j 0.0236561-0.0705631j -0.0648571+0.0115428j 0.0254925-0.0889468j 0.0198715+0.0117312j 0.058337-0.0344906j -0.00786345-0.00871439j 3.61676e-05-0.0563447j -0.0244933+0.0378884j 0.00781351+0.0279312j 0.0133885+0.0161275j 0.0472612+0.0678159j 0.0154712+0.0137118j 0.0221989+0.0552214j -0.028898+0.0154367j -0.0411929-0.0171111j -0.0871815-0.0274791j 0.00390891-0.140975j 0.0948485-0.0383007j 0.0267015-0.0601974j -0.0318149+0.12262j 0.0365723-0.0169268j 0.0475996+0.0624846j -0.0601206-0.203854j 
-0.0686267+0.0756709j 0.0118387+0.0157829j -0.027233+0.0800104j -0.124398+0.00505767j 0.0387951-0.0185149j -0.00624026-0.0339406j -0.0629989+0.0229034j -0.20854+0.09762j -0.101293+0.103049j 0.0987899+0.156466j 0.089265-0.16632j 0.108416-8.18789e-16j 0.0443457+0.0223121j -0.330767+0.0756787j 0.0805293-0.093099j 0.00239639-0.0217814j 0.0672672-0.0528856j 0.162955-0.130385j -0.164154+0.164395j 0.0772756+0.0291551j 0.0424522-0.00330484j -0.0287517+0.0227996j 0.0368955+0.040261j -0.0320127+0.0765636j -0.0278071+0.00250942j 0.0760787+0.0448674j 0.00890652+0.0193688j -0.0729377+0.0403779j 0.0293663-0.0383225j 0.0237902-0.0449239j 0.119993-0.0325658j 0.00272468-0.0429965j 0.0303381+0.0146383j -0.105927-0.00760681j 0.0512428-0.0367495j -0.0443818-0.0857021j 
-0.0139606+0.0166902j -0.0265321+0.0356597j -0.0397422-0.0635088j 0.0889724+0.0557999j -0.0610848+0.00832329j 0.0304459+0.0514764j -0.0132428+0.0130031j -0.0373905+0.0625048j -0.102512-0.0364043j 0.0529412-0.0394049j -0.0323607-0.0326737j 0.0443457-0.0223121j -0.0330195+1.61676e-15j -0.160381-0.019126j 0.203258+0.0280532j 0.0870182-0.0319031j 0.128268+0.0494333j -0.00122449-0.046821j 0.0275204+0.0964227j -0.0315979-0.0634249j 0.0758329+0.0377536j -0.0319947-0.00753337j -0.00116239+0.00356968j -0.0481115-0.056456j -0.02102-0.0146938j 0.0146861-0.0730549j -0.0117118-0.0356285j -0.0470771-0.00195685j 0.0239778+0.0349086j 0.0147215-0.0019346j 0.00448523-0.043592j 0.0272042+0.00430446j -0.00586897+0.0726079j -0.024564-0.0116797j -0.0330829+0.0485433j 0.00576602+0.066558j 
0.0236561+0.0705631j -0.0169378-0.0327775j -0.0302336-0.0318355j -0.0176208+0.0376957j 0.0598038-0.00860169j -0.0476344-0.0664279j 0.0209532+0.0133438j -0.0473854+0.0994317j 0.276029+0.440917j -0.178481-0.0198287j -0.107886-0.115736j -0.330767-0.0756787j -0.160381+0.019126j 0.170114-4.996e-16j 0.110074+0.194194j 0.0270241-0.0060963j -0.105933-0.246827j -0.0184742-0.0397146j 0.0414732+0.171868j 0.00470675+0.0688341j 0.0624741+0.0295093j -0.00568951-0.0152065j -0.0601285-0.0131137j 0.030868+0.0240671j 0.0132776-0.0114687j 0.049611-0.0437072j -0.0292763+0.0242777j -0.0190534+0.0132753j 0.0174663-0.00141393j 0.0309825-0.0359159j -0.0497754-0.00464898j -0.00662747+0.00263165j 0.042697-0.0540524j -0.0615365+0.0784654j -0.00375859-0.0157852j -0.0358668-0.0039363j 
-0.0648571-0.0115428j -0.0240526-0.00501226j -0.0717312+0.0114964j -0.0852282-0.00766194j 0.123873-0.0566646j 0.0426166+0.0265548j -0.0559193+0.0456263j 0.0998096+0.147087j 0.0108632-0.0624509j -0.127855-0.152459j 0.237062+0.0433919j 0.0805293+0.093099j 0.203258-0.0280532j 0.110074-0.194194j -0.12852+9.15934e-15j -0.285165+0.384276j 0.0139001-0.0512269j -0.000379185+0.0873299j -0.0584645+0.151253j 0.0803984-0.15444j -0.0240639+0.0198778j -0.00485758+0.0171583j 0.0199641-0.0300174j 0.0156797-0.0939011j 0.00838358-0.0261123j 0.0503948-0.0188569j 0.0125895+0.00958759j -0.0409149-0.0281601j -0.0247835+0.00822995j 0.0178082-0.0828263j -0.0417572+0.103247j -0.0524535+0.0109237j -0.019998-0.119271j -0.170395+0.164934j 0.166574-0.202363j -0.0152747-0.134322j 
0.0254925+0.0889468j -0.0161317-0.0313766j 0.0354269+0.0958271j -0.0832644-0.12825j -0.0195045+0.0258626j 0.0715465+0.0831327j -0.165944-0.0510625j 0.116309+0.0922739j 0.0577137+0.189665j -0.22224+0.0355027j 0.131213-0.110793j 0.00239639+0.0217814j 0.0870182+0.0319031j 0.0270241+0.0060963j -0.285165-0.384276j -0.0863838-5.27356e-15j -0.16116-0.222941j -0.0262123-0.140834j -0.0617775-0.0144208j -0.0722258+0.0183015j 0.00700341-0.00804481j 0.00432292+0.0315227j -0.00682024+0.0700663j -0.0534726+0.122488j 0.030127+0.00540332j -0.0048979+0.0424862j 0.0152514+0.0039029j 0.00757818+0.0247173j -0.046416-0.020704j -0.022342-0.0144908j 0.0425041-0.0868143j 0.0206685+0.00445483j -0.00197689+0.0811229j -0.00216479-0.0426926j 0.0515077-0.0151596j 0.0160232+0.00605269j 
0.0198715-0.0117312j 0.0249923+0.0368954j -0.0166823-0.0262625j 0.0277921+0.0407428j -0.0290389+0.0551348j 0.020164+0.0307479j -0.104456-0.0529095j 0.109874-0.0464713j 0.0218804+0.0035756j 0.158199-0.0323742j -0.0720247+0.0940848j 0.0672672+0.0528856j 0.128268-0.0494333j -0.105933+0.246827j 0.0139001+0.0512269j -0.16116+0.222941j 0.0322749-2.22045e-16j -0.0537694+0.0674617j 0.0564914+0.0447014j -0.0205924+0.0640745j 0.0240204-0.0302168j 0.106583-0.0433503j 0.0874501+0.00361588j -0.00940477-0.109814j 0.0337595-0.113863j 0.01311-0.0742832j 0.0384617-0.195136j 0.00722917-0.00333875j -0.123543+0.0481521j -0.0226794-2.30893e-05j 0.0751687-0.0814011j 0.268716-0.112847j -0.133692+0.368563j 0.0298433-0.119269j 0.059649-0.0135216j 0.106848-0.137823j 
0.058337+0.0344906j 0.0161961+0.00137177j 0.0864985+0.0689727j 0.111001-0.0556256j 0.0471254-0.00526942j 0.0171342-0.0109196j 0.134195-0.0566776j 0.0145338+0.159982j -0.0177356-0.0566029j -0.190092-0.152328j 0.0486208+0.130044j 0.162955+0.130385j -0.00122449+0.046821j -0.0184742+0.0397146j -0.000379185-0.0873299j -0.0262123+0.140834j -0.0537694-0.0674617j -0.130906-6.52256e-15j 0.139094+0.0703628j -0.0899143-0.0808059j 0.0943144+0.00940142j -0.119462-0.056564j -0.0727048+0.00995172j -0.127714-0.150519j -0.0361007-0.0669294j -0.0852504-0.108408j -0.0934478-0.00268702j 0.00783584+0.00815722j 0.0339984-0.0439143j -0.00290616-0.0245237j 0.126236-0.0539674j 0.0324317-0.0646628j 0.0291795+0.0284397j 0.134732-0.0136179j -0.155853+0.149807j -0.0207684-0.0048312j 
-0.00786345+0.00871439j -0.0193303-0.0302798j -0.0181934+0.0696935j 0.0375424-0.0225192j 0.00100772+0.00540905j 0.0334024+0.0582507j 0.0321107-0.0613273j 0.155559+0.0559635j -0.061379-0.0445554j 0.0850396-0.12226j -0.13045-0.114189j -0.164154-0.164395j 0.0275204-0.0964227j 0.0414732-0.171868j -0.0584645-0.151253j -0.0617775+0.0144208j 0.0564914-0.0447014j 0.139094-0.0703628j 0.20146-1.65146e-15j -0.104271-0.253354j -0.0679343+0.0399825j 0.284072+0.0304774j 0.0579884+0.000212635j 0.0303275-0.0522951j 0.0288105-0.0302636j 0.0327817+0.0980746j -0.0225557+0.134658j 0.000972322+0.0437561j -0.00832726+0.0428196j 0.0365635+0.107016j 0.188155+0.0968739j 0.182308-0.0728053j -0.0624742-0.127509j -0.103154-0.200123j -0.113006-0.0782135j 0.0289503+0.102061j 
3.61676e-05+0.0563447j 0.00868658-0.0187167j 0.0289456-0.0176825j 0.0575046+0.0265547j -0.0816604+0.0430332j 0.0157969-0.0608369j 0.137846-0.0301307j -0.0602479+0.0847874j 0.0191399+0.142418j -0.0589842-0.0231378j 0.0279537-0.0309544j 0.0772756-0.0291551j -0.0315979+0.0634249j 0.00470675-0.0688341j 0.0803984+0.15444j -0.0722258-0.0183015j -0.0205924-0.0640745j -0.0899143+0.0808059j -0.104271+0.253354j -0.184221-7.26849e-16j -0.0414961+0.091794j -0.0285564-0.00258177j -0.0526352-0.0759291j -0.110484+0.0123302j 0.0946677-0.106477j -0.17507+0.0213064j 0.142507-0.0861251j 0.15136-0.0765106j -0.0219446-0.142183j -0.20144+0.134334j -0.0696479+0.0257596j -0.0814203-0.0861919j -0.163748+0.0173286j 0.280622-0.00987238j 0.168604+0.00107113j 0.0542183-0.170347j 
-0.0244933-0.0378884j 0.0230931-0.00191173j 0.00610456+0.011514j -0.00430051-0.0226659j 0.0264716-0.0571465j 0.0175789+0.00576528j -0.0707885+0.00953463j 0.00683172-0.051267j 0.0459946-0.0181937j 0.0908607+0.00667943j 0.0177057+0.00297809j 0.0424522+0.00330484j 0.0758329-0.0377536j 0.0624741-0.0295093j -0.0240639-0.0198778j 0.00700341+0.00804481j 0.0240204+0.0302168j 0.0943144-0.00940142j -0.0679343-0.0399825j -0.0414961-0.091794j 0.131862+3.88578e-16j 0.0613931+0.0696337j -0.242094+0.0226002j 0.0694149+0.0666148j 0.152786-0.115161j 0.147345-0.0830879j -0.135417+0.0548607j 0.221029-0.0369893j 0.293041-0.330443j -0.222711+0.343677j 0.0245601-0.128809j 0.120645-0.0778985j 0.121805-0.0528003j -0.0858499+0.000145501j -0.0162459-0.0417202j -0.0157447+0.0807632j 
0.00781351-0.0279312j -0.0173654+0.00111074j 0.0579433-0.0187477j 0.00469062+0.0463825j 0.0117226+0.0230268j 0.00156185-0.0484316j -0.0479152+0.0157661j -0.0274906-0.0331746j -0.0103561-0.101786j -0.0360013-0.105285j -0.0618829+0.0839367j -0.0287517-0.0227996j -0.0319947+0.00753337j -0.00568951+0.0152065j -0.00485758-0.0171583j 0.00432292-0.0315227j 0.106583+0.0433503j -0.119462+0.056564j 0.284072-0.0304774j -0.0285564+0.00258177j 0.0613931-0.0696337j -0.183141+9.99201e-16j 0.0288669-0.0643515j -0.088909-0.0980427j -0.0686555-0.232314j 0.0559466+0.0638085j 0.00589204-0.00287396j 0.00948449+0.102878j 0.053293-0.182459j 0.0241603+0.0422947j 0.125111+0.102677j -0.156538-0.0718324j 0.0313543-0.0935265j -0.104247+0.0724952j 0.0824317-0.0300006j -0.0730728-0.188078j 
0.0133885-0.0161275j -0.0545849-0.00190858j -0.0143754-0.0663703j -0.0676996-0.0184953j 0.0105285-0.0446442j -0.017711-0.03047j -0.0536782+0.0431897j -0.106085+0.0352376j 0.0348501+0.0249913j -0.0387696+0.0424462j 0.0428136-0.0381017j 0.0368955-0.040261j -0.00116239-0.00356968j -0.0601285+0.0131137j 0.0199641+0.0300174j -0.00682024-0.0700663j 0.0874501-0.00361588j -0.0727048-0.00995172j 0.0579884-0.000212635j -0.0526352+0.0759291j -0.242094-0.0226002j 0.0288669+0.0643515j 0.185648+2.72005e-15j 0.0660393+0.0206279j 0.0143864-0.211004j -0.0724039+0.0393509j 0.0430704+0.0468867j -0.0378087+0.160338j -0.129496-0.0358664j 0.108684+0.14861j -0.0953641+0.0689332j -0.0126689-0.0203129j -0.0214015-0.0931332j -0.026805-0.0765278j -0.0344594-0.0509026j 0.0405704+0.142344j 
0.0472612-0.0678159j 0.0427747+0.0418812j 0.0461082-0.0488721j 0.0870504+0.0752135j -0.0161151+0.00527312j 0.0152942-0.0516373j 0.0488788+0.0486082j 0.0455244+0.0108007j -0.0794583+0.0631097j 0.0645573+0.00763598j -0.109109+0.0165594j -0.0320127-0.0765636j -0.0481115+0.056456j 0.030868-0.0240671j 0.0156797+0.0939011j -0.0534726-0.122488j -0.00940477+0.109814j -0.127714+0.150519j 0.0303275+0.0522951j -0.110484-0.0123302j 0.0694149-0.0666148j -0.088909+0.0980427j 0.0660393-0.0206279j -0.26125+9.02056e-17j -0.0436429+0.0545911j 0.0728241+0.0225668j 0.0728302+0.134167j 0.00495527+0.0288354j 0.0524062+0.0324715j -0.0845301+0.0580462j 0.248755+0.154738j 0.0158502-0.0918681j -0.0454525-0.229546j -0.132211-0.0373511j 0.0949243-0.10638j -0.00633547+0.00201228j 
0.0154712-0.0137118j -0.0303492+0.0378038j 0.0170602-0.0502811j 0.0521124+0.0407254j -0.0589958-0.024348j -0.0112532-0.019178j 0.00802528+0.0220375j -0.0260709-0.016956j 0.0428587+0.0766885j -0.0228106+0.0039331j -0.0208487+0.0153746j -0.0278071-0.00250942j -0.02102+0.0146938j 0.0132776+0.0114687j 0.00838358+0.0261123j 0.030127-0.00540332j 0.0337595+0.113863j -0.0361007+0.0669294j 0.0288105+0.0302636j 0.0946677+0.106477j 0.152786+0.115161j -0.0686555+0.232314j 0.0143864+0.211004j -0.0436429-0.0545911j -0.00720239-2.80331e-15j 0.124006-0.265583j -0.119232+0.249348j -0.150591+0.117478j -0.0832396+0.0226968j 0.0747491-0.156641j 0.122148-0.110454j 0.272254-0.152745j 0.00146971+0.107826j -0.082019+0.00694035j 0.0283774-0.0451648j -0.0372269-0.0414203j 
0.0221989-0.0552214j 0.0177118-0.00917329j 0.0300762-0.155393j 0.0288333+0.069596j 0.0208108+0.0329422j 0.0545023-0.0982582j -0.0111932-0.0415287j 0.0057855+0.0451765j -0.020127+0.0652005j 0.0122041+0.0795041j 0.0126934+0.0468969j 0.0760787-0.0448674j 0.0146861+0.0730549j 0.049611+0.0437072j 0.0503948+0.0188569j -0.0048979-0.0424862j 0.01311+0.0742832j -0.0852504+0.108408j 0.0327817-0.0980746j -0.17507-0.0213064j 0.147345+0.0830879j 0.0559466-0.0638085j -0.0724039-0.0393509j 0.0728241-0.0225668j 0.124006+0.265583j 0.0230818-1.93595e-15j 0.0501121+0.00885532j 0.06433-0.17603j -0.0108254+0.138303j -0.004806-0.055053j -0.148119-0.0322314j -0.0415858+0.0821625j -0.0373732+0.0575428j -0.116763+0.0298549j 0.0681761-0.0184339j -0.00786646+0.12999j 
-0.028898-0.0154367j 0.00605974-0.0304571j 0.00854662-0.0152207j -0.0212048-0.013376j -0.0233899-0.0103885j -0.0141422-0.0812695j 0.0034357-0.0158028j 0.00271345+0.0967154j 0.0104171+0.11527j -0.125252+0.0424746j 0.0346111-0.0430667j 0.00890652-0.0193688j -0.0117118+0.0356285j -0.0292763-0.0242777j 0.0125895-0.00958759j 0.0152514-0.0039029j 0.0384617+0.195136j -0.0934478+0.00268702j -0.0225557-0.134658j 0.142507+0.0861251j -0.135417-0.0548607j 0.00589204+0.00287396j 0.0430704-0.0468867j 0.0728302-0.134167j -0.119232-0.249348j 0.0501121-0.00885532j -0.0318341-1.17961e-15j 0.108557+0.16625j 0.0339228-0.182974j -0.106228+0.131403j -0.0994232-0.0695218j 0.111857-0.0301115j -0.0395313+0.1363j 0.0248338-0.00689137j 0.0260714+0.0184856j -0.000152709+0.0794451j 
-0.0411929+0.0171111j -0.0216245+0.0138789j -0.00750109+0.0142324j -0.0591995-0.0210896j -0.00229614-0.0138334j -0.00537959-0.0110747j 0.0120774+0.0371277j -0.000943445+0.0465415j 0.00622184+0.0707255j -0.0531568-0.000625401j -0.0171422-0.0478556j -0.0729377-0.0403779j -0.0470771+0.00195685j -0.0190534-0.0132753j -0.0409149+0.0281601j 0.00757818-0.0247173j 0.00722917+0.00333875j 0.00783584-0.00815722j 0.000972322-0.0437561j 0.15136+0.0765106j 0.221029+0.0369893j 0.00948449-0.102878j -0.0378087-0.160338j 0.00495527-0.0288354j -0.150591-0.117478j 0.06433+0.17603j 0.108557-0.16625j 0.199942-5.64826e-15j 0.206175-0.000291296j -0.0214678+0.110653j 0.109527+0.10247j -0.130869+0.0684778j 0.0162009+0.0533738j -0.148054-0.0695008j -0.118186+0.00948792j 0.0543811-0.0132054j 
-0.0871815+0.0274791j 0.0103619+0.0178115j -0.0391058+0.13679j -0.0213236-0.00116984j -0.0492682-0.0372368j 0.0206995+0.124221j -0.0545809+0.080724j -0.0493759+0.0826776j -0.0658298-0.0669289j 0.0554091+0.00122842j 0.0356981-0.0448258j 0.0293663+0.0383225j 0.0239778-0.0349086j 0.0174663+0.00141393j -0.0247835-0.00822995j -0.046416+0.020704j -0.123543-0.0481521j 0.0339984+0.0439143j -0.00832726-0.0428196j -0.0219446+0.142183j 0.293041+0.330443j 0.053293+0.182459j -0.129496+0.0358664j 0.0524062-0.0324715j -0.0832396-0.0226968j -0.0108254-0.138303j 0.0339228+0.182974j 0.206175+0.000291296j -0.0198528+5.55112e-17j -0.0543883-0.0545457j 0.031867+0.0302717j 9.10626e-05-0.0346002j -0.0334279-0.0605372j 0.114585-0.0588526j 0.0316373+0.00339079j 0.00844972-0.0255084j 
