-0.260287-0j -0.294025-0j 0.472123-0j 0.477016-0j -0.210062-0j -0.173292-0j -0.0553676-0j -0.0341882-0j -0.0378394-0j -0.0299147-0j 0.0983835-0j -0.0302247-0j 0.0686353-0j -0.0123392-0j 0.0400373-0j -0.0215935-0j -0.0125962-0j -0.00328604-0j -0.0223112-0j -0.00322035-0j -0.0243486-0j -0.00351442-0j -0.0188604-0j -0.0190558-0j -0.00272226-0j 0.0338591-0j -0.00275047-0j 0.00488715-0j -0.021305-0j 0.0700681-0j -0.0124279-0j -0.00307512-0j 0.0241901-0j 0.0101135-0j -0.00179382-0j 0.00349155-0j 0.0345645-0j -0.00878788-0j 0.00498896-0j 0.0142571-0j -0.00126842-0j -0.00887895-0j 0.00205784-0j -0.00401193-0j -0.00128157-0j -0.000579073-0j -0.000884548-0j -0.000127674-0j 
0.00333407-0j -0.000193666-0j 0.00307512-0j -0.00299932-0j 4.66191e-05-0j -0.0043241-0j -0.00277543-0j -0.0417351-0j -0.000800321-0j 0.108383-0j -0.0243455-0j -0.105712-0j -0.00073816-0j -0.015063-0j 0.0484136-0j 0.0254468-0j 0.0450648-0j 0.0196401-0j 0.00028579-0j 0.183375-0j 5.40371e-06-0j 0.00346725-0j 0.000241587-0j -0.000235632-0j 0.155013-0j -0.000654537-0j -0.151192-0j -0.41998-0j -1.4033e-05-0j 3.15216e-06-0j 0.000920381-0j -0.00900421-0j 0.00015756-0j 0.00202257-0j 0.590557-0j 0.101097-0j -0.000217331-0j 1.9503e-06-0j -0.139449-0j -0.000272151-0j 0.0012514-0j -0.000221553-0j -0.174624-0j -0.000201107-0j -0.142158-0j -0.129039-0j -6.66082e-05-0j -0.0427387-0j 
-0.0188604-0j -0.021305-0j -0.0332361-0j 0.0345645-0j 0.0447965-0j 0.0121993-0j -0.00401193-0j -0.00247727-0j -0.00274184-0j 0.00210591-0j 0.00712886-0j -0.00219008-0j -0.00483174-0j 0.00439412-0j 0.0029011-0j 0.00460492-0j 0.00088674-0j -0.000238106-0j 0.154562-0j -0.000233346-0j 0.168676-0j -0.000254655-0j -0.126936-0j 0.13201-0j 0.000191639-0j -0.234561-0j -0.000199299-0j 0.000354122-0j -0.14339-0j -0.4854-0j 0.086095-0j 0.00021648-0j 0.493193-0j 0.000732821-0j -0.00012998-0j -0.000744587-0j 0.232631-0j -0.299193-0j -0.000351209-0j -0.098767-0j 0.000451699-0j -0.181026-0j 0.000149111-0j -0.0270016-0j 0.000273299-0j 4.07651e-05-0j 0.00612774-0j -9.25122e-06-0j 
0.0190558-0j -0.0207799-0j -0.0345645-0j 0.0349018-0j -0.0148459-0j 0.0113908-0j 0.042506-0j 0.00250295-0j -0.00267426-0j 0.00219008-0j -0.00720274-0j -0.00221145-0j 0.00485073-0j 0.000903361-0j -0.00263173-0j -0.00157993-0j 0.00435859-0j 0.00437299-0j -0.156164-0j 0.000235764-0j 0.164518-0j -0.000248378-0j -0.13201-0j 0.133298-0j 0.000199299-0j 0.236991-0j -0.000201243-0j -0.000357792-0j 0.143954-0j -0.473436-0j -0.0781011-0j -0.000217331-0j 0.169315-0j 0.000714758-0j 0.000117911-0j -0.000255619-0j -0.241783-0j 0.0593779-0j 0.000365027-0j 0.471649-0j -8.96443e-05-0j -0.0557981-0j -0.000712061-0j -0.294462-0j 8.424e-05-0j 0.000444558-0j -0.172115-0j 0.000259847-0j 
0.00272226-0j 0.00307512-0j 0.00479722-0j -0.00498896-0j -0.00646582-0j -0.00176081-0j 0.000579073-0j -0.0340766-0j -0.0377158-0j 0.0289682-0j 0.0980623-0j -0.030126-0j -0.0664637-0j 0.0604441-0j 0.0399066-0j 0.0633437-0j 0.0121977-0j -0.00327531-0j 0.000233346-0j 0.149725-0j 0.000254655-0j 0.163398-0j -0.000191639-0j 0.000199299-0j -0.122964-0j -0.000354122-0j 0.127879-0j -0.227221-0j -0.00021648-0j -0.000732821-0j 0.00012998-0j -0.138903-0j 0.000744587-0j -0.47021-0j 0.0834009-0j 0.47776-0j 0.000351209-0j -0.000451699-0j 0.225351-0j -0.000149111-0j -0.28983-0j -0.000273299-0j -0.0956763-0j -4.07651e-05-0j -0.175361-0j -0.0261567-0j 9.25122e-06-0j 0.00593599-0j 
0.0165028-0j 0.000322987-0j -0.0447965-0j -0.0148459-0j 0.000204851-0j 0.062991-0j -0.0137377-0j 0.00216762-0j 4.15666e-05-0j -0.005582-0j 0.00126444-0j -0.00184991-0j -0.000112832-0j 0.00977326-0j -0.00251448-0j -0.00117329-0j 0.00688839-0j -0.00102006-0j -0.135242-0j 0.000204178-0j -0.00255715-0j 3.86059e-06-0j 0.336462-0j 0.111506-0j -0.000507966-0j -0.104363-0j -0.000168344-0j 0.00015756-0j 0.00658512-0j -0.00149167-0j 0.146751-0j -9.94173e-06-0j -0.0661911-0j 2.25201e-06-0j -0.000221553-0j 9.99304e-05-0j -0.302681-0j -0.0115296-0j 0.000456965-0j 0.128788-0j 1.74065e-05-0j 0.093075-0j -0.000194434-0j -0.280086-0j -0.000140518-0j 0.000422854-0j 0.0315204-0j -4.75872e-05-0j 
-0.00275047-0j 0.00299932-0j 0.00498896-0j -0.00503764-0j 0.00214282-0j -0.00164413-0j -0.00613522-0j 0.0344297-0j -0.0367862-0j 0.030126-0j -0.0990785-0j -0.0304199-0j 0.0667251-0j 0.0124263-0j -0.0362013-0j -0.021733-0j 0.0599553-0j 0.0601535-0j -0.000235764-0j -0.151277-0j 0.000248378-0j 0.15937-0j -0.000199299-0j 0.000201243-0j -0.127879-0j 0.000357792-0j 0.129126-0j 0.229575-0j 0.000217331-0j -0.000714758-0j -0.000117911-0j 0.139449-0j 0.000255619-0j -0.45862-0j -0.0756571-0j 0.164016-0j -0.000365027-0j 8.96443e-05-0j -0.234217-0j 0.000712061-0j 0.0575198-0j -8.424e-05-0j 0.456889-0j -0.000444558-0j -0.0540521-0j -0.285248-0j -0.000259847-0j -0.166729-0j 
-0.00238197-0j -4.66191e-05-0j 0.00646582-0j 0.00214282-0j -2.95677e-05-0j -0.00909196-0j 0.00198286-0j 0.029817-0j 0.000571777-0j -0.0767842-0j 0.0173932-0j -0.0254468-0j -0.00155208-0j 0.134438-0j -0.0345883-0j -0.0161394-0j 0.0947544-0j -0.0140316-0j -0.000204178-0j -0.13101-0j -3.86059e-06-0j -0.00247713-0j 0.000507966-0j 0.000168344-0j 0.325934-0j -0.00015756-0j 0.108017-0j -0.101097-0j 9.94173e-06-0j -2.25201e-06-0j 0.000221553-0j 0.00637905-0j -9.99304e-05-0j -0.00144499-0j 0.142158-0j -0.0641198-0j -0.000456965-0j -1.74065e-05-0j -0.293209-0j 0.000194434-0j -0.0111688-0j 0.000140518-0j 0.124757-0j -0.000422854-0j 0.0901625-0j -0.271322-0j 4.75872e-05-0j 0.030534-0j 
-0.0136141-0j 0.0299582-0j 0.0121993-0j -0.0113908-0j -0.062991-0j 0.0338507-0j 0.0368838-0j -0.00178819-0j 0.00385546-0j 0.00152013-0j -0.00104311-0j -0.00141939-0j -0.00345478-0j 0.00317184-0j -0.00409336-0j 0.00298444-0j 0.000766325-0j 0.00750229-0j 0.111569-0j -0.000168438-0j -0.237185-0j 0.000358084-0j -0.0916275-0j 0.0855555-0j 0.000138333-0j 0.086095-0j -0.000129165-0j -0.00012998-0j 0.201629-0j -0.138358-0j 0.238898-0j -0.000304404-0j -0.181026-0j 0.000208883-0j -0.000360671-0j 0.000273299-0j -0.0766641-0j 0.420712-0j 0.000115742-0j 0.0434022-0j -0.00063516-0j -0.502313-0j -6.55255e-05-0j 0.24824-0j 0.000758356-0j -0.000374775-0j -0.430103-0j 0.000649339-0j 
0.00196503-0j -0.0043241-0j -0.00176081-0j 0.00164413-0j 0.00909196-0j -0.00488593-0j -0.00532372-0j -0.0245978-0j 0.0530344-0j 0.0209103-0j -0.0143487-0j -0.0195246-0j -0.0475228-0j 0.0436308-0j -0.0563069-0j 0.041053-0j 0.0105413-0j 0.103199-0j 0.000168438-0j 0.108077-0j -0.000358084-0j -0.229763-0j -0.000138333-0j 0.000129165-0j -0.0887602-0j 0.00012998-0j 0.0828782-0j 0.0834009-0j 0.000304404-0j -0.000208883-0j 0.000360671-0j 0.195319-0j -0.000273299-0j -0.134028-0j 0.231422-0j -0.175361-0j -0.000115742-0j 0.00063516-0j -0.0742651-0j 6.55255e-05-0j 0.407547-0j -0.000758356-0j 0.042044-0j 0.000374775-0j -0.486594-0j 0.240472-0j -0.000649339-0j -0.416644-0j 
0.00434978-0j -0.0192287-0j 0.00401193-0j 0.042506-0j -0.0137377-0j -0.0368838-0j 0.0460231-0j 0.000571336-0j -0.00247463-0j 0.000499919-0j 0.000333279-0j 0.00529659-0j -0.00228243-0j 0.000206206-0j -0.00433317-0j 0.00378407-0j -0.00391927-0j 0.00775506-0j -0.0356467-0j 5.38168e-05-0j 0.152237-0j -0.000229837-0j -0.0301333-0j -0.319259-0j 4.5493e-05-0j -0.0275078-0j 0.000481994-0j 4.15292e-05-0j 0.133208-0j 0.0888052-0j 0.252893-0j -0.000201107-0j -0.0196525-0j -0.000134072-0j -0.0003818-0j 2.96699e-05-0j -0.294462-0j 0.0549454-0j 0.000444558-0j 0.215656-0j -8.29525e-05-0j 0.180676-0j -0.000325582-0j -0.318827-0j -0.000272771-0j 0.000481341-0j 0.0187598-0j -2.83222e-05-0j 
-0.000627836-0j 0.00277543-0j -0.000579073-0j -0.00613522-0j 0.00198286-0j 0.00532372-0j -0.00664286-0j 0.00785911-0j -0.0340402-0j 0.00687672-0j 0.00458448-0j 0.0728581-0j -0.0313963-0j 0.0028365-0j -0.0596056-0j 0.0520523-0j -0.0539122-0j 0.106676-0j -5.38168e-05-0j -0.0345312-0j 0.000229837-0j 0.147473-0j -4.5493e-05-0j -0.000481994-0j -0.0291903-0j -4.15292e-05-0j -0.309268-0j -0.026647-0j 0.000201107-0j 0.000134072-0j 0.0003818-0j 0.129039-0j -2.96699e-05-0j 0.0860262-0j 0.24498-0j -0.0190375-0j -0.000444558-0j 8.29525e-05-0j -0.285248-0j 0.000325582-0j 0.053226-0j 0.000272771-0j 0.208907-0j -0.000481341-0j 0.175022-0j -0.30885-0j 2.83222e-05-0j 0.0181728-0j 
0.0151937-0j 0.0171631-0j 0.0140136-0j 0.0141588-0j 0.0122619-0j 0.0101155-0j 0.00323196-0j -0.00995713-0j 0.00220879-0j 0.0017462-0j 0.00116414-0j 0.0017643-0j 0.00203724-0j 0.000720272-0j 0.00118839-0j 0.00126048-0j 0.000735278-0j 0.000191815-0j 0.00130237-0j 0.000187981-0j -0.00709141-0j -0.00102356-0j 0.00110093-0j 0.00111234-0j 0.000158906-0j 0.00100501-0j 0.000160553-0j 0.00014506-0j 0.00124363-0j 0.00082909-0j 0.000725454-0j 0.000179503-0j 0.000718013-0j 0.000119669-0j 0.00010471-0j 0.000103636-0j 0.00102595-0j 0.000512973-0j 0.000148083-0j 0.000423181-0j 7.40413e-05-0j 0.000518289-0j 6.1081e-05-0j 0.000234188-0j 7.48086e-05-0j 3.38021e-05-0j 5.16336e-05-0j 7.45267e-06-0j 
-0.00268588-0j -0.00303403-0j -0.00247727-0j -0.00250295-0j -0.00216762-0j -0.00178819-0j -0.000571336-0j -0.0829947-0j 0.0184107-0j 0.014555-0j 0.00970331-0j 0.0147058-0j 0.0169808-0j 0.00600361-0j 0.00990546-0j 0.0105063-0j 0.00612869-0j 0.00159882-0j 0.022011-0j 0.00316695-0j -0.11985-0j -0.017244-0j 0.0186066-0j 0.0187994-0j 0.00267712-0j 0.0169854-0j 0.00270486-0j 0.00244386-0j 0.0210184-0j 0.0140122-0j 0.0122607-0j 0.00302412-0j 0.012135-0j 0.00201608-0j 0.00176407-0j 0.00174598-0j 0.0173393-0j 0.00866963-0j 0.00249477-0j 0.00715208-0j 0.00124739-0j 0.00875947-0j 0.00102904-0j 0.00395795-0j 0.00126031-0j 0.00056947-0j 0.000872646-0j 0.000125556-0j 
0.000223824-0j 0.000252836-0j 0.00020644-0j 0.000208579-0j 0.000180635-0j 0.000149016-0j 4.76113e-05-0j 0.021042-0j -0.00466776-0j -0.00369019-0j -0.00246013-0j -0.00372843-0j -0.00430522-0j -0.00152212-0j -0.00251138-0j -0.00266372-0j -0.00155384-0j -0.000405356-0j 1.91857e-05-0j 0.0377257-0j -0.000104466-0j -0.205417-0j 1.62183e-05-0j 1.63863e-05-0j 0.0318907-0j 1.48052e-05-0j 0.0322211-0j 0.0291121-0j 1.83205e-05-0j 1.22136e-05-0j 1.06869e-05-0j 0.0360243-0j 1.05773e-05-0j 0.0240162-0j 0.0210142-0j 0.0207987-0j 1.51136e-05-0j 7.55681e-06-0j 0.0297186-0j 6.23405e-06-0j 0.0148593-0j 7.63512e-06-0j 0.0122583-0j 3.44991e-06-0j 0.0150133-0j 0.00678371-0j 7.60634e-07-0j 0.00149567-0j 
0.0668533-0j -0.000329122-0j -0.0155102-0j 0.0151279-0j -0.000235136-0j 0.0218098-0j 0.0139986-0j -0.00220879-0j 0.000168387-0j -0.00193269-0j -0.00128846-0j 0.00188506-0j -3.90665e-05-0j -0.000797195-0j 0.00256224-0j 0.00134675-0j 0.00238501-0j 0.00103943-0j -0.00144146-0j -0.000208057-0j -2.72551e-05-0j -3.93393e-06-0j 0.00484418-0j -0.00472478-0j 0.000699198-0j -0.00111234-0j -0.000681964-0j -0.000160553-0j -2.38482e-05-0j -1.58988e-05-0j 0.00156413-0j -3.44219e-06-0j -0.000794695-0j -2.29479e-06-0j 0.000225762-0j -0.000114704-0j 0.00109617-0j -9.83687e-06-0j 0.000158218-0j 0.00137267-0j -1.41983e-06-0j 0.00111747-0j 0.000198127-0j 0.00101434-0j 0.000161292-0j 0.000146407-0j 0.000335956-0j 4.84911e-05-0j 
-0.0118181-0j 5.81811e-05-0j 0.00274184-0j -0.00267426-0j 4.15666e-05-0j -0.00385546-0j -0.00247463-0j -0.0184107-0j 0.00140354-0j -0.0161094-0j -0.0107396-0j 0.0157123-0j -0.000325627-0j -0.00664478-0j 0.0213568-0j 0.0112254-0j 0.0198795-0j 0.00866389-0j -0.0243617-0j -0.00350517-0j -0.000460631-0j -6.62756e-05-0j 0.0818703-0j -0.0798524-0j 0.0117795-0j -0.0187994-0j -0.0114892-0j -0.00270486-0j -0.000403052-0j -0.000268701-0j 0.0264349-0j -5.79912e-05-0j -0.0134309-0j -3.86608e-05-0j 0.00380346-0j -0.00193244-0j 0.018526-0j -0.000166251-0j 0.00266553-0j 0.0231991-0j -2.39201e-05-0j 0.018886-0j 0.00333789-0j 0.0171431-0j 0.00271732-0j 0.00246655-0j 0.00567792-0j 0.000816939-0j 
-0.0132945-0j 0.0445712-0j 0.0119128-0j -0.012389-0j 0.0315766-0j 0.00859913-0j -0.00282797-0j -0.0017462-0j -0.00193269-0j -0.00440567-0j -0.00101862-0j 0.00458176-0j 0.00173184-0j 0.00309737-0j -0.00103984-0j 0.00324595-0j 0.000625053-0j -0.000167838-0j -0.00113957-0j -0.000164483-0j -0.00124363-0j -0.000179503-0j 0.000935892-0j -0.000973298-0j 0.000135084-0j 0.00260993-0j -0.000140483-0j 0.000376712-0j -0.00313769-0j -0.000725454-0j 0.00188395-0j -0.000452886-0j 0.00184901-0j -0.00010471-0j 0.000271925-0j 0.000266882-0j 0.000872147-0j 0.00220592-0j 0.000125884-0j -0.000370284-0j 0.000318398-0j 0.00133469-0j -5.34458e-05-0j 0.000199081-0j 0.000192646-0j 2.87349e-05-0j -4.51794e-05-0j -6.52108e-06-0j 
0.000984841-0j -4.84843e-06-0j -0.000228487-0j 0.000222855-0j -3.46388e-06-0j 0.000321288-0j 0.000206219-0j 0.00466776-0j -0.000355847-0j 0.00408429-0j 0.00272286-0j -0.00398362-0j 8.25577e-05-0j 0.00168468-0j -0.0054147-0j -0.00284604-0j -0.00504016-0j -0.0021966-0j -2.12347e-05-0j -0.0417547-0j -4.01505e-07-0j -0.000789497-0j 7.13616e-05-0j -6.96027e-05-0j 0.140321-0j -1.63863e-05-0j -0.136863-0j -0.0322211-0j -3.51317e-07-0j -2.34211e-07-0j 2.30417e-05-0j -0.00069081-0j -1.1707e-05-0j -0.00046054-0j 0.045308-0j -0.0230199-0j 1.61481e-05-0j -1.44911e-07-0j 0.0317526-0j 2.02213e-05-0j -0.000284944-0j 1.64618e-05-0j 0.039762-0j 1.49426e-05-0j 0.0323696-0j 0.0293824-0j 4.94911e-06-0j 0.00973164-0j 
-0.00886297-0j -0.0100118-0j 0.0403269-0j 0.0407449-0j -0.00715277-0j -0.00590073-0j -0.00188531-0j -0.00116414-0j -0.00128846-0j -0.00101862-0j -0.00457364-0j -0.00102917-0j 0.00586257-0j -0.000420159-0j 0.00341983-0j -0.000735278-0j -0.000428912-0j -0.000111892-0j -0.000759715-0j -0.000109655-0j -0.00082909-0j -0.000119669-0j -0.00064221-0j -0.000648865-0j -9.26951e-05-0j 0.00289212-0j -9.36557e-05-0j 0.000417441-0j -0.000725454-0j -0.00325732-0j -0.000423181-0j -0.00010471-0j 0.00206623-0j -0.000470153-0j -6.1081e-05-0j 0.000298234-0j 0.00295237-0j -0.000299234-0j 0.000426138-0j 0.00121779-0j -4.31908e-05-0j -0.000302335-0j 0.000175773-0j -0.00013661-0j -4.36383e-05-0j -1.97179e-05-0j -3.01196e-05-0j -4.34739e-06-0j 
0.0134322-0j 0.0434727-0j 0.012389-0j -0.0125098-0j -0.0104647-0j 0.00802927-0j 0.029962-0j 0.0017643-0j -0.00188506-0j -0.00458176-0j 0.00102917-0j 0.00462646-0j -0.00173865-0j 0.000636769-0j 0.000943291-0j -0.00111368-0j 0.00307232-0j 0.00308248-0j 0.00115138-0j 0.000166188-0j -0.00121298-0j -0.000175079-0j 0.000973298-0j -0.000982794-0j 0.000140483-0j -0.00263698-0j -0.000141854-0j -0.000380616-0j 0.00315003-0j -0.000707573-0j -0.00170903-0j 0.000454667-0j 0.000634772-0j -0.000102129-0j -0.000246677-0j 9.16214e-05-0j -0.000906461-0j -0.000437788-0j -0.000130836-0j 0.00176824-0j -6.31893e-05-0j 0.000411395-0j 0.000255224-0j 0.00217105-0j 5.93798e-05-0j 0.000313364-0j 0.00126899-0j 0.000183163-0j 
