5.45993-0j -0.252868-0j 0.172261-0j 0.0645282-0j 0.00391246-0j -0.0001321-0j 6.67312e-05-0j 0.0745096-0j -0.256539-0j -0.0436677-0j -0.00116708-0j -3.15349e-05-0j 0.104337-0j 0.0124602-0j 0.000300619-0j 7.1147e-06-0j -0.00109094-0j -4.05847e-05-0j -9.8399e-06-0j 0.236621-0j 0.156983-0j 0.0132161-0j 0.000293631-0j -1.11653e-05-0j -0.0610161-0j -0.00403705-0j -5.82502e-05-0j 0.000462379-0j 4.36786e-06-0j 0.0131032-0j 0.000490427-0j 3.2759e-06-0j -5.77525e-05-0j -5.36371e-06-0j -0.278624-0j -0.0668398-0j -0.00310651-0j -4.71552e-05-0j 0.0190725-0j 0.000716315-0j 4.78475e-06-0j -5.96466e-05-0j -0.00438458-0j -8.94698e-05-0j 6.70885e-06-0j 0.000550115-0j 5.19666e-06-0j 0.179719-0j 0.0213238-0j 0.000566297-0j -6.24685e-06-0j -0.00462176-0j -9.43095e-05-0j 5.00048e-06-0j 0.000794022-0j 7.50073e-06-0j -0.000102428-0j 6.072e-06-0j -0.0792063-0j -0.00524058-0j -7.56158e-05-0j 0.000848846-0j 8.01861e-06-0j -0.000106023-0j 8.70891e-06-0j 0.025893-0j 0.000972475-0j 6.49582e-06-0j -0.000114518-0j 9.108e-06-0j 
-3.15349e-05-0j 0.000766914-0j -0.0129292-0j 0.0581062-0j 0.124915-0j -0.143219-0j 0.3621-0j 0.000495393-0j -0.0151598-0j 0.149515-0j -0.280152-0j 0.00392774-0j 0.00700102-0j -0.110458-0j 0.288191-0j 0.355098-0j 0.0160197-0j 0.00164833-0j -0.00786038-0j -0.000572726-0j 0.0147167-0j -0.110307-0j 0.105954-0j -0.101709-0j 0.00662308-0j -0.070955-0j -0.00346839-0j 0.0127661-0j 0.0899366-0j -0.00345512-0j 0.0189755-0j 0.0635079-0j -0.00010864-0j 0.00162422-0j -0.00123079-0j 0.0255516-0j -0.130046-0j -0.00234031-0j 0.00983548-0j -0.0540163-0j -0.180784-0j -0.000281976-0j -0.00576068-0j -0.000592738-0j -0.00800823-0j -0.00310099-0j -0.0218464-0j -0.00245462-0j 0.0387274-0j -0.101042-0j -0.1245-0j 0.0118347-0j 0.00121771-0j -0.0150006-0j -0.0044759-0j -0.0315326-0j 9.88634e-05-0j 0.00371892-0j -0.00441136-0j 0.0472602-0j 0.00231015-0j 0.00932565-0j 0.0656989-0j 0.000102333-0j 0.00533395-0j -0.00685121-0j 0.0376267-0j 0.125931-0j -0.000215424-0j 0.00557838-0j 
0.104337-0j 0.107632-0j -0.0163568-0j -0.00834322-0j 0.00331053-0j 0.00207392-0j 4.61432e-05-0j -0.243988-0j 0.28241-0j -0.130037-0j 0.0727638-0j 0.00700102-0j -0.089111-0j 0.0707173-0j 0.0700468-0j 0.00220404-0j -0.492764-0j -0.0948232-0j 0.0180563-0j -0.0229344-0j -0.020262-0j 0.01137-0j 0.00919559-0j 0.000250577-0j -0.182329-0j 0.176711-0j 0.024045-0j 0.0982149-0j 0.00535266-0j 0.0112729-0j 0.0157912-0j 0.000608543-0j 0.0238396-0j 0.000492629-0j -0.0626228-0j 0.0407787-0j -0.0279466-0j -0.00310487-0j -0.080645-0j -0.112968-0j -0.00435344-0j -0.033162-0j -0.0391848-0j -0.00754038-0j -0.0061041-0j 0.017713-0j 0.000965351-0j -0.0231967-0j 0.0184086-0j 0.0182341-0j 0.00057374-0j 0.202306-0j 0.0389299-0j 0.00612792-0j 0.0255666-0j 0.00139336-0j -0.0086325-0j 0.00112796-0j 0.0483235-0j -0.0468348-0j -0.00637278-0j -0.133869-0j -0.00729579-0j -0.00893548-0j 0.0016178-0j 0.0223532-0j 0.0313125-0j 0.00120669-0j 0.0472719-0j 0.00169194-0j 
-0.0124602-0j 0.0349296-0j 0.11912-0j 0.0324294-0j -0.0385432-0j 0.0182877-0j 0.00191286-0j 0.238662-0j -0.215973-0j 0.192855-0j -0.0373791-0j 0.110458-0j -0.0707173-0j -0.11587-0j 0.205097-0j 0.0414526-0j -0.0516821-0j -0.210544-0j -0.0693344-0j -0.0569664-0j 0.0155325-0j -0.0565455-0j 0.0449786-0j 0.00660438-0j -0.0922282-0j -0.0179032-0j 0.162049-0j -0.0980827-0j 0.0198543-0j 0.0191212-0j 0.0152333-0j 0.00685121-0j -0.0547978-0j -0.00189164-0j -0.0495778-0j -0.0199254-0j 0.00859381-0j -0.0349558-0j -0.136791-0j -0.108977-0j -0.0490126-0j 0.0762264-0j -0.00410978-0j -0.0167426-0j 0.0234391-0j -0.0176892-0j 0.00358072-0j -0.0184086-0j -0.0301624-0j 0.0533893-0j 0.0107906-0j 0.0212182-0j 0.0864396-0j -0.0235306-0j -0.0255321-0j 0.00516832-0j 0.0198427-0j -0.00433124-0j 0.0244437-0j 0.00474499-0j -0.0429486-0j 0.133689-0j -0.0270618-0j 0.0205391-0j -0.00621219-0j 0.0379158-0j 0.0302063-0j 0.0135854-0j -0.108659-0j -0.00649686-0j 
0.000300619-0j -0.0050682-0j 0.00406021-0j 0.0812866-0j 0.103655-0j -0.044057-0j 0.0284068-0j -0.0167788-0j 0.153975-0j -0.0551324-0j -0.122406-0j 0.288191-0j 0.0700468-0j -0.205097-0j -0.0219802-0j 0.180137-0j 0.0668805-0j 0.361558-0j 0.119065-0j 0.00657225-0j -0.0466978-0j 0.00974234-0j -0.0412885-0j 0.0523008-0j -0.0892428-0j 0.0703204-0j 0.0270867-0j -0.0355794-0j -0.103486-0j 0.011151-0j 0.0167722-0j 0.00347591-0j 0.0310032-0j 0.00324843-0j 0.0116452-0j -0.0585205-0j 0.00328558-0j -0.0500471-0j -0.0797729-0j -0.119986-0j -0.0248662-0j -0.043127-0j 0.00531836-0j 0.0287513-0j -0.0402509-0j -0.00641673-0j -0.0186636-0j 0.0182341-0j -0.0533893-0j -0.00572173-0j 0.0468918-0j -0.027458-0j -0.148439-0j 0.0404079-0j -0.00926176-0j -0.0269386-0j -0.0112265-0j 0.00743784-0j 0.0236525-0j -0.0186374-0j -0.00717893-0j 0.0484955-0j 0.141053-0j -0.0116205-0j 0.0106679-0j 0.0221115-0j 0.0332579-0j 0.00689243-0j 0.0614767-0j 0.0111568-0j 
-7.1147e-06-0j 7.0954e-05-0j -0.00084442-0j -0.00150345-0j 0.0260761-0j 0.108653-0j 0.104217-0j 0.000181637-0j -0.00529227-0j 0.0430256-0j 0.0457804-0j -0.355098-0j -0.00220404-0j 0.0414526-0j -0.180137-0j -0.0606114-0j -0.0425535-0j 0.357917-0j -0.0681548-0j -9.55255e-05-0j 0.00245462-0j -0.0168657-0j -0.0139006-0j 0.0622502-0j 0.00486729-0j -0.0747435-0j 0.229672-0j -0.0203781-0j 0.0989575-0j -0.00134912-0j 0.0160477-0j -0.0284699-0j 0.0183719-0j -0.00185946-0j -0.000239598-0j 0.00533185-0j -0.0299125-0j -0.0174328-0j 0.00965142-0j -0.114803-0j 0.20367-0j -0.0255562-0j -0.00338387-0j 0.0284617-0j 0.0230403-0j -0.00367518-0j 0.017847-0j -0.00057374-0j 0.0107906-0j -0.0468918-0j -0.0157779-0j 0.0174705-0j -0.146944-0j -0.0231302-0j -0.00530467-0j 0.0257599-0j -0.00665261-0j -0.00425755-0j -0.00129-0j 0.0198097-0j -0.0608713-0j 0.0277757-0j -0.134881-0j -0.0068861-0j -0.0061065-0j -0.00267519-0j 0.0318211-0j -0.0564534-0j 0.0364299-0j -0.00638633-0j 
-0.00109094-0j -0.00621936-0j -0.0116226-0j -0.00857714-0j 0.000449795-0j 0.000368132-0j 0.000165625-0j 0.0817815-0j 0.160262-0j 0.0674733-0j -0.0368264-0j 0.0160197-0j -0.492764-0j 0.0516821-0j 0.0668805-0j 0.0425535-0j -0.100362-0j 0.0873159-0j -0.266967-0j -0.0162964-0j -0.0208301-0j 0.00154482-0j 0.00163227-0j 0.000899413-0j 0.0946064-0j -0.0894353-0j 0.0550198-0j 0.0937753-0j 0.103344-0j 0.00153163-0j 0.00280302-0j 0.00218428-0j 0.0545498-0j 0.00176822-0j -0.0221819-0j -0.0132073-0j 0.00882851-0j -0.00443458-0j -0.0175541-0j -0.0321257-0j -0.0250343-0j -0.25477-0j 0.0123787-0j -0.0107696-0j -0.0351013-0j 0.00314417-0j 0.00346499-0j -0.0238471-0j 0.00250113-0j 0.00323665-0j 0.00205936-0j -0.102389-0j 0.0890794-0j 0.118312-0j 0.00453821-0j 0.00500129-0j -0.0123295-0j 0.00404865-0j -0.0156509-0j 0.0147954-0j -0.00910201-0j -0.0380696-0j -0.0419541-0j -0.0127622-0j 0.00580687-0j 0.00303708-0j 0.00555815-0j 0.00433124-0j 0.108167-0j 0.00607297-0j 
4.05847e-05-0j -0.000201776-0j -0.00223893-0j -0.00808408-0j -0.0130204-0j -0.0059935-0j 0.00307055-0j -0.00372882-0j 0.0160587-0j 0.104244-0j 0.156927-0j -0.00164833-0j 0.0948232-0j -0.210544-0j -0.361558-0j 0.357917-0j -0.0873159-0j -0.00126438-0j 0.45845-0j 0.00107072-0j -0.00387198-0j -0.0191017-0j -0.014741-0j 0.0106014-0j -0.0498519-0j 0.0751622-0j -0.00241821-0j 0.172906-0j 0.171429-0j 0.00645938-0j -0.00499246-0j 0.0109976-0j 0.000817732-0j -0.00303649-0j 0.00230097-0j -0.00672265-0j -0.02252-0j 0.000325598-0j -0.0740316-0j 0.0572191-0j -0.126045-0j -0.00381915-0j 0.0107696-0j 0.00015595-0j 0.0602779-0j 0.00579733-0j 0.00574781-0j 0.00458893-0j -0.0101892-0j -0.0174975-0j 0.0173212-0j -0.0890794-0j -0.00128991-0j -0.203172-0j 0.00836773-0j 0.00829624-0j -0.000184826-0j -0.00695255-0j 0.00824708-0j -0.0124342-0j 0.000400048-0j -0.0701941-0j -0.0695944-0j -0.000191313-0j -0.00997187-0j 0.0128084-0j -0.00989962-0j 0.0218074-0j 0.00162149-0j -0.0104288-0j 
-9.8399e-06-0j 9.5752e-06-0j 4.50311e-05-0j 0.000136397-0j 0.000261875-0j 0.000284419-0j 0.000115122-0j -0.000264626-0j -0.00157419-0j -0.00505739-0j -0.0091546-0j -0.00786038-0j 0.0180563-0j 0.0693344-0j 0.119065-0j 0.0681548-0j -0.266967-0j -0.45845-0j -0.0368834-0j 6.31396e-05-0j 0.000331249-0j 0.000899413-0j 0.0012611-0j 0.000625161-0j -0.00709112-0j -0.0222325-0j -0.0269965-0j 0.166944-0j 0.165518-0j 0.000891729-0j 0.00216562-0j 0.00151824-0j -0.0267659-0j 0.00122905-0j 0.000158367-0j 0.00071953-0j 0.00159517-0j 0.00158155-0j -0.0140611-0j -0.0341482-0j -0.0239402-0j 0.209366-0j 0.00223664-0j 0.00384088-0j -0.0335673-0j 0.00242919-0j 0.00240844-0j 0.000379226-0j 0.00145619-0j 0.00250064-0j 0.00143141-0j -0.0254526-0j -0.0437086-0j 0.189491-0j 0.00350623-0j 0.00347628-0j 0.00439718-0j 0.00281412-0j 0.000852656-0j 0.0026733-0j 0.00324614-0j -0.0404663-0j -0.0401205-0j 0.00455152-0j 0.00403622-0j 0.00176822-0j 0.00429424-0j 0.00301054-0j -0.0530745-0j 0.00422118-0j 
-0.236621-0j 0.164528-0j -0.0327601-0j 0.0141654-0j -0.0175926-0j -0.00128368-0j -1.31931e-05-0j 0.133495-0j -0.114498-0j 0.0544007-0j 0.0174339-0j 0.000572726-0j 0.0229344-0j -0.0569664-0j -0.00657225-0j -9.55255e-05-0j 0.0162964-0j 0.00107072-0j -6.31396e-05-0j 0.134763-0j -0.100864-0j 0.177154-0j 0.0166879-0j 0.000210057-0j -0.22364-0j -0.124137-0j -0.00576723-0j 0.0270184-0j 0.000680181-0j 0.411187-0j 0.0670888-0j 0.00119426-0j -0.0133861-0j 0.0015206-0j -0.124355-0j 0.0835572-0j 0.0327959-0j 0.00124406-0j -0.0874979-0j -0.0142761-0j -0.000254132-0j 0.00201418-0j -0.134823-0j -0.00885822-0j 0.00104473-0j -0.0109637-0j -0.000276009-0j 0.0393841-0j -0.0978257-0j -0.0112862-0j -0.000164041-0j 0.0484716-0j 0.0031847-0j -0.00026559-0j 0.0463974-0j 0.00116804-0j 0.00345887-0j -0.000322501-0j 0.0990168-0j 0.0549616-0j 0.00255344-0j -0.0169174-0j -0.000425892-0j -0.0104971-0j -0.000462555-0j -0.118788-0j -0.0193813-0j -0.000345012-0j 0.00386713-0j 0.00141833-0j 
0.156983-0j -0.155914-0j 0.0719358-0j 0.0612966-0j -0.0340847-0j -0.0274686-0j -0.000747232-0j 0.0747218-0j 0.0835458-0j -0.116762-0j 0.109146-0j 0.0147167-0j -0.020262-0j -0.0155325-0j -0.0466978-0j -0.00245462-0j -0.0208301-0j 0.00387198-0j 0.000331249-0j 0.100864-0j -0.0860787-0j 0.146611-0j 0.198079-0j 0.00756415-0j -0.163716-0j -0.153273-0j -0.063302-0j -0.0654765-0j 0.00344701-0j -0.116064-0j 0.157051-0j 0.01837-0j 0.0501129-0j -0.00797751-0j -0.0939343-0j -0.0590867-0j 0.122907-0j 0.0228111-0j 0.0246977-0j -0.0334195-0j -0.00390902-0j -0.00754038-0j 0.172332-0j -0.0320336-0j -0.00548097-0j 0.0265696-0j -0.00139876-0j -0.0347951-0j -0.0266733-0j -0.080192-0j -0.0042152-0j -0.0619566-0j 0.0115167-0j 0.00139336-0j -0.11244-0j 0.00591939-0j -0.0129487-0j 0.00169194-0j 0.0724852-0j 0.0678617-0j 0.028027-0j 0.0409977-0j -0.00215833-0j 0.0392975-0j 0.0024267-0j 0.0335298-0j -0.0453706-0j -0.00530692-0j -0.0144771-0j -0.007441-0j 
